0.0112415-0j 0.179444-0j -0.0221333-0j -0.0330752-0j -0.00368491-0j -0.0110202-0j 0.0275304-0j -0.00142681-0j 0.0067721-0j -0.00478045-0j 0.211185-0j -0.149077-0j -0.0232977-0j 0.016446-0j -0.011012-0j 0.0703639-0j 0.00777345-0j -0.0496702-0j 0.0458708-0j -0.0323804-0j -0.00149005-0j 0.00105184-0j 
-0.194247-0j -0.0150573-0j -0.0147555-0j 0.00129687-0j 0.0636733-0j 0.000434984-0j -0.00231011-0j -0.000951206-0j 0.00451473-0j -0.00318697-0j -0.00828051-0j 0.00584525-0j -0.0506704-0j 0.0357684-0j 0.190282-0j -0.00277737-0j -0.134321-0j 0.00196056-0j -0.00384907-0j 0.00271707-0j -0.00099337-0j 0.000701224-0j 
-0.00307861-0j 0.0221333-0j 0.10436-0j 0.00905803-0j 0.00361106-0j -0.000178688-0j -0.0112094-0j 0.0339793-0j -0.00185462-0j 0.00130918-0j -0.206952-0j 0.146089-0j -0.000803072-0j 0.000566892-0j -0.0356227-0j 0.00408255-0j 0.0251462-0j -0.00288189-0j 0.027223-0j -0.0192169-0j 0.0803135-0j -0.0566937-0j 
-0.0808661-0j -0.0636832-0j 0.0010326-0j 0.00112312-0j -0.00766464-0j 0.04718-0j -0.0042681-0j 4.89356e-05-0j 0.00390987-0j -0.00276-0j 0.00207352-0j -0.00146371-0j 0.356281-0j -0.2515-0j -0.010006-0j 0.0871044-0j 0.00706325-0j -0.0614874-0j -0.00454942-0j 0.00321146-0j 4.04038e-05-0j -2.85212e-05-0j 
0.0542466-0j -0.159092-0j -0.0647765-0j -0.000753414-0j -0.0407053-0j 0.0042681-0j 0.0308708-0j -0.00669224-0j -0.00262282-0j 0.00185146-0j 0.011012-0j -0.00777345-0j -0.112425-0j 0.0793613-0j 0.153853-0j -0.0623835-0j -0.108606-0j 0.0440368-0j 0.134248-0j -0.0947662-0j -0.00959382-0j 0.00677232-0j 
-0.0021769-0j -0.112995-0j 0.0042861-0j -0.000376707-0j 0.00071358-0j -0.0540025-0j -0.0173358-0j 0.0002763-0j -0.00131141-0j 0.000925731-0j 0.00240527-0j -0.00169789-0j 0.0146705-0j -0.0103559-0j 0.00213247-0j 0.344806-0j -0.00150532-0j -0.2434-0j -0.0288846-0j 0.0203898-0j 0.000288548-0j -0.000203687-0j 
-0.0105048-0j -0.00824521-0j -0.196359-0j 0.000145898-0j 0.0167608-0j 4.89356e-05-0j 0.00669224-0j 0.0148492-0j 0.000507907-0j -0.000358534-0j -0.00453431-0j 0.00320079-0j -0.00274024-0j 0.00193435-0j -0.264984-0j -0.00152085-0j 0.187054-0j 0.00107358-0j -0.0512213-0j 0.0361574-0j 0.14928-0j -0.105378-0j 
0.0010326-0j 0.125386-0j -0.0350036-0j 0.000178688-0j -0.00121119-0j 0.0075063-0j -0.0635014-0j -0.011397-0j 0.000622057-0j -0.000439113-0j -0.00408255-0j 0.00288189-0j -0.00454942-0j 0.00321146-0j 0.0119482-0j -0.171499-0j -0.0084343-0j 0.121062-0j 0.154219-0j -0.108864-0j -0.026938-0j 0.0190156-0j 
-0.000219047-0j -0.0215269-0j 0.146043-0j -3.79054e-05-0j 0.00044206-0j 0.000214735-0j 0.0239848-0j -0.046974-0j -0.000131958-0j 9.31499e-05-0j 0.00149005-0j -0.00105184-0j 0.000453969-0j -0.000320459-0j -0.00959382-0j -0.00844119-0j 0.00677232-0j 0.00595867-0j -0.30267-0j 0.213656-0j 0.0322232-0j -0.0227465-0j 
2.26735e-05-0j -0.000397916-0j -0.0584345-0j 3.92358e-06-0j -6.49202e-05-0j 1.31601e-06-0j 0.000682798-0j 0.0448485-0j 1.3659e-05-0j -9.64193e-06-0j -0.000218827-0j 0.000154471-0j 5.91451e-06-0j -4.17508e-06-0j 0.00216989-0j -7.33968e-05-0j -0.00153173-0j 5.18111e-05-0j -0.015243-0j 0.0107601-0j -0.417472-0j 0.294695-0j 
