0.455937+0.114355j 0.00180216+0.0210328j -0.606023-0.0400606j 0.229015-0.0423083j -0.0280417-0.0195164j -0.445806+0.00703341j 0.201515-0.305277j 0.0249542-0.150984j -0.00259256-0.0406821j -0.0015647+0.119247j -0.0196434-0.020445j -0.00383209-0.0311878j -0.0111307+0.00943882j -0.0450314+0.0308996j 0.0162325-0.00329593j 
0.145013+0.00942612j 0.216313+0.0301964j -0.0402373-0.0155721j -0.815398-0.0440436j 0.300899-0.0170985j -0.034639-0.0178475j 0.296686-0.0631097j -0.242675+0.109871j 0.0324416-0.119217j 0.0452222+0.123804j -0.0675614-0.0267961j -0.0135205-0.0857388j 0.0310701+0.0305811j -0.0250652+0.0562123j 0.0319607-0.00420335j 
-0.035628+0.00430811j -0.111407-0.0116342j 0.0012942+0.00922939j 0.169858+0.024732j 0.937773+0.0165158j -0.0687011+0.0112518j -0.170412-0.00317377j 0.1552-0.0547877j 0.0373373+0.0271969j 0.0431148-0.0596339j 0.0854802-0.0672145j -0.0550551+0.0176768j -0.160102+0.0197704j 0.00245832-0.0725075j -0.0139247+0.0219092j 
0.0660719-0.181639j 0.00385364-0.0164018j 0.128871+0.07786j 0.00212409+0.0302066j -0.041432+0.0118397j -0.723838-0.0395286j -0.0122074+0.43551j -0.0686018+0.342921j -0.00073583+0.0114574j 0.0113938-0.0618324j -0.00765201-0.0132099j -0.0118387+0.00893922j -0.00235897-0.0110893j -0.0384579-0.0387386j 0.0129758+0.00607272j 
-0.0124244-0.00333033j -0.00993583+0.104978j -0.0104795-0.0313702j -0.0750868-0.101086j -0.0455062-0.0544675j -0.0319009-0.0298117j -0.364211-0.0760572j 0.406201+0.369364j 0.274601-0.162282j -0.303165+0.475631j -0.0385349-0.102685j 0.0770978-0.0268339j -0.0453655+0.0363026j -0.00589008+0.0660509j -0.0273614-0.0317991j 
-0.00992124-0.047596j 0.00994292+0.13507j 0.000724543-0.00874144j 0.00917139+0.0383025j 0.00206129-0.0292304j 0.0100837+0.00400002j 0.0621326+0.036765j -0.0561934-0.0427277j 0.442986+0.380537j 0.143223+0.302083j -0.152934+0.319926j -0.442634+0.3822j -0.0128323-0.017951j 0.0417357-0.0206989j -0.0104095+0.00249862j 
-0.020118-0.0182745j -0.00287719+0.034733j -0.00403013-0.0407201j 0.00317893-0.0545256j -0.0173086-0.00450148j 0.00115503-0.0297906j -0.0461725+0.00290239j 0.0245314+0.0561535j -0.0754566-0.0367045j 0.076863-0.114946j 0.257601+0.51665j -0.234177-0.24348j -0.171447+0.275998j -0.513089+0.263602j 0.0536664-0.03314j 
0.0111279+0.0128369j 0.0194445+0.0349629j 0.00933178+0.0189328j 0.00289627+0.0608139j -0.00465434+0.0873723j 0.00407161+0.00839979j -0.00454225-0.0381613j -0.00658552+0.0285334j 0.0104893+0.0481089j -0.0151422+0.023169j -0.0228974-0.102425j 0.0173898+0.0379782j 0.186443+0.574439j -0.208233-0.234359j -0.559621+0.278452j 
