0.0963825-0j 0.111263-0j 0.0251419-0j -0.0944154-0j -0.0260016-0j 0.0976438-0j 0.0167087-0j -0.0144456-0j -0.0335706-0j -0.0328977-0j 0.00159443-0j 0.0290235-0j 0.0284418-0j -0.00320348-0j -0.00313927-0j -0.2124-0j -0.0236635-0j 0.173129-0j 0.00419002-0j -0.16623-0j -0.0222523-0j 0.243122-0j 0.0192883-0j -0.00916259-0j -0.293435-0j -0.0185196-0j -0.00341532-0j 0.00327921-0j 0.0270863-0j 0.0181381-0j -0.00479608-0j -0.0174152-0j 0.0074685-0j -0.0326917-0j -0.00717086-0j 0.025471-0j 0.0057886-0j -0.0307421-0j 0.0104879-0j -0.0126583-0j 
-0.0711025-0j -0.0372117-0j -0.094743-0j 0.00565652-0j 0.163096-0j -0.00973743-0j 0.15358-0j -0.13385-0j 0.0568926-0j -0.00196109-0j 0.133031-0j -0.0495841-0j 0.00170916-0j 0.0492807-0j -0.00169871-0j -0.00921566-0j 0.0628913-0j -0.0117778-0j 0.0522069-0j 0.0164867-0j 0.016474-0j 0.00725831-0j 0.0803763-0j -0.000401536-0j -0.005101-0j -0.112512-0j 0.0667214-0j -0.0933976-0j -0.0495336-0j 0.021054-0j -0.0411185-0j -0.0294718-0j -0.000513171-0j 0.0348112-0j 0.000718344-0j -0.012975-0j 0.0288972-0j 0.00911857-0j 0.000316252-0j -0.000222256-0j 
0.078696-0j -0.0262679-0j -0.163096-0j 0.00973743-0j 0.168673-0j -0.0100704-0j -0.169981-0j 0.146958-0j -0.0629686-0j 0.00217053-0j -0.0162205-0j 0.0544396-0j -0.00187653-0j -0.00600879-0j 0.000207123-0j 0.0101999-0j -0.069608-0j -0.008314-0j -0.0577825-0j 0.00798266-0j -0.0182333-0j -0.0116752-0j 0.056738-0j 0.000444419-0j 0.0140913-0j -0.0544768-0j 0.047099-0j -0.0452219-0j 0.0796762-0j 0.0148621-0j 0.0661403-0j -0.0142698-0j -0.00036225-0j -0.0961648-0j 0.000347813-0j 0.0208707-0j -0.0798277-0j -0.0251897-0j -0.000508701-0j 0.000613974-0j 
0.0337269-0j -0.139741-0j -0.00565652-0j -0.0615011-0j 0.00973743-0j 0.105871-0j -0.0728492-0j 0.0634909-0j -0.0268912-0j 0.08699-0j -0.0631024-0j 0.0234367-0j -0.0758151-0j -0.0232933-0j 0.0753513-0j 0.00437137-0j 0.236176-0j 0.0055867-0j 0.0014662-0j -0.00782034-0j 0.0225446-0j -0.00344292-0j 0.301837-0j 0.0388289-0j 0.00241961-0j -0.422516-0j 0.00187384-0j -0.00262302-0j -0.186013-0j 0.0288124-0j -0.00115479-0j -0.0403321-0j 0.0496241-0j 0.130726-0j -0.0694646-0j -0.0177563-0j 0.000811563-0j 0.0124787-0j -0.0305819-0j 0.0214924-0j 
0.0292083-0j -0.0528665-0j 0.082738-0j 0.018396-0j -0.14243-0j -0.0316679-0j 0.00506351-0j -0.00441304-0j 0.171827-0j -0.00996952-0j 0.00438604-0j -0.149754-0j 0.00868882-0j 0.148838-0j -0.00863566-0j 0.00378572-0j -0.00717113-0j 0.00483822-0j 0.15903-0j -0.00677261-0j 0.113896-0j -0.00298165-0j -0.00916485-0j -0.00277668-0j 0.00209545-0j 0.0128291-0j 0.203244-0j -0.284503-0j 0.00564803-0j 0.145561-0j -0.125253-0j -0.203759-0j -0.00354866-0j -0.00396932-0j 0.00496746-0j -0.0897053-0j 0.0880254-0j 0.0630431-0j 0.00218693-0j -0.00153693-0j 
-0.0373288-0j -0.0986438-0j -0.00973743-0j -0.105871-0j 0.0100704-0j 0.109491-0j 0.0806293-0j -0.0697083-0j 0.0297631-0j -0.0962803-0j 0.00769407-0j -0.0257318-0j 0.0832394-0j 0.00284015-0j -0.00918757-0j -0.00483822-0j -0.261398-0j 0.00394367-0j -0.00162279-0j -0.00378651-0j -0.0249523-0j 0.00553803-0j 0.213068-0j -0.0429758-0j -0.0066841-0j -0.204577-0j 0.00132275-0j -0.00127003-0j 0.299208-0j 0.0203388-0j 0.00185751-0j -0.0195283-0j 0.0350299-0j -0.361127-0j -0.0336339-0j 0.0285615-0j -0.00224192-0j -0.0344721-0j 0.0491919-0j -0.0593719-0j 
-0.0323277-0j -0.0373187-0j 0.14243-0j 0.0316679-0j -0.1473-0j -0.0327507-0j -0.00560428-0j 0.00484519-0j -0.190178-0j 0.0110342-0j -0.000534789-0j 0.164419-0j -0.00953968-0j -0.0181478-0j 0.00105294-0j -0.00419002-0j 0.00793699-0j 0.00341532-0j -0.176014-0j -0.00327921-0j -0.12606-0j 0.00479608-0j -0.00646951-0j 0.00307323-0j -0.0057886-0j 0.00621168-0j 0.143471-0j -0.137753-0j -0.00908502-0j 0.102752-0j 0.201473-0j -0.0986575-0j -0.00250501-0j 0.0109651-0j 0.00240518-0j 0.144294-0j -0.243167-0j -0.174154-0j -0.00351775-0j 0.00424573-0j 
-0.0113123-0j 0.073266-0j -0.0150735-0j 0.0841585-0j 0.0259484-0j -0.144875-0j -0.00196109-0j 0.00170916-0j -0.112016-0j 0.0664782-0j -0.00169871-0j 0.0976259-0j -0.0579383-0j -0.0970286-0j 0.0575838-0j -0.0014662-0j 0.00993825-0j -0.00187384-0j 0.00830607-0j 0.00262302-0j 0.245102-0j 0.00115479-0j 0.0127013-0j 0.093517-0j -0.000811563-0j -0.0177794-0j 0.0106153-0j -0.0148595-0j -0.00782742-0j 0.313245-0j -0.00654191-0j -0.438485-0j 0.119516-0j 0.00550096-0j -0.167301-0j -0.193044-0j 0.00459752-0j 0.135667-0j -0.0736545-0j 0.0517629-0j 
0.0125205-0j 0.0517188-0j -0.0259484-0j 0.144875-0j 0.0268356-0j -0.149829-0j 0.00217053-0j -0.00187653-0j 0.123979-0j -0.0735779-0j 0.000207123-0j -0.107186-0j 0.0636119-0j 0.0118307-0j -0.00702118-0j 0.00162279-0j -0.0109996-0j -0.00132275-0j -0.00919313-0j 0.00127003-0j -0.271278-0j -0.00185751-0j 0.00896589-0j -0.103504-0j 0.00224192-0j -0.00860857-0j 0.0074934-0j -0.00719476-0j 0.0125906-0j 0.221121-0j 0.0105229-0j -0.212309-0j 0.0843672-0j -0.0151962-0j -0.0810049-0j 0.310517-0j -0.0127005-0j -0.374776-0j 0.118475-0j -0.142993-0j 
0.00169685-0j -0.0189085-0j -0.000284588-0j -0.0477828-0j 0.000489905-0j 0.0822558-0j 0.000294163-0j -0.000256375-0j -0.00363869-0j -0.196124-0j 0.000254806-0j 0.00317126-0j 0.17093-0j -0.00315185-0j -0.169884-0j 0.00021993-0j -0.00256487-0j 0.000281075-0j 7.37669e-05-0j -0.000393453-0j 0.0175158-0j -0.000173218-0j -0.00327795-0j 0.272547-0j 0.000121735-0j 0.00458853-0j 9.42755e-05-0j -0.000131968-0j 0.00202011-0j 0.0223856-0j -5.80992e-05-0j -0.0313357-0j 0.348321-0j -0.00141969-0j -0.487584-0j -0.0137956-0j 4.0831e-05-0j 0.00969526-0j -0.21466-0j 0.150859-0j 
-0.00187807-0j -0.0133476-0j -0.000489905-0j -0.0822558-0j 0.000506657-0j 0.0850684-0j -0.000325579-0j 0.00028148-0j 0.00402729-0j 0.21707-0j -3.10685e-05-0j -0.0034818-0j -0.187668-0j 0.000384305-0j 0.0207139-0j -0.000243418-0j 0.00283879-0j 0.000198412-0j -8.1645e-05-0j -0.000190505-0j -0.0193865-0j 0.000278627-0j -0.00231392-0j -0.301655-0j -0.000336287-0j 0.0022217-0j 6.65495e-05-0j -6.38973e-05-0j -0.0032494-0j 0.0158021-0j 9.34543e-05-0j -0.0151723-0j 0.245881-0j 0.00392185-0j -0.236082-0j 0.0221906-0j -0.000112794-0j -0.0267828-0j 0.345287-0j -0.416742-0j 
