-0.418745-0.0701065j 0.255618-0.0177915j 0.324949+0.123512j 0.086723-0.192206j 0.266459-0.143282j -0.19861-0.288553j 0.0574847+0.175908j -0.0030552-0.0258862j 0.261016-0.0588946j 0.0362496+0.0126838j -0.0499007+0.0641078j 
0.11856+0.406243j 0.022631+0.0278923j -0.204231-0.233527j -0.319369-0.155843j 0.182767+0.0161757j -0.213302+0.142454j -0.245355+0.193692j -0.0200116-0.0105878j 0.219168-0.0992604j -0.112175+0.321637j -0.0906603+0.0423351j 
-0.183259+0.110895j -0.115255-0.279122j 0.084499+0.000528501j -0.0247928+0.527582j -0.161144-0.101275j -0.0752249-0.250626j 0.0740447+0.0406682j 0.330944-0.0950257j 0.0598904-0.110166j -0.0219037+0.25438j -0.0645805-0.0813052j 
0.0210779-0.0043802j -0.204553-0.226886j -0.0276971-0.0576123j -0.243546-0.0271425j -0.133152-0.0687981j 0.468345-0.376443j -0.133152+0.0687981j -0.243546+0.0271425j -0.0276971+0.0576123j -0.204553+0.226886j 0.0210779+0.0043802j 
-0.0645805+0.0813052j -0.0219037-0.25438j 0.0598904+0.110166j 0.330944+0.0950257j 0.0740447-0.0406682j 0.228588+0.127357j -0.161144+0.101275j -0.0247928-0.527582j 0.084499-0.000528501j -0.115255+0.279122j -0.183259-0.110895j 
0.0906603+0.0423351j 0.112175+0.321637j -0.219168-0.0992604j 0.0200116-0.0105878j 0.245355+0.193692j 0.184988-0.17768j -0.182767+0.0161757j 0.319369-0.155843j 0.204231-0.233527j -0.022631+0.0278923j -0.11856+0.406243j 
0.0499007+0.0641078j -0.0362496+0.0126838j -0.261016-0.0588946j 0.0030552-0.0258862j -0.0574847+0.175908j -0.239096-0.256012j -0.266459-0.143282j -0.086723-0.192206j -0.324949+0.123512j -0.255618-0.0177915j 0.418745-0.0701065j 
