0.717316+0.0215739j -0.0144371+0.0120564j 0.00464585+0.00216075j -0.00703675+0.00210526j 0.289547-0.0116089j 0.567213-0.024081j -0.00910183+0.00861034j -0.00262208-0.0045594j 0.0194674-0.00279553j 0.0134733-0.00107042j -0.00437892+0.00420826j -0.00507048-0.000379782j 
-0.111579+0.0117311j -0.532075-0.0143145j -0.0455636-0.00574047j -0.166404-0.00784742j 0.125545+0.000221435j 0.11533-0.00737326j 0.76781-0.0106072j -0.0186062+0.00211194j -0.000419867-0.00156425j -0.0147559-0.00185282j 0.0354631-0.00276996j -0.0095531+0.00328769j 
0.0129034+0.00974213j 0.118183-0.0109048j 0.230439+0.00194034j -0.0128672-0.00540343j -0.108698-0.00568747j 0.0348413-0.00765711j 0.148889-0.00408513j 0.92605-0.000336843j -0.0535108-0.00187714j 0.0242753-0.000966046j -0.00711319+0.000212341j 0.0147739-0.00079602j 
0.0153435+0.0113395j -0.0335791+0.00151806j 0.0670959-0.00385901j -0.129525-0.0103429j 0.103748+0.00556698j -0.0996381-0.0108791j -0.0796261-0.000749384j 0.0517058+0.00111406j 0.96422-0.00299105j 0.0348288-0.00128493j 0.00578938+0.000986605j -0.0205323+0.00289718j 
-0.00899068+0.00126321j 0.0298189+0.00663733j 0.0752539-0.00408287j 0.0899404+0.00224881j 0.0568181+0.0132914j -0.0125003-0.00963359j 0.0390405+0.00361591j -0.00962998+0.0017119j 0.0222056-0.0014331j -0.971218-5.91869e-05j 0.0200366+0.00218975j -0.00221563-4.3189e-06j 
0.0123111+0.00990849j 0.00488093+0.012476j -0.0204916+0.00237882j -0.084108+0.002462j 0.0565147+0.0124977j -0.0525522-0.0126829j -0.00606048+0.00508735j 0.0226609-0.00104757j -0.0428451-0.00302588j -0.041189-0.00089476j -0.963185+0.000260615j 0.0198447+0.00363436j 
0.00415559-0.00158907j -0.00123944-0.0141967j 0.00121591-0.00864451j 0.00945775-0.0160359j -0.0618874+0.0237559j 0.0272924-0.0111636j -0.00362675-0.0116974j -0.00498238+0.00696159j -0.00336414-0.00433588j 0.00566685-0.00199616j -0.0498091-0.00296154j -0.955949-0.00381103j 
