-0.00118869-0.173618j -0.138492-0.00870818j -0.0175433-0.12243j 0.0268357-0.174666j -0.0852542+0.073162j -0.0312997-0.22922j 0.158777-0.132989j -0.280506-0.0250505j 0.0373963+0.254952j 0.0718091+0.0845576j 0.210168+0.203047j -0.0832595-0.0275526j 0.118977-0.1306j -0.081285+0.163571j 0.172618-0.229596j -0.000781908+0.170072j -0.110855-0.0630234j -0.0609706+0.216867j -0.260842-0.0183949j -0.0844194-0.198736j -0.0428853+0.0474419j -0.078025-0.0490283j -0.0328243-0.016198j -0.0601006-0.0116924j 0.049798-0.00161082j -0.0147227+0.0128179j -0.128089-0.0288446j 0.264974+0.0376348j 0.206698-0.0564622j 0.0112686-0.00940197j -0.101802-0.00860482j -0.0162408-0.0403311j 0.00405337-0.0228118j -0.0594843-0.0586989j -0.0384487-0.0360192j 0.0410674-0.0725035j 0.0926399-0.0312583j 0.0580739+0.0219204j 0.0209649-0.00673131j -0.0330766-0.00676719j 0.0140658-0.00390539j -0.0303658+0.0282223j 0.0165916-0.0118744j 0.00374281-0.0131699j -0.00160607+0.0278677j 0.0259021+0.00976353j -0.0163228+0.00457927j -0.00221765-0.018407j 0.0138778+0.022294j -0.00212138-0.0317457j 0.00576892+0.000355666j 0.00718106+0.0168165j 0.00465774+0.0329789j -0.0161681+0.0241331j 0.00723625+0.00597291j 0.000297128-0.017544j -0.000210027+0.0268691j -0.0349752-0.0131121j 0.00893471+0.00536466j 0.0116913-0.00767104j 0.0180461-0.0020795j 0.00907127+0.0131716j -0.00154904+0.0158883j 0.0106831-0.0148194j -0.00215463-0.00151104j -0.00171178+0.0182337j -0.0152671-0.00242635j -0.0131254-0.00759076j 0.00236647+0.00346494j 0.00796798+0.00859199j -0.00753833-3.69582e-05j 0.00143167+0.0148065j -0.0260095+0.0208879j 0.0253433-0.00553093j -0.00827061-0.00880526j 0.0253423+0.00501707j -0.00724401+0.00165115j -0.0110057+0.00653294j 0.00880079+0.00665j 0.0117845+0.0114042j -0.0089784+0.0131236j -0.0110971-0.0204596j 0.00159685+0.00720826j -0.0118093+0.00306037j 0.00580033+0.0101123j -0.0231039-0.0207609j 0.00941654+0.0122563j -0.00375899-0.0092773j -0.00156619+0.00456136j -0.00465687+0.0205737j 0.0316198-0.00311199j -0.00590799+0.0133825j 0.00101109+0.0103172j -0.0262872-0.0285455j 0.0276008-0.0235645j 
-0.0411521-0.153636j -0.135024+0.0525359j -0.0284424+0.121397j 0.0733481+0.0662637j -0.178663+0.054191j -0.129352-0.0686545j -0.0491327-0.108294j 0.00368368-0.132408j -0.0326047-0.0461758j -0.00782904-0.0499413j -0.0794292-0.053569j 0.0279903+0.0417863j 0.0134552+0.0763725j 0.0865413-0.0199602j -0.0405781+0.0837109j 0.0638573-0.0740581j -0.0716666+0.052303j -0.0119859-0.118555j 0.0222651+0.142752j 0.101833-0.128689j -0.165291+0.065692j 0.17475-0.0273503j -0.0308349+0.0923818j 0.0547896-0.143002j -0.00301628-0.0542553j 0.00390657-0.108397j 0.258263+0.0283101j 0.126961-0.0365372j -0.0290324+0.159041j -0.121399+0.0315436j 0.0713543+0.095599j -0.0569893-0.0259245j 0.111217+0.148416j 0.0622012-0.00987906j 0.091894-0.115932j -0.0780719-0.068395j -0.0378292-0.164984j 0.163153+0.190445j 0.1134-0.0225973j -0.24532+0.0412227j 0.0812387-0.0941355j -0.0130864+0.0645196j 0.0112427-0.0324925j 0.0218409-0.134124j 0.057167+0.0599347j 0.0444957+0.0926145j -0.0721189-0.0359065j -0.0214571-0.0190645j 0.0660075+0.000567609j 0.0103881-0.0539855j -0.00316961-0.0219531j 0.00294355+0.0734729j -0.0136039+0.0820291j -0.019165+0.142612j -0.00577783+0.0421743j -0.0228145-0.0315527j -0.0152248+0.0229267j -0.0513525-0.0234155j 0.0217485-0.00218629j -0.00156917-0.011362j 0.0349697-0.00270861j 0.0682182+0.055757j -0.0369119+0.023524j 0.0141374+0.00137299j 0.00282711+0.0684155j 0.0334735+0.0338033j -0.0621488+0.00672779j 0.0407442+0.00369669j -0.0164705+0.0402476j 0.00159151-0.0341195j -0.018107-0.0280557j 0.0270863+0.0209058j -0.00786231+0.0554749j -0.00206713+0.0110852j 0.00231298+0.0212427j 0.00104848+0.0131687j 0.022523+0.0116513j -0.0359739+0.00348437j 0.0423394-0.00929711j 0.000439006+0.0218479j -0.0288587+0.0134215j 0.0257096-0.0164267j 0.0255995-0.0307281j -0.0413746+0.0411267j 0.0405597+0.0294175j -0.03827-0.0310821j 0.0411882-0.0224298j 0.00121022+0.0059685j 0.00990009+0.0133412j -0.00590433+0.0217716j 0.00295208-0.0333988j 0.0203702+0.0168699j 0.0128693-0.0392786j -0.0329079-0.10359j 0.0986342-0.0279221j 
0.129655+0.0463974j 0.028856-0.168728j 0.0181867+0.0316935j -0.00600858-0.0321495j 0.0492864+0.264685j -0.229114+0.0737503j 0.046489-0.076678j 0.031061+0.0545438j -0.0691711-0.0406615j 0.0215872-0.0676346j 0.0199419+0.111259j -0.0150925-0.0157576j -0.0818979+0.0354354j -0.00442132-0.00384078j 0.0623972-0.0317912j -0.0221226-0.0751764j -0.139381+0.00698586j -0.101242-0.0391993j 0.077873+0.105469j -0.116023-0.112504j -0.0947786+0.0232965j 0.112169-0.0513068j -0.087728-0.151965j -0.104119+0.0807856j -0.106263-0.042272j 0.0975067+0.181931j 0.0369461+0.158644j 0.0191236+0.0499676j -0.0576938+0.15136j -0.116221+0.218545j -0.0362925+0.124776j 0.205146+0.0148375j -0.216276+0.00641416j 0.0166306-0.00502071j 0.00173912+0.0619051j 0.255497-0.0472886j -0.0380287+0.167415j -0.0704636-0.0331744j 0.128628+0.0844797j 0.0620862-0.13396j -0.0492979-0.0429365j -0.000435426+0.0025772j -0.0301662-0.0110294j 0.00277264+0.0861738j 0.0444013-0.0195699j 0.0919358+0.0502294j -0.0813923+0.0188547j 0.038841-0.14202j 0.0322383-0.0939585j -0.0751196+0.015541j -0.00282772-0.0934625j 0.0243766-0.0525616j 0.073335+0.0292403j 0.178588-0.0296561j 0.113339+0.124007j -0.055296+0.0432453j -0.0134288-0.0154041j -0.0306055-8.12011e-05j -0.0358902-0.0203543j 0.0153263+0.0200264j -0.0217153+0.0098959j 0.0270576+0.0600082j 0.0164949+0.0171221j -0.00859601-0.0388383j -0.0399113+0.0476916j -0.00886594-0.0131943j 0.00415657+0.0598892j 0.0356361-0.0370901j -0.00995746-0.0126766j 0.0334465-0.0178538j 0.0368622+0.002174j -0.0200281+0.00538597j 0.0191504+0.00503239j 0.0379667+0.00848544j 0.0140563-0.00304099j -0.0256778-0.00530208j 0.0148364-0.014093j -0.00379762-0.0111949j 0.0178353-0.0126136j 0.000822209-0.00256407j 0.006794-0.00923852j 0.0268351+0.0109628j -0.0145185+0.0420515j -0.0146772+0.0281325j 0.0134867+0.020759j -0.040601+0.00540291j -0.036568-0.0214507j 0.00796703-0.0083266j 0.000299376+0.00420992j -0.0178928+0.0355093j -0.00865814+0.0419603j 0.0206107-0.0128146j -0.0447711-0.0243241j 0.0437405-0.00158407j -0.00132465+0.0424893j 
-0.0816267+0.0267187j 0.0293329+0.102408j 0.0194472-0.00420051j 0.00786844-0.0205364j -0.0361779-0.0209659j 0.0467224-0.0304362j 0.0394963+0.0126394j -0.0106605-0.0259328j -0.0267913-0.00532091j -0.000216924-0.0683395j 0.0191957+0.0309715j 0.00795677+8.11374e-05j -0.0368209+0.012521j -0.00638173+0.0150524j 0.00459416-0.00454659j 0.00695444-0.0196403j -0.0129871-0.00823065j 0.00892961-0.0299241j -0.0094654+0.00966776j 0.00206312-0.0376147j 0.046129-0.0649703j 0.109271-0.0626227j -0.130842+0.0319946j 0.0517922+0.116971j -0.0380595-0.0128465j 0.053677+0.0637176j 0.038819-0.00329651j 0.0315713+0.00068328j 0.00460805+0.0348903j -0.0507672+0.0692533j 0.0108155+0.103926j -0.00429923-0.0248528j -0.061857-0.0156867j -0.0260865-0.01056j 0.00908984-0.0292744j 0.039982-0.0410503j 8.03748e-05-0.00592997j 0.124785+0.0947603j 0.0657871-0.0355566j 0.02357-0.0349542j 0.0659665-0.0813826j -0.0135528+0.0270923j -0.0330352+0.0253128j 0.0156048+0.0160688j 0.0307438+0.0145595j -0.0828531+0.0739576j -0.0695815-0.0615401j 0.122276-0.0177024j 0.0454521-0.114892j -0.0387549-0.198695j -0.0437551-0.056435j -0.0447338+0.0309595j 0.0496666-0.0125623j -0.000378586+0.0147512j 0.112286+0.0443545j 0.0107128+0.00958811j -0.0262795-0.0555072j -0.0276207-0.0234405j -0.0135726-0.012667j -0.0504021-0.0771728j -0.0425461+0.133515j -0.0590462-0.0842944j -0.0108333-0.00333675j 0.0655057+0.0338326j 0.111843-0.104088j 0.116835-0.00544042j 0.0615082+0.0145543j -0.059185+0.0638401j 0.0590049-0.0294736j -0.12838+0.0347597j -0.0720166-0.0443439j 0.050412-0.00420705j -0.0633489-0.0441612j -0.1436-0.12889j -0.0524191+0.0420097j -0.04882+0.150874j 0.0297399+0.0179493j -0.0242204+0.0675667j 0.0267475-0.0738185j 0.0114642-0.0103086j 0.00925551+0.0187601j -0.0609158+0.0831736j 0.105502-0.10302j 0.119399-0.0844091j -0.255832-0.09312j 0.101059-0.0587684j -0.0382009+0.0183478j -0.026778+0.0227621j -0.0785048-0.0416318j -0.00656095-0.0998357j 0.0164129-0.0480669j -0.057302+0.0354634j 0.123443+0.118876j -0.131402+0.0907044j -0.0632387-0.136558j 
0.0572516+0.0191502j 0.00963303-0.0669885j -0.0215383+0.0189665j 0.00143813+0.0271517j -0.0178569-0.0189054j -0.0401933-0.0240852j 0.0106346-0.0359926j 0.0260564-0.0266826j -0.0493661+0.000548501j -0.0238167-0.023036j -0.012055-0.0143302j -0.0174653-0.0124076j 0.0197095+0.00438375j -0.0167887+0.00861826j -0.0422226+0.00722352j 0.00979868-0.0078114j 0.011939+0.0246113j 0.0251669+0.0139645j -0.0187665+0.0228407j 0.00721805-0.0326321j -0.0226209+0.0102542j 0.00485354-0.00407183j 0.0425704+0.00804076j -0.00450621-0.0508929j -0.00334064+0.0130863j -0.0281605-0.0296053j 0.0441341+0.0056745j 0.0380002-0.00438757j 0.0265194+0.0239961j -0.00569316-0.0172014j -0.0381531-0.0138932j 0.00367619-0.020588j 0.0530161-0.107445j -0.107181-0.127057j 0.000514274+0.0444288j 0.0172345-0.142548j 0.0284629-0.0621951j 0.0490199+0.0386531j -0.0167043-0.0215797j -0.104218+0.0406663j -0.0182107-0.00566115j -0.0377611+0.0154786j -0.101801+0.0208707j 0.0877327-0.0724906j 0.0787878-0.0687309j 0.0508485+0.00256944j 0.077789+0.0745693j 0.0640107-0.0522697j 0.00772696+0.118175j -0.0146216-0.0499313j -0.0558396-0.129591j 0.0600671+0.0696974j 0.063505+0.00588139j -0.0874865-0.00435201j -0.02996-0.0226327j -0.0238908+0.00385884j 0.0599251-0.126274j -0.0413818-0.00537589j -0.132222-0.0702988j -0.0877319-0.0429685j 0.0117333-0.0692862j 0.0391858+0.0479607j -0.0585323-0.0512908j 0.0486996-0.0124898j -0.117464-0.075252j -0.0705472+0.248668j -0.0397401+0.0513747j -0.0755171+0.048912j 0.246723-0.00843546j -0.0349541-0.00882546j 0.0640975+0.192532j 0.00407996-0.0912143j 0.178074-0.106058j -0.0638604-0.00109264j -0.0687994-0.0170504j -0.14652-0.0247899j -0.106966-0.0408227j -0.0566009+0.191266j -0.199524+0.0698186j 0.23242+0.018152j -0.0159104-0.129739j -0.0486656+0.0203713j 0.00513558+0.0310579j -0.111302-0.0274701j -0.00561447+0.0236299j 0.120584+0.112622j -0.0224282-0.12142j 0.0172113+0.0582353j 0.0156412-0.0125653j 0.049489-0.0897105j -0.0954228-0.0222382j 0.0351438-0.0637126j -0.0156453-0.0206249j 0.0566015+0.0627594j -0.0591244+0.0591564j 
0.0339142-0.0133405j -0.019849-0.0478252j -0.0409054-0.027356j -0.0198179+0.0114933j -0.0100073-0.0678821j 0.0294709+0.0100359j 0.0321797-0.0546887j 0.0190638+0.0117794j 0.0445575+0.0165762j -0.0146076-0.00140747j 0.0231476-0.0456794j -0.00878829+0.053811j -0.0222403+0.00744829j -0.00570136+0.0430314j -0.00397133-0.0296205j -0.00201015-0.0409424j -0.0224857-0.0190727j 0.0103292+0.00886341j -0.0426527-0.0130463j 0.00628324-0.0555868j -0.0165489+0.02572j 0.0525821-0.0100368j 0.0565381-0.00969079j -0.0232424-0.0367574j 0.0127445-0.0133068j -0.0253761-0.0484763j 0.0848096+0.00444913j 0.00213363-0.022802j 0.0701952+0.0727639j -0.00231946-0.00640158j -0.0151911+0.0337039j -0.0358374+0.00618779j 0.0420109+0.0885607j 0.088885+0.0338989j 0.0702109-0.040028j -0.000231809+0.0505665j -0.0964172+0.0182859j 0.0566921+0.0875936j -0.0331106-0.0544062j -0.0924971+0.139195j 0.0240728-0.102828j 0.0455174-0.008559j 0.0884817-0.00953083j 0.0467532-0.0838307j -0.0299041+0.0309323j -0.0428246+0.022404j -0.13316-0.0459726j 0.00520873+0.0288859j 0.0377457-0.0384673j -0.0301158+0.0289613j -0.099961+0.0158063j 0.0227173-0.0183456j 0.018116+0.0105989j 0.0118676+0.0620621j -0.0707227+0.0252332j -0.0041646-0.0990312j 0.0425055-0.0473537j 0.0245033+0.0276204j 0.0564185+0.0149975j -0.0492265-0.0809263j 0.0688417+0.053584j 0.0454526+0.0333222j 0.047555-0.00425394j -0.00360682-0.0539442j 0.0520566+0.015821j 0.0395191-0.119909j -0.00559132-0.03436j 0.0283157-0.046333j -0.0572433-0.027891j 0.0767161+0.059281j -0.0617456+0.00553837j -0.0816317+0.00676483j -0.0407808+0.0132362j 0.0686081+0.0286494j 0.0265659-0.0756077j 0.00345974-0.122803j -0.00801402-0.00612031j 0.0382627-0.0991808j 0.062984+0.0173845j -0.141315-0.0133178j 0.0362818+0.0175069j -0.0118325-0.0212507j -0.0441545+0.131114j -0.067593+0.0345978j 0.0410611-0.00904596j -0.0330649-0.031522j -0.0303614+0.0355261j -0.0416016-0.048615j -0.0193191-0.0262911j 0.0633261+0.108419j 0.160255+0.0496678j -0.0452654-0.0275858j -0.0983701+0.143932j 0.0876529+0.0848065j -0.0940656+0.0955597j 
0.0342623-0.00707417j -0.00675733-0.0488749j 0.00826085-0.0127544j -0.00490253+0.0098252j 0.0431485+0.0182652j -0.0433768+0.0473215j -0.00148059-0.00547518j 0.0045451+0.0290132j -0.00435224-0.0187701j 0.0238038-0.000712303j -0.0126458+0.0135509j -0.00324213-0.0088364j 0.00749122-0.00589715j 0.0134622-0.00840331j -0.019958-0.0132347j -0.0124738-0.0169397j -0.00771806-0.00545344j -0.0159863+0.00433761j 0.00123013+0.0161375j -0.0213371-0.013764j -0.0250847+0.0474014j 0.0234154-0.01325j 0.0719843-0.0142729j -0.00452458-0.0507781j 0.00447415-0.0606577j -0.0473169-0.0401581j 0.00854032+0.0431639j -0.00296918+0.00867098j 0.00645661+0.00615696j 0.0197826-0.0316249j -0.0263495-0.0460216j 0.0174284+0.00543456j 0.00541082-0.0150542j -0.0474936-0.0414376j -0.00821415+0.021726j -0.0248329+0.0401529j -0.0150137+0.00233466j -0.00349962-0.0154048j -0.00106531-0.0473062j 0.00191399-0.0221655j -0.0316178+0.038964j -0.0723592+0.0895283j -0.00493505+0.0141966j 0.0520916-0.0323947j 0.052411+0.0422454j -0.0234324-0.0145569j -0.0761658+0.0335364j -0.0354022-0.0723882j -0.0518707+0.0347078j 0.0888778+0.0362939j 0.0877521+0.0820656j 0.0332954-0.0110647j -0.0789245-0.0555841j 0.0233032+0.0197036j 0.0184883+0.0211384j 0.0967905+0.012088j -0.092113+0.118923j -0.0830733-0.107257j 0.00535106+0.05626j 0.014044+0.00700581j 0.00765468-0.0408303j 0.0438243+0.0876029j 0.0179358-0.0833904j -0.0445435-0.0342022j -0.0206501+0.043142j -0.0317408-0.0131142j -0.0473082-0.0126871j 0.0527025+0.0368708j 0.0211032+0.0993345j 0.12643-0.0446314j 0.0595628+0.00819636j -0.0243279-0.0246308j 0.0127999-0.108646j 0.0728572+0.0388837j -0.0214896-0.00661033j 0.0404458+0.00287475j 0.0141161-0.0601057j -0.0167418-0.0239953j -0.0519831+0.11783j -0.0373358+0.0381617j -0.0905568+0.00923845j 0.0631262+0.0360479j -0.0357543+0.0207151j -0.0959866+0.0597344j 0.0234184+0.0493951j -0.00328126+0.0170555j -0.00377456-0.0274346j 0.0169965-0.0148087j 0.0951556-0.00505169j 0.12658+0.126998j 0.0132593-0.101289j 0.132976-0.0765408j -0.0128948-0.0395647j -0.00329652-0.0409531j 0.0314786+0.00406768j 
-0.02956-0.0587364j -0.0501426+0.0359218j 0.00566491+0.0442309j 0.0260357-0.00640704j -0.0317038+0.0599495j -0.0437274-0.03189j -0.039172-0.00485243j -0.0154536-0.024514j -0.0132028+0.00404802j -0.00698774+0.0257584j -0.00185094+0.0125673j 0.00661107-0.0144207j 0.0374064+0.00951581j 0.0179934-0.0321157j 0.0234928+0.031459j 0.00563214+0.0336014j -0.00136413+0.0226051j -0.0200085-0.00892505j 0.0316435+0.029571j 0.00844291+0.0322071j -0.0483091-0.00139441j -0.0504848+0.00167458j -0.0228306+0.00363277j 0.060778-0.015715j 0.00798885+0.0305762j -0.0118678+0.0221525j -0.0142068+0.000819751j 0.0173054-0.00673764j -0.0534482+0.00304427j -0.00995554-0.0178067j 0.0121219-0.0338924j 0.0124799-0.00469372j 0.0115804+0.00598973j 0.0382887+0.0339215j -0.0437006-0.0435444j -0.0234885+0.0202495j 0.0643339-0.0343682j -0.0385748-0.0491521j 0.0577541+0.0368845j 0.055844-0.0999093j 0.0144513+0.0721749j 0.0296784-0.0296671j -0.0118586+0.0655132j -0.0729193+0.0264426j -0.0246294-0.0115499j 0.0363574+0.0123849j 0.10355+0.00935852j -0.0483081+0.018914j 0.0391417+0.013708j -0.0603718+0.0265313j 0.0724198+0.0231999j 0.00311873+0.0231148j -0.0173359+0.019025j -0.0344053+8.79346e-05j 0.0605538+0.00361882j -0.0585585+0.0828838j 0.0426333+0.00853091j 0.0911227+0.108018j 0.0113896-0.0668506j 0.0530545+0.0463823j -0.0221764-0.0730319j 0.00288257+0.00144475j -0.0518472+0.0703956j 0.0335639+0.00531928j -0.0121885+0.0713945j -0.045224+0.0380529j 0.0238811-0.0574187j -0.000343282-0.052362j -0.0774017-0.0576379j -0.0570909+0.0180324j -0.00211923-0.0245198j -0.0268625+0.0188322j -0.0058795+0.0965552j 0.020105-0.0374631j 0.0655425+0.0157272j -0.00165503+0.00839314j 0.0273472+0.0906917j 0.0781346+0.00269328j 0.00703738-0.101829j 0.0619801+0.0192037j 0.0720235+0.00932819j 0.00760658-0.0558815j 0.05132-0.0485605j 0.013026-0.0143855j 0.0395+0.0226489j -0.0488234+0.0342156j 0.0346837-0.0133254j 0.00694661+0.00378512j 0.0404994+0.0263514j -0.0897365-0.0880549j -0.0720978+0.0561425j -0.0742595+0.0649398j 0.0336199-0.0694188j -0.0373587-0.103385j 0.103096-0.0396961j 
-0.0078303+0.0827564j 0.0630863+0.0205735j 0.00550058-0.0236873j -0.0133377-0.0116737j -0.0392365-0.00381696j 0.0239121+0.0191763j -0.0127782-0.0354768j -0.010188-0.0818179j -0.0201335+0.0528075j 0.00497638+0.0227452j -0.00358499-0.0209858j 0.0100462+0.0149542j -0.0364829+0.000160003j -0.0148111-0.0135347j -0.00399013+0.00678575j -0.031844+0.0138671j 0.0161355+0.0171358j -0.0022822-0.00538752j 0.00547737-0.0141566j -0.02029+0.0126598j -0.0402925-0.0276618j -0.0975202+0.0636133j -0.0323486-0.0941456j -0.0284111+0.0357444j 0.0288143+0.0789719j 0.0877123-0.0212324j 0.0223739-0.00673712j 0.0303092+0.00763049j -0.0316077-0.0266229j -0.00266068+0.0161913j 0.01952+0.0679608j -0.0293058+0.0855417j -0.0611454+0.0776163j -0.0540241-0.065325j 0.00936644-0.0157302j 0.0172971-0.101982j 0.0364837-0.00187654j -0.0208438-0.0150481j -0.0991175+0.145392j -0.102628+0.0754781j -0.0322089-0.0340721j -0.115754+0.09606j 0.0121134-0.0490131j -0.0820881+0.0419767j 0.0696226+0.0174064j -0.00855364-0.111215j -0.0760113-0.0324263j -0.0561108-0.0523023j -0.0290343+0.0333629j 0.227998+0.0647811j -0.0777782-0.0203328j 0.0636557+0.00895644j 0.0056465-0.00998308j 0.0875507+0.00204124j -0.0984272-0.0642095j -0.0456219-0.193818j -0.0640693+0.0554223j -0.0578281-0.1207j 0.0168403+0.0827907j -0.00480653+0.0172504j 0.0098052+0.074615j -0.064396-0.105251j 0.0226143+0.1249j 0.028375+0.0793861j 0.0232761+0.00513673j 0.0375332-0.0344433j -0.00962933+0.12282j 0.0743806+0.104574j -0.0279258+0.0451515j -0.0322763-0.116948j 0.0242199+0.0655351j 0.110981+0.0722871j -0.0414739+0.0419819j -0.0047502+0.15421j -0.0845572+0.0256154j 0.00441046+0.113154j 0.0652058-0.0848156j -0.0586879+0.00321647j 0.0532969+0.0211414j 0.0439879+0.0314864j -0.0864873+0.0797723j -0.0157675+0.0801483j -0.0795591-0.0400972j 0.123758+0.00456353j 0.0519491-0.16448j -0.01433+0.000767876j 0.154155-0.0783265j -0.0321076+0.00661477j -0.228979+0.010353j -0.0534512+0.0846137j -0.104115-0.0888233j 0.227996+0.0177926j 0.0227875-0.148138j -0.00235723+0.0357263j -0.022106-0.00563412j 
-0.0247914+0.0150233j 0.0113649+0.0275612j -0.0277078-0.00117754j -0.0241214-0.0216718j 0.000564167-0.0338961j -0.00768422+0.0188382j 0.00921866-0.0622322j 0.0235982-0.00187434j -0.0158645-0.00468947j -0.00510825+0.0119714j 0.00162011+0.0196221j 0.0330784-0.0180664j 0.0150633+0.00447327j -0.0180679-0.0278815j 0.000172062+0.00193931j 0.0109847-0.0113491j 0.0134528-0.0408022j 0.00726438+0.00187456j -0.0181875+0.0102537j 0.000165098+0.00192067j 0.00680026-0.0124423j -0.00758005-0.000624065j 0.0128767-0.00449236j 0.00405539-0.00124352j -0.012641-0.00740376j 0.00796145-0.0149539j -0.00542017+0.0238483j 0.00412911-0.0149082j 0.0114668-0.0143124j 0.0147193-0.0038837j -0.00508661-0.00749382j 0.00349441+0.0228162j 0.0266783+0.0594617j 0.0685126-0.0972257j -0.0200459-0.0597434j 0.0527029+0.091064j 0.00763127+0.0939137j -0.00274741+0.0101617j -0.01338+0.0533696j 0.021261-0.0310435j -0.00962903+0.0281199j -0.119389+0.202677j -0.175686+0.2859j 0.0276943-0.0636027j 0.100637+0.0096895j -0.154893-0.0639389j -0.0676988+0.0105602j -0.154399-0.0169287j 0.122178-0.00510168j -0.0588757-0.0123742j -0.0242339-0.0644597j 0.2097+0.127907j -0.136012-0.268065j -0.0294724+0.0154098j 0.096233+0.105951j 0.0345659-0.00959104j -0.0247341+0.0867232j -0.0274431-0.0427123j 0.00571403-0.100892j 0.0242896-0.083538j 0.0265527-0.0411195j -0.0155125-0.0295205j 0.0231665+0.070574j 0.0601062-0.0654164j 0.0636871+0.073117j -0.0510028-0.0675288j -0.0375005-0.11243j -0.049111+0.0017431j -0.0559484-0.0726407j -0.0589908-0.0748493j 0.0496391+0.10035j -0.0795704-0.138488j -0.0439756+0.128056j 0.00990621-0.150437j 0.0536865-0.0284126j -0.0563028+0.0782397j 0.0751944+0.00168297j 0.114711-0.093126j -0.0827486+0.0906152j 0.0157942-0.0884098j 0.134296-0.0578351j -0.0313704-0.108349j 0.0594908+0.00777865j -0.0194505-0.0294778j 0.011711+0.0128572j -0.0291996+0.0736986j 0.0349857-0.0119622j -0.352829+0.014916j 0.10981+0.00581647j 0.0316005-0.00635615j -0.0369431-0.0985395j 0.0343602+0.0207963j 0.0286358+0.0111132j -0.0144743+0.0237369j -0.0218537-0.0183443j 
-0.00469612+0.0310676j 0.0174487+0.000744466j -0.0284883+0.00528844j -0.0132685-0.00871865j -0.0526505-0.0127107j 0.0413006-0.0124666j 0.00198035-0.0387954j 0.00802554-0.03116j -0.00124618+0.0292704j -0.0303826+0.0132592j 0.0117824-0.0281767j 0.00335707+0.0190637j -0.0366876-0.00307514j -0.0239677+0.00599401j 0.0114829+0.00300526j -0.0110196-0.00605709j 0.00453657+0.00757064j 0.0169648+0.00650113j -0.018726-0.00790946j -0.0126311-0.0193068j -0.0185731-0.00953111j -0.0117968+0.0314916j -0.03577-0.0385605j -0.038058-0.0014753j 0.0182114+0.101863j 0.0255909-0.00961193j 0.00712545+0.00988743j 0.00777982+0.0132017j -0.0104158+0.00335922j 0.0273765-0.00513673j 0.00397757+0.033596j -0.0145588+0.0305143j 0.0126725+0.0638751j 0.0660894-0.0143709j 0.0176512-0.0181363j 0.0567577-0.0281824j 0.00749799+0.0173111j -0.0114907+0.022272j -0.054503+0.0528026j -0.0807508+0.0632451j 0.0149181-0.0698555j 0.0577298-0.0572878j 0.00577043+0.0151939j -0.0414439+0.0064689j 0.00344506-0.0641222j 0.0301525-0.0147179j 0.0045024-0.0113068j -0.0393825+0.0273995j 0.0578834+0.00951082j -0.0162049+0.0147431j -0.100766-0.0607218j 0.0503132+0.0306398j 0.0663454-0.00318919j 0.0096265-0.0148605j -0.0533841-0.0125879j -0.0787813-0.0984653j 0.0614251-0.073201j 0.0402446+0.0969483j 0.0255383-0.0755447j -0.0030507-0.0403722j 0.0405299+0.0135819j -0.00885199-0.0528882j 0.00502189+0.0911743j 0.064868+0.000150751j -0.0190308-0.0405465j 0.00555368-0.00761811j 0.0353593+0.0452438j -0.0174534-0.0221401j -0.0166485-0.0817806j -0.0685194+0.0114543j 0.0158568+0.0393575j -0.0414668+0.0416904j -0.000207636+0.116986j -0.0164943+0.0372592j 0.0447886+0.00344937j -0.0594505-0.0444176j 0.0155243+0.0448935j 0.0616905-0.0218215j -0.0023165-0.0453431j 0.0240738-0.0702013j 0.105927-0.0212545j -0.0712205-0.052182j 0.00755409+0.057585j 0.0245488-0.0186428j 0.0431313-0.0659048j -0.00911447+0.00950639j 0.0321461-0.0165183j -0.0315709-3.63884e-05j -0.14524+0.00115255j -0.0784617-0.0306417j 0.00653717+0.0674056j -0.0412039+0.0602514j -0.0341639+0.00994135j 0.0582751+0.0498599j -0.0438737+0.0573095j 
