0.01404+0.00649158j -0.00870361-0.00266786j -0.0043057-0.010362j 0.0115546+0.00106869j -0.00971695-0.00718281j -0.00438956-0.00415738j -0.00204001+0.0215284j 0.00633688+0.013952j -0.00369279-0.00835043j -0.00657816-0.00915478j -0.00881617-0.00797981j -0.00987537+0.0162971j -0.00633005-0.00402591j 0.00238753+0.00596667j -0.00194146-0.00448598j 0.00259767+0.00801412j -0.000881475+0.00073057j -0.00241001+0.00582873j 0.00460298-0.0121859j 0.00359611-0.0071225j -0.00395044-0.00345309j 0.0018178+0.0047529j 0.0100521-0.017647j -0.012706-0.00341876j 0.00186776+0.00800311j 0.00383382+0.00266727j 0.0120173+0.0054417j -0.00192395-0.00798002j -0.00123039-0.0131429j -0.00609108+0.00387614j 0.00267443-0.00253389j -0.00727545+0.00847638j 0.00927038-0.0246822j -0.0213807+0.00194865j 0.00427988+0.00439886j -0.00466101+0.0110853j 0.00566445-0.0150262j 0.013884+0.0125035j 0.0180439-0.00345555j 0.00817676-0.0215441j 
-0.00623151+0.00481321j -0.00630021+7.45031e-05j 0.00491655-0.00644705j 0.00332177+0.00770037j 0.00318325-0.00267428j 0.00157435+0.00589199j -0.00224997-0.00229696j -0.00646467-0.0119123j 0.00304233-0.00537196j -0.00206474+0.00570356j -0.00195029+0.00294135j -0.00852869-0.00168436j -0.00367726+0.00842812j -0.003562-0.000555685j -0.007999-0.00245359j 0.00737971+0.00730192j -0.0008002+0.00522266j -0.015987-0.00219065j -0.00421359+0.00213493j 0.00141394-0.00205928j -0.0082679-0.000856425j 0.00926136+0.00314434j 0.0111224-0.00134847j -0.00623967+0.000759101j 0.00332916+0.00257425j 0.00195733+0.0062809j -8.65792e-06-0.000954525j -0.012256+0.0091651j -0.0108042+0.0130989j 0.00171913+0.0083168j 0.00415625+0.000975552j 0.00365677+0.0100621j 0.00769709-0.0129277j -0.00652983-0.0117006j -0.00118665+0.000133616j -0.0116186+0.00139475j -0.0017302-0.00607952j 0.00506298-0.0153997j 0.00884525+0.0341437j 0.0388781+0.00743336j 
0.00904854+0.00447004j -0.00158806-0.00147253j -0.00570013-0.00368578j 0.00881961-0.0174575j 0.00197341+0.0355433j -0.000432356+0.0087926j -0.00442214+0.0231748j -0.0056255+0.0131564j 0.0154892-0.010668j -0.0270746-0.00360099j -0.0166724-0.00787254j 0.0126062-0.00217297j -0.0156705-0.0093124j -0.00417774+0.00359894j 0.00432245+0.0194084j 0.00114849+0.0291791j 0.000753157+0.00984762j 0.00654363+0.00750751j 0.0095543+0.0177473j -0.0175414+0.0207454j -0.00229423-0.00398434j -0.00992723+0.000777704j 0.0235219-0.012621j -0.0261476+0.00415247j -0.00245926-0.00457964j 0.00381568-0.0132446j 0.022097+0.0158836j -0.0176726-0.0205051j -0.00711152+0.022826j -0.00434628-0.00315812j -0.000501716-0.00810204j -0.00904147+0.00654651j 0.0115828-0.0204198j -0.00486079+0.00488399j 0.0105797+0.00629763j -0.00451848+0.00163979j 0.00196077-0.020965j 0.0103154+0.00406623j 0.0153555+0.0031826j 0.00806945+0.0053585j 
-0.00272067-0.0124034j 0.00810942-0.00149083j -0.00341392+0.0133564j -0.0163796-0.018386j 0.0022995-0.00756116j -0.00363065-0.00877481j 0.00453574-0.0142881j 0.00377793+0.00408783j -0.00053902+0.00783696j 0.0173581-0.0120421j 0.00992979-0.00425106j 0.00636256+0.00574103j 0.0154959-0.00804117j -0.0011724+0.00314087j 0.00495624-0.0181575j -0.00280029-0.0192988j -0.000213254-0.0157377j 0.0203135-0.00376559j -0.00190447-0.00743557j 0.00611302+0.00102373j 0.00313084+0.00811435j 0.00292789+0.00165801j -0.0208906+0.00981718j 0.0159902-0.00604719j 0.00309192+0.0106848j 0.00254608+0.00841915j -0.00370503-0.0024849j 0.0090415+0.00039458j 0.00578117-0.00163491j -0.00293098+0.00761976j -0.00964087+0.0160277j 0.00124108+0.00749617j 0.0103067-0.00299244j 0.00817559+0.000849705j 0.000916839+0.00549477j 0.0103064-0.00942269j 0.00772516-0.0113621j 0.0203335-0.00770214j 0.00753748+0.00431751j 0.0165866+0.00607646j 
-0.0119286-0.00532829j -0.00701263+0.00642489j -0.00814138+0.00270473j 0.0039657+0.0091882j -0.00452478+0.00319151j 0.0118763+0.0189535j -0.017239-0.013341j 0.00642907+0.0068562j -0.0129248+0.0189189j 0.00436087-0.00488599j 0.00581724+0.00134489j 0.00553756-0.00785237j 0.0191603+0.012014j 0.00122162+0.0203168j 0.00569999+0.0201089j 0.0197631-0.014839j 0.00912171+0.00161783j -0.00184194-0.0131384j -0.00605487+0.00392993j 0.00364867+0.0150135j -0.00568196+0.0142949j 0.0230162-0.00349526j 0.0247697-0.0200907j -0.000354631-0.000999986j 0.0182625+0.0136046j 0.00463373+0.00262282j -0.000210214-0.021103j -0.0196307-0.0102058j 0.000611912-0.0110455j -0.00713091+0.00675395j 0.0188212-0.00122323j -0.00614413+4.90617e-05j -0.00605502-0.0142502j -0.0162975-0.0123764j -0.0113351-0.00440194j -0.00534594+0.0105493j 0.00580617+0.00671169j -0.00165316+0.0055317j 0.00826391-0.00440878j 0.0030631+0.00436787j 
-0.0162953-0.003115j 0.00297987+0.00142077j -0.0254302-0.00395431j -0.0077294-0.00868456j 0.00898817+0.023458j 0.00445174+0.00516257j -0.0152668+0.012979j -0.00498604+0.02518j -0.00743512+0.0150987j -0.0106701+0.00699751j -0.0055384+0.00842888j 0.0065839+0.0157901j -0.0100618-0.00463356j 0.00384941-0.00610049j 0.00455351+0.0106456j -0.0109345+0.0128976j -0.00180128+0.00612937j 0.00433405+0.0041897j 0.0197052-0.00788286j 0.00486705-0.0230513j 0.00354265-0.00796035j -0.0176343+0.00598733j -0.00144805+0.00794875j -0.00393917+0.00107911j -0.0115223+0.000138393j -0.00414708-0.0137329j 0.0108142+0.00905333j 0.0145929+0.00728725j 0.00768165-0.00588141j 0.00294251-0.0025952j -0.00978178+0.0101873j 0.000114896+0.00273021j -0.00751944+0.0027532j 0.00564939+0.00384655j 0.00306525-0.00161267j -0.00286929+0.00429203j -0.00466642+0.00469965j 0.00782658-0.00247949j -0.00383124-0.00295885j -0.000215185-0.00615081j 
-0.0335455-0.00568474j 0.00564798+0.00636233j -0.0123683+0.0114442j -0.00981016-0.00181359j -0.00201768+0.000951257j -0.00252723-0.00372872j 0.000738562+0.000199035j -0.00181656-0.00585492j 0.0013373-0.00643762j -0.000444046-0.0126992j 6.02674e-05-0.00692709j -0.00761284+0.00658798j -0.000660042+0.00594043j -0.00665639+0.00497661j -0.00661163-0.0193512j 0.00938324+0.0156688j 0.000658878-0.00507368j -0.0104791-0.000283593j -0.0110078+0.012383j -0.00676757+0.0167914j -0.002439+0.0022007j 0.00712281+0.00212752j 0.00486586-0.000937127j -0.0013721+0.00316207j 0.0023071-0.00470805j 0.00383644+0.00715026j -0.000765231-0.00272311j -0.0161655-0.00155124j -0.00201481+0.0225358j -0.00170383-0.000846454j 0.00359646-0.0105112j 0.00132+0.00116199j 0.0150515-0.00962452j 0.00375012-0.00496075j 0.00285535+0.00291526j 0.00363638-0.00891144j 0.00509157-0.011602j -0.011466-0.00402126j 0.0147094+0.00570828j 0.00772361-0.00329205j 
-0.00625333-0.00911742j 0.00679754-0.00877936j 0.00493524+0.00564299j -0.00913813-0.0111065j 0.00879759-0.01863j -0.0427262-0.00400945j -0.00646016+0.0119788j -0.0240569-0.0160435j -0.00342097+0.0238129j 0.00801245+0.000147694j -0.00438458-0.00243597j -0.00162299-0.0230127j 0.0114793+0.00873614j -0.00244211+0.014925j 0.00597353-0.000928171j 0.0140954-0.00684163j 0.004364+9.32072e-05j -0.00260069-0.0213415j -0.00571513-0.00108245j 0.00757099-0.00627114j -0.00699349+0.00751367j 0.00491049-0.00714403j 0.00220207+0.00230917j 0.00207849+0.0323326j -0.00269099-0.00355996j 0.0103886+0.0322306j 0.00151631+0.014148j 0.016835-0.0105755j 0.0057744+0.01542j 4.70397e-05-0.00607492j -0.0108469-0.0231641j -0.00813782+0.00593987j 0.0221452-0.00518736j -0.0140744+0.0256154j 0.0355719-0.000774542j -0.00350385+0.00262329j -0.0134918-0.0303556j 0.00573892+0.0180244j 0.0110235-0.00394552j -0.00552162-0.011291j 
0.00735917-0.00132744j 0.00234189-0.00229007j -0.0176399-0.00245264j -0.00516727-0.00152803j 0.00270013-0.00102214j -0.0123964-1.63643e-06j -0.00097753+0.0128588j -0.000617274-0.00105726j 0.00349393+0.0101622j 0.00148166+0.0234732j -0.00427668+0.0128513j 0.00808032-0.00618469j -0.00259495-0.00835709j 0.00627848-0.0360996j -0.00571782-0.011625j -0.0133956-0.0132353j -0.00753986-0.00243908j 0.0116669+0.0110798j -0.0129462+0.011939j -0.00528681+0.00829475j -0.00534217-0.00582832j -0.0141667-0.000227798j -0.0270657+0.00993183j -0.00567027-0.00893951j 0.00489653+0.0137859j 0.00501223-0.00281765j -0.00359461+0.0163693j -0.00820823-0.0097833j -0.00413428-0.00164598j -0.00391755-0.00376316j 0.0105142+0.0218184j -0.0149078-0.00330107j 0.0141867-0.00694717j 0.00790149+0.00115296j 0.00805813+0.00807688j -0.00799247-0.00276556j -0.000534588-0.00627589j 0.00402975-0.0071535j 0.0125209-0.000584723j 0.00842713+0.00289876j 
0.0184704-0.00189577j 0.00785266-0.00310864j 0.00587564-0.00139243j -0.0159156-0.000340694j -0.00939061-0.000356682j 0.00464284+0.00167057j -0.00111941-0.016624j 0.0134067-0.00728034j -0.00514808+0.0170829j -0.00118384+0.00441844j 0.0027401-0.00860316j 0.00675475-0.0308707j 0.00978549+0.0138461j -0.00699394+0.00643094j 0.0150959+0.00109455j 0.00714146+0.0241474j 0.00152763-0.00721627j -0.00435843-0.0186801j 0.0107292+0.0112441j 0.00162894-0.00482517j 0.00266888+0.0119969j 0.00919975+0.000388594j 0.0236304+0.00383025j 0.00121591-0.0033929j 0.0116463+0.00753903j 0.00192612-0.0114534j -0.000641306-0.00928393j -0.00751159+0.00571946j 0.00555135+0.0221175j 0.00246927+0.0101018j 0.0053905+0.00946433j 0.00156566+0.00384737j -0.00917912-0.00963899j 0.00472288-0.0166123j -0.00194242+0.0114675j -0.00203622-0.0127329j 0.00767321-0.00911631j 0.00486778-0.0177102j 0.0200872+0.00871563j 0.016961-0.00144565j 
-0.0289945+0.0126127j 0.00539724+0.00227757j -0.0174309-0.010332j 0.0137865-0.00196718j -0.0134903-0.00824294j -0.00569275+0.000161805j 0.0168531-0.00295443j 0.0102963-0.0131297j -0.00762862-0.0163317j -0.00596653+0.00867982j -0.00196308-0.00692869j -0.000508602-0.0198297j -0.00815884-0.00300653j -0.00115045+0.000682162j 0.0123903+0.00365362j -0.00192276+0.00599963j -0.00240419-0.00501113j 0.012569-0.000306714j 0.0112883-0.00566509j -0.00101095-0.00530756j 0.000406247+0.00393137j -0.00676065-0.00257365j 0.00584051-0.00818745j -0.00893433-0.000739733j -0.00110265+0.0115515j -0.000660654-0.0183127j -0.00349132+0.00627415j 0.00577969-0.00270582j -0.00182043-0.00301821j 0.00394451+0.00556292j 0.000768645+0.0128888j -0.0121453+0.00020122j -0.0150777-0.00198401j -0.00378907+0.00396343j -0.00142844+0.0149935j -0.00684627+0.00529924j 0.00573688+0.000666583j 0.0109459-0.000293891j -0.000419705-0.00832508j -0.00236191-0.00364906j 
