0.0188653+0.0470651j 0.0575286-0.46991j -0.014757+0.00162097j 0.00305693-0.0547048j -0.174325-0.051249j 0.00682666-0.00290833j 0.0242673-0.00375486j -0.02162+0.00945456j 0.0205233+0.0193899j -0.00879811-0.04352j 0.024368+0.0230633j 0.00292581+0.071639j -0.0861134+0.000819333j -0.0351221-0.0536038j 0.00609538-0.0564938j 0.00095876+0.00379637j -0.00418316-0.00640498j -0.0180406+0.0103362j 0.0142248+0.00241976j -0.0316916+0.0200513j 0.0077017+0.0065881j 0.0377143-0.0115537j -0.0153426-0.0177943j 0.0293195+0.014393j -0.00801561-0.0386801j -0.0385642-0.0211727j 0.00444536-0.0255506j -0.0870516-0.0563614j 0.0155055-0.0365884j 0.00907761+0.0277717j -0.0451263+0.0267934j -0.0237892-0.0607165j -0.00940129+0.0553463j 0.0370207+0.0290463j 0.018308-0.0377185j -0.0113572+0.0105643j 
-0.0551924-0.170528j -0.366801-0.0339014j -0.0417911-0.0221312j 0.0864714-0.0185311j 0.0143699+0.119628j -0.00709193+0.0123508j 0.00798062+0.0015438j -0.0561023-0.0173698j 0.0233026+0.0525941j 0.0066847+0.00189686j -0.0272463+0.0101363j -0.0488674-0.0323767j 0.00584993-0.0390108j 0.0264787+0.0375172j 0.00332527+0.0206168j -0.00272249-0.00165671j 0.00234954-0.0155441j -0.00122121-0.0265829j -0.017742+0.0250711j -0.0378658-0.000195225j -0.0343251+0.00655333j 0.0318786+0.0108352j 0.0196433-0.0202512j 0.0445668+0.031528j 0.0356109+0.0277294j -0.0123737-0.0162643j 0.0131082+0.00500181j 0.0541622-0.0229262j 0.0119532+0.038356j -0.00518348+0.0214558j -0.117418-0.0732691j 0.00857938-0.0011992j -0.0128946-0.043516j -0.00873066+0.107161j -0.0117509-0.0076778j -0.0240066+0.013257j 
0.606509+0.0462043j -0.182332+0.0663812j 0.0858442+0.0107272j -0.0212628+0.249975j 0.0813554+0.0700734j -0.00336033-0.0347317j 0.0294226-0.00582586j 0.0549457-0.0395811j -0.0280042-0.0205927j 0.0254037+0.0138365j -0.0222705-0.0352406j -0.0572643-0.0696853j 0.0755045-0.101231j 0.0431749-0.0164457j 0.0556391+0.0298927j 0.0050493+0.00113137j -0.00403258+0.00804166j -0.00121408+0.0335429j 0.033996-0.0210181j -0.0192524-0.0132468j 0.0308447-0.0341299j 0.0175348+0.0155921j -0.0311841-0.00708676j -0.0320589+0.013724j 0.0109351+0.00643532j 0.00193097-0.00194964j -0.0120449-0.0123112j -0.05439-0.0185407j 0.00158399+0.0193226j 0.000920577+0.0171025j -0.0612009+0.00407462j -0.0279342-0.0356369j 0.0266253+0.0137449j 0.0208843+0.0466086j -0.0150366-0.0349778j -0.0138057+0.0164097j 
0.0931876-0.548159j 0.205518-0.0297916j -0.0139782+0.0851056j 0.0959279-0.141187j -0.0759206+0.0160875j 0.00414997-0.0440337j 0.0539874-0.0593963j 0.0193512+0.0393054j 0.0695655-0.029024j -0.0965902-0.0209724j 0.0204042-0.0932238j 0.0255016-0.0249325j 0.0803979+0.0741003j 0.0424213+0.0685996j -0.035842+0.0680868j 0.0121666-0.000172383j -0.0197034-0.0108509j 0.0019168+0.0406417j 0.0299482+0.0110247j -0.00661215+0.0311458j 0.0376702-0.0288181j 0.0230692-0.000101421j -0.0191003+0.00284149j 0.0149113-0.0431691j 0.00541408+0.0199339j -0.0128939+0.00535196j -0.0305946-0.0114451j 0.0352734+0.0421179j 0.0046017+0.01128j 0.0270111+0.00472862j -0.0591405-0.0804639j -0.0390073+0.0130903j -0.00103271-0.0406247j -0.0205126+0.0705438j -0.0163871-0.0111097j -0.017177+0.00668243j 
0.272258+0.167961j 0.2097-0.0915105j 0.145994-0.0401903j -0.0844287-0.179262j -0.00864078-0.034716j -0.0327072+0.00220983j -0.0469952-0.0404455j 0.0190977-0.0122384j -0.0504996-0.090646j -0.0250072-0.140879j 0.0923186-0.147287j -0.0354882+0.0228808j 0.0224924-0.018462j 0.00413633-0.041075j 0.026104-0.00359278j -0.00148195-0.00246398j 0.00656023+0.00534001j 0.0168881-0.00617158j -0.0138505-0.0287016j -0.0119422+0.0366924j -0.0303749+0.00410999j 0.000764429+0.0312267j -0.0515463+0.0738874j 0.0211464+0.00724422j -0.00354214-0.00727392j 0.0865293-0.0343396j -0.065136-0.0108688j 0.0830734-0.00501596j 0.0644671+0.000610227j -0.042682-0.0267875j -0.0524332+0.0956217j 0.0156081+0.0755468j -0.0440486-0.0461578j 0.0862113-0.00589167j -0.0337932+0.0529617j 0.024704+0.0201993j 
-0.0201109+0.0318827j -0.221891+0.0814041j 0.241854+0.17769j -0.0462627+0.0630059j -0.0100194-0.149219j -0.0272489-0.0474002j -0.00254721-0.0453558j 0.106836-0.0493866j -0.0660724-0.0639544j 0.0155957+0.0801598j -0.0366755+0.03968j 0.0604233+0.0360909j -0.104509+0.0449506j -0.133755-0.00668362j -0.0545205-0.0868943j 0.0179023-0.00788152j -0.0102318-0.0307926j 0.0525103+0.0212201j -0.0284651+0.0189543j 0.00367324+0.0169346j -0.00133905-0.0696754j -0.0136988-0.0158547j 0.0448355-0.00498035j -0.000993248-0.00543019j 0.0100267-0.0470221j -0.00917075+0.000933216j 0.0414431+0.0216714j 0.0480225-0.0274964j 0.0201602-0.0361286j 0.00929839-0.0402141j 0.0153779-0.0544506j 0.0215134+0.00839374j -0.0652154+0.0192918j -0.0322575+0.00120013j 0.0486317+0.0132571j -0.00573717-0.0195847j 
0.0611839-0.0466623j -0.150134-0.427351j 0.0166491-0.0441442j -0.135023+0.0313582j 0.152815-0.177553j -0.0129582-0.0331578j 0.0737539-0.0573633j -0.0495844-0.0154815j 0.0743881+0.076456j -0.0537724+0.0291979j -0.0795328+0.0545742j -0.0358049+0.0654367j -0.0419078+0.073241j 0.0899114+0.100938j -0.0436094+0.0589428j -0.00994902-0.0155578j -0.0466752+0.0203304j -0.00887626-0.0476232j 0.0664165+0.046723j 0.0217038-0.0170637j -0.0431745+0.0279031j -0.0532317+0.073753j -0.0648634-0.0635236j -0.0294812-0.0359357j -0.0702523-0.0337549j 0.0770254+0.0115851j 0.0170056-0.119002j 0.0290205+0.0206418j -0.000728344-0.0082566j -0.0718621-0.0313625j -0.0413375+0.00397304j -0.0111779+0.0299498j 0.0345948+0.0103964j 0.0114839+0.0182113j -0.0254181-0.0233276j -0.00682805+0.0133573j 
-0.12075+0.0270551j -0.121604-0.026205j 0.190001-0.147802j -0.00471474-0.0277087j 0.193085+0.142354j 0.0185881+0.0327713j -0.0221251+0.0336026j -0.0337607+0.0446375j 0.0267729-0.0065047j 0.0408606-0.0203683j 0.0378654+0.0214192j -0.0300427-0.00764953j -0.0335976-0.0454596j -0.0210272-0.0335735j 0.0200561-0.0318562j 0.0130681+0.00187442j -0.0235235-0.0436357j -0.00658501+0.00799389j -0.0143001+0.0671145j -0.00906269+0.0740986j 0.00851641+0.0209511j -0.0176946-0.0135961j -0.0189871-0.00983322j 0.105737-0.0684823j -0.0335035+0.0357079j 0.0021888+0.0382289j -0.0321195-0.039133j 0.105652+0.0678173j -0.0188374+0.00861121j 0.0130931-0.0144261j 0.0114298-0.0141832j 0.00963154+0.075224j -0.0139827-0.0651453j -0.00471546-0.0122316j -0.0230836+0.0442417j 0.0138352-0.00206603j 
0.142619-0.431242j -0.0648953-0.0398563j -0.156367-0.175691j -0.132804-0.0258174j -0.0229917-0.0461244j 0.044908+0.0588414j -0.088749+0.100695j 0.0409532+0.07438j -0.0388606-0.0652724j 0.0761909+0.0513504j 0.0561074+0.0259852j 0.0736741-0.0764239j 0.0500308-0.0127507j -0.0748406-0.0570648j 0.0116772-0.0337139j 0.00684564+0.0134431j 0.0267419-0.0230516j -0.012605+0.0186624j -0.034117+0.00904168j -0.0105555-0.0336536j 0.0437448+0.00296919j -0.0727772+0.0314077j 0.00643065-0.0115594j -0.0328608+0.0229818j -0.0146834-0.119628j 0.076939-0.0098352j 0.0723369-0.0317925j 0.026795-0.0384633j 0.0670321-0.0559107j -0.0469886-0.0776126j 0.0466108+0.0266591j 0.0217543+0.0121615j -0.0648985+0.0481253j 0.00573276-0.0478732j 0.0475583+0.0177385j 0.0088426-0.01615j 
-0.222917-0.0802879j -0.0148984-0.0252457j -0.00777526+0.152058j 0.0430463+0.0652651j 0.240339-0.180454j -0.0547609+0.0849018j -0.132388+0.00606741j -0.103242-0.045562j -0.0613089+0.0352293j -0.039488-0.0375748j 0.0176509-0.0835385j 0.0658296-0.0596166j 0.105635+0.0497826j -0.00392677+0.045882j -0.0273745+0.0458419j -0.0057071+0.0197461j 0.0495321-0.0136054j -0.0304994-0.00287154j -0.0669665-0.01944j -0.0203528+0.00673104j 0.012593+0.0540152j -0.00859701-0.0361056j 0.0225627+0.0399902j 0.0460525+0.0287091j 0.0429366-0.0225224j 0.0102536-0.000100662j 0.0112876+0.0478348j 0.000658894+0.00351001j 0.0442538+0.00573591j 0.0154965-0.0157717j -0.000991815+0.0703748j -0.00154097+0.0164976j -0.029247-0.0181835j 0.051493-0.0220343j -0.00834721+0.0309072j 0.017957+0.00717365j 
0.209671+0.0828696j 0.266674-0.18149j -0.0069299+0.0320963j 0.0823743-0.177642j 0.149749+0.0376618j 0.0266577+0.00536323j 0.00250085+0.0417471j 0.0202578+0.0215792j 0.0329583+0.017922j 0.093482+0.147063j -0.0209318+0.137125j 0.0535657-0.0955033j 0.0190956+0.0146973j -0.0481936+0.0408761j -0.0335581-0.00220557j 0.0248579-0.0207919j -0.0351148-0.0539064j 0.0870637+0.00530482j -0.0441788+0.0476876j -0.0150223+0.0759867j -0.0538714-0.095361j 0.0456009-0.0254819j 0.0608751+0.000427944j 0.0817511+0.00492766j -0.0660018+0.00790105j -0.082222-0.0351374j -0.00325034+0.00491959j 0.0245952-0.00864496j -0.0485489-0.0759549j -0.00722996+0.0229943j -0.0322884-0.00451833j 0.0132471+0.0372191j -0.0154431+0.0286641j 0.0169294+0.00687074j 0.00733882-0.00509405j -0.00162812+0.00238853j 
-0.211372-0.0331832j -0.113695-0.542506j 0.0775225+0.0178589j 0.0937136+0.138148j 0.0152155+0.08794j 0.0330512+0.0694495j -0.0434685+0.0675498j -0.0861198+0.0703335j 0.0243868+0.0325608j -0.0202243-0.0961361j 0.0983129-0.0212108j 0.0628991+0.0312712j -0.0218325+0.0376121j -0.0550894-0.0588988j -0.00378869-0.0449701j 0.018023+0.00796115j 0.0165325-0.0127242j 0.0187707+0.0725789j -0.000189452-0.0396284j -0.0401723-0.0102727j 0.0609634-0.0786794j 0.0256161-0.00550048j -0.00741081+0.0116637j -0.0320804+0.0392857j 0.0319753-0.0101647j -0.0125203-0.00315619j -0.00599027+0.0202841j -0.0120613-0.0400582j 0.0185202+0.0049473j 0.0255017-0.00126756j -0.0378855-0.0314944j -0.00665987-0.0292187j -0.0302897+0.00810986j -0.00305834+0.0411083j 0.0193518-0.00888264j -0.0123301-8.01352e-05j 
0.172757+0.0680125j -0.606623+0.0649977j -0.0833567+0.0667374j -0.0236723-0.25388j -0.0843181+0.00678885j -0.0565186+0.0278762j -0.0419397-0.0186363j -0.0731038-0.102725j -0.0597813+0.0685471j 0.0206399-0.0299402j -0.028744+0.0136819j -0.0289492+0.0177253j -0.0533218-0.0409028j -0.0283668-0.0053058j 0.00347943-0.033705j 0.0125067+0.0160343j 0.0155088-0.0365991j -0.0219875+0.0411575j -0.029211+0.0165439j -0.0285836+0.0366833j 0.055976+0.00935786j 0.000467483-0.0160526j 0.000298733+0.019337j 0.0578573-0.0187741j 0.0126501-0.0129225j 0.002757+0.00182708j -0.00907252+0.00585356j 0.0345884+0.014441j 0.0302502-0.00535087j 0.0183869-0.016377j -0.0298494-0.0326415j -0.0164482+0.014892j -0.0347054-0.0216434j 0.00135251+0.0321973j 0.00418111+0.009181j -0.0045793+0.00102606j 
0.367473-0.0540322j 0.0385062-0.170529j -0.00819709+0.118999j 0.0870451+0.0141718j 0.0416746-0.0213043j -0.0045786+0.0180743j -0.0247501+0.0350558j -0.00456286-0.0411874j -0.0507052+0.0312448j 0.0247922+0.0119435j -0.00580272-0.00144j 0.0244936-0.0538621j 0.0562009-0.0173993j -0.00927699+0.00208765j 0.00641003+0.0117701j 0.0250761+0.014312j 0.0112263-0.0127238j 0.00582975+0.109829j 0.0119078-0.0396966j 0.00419317+0.00789101j 0.121474-0.070984j -0.00361409-0.0221602j -0.0120595+0.037534j -0.0453243-0.027204j -0.0137839+0.00280195j -0.016184+0.0170256j -0.034819+0.0251462j -0.0475269+0.0321336j -0.0204251-0.0213111j 0.0335279-0.0114488j 0.0311581+0.00733798j -0.0403464-0.00152322j 0.0159236+0.0252737j 0.00322767-0.0249363j -0.00172479-0.016317j 0.00246142-0.00122836j 
0.074684+0.466914j 0.0211632-0.0580811j -0.173779+0.0559975j 0.00131543-0.0534177j -0.0141374-0.00261197j 0.00654029+0.056507j -0.0343931+0.0549734j -0.0857849-0.00276943j -0.00671466+0.0743279j 0.0254974-0.0202307j -0.0103242+0.0437943j -0.020201+0.0157215j -0.0199691-0.0113171j 0.0244507+0.00342967j 0.00754196+0.00338433j -0.0100208-0.00936329j 0.0182348+0.038004j 0.0369166-0.0223827j -0.0074419-0.0579243j 0.0260108-0.060048j -0.0369972-0.0323695j -0.0094869+0.0294478j 0.0134925+0.0370524j -0.0912987+0.0531531j 0.00251787+0.0266966j 0.0384408-0.0194622j -0.010767+0.0391357j 0.0265661-0.0105284j -0.0147378+0.017797j -0.0366069-0.0117037j 0.0113946-0.00657867j 0.0287055+0.0206573j 0.0158104-0.0013766j -0.0185723-0.0121351j -0.00465466+0.00557958j 0.00116589-0.00400391j 
