-0.0124683-0.00180878j -0.00205777+0.0115305j -0.000411339+0.0143044j 0.0103883-0.00432653j 0.00255089-0.00314136j 0.00992706+0.00487407j -0.0106484-0.00142121j 0.00462014-0.00668276j 0.0024481-0.00310343j 0.000174227+0.00329189j 0.0043784+0.00377544j -0.00403535-0.000570178j 0.00618094+0.000971116j -0.0166535+0.0110812j 0.00759433-0.00884917j -0.0083225+0.000685711j 0.00473558+0.00517085j -0.00554194+0.010311j 0.00040067+0.0141585j -0.00567294+0.00524042j -0.000976079+0.0012966j -0.00617526+0.00566253j -0.00134755-0.00144357j 0.0037827-0.00332727j 0.00508127+0.00678715j -0.00339388-0.00017437j 0.00138163+0.00746665j 0.000876394+0.00498279j -0.00544329+0.00388163j -0.00385768+0.00345016j 0.00192614+0.00468403j -0.00388838+0.0030047j -0.00119677-0.00330557j -0.00138827-0.00164481j 0.0109386-0.0139624j -0.00845567-0.0031707j 0.00439203+0.00230063j 0.0148091+0.0110252j 0.00719833-0.0118645j -0.00259005+0.00475414j 0.00400014-0.00285266j 0.0132805-0.0199326j 0.00851678+0.00179593j 0.0359866+0.0172621j -0.0291778+0.000541861j 0.0236221-0.0176205j 0.00490525+0.00257065j 0.00277667-0.00285323j 0.0176023+0.026314j 0.00349682+0.0411019j 0.00189385-0.00412838j -0.00318103-0.000908077j -0.0030519-0.00426066j -0.0106525+0.00333278j 0.0154072-0.00979904j 0.00561208-0.00603358j 0.0150004-0.00322894j -0.00615549+0.0121553j -0.00960479+0.00686717j -0.00145807+0.0155122j 0.00241633-0.0130359j -0.0054093-0.00252797j -0.0011777+0.00443911j 0.00317485+0.0192404j -0.00149375+0.0153626j 0.00388322+0.0275431j -0.0135526-0.0136454j -0.0294096-0.0591766j 0.0590053-0.0324353j 
-0.00157155+0.0118508j 0.0119633+0.00159737j 0.0138038+0.00222786j -0.00287875-0.00908503j -0.00397916+0.00175685j 0.00485961-0.0039211j -0.00174627+0.0101302j 0.00170367-0.00107955j 0.00188037+0.00110434j -0.00421105+0.00121016j 0.00298313-0.00803259j 0.00138035+0.00497538j -0.00678375-0.003344j 0.0082525+0.00950517j -0.00863741-0.00798258j 0.00116959+0.00764451j 0.00618093-0.00327947j 0.0172656+0.00300466j 0.00617525+0.000485481j 0.00528418+0.00103167j -0.00325414+0.00259747j 0.00621445+0.00245827j 2.357e-05+0.00223154j -0.0101434-0.00405805j 0.00280149-0.00518586j 0.00595267+0.00390398j 0.00381652-0.00131326j 0.00672688-0.00652467j 0.00499958+0.00263801j 0.0062433+0.00342146j 0.00587744-0.00249156j 0.00416889+0.000646023j -0.00401696+0.00504392j -0.00307275+0.00382586j -0.0197388-0.00845823j -0.000405192+0.00981362j 0.00501975-0.000380126j 0.00887004-0.01409j -0.0111937-0.00828598j 0.0123559+0.00425816j -0.0107326-0.00616099j -0.0111818-0.00730246j 0.0121023+0.000931376j 0.0205337-0.0320934j -0.00745058+0.0245342j -0.0207595-0.0335299j 0.00539349-0.00261225j 0.0039718-0.0103811j 0.0249395-0.0159167j 0.0371665-0.00309693j -0.00389194-0.00266594j -0.00220638+0.00327084j -0.00342865+0.00578115j 0.00106859+0.0229857j -0.00952994-0.0167823j 0.0033182+0.0100438j -0.0105911+0.00147153j 0.00463033+0.015583j -0.0089067+0.0152498j -0.0021153+0.00824341j 0.000896794-0.000226336j -0.00288335+0.0030432j 0.000454448+0.0107749j -0.00574585-0.0203373j -0.00613185+0.0089996j 0.0211775-0.00276466j 0.011036+0.023008j -0.0611142+0.0285339j -0.027156-0.0588184j 
-0.000551346+0.00772185j 0.00495533-0.00464467j -0.000562606+0.0028584j -0.000270286+0.00717201j 0.00604372+0.0123826j 0.0042069+0.00173313j 0.00384309-0.00148009j 0.00460028-0.0036062j -0.0099391+0.000808166j -0.00539448+0.012051j 0.00322871+0.00484196j -0.00382238-0.000287232j -0.00782971-0.00866096j 0.00914115-0.00971181j -0.0088022+0.00213088j 0.00852898-0.00951399j -0.00931714+0.00666774j -0.00583073-0.0166127j -0.0152732-0.0229628j 0.00505439+0.00138762j 0.0112135+0.00270458j 0.00908358-0.00461283j -0.0170847+0.0152568j -0.015757+0.00246212j -0.00187504+0.0009358j 0.00911779-0.0103501j 0.00583895-0.00312299j 0.00420232-0.00831943j 0.00640644+0.00644053j 0.00490119+0.00297958j 0.00467187-0.00391901j 0.00222448-0.0147109j -0.00874604-0.0134963j -0.0131923-0.00509281j -0.0200188-0.0184491j -0.00525952+0.0115744j 0.00726789+0.0202596j 0.0121552+0.00500519j 0.00374077-0.0111677j -0.0121043-0.0139995j 0.00317734+0.00604666j 0.00111253-0.00570717j 0.00499689-0.00913413j 0.00130525-0.0135682j 0.00209293-0.00601857j -0.014074+0.00182056j -0.00417678-0.00410388j -0.00870639-0.0328317j 0.00380496+0.00402046j 0.0287142+0.0173247j -0.00355846-0.00121868j -0.00310181+0.00348865j 0.00260756+0.00121155j -0.00849862+0.026129j -0.0038247-0.0276362j -0.013224+0.00402656j -0.0132485-0.0155525j -0.00386497+0.0255053j 0.00928309+0.00625612j 0.0028085+0.00101532j 0.00854393-0.011003j -0.0013163+0.00368871j -0.00985984-0.00287739j 0.00772078+0.0208539j 0.0216004-0.000616834j -0.0255701-0.0386332j 0.023848-0.0539868j -0.0145003-0.00869164j -0.000338628-0.0118108j 
2.26789e-05-0.0056608j 0.0029648-0.00139427j -0.0032333+0.0054944j -0.000884593+0.00837751j 0.0023509+0.000631719j -0.00560532-0.00323293j 0.010282-0.00188901j 0.00307993+0.00418133j -0.00744234+0.0103651j 0.0109904+0.00157807j 0.000172282+0.0127791j -0.00320925-0.0032812j 0.00190409-0.00891739j -0.013253-0.0146688j -0.00667648+0.0127829j 0.00799753-0.00109792j -0.00437022+0.00297587j -0.0152476+0.00339081j -0.0125798-0.00865717j 0.00449255+0.00204204j 0.00204215-0.00958676j 0.0139658-0.00515773j -0.00439952+0.0156122j -0.00323967+0.00746322j -0.00282761-0.00368468j 0.00372706-0.00521798j -0.00080841-0.0119936j -0.0054114+0.00458126j 0.00158357+0.00175225j 0.0043758-0.00151103j 0.00240852-0.00340182j -0.00546836-0.00314613j 0.00448996-0.0013888j -0.00639135-0.00267911j -0.0173737+0.00185608j -0.00535754+0.00287501j -0.00267206-0.00819239j 0.00135409-0.0021807j 0.00819888-0.00832084j -0.0136714-0.00170915j 0.00178616+0.00551275j 0.00588161+0.00350729j -0.000208269-0.0102415j -0.0187893+0.00161981j 0.00552467-0.00498417j 0.00454464+0.0338957j -0.00512648-0.000599916j -0.00949103-0.00329633j -0.0228259-0.0076848j -0.0302571-0.0346102j 0.00271489+0.00429535j 0.00370564+0.00383529j 0.0128736-0.00531275j 0.00826039+0.0013508j -0.0166291-0.00788386j 0.00522064-0.00382445j 0.00546147-0.00363718j 0.00719828+0.00620375j -0.00161224-0.0115746j 0.00396371+0.0119705j 0.00179205-0.00578288j 0.000790331-0.000953225j 0.0108723+0.0278099j -0.0202613-0.0210109j 0.00219746+0.00497092j -0.0181929+0.0362978j 0.0139682-0.00150828j 0.00184028+0.00667513j 1.24709e-05-0.00757264j 
-0.00588709-0.0049327j -0.00194669-0.00278739j 0.00396224-0.00180888j -0.0101303+0.00403315j -0.0111299+0.00878604j -0.00625598-0.0034544j 0.00129893-0.000256697j -0.00204186+0.0125579j -0.00915215-0.0011567j -0.00767639+0.000795069j -0.0148238-0.00833545j 0.000438788+0.0045606j -0.0272482+0.00387921j -0.00560991-0.00178747j 0.00186307-0.00770468j -0.00236726-0.00747431j -0.00537913+0.0059041j 0.000622954-0.0132148j 0.0185749-0.0136766j -0.000329964+0.00512508j -0.000186821+0.0197818j -0.000240936+0.000213082j -0.00451511-0.00768179j -0.00218292-0.0113509j 0.00264254-0.00108114j -0.00236509+0.000822696j 0.00474933+0.0024471j 0.00851236-0.00539785j -0.00232044-0.00137439j 0.00242469+0.00452928j 0.00409748+0.00463898j 0.0120107-0.000336201j 0.00669686+0.00460142j 0.00750942-0.00437836j 0.0147128-0.00739588j 0.00328196+0.00202692j -0.0254573+0.00917332j -0.0140639+0.0131192j -0.000279487+0.00226539j 0.011707+0.00443809j -0.00641461+0.000533651j 0.00998234+0.0155386j 0.0109252+0.00887449j -0.0224566-0.0163714j 0.0157739-0.000512781j -0.0275025-0.00818099j 0.00376047-0.0012838j 0.0103466+0.00068948j -0.0136421-0.0198449j -0.00335038-0.0215226j -0.00274496+0.000873514j 0.00409641-0.00462273j 0.00769305+0.0133065j 0.0031355-0.00830872j -0.00551787+0.00302642j 0.00949266+0.00583894j 0.000529672-0.00684167j 0.00600205-0.00348148j -0.00793408-0.0148549j 0.00612358-0.000212088j -0.00768071+0.00226698j -0.00316998-0.0049786j 0.0148357+0.00717058j -0.000145221+0.0100627j 0.00370986+0.0135709j 0.0379444+0.0106997j 0.00723674+0.0113829j 0.0135298-0.00527051j 0.0014305+0.00677107j 
-0.0103847-0.00727938j 0.00398173+0.00301866j -0.000188712+1.03146e-05j -0.000656238+0.00428558j -0.0020254+0.00804383j 0.00679013+0.00996224j -0.00161624-0.0112723j 0.00988704+0.000492622j -0.00280721-0.00609401j -0.00961796+0.0058284j 0.00225988-0.000930382j -0.00574123+0.00539526j -0.00293013+0.00923649j -0.006982-0.00541752j 0.0142785+0.00427206j 0.00215345+0.00288264j -0.0142811+0.00421935j -0.0193874-0.0140226j -0.00564119-0.0173952j 0.00190101-0.000580733j 0.00979265+0.00910533j -0.00496296+0.00527821j -0.0150941+0.00169089j -0.00301377-0.00618368j 0.00140266+0.00252624j 0.0084819-0.00167056j 0.000128781+0.00501665j -0.000756282-0.00474252j -0.00310606+0.00352477j -0.00603909+0.00242917j -0.00403068+0.00774544j 0.0154926+0.00604503j 0.00190149-0.00491028j -0.00686694-0.020867j 0.0156327-0.0136103j -0.00523649-0.0035129j -0.0103305+0.0147334j 4.10763e-05+0.0233877j 0.022993-0.000540039j 0.00642663-0.0090343j -0.00343917+0.00747018j 0.0141941+0.00425067j 0.00188273+0.00628757j 0.00365042+0.0260419j -0.00635513-0.0275935j 0.0130271+0.0273838j -0.00312287+0.00572977j 0.0144341+0.00262498j -0.0101759+0.000345851j -0.0328386+0.0124374j 0.0016423+0.00280322j 0.00202725-0.0179771j -0.00267883-0.00490869j -0.0211051-0.0260288j 0.0256859+0.0160875j -0.00786656-0.00359249j -0.00417946-0.00685848j -0.0146581-0.00332922j -0.00105796+0.0168277j -0.0163295+0.013561j 0.0229988+0.0191073j -0.002487-0.00585932j -0.0166518-0.013302j -0.0100109-0.0190142j 0.00760519+0.0229326j 0.00220934-0.0251184j 0.0213987+0.0332275j 0.00327195-0.00598774j 0.0235172+0.00331061j 
0.00223101+0.00536418j -0.0023175-0.00232741j -0.00079771-0.0087649j 0.00942841+0.00279285j -0.00789064+0.00448822j 0.0131296-0.0153378j -0.00737611-0.00535088j -0.00770104-0.0118943j 0.0179854-0.00996513j 0.00392622+0.00193302j -0.0184649+0.00404693j 0.00543256-0.00376156j -0.024278+0.00417302j 0.0260269+0.00233729j 0.0200891+0.00680734j -0.0051976-0.0147155j -0.00572363-0.0107364j -0.0179173-0.00527217j -0.00945729+0.00433569j 0.00438395-0.0113252j 0.00591131+0.0165328j -0.00073595-0.014809j -0.00267124+0.00145413j -0.000916037+0.000559588j -0.00643149+0.00622888j -0.000147699-0.00328694j -0.00390544+0.0120161j 0.00156128-0.00343568j 0.00406046+0.00369225j 0.00178965+0.0035617j -0.00264707+0.00709972j -0.00479008-0.00739416j -0.00346927-0.0059753j -0.00859219+0.00272346j 0.00108421-0.00166616j -0.00254901+0.00369024j 0.00836553+0.0124081j 0.00481042-0.000491108j 0.010399-0.00041107j -0.00187254+0.0152094j -0.00955984-0.00369487j -0.00439719+0.00227375j 0.00241147-0.0154043j -0.000101209-0.00295438j 0.000921411-0.00481666j 0.0047087-0.0024009j 0.00114754-0.00341278j -0.00431011+0.00896579j -0.000527712-0.000169771j -0.00258254-0.0180715j -0.00279953-0.000199118j 0.00260646+0.00530836j -0.00115465-0.0115266j 0.0040851+0.0108792j -0.0105172-0.00326192j 0.00368845-0.00774679j 0.00470149-0.00551349j -0.00393186+0.00427284j 0.00291279-0.00875563j 0.00304482-0.0110881j 0.00118182+0.00373404j 7.99616e-05+0.000241528j -0.0024967-0.00304391j -0.00920533+0.00167202j -0.00507209-0.00978529j -0.0179532+0.0145073j 0.000615228-0.00309064j 0.000508778+0.00279069j -0.00117958-0.00290474j 
0.00018634+0.0121322j -0.00295406+0.0117863j -0.00604634-0.0134681j 0.00709115-0.00891119j 0.00488208-0.00535077j -0.00437365+0.0101124j -0.0049295+0.00510317j 0.013098+0.00379785j 0.025044+0.00397505j -0.00266625-0.00181036j -0.000982799-0.000325382j 0.00934948+0.0085099j 0.0171696+0.00320901j 0.0274478+0.000196893j -0.0156286+0.000574858j -0.00669594+0.00228951j -0.000271482+0.00573058j 0.0103839-0.00539898j 0.0274629-0.00347315j -0.00182646-0.017664j 0.00654935+0.00891983j -0.00596587+0.00939262j -0.0107334-0.00619564j 0.00584449-0.00766402j 0.00303147-0.0049758j 0.000335592+0.0134762j 3.31661e-05+0.00319352j 0.00954029+0.00090549j -0.00791691+0.00481364j -0.00397928+0.00235351j -0.000829884+0.000632582j 0.00144278+0.00368259j 0.00802878-0.00797187j 0.0031932-0.0083864j 0.0184788-0.0187746j -0.00221295-0.0106009j -0.0249538+0.000674699j -0.0132775+0.00404408j 0.00337786+0.0131734j 0.00798581-0.0117173j -0.00612564+0.00955585j 0.00776513+0.00670311j 0.00336173-0.00499854j -0.00261307+0.00673085j 0.00774938+0.000875787j -0.0063328-0.00260499j -0.00109957-0.00109572j 0.0133605+0.00118927j -0.0143086-0.000229033j -0.0155589-0.0124017j -0.000958665+0.00138593j 0.00127827-0.000118309j -0.00158051+0.00655173j -0.0016885-0.0108066j 0.00577071-0.00322919j 0.000991287+0.00640991j -0.00379249-0.0109576j -0.0017149+0.00324296j 5.67502e-05-0.00370772j -0.0061896+0.00478393j 0.0122919-0.00493232j 6.09066e-05-0.000394965j -0.000678012-0.0018037j -0.00668401+0.00731902j 0.013301+0.0115446j 0.0177811+0.00112372j 0.0294387-0.00912804j 0.00909143-0.00653847j 0.00218348+0.00909332j 
0.00181764+0.00280185j 0.00343535+0.000172131j 0.00794618-0.00506799j -0.00171904-0.00153621j -0.00181841-0.0122283j 0.00217212+0.0111866j -0.0027799-0.0194768j -0.00409407+0.0127224j 0.00534606-0.00189891j -0.00482268+0.0073489j -0.00617672-0.00506234j 0.00780723-0.0141558j -0.00335498+0.00231347j 0.00648046+0.00322942j 0.00927353+0.000920508j -0.0208736+0.0301119j -0.00204224+0.0123694j -0.00414316-0.00878921j 0.00610881+0.0100632j -0.00449549-0.0109852j 0.0069497-0.0108676j -0.0100949-0.0107452j -0.00145918-0.00457557j 0.00391084+0.0110922j 0.00868052-0.00678116j -0.000822171+0.0029683j 0.00149529-0.00172757j 0.0102827+0.0152235j 0.00140416+0.00840588j 0.0084033+0.00594458j 0.00170121+0.00495881j 0.000157037+0.00301027j -0.00159283-0.00666965j 0.015889-0.0111779j -0.0147208-0.0199525j -0.00398793+0.00678778j 0.00772559-0.0167765j 0.026281-0.00894683j -0.020813-0.00262358j -0.00482325-0.00282462j 0.0217919-0.00461819j 0.00630941-0.00170699j -0.00783483+0.0104161j 0.00614444+0.00194598j 0.0018697-0.0154464j 0.000664671-0.00127756j -0.00108936+0.00454116j -0.00463389-0.00231936j -0.00201281+0.00330128j 0.0103678+0.013516j 9.63678e-05+4.48612e-06j 0.00161985-0.00530401j 0.000534375+0.00573379j 0.0050282+0.0140588j 0.00377817-0.00862242j -0.00231347+0.00263356j -0.0043648-0.0100425j -0.000424647+0.00733449j 0.00270497+0.00448274j 0.00859206-0.00145649j -0.0114508+0.00293457j 0.00201882-0.00100971j 0.0143622+0.00758021j 0.0213095-0.0197118j 0.0121908+0.00803168j 9.7349e-05+0.00132273j -0.0121519-0.00480435j -0.0100074-0.00249641j -0.00440326-0.00568352j 
0.00351492-0.00335387j 0.00399179+0.00499647j -0.00139219+0.00413344j 0.00462309+0.0067337j 0.00280093-0.00309831j -0.00384968+0.00593794j 0.00594144+0.00572971j -8.73182e-05+0.00210043j -0.000207179+0.00915022j 0.00897559-0.0142239j -0.0021689-0.0117904j -0.00355978-0.03456j -0.00425709+0.013424j -0.00448604-0.00420445j 0.000258235-0.00413275j 0.00881423-0.00280001j -0.00900421+0.0174982j 0.0106976-0.00514272j 0.00853911-0.00274768j -0.00637361+0.0126149j -0.00701788+0.0127029j 0.0100893-0.00226764j -0.00244945+0.0138748j -0.00231987+0.0119705j 0.0131185+0.00144413j -0.00120137+0.00512767j -0.00850937-0.000544482j 0.00321048-0.0116586j 0.0192085-0.000671648j -0.00791655+0.00283467j 0.00571573-0.000555141j -0.00709755-0.0119327j 0.00141521+0.0106217j -0.00503659+0.00258005j 0.001623+0.00463691j -0.00284372-0.00473888j -0.0115609+0.0177322j 0.00163059+0.0302468j 0.00575993+0.0173079j -0.000400334-0.00132035j -0.00110087+0.0124778j -0.00650331-0.00689325j -0.00396977-0.00713864j -0.00418863+0.00521131j -0.00434613-0.00273403j 0.0101268+0.0151491j 0.00613291+0.0109215j 4.46055e-06+0.00596675j -0.0103039+0.00484759j -0.00454848+0.00686635j 0.00393203-0.000978659j -0.00449613+0.0040854j -0.00189681+0.00156497j 0.00438434+0.00977907j 0.000933801-0.0177405j -0.00100168-0.00528042j -0.000296619-0.00402095j 0.000848159+0.00337493j -0.000985727+0.0142172j -0.00106387-0.0128596j 0.00395038+0.00450609j 0.00174803+0.00376979j 0.00255332-0.00642947j -0.00716332+0.00239959j -0.00846547+0.0154878j -0.013634-0.00512279j 0.00491176-0.0158615j -0.0036854+0.00551955j -0.000619194-0.000988011j 
0.00503454-0.00556314j 0.00534275+0.0144547j 0.0049899+0.00446971j 0.000388415+0.0042513j 0.000840733+0.00597959j -0.00122941-0.00258367j 0.00576351+0.0090316j 0.00171338-0.00344682j 0.00575244+0.00261903j 0.00425911-0.00948653j -0.00977086-0.00629324j 0.00417692-0.00338907j -0.0050674+0.00805419j -0.00732204-0.00216676j -0.00452861-0.00641175j -0.003677-0.0173143j 0.00229171-0.000921926j -0.00232024+0.00314454j 0.0101897+0.00516702j 0.0103959-0.00475252j -0.00551694-0.0011679j 0.00797161-0.0107443j 0.00132861-0.00499941j 0.00984945-0.0147667j 0.00795147-0.0102248j 0.00437375-0.00237773j 0.0116364+0.00260481j -0.00762171+0.0248658j -0.0163605+0.013322j -2.14717e-05+0.00595489j 0.00519925+0.00300759j -0.00267581+0.00350756j -0.0184385-0.0247809j -0.0128534-0.0117513j 0.00686618-0.013067j -0.0147479+0.00602294j 0.0144674-0.00419j -0.0028086-0.000388621j -0.00774632-0.0209357j 0.00773332-0.00352852j -0.00165513-0.000543029j 0.00568265-0.00437005j 0.00323302+0.0146732j 0.000686499+0.0148284j -0.00275342-0.00334834j 0.0130857+0.0110222j -0.00357987-0.0118063j 0.00558593+0.00442197j 0.00195948+0.0121255j -0.00701305+0.0156965j 0.00161607-0.00213233j -0.00424087-0.014087j -0.00448402-0.0135828j 0.00166449-0.00545713j -0.00112178-0.00226516j -0.000858844+0.00737449j 0.0019091-0.00627573j 0.00146565+0.00574733j 0.000792203-0.0118148j -0.00492084+0.00766445j -0.00483225+0.00442302j 0.00136377-0.00348737j -0.00474558-0.00212991j 0.00547999+0.00405984j -0.00758785+0.000996102j 0.00609788-0.0077799j -0.0130187-0.0069667j -0.00851008+0.00392296j -0.0011329+0.00365915j 
