-0.0497303+0.0393012j 0.0822727+0.00248549j 0.0018674-0.00655005j 0.0712573+0.041344j 0.0208385+0.0589857j 0.0512543-0.0322825j 0.0854201+0.0161991j 0.0258882+0.0228264j 0.0627236+0.0479869j 0.0283543+0.0184286j -0.0376514-0.0782792j 0.018164-0.0570169j -0.0306768+0.0123488j 0.0456671+0.0225007j 0.00681701-0.0299278j 0.0471759+0.0191564j -0.0254542+0.0304848j 0.0301651+0.0250622j 0.00214903-0.0343295j 0.0143968+0.00359334j 0.0381985+0.0188189j -0.0191003-0.010641j -0.0206618-0.00466677j -0.0185886+0.00883986j 0.00847719-0.00928613j -0.014936+0.0162293j 0.0102799-0.0043869j -0.031773-0.0448213j -0.00208432+0.0274837j 0.034343+0.0355731j -0.0112101+0.0332842j 0.00297652+0.0281296j 0.00914793-0.0550297j -0.0327325+0.018842j 
0.0340636+0.0807874j 0.0335811-0.108759j -0.00804082-0.00492359j 0.0812143-0.0798969j 0.0862627-0.00625341j -0.0232187-0.022077j -0.0024896-0.0459247j 0.00848874-0.0161095j 0.0168157-0.0381784j 0.00591118-0.0168413j -0.0353868+0.028941j -0.0312515-0.00218355j -0.00363832-0.0345386j -0.037983+0.0360704j -0.00219241-0.0064146j -0.0319882+0.0128132j -0.0173708+0.0117015j -0.0252362+0.00267024j 0.0368826-0.0145134j -0.00214443+0.00144824j -0.0169849-0.00244297j 0.00759077+0.00110516j -0.000689064-0.00548161j -0.00679091-0.00335996j 0.0144885-0.00171063j -0.0299663+0.002126j 0.00715696+0.00119874j 0.0246887+0.00745428j -0.0325357-0.00123711j -0.000720398+0.000550321j -0.0407391-0.0143715j 0.00432529+0.00828883j 0.0375701+0.0320392j 0.00196425-0.031268j 
-0.0113973+0.0159207j 0.0246448-0.0063485j -2.31487e-06-0.00211701j 0.0248122+0.00611171j 0.0113356+0.0157745j -0.046747-0.0174063j -0.0322256-0.0641971j 0.00199642-0.0285183j 4.61028e-05-0.0654166j -0.002158-0.0279328j -0.0326539+0.0642242j -0.046714+0.0166341j 0.0145631+0.0222987j 0.0199574-0.0339369j 0.071082+0.00952837j 0.0430093+0.0266462j -0.0442893-0.0797104j 0.0217646+0.0295245j 0.000183081+0.0661125j 0.00348652+0.0219237j 0.0254312+0.0629872j -0.00807129-0.0330192j 0.00693558-0.0287405j -0.00565199-0.0308269j -0.00891777+0.0331742j 0.0267609-0.061864j -0.00419965+0.0231587j 0.0018508-0.0653472j 0.0227274-0.0288384j -0.0470059+0.0780498j 0.0424899-0.0237534j -0.069764+0.00641529j -0.0194899-0.0337449j -0.014566+0.0216224j 
0.0875299+0.00587137j -0.0820896-0.0789115j -0.00805288+0.0050009j -0.0349889-0.108462j 0.033137-0.0799413j 0.0316778-0.00185711j 0.0349825+0.0290884j 0.00605525+0.0169842j 0.01651+0.0377711j 0.00830134+0.0156039j 0.00245533-0.0451546j 0.0223701-0.0214966j 3.4374e-06+0.0321216j 0.0393079-0.0308358j 0.00422593-0.00845701j 0.0413267-0.0132321j 0.00144817+0.00075341j 0.0323299-0.000278024j -0.025207+0.00642667j 0.00734532-0.0011186j 0.0303757+0.00260238j -0.0145423-0.00202365j -0.00689412+0.00333405j -0.00107004+0.00552316j -0.00749688+0.000775531j 0.0168593-0.00186149j -0.00170209-0.00150551j -0.0365325-0.0155114j 0.0257032+0.00372933j 0.0168986+0.0118434j 0.0319481+0.0144332j -0.00233015+0.00636501j -0.0365356-0.0373361j -0.00538471+0.0338948j 
0.0208557-0.0597822j -0.070633+0.0420602j 0.00196965+0.00656169j -0.0821945+0.00373487j -0.0494007-0.0382719j -0.018094-0.0578571j 0.0378218-0.0787689j 0.0289226-0.0192276j 0.0629222-0.0485271j 0.0252603-0.0228028j -0.0857645+0.0162272j -0.0503762-0.0323617j -0.0323938-0.0202736j 0.00781244+0.0553384j 0.0044906-0.0286522j 0.0113529+0.0325295j -0.0351339+0.0349446j 0.00186865+0.0269504j 0.032734-0.0441099j 0.00970606+0.00511674j 0.014921+0.0170997j -0.00821292-0.00952307j -0.0175115-0.00927715j -0.0214673+0.00408096j 0.0192442-0.0102668j -0.0377275+0.0176953j 0.0145861-0.00283718j -0.00132096-0.0342254j -0.0306344+0.0248586j 0.0250537+0.0306461j -0.0467545+0.0189934j 0.00566832+0.0289812j 0.0458021-0.0211255j -0.0293083-0.0133161j 
-0.0801264+0.027426j 0.0107532+0.0231974j 0.0593594+0.0509438j -0.0249184-0.00801962j 0.0150764-0.0835355j 0.0819223-0.0163004j 0.026946+0.0304399j -0.0534595-0.0460208j 0.0180712-0.0110629j 0.0181725+0.0682635j 0.0156432+0.0382668j -0.050202+0.0662723j -0.0500165-0.0105432j 0.0216277+0.0277243j 0.04184-0.025927j 0.00969129+0.00314436j -0.0282878-0.0260617j -0.0208061-0.0243273j -0.0208139-0.0186868j -0.0132461+0.00987718j 0.0267365-0.00601534j -0.00266623+0.0205192j 0.0108059-0.0171593j -0.0182712-0.0525153j 0.00496937-0.00764991j 0.0116189+0.0252659j 0.0105649+0.0335842j -0.0238269+0.0177757j -0.000664968+0.00272301j -0.0195159+0.00775218j 0.00726797+0.0214948j 0.0124965-0.0424314j -0.00867032+0.0364556j 0.0577859-0.0230578j 
0.00467402+0.117488j 0.0349475-0.00525125j 0.0914124-0.0589749j -0.0204104+0.0299037j -0.105499-0.052979j -0.0106364-0.061386j 0.0234004-0.0195817j -0.035314+0.0390072j -0.00796797-0.0135955j 0.0512824-0.0122351j 0.0289415-0.0108216j 0.0485362+0.0387475j 0.0303163-0.0125065j -0.0213546-0.0175649j -0.00569618-0.0331311j 0.0171215-0.00528573j 0.00168706+0.0159196j -0.00434138+0.0261208j 0.00866176+0.00110631j -0.0169408+0.000302423j 0.00411628-0.00977886j 0.0102121-0.00351476j 0.0305854+0.00942432j -0.0141365+0.0292127j 0.00930447-0.00491845j 0.0107023+0.00274929j 0.0118023-0.012331j 0.0057666-0.00742258j -0.0212753-0.0145673j -0.0110041-0.0117436j 0.0155457-0.0087411j -0.0205643-0.0261943j 0.00311671-0.0280599j -0.0306937+0.0120157j 
-0.0502589-0.013483j -0.00223371+0.0153705j 0.0130109+0.0464742j -0.0099175-0.0124584j 0.0361711-0.0378527j -0.0297354-0.0610837j 0.0183079-0.0273991j -0.0252804+0.051797j -0.0126777-0.0119988j 0.0501478-0.0287331j 0.026902-0.0201432j 0.0628596+0.0258513j 0.0392203+0.065191j 0.0234436-0.0377766j 0.00854229+0.0693375j -0.0255861+0.028634j 0.0115118+0.00918971j -0.00397707-0.0132225j 0.0142071+0.0299744j 0.0353411-0.0374544j -0.0218418+0.0289279j -0.0073834-0.0054423j -0.0626996+0.0528701j 0.00422656+0.00211606j -0.00960366+0.0288953j -0.0341145-0.0163906j -0.0141833-0.00561046j 0.0288851-0.00644829j 0.0479706-0.0149469j 0.0524257-0.011959j -0.0182995+0.00896322j 0.0535969+0.0550465j 0.0417048-0.00427995j -0.0434904-0.0250194j 
0.0810717+0.0474705j 0.011379-0.0255826j -0.000521347-0.0870676j 0.0113007+0.0264003j -0.0808368+0.0485664j 0.0126887-0.0345037j 0.0175922-0.00332446j -0.0297573+0.00949015j 7.34352e-05-0.00940407j 0.0301008+0.00894198j 0.0181678+0.00284325j 0.0135793+0.0343387j -0.0512815+0.00183224j 0.0209393+0.0384875j -0.0150029+0.0570328j -0.0304982-0.00265058j 0.00923748-0.0238414j 0.0247038-0.0361523j -0.0111968-0.0056826j 0.0276189+0.00951033j -0.0146289+0.0132745j -0.0177859-0.00230708j -0.04278-0.032431j 0.0413717-0.0329219j -0.0179437+0.00235508j -0.0157107-0.0127919j -0.0269576+0.00932431j -0.0118364+0.00668046j 0.0241216+0.0356456j 0.0112066+0.0248545j -0.0299876+0.00241744j 0.0146034+0.0564161j -0.0213017+0.0389064j 0.0508751+0.001321j 
0.0356406+0.036935j 0.00976337-0.011801j 0.0126016-0.0459506j 0.00215674+0.0155519j -0.0498023+0.0136772j -0.0631439+0.0258803j -0.0266698-0.0202265j 0.0504428+0.0285897j -0.0126628+0.0118066j -0.0256382-0.0521776j -0.0186403-0.0285964j 0.0297742-0.0614345j -0.0430797+0.0243145j 0.0404366+0.00371989j 0.0553931-0.0551488j 0.0187304+0.00913781j -0.0505754-0.0127653j -0.049845-0.0156731j -0.0287187-0.00621486j -0.0142263+0.00495709j 0.0341116-0.0164584j 0.00971451+0.0290029j 0.00586283-0.000970012j -0.0620011-0.0523745j 0.00746323-0.00526333j 0.0230424+0.0300718j 0.03509+0.0374794j -0.0129387+0.0307958j 0.00503426-0.0136709j -0.0127963+0.00637215j 0.0253476+0.0281713j 0.00903394-0.0695198j 0.0228846+0.0386373j 0.0388049-0.063854j 
0.104498-0.053801j -0.019331-0.0289002j -0.0926335-0.0577061j 0.0351993+0.00561537j -0.00230963+0.117982j 0.0482174-0.0388979j 0.0282591+0.0106537j -0.051358-0.0119327j 0.00804204-0.0137255j 0.0359485+0.038712j 0.0233024+0.0198232j -0.00980103+0.060972j 0.0300899+0.0129079j -0.00233082-0.0272699j 0.0204992-0.0264806j 0.0154999+0.00889701j -0.0100845+0.0120544j -0.0218361+0.0145889j 0.00539834+0.00676587j -0.0122075-0.0124165j 0.0101635-0.00351687j 0.0093772+0.00488315j 0.0146017+0.0290338j -0.0305086+0.00972451j 0.0100725+0.00350128j 0.00510493+0.00998507j 0.0169007+0.000198576j 0.00912135-0.00124502j -0.00429109-0.0256208j 0.00095685-0.0165007j 0.0167163+0.00526918j 0.00533404-0.0328827j 0.0219958-0.017175j -0.0297098-0.0130992j 
