-0.42171-0.198301j -0.0404726+0.220709j -0.0367071-0.0153385j -0.018818+0.0663103j 0.105842-0.00318747j 0.073887-0.0749362j -0.000265107+0.000347434j -0.00720097-0.00628869j 0.00970134+0.0118713j -0.00533299+0.015937j 0.00556515+0.0469231j 0.0487411+0.0253205j -0.0437709+0.0392864j 0.0166514-0.0437136j 0.0431836-0.0121479j -0.00423448-0.00191592j -0.00464306-0.00631626j 0.00151223-0.00204738j 0.00275087+0.00630315j -0.00710313+0.0112867j -0.00592845+0.00545532j 0.000950081-0.00962985j 0.00332046-0.00655443j -0.00652996-0.00553907j -0.00938765-0.00212973j 0.00399333+0.0286917j -0.000399222-0.0216355j -0.0134128+0.00980334j 0.00217087+0.00141488j -0.00294379+0.00190448j 0.000252066+0.00509229j -0.00527369-0.00698787j 0.0135108-0.0219492j -0.0152005+0.00928964j -0.00882744+0.0123322j -0.0166193+0.0180398j -0.014952-0.002613j -0.0267635+0.00547076j 0.0127711+8.5121e-05j 0.0099137+0.00959501j 
-0.250136+0.439256j 0.209412+0.0552603j 0.00499228+0.0449255j 0.057867+0.038946j -0.0166734-0.0947886j -0.0609224-0.0624066j 0.00896455+0.0109074j 0.00837221+0.0267376j -0.00606689-0.0120465j 0.0185236+0.0347001j 0.041057-0.0201807j 0.0174849-0.0365276j 0.0214364+0.0462455j -0.0466833+0.00918927j -0.0177876-0.026863j -0.000168028-0.00275982j -0.00173939-0.0101123j 0.00227637+0.017226j -0.00927379+0.013823j 0.00369146-0.00863653j -0.00494846+0.0103872j -0.00287518+0.0142868j 0.00420509+0.0012079j 0.00742982-0.00329555j -0.00179028+0.000122362j 0.0258535-0.00246586j -0.0108511+0.00267626j 0.00238252-0.00892985j -0.0168493+0.0152134j 0.000545815-0.00218216j -0.000610371-0.00485515j 0.00654584-0.00426615j -0.016384-0.0136146j 0.00352161+0.00300827j 0.00059861+0.0120137j 0.0119448+0.00116864j 0.022886-0.00444008j -0.00479508+0.0141083j -0.0221968-0.00754315j -0.00411976-0.0111508j 
0.0295361-0.300908j 0.0615677-0.00388586j -0.126627+0.025618j -0.055078-0.0969507j 0.0554921-0.077301j -0.0618007-0.0110155j -0.0254336+0.00163663j -0.058891+0.0184183j 0.0560189-0.0407215j -0.0942174-0.0447203j 0.0309421-0.0107748j -0.00593043-0.0270452j 0.0131967-0.0573082j -0.058812-0.0401822j -0.0351427-0.031677j -0.00229432+0.00462279j 0.00640668-0.000680833j -0.0319372-0.00137576j -0.00679434-0.00501984j 0.0238754-0.00979428j -0.00259919-0.0293798j -0.0337432+0.011154j -0.0220936+0.0412009j 0.00846879+0.00459989j 0.013057-0.0062606j -0.0361173-0.0159353j -0.0053371+0.03833j 0.054654-0.00341202j -0.0305581-0.0197455j 0.0150062-0.000560767j 0.0170229+0.0064262j 0.0140853+0.00296031j -0.00202453+0.0400644j 0.0237654-0.0111916j -0.0024732-0.0443351j 0.0251984-0.0039969j 0.046915+0.0236445j 0.0309249-0.0195207j -0.0221454-0.026766j -0.00976683-0.0250038j 
0.20338+0.239432j -0.0251154+0.131705j 0.00924553-0.126415j 0.13401-0.0435336j 0.042882+0.0531508j -0.0067773-0.062365j -0.0283743+0.00495951j -0.0566997-0.0256564j 0.00771186+0.0244016j 0.00232124-0.0684567j 0.0387691+0.019791j -0.0271895-0.00998728j 0.04264-0.0281512j -0.00496108-0.0432131j -0.00391958-0.0291931j 0.0186577-0.0082345j 0.0362409-0.00109568j -0.0121217+0.0164896j -0.0445748-0.0154123j 0.00974397-0.031841j -0.00250633-0.0158992j 0.00401818+0.00627405j 0.00520237-0.00624933j 0.0405428+0.00963236j 0.0318684-0.0105892j -0.0142691-0.0159769j 0.0201285+0.00442229j 0.00524708-0.0267558j -0.0142252-0.0202896j 0.000517809-0.00285216j -0.0243885-0.0155001j 0.0387731+0.022275j 0.0170344+0.0169869j 0.00924552-0.0191968j -0.00499314-0.00577733j -0.00581853-0.0410709j 0.0305997+0.0232389j 0.0089424-0.0409605j -0.00947193-0.0180527j -0.00814546-0.00928396j 
-0.0873839-0.174014j -0.125212-0.04709j 0.0762819+0.0435112j 0.0465903+0.0798311j -0.0643403-0.0328453j -0.0164341-0.0150539j 0.0211015+0.0198051j -0.0129745+0.0516514j 0.046581+0.010813j -0.0397228-0.0165833j 0.0345935-0.0442112j 0.0244898+0.0116512j -0.000719789-0.00523447j -0.0459112-0.0078446j -0.0214868-0.0192918j -0.00121366-0.0118803j 0.0147287-0.0252877j -0.0168369+0.0106001j -0.0367988+0.0235041j 0.0357657-0.00909433j 0.0359493-0.00412543j 0.0282328+0.00686135j 0.0165961+0.0158774j 0.0610437+0.0294025j 0.0538613+0.0351809j -0.0156936+0.00804974j -0.00115011-0.0130503j 0.00657842-0.00175663j -0.00472006+0.0465737j -0.00393122+0.00496835j -0.0255811-0.0588001j 0.0342006+0.0475146j 0.00411043+0.0259314j -0.0239409+0.0307824j -0.0319575+0.0323574j -0.00109035-0.0308025j 0.0332795+0.0138185j -0.0189612-0.0251321j -0.0158788-0.0226134j -0.00345826-0.00966297j 
0.253811-0.0188287j -0.0357134+0.0819728j 0.00427831+0.00926767j -0.0420423-0.00999741j -0.0159063+0.0255098j 0.0158951+0.0424217j 0.019659+0.0846436j -0.021877+0.0831072j -0.0646094+0.074049j 0.0347388+0.0604558j 0.0771148-0.0162758j -0.0113234+0.0849472j -0.0621995+0.0430897j -0.0263759+0.0164978j 0.00889113+0.0069054j 0.000786373-0.0215092j 0.00730596-0.0300455j 0.0266249+0.020266j -0.0344085+0.0356598j -0.0163621-0.00187161j -0.00680708+0.0395265j -0.00863052-0.000508596j -0.0260312-0.0454731j 0.00754319-0.0207211j -0.0221373-0.00896298j 0.0670829-0.0503203j -0.02864-0.0050691j -0.0354689+0.0229737j -0.0341646+0.000115987j -0.00706048+0.0063775j -0.0153015+0.0275707j 0.0171978-0.0221455j -0.0667387-0.0410714j -0.00112681-0.00481741j 0.0453691+0.0138225j -0.00680677+0.0123515j 0.026215+0.0113159j -0.00612994+0.0380381j -0.0227612-0.0159334j 0.00518444-0.0178974j 
-0.0688534-0.024878j 0.00676888+0.0526893j 0.0150976-0.0188649j 0.0524049-0.0782933j -0.0669025+0.000636101j -0.0757693+0.0360528j 0.0191821-0.00222422j 0.0179552+0.0338797j 0.038077-0.0268041j -0.057854+0.0461239j -0.0158066+0.00627082j 0.0653347+0.0233381j -0.068814+0.025164j -0.0117239-0.0155642j 0.0198334+0.00189123j 0.00309672+0.00643469j 0.00128787+0.0208997j 0.000498211-0.023007j 0.0196826-0.0224447j -0.00633409-0.00851144j 0.00881061-0.0412872j 0.012851-0.0500245j 0.00690941-0.0288986j 0.0122542-0.0175656j 0.0328693-0.0288281j -0.00758559-0.0293999j -0.00519004+0.028729j -0.0173006+0.00786588j 0.0692144-0.0434983j -0.00243062+0.0065857j -0.0505194+0.019178j 0.0232524+0.00613659j 0.00229118+0.0253413j 0.0377177-0.0024238j 0.0584686+0.000199975j -0.018995-0.0279732j -0.0358364+0.0084228j 0.0358065-0.00228267j 0.0240276+0.0206073j 0.000309022+0.00981993j 
-0.0168335-0.0630268j 0.0154001+0.0913745j 0.0120904-0.00764478j 0.0154049-0.050894j -0.0480505+0.0110909j -0.0395083+0.0393044j 0.0268135+0.0166683j 0.0197283+0.0428484j 0.00547357+0.00986417j 0.00355625+0.00910537j 0.0114874-0.0573191j -0.00419722+0.00464527j 0.0108547-0.0004221j -0.0274346+0.0380954j -0.0287386+0.00576957j 0.00747523+0.00686382j -0.00134882+0.0256698j 0.0221343-0.00809212j 0.019858-0.0193343j -0.00831624-0.025125j 0.0159804-0.013528j -0.0143544+0.00876566j -0.0459532-0.00381272j -0.0175313-0.015454j 0.0030716-0.0202178j -0.00493888+0.0321068j -0.0178971-0.0797569j 0.0527056-0.00151436j 0.010406-0.0273933j 0.0167423-0.00161153j 0.015037+0.0182071j -0.00651794-0.0162975j 0.053695-0.0435495j 0.0194754+0.0317387j -0.0193941+0.0130863j 0.00657908+0.0579205j -0.0113725+0.0151644j -0.0373922+0.0277991j 0.0142624-0.0238749j 0.022961-0.00043318j 
-0.275163-0.0867316j -0.170533-0.0499654j 0.0303101-0.00138501j 0.00645289-0.00474195j -0.0375254+0.0207207j -0.00468544+0.0289915j -0.0469822-0.00959382j -0.0115653-0.0324581j -0.0643125-0.0679297j 0.0186561+0.0670203j 0.0164733+0.0537105j -0.0251865-0.0736068j 0.0113537+0.0329884j -0.0232931-0.00216353j -0.00394232-0.0166549j 0.00959696-0.0120022j 0.0196162-0.00729j 0.013053+0.0106185j -0.0272062+0.00819106j -0.0119298-0.034847j -0.000987075-0.0100953j -0.0107827+0.0123375j -0.0331347-0.00449243j 0.0171885-0.020467j 0.00717483-0.0289141j 0.0165272-0.0670857j -0.0294659+0.0255894j 0.0140306-0.0205324j -0.0253873-0.0213995j 0.0066142-0.00342383j -0.0152314+0.0218199j 0.0316783-0.0155105j -0.0415566+0.00216281j 0.0419291-0.0241752j 0.0436834-0.0152676j 0.0211869-0.0188373j 0.0518049+0.0109428j 0.035874+0.0119663j -0.041285-0.0147128j -0.0148996-0.0296192j 
-0.108606-0.00680605j 0.0216828-0.017829j -0.0178068+0.0776117j -0.0607459+0.0420113j -0.00276552-0.0599105j -0.00222994-0.000849421j -0.0283593+0.0488193j -0.0682199+0.00637881j -0.0505231+0.0580637j 0.0236216-0.0334674j 0.0603126+0.0165063j -0.0646516+0.0406626j 0.0053188-0.0291795j -0.00226605-0.018414j -0.00194712-0.00517909j 0.0254338-0.0144502j 0.0482128+0.0257045j 0.0289607-0.0430278j -0.0240956-0.0469981j -0.0441887-0.00490809j 0.0243933-0.0156395j 0.0554503-0.0094019j -0.0123405-0.00825854j -0.000778271+0.0246998j 0.00832976+0.00167007j -0.0133165-0.0269544j -0.0281574-0.0304024j -0.0372766-0.043242j 0.0301217-0.0273607j -0.012154-0.010773j -0.0160362-0.0231429j -0.00857227+0.0297547j -0.000131085-0.023778j 0.0119492-0.0242513j 0.0136505+0.0223749j 0.00789722-0.040272j -0.0428645+0.0113754j 0.0258271-0.00669359j 0.0268876+0.0157027j 0.00401965+0.0122921j 
-0.00641313-0.194686j 0.0012477+0.0966022j 0.0407348+0.0155101j 0.000569497+0.0745404j -0.00189326+0.00685775j 0.0401477-0.0155948j 0.0231053-0.000273446j 0.0220754+0.0236097j 0.0204793+0.000465661j -0.0001986-0.00413965j -0.000568204-0.0463066j 0.00627214-0.00927051j 0.0202304-0.000857385j -0.0189733+0.0258535j -0.0228509+0.00025693j 0.029834+0.0100461j 0.00761869+0.0351558j 0.039216+0.0486518j -0.00492093-0.0272616j 0.00465554-0.0512409j -0.00160764+0.0442836j 0.00215702+0.0471484j 0.00781319-0.0583992j 0.000805807+0.00262002j -0.00208775+0.00288636j -0.000991829-0.0860174j 0.105298+0.0137397j 0.000798629-0.0204687j -0.00147737-0.000555932j 0.000186917-0.00512466j 0.00263061+0.00237278j 0.00110373-0.00209776j 0.00875453+0.05932j 0.00222992-0.0470988j -0.00209204-0.0437879j -0.00599402-0.0506626j 0.004941-0.0258879j 0.0395166-0.0482453j -0.00769168+0.0344104j -0.0293453+0.00940978j 
