-0.00711817-0.0412772j -0.0165567+0.0059533j 0.00999354-0.0304578j 0.0519956+0.00653097j -0.0222526+0.000277778j -0.023213-0.0343998j -0.0510118+0.00447383j 0.0379326+0.00811075j 0.00503867-0.035472j 0.0491341+0.0238967j -0.0177919-0.0123869j -0.00033324-0.000285129j -0.038359-0.0393945j -0.0328542+0.0146315j -0.0207784-0.0329852j 0.0112682+0.0489576j -0.0401286-0.0115117j 0.00637156+0.0218285j 0.0215633+0.0478337j -0.026995+0.0182542j 0.00211622-0.0174254j 0.0409046-0.00590084j 
0.0224317+0.0437868j -0.0112424-0.0238404j 0.0384158+0.0608679j -0.0450712+0.0146057j -0.000699919+0.0115057j -0.0358446+0.0227447j 0.0153706-0.0575992j -0.0203968+0.0263045j 0.0251285-0.00216642j -0.00622199-0.000789231j 0.0157118+0.000473767j 0.00928771+0.0540087j 0.0711979-0.00450495j -0.00988415-0.0417126j 0.0211956-0.00463708j -0.0267678+0.00965295j 0.0900886-0.0233634j -0.0357039-0.0203626j -0.0189303-0.0198889j -0.00981247+0.0271939j 0.0171132-0.000968211j -0.0351345-0.00382685j 
0.0231467+0.069007j 0.0660752+0.00749642j 0.00365158-0.00436751j 0.00164602+0.0268013j -0.020195+0.0163823j 0.0110636+0.00125483j 0.043227+0.00427866j -0.0304383+0.0193812j -0.00537927+0.00471317j 0.0178503-0.00151849j 0.0133249-0.00138799j 0.00864213-0.0206767j 0.0635914+0.0444341j 0.0316747-0.0175948j 0.0217974-0.00553881j 0.00866476-0.0240657j 0.0366737-0.00488405j -0.0170427-0.0464481j -0.0548007-0.0264014j 0.025005-0.0322737j -0.0481883-0.0221093j 0.0242726-0.0161499j 
-0.0620508+0.00559563j -0.0135113+0.0243631j -0.0245033+0.027987j -0.0254314-0.0262511j -0.00895404-0.0158018j -0.0177755-0.0122029j 0.0139006+0.0219596j -0.0159214-0.0280805j 0.00412463+0.00767732j -0.00470584+0.00928707j -0.00194467+0.0144574j -0.0179427+0.0204161j -0.0329154+0.053366j 0.0185959+0.0121068j 0.00165022+0.0219285j 0.000959699+0.000746044j 0.0112746+0.0622329j 0.0358728-0.0142308j 0.0371408-0.0307111j -0.00625732+0.019679j 0.0289563-0.0107424j 0.00116403+0.00118218j 
0.00630303+0.0108337j -0.00489852-0.00147395j -0.00483-0.0163968j -0.00414087-0.0291932j 0.00881288+0.00308564j -0.0140697-0.0133503j -0.0101834+0.00541104j -0.0156894+0.0123759j 0.00940286-0.0472706j -0.0129222-0.0301526j 0.0417105-0.0098927j -0.0248816+0.0246654j -0.00562891-0.00579552j -0.0137359-0.0165362j -0.0357187+0.0264494j -0.00456655+0.00496543j -0.00120204+0.00631925j 0.0049325-0.00809091j -0.0166539+0.0132887j -0.00302139-0.0398614j -0.00684523-0.0355073j 0.0262623+0.0287166j 
-0.0174769-0.00519675j 0.0148554+0.011453j 0.0293456+0.00238804j 0.0287419+0.0364846j -0.0115471+0.0131041j 0.0447026-0.0038586j 0.00559633-0.0234981j -0.00657337-0.0361055j 0.0494616+0.0114591j 0.0454184-0.0156558j 0.0204402+0.0318426j -0.0138011-0.0443453j 0.00708073+0.00180754j 0.0121041-0.0286457j -0.0423968-0.0420621j 0.0170991-0.0117168j 0.0173988+0.0174144j -0.00921042+0.0142796j 0.0144511-0.0127379j 0.0298645+0.0111673j 0.0669937+0.0211069j -0.0314747+0.0373294j 
-0.00463254-0.00126759j 0.0352011+0.0114812j 0.00483416-0.01537j 0.0127814+0.0318235j 0.00268148+0.011324j 0.0165919-0.0178738j -0.00544225-0.0139777j -0.0161552+0.00266638j -0.0523192-0.0445571j -0.0392327-0.0265183j 0.00488861-0.0857153j -0.00910746+0.0163911j 0.000540284+0.00395376j -0.050933+0.00040553j -0.00482838+0.0798182j 0.015188-0.0307098j 0.0535402-0.00270417j -0.011858+0.0214733j 0.049145-0.000421597j -0.0411661+0.0106021j 0.0190886-0.0274316j 0.0689486-2.3076e-05j 
-0.0183681+0.0193359j 0.0255964-0.0150791j 0.0263588-0.0262474j 0.0684768-0.00818321j 0.00351311+0.0334207j 0.0075144-0.0468712j -0.0285768-0.0123489j -0.0435605-0.00637255j 0.0264708-0.00692163j 0.00257783-0.0289759j -0.0185619+0.0117108j -0.0636097-0.016375j 0.0105769-0.0177431j -0.00439678+0.000174742j -0.00913827+0.0093681j -0.031058-0.0328097j 0.00846665-0.028933j 0.0168454+0.0176137j 0.00595831-0.0444731j 0.0535594+0.0102317j 0.0484955-0.0584135j 0.00718756+0.0204373j 
0.00898786+0.00532764j 0.0316455-0.00557398j 0.00561215-0.0122401j 0.00645711+0.0159674j 0.0293088+0.033267j -0.00595653+0.021501j -0.00101885+0.0253j 0.0132289+0.0240388j -0.0445213+0.0377647j -0.0199748+0.043424j -0.063013+0.0158153j -0.00383926+0.0426702j -0.0231016-0.0161815j 0.0195474+0.0210402j 0.0836456-0.0182867j -0.041215+0.0156668j -0.00338042+0.0040961j -0.0162034+0.00133921j 0.0371901-0.040666j 0.0237745+0.022281j -0.029108+0.00570582j 0.00721548-0.0503696j 
-0.0141612+0.00256256j -0.00302904-0.014491j -0.00607059+0.00456398j 0.0297353-0.0134795j -0.0387789-0.0252292j -0.0108911-0.0300853j -0.0170399-0.0388956j -0.0123194-0.00789756j -0.00946069+0.0169457j -0.0192957-0.00410001j -0.0505343-0.0309256j 0.00397006-0.0340721j 0.0336931+0.00533931j -0.0130311+0.0395217j 0.0192827+0.02948j 0.0137641-0.0557904j 0.00213621-0.05461j 0.0473893+0.0136739j -0.00931296-0.00716541j -0.00807689+0.0413927j 0.0105883-0.0226296j 0.000637532-0.0224418j 
-0.0150706-0.00934671j -0.0322362+0.0124209j 0.00680756+0.0216692j -0.00224694+0.0107084j 0.0255674+0.0070055j 0.0125356-0.0234955j 0.0161326+0.0396272j -0.0269076-0.0123912j 0.0256689-0.0301353j 0.0387555-0.0318116j 0.0653224-0.00790374j -0.0155151-0.0481423j 0.00546113+0.00956362j -0.0283354-0.0255494j -0.0632919+0.0290409j -0.00278141+0.0372422j 0.00214649+0.00850644j -0.051957+0.00521324j -0.0156682+0.022304j -0.00833376-0.017545j 0.0276111-0.00346655j -0.00500663+0.0453837j 
0.0227113+0.00758656j 0.0227822+0.0066792j 0.00415373-0.0294236j -0.0222149-0.00933411j -0.0134926-0.00194257j 0.015905+0.0310447j -0.00477677-0.0358136j 0.0238022-0.00937801j 0.0418935-0.0332465j 0.00254226-0.0169j 0.059726+0.0326672j 0.000624288+0.0536683j -0.0248014-0.00445037j 0.0285246-0.0516379j -0.0533719-0.0541272j 0.0288052-0.00348702j 0.0101034+0.0537038j 0.0244296-0.0186328j -0.00314315+0.013453j 0.00875493-0.057554j 0.00759159+0.0125559j 0.00222072+0.0419785j 
-0.000534428+0.011311j 0.013879-0.0234798j -0.00188878-0.0291154j 0.0412302-0.0193387j 0.0691911-0.0155997j -0.00321174-0.0195557j 0.0327975+0.018224j -0.00377597+0.0278002j -0.00318211+0.0107174j 0.00477657-0.00772413j 0.005294+0.0196471j -0.0151681+0.0408084j -0.0207062+0.00654328j -0.010386+0.00225009j 0.0144578-0.0163733j -0.00108191+0.0522418j 0.0118833-0.00675945j -0.00773256+0.0468293j -0.0215051-0.0514615j 0.025126-0.0303181j -0.00757796-0.0292649j 0.00646261-0.0105802j 
0.00337896+0.00238125j -0.0138587+0.0146218j -0.0015301+0.0120681j -0.0337525-0.0112358j -0.0559769+0.0433784j -0.0181791+0.0147851j -0.0559729+0.00157852j -0.0118606-0.00189911j 0.00208359-0.0227771j -0.0185842+0.00971026j -0.0157454+0.00855631j -0.0166274-0.015104j 0.0146743-0.0271883j 0.0172482+0.0017373j 0.00140711+0.0185795j -0.0416169-0.0465534j -0.0350199+0.00334844j 0.0125536-0.065346j 0.0125764+0.0387005j 0.00303+0.0139626j -0.0121654-0.0042741j 0.0015456+0.00993667j 
