-0.00476234+0.00573029j 0.0041589+0.0065888j 0.00459105-0.00192948j -0.00207116-0.00553848j 0.00347033+0.00600083j 0.011868+0.00314461j -0.0029265-0.00727922j 0.00454581-0.0106907j -0.0119261+0.00694012j -0.00850362-0.00242166j -0.00353111+0.000339772j 0.00982047+0.00563376j 0.00679144-0.00346458j 0.00726288+0.00251629j -0.00806861-0.00783994j 0.000849084+0.0108257j -0.00446693-0.0114035j -0.0119748+0.00707631j 0.000857983-0.00128206j 0.000893461-0.0030842j 0.00604936+0.00871088j -0.000133707+0.00511379j -0.00674554+0.00688454j 0.0138115-0.0145329j -0.00466255-0.00926737j -0.00683491-0.0073665j -0.00114292+0.00893406j 0.00404168-0.00322129j -0.000420542+0.00619706j 0.0016828-0.00183774j 0.00645146+0.002317j -0.00946858-0.00284998j -0.0011473+0.00279085j 0.00667216-0.00183865j 0.00979496-0.00161322j 0.00750389+0.000326306j 0.00147581+0.000545988j -0.00483551+0.00385419j 0.00287898+0.00822306j -0.00023123+0.00644627j 0.00313673-0.00207832j 0.000623638-0.00499262j 0.000732922-0.00814481j -0.00633613+0.00439764j 0.00576966+0.0134377j -0.000579909+0.00521065j 0.00379914+0.0088307j -0.00114395-0.00363639j 0.000240876+0.00420765j -0.00672272-0.00381548j 0.00866856-0.00170298j -0.00140252-0.00117749j 0.00768724-0.0058013j -0.00702152-0.00212494j 0.0039372-0.00029918j 0.00099593+0.00304171j -0.00598402-0.00105697j 0.0019894+0.00194765j 0.00276948+0.000306354j 0.00550206-0.00418302j -0.00426009+0.00131429j 0.00139278-0.000719561j -0.00323349+0.00509195j -0.000758859-0.0047319j 0.00140642+0.00497884j -0.000264667+0.00160074j -0.00446312-0.00095093j -0.00163837-0.00527911j 0.000683965-0.00039252j 0.000317581+0.0037773j -0.00491077+0.000681069j -0.00062012-0.00238229j -0.000185193+0.000752555j -0.00228472-0.00786908j -0.00231237+0.000751958j -0.000216732-0.000202066j -0.00479307-0.00135797j -0.00377953-0.00104866j 0.0027332-0.0010486j -0.00471502-0.00268973j 0.00111833+0.000151739j 0.0017462-0.00461317j 0.00198316-0.00566648j 0.000373568-0.00134681j 0.00145684-0.0013238j -0.00277977+0.000531567j 0.000385891-0.00461559j -0.000221653-0.00152867j 0.00347944-0.00540972j -0.00289704-0.00199051j -0.00478137+0.00268736j 0.00739147+0.00022832j 0.00168327-0.00851764j 0.0170841-0.0121685j 0.00834411+0.0178475j 
-0.00655299-0.00177201j -0.00136985+0.00779162j 0.00215322+0.00728869j 0.00828274-0.003938j -0.00614247+0.00506015j -0.00383459+0.0112032j 0.00818246-0.00175073j 0.0102004+0.000162063j -0.00853552-0.00886616j -0.00136112-0.00913476j -0.000661052-0.00418393j -0.000841149+0.0124537j 0.00291131+0.00560354j 0.000955412+0.0097654j 0.00628584-0.0110981j -0.0110148+0.00214632j 0.0115474-0.00195298j -0.00514047-0.00675822j 0.00465529+0.000712661j 0.00216813+0.00453301j -0.0154333+0.0090959j -0.0062906+0.00360926j -0.00166478+0.00117543j 0.0143677+0.0147416j 0.00590698+0.000141464j 0.00970667-0.00672089j -0.0156638+0.000588559j 0.00315196+0.0104953j -0.00887182-0.000461688j 0.00213028-0.00196463j -0.00909992-0.0018938j -0.00396535-0.00101887j -0.0065795+0.00277624j 0.00183873+0.00492036j 0.00407624+0.000524892j -0.00432433+0.00570609j 0.00120694+0.00672761j -0.00153056-0.00396509j 0.000369059-0.00358282j 0.00515568+0.00140125j -0.00143155+0.000951792j -0.0028093+0.00211019j 0.000180228+0.00468103j 0.00138728-0.00829207j -0.010422-0.00259613j -0.00214596-0.00306044j -0.00994302-0.000722083j 0.00569733-0.00248741j -0.00679135+0.00348143j 0.0044078-0.00184659j -0.00145781+0.00722517j -0.00077205-0.00482602j 0.00415391+0.00629694j 0.00345977-0.00822973j 0.000470563+0.000748481j -0.00500446-0.00270459j 0.000630305-0.00522131j -7.22804e-05+0.00510505j 2.97456e-05-0.0023488j 0.00346841+0.00495829j 0.00977635-0.000587464j -0.00254865-0.00396016j -0.00297105-0.00264661j 0.00287374+7.85203e-05j -0.00308029+0.00669173j 0.0036824-0.000298982j -0.00330377-0.000561372j -0.00351072-0.00659343j 0.0053298+0.000340444j -0.000446556-0.00303696j -0.00113565+0.00129547j 0.00131922+0.00302324j 0.00153635-0.00160315j 0.00144485+0.00162047j 0.0043522-0.000276431j -0.00145118+0.00185806j -0.00493769-8.099e-05j -0.00487161-0.000678809j 0.000474855-0.00165277j 0.00342593-0.00335795j -0.00235875+0.0020734j -0.00118942-0.000864638j -0.00157738-0.00220036j 0.00347255-0.000339512j 0.00481968-0.0021974j -0.00411279+0.000198549j 0.000748127+0.00392149j 0.00383745+0.00051762j -0.00464999-0.00391992j 0.00658164-0.0105907j -0.0103429-0.00688015j 0.00479455+0.00272798j 0.00231124-0.00576594j 0.00284532+0.0163532j -0.0157789+0.00729701j 
-0.00223194-0.000187068j 0.000891165+0.00363371j 0.000895646+0.00199973j -0.00056028-0.000930152j 0.000741627+0.00251437j 0.0010821+0.00189946j 0.00304248-0.0046978j -0.000411901-0.000414974j -0.00416709-0.000894531j -0.00144897-0.00127708j -0.00518725+0.00433245j 0.000133109+0.00281797j -0.00109406+0.00186502j -5.16524e-05+0.00260382j -0.00505073+0.00134503j 0.00120324-0.00224096j 0.00560278-0.00478895j 0.0024656-0.00659077j -0.000932614+0.00149982j 0.00226827+0.00139253j -0.00401729+0.00778519j 0.00107179-2.21773e-05j -0.00151484+0.000476962j 0.00232284+0.00168308j 0.00169745-0.00404309j -0.000324703-0.00283229j -0.00252767+0.00145889j 0.00692239+0.0018162j 0.0120111+0.00184708j -0.00601897-0.00279862j 0.00795693+0.000582276j 0.0480451+0.000513713j 9.32273e-05+0.00242213j 0.00100866+0.00194856j 0.00246485-0.00151691j -0.00421625-0.0007683j 0.00676081+0.00231824j 0.00207593+0.00154751j -0.00133054+0.0006988j -0.00333333-0.00163605j -0.000277307-0.000305903j 0.00109465-0.000182286j 0.00650502-0.000562693j -0.00467909-0.00112537j -0.00305303+0.00152132j 9.60422e-06+0.000532646j -0.000884202+0.000943163j 0.00266293-0.00132889j 0.000938649+0.00152654j 0.00115535-0.00205271j 0.000951396+0.00226387j -0.0014007-0.00128667j 0.00430588+0.000104949j -0.00236081-0.0020067j -0.00415376+0.000239289j -0.00274254+0.00119152j -9.45966e-05-0.000400022j 0.000421531+8.98091e-05j 0.00111802-0.000366576j 0.00266595-0.00175056j 0.00100798+0.000183944j -0.000506773-0.00048839j 0.000120764+0.000964915j 0.000396185-0.000899762j 0.000399378+0.00143769j -0.000491018+0.00026988j -0.00186684-0.000127829j -0.000960678-0.00238157j 0.00120462+0.00073211j 0.000740418+0.000163055j -0.00188603+0.000230656j 0.00191249-0.00140954j 0.00202722+0.00016062j -0.00284-0.000164466j -0.00045739+0.000814321j -0.00113498+0.00205279j 0.000527746-0.00174079j -0.00107089-0.000266073j 0.00091352-0.00128214j 0.000251389-0.000782005j -0.00225842-0.000105668j 0.00066689+0.00096732j -0.000227047-0.00143473j 0.000879665+0.000364696j -0.000192041-0.00020608j 0.000509645-0.000652428j -0.000211864+0.000112626j 0.000161807+0.00105443j 2.82931e-05+0.00159973j 2.18011e-05-0.00226494j -0.0019908-0.00198715j 0.00189803-8.77448e-05j 0.000683517+0.000253944j 0.00497744-0.000804779j -0.00023429+0.00370095j 
-0.00646631-0.000915746j 0.00169987-0.00073055j 0.00578992+0.0013717j -5.00458e-05+0.00361207j -0.00154653+0.00154375j 0.00801723-0.0017986j 0.0095065+0.00121048j 0.00508895+0.00559815j -0.00144064-0.00567055j -0.00504298+0.00361946j -0.00674399-0.00241134j 0.0171497+0.000693954j 0.00660921+0.000149088j 0.00775031+0.000605122j -0.00786572-0.00113498j 0.00615948+0.00254216j -0.0105878-0.00151176j 0.0186544-0.00224261j 0.0102592+0.00309703j -0.0134794-0.00315813j -0.0110226-0.0118038j 0.000468828+0.00212302j -0.000114264-0.00569041j -0.00320908+0.00381808j 0.00406494+0.00294046j 0.0001294-0.00288897j -0.00107118-0.00421327j -0.00504438-0.00617328j 0.00173738+0.0057989j 0.000503162+0.004517j 0.00840967+0.01257j -0.00125072-0.00195837j -0.00173426-0.00737666j 0.00266756+0.00553491j 0.00368471+0.0196513j 0.000723468+0.00247622j -0.00446099-0.00531462j -0.00397793-0.00826428j -0.00195198+0.00366062j -0.00201285+0.00653288j 0.00179926+0.00732221j 0.000784855-0.00337775j -1.37956e-05-0.0137718j -0.00368853+0.0077853j -0.00268218+0.0117951j -0.00244299+0.00175708j -0.00268584+0.00397314j 0.000452269-9.609e-05j 0.00238162-0.00173427j -0.00160989-0.00489206j -0.00167592-0.000217175j 8.63951e-05+0.00118165j -0.000353602-0.00100234j 0.0012531+0.00016851j -0.000129027+0.00652348j 0.000743448-0.00203893j 0.00256078-0.00451365j -0.00109997-0.00123501j 0.000184084-0.0022882j -0.00398679+0.00135259j -0.000403742+0.00315764j 0.00294689+0.00350228j 0.00386723-0.00770233j 0.00363799-0.00366854j -0.000554056-0.00204241j -0.000316092+0.00525289j -0.00119305-0.00228101j 0.00698455+0.00783929j -0.00212606-0.00123959j 0.000582769+0.00138786j 0.00103002-0.00124931j 0.00191854+0.00239355j -0.00274058+0.00527565j -0.000561082+0.00530392j -0.00237169+0.00357941j 0.000184956-0.00408389j 0.00440078-0.00383083j -0.001294-0.00478903j 0.00309224-0.00138597j 0.00282738-0.00387195j -0.000799619+0.00215863j 0.00591766-0.000934462j 0.00373418+0.00202283j 0.000797391+0.00109318j 0.00182678+0.00150223j 0.0035662-0.00385608j 0.00261446+0.00299599j 0.00796714+0.00011208j 0.00515124-0.00164041j 0.00104893+0.00174572j -0.00135512-0.0026172j -0.00275956+0.00142898j 0.00790739-0.00085994j -0.00511608+0.00577948j -0.0126154-0.00131062j 
0.0028427+0.002297j -0.00251462-0.00301745j -0.00103553-0.00131621j 0.000571153-0.00426213j -0.00280932-0.00395845j 0.00265025+0.00251508j -0.00216954+0.0130098j 0.00509488-0.00473831j 0.00624991+0.00194848j -0.00143009-0.00456617j -0.000769421-0.00315546j -0.00435583+0.0120321j 0.00272492+0.0053213j -0.00494425+0.00956441j 0.00340997-0.00690119j 0.00209201-0.000744397j -0.00202047-0.00754689j -0.00491805+0.0258619j -0.00247437+0.00743919j -0.00284532-0.0020432j 0.0078123-0.0150448j -0.00199914+0.000799433j -0.00640434+0.00159792j 0.000701298-0.00549459j 0.00258378+0.00753853j 0.000709776+0.00347086j -0.00151488-0.00269116j -0.00910894+0.00159008j 0.00565456-0.00307177j 0.00301478+0.00336457j 0.0158481-0.00945572j 0.00883691+0.000647818j -0.00754723-0.00275215j 0.00242421-0.00295369j 0.0141118+0.00272667j -0.00144611+4.60997e-05j -0.00205068+9.77611e-05j -0.00439096+0.0015725j 0.00321065-0.00421756j 0.00424768+0.00620557j 0.00713159-0.00237637j -0.00520692-0.00243211j -0.0114504+0.00175218j 0.0114585+0.00548193j 0.0114645-0.00349305j 0.00331822+0.00387458j 0.00349465-0.00256343j -0.00145541+0.00235153j -0.00126498-0.0056975j -0.00337367+0.00581361j -0.00357054-0.00180249j 0.00160773+0.00170771j -0.00715097-3.24964e-05j 0.00377612+0.00191715j 0.00503266-0.000958056j -0.000610573-0.00252538j -0.00125711-6.45332e-05j -0.00192105+0.0023696j -0.00381085-0.00113904j -0.000866304+0.00572768j 0.00185481+0.000718684j 0.00410312-0.00348031j -0.00589103-0.00350825j -0.0061642-0.000841107j -0.00316139-0.00183875j 0.00476543-0.00218577j -0.000183413+0.00160356j 0.00846557-0.0065146j -0.0028248+0.00241933j 0.00252465-8.54086e-05j 0.000179253-0.000893754j 0.000298852-0.000412005j 0.00478722+0.00353846j 0.00441637+0.00394507j 0.00115999+0.0022817j -0.00518782+0.000292336j -0.00491746-0.0032892j -0.0041717+0.0019747j -0.00221062-0.000851995j -0.00611509+0.00104185j 0.00675043-0.00182998j -0.00196797-0.00430562j -0.000230662-0.00455604j -2.06304e-05+0.000475309j 0.00167886-0.0015456j -0.00474268-0.00309802j 0.00374244-0.00248614j -0.000837529-0.00645018j -0.00455607-0.0055421j 0.00305455+0.00196446j -0.00159795+0.00161239j 0.00185507-0.00239305j -0.00377272-0.00590635j -0.00650341+0.00577203j -0.00247482-0.00082654j 
0.00190847-0.000338513j -0.000111567-0.00236831j 0.000964408-0.00279023j -0.00449365-0.00426596j -0.00550949+0.00303149j 0.00886397+0.00170418j -0.00367451+0.0011041j -0.00171127-0.000902754j 0.00182879-0.00189818j -0.00344239+0.00143982j -0.000185028-0.0175958j -0.00732463-0.0135753j -0.0016116-0.00871775j -0.00153821+0.00668652j 0.00335389+0.00466343j -0.000784133+0.0238435j -0.00971945+0.00676308j -0.00558329-0.000316524j 0.00738207-0.0129453j -0.00345568+0.00990897j 0.00833772-0.00594691j 0.00128451+0.0043191j -0.000228014+0.00341738j 0.00377807-0.0040896j -0.00116768+0.00342003j -0.00221267-0.00471938j 0.000487814+0.00348263j 0.00161787-0.00035885j -0.0071997-0.00123451j 0.000946604+0.00333651j 0.00145375+0.000623438j 0.00598288-0.0019861j -0.00210866-0.00182359j 0.00194917-0.000378049j 0.00151411-0.00212728j -0.00224701+0.00535075j 0.00628688-0.00555827j 0.00327935-0.00402005j -0.000304044+0.00328289j 0.00121481+0.00435362j -0.00227552-0.00115971j 0.00121655-0.000895458j 0.00956867+0.00095228j -0.00040311-0.00508556j -0.000147151-0.00494593j 0.000375574-0.00630922j 0.000390398-0.00119155j 0.00179425-0.00397281j 0.0013005+0.00121145j -0.000738352-7.1484e-05j -0.00305644-0.0038848j -0.00540101-0.000334917j -5.17287e-05-0.00212751j 0.00393861-0.00165853j -0.00239473-0.00205834j 5.82323e-05-0.00398242j 0.0017122-0.00144017j -0.00018267+0.00392601j 0.00115872+0.00440359j 0.00209191+0.00151832j -0.00263409+0.000487123j 0.00628366-0.00184483j -0.00368852-0.000620064j -0.0042643+0.00658819j -0.000329647+0.00229246j -0.00898626+2.33125e-05j -0.00798806-0.00447234j 0.00231337+0.00160789j -0.00132326-0.0060571j -0.00159297+0.00424692j 0.00256451+0.0011384j -0.00693861+0.00144154j 0.00636094-0.00356154j -0.00179187+0.00444281j -0.00580857+0.00248182j -0.00583817-0.00607995j -0.00637392+0.00651677j -0.0013189-0.00624726j 0.00643591+0.00768092j -0.00259114+0.00551229j -0.00333115-0.00264147j 0.00391624-0.000671899j -0.00641947+0.00199715j -0.000362705-0.00110288j -0.000580532-0.001566j 0.00270137+0.00556706j -0.00258651-0.00079908j 0.00208616+0.00818421j 0.00239361-0.00349851j -0.00447901-0.000318365j 0.000843048+0.00622317j 0.00214105-0.000563235j 0.0020138-0.00590768j -0.0016953+0.00355417j -0.00515483-0.000250626j 
0.00133209+0.00626453j 0.00483542+0.00357313j 0.000907471-0.00324803j -0.0065975-0.000234006j -0.000632229-0.00220837j -0.00233909-0.00574904j -0.00366915+0.00866156j 0.000237281-0.00324791j -0.00066547+0.0150981j -0.00797182-0.00870471j -0.00436286-0.00584137j 0.00370956+0.00127097j 0.00236762+0.00235093j 0.00734619+0.0125104j -0.00696206-0.00409013j 0.00387912-0.00402226j -0.00381601+0.0156048j -0.00369855+0.0081012j 0.00310894-0.0206054j 0.00449837+0.000115599j 9.57505e-05+0.0174039j 0.000945278-0.00224189j 0.0066913-0.00620609j -0.00460548+0.00268211j 0.00381114+0.00300833j 0.00734725+0.00254767j 0.00157639+0.00311526j -0.000970886+0.00151021j 0.000383179+0.00241254j -0.00144412+0.00357635j 0.00220644+0.00308065j 0.000444854-0.0034375j -2.50126e-05+0.00191963j -0.00319732-0.00632701j -0.00351789+0.0054676j 0.00205629-0.00142995j -0.00152018-0.00299151j 0.00148041-0.00166197j -0.00159281-0.000331623j -0.00164885-0.000142857j -0.000810538+0.0101257j -0.00393-0.00210968j 0.00250887-2.17112e-05j 5.47433e-05+0.00120814j 0.0047138+0.00696418j -0.000747509+0.00419464j -0.00165985+0.00342425j -0.00237624-0.00128089j -0.00225993-0.00240116j 0.00112539+0.00427872j -0.00115279-0.00228691j -0.00532903+0.00372528j 0.00100923-0.00812799j 0.00341584-0.000152234j 0.00206097+0.000671407j -0.00353274+0.0032196j 3.46213e-05+0.0041757j -0.00299532-0.00286262j -0.000188732-0.0034036j 0.00237142-0.00526826j 0.00296609+0.00543397j -0.000562524+0.000747629j 0.00885109-0.00289911j -0.000541613-0.000425309j 0.00104113-0.00392792j -0.00112352-0.00329169j -0.0033863-0.000971391j -0.00540131-0.00150253j 0.00490211-0.00248007j -0.00312082+0.00242502j 0.000688038+0.00405134j -0.000698986-0.000898873j 0.00240474+0.00234099j -0.0018588+0.00365473j 0.000721774+0.000186949j -0.00641845-0.00483868j 0.00331758+0.00555679j -0.00021726-0.000844269j -0.000446122-0.00220378j -0.00486538-0.00831869j 0.00105054+0.00335555j 0.00143474+0.00365804j -0.00561124+0.0011126j 0.00104585-0.00263135j -0.00222937-0.00725977j -0.00380629+0.00119032j 0.00320391+0.00106774j -0.00402673-0.0037309j -0.00645526-0.00439874j 0.000782985-0.00639979j -0.00742984-0.00244262j -0.00223379-0.00181195j -0.0078233+0.00273623j -0.00256355-0.00234993j 0.00982479-0.00439915j 
0.000490661+0.00371515j 0.00409575-0.00179548j 0.00231675-0.00524051j -0.00642488+0.000596042j 0.00562382+0.0059374j 0.00217078-0.00589758j 0.00170927-0.00644265j -0.000414029-0.0126326j -0.00379523-0.0100156j -0.00497907+0.00804612j -0.0059001+0.00193456j -0.000550883-0.00553786j 0.00494683-0.00457196j 0.00595088-0.00432888j -0.00511388+0.00257156j 0.000811727-0.00244034j 0.00381861-0.00108545j -0.00844864+0.00320161j -0.0103947-0.0116319j 0.0115239-0.00146013j 0.00122096-0.0144807j 0.0042625+0.0019161j -0.00168902-0.00293555j 0.00633463-0.00122056j 0.0059447-0.00140625j -0.00011072-0.00207249j 0.00283866+0.00263809j 0.00837534+0.00481476j 0.0023451+0.0109106j 0.00329587-0.000304081j 0.00212509-0.00298122j -0.000750665-0.0045472j -0.000158209+0.00779602j -0.00369498-0.00554622j 0.000864038+0.0114036j 0.00706765+0.00192427j -0.00559005-0.00551961j -0.000946446+0.00222886j -0.0149659-0.0041281j 0.00137785-0.0010834j -0.00251609+0.000825209j 0.000134287+0.00441315j 0.00191926+0.00263592j -0.00160816-0.00540694j -0.00798166+0.00193001j -0.00156523+0.0042075j -0.00425011+0.00325122j -0.00114231+0.00300293j -0.00447718-0.00547908j 0.00203928+0.00426595j -7.78641e-05+0.0012496j -0.000881848+0.0024549j 0.00244626+0.0045698j 0.00099272-0.00220359j 0.00279006-0.000205919j 0.000255033-0.000526226j -0.00145837+0.000633508j 0.00201335-0.00225065j -0.00309314+0.00526432j 0.00465996+0.00088238j -0.00570984-0.00182353j 0.00126638+0.00117578j 0.000700529+0.00331j -0.0018466+0.00403253j -0.00133979+0.000577203j -0.000750517-0.00745349j 0.00228892-0.00175607j 0.00110426+0.00474118j -0.00256834+0.00316924j -0.00130272+0.000759489j -0.00233915-0.00180464j 0.000249639-0.00647739j -0.000893838+0.00135047j -0.00126253+0.000201827j -0.00348106+0.00500359j 0.00133865-0.00105759j -0.000444673+0.00218678j 0.00504046-0.0019134j 0.00396593+0.000807737j 0.00259615-0.000968548j -0.0055172-0.00481781j -0.00766544+0.00134048j -0.00279803-0.000949654j 0.0013915+0.00110713j 0.00129955+0.00152229j -0.000416542-0.00434905j 0.00564511-0.00556466j 0.00157997-0.00417329j -0.00641329-0.00187711j 0.00752174-0.00255235j -0.00165271-0.00515599j -0.00771102-0.0156697j -0.00956189+0.00428991j -0.00304538-0.00153824j -0.00810666+0.00238513j 
0.00251358-0.000559514j 0.00229653-0.00034167j 0.00159371-0.00320382j -0.0106717-0.00219583j -0.00519326+0.0123159j 0.013622-0.00899828j -0.00724872+0.000780176j -0.00122199+0.00266423j 0.0033829+0.00517739j -0.0103145+0.00238165j 0.00169592+0.00630412j -0.00701532+0.00438907j 0.00236641+0.0107056j -0.00187524-0.00645169j -0.00183343-0.00800378j 0.0120134-0.0129199j -0.0097292-0.00639366j -0.00704555-0.00512102j 0.00514462+0.00274277j -0.000105573+0.0174432j 0.00711847+0.0061544j 0.00249983+0.00299811j -0.0014294-0.002778j 0.00298318-0.00320373j -0.00495278+0.00165948j -0.00185438-0.00506862j 0.00324714+0.00793767j -0.00119667+0.00236951j -0.00892957+0.00574713j 0.000498116+0.00124562j 0.0037881+0.00340632j -0.000366951-0.000209765j -0.00254676+0.00173137j 0.00114486-0.00132975j -0.00330362+0.00124079j -0.000456864+0.00018623j 0.0038848-0.0080556j 0.00101709-0.00315829j -0.000721091-0.00253633j -0.000210924-0.00190369j -0.00283421+0.00115569j -0.00359029-0.00557449j 0.00366013-0.00158251j 0.00273176-0.00118179j -0.00226797-0.00732941j 0.000231278+0.000695072j -0.00211593-0.00235313j -0.00176134+0.000653357j -0.0039171+0.00294972j 0.000934129-0.00585282j 0.000939688-0.00265745j -0.00113357+0.000378514j -0.000505544-0.0046084j 0.00381991-0.00388733j -0.000710372+0.00118302j 0.00260899-0.000841443j -0.00214536-0.00151499j -0.00383836+0.00260552j -0.00172956-0.00373294j 0.00144232+0.00488925j -0.00800318+0.00289585j -0.00332674+0.00250817j -0.00250673+0.00384162j 0.00129907-0.00344701j 0.000663106-0.000903068j -0.00342938+0.000122735j 0.00560915+0.000543359j -0.00454911+0.0014214j 0.00344294+0.0010519j 0.00234796-0.00414566j -0.00746613-0.000920339j -0.000573182+0.00656569j -0.00618833+0.00107323j -0.00417368+0.0042002j -0.00217786+0.00173547j 0.00297922+0.00203073j -0.00417172-0.00197443j -0.000129575+0.0024059j 0.000544304-0.00106115j 0.000956719-0.000375484j 0.00873517-0.00256788j 0.00068197+0.00396427j -0.00383852-0.0060403j 0.000144434+0.000910478j 0.00435084-0.00136407j -0.00171294+0.00102246j -0.00174704+0.00606146j 0.00186017+0.00132185j -0.000495752+0.00626305j -0.00602141-0.00123801j -0.00473253+0.00280834j 0.00831688-0.00920022j -0.000158827-0.00211605j -0.000308385+0.00311915j -0.0053014-0.00380249j 
0.00148534+0.00497083j 0.00156542-0.00482404j 0.00745111-0.00212126j -0.00503527-0.0107083j -0.0106494-0.00651939j 0.00639325+0.0171607j 0.00120882-0.0154625j 0.00243199-0.00534502j -0.00524342+0.000850029j -0.0031366-0.00440849j 0.00632708+0.00132275j 0.0046204-0.011041j 0.00774434+0.00393328j 0.00147267-0.00722858j -0.0019219+0.00321128j -0.0123695+0.000672885j 0.000110656-0.0146275j 0.00193666+0.00164346j 0.0028725+0.00503474j -0.000418782-0.000104535j 0.0089943+0.0166008j -0.0027062+0.00380689j -0.00757534-0.00561472j 0.00838533-0.003079j 0.00826308+0.0044522j 0.00282319+0.000529928j 0.00145655+0.00260483j -0.00189067-0.00803951j -0.000541362-0.00250895j -0.00141584+0.00711214j 0.0053052+0.0120157j 0.000257393+0.000533082j 0.00539604+0.00165743j 0.00176514+0.00207703j 0.00221912-0.00205678j -0.00073117+0.00254853j 0.00145223-0.00717782j 0.00218491-0.00641355j 0.00333588+0.00184618j 0.00248181-0.00539102j -0.00219703+0.00530616j -0.00164496+0.000849007j 0.00203922+0.00631913j -0.00202238-0.00326416j -0.00105024-0.00478647j -0.00176336-0.00177812j 0.00336674+0.00121944j -0.00113677+0.0015062j -0.00290239-0.00391078j 0.000621112-0.00154314j -0.00291689-0.000866035j -0.00103263-0.000848448j -0.00436451-0.00136907j -0.00175574+0.00117561j -0.000348355+0.000866321j -0.00203514+0.00361069j 0.002545-0.00108262j 0.000659169-0.00236194j 0.00868801+0.000709173j 0.00136567+0.00518756j 0.000811049+0.00195164j -0.0027686-0.00432153j 0.00442035+0.0011472j 0.00404243+0.00248157j 0.00216815-0.000961654j -0.00307378-0.00369854j -1.1516e-05+0.00210717j 0.00176638-0.00359883j -0.000450879+0.00369692j 0.00583685+0.00111432j 0.00150509-0.00496156j -0.00410977+0.00230759j -0.00420809-0.00265358j 0.00324062-0.000713006j 0.000761052+0.00258074j -6.51711e-05-0.000102876j 0.00309915+0.00295765j -0.00309225-0.00249661j 0.00342218-0.00117775j -0.000472396-0.00208714j -0.000174841+0.0066j -0.0052819+0.00115563j 0.00169755-0.00251685j -0.000141228-0.00039456j 0.00150023-0.0010861j -0.00159937-0.00156487j -0.00298048-0.00110177j -0.000292993-0.00439131j -0.00465129-0.00222472j 0.00253479-0.00331331j 5.07623e-05-0.00163731j -0.0040724+0.000961372j -0.00295876-0.000239196j -0.00752856+0.000412569j 0.00491484-0.00126926j 
-0.000113175+0.00119704j -0.00315928-0.00577084j 0.00110754-0.000693584j 0.00250767+0.00777949j 0.0047602+0.00323064j -0.0020475-0.00815234j 0.00256629-0.00358223j -0.00107984+0.00398693j 0.00131217+0.00302111j 0.00403065+0.0108121j -0.0152036+0.0045133j -0.00136458+0.00517984j -0.0044894-0.000898787j 0.0107307-0.00594168j 0.00156644+0.00329918j 0.0145559+0.00116433j 0.0145588+0.00390518j 0.00288006+0.0102712j -0.0113024-0.00128078j -0.00169581-0.00370579j 0.00676619+0.00582652j 0.00361628+0.00379367j -0.00185187+0.00282226j 0.000529308-0.00421955j 0.00736498+0.00799746j 0.00159526-0.000347767j -0.00138038-0.00393345j -0.00426515-0.00989074j -0.00151148-0.00810625j 0.00102884+0.00642237j 0.00176182+0.00459175j -0.00178839+0.00330199j 0.00315912+0.00165194j 0.0021101+0.013256j 0.00490883-0.0162863j 0.00174937+0.0118863j 0.000715603-0.00940231j 0.000360857-0.00976897j -0.00222645+0.00117643j 0.00333157-0.000196972j -0.00274386+0.00144382j 0.000508986+0.00308324j -0.00116157+0.00470876j 0.00313478-0.00385937j -0.000644251-0.000164557j 0.00532569-0.00581048j -0.000968258-0.00021499j 0.00325998-0.00176638j 0.00165594+0.0018797j -0.000587612-0.0016177j 0.00194497+0.00165746j 0.000211142-0.00323458j 0.00343093+0.00280674j 0.000421518+0.000963427j -0.000449657+0.00223178j 0.000797801+0.00117565j 0.000355368-0.00185397j -0.000562909+0.00141362j -0.0015346+0.000811605j 0.000384673+0.000671475j -0.00183702+0.00390854j 0.00195157+0.00347698j 0.00443934-0.00132053j -0.00289689-0.0029194j -0.00102788-0.000203585j -0.00248867-0.00154502j 0.00337059-0.00707196j -6.5405e-05-0.00122609j 0.00228263-0.000123187j -0.00307312-0.00463946j -0.00220252+0.00477437j 0.000944461-0.000315374j 0.00389569+0.00724618j -0.00275567-0.00134811j 0.00381955+0.000649708j 0.00470719-0.00833449j -0.00540711-0.00183414j 0.00357691-0.00260023j -0.00320891+0.000975504j 0.00101514-0.0019122j -0.0036151-0.00360626j 0.00273767+0.00377426j -0.00458961-0.00499766j 0.00251523-0.000281165j 0.00279334-0.00370241j -0.00384797+0.00241991j -0.00148047+0.00292992j -0.00280487-0.000503037j 0.00481232-0.000734173j 0.000946952-0.00301351j -0.00315075+5.528e-05j -0.00601585+0.00198416j 0.00410503-0.00193595j -0.00211483+0.00119044j 0.000590774+0.00253204j 
