-0.0350644+0.0645695j -0.0720326-0.0539523j -0.0500758-0.00198719j 0.0146844-0.00967233j 0.00547232-0.0767693j -0.0503584+0.0292319j -0.0412582-0.00227401j -0.0418184-0.0235786j 0.00182276-0.0534915j -0.0500694+0.0134332j -0.0083213-0.0814775j 0.0239221-0.0579225j -0.0189416-0.00773574j -0.0513097-0.0181794j -0.0170275+0.0270023j -0.0305748-0.00451858j 0.063858-0.0103785j -0.0568481+0.00508024j -0.0412196-0.0410921j -0.0643041+0.0382416j -0.0170224+0.151986j 0.137255+0.0389138j 
0.0462214-0.0512706j 0.0503518+0.0648283j 0.0407912-0.00371048j 0.00578866+0.0164588j 0.0117351+0.0497998j 0.0438672+0.00408885j 0.0216557+0.0116734j 0.0107843-0.00777876j -0.0293051+0.0050156j -0.041194-0.0511275j 0.013593+0.0199991j 0.0231789-0.0601318j 0.0478074-0.0116508j 0.00855891+0.0146078j 0.0681763-0.0199876j -0.0257316+0.0346919j -0.041532+0.0116221j -0.0335046-0.0767014j 0.0754681+0.0358867j -0.0119279+0.0633294j 0.0334189-0.0549322j -0.0468827+0.0217959j 
-0.00855273+0.0958987j -0.106026-0.0217946j -0.0668729-0.0620834j 0.0615747+0.0379407j 0.0531676-0.128039j -0.0830491+0.056795j -0.0774835+0.0278661j -0.0359453-0.122505j -0.00817539-0.0910029j -0.266914-0.172161j 0.0389495-0.173849j 0.200947-0.326004j 0.116743-0.0784507j -0.113591-0.0214509j 0.163805-0.02737j -0.205643+0.00798567j 0.173446+0.0682732j -0.277385-0.242127j 0.0856679-0.143181j -0.152875+0.213353j 0.101702+0.263919j 0.216863-0.099151j 
-0.227174+0.12413j -0.120978-0.26565j -0.1303-0.00450682j -3.5769e-05-0.00159536j 0.00728159-0.184846j -0.133461+0.0439907j -0.0868124-0.018979j -0.043431-0.0499077j 0.0874663-0.108883j 0.0559239+0.196629j 0.0347692-0.0783123j -0.107017+0.162448j -0.124321+0.0522213j -0.0125846+0.0104675j -0.303874+0.0555282j 0.0508809-0.00645974j 0.162414-0.0637092j 0.122039+0.217664j -0.281351-0.0552175j -0.0529625-0.242107j 0.00627157+0.322068j 0.250135-0.0211374j 
0.0222757-0.0555493j 0.0322492+0.00846148j 0.022401+0.0107794j -0.0285579-0.0100111j 0.0006104+0.0368922j 0.0275848+0.00991846j 0.00377747-0.0175683j -0.0234164+0.0265516j -0.0243659+0.0065892j 0.0321269+0.0563915j -0.00812514+0.0298186j -0.0773945+0.0566834j -0.0135399+0.0102312j 0.015342-0.0357839j -0.0433906+0.014224j 0.0439086+0.0131098j -0.0481478-0.00505652j 0.0787708+0.0452017j -0.00579563+0.0540202j -0.00513867-0.0498671j -0.0387753-0.0541683j -0.0300189+0.0162324j 
-0.00764448-0.00345067j 0.0211968+0.00968787j 0.039409+0.0230894j 0.0205788-0.00442683j -0.0555+0.0171562j -0.000816684-0.015463j 0.0111133-0.00757144j -0.0263913+0.0307105j -0.00979265+0.00349552j 0.0318945+0.0303465j -0.0178521+0.0107662j -0.022848+0.0317913j -0.0324742-0.0103566j 0.00334263-0.0131324j -0.029242-0.0056532j 0.0221354-0.00190606j -0.0373451-0.00287632j 0.0293049+0.0303529j 0.0135341+0.0480468j 0.0134684-0.026053j -0.0346789-0.0307327j -0.0143477+0.0338943j 
0.0581444+0.00379273j -0.000539634+0.0495868j -0.0151129+0.0152935j -0.0140788-0.0144561j -0.0115509+0.0286647j 0.0337039-0.0277894j 0.0215989+0.00650579j -0.0228163+0.0450468j -0.0228965+0.0106183j 0.0229952-0.00755578j -0.0297017+0.00396495j 0.00951908-0.0117943j -0.0115008-0.0200043j -0.00344998-0.0107052j 0.0429004-0.00289571j 0.00678424-0.00375512j -0.0457908+0.00461998j -0.0123219-0.0106205j 0.0511228+0.0330322j 0.0276307+0.0444055j -0.0471763-0.0501409j -0.0174013+0.0587641j 
-0.00987369+0.0408693j -0.0355422+0.00400956j 0.00329584+0.0187376j 0.0216522-0.0212046j -0.0391251-0.0171288j -0.0103673-0.0434082j -0.00141241+0.0105356j 0.00611885+0.0186584j 0.0156376+0.00698588j 0.0282791-0.00745969j -0.0157917-0.00422028j 0.0231641+0.00866938j -0.0323574+0.00122316j -0.00862258-0.00159744j 0.0305211+0.0189664j 0.0293133-0.0451235j -0.00576635-0.0279453j -0.0217647+0.0332484j -0.0255826-0.0389448j 0.0344187+0.0229831j -0.0367642-0.00464052j 0.0196177+0.0323981j 
0.0178942-0.0362172j 0.0334565+0.0121159j 0.0302025-0.0035968j -0.00755974+0.00252464j 0.00559577+0.0333214j 0.0303628-0.0145451j 0.00179337+0.0145986j 0.0323077-0.0150429j -0.00569851+0.0181511j 0.019112-0.000740331j 0.0100904+0.0287094j -0.0260086+0.0308094j 0.0226171+0.0323542j 0.0423118+0.050511j 0.00175102-0.00311247j 0.000494194+0.0125135j 0.0208141-0.00509605j 0.0652291-0.0155938j 0.0250006-0.00689094j 0.0465011-0.0467083j 0.0167044-0.0900937j -0.0571264-0.0255202j 
-0.000920718+0.0148045j -0.0139699-0.0240805j -0.0244175+0.0101188j -0.006578-0.00420538j 0.00440008-0.0134091j -0.0211829-0.019815j -0.0160729-0.0164586j 0.00489818+0.00518806j 0.00747108+0.00933579j 0.0152911+0.00801027j 0.00358019-0.0141979j -0.0167821+0.0108844j -0.0407654-0.0265518j 0.010762+0.0126j -0.00994354-0.00867353j 0.0103677+0.00896211j 0.0106162-0.0100633j -0.00654719+0.0108726j -0.00973424+0.032385j -0.0184124-0.0233146j -0.00503791+0.0377193j 0.0193919-0.00271175j 
-0.0177721-0.00631225j -0.0170714-0.0230328j -0.00190991+0.0053213j -0.00138106-0.0162795j 0.0109623-0.0178811j -0.00737167-0.00696885j 0.00952432+0.00398088j 0.00229884-0.00755817j 0.017086+0.00781925j 0.010394+0.0161395j -0.0121817+0.00194137j -0.0250887+0.0162179j -0.0408617+0.00521968j 0.0272783+0.026708j 0.015529+6.20761e-05j 0.0376653-0.0390405j 0.0354618-0.0257188j 0.031645+0.0333082j -0.0220119+0.0127542j -0.00993422-0.0162005j -0.00746314+0.0170623j 0.00988542+0.0112307j 
