0.0259328-0.0513206j 0.107686-0.0700099j -0.0581604-0.012265j -0.0948489-0.0148463j -0.0491569-0.034238j -0.045478+0.00695205j -0.0238895-0.0446049j 0.0213604+0.0369995j -0.0188565-0.0107841j -0.045506-0.0516375j -0.0331191+0.0142774j 0.00666965+4.46784e-05j -0.00873168-0.017871j -0.00319255+0.0289238j 0.0100057-0.0229302j -0.00978692+0.026077j 0.0102669+0.023966j 0.0182787+0.0199638j 0.0316945-0.0089895j -0.0762574-0.0126893j -0.0321781+0.0121359j -0.000988106+0.0382435j 0.0147503+0.0370609j 0.0551095-0.0742714j -0.0233208-0.0808853j -0.0534256-0.0173373j 0.011651+0.0016867j -0.0371301+0.0473859j -0.0651165+0.0523566j 0.0452833-0.0611673j -0.0374927+0.00791028j -0.00616078-0.00235523j -0.0389201-0.0133275j -0.0676945-0.0174757j 0.0152797+0.00421265j 0.0123056-0.00407929j -0.0410243-0.00242277j -0.0480078-0.0703847j 0.0116804+0.0108916j 0.00157657+0.0233694j -0.017691+0.00325352j 0.00856305-0.0110378j 0.00361801-0.0120831j 0.00383102+0.0390984j 0.00127149+0.0115651j 0.00658273-0.0207232j 0.00313603-0.033087j 0.0082452+0.0244962j 0.0118745+0.011534j 0.00233043+0.0501894j -0.0129108+0.0218932j -0.00957732+0.0438038j 0.00760621-0.0371182j -0.0247548-0.00124657j 0.0426991-0.0578446j -0.0333701+0.0721533j 0.0210357-0.00689309j -0.0325108-0.0280055j 0.0117771+0.00789293j -0.05823+0.00991332j 0.119721+0.00862923j 0.0621805-0.0774848j -0.0699009-0.0636048j 0.0318639+0.10927j -0.0930931-0.00661801j -0.0545807+0.109919j 0.00481552+0.10542j 0.0323165-0.00835541j 0.0467412-0.00878641j 0.0494442-0.14191j -0.0404261+0.00936874j 0.114796-0.139294j 
-0.109119+0.0743462j 0.0224675-0.0527421j -0.0850353-0.00566827j 0.0743042+0.0072928j -0.00713532-0.0114582j -0.0160492-0.0217841j 0.0538535+0.0211696j 0.00932867+0.0618696j -0.0246859-0.0282368j 0.0213118-0.0240338j -0.0237085-0.0286559j 0.00891993+0.00526124j -0.000784511+0.00521875j -0.00154525+0.0016223j -0.0361712+0.00819009j -0.00414463-0.0133169j -0.0309205+0.0110427j -0.0213066+0.0645155j 0.0321899+0.0258818j -0.00353356-0.0585086j -0.0114535-0.0475549j -0.0352416-0.0375807j -0.00921257-0.0201092j 0.0704514+0.0693081j 0.0651307-0.0545263j 0.0405799-0.0404211j -0.0169509+0.0356413j -0.0225783-0.0298155j 0.0351311-0.0599197j 0.0682038-0.0435526j -0.00971291-0.00326473j 0.0368106-0.00454479j 0.0580825+0.0117607j -0.0405443-0.0220787j -0.0206221-0.029165j -0.0306604-0.00100386j -0.047218-0.0495188j 0.0142543-0.00110218j 0.0165691-0.0197339j -0.024218-0.0482995j -0.00905562+0.00108027j 0.0211949+0.0563289j 0.00411571+0.015906j -0.00781908+0.0282365j -0.0157197+0.0279606j 0.0130732-0.0139918j 0.0178747+0.0690124j -0.0136583-0.0234561j -0.000218935+0.024105j -0.0280334+0.0223078j 0.00424076-0.00543455j 0.00578596-0.0303329j -0.00195982+0.00986682j -0.00438302-0.00341489j 0.0149921-0.00190074j -0.0361288+0.017341j -0.0325652+0.00747678j 0.0493665-0.0158289j -0.0345085+0.0514827j 0.0236165-0.050163j -0.0375343+0.0621329j 0.147866+0.0620045j 0.0399995-0.10457j -0.0477961-0.000706217j -0.0368733-0.0644787j -0.0650809-0.112688j -0.0773639+0.0926908j -0.0745945+0.0252771j -0.0248542+0.129038j 0.0697937+0.0190123j 0.106145-0.135618j 0.0455888-8.32254e-05j 
-0.0157549+0.0969122j -0.00569213-0.121052j 0.0047719+0.0425967j 0.021297-0.0973491j 0.124707-0.0497048j -0.109054-0.0520704j 0.0215054-0.0475622j -0.169326-0.0646072j 0.10185-0.0376249j 0.0458289+0.0184573j 0.0478713-0.0826785j -0.0452603+0.0472536j 0.0056265-0.00572056j -0.00159561+0.0592634j -0.0628803-0.105309j 0.028773-0.0127092j -0.0200228-0.0271203j 0.0746273-0.0310655j -0.117405+0.0295979j 0.04172+0.0170476j -0.0767366-0.111603j -0.011118+0.0259836j 0.152551+0.054858j 0.111536-0.121638j -0.0209853+0.0401359j -0.182344+0.0635749j 0.0273818+0.13548j 0.166046-0.137799j -0.0134425-0.0981035j -0.186927-0.106145j 0.0234344-0.12996j -0.24621-0.146102j -0.0123064+0.0386345j -0.0679323-0.0904203j 0.042211-0.0194482j 0.0081569-0.0187819j -0.0563434-0.0512158j 0.0168397+0.00702524j 0.0329603+0.0564763j -0.0127666-0.0337488j -0.0756161-0.0451649j -0.00796647+0.018733j -0.0445151-0.00688297j 0.0339446-0.0422447j -0.0486018-0.0354053j 0.0241424+0.0414421j -0.0209654+0.0439375j -0.000690263-0.0576063j -0.000203743+0.0192612j -0.0500305-0.00326942j 0.00201238-0.000517353j 0.0424877-0.0210951j 0.0533651+0.0393018j 0.00558452-0.0252976j -0.0253905+0.0328317j 0.0324745+0.0131725j 0.00451556-0.020077j 0.0352899+0.0178036j 0.0739896-0.0291095j -0.0375907+0.0596644j 0.00927252-0.0162579j -0.0398374-0.0327716j -0.0827687-0.0712592j -0.083179-0.00341022j -0.0349532-0.0470138j -0.00108583+0.00823002j 0.00768112+8.22812e-05j 0.104475-0.113341j 0.00539375+0.00518909j -0.112197+0.0461565j -0.20468-0.209313j -0.153862+0.111015j 
0.0162983+0.094164j 0.0272739+0.126441j -0.0679577-0.0776382j -0.0161587+0.0873191j -0.11227+0.0681444j 0.0339-0.00335528j 0.0409453+0.0140219j 0.0132928+0.0329488j -0.000164592-0.00677798j 0.0564549+0.0340723j 0.0303378-0.0199805j 0.0144772+0.0104934j 0.0714316+0.0375339j 0.0290543+0.0495909j -0.0406808-0.140176j 0.0349341-0.00532103j 0.0185893-0.0160844j -0.0190554-0.0489057j -0.041252-0.153868j -0.0599639+0.032465j 0.112346-0.0563688j 0.211841-0.0196476j -0.0244761+0.136093j 0.226387+0.0551617j 0.124238-0.0225729j -0.196072-0.0591353j -0.0755412-0.194486j -0.0159726+0.100828j -0.109499-0.195318j -0.0409357-0.0039461j -0.291166-0.206079j -0.0299585+0.149617j 0.118237+0.0543608j 0.0291054+0.09206j -0.00294734+0.00683483j -0.0892739-0.0102943j 0.0429744+0.0443895j 0.00574857+0.00966994j 0.0187996-0.016384j 0.0278505+0.0236451j 0.0264316+0.0114074j 0.010461-0.0321816j 0.0164611-0.000718389j -0.0164187-0.0212391j -0.00531069+0.00789907j 0.00848261-0.00963763j -0.0147243+0.0205952j 0.00778736-0.032291j -0.0191601-0.00775574j -0.034591-0.0605911j -0.0377462-0.019033j -0.0479731-0.00373368j 0.0179972+0.025525j 0.0670864+0.00837512j -0.0551339-0.0089818j -0.0205877+0.0173925j 0.0254682-0.0808648j 0.0187942+0.082263j 0.0525224+0.0586296j -0.0610577+0.0196755j -0.0151818+0.0114736j 0.0308658-0.0218325j 0.0722729-0.0568638j 0.0830126-0.0379678j -0.0217234+0.0345704j -0.0416468+0.00512307j -0.0611689+0.00754977j 0.0748014+0.0216248j -0.00254756+0.0188793j -0.0726204-0.111175j -0.120115+0.107008j 0.200309+0.179802j 
0.0777423+0.0168834j 0.0528881-0.00841223j -0.0778311-0.0493673j -0.120455+0.136602j -0.117617+0.121464j 0.0394275+0.0325731j 0.017944-0.0567911j 0.00745391-0.0285961j -0.00987134+0.104858j 0.110838+0.0286388j 0.0352165+0.0366317j 0.0352063-0.145335j 0.00836475-0.0223396j -0.0523507-0.0193904j 0.0711286-0.022997j -0.153247-0.0239203j -0.147467+0.0691757j 0.104812+0.0104556j 0.0284706+0.0109575j -0.00919378-0.0935212j -0.11958+0.0515729j -0.00498225-0.173436j -0.0582732+0.214956j -0.0713635-0.326592j 0.0202637+0.154607j -0.0326818+0.0460191j 0.166265-0.121168j -0.195761-0.149709j 0.0863549+0.305261j 0.198066-0.165126j -0.039785-0.0122876j -0.165065-0.157169j 0.112256-0.00207807j -0.0612132+0.0395315j -0.0122754+0.0275205j -0.0759937+0.00166475j -0.00281787-0.00161891j 0.0190727-0.0453367j -0.00897212+0.00393379j -0.00400635+0.0261153j 0.0225029-0.00598603j 0.0190785+0.00424711j 0.0292692-0.00752573j -0.017921+0.0450984j -0.0205217+0.0154948j 0.02319-0.00304445j 0.0265707+0.000276029j 0.0366412+0.00283724j -0.0066296+0.0082533j -0.00595416-0.0126113j -0.0146332-0.00437128j -0.00280085+0.00325304j 0.00761493-0.0384248j 0.0173436-0.0416001j 0.0211673+0.0191257j -0.0629346+0.02484j -0.00701491-0.0283747j 0.0615347-0.0541452j 0.00410113+0.0192144j -0.0441211+0.0137348j 0.00145926-0.0296118j -0.0322354+0.0363692j -0.00583633-0.00784531j -0.022692+0.00542144j -0.0194085-0.0184082j 0.0259714-0.0206781j 0.0192126-0.0204232j -0.0151627-0.00119909j -0.0804581-0.126063j 0.122886-0.0642322j -0.0273586+0.00854305j 0.0527833-0.00383025j 
-0.0415598+0.0129063j 0.0168605-0.0748597j -0.0677599+0.0664333j 0.0173485-0.0553845j -0.0326766-0.050543j 0.0472722-0.0469541j -0.0566027+0.0350057j 0.115193+0.0388837j -0.0414295-0.0589399j -0.0485013-0.0817996j 0.0151961-0.00661902j 0.0184148-0.0596915j -0.0595927-0.0893453j -0.0419976-0.0226757j 0.182385-0.00963858j 0.0226044-0.0608172j -0.00238189-0.233632j -0.180353+0.01731j 0.298241+0.00309742j 0.122641-0.0652193j -0.0804376-0.0632798j 0.134955+0.224744j -0.100966+0.0753339j 0.0933424-0.177054j -0.0113207-0.224898j -0.0956029+0.0793266j 0.0354899+0.069509j -0.180896+0.0536382j 0.0910431-0.1145j 0.0750293-0.134005j -0.0371616+0.014433j 0.0755458-0.0398483j 0.0601879-0.0137184j 0.0463036-0.0582279j -0.0480595-0.0244151j 0.0243172+0.0114331j 0.0282073-0.0299781j 0.0391389+0.0305462j -0.0313739-0.00372229j 0.00591465-0.0260457j 0.0155012+0.0118449j -0.00756213+0.00052042j 0.0056529-0.0212451j -0.0500498+0.018436j -0.0447741-0.00262456j 0.0218733+0.00750267j -0.0148443+0.00168601j 0.00120772+0.0234687j -0.0227012+0.0349266j 0.0363986+0.013097j 0.0408433+0.0245758j -0.0127039-0.0299734j 0.00243834+0.00464534j 0.0238247-0.00928557j -0.0010571+0.0120937j -0.0122978+0.0243967j 0.0146156+0.0111538j -0.00290235+0.0222623j -0.0363148-0.0205982j 0.0598124-0.0483639j 0.0188542+0.00428178j -0.0255146-0.00429551j 0.0171029-0.025394j 0.0219309+0.0256855j -0.0141616+0.0178072j 0.0162753+0.0130015j 0.0131048+0.00866768j -0.0343265-0.0392773j -0.0431368+0.0349704j 0.00723101+0.00427377j 0.0687384-0.0249301j -0.0123018-0.0351994j 
-0.0291338-0.106049j -0.020655-0.0537247j 0.0396813+0.064212j -0.0280514-0.0345383j -0.0106873-0.0180254j 0.0719228-0.0612099j -0.00399071-0.0347573j 0.00164939-0.0707657j -0.0354735+0.0914195j 0.11206-0.0776276j -0.106669-0.0761305j 0.0439487+0.00535413j -0.0264384-0.0361102j -0.106584+0.0388866j 0.015797-0.0197848j 0.0516311+0.00153542j -0.12308+0.0892885j -0.0013715-0.131928j -0.113091-0.250341j -0.0312928-0.0100223j -0.0335845+0.27616j 0.20148+0.167927j -0.0942582-0.13703j 0.0537859+0.0870509j -0.180941+0.180815j 0.0169537+0.101049j 0.0826548+0.00292157j 0.172229+0.195572j -0.190591-0.0309789j -0.0140783+0.0283773j 0.00389961+0.10978j 0.0385963+0.129447j -0.013017-0.0760592j -0.049206-0.00894427j -0.0295041+0.00298486j 0.0301051+0.0175256j -0.0176926-0.00877703j 0.0087881-0.0528749j -0.0213834+0.0113854j -0.0224927+0.0172393j -0.00916424+0.0102343j -0.0146895+0.0113852j -0.000889294+0.0129617j -0.0269692+0.00447768j -0.0203856+0.0133337j 0.00102375-0.00888388j 0.00951587+0.0116785j 0.00528974-0.0270568j 0.0212082+0.0360849j 0.00147818-0.0214306j -0.0088239-0.0261363j -0.0279301+0.0324841j 0.0238555-0.0223622j 0.000729577-0.0298373j -0.0208306-0.0081285j 0.0294169+0.0213269j 0.0351197+0.0102258j 0.0104442-0.0363281j -0.0313553-0.0360095j -0.0332613-0.0143525j 0.0022451-0.0142074j 0.0370938-0.0102848j 0.0278925+0.0261718j 0.00210922+0.00680828j 0.0213455+0.0203318j -0.00827742+0.00892432j -0.0290346-0.0244219j -0.00332203+0.0165374j 0.0643791+0.057193j 0.00945096+0.0236447j 0.0162902+0.0141479j 0.0189274-0.0263484j 
0.000185979-0.0222695j -0.0191482-0.0632192j -0.0715343-0.0251029j 0.0307928-0.00469697j 0.062586-0.021425j -0.0375211+0.0318373j 0.0320797-0.0755702j -0.0126692+0.00382209j -0.0777672+0.026357j 0.000611738-0.0902211j -0.00299691+0.0999623j 0.00300116+0.196851j -0.118967-0.0925203j -0.00325087-0.0356613j -0.0454176-0.0948307j -0.16137+0.0436516j -0.0692577+0.237156j -0.0821816-0.105669j -0.0673468-0.0756401j -0.129105-0.0332935j -0.218343+0.0817266j -0.124449-0.101661j -0.0692574-0.0711306j 0.183127+0.0945877j 0.131585-0.0399848j 0.101385-0.128519j 0.0696597+0.0202111j -0.078973+0.00490153j -0.0559733-0.0880481j 0.0982814+0.0536902j 0.038908+0.0493136j 0.0491524+0.0423993j 0.0256804-0.00311992j 0.0508523+0.00166742j 0.0177016-0.00409324j -0.000345978+0.0226306j 0.019095-0.0280526j 0.0334197+0.0229402j -0.0296294+0.0150164j -0.0392245-0.0320871j -0.0045232-0.0285896j -0.0338513+0.023407j -0.0259371+0.00271248j -0.000417153-0.0189627j -0.024126-0.0225936j 0.0201116+0.0252071j -0.00466268+0.0219866j 0.00656958-0.00770179j -0.0100588-0.0532968j -0.00295642+0.013191j 0.00911843-0.0455989j -0.010467+0.0174004j -0.0188358-0.0414082j -0.00563043+0.00276485j 0.00202526-0.0194517j -0.00120316+0.00104846j -0.0269474+0.015187j 0.0245609-0.0472308j -0.0158967+0.00315712j 0.0160911+0.0153835j 0.0108655+0.0146592j 0.00135569+0.0144493j 0.00924284+0.00260848j -0.020487-0.0280864j 0.0249747+0.0201997j 0.0293614-0.00406862j 0.0134418-0.00910668j -0.0171235+0.0184593j 0.0213099-0.0326114j 0.0121199+0.0572666j 0.00790153-0.00147483j -0.0494222+0.00126884j 
0.0395734-0.0294143j -0.0212428+0.040462j 0.0261558-0.0868026j -0.0324137+0.023949j 0.0370768-0.0145298j -0.0131757+0.0955262j -0.0399683-0.0547927j -0.0327239-0.0189962j -0.0388598+0.0273908j -0.0714511-0.017387j 0.00613342+0.104862j -0.0726242+0.0597853j 0.00211318+0.101745j 0.125964-0.0474112j 0.0248262+0.0425855j -0.0750422+0.0946789j 0.19942+0.0328478j 0.0572918-0.26073j -0.0423003-0.0852993j 0.0117415+0.0509648j -0.11773-0.073792j -0.132569+0.0534272j 0.0570676-0.0140807j 0.0989145-0.0515014j -0.0886244-0.0724576j -0.178252-0.121147j -0.0173851+0.0255847j 0.0283041+0.0560653j -0.0896242+0.0528207j 0.0164191+0.0158024j 0.00686004-0.00154996j -0.046821+0.0207342j 0.0043917+0.00856976j -0.0509245+0.0473753j 0.0167008+0.00566361j -0.0210905+0.019997j -0.0456403-5.10803e-05j 0.0198977-0.0283118j 0.0224348+0.00538257j -0.0287798+0.0030762j 0.0121654-0.00238608j 0.00408302+0.0113537j -0.01257+0.0055719j 0.00332002+0.0110851j 0.0200339+0.0421802j 0.0307979-0.00775054j 0.0222554-0.0244819j -0.00677328-0.0115833j -0.0263984+0.0145711j -0.0228493+0.0230348j -0.00970815+0.0054639j -0.00869353+0.0290183j -0.0171412-0.00165977j -0.0211278+0.0265192j -0.00828714+0.000509845j -0.0122362-0.0157662j -0.0162652+0.0174716j -0.0447042+0.0122062j 0.0266766+0.0127911j 0.0225058+0.0136127j 0.0274972+0.0422029j 0.00150774+0.0288188j -0.0114306-0.028359j 0.0219149-0.00783601j 0.0244683-0.00844243j -0.0213155-0.0131524j -0.0223899+0.0105112j 0.000633745+0.0373698j -0.00675356+0.00594152j 0.0296207+0.0102267j 0.00603409+0.00985962j 0.025397+0.0162765j 
-0.00142903+0.0211421j -0.0373565-0.000814098j -0.0405146-0.0402412j 0.130353+0.0461378j 0.0833365+0.0749924j 0.0700371-0.0142601j 0.12906-0.0569159j 0.0891306-0.0540412j 0.0974144+0.119041j 0.123212-0.0492474j 0.0538984+0.0270737j -0.0516604-0.0264573j -0.13298+0.0200149j 0.0919678+0.0526589j 0.179916+8.71342e-05j -0.0862477-0.167174j -0.150098-0.0026258j -0.0591966-0.256433j 0.204069-0.146527j 0.213739+0.2099j -0.0474252-0.118888j -0.0757483-0.0138874j -0.0637913-0.0666041j 0.0842881+0.0281615j 0.0482553+0.195566j 0.0876346+0.0138337j 0.0640184+0.0393865j -0.137031-0.033754j -0.00080605-0.0200512j 0.0318194+0.174883j 0.108549-0.00567602j -0.0332324+0.0473855j -0.0651737-0.0104268j 0.056541+0.0520052j 0.0621134+0.0402981j 0.0323632-0.00830419j 0.036859+0.0198786j -0.0220495-0.0279402j -0.0256364+0.0126398j 0.0269959+0.037369j -0.0356556-0.0329589j -0.0190229+0.0194532j -0.0116048+0.00336043j 0.0279347+0.0170768j -0.0266594-0.0123046j 0.0378631+0.0296322j 0.00234827+0.000778812j 0.0292538-0.00116851j 0.0156057+0.0123963j 0.0392266-0.00453269j 0.0592337+0.0125547j -0.0171143+0.0023967j 0.0259715-0.0111706j -0.000732252-0.0120047j -0.00491+0.0170452j -0.0147577+0.000506911j -0.0145067+0.000184702j 0.00348983+0.000383117j -0.00966972-0.0125589j 0.00668798+0.0253059j 0.0205306+0.0205687j -0.0164141-0.00950945j 0.00594852-0.0012326j 0.010024-0.0190115j -0.0122866-0.0065195j -0.0250479+0.0243302j 0.0321838-0.0033899j 0.030185+0.0157076j 0.018382-0.0319002j 0.036059-0.0193905j -0.0446812-0.0129527j -0.0195344+0.0040402j 
-0.0569297+0.0124449j 0.0193456-0.0332666j 0.0160545+0.100951j 0.0172639-0.0420107j -0.0108313+0.00160187j -0.00303885-0.0110524j -0.0347781+0.0057418j -0.0277814+0.0293683j -0.00943451+0.0379478j -0.0389827-0.00969794j -0.0876137+0.062323j -0.0117046+0.0504543j 0.105068+0.0887516j 0.134063-0.0396008j 0.0809522-0.0938998j 0.102858+0.117255j -0.186785-0.103663j -0.205567+0.0952984j -0.0120141+0.171802j -0.226363-0.0582721j -0.123551+0.024333j -0.137195-0.124751j 0.0912377-0.0148462j 0.104178+0.0494719j 0.101126-0.0415321j 0.144957+0.0433389j 0.0113159+0.00701222j 0.0194207-0.0479785j 0.0510688-0.0439662j -0.0574377-0.0427329j -0.0122076-0.0163664j 0.0496116-0.0182076j -0.00844524-0.0132142j 0.0108911-0.0451201j -0.029987-0.0040577j 0.01573+0.000154907j 0.010593-0.0160895j -0.00967888+0.0134143j -0.010687+0.00352321j -0.00938175-0.00433245j 0.0160422+0.00119716j -0.0120344+0.00115907j -0.00751426+0.00989144j -0.0121706-0.0247091j 0.0141264-0.000494311j -0.00068494+0.00987621j -0.0126963+0.00918429j 0.0185727+0.00913347j 0.0166858+0.00741478j 0.0177867-0.0081142j -0.0181807-0.0021603j 0.0174651-0.0140241j 0.0114311-0.0159376j 0.00194948+0.0388088j -0.0251627+0.0126236j -0.0170911+0.00468294j 0.0240143+0.00946556j 0.0177157+0.00383288j 0.0193706+0.0133154j 0.0217495+0.0261794j -0.00850131-0.0107842j 0.0124578-0.00638239j 0.0018145+0.0111186j -0.0169194+0.00713585j -0.0233581+0.00836764j 0.0040632+0.00385719j 0.00678792+0.00734154j -0.0106011-0.0239943j 0.0159989+0.0115673j -0.0266972+0.000547565j 0.00137734-0.0174388j -0.0192305-0.011926j 
