-0.0065102+0.00266966j -0.00442218-0.00464237j 0.00376785+0.00348106j 0.00514089-0.00220254j -0.00147485-0.000870298j -0.000882639-0.00267384j 0.00540502-0.00128957j 0.00178197+0.00289699j 0.00152172-0.000116536j -0.00102907-0.000410058j -1.99065e-05+0.00159694j 0.00409929-0.000800485j -0.000782158-0.00304941j -0.00200053-0.00118597j 0.000868454-0.000877624j 0.000294322+0.000852181j 0.000121254+0.000593683j -4.70875e-06+0.00175156j 0.00192398-0.000784717j -0.000990601-6.99695e-05j -0.000857914-8.42665e-05j -0.00304475-0.000676534j 0.000485988-0.00197553j -0.00111817-0.000929607j 0.000418972+0.000330221j -0.00142979-0.00140679j 0.00231342-4.00015e-06j -0.000458732+0.00088461j -0.000911682+0.000590221j -0.00152661-2.3082e-05j -0.00270488-0.00106396j -0.000474625+0.000805408j -0.000501537-0.000478241j 0.00082712-0.000132681j 0.00132407-0.00218027j 0.00149483+0.000228696j -0.000147358+0.000341555j 0.00141977+0.00172459j 0.00115256+2.44145e-05j -0.000314495-0.000451417j -0.00030593+0.000159875j 0.00295324-0.000456742j 0.000100004-0.00177882j 0.00245922+7.73799e-06j -0.00255419+0.001992j -0.00295309-0.00223807j -0.00248127+0.00198741j 0.00182518+0.0014821j -0.00427138-0.000447952j 0.00228285-0.00511675j 0.00625875+0.0017784j -0.000511665+0.00290972j -0.00835678+0.00791519j -0.0104205-0.00558877j 0.0289382+0.0330109j 0.303655+0.00485671j 
-0.00441779-0.00464071j 0.00652302-0.00267295j -0.00486227+0.0022608j 0.00370159+0.00367225j 0.00109774-0.000961806j 0.00382487-0.000305895j 0.00244075+0.00382019j -0.00414873+0.000964088j 0.000232955+0.00100664j 0.000384221-0.000675754j -0.00224609-0.000240793j 0.00157236+0.00295831j 0.00436185-0.000291122j 0.00154371-0.00134294j 0.00137349+0.000644597j -0.00122092+0.000155142j -0.000770333+8.9261e-05j -0.00241295-0.000211685j 0.00124204+0.00140929j -3.84647e-05-0.000780124j 0.00022228-0.000496831j 0.000714789-0.00213789j 0.00275755+0.000452435j 0.00118783-0.000723285j -0.000538116+0.000262459j 0.00193252-0.000944039j 9.34646e-06+0.00165203j -0.00123639-0.000235989j -0.000901336-0.000698019j 2.87664e-05-0.0011491j 0.00149646-0.00183004j -0.00120516-0.000335218j 0.0005902-0.000310047j 0.000416022+0.000619582j 0.00302384+0.00101717j -0.000457364+0.00107041j -0.000584242+7.05542e-05j -0.00240354+0.000974861j 0.000207951+0.000949456j 0.000546727-0.000187466j -0.000117326-0.000331494j 0.000670971+0.00201956j 0.00245832+5.14968e-05j 0.000276069+0.00175286j -0.00254467-0.0020763j 0.00316453-0.00228519j -0.00259186-0.00140578j -0.00255316+0.00121158j 0.0003241-0.00302553j 0.00666998+0.00175581j -0.00258139+0.00504055j -0.00343805-0.000245041j -0.0104789-0.00548653j 0.00867101-0.00793855j -0.303461-0.0047921j 0.0288404+0.0330871j 
-0.00617681-0.00245528j 0.00368865-0.00382165j -0.00252919-0.00123698j -0.00221991+0.00120157j -0.00537715+0.000231809j 0.00224347-0.00302833j 5.02043e-05+0.00213743j -0.00150156-0.0030279j -0.00373713-0.0006862j -0.00237047-0.00178859j -0.00277982+0.00332773j 0.000558677+0.00161262j 0.0019403+0.0028877j -0.0016008+0.000754429j -0.000433686+3.36032e-05j -0.00115102-0.000561712j 0.00187946+0.000948767j -0.00175537+0.00053224j -1.19805e-05+0.00121423j 9.71319e-05-0.00103364j 0.00423699+0.00235665j 0.00022601-0.000176084j 0.000286716+0.00052651j 0.00201883+0.000292272j -0.00163085-0.00223581j 0.00207963-3.74077e-05j -0.000657871-0.00278344j 0.000104892-0.000315847j 0.000131517-0.0014511j -0.00160874+0.00207245j 0.00224406+0.000658041j 0.00144723-0.00164069j 0.000544107+0.000162502j 0.000561838+0.00268418j 0.00101005-0.000519332j -0.000948927-0.000886497j 0.00441767+0.000525892j -0.00191715-0.00122164j 0.000226156+0.00204857j -0.00140227-0.000866756j -0.0056988-0.000385404j -0.00231502+0.000628336j -0.00166938-0.00191726j -0.0019144+0.0048573j -0.0047753-0.0016954j 0.00102907+0.0021247j 0.00600607+0.00264697j -0.0044843-0.00495064j 0.0111651-0.007792j 0.0106058+0.00425667j 0.00416132-0.00182303j 0.00183698+0.00718282j -0.0225032-0.0213407j 0.280363+0.00951231j -0.0346827+0.0156464j -0.0862947-0.0082927j 
-0.00381794+0.00384j -0.00629957-0.00255327j -0.00180185+0.0011745j 0.00253996+0.00171589j 0.000857517+0.00367575j -0.00519881-0.00170573j 0.00401746+0.000375704j -0.00467447+0.000126315j -0.000405484+0.00233749j -0.00259782+0.00130924j 0.0055228+0.00228927j 0.00304237-9.19017e-05j 0.00445566-0.000327997j 0.000978437+0.00146202j -1.95407e-05+0.000468579j -0.000749278+0.000469745j 0.00118585-0.00124919j 0.000746973+0.00114054j 0.00219926+0.00028874j -0.00182953-0.000108093j 0.00306582-0.00270563j -0.000826566+5.02374e-05j 0.00108374+0.000329981j 0.00018998-0.00125495j -0.00328643+0.000796835j -0.000568697-0.00114859j -0.00377382+0.000143759j -0.000423431-0.000629881j -0.00228305-0.000378665j 0.00308443+0.00145747j 0.000313432-0.00148445j -0.0026568-0.00126661j 8.09962e-05-0.000409177j 0.00365114-0.000406982j -0.000286525-0.000481184j -0.000152612+0.000962256j 0.00149652-0.00293615j -0.00126057+0.000786564j 0.00317973-0.000449846j -0.00139659+0.000984211j -0.000820255+0.00286491j 0.00108591+0.00202051j -0.00315371+0.000248974j 0.00711092+0.00192838j -0.00308406+0.00354747j 0.00338423+0.000330516j 0.00296021-0.00435667j -0.007155+0.00276859j -0.0122686-0.00671779j 0.00811306-0.00631729j 0.00104451-0.00253669j 0.0138876-0.00570969j -0.272239-0.00697738j -0.0184019-0.024248j -0.0859628-0.00779121j 0.0349053-0.0152423j 
0.00429507+0.000660647j -0.000591801+0.00298671j -0.00440726-0.000665058j 8.20148e-05+0.00299716j 0.00358455+0.00467767j -0.00727277+0.000329954j 0.000235917-0.00119365j -0.0034737-0.00156638j -0.00267533-0.000431613j 0.00109838+0.000182732j 0.00483477+0.000480918j 0.000665987-0.000948517j 0.00182816+0.000339532j 0.00087817+0.00152633j -0.00459221-0.000970036j 0.000124807-0.00017881j 0.00271854-0.0013836j 0.000565387-0.00072791j -0.000976197-0.00244038j -0.00255605-0.00285018j 0.00352173+0.000507223j 0.00173426+0.000405824j -0.00195936-0.000398607j -0.000343873-0.000813091j -0.000932673+0.000684861j -0.000148174+0.000716691j -0.00389367-0.00123574j 0.000527545+0.00114481j -0.00265798-0.00122064j 0.00375373+0.00198254j -0.00275335+0.000641548j -0.000308543-0.00115426j 0.00137213+0.000413808j -0.00201529-0.00182149j -3.61497e-05-0.000298922j 0.00433061+0.00308918j 0.00509468+0.0016514j 0.00241887-0.000450057j -0.00229734+0.000648175j -0.00389133+0.00349454j 0.000681459+0.00038642j 0.000910998-0.0024723j -0.00902114-0.00166511j 0.00516308+0.000127321j 0.00727562-0.00212559j 0.00877782+0.00564589j -0.00123337+0.00332876j -0.00462833+0.00495365j -0.0163277+0.00280169j -0.0339129+0.00132973j -0.00153314-0.0149965j 0.274676+0.0131588j -0.0181263+0.0144617j 0.0792586+0.0133788j 0.0148416+0.000945007j 0.0106148-0.0139132j 
0.00183001+0.00390089j -0.00560902+0.000552432j 0.00284046-0.00246469j -0.00518328-0.00227271j -0.00788298+0.0005734j -0.000425654-0.00455767j 0.00274616-0.000222247j 0.00300806-0.00114504j 0.000835142-0.0023776j 0.00186873+0.00128773j 0.000642152+0.00207091j 0.00209175+1.18101e-05j -4.93829e-05+0.000111865j -0.00343929+0.000321907j 4.69902e-06-0.00286186j 0.00249944+0.000284926j 0.00304794+0.00253628j 0.00114249+0.00024595j 0.00475439-0.000183684j 0.00359343+6.61021e-05j 0.000564964+0.00134133j -0.000528729+0.00115543j 0.000906734-0.00211845j 0.00202169+3.94676e-05j -0.00305005+0.000544614j -0.00312833-0.000531361j 0.000591225-0.00118325j -0.00101645+0.00126654j 0.00292914-0.00142167j -0.00218905+0.000850895j -0.000563285-0.00286358j 0.00170327+0.0012244j -0.00237829+0.00188809j 0.00204246-0.00216369j 0.000199117-7.70105e-05j -0.00200892+0.00197414j -0.000631457+0.00283789j 0.00172808+0.0024728j -0.001038-0.00426233j -0.00662655-0.00248279j -0.00464893+0.0014774j 0.00322312+0.00191729j 0.000634438-0.00475636j 0.00350159-0.000429661j 0.00556566+0.00456346j -0.0135391+0.00250801j 0.00128811-0.00152407j -0.012853+0.00262541j -0.00575206-0.00269399j 0.00344749-0.0101784j 0.256017+0.00826395j -0.00803179+0.022098j 0.0204725+0.00558927j -0.00351129-0.00154494j -0.00809721+0.0171794j 0.0177205+0.000390327j 
-0.00467755+0.00275219j -0.0052693-0.00323106j -0.000174367+0.00361166j 0.00621869+0.000920803j 0.00180285-0.000445743j 0.00206742+0.000570502j 0.00154715+0.00164174j -0.00108609+0.000588218j 0.0052394+0.000750336j -0.00232822+0.00213249j 0.00141381+0.00238359j 0.00221374+0.00138658j 0.00401428+0.00163269j -0.000609623-0.00114965j 0.00252021-0.000891506j -0.00136313+0.00307173j -0.00339776-0.000148988j 0.000570137+0.000193035j 0.00214664+0.00192366j -0.00171888-0.00118833j -0.000882016+0.00163362j -0.00118454+0.000416404j 0.00526585+0.00184704j -0.000215091+0.00170791j -0.00297852-0.00293365j 1.98564e-05-0.00190922j -0.00171659-0.00157813j -0.00349839-0.00205058j -0.00130361+0.00129645j 0.00306586+0.00204647j 0.00251985-0.000271064j -0.00417276-0.00177352j -0.00238931-0.00230547j 0.00442459+0.000654355j -0.000731967-0.000272026j -0.000382793+0.00345135j 0.0001174+0.00188655j -0.00569594+0.00043735j 0.0078989-0.000695236j 0.00372994-0.00365691j -0.00622462-0.00394737j -0.000325532-0.000188543j -0.00243784-0.00230466j 0.00966871+0.00618508j -0.0129058+0.00300595j 0.00316115-9.336e-05j 0.00687084+0.000698441j -0.00772466+0.000542834j -0.0173109-0.00405698j 0.248252+0.011902j -0.0151136+0.0152387j 0.0454429+0.00709689j -0.0402914+0.017095j 0.0971021+0.00908815j -0.0117832+0.00132465j -0.00157571+0.0100758j 
-0.0051145-0.00170857j 0.00276817-0.00301212j -0.00551943-0.00265001j -0.00599529+0.00257374j -0.00521597+0.000596266j -5.59416e-05-0.00112395j -0.00178107+0.000451985j 0.000804784-0.000439006j -0.000376224+0.00268367j -0.00414188-0.000861184j -0.00574672+0.000679828j -0.00226556+0.000898985j -0.00264479+0.00178898j 0.000255458-0.000114301j 0.00285075+0.000674638j -0.00573678-0.00208789j 0.00194166-0.000433336j -1.91188e-05+0.00131379j -0.00052557+0.000877025j 0.00641817+0.000632017j -0.00232036-0.00103595j -0.000725836+0.000687198j -0.00179636+0.00260059j -0.000315847-0.000789431j 0.00271436-0.00143685j 0.00225908+0.000584143j 0.00261233-0.000921826j 0.00427198-0.00234436j 0.000353127-0.000910381j -0.00521228+0.00132942j 0.00248893+0.000476657j 0.00355483-0.000319897j 0.00375543-0.00153291j 0.0018638+0.00156085j 0.00105933-0.00142339j -0.010871-0.000671494j -0.00638845+0.000791759j -0.00162601-0.00318742j -0.00137522+0.00288995j 0.0020048+0.000502792j 0.00431886-0.00537453j 0.00189297+0.000268578j 0.00953445-0.00549992j -0.0182212+0.00569989j -0.00829023-0.00372081j -0.0134538+0.00527503j 0.00208571+0.00313508j -0.020381+0.00138359j 0.222817+0.00672987j -3.71148e-05+0.0155293j -0.0131232-0.0018975j -0.00303851+0.0137962j 0.117102+0.00820251j 0.0478133-0.0162581j 0.0007748-0.00202425j -0.005179+0.00148599j 
0.000422299+0.000990344j -0.00136189+0.000119882j -0.00665082+0.000890952j 0.000287176+0.00452761j -0.00210969+0.00284313j -0.00190408-0.0011654j 0.00240871+0.00129977j -2.20915e-05+0.000348908j 0.00643982+0.000325277j 0.0039154+0.00339295j 0.000867189+0.00011225j 0.000161469+0.00173303j 0.0042255+0.00187614j 0.0031595+1.04334e-05j 0.00350554-0.00193694j -0.00339524+0.000204158j 0.00301694-0.000401595j 0.0028534+0.000197997j 0.00397756-0.000425935j 0.00760719-0.00172688j -0.00124796-7.06344e-05j 0.00203251+0.00148868j 0.00337319+0.00173649j 0.00108985-0.000123606j -0.00488247-0.000170195j -0.00247905-0.000193737j -0.00438425-0.0010563j 0.00439333+3.58093e-05j 0.00132535-0.00141204j 0.00228566+0.00296169j 0.00488925-0.000471707j 0.000635748-0.000588705j 0.00134124-0.00216187j 0.00401197-0.000936682j -0.00227226+0.00040509j -0.0107626+0.00342572j -0.00452538+0.00263243j -0.006802+0.00012154j -0.00101978+0.00186917j -0.00273632-0.000125293j -0.0122691+0.00424775j 0.00803156-0.000980714j -0.0134147+0.00172616j -0.00238429+0.00342312j 0.00700022+0.00201397j 0.00166004+0.00491948j 0.015935-0.00904017j -0.212288-0.00331036j 0.0105412-0.0173469j -0.020034-0.00483844j -0.000759906-0.0132885j -0.0979702-0.00925147j -0.026952+0.00195543j 0.0427528-0.0063763j 0.00197726-0.00174179j -0.00637791-0.00403321j 
0.00290481+0.00142915j -0.00195863+0.00167352j -0.00122134-0.0032457j -0.00571983+0.000277861j -0.00215467+0.000228277j 0.001591+0.00079445j -0.00484+0.00150946j -0.000408272-0.00215608j 0.00265373+0.0031947j -0.00731946+0.00304943j 0.00509287+0.00312386j -0.00210028-0.00118074j -0.0039991+0.00301238j -0.000862669+0.00363473j 0.00159782+0.00273415j 0.00294939+0.000807267j -0.00162581+0.00151431j 0.000743813+0.00063326j 0.000898313+0.00191955j -0.00198959+0.00339064j 0.00019982+0.000792145j -0.00240298+0.00163033j -0.00192065+0.00142443j -0.000787179+1.51117e-05j -0.00357468-0.00375146j -0.00423003-0.00151131j -0.00386713-0.00259049j 0.00388555+0.00323839j 0.00216987+0.00171147j 9.24289e-05+0.00234689j 0.00261524+0.00366517j -0.00446079-0.00127148j -0.00026978+0.00220909j 0.00668227+0.000474774j -0.00581867-0.00178954j -0.00508535-0.00291162j -0.0113853+0.00023909j 0.000815509-0.00336158j -0.000933349-0.00114764j -6.00324e-05-0.000521256j -0.000807434-0.00603619j -0.0074401+0.000326746j 0.00532847-0.00472353j 0.0186387-0.00147626j 0.0108124+0.00611213j -0.0618669+0.00475039j 0.212546+0.0102089j 0.02332-0.0167063j 0.00984437+0.00343553j 0.00745852-0.00799009j -0.0325153-0.00234604j 0.0146258-0.0034043j 0.0164779-0.0045226j 0.0155551-0.00246585j 0.0106652+0.00517263j 0.00494166-0.00545192j 
0.0012626-0.00345879j 0.00534033+0.00124476j -0.00236798+0.00100876j 0.00344461+0.00243917j 0.00467765+0.000870501j 0.00346739+0.000886863j 0.000222002+0.00391574j -0.00711515-0.00189401j 0.000315981-0.00174072j 0.00583825+0.00303757j 0.00898271-0.00183345j -0.00377211+7.95698e-06j 0.00619457+0.00200592j 0.00628967+0.0010422j 0.00235536+0.000322275j 0.00557801-0.000465956j 0.000116756+0.00127882j 8.4967e-05-0.000944453j -0.00256018-0.000344147j -0.000655595+0.00169066j 0.00719488+0.00150546j 0.00394681+0.000216907j 0.000971317+2.6799e-05j 6.56123e-05+0.000851322j -0.0082009+0.00180977j 0.000642672+0.00343903j -0.00748889+0.00179443j 0.000571026-0.00143955j 0.00313113-0.000844196j 0.00559395+0.000387631j 0.00743254+0.00115761j -0.00547187+0.00157383j 0.00346447-0.000351046j -0.00564599-0.000839897j 0.000421791+0.00247043j 0.00679176-0.000230901j 0.00126397+0.00573536j -0.00387232-0.00132464j -0.0101728+0.00136908j 0.0048617-0.00123255j -0.0162534+0.00109423j -0.0109216+0.00118833j -0.00964244+0.00144157j 0.00695721-0.00545031j 0.113856-0.00132422j 0.167186+0.0130046j 0.0568264-0.011237j -0.0354451-0.00376787j 0.00227892+0.0117557j 0.0236762+0.00388278j -0.0149802+0.00667003j 0.0582062+0.00634818j -0.00163308+0.00248926j 0.000323341+0.00618304j 0.00498543-0.00608721j -0.00947399-0.00409225j 
