-0.0171659+0.0329265j 0.0206163+0.019768j -0.0109168+0.0621858j 0.0451553-0.000352186j -0.00853622-0.0113939j 0.00225627+0.0110357j 0.00759817+0.0350085j -0.0261245+0.0228959j -0.0408791-0.0551223j -0.031451-0.00635657j 0.00770433+0.0139733j -0.0119946-0.0190455j 0.0119056+0.00432113j 0.0244065-0.000885325j 0.0131691+0.0140796j -0.00759071+0.013245j -0.0197372+0.00334652j -0.00932794-0.00856145j 0.017955-0.00423063j -0.0153432-0.0138189j -0.0267035-0.011343j -0.00658247+0.00191863j -0.00114661-0.00894238j -0.00396622-0.01186j 0.000271591-0.0115915j -0.0133773+0.0136806j 0.00721532+0.00161542j -0.00889625+0.00162347j 0.00058019-0.000765453j -0.00512958+0.0090241j 0.00328339-0.0160503j -0.0114259+0.0227863j 0.0293567-0.0030304j -0.0181654-8.12765e-06j -0.0163848-0.0157724j 0.00640366-0.01411j -0.0048356-0.0177133j -0.0239945+0.01163j 0.000430086+4.96408e-05j -0.00363712-0.0126758j -0.0188204-0.0174078j 0.0152726+0.0109093j 0.000873365+0.000513713j -0.00702726-0.0291886j -0.0108132-0.00107268j -0.0277466-0.00947255j -0.0100843+0.00612672j 0.00109043+0.0115749j 0.0237734+0.0167476j 0.0222266-0.0197113j -0.00811415+0.00699437j -0.00724662-0.0112419j 0.0302669-0.012536j 0.00764932-0.0257176j -0.00210337-0.0136481j 0.0141525-0.0312664j -0.000410777-1.94062e-05j -0.00156146-0.00382172j -0.00154605+0.0153083j 0.00512938-0.0345301j -0.00442335-0.0116727j -0.0168124+0.00342768j 0.0220863+0.0173323j -0.00633456-0.0032809j -0.0256842-2.76442e-05j -0.00720791-0.00527761j 0.0104762+0.000826014j 0.0125592-0.00505284j -0.00316206+0.00530771j -0.0123906-0.0116883j 0.0195026-0.0110142j 0.00934463+0.00727066j 0.00958375+0.0111191j -0.00768847+0.0194622j 0.0207088+0.0188107j -0.00762449+0.0145129j 0.0012615+0.0350405j -0.00465016-0.0102637j 0.0192095+0.00233906j 2.03982e-06-0.0217922j -0.0210785+0.00321395j 0.0107127-0.00505614j -0.0186664-0.0018833j 0.0143891-0.00750916j 0.00668173-0.0198796j -0.0115314+0.0276173j -0.0355506+0.0304275j 0.00383102+0.00998061j -0.0629942-0.0679858j -0.00106252-0.0092204j 0.0024981-0.000200508j -0.0465767-0.0122731j 0.0302404+0.0799828j -0.0359076+0.00387587j -0.00344718-0.0370984j 
-0.00799826-0.0225135j -0.0135447+0.0156561j 0.0133259-0.0138199j -0.0166251+0.0112386j -0.0258978+0.00182443j -0.00436277+0.000665862j 0.0539156-0.0265106j -0.0124129+0.000288703j -0.00105166-0.00505765j -0.000624875-0.0104446j 0.00689188-0.00522493j -0.00788615+0.0108997j -0.0057802-0.0222484j 0.0114865-0.0119859j 0.0149254-0.0206077j 0.00717137-0.015396j -0.00485162+0.0157294j -0.014166+0.00543541j 0.00579242+0.010386j 0.00677309-0.00467098j -0.000903161+0.00670958j -0.0113354-0.00933018j -0.0111396+0.00830683j 0.000140764+0.00334046j -0.00603309+0.000496564j 0.00673671+0.00363801j 0.0117094-0.00471842j 0.00540532+0.00169196j 0.00132534+0.00407087j 0.00641592+0.00131123j 0.00933574+0.0119545j -0.00595895-0.00232622j 0.000393122+0.000919408j -0.00329779+0.010278j -0.000483819+0.00618373j 0.0178708+0.00883513j 0.00458458-0.0168811j -0.00156936-0.01123j 0.00347396+0.0195585j -0.00420423+0.00957631j 0.0093919+0.0034052j -0.00611195+0.0146115j -0.00683125-0.00253452j 0.0205512+0.00763502j 0.00805199+0.0109968j 0.00876425-0.00748358j -0.0223594+0.0206068j -0.00918606+0.0250858j -0.0108986-0.00870764j 0.0116462+0.0033794j -0.00217627-0.0223929j 0.0215828+0.00538076j 0.0237627+0.00116857j -0.00242137-0.0142244j 0.0122297-0.00208282j 0.014652-0.0149513j 0.00812405-0.00105782j -0.00849774+0.00265601j -0.00125813+0.0153118j -0.0226804-0.00569034j 0.00896775+0.00312484j -0.0234507+0.000179795j -0.0114432+0.0086942j -0.0148561-0.00537523j -0.0021425+0.0015355j -0.00918757+0.00882931j -0.0311925-0.00849642j -0.00752325-0.00622955j 0.0223225-0.00574837j 0.0265066-0.0248664j 0.029166+0.0165598j -0.00459965+0.0215483j 0.00913273-0.00659469j -0.00460626-0.00967992j 0.0026739+0.0265463j 0.0112024-0.0140804j 0.0308388-0.0133504j 0.0289262+0.018301j -0.00165974+0.00282974j 0.0025331+0.0214159j -0.0223872-0.0229636j -0.00614514-0.00100147j 0.0107414+0.0247863j 0.0131508-0.0192953j -0.00471529-0.0203091j 0.0288599-0.0110711j 0.0198641-0.0231678j -0.0298623+0.000701818j -0.0700374+0.0455569j 0.0018224-0.0051204j 0.00423256-0.00409155j -0.00342821-0.01509j 0.0220096-0.042009j 0.00883353-0.0208067j 0.0239753+0.00541989j 
-0.0140116-0.000821898j 0.00131384+0.0208219j 0.0123796+0.0133084j -0.00741815-0.00125396j -0.0108282-0.00836808j -0.00193209-0.0064245j 0.0379155+0.0053477j -0.011333+0.00252151j -0.0213303-0.00942832j 0.0169349-0.0272319j 0.00862077-0.0235859j -0.0205883-0.014312j -0.00141515-0.0066001j 0.0109929+0.0153366j 0.0158524-0.0100238j 0.00562752+0.0134319j -0.00493294+0.000493072j -0.00599132+0.0120747j -0.00934868+0.0103222j -0.0146622-0.00122182j -0.0150348+0.00522437j -0.00589303+0.00323733j -0.00269035-0.00222141j 0.0001115+0.0127411j 0.00215847-0.00113536j 0.00229383-0.0210217j -0.00630533-0.00117955j 0.0122095-0.00929999j 0.00067645+0.023015j -0.00728831-0.00345674j 0.0146233+0.0148988j -0.00354642-0.000690281j 0.00919433-0.0072828j -0.0104645+0.0183524j -0.000760471-0.00866989j 0.00398728+0.00864684j -0.00305475-0.00431432j -0.0124748-0.0193246j 0.015585+0.0254308j -0.0120628-0.00892517j -0.00848191-0.000609458j 0.00261632+0.00327573j -0.0103033-0.0170646j 0.0218499-0.0116662j 0.0222032-0.00206716j 0.00930537+0.00478654j -0.00589462+0.0214177j 0.00829229+0.000813949j 0.00774393-0.0131979j 0.0165946-0.0135869j -0.0106905-0.013034j 0.0133803+0.012058j 0.00232468-0.00798106j -0.0107361-0.00546351j 0.0286579-0.0199323j 0.00576507-0.00353884j -0.000344044+0.0107881j -0.000435252+0.00128513j 0.00512986-0.00181749j 0.0137496-0.00631189j 0.0137159+0.00836849j -0.0218184-0.0207339j -0.00671694-0.00226323j 0.0169603+0.0136648j 0.00798645+0.0067741j 0.00608858-0.0140674j -0.00675074-0.00323504j 0.00529427+0.00409159j 0.0243349-0.0209054j -0.00706349-0.00572322j 0.0100581-0.0204267j -0.00550672+0.0194515j -0.013123-0.0117598j -0.016524+0.0059852j 0.00502993+0.000981455j -0.00505487-0.0151802j -0.00387831+0.0281127j -0.00551885+0.00764872j 0.0075597+0.0376877j -0.0234887-0.0162135j -0.0119897+0.0211826j -0.00411685-0.00934852j 0.0143452+0.0568283j 0.0340826-0.0034951j 0.0163382+0.00794703j 0.0275328+0.0367492j -0.0125084-0.0245573j -0.0267755-0.0224137j -0.0309134+0.00635849j -0.00754755-0.0094448j -0.00342911+0.0174129j 0.011651-0.00372104j -0.0119389-0.0325763j -0.00164016+0.00902613j 0.012979-0.0112229j 
0.0126493-0.0378451j -0.0279996-0.00767483j 0.033977-0.0491772j -0.0423709+0.00565343j -0.0254723+0.0233775j 0.0106134+0.00616142j 0.0360518-0.033472j 0.00899729-0.00349413j 0.0289817+0.0330908j -0.0106666+0.00572803j -0.00908306+0.010232j 0.000591743+0.0261218j -0.00823553-0.0181569j -0.0183883-0.0213771j -0.0121266-0.0108987j 0.00628033-0.0245359j 0.0133262+0.0103516j -0.000815272+0.0106992j -0.000286116+0.00646973j 0.0217654+0.00201463j 0.0152976-0.00159996j 0.00602678-0.0136041j -0.000294413+0.016047j 0.0112066+0.00640853j -0.00693961+0.000992008j 0.0223666+0.00571492j 0.0206425-0.00524359j 0.00462831+0.0206244j 0.0098155+0.00412335j 0.0363923-0.00312014j 0.0127139+0.0268951j 0.0101389-0.0261024j -0.0261177+0.0119286j 0.0064605-0.00321516j 0.00997996+0.0139001j 0.00867952+0.0125445j 0.0137695+0.0131647j 0.000789107-0.0132098j 0.008789+0.0285397j 0.00390116+0.000983271j 0.0307163+0.013169j -0.021962+0.0107876j -0.0210534-0.00479485j 0.00594314+0.0334206j 0.00482003-0.00148612j 0.0296025+0.0135123j -0.0122107-0.00168993j -0.00776295+0.00975246j -0.0283816+0.00232195j -0.0114484+0.022271j 0.0173419-0.0195809j 0.0191267+0.0174129j 0.0113955+0.0151063j -0.0153535+0.0148588j 0.00646578-0.0146532j -0.000112334+0.0141063j 0.00468239+0.00122353j 0.012652-0.00508601j -0.00468776-0.0022537j -0.0356638+0.00210003j 0.00780008+0.0214626j 0.0163257+0.00819277j -0.0367277-0.0080897j -0.0102326+0.0198767j 0.0252933-0.0105403j 0.00608354+0.0151179j -0.0316476+0.00802387j -0.0235412-0.00340888j 0.0261923+0.0149003j 0.0166954-0.0259131j -0.00755303+0.0279185j -0.00120275+0.0107183j -0.0117423+0.0115937j 0.00035494-0.0324797j -0.00576163+0.00677019j -0.0109705-0.00499576j 0.0345717-0.0248524j 0.0198501+0.00477298j -0.0106346-0.00598753j -0.00861443+0.0238871j 9.63704e-05-0.0161979j 0.00974583-0.0123293j 0.0359888-0.0118149j -0.00387819+0.00692691j -0.0175084-0.00347149j 0.0238693-0.0196246j 0.031343-0.0214493j -0.00658741+0.00916382j 0.0111212+0.0397345j 0.0166268-0.00831807j -0.013492-0.011276j 0.0486254+0.00727531j -0.0204551-0.0345625j 0.0333229-0.0267519j 0.0130169+0.0159454j 
-0.011219-0.0153405j -0.00645366+0.0158404j 0.0179466-0.0242208j -0.0132167-0.00424314j -0.0155729-0.0107931j -0.0132857+0.00528686j 0.0334997-0.0192113j 0.00854003-0.0142149j -0.0237359-0.00237775j 0.0220356-0.0161861j -0.0127952-0.0178351j 0.0127364-0.0181525j 0.00300847-0.00409663j 0.00929566+0.0160851j 0.00464347-0.0161871j 0.0118178-0.00955423j -0.0110473-0.0158582j -0.0081878+0.00863977j -0.000937375-0.00525834j -0.0139479+0.00410857j -0.0157342-0.0111698j -0.014671+0.00136942j 0.0037777+0.0104706j -0.00120029+0.0225414j 0.00756683+0.018155j -0.00266182-0.00627739j 0.00474922-0.0106919j -0.00940121-0.0126598j -0.00582739-0.00548836j -0.0318208+0.000972243j 0.0101536-0.00588304j -0.00767171-2.99394e-05j -0.00174303-0.00469137j -0.0156531-0.0114275j 0.0252318+0.0251185j 0.0096823+0.00542509j 0.0161215-0.0087075j 0.00499157-0.014721j -0.00809448+0.00111083j -0.00577372+0.0006756j -0.012731-0.0122175j -0.00170386+0.011718j -0.00207782-0.018001j 0.0108504-0.028648j -0.0165434+0.00920258j -0.0139583+0.020799j 0.030616+0.0244054j -0.00817176+0.0143711j 0.00156641+0.0100179j 0.0158796-0.00288727j -0.000358996+0.00712259j 0.0104431-0.0395455j 0.0329583+0.00502144j -0.0146343-0.0203025j 0.00272903+0.0248066j 0.0137157+0.00454869j -0.0110451+0.00912314j -0.00157576+0.00268975j -0.0185947+0.0189759j 0.0112046-0.013883j -0.0090098-0.0167762j -0.0296319-0.000612323j 0.0114784+0.0215416j 0.0165758-0.0224598j -0.00820002+0.0208167j -0.0120823-0.0232928j -0.00870373+0.0146046j 0.0119676+0.0169025j -0.00176493+0.00223206j 0.00719794-0.00212788j 0.0119011-0.0142359j -0.0158986+0.0184583j 0.00157747-0.0245243j -0.0319151-0.0290345j 0.0229212+0.0103099j 0.00730089-0.0200912j 0.00941433+0.00402537j -0.0128592+0.0327708j 0.0165855+0.0260117j 0.014419-0.00917743j 0.00391168+0.00297459j -0.0230576-0.0334806j -0.00960961+0.00366501j 0.0215799+0.0106741j 0.0800515+0.0313736j 0.0182884-0.0363547j 0.009677+0.00593689j -0.0234972-0.00114192j -0.0444619+0.00698958j 0.00858331+0.0266478j 0.0271463+0.0023671j 0.0183331-0.019915j 0.0283985-0.0213364j -0.00937133-0.0196469j -0.00788828-0.000324506j 
-0.0119622-0.0188953j -0.0196642+0.0122197j 0.00231765+0.0232124j 0.0127362+0.011185j -0.0264398+0.00900369j 0.00255649+0.00207978j 0.0667597-0.00745686j -0.0289939-0.00905401j -0.0029652-0.0337743j -0.0327981-0.00427314j -0.0032379+0.00616509j -0.00841103+0.0258367j 0.0220106-0.0298549j 0.0296721-0.0223554j 0.00729116-0.0191429j 0.00218349-0.0347478j -0.0103245+0.0139324j 0.00032489+0.00428997j 0.00677534-0.00603777j 0.00817108+0.0019093j -0.0162761-0.00722497j -0.0135305-0.019992j -0.00994399+0.0067891j 0.00028832+0.00642826j 0.00750582-0.0066214j 0.00929487+0.0106793j 0.0315555-0.0133677j -0.00312334+0.0138439j 0.0108539+0.00428041j 0.00471568-0.00566082j 0.0168688+0.0304006j -0.0132568+0.00686117j 0.0127731-0.0213617j -0.00969147+0.0183527j -0.00296888+0.0208574j 0.0465364-0.00336681j 0.0148675-0.0360419j 0.00728867+0.00310516j 0.00020116+0.0373836j -0.0179312-0.00284298j 0.00283183-0.00881592j -0.0206048+0.0356384j 0.00419411-0.00716771j 0.0411095+0.00958402j 0.0114162+0.0171744j 0.0242665-0.0144018j -0.0137036+0.0274619j -0.0085437+0.0362927j -0.00571805+0.0026111j 0.0188488+0.00807942j -0.00626653-0.0375754j 0.021839-0.0102577j 0.0307205-0.0036637j 0.0319591-0.0391544j 0.0294699-0.00134268j 0.0036911-0.0264522j -0.00341842+0.00117046j -0.0361883-0.0154808j -0.00307495+0.029113j 0.00584387-0.0395047j 0.00102679+0.00149153j 0.0106637-0.00950147j 0.00380917+0.0459346j -0.0176955-0.0260324j -0.00966432+0.00390153j -0.0273751-0.00618502j -0.0145705-0.014785j -0.00664751-0.0252075j -0.0022258-0.0240906j 0.0217804-0.0591275j 0.0383968+0.0296456j 0.0067606+0.024223j -0.0136875-0.0156715j -0.00193441-0.00911174j 0.0251756+0.0221061j 0.00326399+0.0156581j 0.0319547+0.0168786j 0.0370632+0.037938j -0.0202435-0.0208279j 0.00399399+0.0405673j -0.0240035-0.0288379j 0.00220656+0.0137708j 0.015003+0.00166197j 0.00726275-0.0305697j 0.00152229-0.0504399j 0.00418031-0.00587163j 0.0235455-0.0109432j -0.0206865+0.0334529j -0.0744615+0.0392556j -0.00944548+0.00348162j 0.00331256-0.00486856j -0.0344946+0.022536j 0.0226071-0.017498j -0.00926939-0.030823j 0.0275855-0.0031043j 
0.013266-0.0163846j -0.0122732-0.00834434j 0.0333083-0.0369729j -0.0542934-0.0140497j -0.00517232+0.0171069j 0.0173994-0.00330886j 0.00518799-0.0079739j 0.00378524+0.0106547j 0.0124546+0.0423228j 0.0133111-0.0237556j -0.004994-0.0118117j -0.017404+0.00034649j -0.018757+0.00442043j -0.0412882-0.000669111j -0.00956796+0.0095589j -0.00273647+0.0106924j 0.0295074+0.0125013j -0.00190196+0.0216404j -0.0160852+0.0252088j 0.0161931-0.00454752j 0.0188574+0.0126644j 0.0256729-0.0194877j 0.00457766-0.00013947j 0.013334+0.00404716j -0.0113237-0.00466574j 0.0186716-0.00918145j -0.00483193+0.0159127j 0.0287538+0.00854087j 0.00188511+0.0350658j 0.0400667-0.0111367j -0.000785489+0.0469462j 0.00434176-0.0391858j -0.0147201+0.0135277j -0.0127571+0.0152735j 0.0106398-0.028199j -0.0155447+0.0329558j -0.0113116+0.0357215j -0.0150883-0.0262275j 0.0192346+0.0341754j -0.00925965+0.00041672j 0.0235827+0.0224078j -0.013422+0.00298714j -0.024546-0.0117269j 0.00159465+0.027274j 0.0296043-0.0179576j 0.0229814+0.0208606j -0.0143369-0.0125572j -0.00413743-0.0264177j -0.0292407-0.00616109j -0.0402204+0.00788561j 0.00516527-0.0201278j 0.0178919+0.0181964j -0.0330266+0.00462611j -0.0396413+0.0474713j 0.0139933-0.0349089j -0.00944563+0.0325421j 0.0131901-0.00390217j 0.0074063+0.016552j 0.00430337-0.0259766j -0.0107613+0.0158732j 0.0331259+0.0135726j 0.00593674-0.02471j -0.00983573-0.0542651j 0.0144545+0.05226j 0.0357819-0.0090659j 0.026651-0.0128219j -0.0128957+0.000934408j -0.0154131+0.0268599j 0.0345181-0.00108475j -0.0133753-0.00059953j -0.0113441-0.0178598j -0.0173767-0.00400766j -0.0150774-0.00157602j 0.00300368-0.0126095j -0.0203486-0.00232464j -0.00389667-0.0163388j -0.00664216+0.0258649j -0.00124092-0.0103916j 0.00155207+0.0324297j -0.0357563-0.00628043j -0.0113214-0.00125169j -0.0158552-0.00380523j 0.0276887+0.0186992j 0.0185784-0.00540951j -0.0283766+0.00374723j 0.0290189+0.0193385j 0.00968968-0.0225086j 0.00561228+0.00975097j 0.0430896+0.0181673j -0.0026219-0.0207016j -0.0295709+0.019585j 0.0549844-0.0304702j -0.0412627-0.05756j 0.0161594-0.00713771j 0.00393583+0.0351978j 
0.0359324+0.00187927j 0.000755103-0.0455006j -0.0244125-0.0418004j -0.0156688+0.00540844j 0.0280676+0.0271613j 0.0171355-0.00157111j -0.0748533-0.027932j -0.0209205+0.0153171j 0.040986+0.0213361j -0.0030508+0.0273639j -0.000943834+0.0228306j 0.0194421+0.0314637j -0.00671575+0.00769566j -0.0428054-0.0229287j -0.0146168+0.0250937j -0.0273988-0.00823437j 0.0216151+0.0241113j 0.00531545-0.00926989j -0.0129612+0.0158908j 0.0322584-0.0103537j 0.0515799+0.0327855j 0.0223468-0.0188501j -0.00221162-0.00875471j 0.000319241-0.0334282j -0.00619609-0.00966801j -0.0142113+0.0251777j -0.00923971+0.0290311j -0.00464242+0.0118186j 0.0202457-0.0197296j 0.0325462+0.000914184j -0.022035+0.00707382j 0.00878228+0.00449192j -0.0101547+0.0259536j 0.0262632-0.000772167j -0.0151168-0.0230149j -0.0258885+0.0212107j -0.0158157+0.0207361j 0.0161236+0.0352389j -0.00850661-0.0311647j 0.0260526+0.00243892j 0.026888+0.0164335j 0.00947446-0.0179244j 0.0235244+0.0216201j -0.0347393+0.032998j -0.0102671-0.00506644j 0.00659125-0.0102113j -0.0183244-0.0380321j -0.0223771-0.0261025j -0.0208389-0.00506104j -0.0394753+0.0302214j 0.00778352+0.00633434j -0.0196786+0.0186258j -0.0373374+0.0251228j 0.0175602+0.0240935j -0.0328418+0.0103846j -0.00743425+0.025893j 0.0293656-0.000162773j -0.00535024+0.00653256j -0.018082-0.0197155j -0.0251823+0.0463125j 0.00882247+0.00707284j 0.0268938+0.0102123j 0.00428431-0.00269296j -0.0179938+0.0108342j 0.00702499-0.0154374j 0.00479368+0.0248776j 0.0189174-0.0132888j -0.0249531-0.0139441j -0.0242516+0.0104903j 0.00498242+0.0141634j -0.0138363-0.000554978j 0.00551044-0.0256158j 0.00168112+0.0126936j 0.030203+0.00365732j -0.0309011-0.0109724j -0.00078854+0.0186569j -0.00797416-0.0138811j 0.00170103-0.0102111j -0.00944907-0.0438856j -0.0106698+0.0294171j 0.010659-0.0351699j 0.028077+0.0295017j -0.000698904-0.0336568j -0.0107754-0.00901228j -0.0378039+0.00065306j -0.0179285-0.00105932j -0.019841+0.0374558j 0.0699251+0.000997817j 0.0455627+0.0367783j 0.00658968-0.0133419j -0.0147954-0.00394796j 0.00532581+0.0175868j -0.010918-0.0128722j 0.0127549+0.00841698j 0.00872063+0.0469099j 
-0.0257916+0.0273168j 0.0217864+0.0368531j 0.0129253+0.0357126j 0.0288898+0.0053552j -0.015657-0.0311954j -0.0130589+0.0192489j 0.00626167+0.0491968j 0.0435989+0.00545833j -0.0287749-0.0189816j -0.0164844+0.00184885j 0.00546211+0.0130717j 0.00798061-0.0525938j -0.0171973+0.0067792j 0.038996+0.014808j -0.00086892+0.0101943j 0.0295476+0.0329586j -0.0300297-0.0284506j -0.015796-0.0157645j 0.0191384-0.00704842j -0.0371638-0.00727097j -0.0228856-0.0242705j -0.00783512+0.0420457j -0.000742602+0.00687769j -0.0072611+0.00251346j -0.0173258+0.0138513j -0.0154408-0.0109711j 0.00321836-0.010368j -0.0154609-0.00678541j -0.00501607-0.0196282j -0.0235002+0.00764191j 0.0292381-0.0570602j 0.0171783+0.0108489j -0.000576775+0.0228806j 0.00626405-0.0297575j -0.0216983-0.00690592j -0.0270739-0.0315886j 0.0136928-0.00272037j -0.0384995-0.00519377j 0.00748504-0.0118649j 0.00901512-0.0159501j -0.0325096-0.0111954j 0.0312188-0.0163633j -0.0177745+0.0107094j -0.0252148-0.0520062j -0.0323927-0.0127355j -0.0395858+0.00877013j 0.0132949-0.00449568j 0.022999+0.00796087j 0.0223442+0.0100737j 0.0448586-0.0365049j 0.0317826+0.0252074j -0.019136-0.0034798j 0.0441833-0.00707584j -0.0308503+0.00501025j -0.00525968-0.000366963j 0.0145571-0.0128213j -0.00197529-0.00387894j 0.0320535-0.00447832j 0.00545145+0.000815583j -0.0429976+0.00140262j -0.0227423+0.00450864j -0.00855144+0.0428397j -0.00608766+0.0022674j 0.0131352+0.0101156j -0.0133524-0.0112333j 0.0259257+0.00173625j 0.00682636+0.0396307j 0.0163942-0.0123107j 0.0111376+0.0316524j -0.0370233+0.0253376j -0.0192718-0.00781837j 0.0181548+0.0129027j 0.0063405-0.00554801j -0.014096-0.0179969j -0.0132409-0.020407j -0.0277219-0.0146688j 0.010986-0.0258967j -0.000906389-0.0191469j 0.0138758+0.0337868j 0.0310032-0.0576213j 0.0136254+0.0524684j 0.0220966-0.0501226j 0.00377088-0.00848245j -0.0110116+0.0262982j 0.0164804+0.0442876j -0.0178919-0.0130229j 0.000838114-0.0080641j -0.0450917-0.0261128j -0.0195139-0.0965319j 0.0245044+0.0017138j 0.0100401-0.00687292j -0.0378927-0.0030021j 0.00163556+0.0713174j -0.0224626+0.0460329j -0.00955793-0.0412694j 
-0.00561237+0.0233379j 0.015131+0.00153421j -0.0198804+0.0353401j 0.0281986+0.0183287j 0.0101666-0.019981j -0.0147081-0.00644393j -0.0227612+0.0444626j 0.0541439+0.00364676j 0.0188164+0.0275413j -0.0320863+0.01151j 0.0166184+0.00869716j -0.0318332-0.00578291j -0.0530441+0.0239681j 0.00204854-0.0428986j 0.00210126+0.029275j 0.0149853+0.0430082j 0.00190049+0.0164771j 0.00546279-0.0308672j -0.0256849+0.0175331j 0.0108175-0.00669124j 0.00195328+0.0217585j 0.00522189+0.0315271j -0.020599-0.00199915j 0.00225058-0.0154472j -0.00788095-0.0110166j -0.0127203-0.0109837j -0.0193336+0.0139687j 0.0263647+0.00538573j 0.00914867-0.00343555j 0.0116229-0.00803673j -0.0272743-0.00120845j 0.0126225+0.00523003j 0.0196326+0.00917003j 0.00242954+0.0230558j -0.0400226-0.0397617j -0.0426176-0.0218596j 0.0140346+0.00298956j -0.0184633+0.00468649j 0.0273427-0.00214015j 0.00566337+0.0149345j -0.011971+0.0301177j 0.0306774-0.0189933j -0.0100835+0.00630766j -0.0304196+0.0138684j 0.0158387-0.00905085j 0.0221457-0.0348185j -0.0240869-0.0453903j 0.00592699-0.0158612j -0.00570508-0.0117906j 0.014463-0.00775557j 0.0206627+0.0085297j -0.0166758+0.038766j -0.0376563-0.0036196j -0.022845+0.0249931j -0.0187939-0.0189466j -0.00196668+0.00571134j 0.0210148-0.015215j 0.00417181+0.0180745j 0.0243799-0.0103344j -0.0257928+0.0372727j 0.0231864+0.0132427j 0.00524363+0.00624972j 0.000303653-0.0140375j 0.00406208+0.0114628j -0.000710385-0.0373132j 0.0159214+0.0243013j 0.01309-0.0273883j 0.00859406-0.0139489j 0.012895-0.0254907j -0.0100253+0.00846012j -0.0150577+0.000405802j -0.0056949-0.0196142j 0.0104788-0.00945905j 0.0230679+0.00828274j -0.028725-0.0226145j -0.00114573+0.0209652j -0.0234076-0.0147466j 0.00686661-0.00438292j -0.0026475-0.00472329j 0.0077407-0.0202232j 0.0168983+0.0688175j -0.00289512-0.000691046j -0.0143516+0.0147782j -0.00843751-0.0454896j -0.0781128-0.0149182j -0.0224996+0.0264682j 0.0101688-0.0495671j -0.0592407-0.0380199j 0.0699655-0.0520328j -0.0204867-0.0205781j -0.0163392+0.0154914j -0.0397927-0.00369333j -0.0191411+0.0341213j -0.0186694+0.0154707j -0.0201914+0.0101514j 
0.013285-0.0031018j 0.00990125-0.0135896j -0.0131071-0.0471024j -0.0390529+0.0180606j 0.00832695-0.0318549j -0.0369284-0.0120048j -0.0179205-0.0279827j 0.0137107+0.0106858j -0.000791925+0.0163415j 0.0466049+0.0207049j 0.0174632+0.00552252j 0.0239162+0.0148973j -0.0253485+0.00958753j -0.0281953-0.0146294j 0.029217+0.00377327j 0.00601211-0.00483938j 0.0111965+0.00646223j -0.0178473-0.0222373j -0.00239725+0.0234027j 0.0217168+0.0117786j 0.0412741+0.0415166j 0.00226047-0.00709161j -0.015297-0.00198091j -0.0171407-0.0377622j -0.0146394-0.00536148j -0.0240049+0.0295211j -0.045279+0.0276641j -0.0024263-0.0165912j -0.0261349-0.0395138j -0.0224112+0.00542175j -0.0748865-0.0341839j -0.0294867+0.0138175j 0.00358988+0.0215272j -0.0181367-0.0225069j -0.005362+0.00764288j -0.00998808+0.0273819j -0.0116068+0.00170393j 0.0328206+0.0189119j -0.05415-0.034893j 0.0135738+0.0483304j 0.0135144+0.00457483j 0.0104885-0.00240435j 0.00459733+0.0149286j -0.025023+0.00157478j -0.015339+0.00276375j -0.0149506-0.00851414j -0.00856217-0.0289634j -0.0191166+0.00327589j -0.0238811+0.00552104j -0.00601647+0.0243737j 0.0185033+0.0201111j 0.00420304-0.026053j -0.0388361+0.0140268j -0.0199909+0.00950919j -0.0489648+0.0306575j 0.0304154+0.0169239j 0.0391694+0.00493554j -0.0361791+0.0403341j 0.0164003+0.000541611j -0.017775+0.00979193j 0.00696865-0.0230752j -0.0715098-0.0178239j 0.017229+0.00454404j -0.0298968-0.0264055j -0.0253904-0.0240349j -0.0288272+0.0473125j -0.0102211-0.0416772j 0.00394416+0.0273639j -0.0155205-0.011972j 0.049252+0.0315387j 0.0338428+0.0167032j -0.0318905+0.00962927j 0.0575109+0.0147367j 0.0146228+0.00219534j -0.0212557+0.0520538j 0.0648251-0.0314465j -0.00296507-0.0495382j 0.012641+0.00681613j 0.00715763-0.0247907j 0.0257973+0.012853j -0.0305305-0.00361384j -0.068785+0.0146758j -0.0558155-0.00408526j -0.00694941-0.0157186j 0.0111664+0.0221789j -0.00171956-0.0331965j 0.0120532-0.0285714j -0.00238937+0.00411499j 0.0189034+0.0826039j 0.00283762+0.0212529j 0.030223-0.00766077j -0.0128132-0.0146216j 0.00418674-0.0244074j 0.029218-0.0188716j 0.00723236+0.0263246j 
