-0.122034+0.0855284j 0.0257271-0.0340446j -0.0448338-0.00918616j 0.147231+0.0500751j 0.0389292-0.0128693j -0.0268481-0.0228662j 0.0782581+0.0939282j -0.0431062-0.0415022j 0.000583264-0.0545152j -0.00296936+0.0299432j -0.0175434-0.0219912j -0.0415585-0.071339j -0.0170124-0.0194869j 0.0127452-0.024543j 0.0236435-0.0282809j 0.00666706-0.0576311j -0.00357696-0.00578354j 0.0126698-0.0321123j 0.00145743-0.0158681j -0.0291286+0.00550763j -0.00706001+0.0460392j -0.0149586-0.045502j -0.0100916+0.0269317j 0.00273074+0.023254j 0.000745569-0.00191223j -0.00358843-0.000252593j 0.0311474-0.0247534j 0.0211468+0.0231862j -0.0214496+0.0122045j -0.0212149+0.0295432j 0.00234434+0.0249694j -0.000391415-0.0505292j -0.0192867+0.0335557j 0.0095104-0.0169961j 0.0299181+0.00832286j -0.0222904+0.0367466j -0.00228642+0.00545799j -0.00805611+0.0120029j -0.00323715+0.00536454j -0.0128701+0.00507238j 0.00172945-0.017579j -0.0255983+0.0337988j -0.0317565+0.0303458j -0.0202062+0.0168945j -0.00438561+0.0644893j -0.0070953+0.0483618j 0.0115646-0.021294j 0.0167046+0.0164722j 0.0505303+0.0204236j 0.0592508-0.0155905j -0.00755625-0.0162964j 0.0247456+0.00901068j -0.0101072+0.00261411j 0.0328698-0.00974367j -0.00430818-0.0229532j 0.0420608-0.0788801j -0.0172135-0.0309401j 0.0394436+0.0155083j -0.0295925+0.0490554j 0.0285799+0.0142162j -0.00709745+0.0442199j -0.0347766+0.0860224j 0.0375112-0.013661j 0.0960044+0.00118381j 0.0767506+0.0755115j 0.219021-0.196453j -0.121804-0.196182j 0.173818+0.0718418j -0.0347301-0.0745304j 0.143949+0.0821971j 0.122196-0.0437261j 0.0606388-0.208807j -0.00945473+0.00855589j -0.0439751-0.101745j -0.05966+0.154898j -0.0228243+0.0575158j 0.151225-0.15896j 
0.0259018-0.0341956j 0.122868-0.0707669j 0.145708+0.0646754j 0.0406039-0.0229897j -0.0425772-0.0172552j -0.0664296-0.0324507j 0.0213791-0.0159338j 0.0473549+0.0782128j -0.0218025-0.0384074j 0.0194637-0.00377864j -0.0365745-0.0221882j -0.00502266+0.0113668j 0.00913844+0.0729386j 0.0112793+0.00664307j -0.0125454-0.065645j -0.013976-0.0268194j 0.00576611+0.0206275j 0.00451986-0.00438272j -0.0185662-0.000361738j 0.0310399+0.00737234j -0.00112275-0.0366969j -0.0163268-0.0164334j 0.0234169+0.0108644j -0.00854765-0.00110498j 0.00661471+0.015806j 0.00549231-0.0168467j -0.0287091+0.0204339j -0.00286596-0.016844j 0.00890871+0.0501728j -0.00698651+0.00491064j 0.0193741-0.00847517j -0.0250221-0.000589532j -0.0099049+0.000488883j -0.0120104+0.00410799j 0.0176527-0.0295354j 0.00561205-0.0203082j -0.0161548+0.0339827j -0.0354411-0.0196977j 0.0181986-0.0509257j -0.0109516+0.0173399j 0.00414903+0.0147402j -0.0247962+0.0349697j 0.00335535+0.0297631j -0.00444979+0.0100332j 0.0234547+0.000327666j -0.0295883+0.00876308j -0.00597383-0.00630866j 0.0145107-0.0158607j 0.0566865-0.0503601j -0.0142659+0.0120399j 0.003648-0.0252896j -0.0131415-0.0157232j -0.00837126+0.00631168j -0.0186339-0.00410498j -0.0443003-0.00605618j 0.0104836+0.0297302j 0.0376068-0.0614198j 0.0558865-0.0554523j 0.00599795+0.0310092j -0.00850829-0.0256636j -0.0615929+0.0526351j -0.00430241-0.0382369j 0.00513372-0.0507951j -0.0392437+0.0943774j -0.0824831+0.131116j 0.164334+0.109688j 0.285298-0.0682474j 0.0665109+0.168764j 0.00613292+0.073924j -0.0963689+0.0628381j 0.0698493+0.251464j 0.0531638-0.00505837j -0.101972+0.0926849j 0.0505579-0.178226j -0.0459533-0.139827j -0.150167+0.173323j -0.0232251+0.0655425j 
-0.0217404+0.00285397j 0.0323622-0.102512j 0.0418359+0.0438733j -0.0172873-0.0402582j 0.0807782+0.0323497j -0.0675041-0.000152632j -0.0425583-0.108677j 0.0300747-0.0365643j 0.0970059+0.0351346j -0.00378968-0.00221797j -0.0338737-0.0274867j -0.0341191+0.032043j -0.0126126-0.0683048j 0.069755+0.111927j 0.0665203+0.0303563j -0.0159722+0.0200653j -0.0177307+0.0335035j 0.0352229-0.00813425j -0.0521073+0.00731378j -0.0229005+0.0315122j -0.0163461-0.0560744j -0.0110719-0.020738j 0.000847879+0.0358338j 0.00613981-0.0108777j -0.00134151+0.0298352j -0.0231555-0.022153j 0.0257896-0.0535377j -0.0222025-0.00350654j 0.0504891+0.0697699j 0.0247395+0.00237008j -0.0109553+0.0482383j -0.0271681+0.0048844j 0.0409678-0.0196977j 0.00427828-0.0403589j -0.0249185+0.0118968j 0.0200687-0.0087414j 0.022069-0.039828j 0.0261968-0.0571507j 0.00999117-0.0530251j 0.00748829-0.00057713j -0.0012854-0.00244055j 0.0261543-0.00902619j 0.0182138-0.010378j 0.00665142+0.00135321j -0.0372605+0.0387141j -0.030431-0.0012578j 0.0151819-0.00867167j -0.0414737+0.000987735j -0.0833329-0.0169377j -0.0107567+0.0315852j -0.0186014-0.0664927j -0.0656209-0.0159652j -0.0338052-0.00576302j 0.0426694+0.00465723j 0.0476361-0.00439384j -0.0956556+0.131888j 0.0428779-0.0310719j 0.102352+0.0260284j 0.0281574+0.00335526j 0.136187+0.103878j -0.043183-0.0426746j 0.0261948+0.0164995j 0.0188922+0.159112j 0.259876-0.0372185j 0.146019-0.0442102j -0.062881-0.155788j 0.0936999-0.0122658j -0.0672101+0.081226j 0.0165861+0.0625919j 0.0363021-0.0137209j 0.020026+0.184803j -0.0130803-0.0253778j 0.219867-0.158836j 0.00366314-0.0291462j 0.171988-0.0305344j 0.413631+0.210884j -0.0779348+0.328218j 
0.0288202-0.125182j 0.022251-0.0270997j -0.0126872-0.0272808j -0.0271198+0.0291192j -0.0505958-0.020705j -0.0706862+0.0418827j -0.0722355+0.0638629j -0.0901982-0.0113717j -0.0392984-0.0351438j 0.0560788-0.0207554j -0.0316324-0.00700115j 0.0761003-0.000127747j -0.0184562-0.01316j 0.0263795-0.0220981j -0.0237956-0.0428547j 0.0224802+0.0115005j 0.00386556+8.73558e-05j -0.00285778+0.00255817j 0.00434624+0.0248531j 0.0235118+0.026688j -0.0307764-0.0139234j 0.0433437-0.0321608j 0.0206934+0.0362983j -0.000910035-0.0533903j -0.00323802+0.0370375j -0.00407025-0.0475544j -0.0258664-0.082564j -0.031565-0.0264119j 0.0222768+0.057273j 0.0231216+0.00770107j -0.00813732+0.0448658j 0.00555985-0.0253551j -0.0212679-0.0307577j 0.0144837+0.00101892j -0.0264677+0.022592j -0.0183515-0.0452864j -0.00642113-0.0292782j 0.0451663+0.0069363j 0.0127624+0.0133415j 0.0219987-0.00533133j 0.0212582+0.0358578j -0.00594627-0.0595141j 0.0488698-0.0492807j 0.00683766-0.00322772j 0.0289602-0.0914331j 0.00986116-0.0575765j -0.00629242+0.00374768j -0.0121763-0.0196365j 0.0824064-0.0219517j 0.0421894+0.0358026j -0.0506774-0.00652601j 0.0791697-0.0048583j -0.0854357+0.000596432j 0.103736+0.00637973j -0.00299797+0.00742291j -0.196238+0.0403491j -0.0107409+0.0742369j -0.0357694+0.11925j -0.065252+0.0158331j -0.0822313+0.0744576j 0.0122062-0.137605j -0.123401+0.0338181j -0.104624-0.0523775j 0.0328806+0.104372j 0.0618675+0.246164j 0.0912642+0.0224918j 0.0137897+0.066836j -0.143991-0.0456594j -0.203908+0.0235511j -0.00424503-0.153703j 0.00542803-0.15136j 0.160402-0.0198149j 0.08429+0.182137j -0.117514+0.00277082j 0.0271638+0.119615j 0.0693136-0.355611j 0.426432+0.175057j 
-0.0425603+0.0137964j -0.00362818-0.0656557j -0.0349857+0.0341549j 0.0308076+0.0133911j -0.00734391-0.0417925j -0.115533+0.0913189j -0.0585783+0.0808505j -0.090164+0.0299437j -0.0742177-0.0193149j -0.00308728-0.046229j -0.0292373+0.0289436j 0.0703244-0.0322172j 0.00791538+0.0400197j 0.00782486-0.0260696j -0.0870124+0.0439893j 0.00735325-0.0189957j -0.0223398-0.0350138j 0.00266396+0.0637645j 0.00604019-0.000250375j -0.0504976-0.0897336j -0.0152192-0.021806j 0.0463258-0.0140747j 0.0488098-0.0534493j 0.0735402+0.0217915j -0.0550518-0.0368j -0.00332649-0.0565079j 0.0557323+0.0799458j 0.0244835-0.0344445j -0.0566301+0.0439728j 0.0114309+0.0202387j -0.0359245+0.00989963j 0.0686465-0.0824606j -0.0620775-0.0083733j 0.0455107+0.0142937j -0.0430202-0.00630402j -0.0695828-0.0331508j 0.0103375+0.0516029j 0.0536635-0.0406527j -0.0413361-0.0279533j 0.0418912+0.0107203j 0.0113387+0.0682304j 0.0410229-0.00975754j 0.0785317-0.00434574j -0.00487037+0.0785072j 0.0232989-0.0220281j 0.0163269-0.0184928j 0.0201551-0.0588576j -0.0632538-0.021551j 0.0304121+0.0171502j 0.042053-0.00247655j 0.0133406+0.000516425j 0.0015824+0.0586955j -0.0427713+0.0353679j -0.111391+0.0418493j -0.168574-0.0267358j 0.109207+0.0203175j 0.0144729-0.0121919j 0.0609542-0.0461562j 0.0268073-0.0179552j 0.0309758-0.00245268j -0.0138979+0.110787j -0.0181932+0.286539j -0.0911076+0.0926376j 0.160524-0.026708j 0.00976372+0.00980329j 0.00437929+0.104037j 0.0521653+0.111909j -0.0773575+0.0471017j 0.129775-0.0505845j -0.0100842-0.102578j 0.0802958-0.0745418j -0.0818449-0.0448945j -0.198672+0.0670334j 0.212199+0.375361j -0.253378+0.283078j 0.117203-0.0525924j 0.0735314+0.00623574j 
0.0067636+0.0254184j -0.0401129+0.0527988j -0.0490066+0.0310027j -0.0444243+0.0653722j 0.10274-0.0639392j -0.0494628+0.0600175j -0.020599+0.00934774j 0.0040765-0.014798j 0.017539+0.0138925j 0.0416391-0.0133968j 0.0489518+0.00876532j -0.063926-0.0704812j -0.00862626+0.010442j 0.0459991+0.0386343j -0.00622858+0.0253886j -0.0318798+0.00889674j -0.0431378-0.0285479j -0.0899306-0.0130774j -0.0102308+0.0353235j 0.00150174+0.00436095j -0.0281877-0.0231947j -0.0249989-0.0907592j 0.005936-0.0144837j 0.00755748-0.00585587j 0.00757749-0.0441074j -0.0257683-0.0576666j -0.0242019-0.00312233j 0.00263778+0.0278073j 0.0402268-0.0078896j 0.062947+0.0249637j 0.0289742+0.0347294j -0.0208412+0.0343497j -0.00447399-0.00447963j 0.0093782-0.049861j -0.011059-0.0147892j 0.0122267+0.0166918j -0.0349253-0.0880072j 0.0294732+0.00811561j 0.00123877+0.0320871j -0.0131033+0.0125297j -0.0194082-0.0195526j 0.0437332-0.0534872j -0.061775+0.0165249j 0.027954-0.000660056j -0.07439+0.0378648j -0.0346118+0.0375741j 0.0326649-0.0289561j -0.11958-0.0235518j 0.0381653-0.104226j 0.0728376-0.0615986j -0.0104208+0.0747679j -0.00784594-0.0148654j -0.00120558+0.13914j 0.0421184+0.0583562j 0.00575705+0.115011j 0.0386137-0.0756591j 0.0821047-0.0196379j -0.0497427-0.0149855j 0.0877099-0.0460889j 0.119057-0.194424j 0.146461-0.238702j 0.242082+0.0503427j -0.062595+0.0981054j -0.0159524-0.0526325j 0.0153908+0.0750534j 0.0436364+0.0865858j -0.00433708+0.00523767j 0.12703+0.0580379j -0.0434831-0.075761j -0.0410458+0.000649471j -0.0514686-0.0490199j 0.115317+0.101981j 0.0954963+0.157542j -0.239576+0.170906j -0.0677317-0.230282j 0.0761529-0.0808334j -0.0590209+0.0548794j 
0.00511749-0.0947421j 0.00821752-0.0437181j 0.0137837-0.0373286j -0.0548572+0.0841586j 0.0103198-0.0962253j 0.0222202+0.0492026j 0.0158386+0.0687242j 0.00987266+0.0538653j 0.0420872-0.0222967j 0.0709076-0.0372393j 0.00998283+0.100542j 0.0266974-0.0684447j -0.0229294+0.0640478j -0.0565059-0.0237243j 0.00529368+0.0307211j -0.00850511+0.0137654j -0.0307687-0.0346945j -0.0409472+0.0256599j -0.0913725-0.00236887j 0.0331449-0.0767592j 0.000441983+0.00565308j 0.097034+0.068179j 0.0173953-0.0565743j 0.0328191-0.00556604j -0.00967028-0.00538845j 0.075294-0.0108232j -0.00792889+0.00932335j 0.00132573-0.0727672j -0.0317269+0.032002j -0.0288408-0.0200328j -0.00629481-0.0332508j 0.0599894+0.00342003j -0.0403292-0.0162897j 0.0348135+6.21918e-05j -0.0281815-0.0111044j -0.033553-0.0352098j 0.0152583-0.0274387j -0.0597691+0.118089j -0.0394143+0.0268799j -0.00187483+0.0288514j 0.0758807-0.00606726j -0.0213214+0.0206996j 0.0326943+0.0381304j 0.0417703-0.00563519j 0.0691914+0.00576628j 0.0149993+0.0301175j -0.0771591-0.070864j -0.0425261+0.0526198j 0.00973694+0.144149j -0.0338725-0.0128229j -0.0258267-0.074877j -0.0452592-0.129304j 0.0829706-0.0953431j -0.00717363-0.00442136j 0.0255291-0.00843622j 0.0121598+0.159155j 0.0994086-0.230222j -0.0731924+0.112695j -0.121059+0.0739773j -0.0919456-0.0493446j -0.144922-0.135714j 0.177088-0.0504243j 0.134843+0.0633282j 0.07704+0.0600803j 0.0979384+0.104977j -0.0534185+0.113379j -0.111424+0.0378486j -0.0431025-0.0154547j 0.0472063+0.0321157j -0.0721108-0.0997769j 0.179755-0.012234j -0.0917146-0.215405j -0.0943413+0.130432j 0.19367+0.0615596j 0.105947+0.14927j 0.027106+0.00378856j -0.0137199+0.10523j 
-0.0109779+0.0255567j -0.0250486-0.0902983j 0.0538751+0.0155242j -0.01086+0.0766543j 0.0219648-0.0831551j -0.0330401+0.0281215j -0.0480389-0.00912601j 0.0147967+0.00338494j -0.00292663-0.0195426j -0.042883-0.0123741j -0.0319696+0.0435211j 0.0904982-0.0196708j -0.00406109-0.0190747j -0.0285564-0.0222178j -0.0260869+0.0486232j 0.0376046-0.0664055j -0.0117555-0.00966706j 0.00771044+0.0483515j -0.0776095-0.0476202j -0.0423263-0.0154337j -0.00247562-0.00438245j 0.0389302+0.00797127j 0.0559551+0.0163335j 0.0882992+0.0123603j -0.0248809+0.0233486j 0.0447531-0.00227659j 0.027025+0.00324395j 0.0222147-0.00996763j -0.0165076+0.0196467j -0.0172248-0.0457166j 0.00786398+0.0201233j -0.0189086-0.00727298j -0.0209077-0.0367876j 0.0236844-0.0309143j 0.0509954+0.0410652j -0.0122247+0.000376118j 0.00809315-0.00944032j 0.0733806-0.108008j 0.0375167-0.0477455j -0.0270376+0.0106171j 0.0331455-0.0388751j -0.0419539-0.018318j -0.0571071-0.0746783j -0.0102312-0.0596128j -0.00434176-0.164893j 0.011327+0.00186004j -0.0336785+0.0438204j 0.028162+0.0102892j -0.0312009-0.0706961j 0.0123574-0.00563087j -0.06695+0.0362437j 0.0179605+0.0486945j -0.0505245-0.0265402j 0.0972201-0.0234332j 0.0214391-0.0692804j 0.0963982+0.0347779j -0.213298-0.128517j -0.0596932+0.121116j 0.187392+0.14166j -0.141595+0.0436425j -0.112465-0.0123187j 0.135227-0.00308634j -0.0469954+0.0157787j -0.0780654-0.0685301j -0.11746+0.0260997j -0.0605958-0.0142363j 0.0251346-0.00187086j 0.0206156+0.153585j -0.114485-0.154526j 0.0376191+0.105719j -0.00783823-0.224344j 0.0178216+0.0368412j 0.052733+0.0362693j 0.0455004+0.244865j -0.302793-0.0968164j 0.0298481+0.0501873j -0.0502312-0.0123316j 
-0.0363463-0.0266555j -0.000941597-0.0248554j -0.0476791+0.0251192j -0.027661-0.0469556j -0.00516556+0.0562863j 0.00256543-0.011698j -0.0062166+0.0605582j -0.0512182+0.00644993j 0.0765399-0.0535882j 0.0112101+0.0312737j -0.063522+0.0325847j -0.0122484+0.0547186j -0.0178215+0.0442299j 0.0317879+0.0169283j 0.034341-0.0265829j -0.0522224+0.0724305j 0.0348937+0.0224184j 0.0760615-0.0236894j 0.0265184+0.0140893j 0.0321351-0.0624562j 0.0026438+0.0241819j 0.0308529+0.0725795j -0.0127061-0.0435501j -0.0461325+0.0196315j -0.0120085-0.0161156j -0.0292081+0.0234194j -0.0120072+0.041873j -0.0123284-0.00865631j 0.00833291+0.00241566j -0.0319425+0.0162746j -0.0149728-0.0231825j 0.0493522+0.0163915j 0.0106398+0.0487708j -0.0109386+0.0382085j -0.0259457-0.0241535j -0.0134472-0.031684j -0.000514468+0.0222935j 0.0380356+0.0238018j -0.0314331-0.0295274j 0.00590368-0.0345987j 0.0253605+0.0299062j -0.0547546+0.0247741j 0.0136068-0.0361309j 0.0884517+0.0322758j -0.0600698+0.0255625j -0.0791789-0.0819258j -0.0361096-0.020367j -0.0687339+0.0725367j 0.0146033-0.096281j 0.0314251+0.0145939j -0.161728-0.165834j -0.203605+0.0355081j -0.0367933+0.0546843j -0.114938-0.0469591j 0.00506589-0.154869j -0.0535273-0.0157392j -0.00441874-0.0139016j -0.0681865+0.0626555j 0.03872+0.221956j -0.000981381+0.0119603j 0.0879616-0.0976902j 0.132055+0.138053j -0.0497297-0.216903j -0.0426875-0.00251986j -0.0335242-0.051676j 0.000878329-0.0462697j -0.022702+0.0399714j -0.0233575+0.0751042j -0.0454276-0.149073j 0.0163904+0.244536j -0.130284-0.0826507j 0.151252+0.0924932j 0.0983456-0.209979j 0.175777+0.0657208j 0.113617+0.132324j 0.0281929-0.023758j 0.0282849-0.04228j 
-0.0280046+0.00611231j 0.0211588-0.0327458j -0.0178917-0.0184925j 0.0468051-0.00764261j -0.0200551-0.0473274j 0.0117322-0.0261788j 0.0363351-0.0127624j -0.0435913+0.0247273j 0.0396639-0.0421831j 0.118062-0.0581284j -0.038763+0.0570122j 0.0188415-0.0277448j -0.0334833-0.00190357j 0.0239163-0.00215582j -0.0031007-0.0386494j 0.0395213+0.00496587j 0.0705895-0.0027422j -0.0571392+0.00155229j -0.0411797+0.0212134j 0.0860906-0.00387564j -0.0250815-0.0249925j -0.0141335+0.0119386j 0.00995739+0.00312604j -0.0757878-0.00306903j 0.0952496+0.0473031j -0.0327081+0.0108483j -0.00543908+0.0498185j -0.00795299-0.00108486j 0.0482993+4.64433e-05j 0.059751-0.00774635j 0.00344521-0.0543765j 0.0918231+0.0249441j 0.0441542+0.03039j 0.0480012+0.00538915j -0.0402627-0.0126526j 0.0240891+0.0513704j 0.0180036+0.0487816j -0.0500129-0.0869757j -0.001693-0.0223291j 0.0686514-0.00503263j -0.0367588+0.0199059j 0.0243643-0.064455j 0.048131+0.0104725j -0.0154839-0.0456547j -0.127996-0.0673849j -0.00403332+0.0940376j 0.0264117+0.00301106j -0.159324+0.00835786j 0.0562974-0.039464j 0.00122799-0.0143338j 0.130963-0.0393168j -0.0110037-0.150951j 0.0327459-0.149431j 0.0582319-0.0345178j 0.0642421-0.00990231j 0.00290502-0.0305014j -0.115379-0.0843941j 0.0689481+0.0770774j -0.0219792+0.141645j -0.0392355-0.0523532j 0.136185+0.026647j -0.0166459-0.0167055j 0.0695265+0.0487909j -0.0317664-0.0120245j 0.00300664+0.0191743j 0.0568902+0.0601258j -0.0443185+0.010331j 0.123941+0.126644j -0.0707554-0.182435j 0.158074+0.0538815j -0.0840466-0.0686302j 0.0970524-0.0958242j 0.0540769-0.0832507j -0.0743412-0.020927j 0.0613659+0.00392332j 0.024761+0.0529056j 0.017025-0.0317643j 
-0.00541584+0.0322976j -0.0373584+0.0220279j -0.0164668+0.00826008j -0.000988541+0.0971429j 0.0285787-0.0762303j -0.0326898-0.0104763j -0.0531237+0.030037j -0.0376337+0.0167871j -0.0129342-0.0444924j -0.0552487+0.0221437j -0.0951387+0.0991345j 0.0544069-0.0270412j 0.0112935+0.00446343j -0.0170636-0.0214471j -0.0234709+0.0599563j -0.0256004-0.0347706j 0.0588669-0.029534j 0.0183799+0.0452587j -0.012915-0.0195652j -0.0267712-0.0690663j 0.0182582-0.0200669j -0.0371829-0.0285327j 0.00416077-0.0320538j 0.0673708-0.0172284j -0.00161934+0.0484097j 0.0440681-0.0231035j 0.0224844+0.0312556j -0.0179118-0.00562381j 0.0377725+0.0310878j -0.00480713-0.00641309j -0.0219033+0.0193866j -0.0518296-0.0609272j -0.00928944+0.0615944j 0.0295855+0.0238242j 0.0432628+0.130253j 0.0473232+0.02827j 0.0748888-0.00713251j 0.00639934+0.0901919j -0.0620838+0.0190356j -0.00818223-0.0571972j -0.0215003+0.0188387j -0.0082005-0.0362451j -0.0897675-0.104475j 0.0940677+0.0834312j 0.0332849+0.111809j 0.0110117-0.0206946j -0.00205568+0.0784524j 0.0446748+0.102472j 0.0842938-0.00785692j 0.00591936+0.020925j -0.0401135+0.0731324j -0.0829424+0.0518368j 0.0427008+0.0118884j -0.0656202-0.00382099j 0.0897615-0.0027582j 0.0235141+0.0628527j -0.0370824+0.0959507j 0.0366639+0.0908867j -0.074457-0.0426941j -0.0573469+0.0300505j -0.068804+0.0276978j 0.043025-0.174948j -0.0644591+0.0132306j 0.0428427+0.0434843j 0.0437407+0.113905j -0.0747088+0.0224174j -0.15124-0.131124j -0.047118-0.170208j 0.0211806+0.0912975j -0.0972702-0.131621j 0.0377964-0.123311j -0.137973+0.0281515j 0.0934074+0.1322j -0.0187488+0.0662059j -0.0434415+0.0442591j -0.00986936-0.073718j -0.0311186-0.0417067j 
