-0.134802+0.130487j -0.130241-0.166963j 0.056396-0.0302684j -0.0750542+0.019487j -0.042469+0.0969316j -0.0292853+0.0158837j 0.112286+0.0103334j 0.0557902+0.0441405j -0.0312833-0.0726106j 0.0443766-0.117417j 0.113494+0.0215531j -0.0534294-0.0320288j -0.0880924+0.00234271j 0.0613329+0.0159376j 0.0414431-0.0870701j -0.0161658-0.0547559j 0.0180235-0.183381j 0.168337+0.0318943j 
-0.186997+0.0573794j -0.0639681-0.220363j 0.186211-0.235878j -0.341135+0.0415374j 0.177791+0.275344j -0.0887075+0.0164165j 0.292032-0.1648j 0.2652+0.36048j -0.0385872-0.265015j 0.215445-0.199078j 0.0888385+0.0102011j -0.146438+0.073407j 0.0276492-0.107778j 0.00159986+0.0304845j -0.0995924-0.00970329j 0.0481506+0.0784885j -0.00172566-0.0467513j 0.0415356-0.0191388j 
-0.0122297-0.00389668j 0.00265082-0.0124569j 0.012209+0.0201268j 0.0104663-0.00642286j 0.00782243-0.00246335j 0.00793767+0.00546004j -0.00801572-0.00983934j 0.00416571-0.00555568j 0.0132046-0.0134741j -0.0178235-0.0113626j 0.00246728-0.0209732j -0.00664634+0.0133123j 0.00169758-0.0196086j 0.0116733-0.00756124j -0.00329448-0.0263898j -0.0288965-0.00381758j 0.0119428+0.0268453j 0.00525583+0.000158009j 
-0.158791+0.196901j -0.192617-0.187459j -0.0705278+0.112293j 0.116293+0.0539101j -0.221069-0.0531713j -0.00612485+0.00715627j 0.00180281+0.142459j -0.07883-0.184593j -0.0794545+0.0205221j 0.00442389-0.071984j 0.138423+0.0880629j 0.021032-0.177263j -0.205539+0.0527477j 0.129652+0.0655535j 0.162334-0.217176j -0.140219-0.088793j 0.000293318-0.322335j 0.32121-0.035948j 
0.0406287-0.0129504j 0.012369+0.0415476j 0.0208164+0.0131083j -0.0160369-0.0216722j 0.0361517+0.0277821j -0.00667293+0.0191138j 0.0146373-0.0349557j -0.00574223+0.00974491j 0.017539-0.0380615j -0.0113822+0.0113489j -0.0150237+0.0116273j 0.00489997+0.0370513j 0.0415333-0.0138454j -0.0471564-0.00245123j 0.00288197+0.0698554j 0.0756223+0.0124864j 0.00236936+0.0508143j -0.030298-0.0056172j 
-0.0668365+0.0598442j -0.0528052-0.079596j -0.00315129+0.0173467j 0.0483232+0.0348461j -0.0621123+0.00753721j -0.00963712-0.0257816j 0.0592755+0.0353486j 0.0156279-0.0377899j -0.0577293-0.0436397j 0.0339185-0.0282204j 0.0378507+0.0351902j 0.00644657-0.0645955j -0.0713598+0.00896374j 0.0404164+0.027843j 0.0529698-0.0730326j -0.0304224-0.0104209j -0.0113668-0.123437j 0.0922169-0.0358422j 
-0.00677747-0.0258261j 0.0256429+0.00803756j -0.0164703+0.0326522j 0.00785248+0.0136926j 0.0265174+0.0244125j 0.00744155-0.00202502j 0.00310105-0.0204708j -0.00529848-0.000174413j 0.0263662-0.00165723j -0.00530178-0.0305142j 0.066814-0.00861582j -0.012518-0.0204932j -0.00108322-0.000795371j 0.0384201+0.0307023j 0.0290254-0.0128897j 0.000614152-0.0494139j -0.00700185+0.0240289j -0.0312766-0.0103899j 
0.0231358-0.027422j 0.0176342+0.0234955j 0.0546874-0.0110606j 0.0205968-0.0219232j 0.00868514+0.0361271j 0.0274587-0.0181492j 0.0117293-0.00301178j 0.0380224-0.00518988j 0.0257202+0.0271216j -0.0543297-0.0092262j -0.0248156-0.0374384j -0.0100513+0.0435618j 0.0317336-0.0193031j -0.00962757-0.0457105j -0.0156409+0.017407j 0.022551-0.0183825j 0.0277845+0.0447048j -0.0283888+0.0437368j 
0.0196737+0.00774618j -0.00266717+0.0234538j 0.00298767+0.0324408j 0.0130662-0.0027897j 0.0129302+0.0134714j -0.0308041+0.0218195j 0.0195009-0.011049j -0.0165604+0.00629459j -0.0105715-0.0189553j 0.00830193+0.0117666j -0.00347701+0.0191274j 0.0232116+0.0172838j 0.00733832+0.0282852j -0.0392359+0.0181349j 0.00804862+0.0575326j 0.0393124-0.0116899j -0.0181984+0.00419264j -0.00155893+0.0132755j 
-0.0326043+0.067736j -0.0576309-0.0308526j 0.00155523+0.0141061j -0.01103-0.00634606j -0.0293338+0.015204j -0.00580344+0.0185415j 0.0106312+0.0312036j -0.0145675-0.00530354j 0.00631374-0.0054793j -0.039916-0.0241957j 0.0506584+0.0213681j -0.0343281-0.00675189j -0.022333+0.00163209j 0.0150575-0.0201018j 0.0554832-0.0266979j 0.0398671-0.0451082j 0.0219039-0.0896026j 0.0643897+0.0159846j 
0.00424196-0.00579266j -0.0139609-0.00547779j 0.00827474+0.00168273j -0.00443584+0.00254556j -0.00704061-0.000624022j -0.00762266+0.0218755j -0.0115962-0.000286442j -0.00746612-0.0114736j -0.00174218-0.00538482j 0.0204435+0.0105634j -0.0237273-0.0182979j -0.0148429+0.00382265j -0.0224496-0.0297162j -3.95407e-05-0.0246541j -0.0138611-0.0181699j 0.0060503-0.0141697j 0.00247065+0.00932985j 0.00230055+0.0023571j 
