-0.080201+0.0487919j -0.0528639+0.0421771j -0.0959151-0.0221241j 0.0526947+0.0136643j -0.0343711-0.0108127j 0.0220111+0.00436062j 0.0492259+0.0148716j -0.0445999-0.0696505j -0.00367127+0.0217184j -0.000787859+0.00300576j -0.0111768-0.0234787j -0.0285101-0.0224787j 0.00783071+0.0576597j -0.00158935+0.0238554j -0.00378836+0.0239521j -4.7835e-05-0.0120488j -0.00222741-0.0122309j -0.00522951+0.0042661j 0.0155511+0.00214699j 0.0111214+0.0139203j 0.00108721+0.0220525j -0.00571778+0.00440208j -0.0173667+0.0235773j -0.00980953+0.00617882j 0.00259037+0.0166957j 0.00748503-0.0407599j 0.0030636-0.00443844j 0.0106625+0.0460004j -0.00755818+0.00202637j 0.0127672-0.0110129j -0.0159414+0.0308488j 0.0081367-0.0168243j -0.0293887+0.0115782j -0.035111+0.029033j 0.00623633+0.00124414j -0.00856199+0.0279468j 0.0134447-0.00657556j 0.00543211-0.0165738j 0.0422392-0.0651322j -0.0123784+0.00517939j -0.0292243-0.0139108j -0.000163383-0.0387197j -0.0488709+0.0387892j -0.0478833+0.0188141j -0.133536+0.0524963j 0.0542349+0.134269j -0.0970146-0.0338515j -0.00627432-0.0705583j -0.0993682-0.0354428j -0.0617952+0.0725559j -0.0173821+0.114396j 0.00833644-0.00561326j 0.0571546+0.0222212j 0.034922-0.125303j -0.0258545+0.0125405j -0.102356+0.133531j 
0.0521028-0.0431538j -0.0814006+0.0493713j -0.0505125-0.00832041j -0.0939147-0.0222695j -0.0134949-0.0223791j 0.0429945+0.00957585j -0.0513042-0.0594254j -0.0285667-0.0153487j -0.00534626-0.0418748j -0.0226157-0.0213936j 0.0115544+0.020311j 0.0131466+0.0389769j 0.0156484+0.0275151j -0.0148807+0.00264099j -0.0122103+0.00951239j 0.00861599-0.00589973j 0.00433126-0.0168631j -0.0158499-0.00267316j -0.00555417-0.052235j -0.00525649+0.0152582j 0.0105006-0.0448847j 0.00661465-0.00602636j 0.0191533+0.0342154j -0.00177233+0.0240856j 0.0122085-0.0116623j -0.00679267+0.0117843j -0.00449185+0.00872589j -0.00476306+0.0482286j 0.0026454+0.00635873j -0.0147854-0.00745263j 0.0246435-0.0344807j -0.0129014-0.0083205j -0.0167625+0.0162088j -0.00610032+0.0339171j -0.00688915-0.0306741j -0.0119383+0.0141454j -0.0379235+0.0239522j -0.0196138-0.0191551j -0.0264128+0.0105707j -0.0243366+0.0313795j -0.0348602+0.00983577j -0.0280992+0.034876j 0.0181943+0.0168843j -0.0156052+0.0746223j 0.0499936+0.0695377j 0.182068-0.0230954j 0.0281036+0.112733j -0.0163414-0.0244359j -0.0109909+0.0606644j 0.0574394+0.126259j 0.0531694-0.0510526j 0.067583-0.0387276j 0.0224464-0.125129j -0.0625543-0.0354369j -0.100303+0.134106j 0.0260608-0.00995228j 
0.0241406-0.103551j -0.00920731+0.0708022j -0.0179769+0.036403j -0.00713113+0.00587103j 0.0484421+0.00633252j -0.0285716-0.0173439j -0.0292575+0.00558172j -0.086698+0.0164943j 0.090672+0.0510688j 0.0374725-0.0214166j -0.0569154-0.0145296j 0.0278779+0.0300067j 0.0275642+0.0576107j 0.0147771-0.0697671j -0.0235037-0.0829589j 0.0290559+0.0236093j 0.0071756+0.0278255j -0.0472191-0.0110948j -0.024113-0.0272435j -0.0430569-0.0489525j 0.0294109+0.0488545j -0.048703+0.0411281j -0.0227774+0.0419304j 0.00154503+0.0402496j 0.0232427+0.0501112j 0.0235012+0.0143598j -0.0301292-0.0602755j 0.0116069+0.0250832j 0.00497742+0.00584733j -0.0380935-0.0541637j 0.0104824-0.0339893j -0.0574057-0.0433841j -0.0207465+0.0309261j -0.0222481+0.0551843j 0.103116-0.0307925j -0.0688701-0.023743j -0.0732472-0.0753006j 0.0557865+0.0144686j 0.0288133-0.0742061j 0.0217203+0.0168242j -0.00761819+0.0230236j -0.0193512-0.0578239j 0.0602676-0.0982321j 0.151131-0.0529242j -0.114375-0.0724517j -0.0279847-0.0466862j 0.020429+0.0687856j -0.083749-0.0497024j 0.0628451+0.0312492j 0.029846+0.0482985j -0.0344635-0.0370745j -0.189315+0.152144j -0.00777383+0.00672942j 0.141654-0.024331j 0.303642+0.260013j -0.190296+0.165403j 
0.00201138-0.083209j 0.02184-0.103276j 0.00868449+0.0119109j -0.0037533+0.0424244j -0.0482224+0.0186375j -0.110416+0.0125444j -0.0586618+0.00898278j -0.0492524-0.00903559j 0.00691413+0.0188076j 0.0163145-0.019653j -0.0521531-0.0104142j 0.0424564+0.0244568j 0.00693052+0.0322664j 0.0377764+0.0561638j 0.0215109+0.042697j 0.01199-0.00510502j 0.00558826-0.0135299j 0.0186235+0.0235601j -0.0116468-0.0274657j -0.0302566+0.0184527j -0.017939-0.0718882j 0.0358464+0.053351j 0.00884341+0.0121462j -0.00706867+0.00505894j -0.0107508-0.0299557j -0.0227346+0.047064j 0.0139663+0.00808614j 0.0759413-0.069919j 0.0197108-0.0059644j 0.0195583+0.00585616j -0.0644926-0.00923046j 0.0198728+0.0114672j -0.0359717-0.0106382j 0.0216224+0.0104365j -0.0565026-0.046973j -0.0274251+0.041553j -0.119309+0.0788318j 0.011786-0.0176283j -0.031612+0.00229322j -0.0265186+0.0313403j 0.0384452+0.120784j -0.0130306-0.026783j -0.0879183+0.0476991j -0.0950042-0.190681j -0.0432372+0.0755433j -0.0395589+0.013054j 0.121693-0.0506903j -0.163635+0.0212581j -0.0084335+0.0654331j -0.0442241+0.00808168j -0.141049+0.02455j 0.129066+0.108059j 0.0571519+0.0153399j -0.0369225-0.111063j -0.185583+0.175822j -0.325851-0.259555j 
-0.0295712+0.035097j -0.0507774-0.0358639j -0.0658325+0.0572508j 0.0139326+0.0494207j -0.0892013+0.0867437j -0.117116+0.0687785j -0.036053-0.0160737j -0.0532767+0.0100195j 0.0607172+0.024449j 0.0136723-0.0595683j -0.0255432+0.0385595j 0.0408763+0.00451229j -0.00144377+0.0120891j -0.00665194-0.0389159j -0.0844342+0.00564399j 0.00165521-0.00343411j -0.00451737+0.0144802j -0.0603714+0.0620382j 0.0329708+0.0355532j -0.10037+0.00989802j 0.0334647-0.00388397j 0.0196895+0.0682883j -0.0624667-0.0207908j -0.044715-0.00177363j 0.0246035-0.0298359j -0.0304247-0.0245568j -0.0627191+0.0472496j 0.0207346+0.043338j 0.0194141+0.00843035j -0.0131729+0.00461247j 0.00796097-0.0338367j 0.0317044-0.0377829j -0.0394193-0.0385365j 0.00611129+0.0117894j 0.100258+0.0328511j 0.0121718+0.0380938j 0.086273+0.039185j 0.0188461-0.0570485j 0.0641937-0.0441937j -0.00349369+0.0957337j 0.0646164-0.237845j 0.0120981-0.0827128j -0.193668+0.0250366j -0.117171+0.0152519j 0.125989-0.0274861j 0.0461084-0.10947j 0.00955248-0.0417179j 0.118358+0.0360084j 0.0179804+0.0895762j -0.0490902+0.0301554j 0.107674+0.0298776j -0.146581+0.014961j -0.170696-0.38505j 0.294552-0.188884j -0.148345-0.0182067j -0.00983527+0.000513884j 
0.0450106-0.0481163j -0.0322867+0.0508572j -0.0212917+0.00873464j -0.0872433+0.0647761j -0.0775696+0.0631051j 0.0149057+0.00959588j 0.0162906-0.0588834j 0.0293134+0.00956594j -0.0638241-0.0224418j 0.0466706-0.0234355j 0.0354156+0.0527679j -0.0412256-0.037203j -0.0141586-0.0509196j 0.0291365+0.0441251j 0.0701919-0.00692163j -0.0428084-0.0264431j -0.0386853-0.0140105j 0.0474752+0.0119309j 0.0532933-0.00722498j -0.0377584-0.00982003j -0.0343248-0.0170215j 0.034804-0.0194104j 0.0937576+0.0426714j -0.0777514+0.028367j 0.0704568+0.0108098j -0.00841077+0.0587133j 0.0221253-0.0218057j -0.0709661-0.0189018j 0.00582837+0.0417232j 0.00850392-0.0843353j -0.0383677+0.0908423j 0.00161085-0.0909249j -0.0306485-0.0274919j 0.00668525+0.0475118j 0.024972-0.113395j -0.00290986+0.122933j 0.169976-0.126057j -0.0448356-0.00874338j -0.146174+0.0350242j 0.0181085+0.190529j -0.10356-0.00675624j -0.20115+0.109737j 0.0512902+0.115759j -0.0199935-0.0707036j -0.0326625-0.0965826j -0.0725124-0.0593527j -0.0505769-0.0198678j -0.0198154-0.0216147j 0.0619861+0.0281183j 0.0277835-0.0491603j -0.0826002-0.140149j 0.0919256+0.174057j 0.218097-0.0956535j -0.0499732+0.232018j -0.0579726+0.0862191j 0.0776989-0.0793863j 
-0.00379325+0.0673308j -0.00820552+0.104083j -0.0600025+0.00352464j 0.0227036-0.0536491j 0.00975659-0.0453459j -0.0252662+0.038952j -0.00969345+0.00951492j -0.016451-0.0388579j 0.0394911-0.0424421j 0.00350143-0.0213249j 0.0447644-0.0725267j -0.0280391-0.0384911j -0.0719548-0.0015293j 0.0338175+0.00280354j -0.0206942+0.0283559j -0.0698231-0.00275721j 0.0285213-0.050248j -0.0208013-0.00922337j 0.0255625+0.0137214j 0.0428556+0.0525149j -0.03693-0.0188458j 0.00188118-0.108259j 0.00256319-0.0790528j 0.0112998-0.011248j -0.000871756-0.00576752j 0.0205822+0.063307j 0.00022842+0.0198219j -0.0241374-0.121509j -0.0329523-0.0073279j 0.040312-0.0249119j -0.0224175-0.0172549j 0.0391215-0.0986135j -0.0610067-0.0928827j 0.020126+0.16096j -0.0122466-0.0788602j -0.0325182-0.0347309j -0.032824+0.112316j 0.068597-0.0122573j -0.0751225-0.0802396j -0.277408+0.00166489j 0.153734-0.0803031j -0.0619825-0.139648j -0.0538957+0.0241736j 0.121225+0.0554364j -0.0735278-0.00963808j -0.0782299-0.0244937j 0.0237579+0.0820425j -0.0541688-0.0320658j -0.0551256-0.00212257j 0.11744+0.147878j -0.0794318-0.229449j 0.0922231-0.00365896j 0.251066+0.0190882j 0.0745801+0.0801255j 0.0286777+0.108515j -0.0407937+0.120965j 
0.0317256+0.0827894j -0.0317369-0.0487215j 0.0163251-0.0288675j 0.0208328+0.0903827j -0.0221635+0.102056j -0.012106+0.00231777j -0.00741814-0.0317715j 0.0453209+0.0210429j 0.0462261-6.31517e-05j -0.0405547-0.0133087j 0.0278784+0.0606168j 0.0531146-0.00191649j 0.0249038+0.0157599j -0.0861544-0.0393874j -0.0796789+0.014425j 0.0238733-0.00994773j -0.0535784+0.0436926j -0.0573423+0.0271804j -0.00753734+0.0187954j 0.0190406+4.04534e-05j -0.0185096+0.00319245j -0.00724756+0.000200549j -0.041705-0.0378023j -0.0236181-0.0285123j -0.0510758+0.0139107j -0.018444-0.00629851j 0.0443823+0.0124344j -0.00862377-0.0705747j 0.0180022-0.0220956j 0.0519887+0.0876072j 0.0606554+0.0316882j 0.107987+0.0380761j -0.00345926-0.0320075j -0.10532+0.0387969j 0.0917864+0.03572j 0.0728586+0.194228j -0.0665306+0.0615718j 0.00919167+0.00321949j -0.140342-0.0719305j 0.175367-0.0529473j 0.0347582+0.0925151j 0.0438444+0.0226064j 0.0807222+0.12444j 0.165776+0.178244j -0.0685909-0.164577j 0.000109684+0.0391883j -0.0499749-0.111169j -0.0794452-0.0909331j 0.0285494-0.0750925j -0.0475866+0.22598j -0.0166903-0.123368j 0.0817032+0.147023j 0.0175881-0.162558j 0.302552+0.210508j 0.0188504-0.0435325j 0.0810372+0.068321j 
0.0189755+0.00699665j 0.0564231+0.0349532j 0.00752183-0.0606298j 0.0604192-0.000509185j 0.0746877+0.0203535j 0.0133594+0.0125723j 0.0513708-0.0440157j 0.0267126-0.00814245j 0.0512609-0.0611464j 0.0826607-0.0865226j 0.0662879+0.0192367j 0.0156644-0.0677158j -0.0112609+0.0807221j -0.0216006+0.0557529j 0.0125728+0.0251486j 0.000551727-0.0507506j -0.100817-0.0336834j -0.0317746+0.0166896j -0.0282467-0.0342471j 0.039042+0.00728223j -0.0862669-0.091279j -0.0772009-0.00655709j 0.00655363+0.0429051j -0.0388095-0.00676659j 0.0291574+0.094819j 0.0397364+0.0169728j -0.0771551-0.0657069j 0.0736463-0.0239072j -0.0339813+0.0616486j -0.025274+0.00378181j 0.0284035-0.0769137j -0.0130604-0.094142j -0.180808-0.0167754j 0.00772949-0.00934178j -0.000304213-0.0263952j 0.007181+0.0193907j 0.0326227-0.166209j 0.0777397-0.036689j 0.0471174+0.16476j -0.0477463-0.0479695j -0.00453799-0.150718j 0.0877121+0.070044j 0.044598+0.0980887j -0.00647222-0.180509j -0.0215896+0.0623762j -0.0279472-0.0919232j -0.132955-0.0386972j 0.0205078+0.0972095j -0.0432816+0.17494j -0.131397-0.140492j 0.0710594+0.185369j -0.174163+0.107117j 0.149996+0.0942987j 0.0525727+0.0129315j 0.048977-0.0070879j -0.0411052-0.0485617j 
-0.0294019+0.0198842j -0.0199326-0.0145838j -0.0361614-0.0120161j 0.0250312+0.017977j -0.0134636+0.0174528j 0.00752103-0.0745306j 0.000297249-0.0329168j -0.0395064-0.0147396j -0.0713981+0.0714764j 0.0413679+0.024287j -0.114306+0.0460717j 0.0397325+0.0543727j 0.0454742+0.0613929j 0.0283211+0.0268837j 0.0871857-0.0207307j 0.076551-0.0216023j 0.0156802+0.0197528j -0.00329742-0.0142972j -0.00387281-0.0252254j 0.0310739-0.0264644j 0.0517185+0.0393492j 0.00979886-0.0296803j 0.0584392-0.00786145j 0.0174556+0.042551j 0.0836265+0.0423195j 0.0369782+0.0447227j -0.09243-0.0420149j -0.15273-0.0843222j 0.0492194+0.0642781j 0.0193049+0.157579j -0.0713091-0.0525923j -0.0656393+0.172224j -0.176775+0.0937065j 0.00693871-0.044384j -0.0927284-0.0916884j 0.199136+0.055526j -0.0916796-0.0215583j 0.0119771+0.0449478j -0.0323783-0.00966555j -0.139751-0.124598j -0.0870251-0.0841628j -0.00754529+0.0307436j 0.0150733-0.0128148j -0.0675878+0.101879j -0.0668554-0.0706999j 0.0445604-0.0514975j -0.103885-0.0276361j -0.00220149-0.0912089j -0.163185-0.0234542j 0.0874076+0.130311j -0.0193111+0.0517619j 0.196433-0.0241001j 0.081187+0.00949866j -0.0208346+0.00723194j -0.0639609-0.0653698j -9.72646e-05+0.0218757j 
0.0321256-0.0423591j 0.00270884-0.0444748j 0.0291202-0.0581107j 0.0168873+0.0734681j 0.00756334+0.042756j -0.0139943-0.0363809j 0.00563312-0.0047635j 0.0162093+0.036381j 0.0560949-0.0408835j -0.0139182+0.0128341j 0.0522214+0.019896j -0.0182225-0.00196534j 0.00614387-0.0192432j 0.010417+0.0137357j -0.0177598+0.0358595j -0.0359045-0.0258822j -0.0655565-0.000757817j 0.0207067-0.0366294j -0.0493058-0.039553j 0.0473648+0.00540555j 0.00367429-0.0408108j -0.0363795+0.00598894j 0.0262525+0.0366986j 0.10492+0.0157163j -0.0199688-0.111569j -0.0119065-0.0100683j 0.0876726+0.0256825j 0.0043344-0.0490844j -0.0273459+0.114464j -0.0197311-0.110781j -0.0280179-0.0212119j -0.0584317+0.0271094j -0.122695-0.124202j 0.0574747-0.0369893j 0.0561388-0.0231291j 0.144332+0.0786012j -0.0908554-0.0678515j -0.0957973+0.0411372j -0.0321435+0.0180779j -0.0195794-0.232189j 0.224959-0.122711j 0.0837598-0.0929059j -0.0430789+0.00101387j -0.0128261-0.0122997j 0.118417+0.113798j 0.0226449-0.11767j -0.081396-0.0171439j -0.0232337+0.127472j -0.00116508+0.136573j 0.0633932-0.0361212j 0.10474+0.0529383j 0.00337845+0.0209859j 0.0378867+0.00686217j 0.027279+0.0687123j 0.0243399+0.00438497j -0.0215713-0.0694609j 
