-3.97258-0.158064j 
-4.5379-0.206351j 
-5.29028-0.280658j 
-6.3405-0.403649j 
-7.90767-0.629272j 
-10.4922-1.11326j 
-15.5223-2.47045j 
-28.9025-9.19997j 
0-200j 
28.9025-9.19997j 
15.5223-2.47045j 
10.4922-1.11326j 
7.90767-0.629272j 
6.3405-0.403649j 
5.29028-0.280658j 
4.5379-0.206351j 
3.97258-0.158064j 
