0-0j 
0-0j 
0-0j 
0-0j 
0-0j 
0-0j 
0-0j 
0-0j 
-200-0j 
0-0j 
0-0j 
0-0j 
0-0j 
0-0j 
0-0j 
0-0j 
0-0j 
