-0.0586083-0j -0.0103606-0j -0.000863382-0j -0.0509611-0j -0.00849351-0j -0.00520119-0j -0.00106169-0j -6.25606e-05-0j 0.031515-0j -0.0323607-0j 0.0050857-0j -0.00522218-0j 0.00415246-0j -0.00426389-0j 0.000599356-0j 0.000519058-0j -0.00061544-0j -0.000532986-0j 6.11715e-05-0j -6.2813e-05-0j 2.79209e-06-0j -2.86701e-06-0j -0.0237233-0j 0.0288852-0j -0.0171244-0j -0.00375098-0j 0.00456715-0j -0.00296541-0j -0.0027076-0j -0.00197694-0j -0.00042802-0j 0.00361065-0j 0.0024071-0j -0.000494235-0j -0.00214055-0j 0.000521152-0j -0.000174738-0j -0.00142703-0j -4.11863e-05-0j -0.000308961-0j -4.36846e-05-0j 0.000601774-0j 0.000212759-0j -0.000356758-0j 5.01479e-05-0j -3.64039e-06-0j -0.000126133-0j 5.31898e-05-0j -2.97298e-05-0j -1.35669e-07-0j 4.43249e-06-0j -3.15332e-05-0j 1.65189e-07-0j -2.62777e-06-0j -9.79312e-08-0j 
0.0592157-0j 0.010468-0j 0.000872329-0j -0.0500234-0j -0.00833723-0j -0.00510549-0j -0.00104215-0j -6.14095e-05-0j 0.0323607-0j -0.0326828-0j 0.00522218-0j -0.00527416-0j 0.00426389-0j -0.00430633-0j 0.00061544-0j 0.000532986-0j -0.000621565-0j -0.000538291-0j 6.2813e-05-0j -6.34382e-05-0j 2.86701e-06-0j -2.89555e-06-0j 0.0239691-0j -0.0288159-0j 0.0158452-0j 0.00378985-0j -0.0045562-0j 0.00299614-0j 0.00250535-0j 0.00199743-0j 0.000432456-0j -0.00360199-0j -0.00240133-0j 0.000499357-0j 0.00198065-0j -0.000519903-0j 0.000176549-0j 0.00132044-0j 4.16131e-05-0j 0.000285883-0j 4.41373e-05-0j -0.000600332-0j -0.000212249-0j 0.000330109-0j -5.00276e-05-0j 3.67811e-06-0j 0.000116711-0j -5.30623e-05-0j 2.75091e-05-0j 1.37075e-07-0j -4.42186e-06-0j 2.91778e-05-0j -1.64793e-07-0j 2.43148e-06-0j 9.0616e-08-0j 
0.00686379-0j -0.057395-0j -0.014551-0j 0.0059682-0j -0.0470519-0j 0.000609127-0j -0.0118873-0j -0.00140826-0j 0.00375098-0j 0.00378985-0j -0.0286328-0j -0.0289295-0j 0.000494235-0j 0.000499357-0j -0.00682015-0j -0.00292232-0j -0.00689083-0j -0.00295261-0j -0.00104776-0j -0.00105862-0j -7.99272e-05-0j -8.07555e-05-0j -0.00554187-0j 0.00343798-0j 0.00200549-0j 0.0414487-0j -0.0257133-0j -0.000692734-0j -0.0149994-0j -0.000461823-0j 0.00955932-0j 0.000429747-0j 0.000286498-0j 0.00546135-0j 0.000250686-0j -0.00593025-0j -4.08197e-05-0j 0.000167124-0j 0.00138458-0j -0.00345931-0j 0.000975644-0j -0.00338802-0j 2.53231e-05-0j -0.00197635-0j -0.000858943-0j 0.000163458-0j 1.47718e-05-0j -0.000605254-0j -0.00050105-0j 9.15341e-06-0j -0.000101403-0j -0.000353065-0j -5.67844e-06-0j -5.91519e-05-0j -3.31243e-06-0j 
-0.00849351-0j 0.0710226-0j 0.0180059-0j -0.000105121-0j 0.000828746-0j -1.07288e-05-0j 0.000209377-0j 2.48043e-05-0j 0.00456715-0j 0.0045562-0j -0.0348629-0j -0.0347793-0j 0.000601774-0j 0.000600332-0j -0.00830413-0j -0.00355818-0j -0.00828422-0j -0.00354965-0j -0.00127574-0j -0.00127268-0j -9.73184e-05-0j -9.70851e-05-0j -0.00343798-0j 5.95833e-05-0j 0.00485735-0j 0.0257133-0j -0.000445635-0j -0.000429747-0j -0.0363291-0j -0.000286498-0j 0.00593025-0j 7.44791e-06-0j 4.96528e-06-0j 0.00338802-0j 0.000607169-0j -0.000102777-0j -2.53231e-05-0j 0.00040478-0j 0.000858943-0j -0.00837858-0j 0.000605254-0j -5.87175e-05-0j 4.38873e-07-0j -0.00478678-0j -1.48863e-05-0j 0.000101403-0j 3.57778e-05-0j -1.04896e-05-0j -0.00121356-0j 5.67844e-06-0j -1.75741e-06-0j -0.000855135-0j -9.84127e-08-0j -0.000143268-0j -8.0228e-06-0j 
0.00495455-0j -0.0414299-0j -0.0105034-0j -0.00843219-0j 0.0664774-0j -0.000860607-0j 0.016795-0j 0.00198966-0j 0.0027076-0j 0.00250535-0j -0.0206682-0j -0.0191244-0j 0.000356758-0j 0.000330109-0j -0.00492305-0j -0.00210944-0j -0.00455531-0j -0.00195187-0j -0.000756312-0j -0.000699818-0j -5.76945e-05-0j -5.33849e-05-0j 0.00200549-0j -0.00485735-0j 0.00560512-0j -0.0149994-0j 0.0363291-0j 0.000250686-0j -0.0419218-0j 0.000167124-0j -0.00345931-0j -0.000607169-0j -0.00040478-0j -0.00197635-0j 0.00070064-0j 0.00837858-0j 1.47718e-05-0j 0.000467094-0j -0.00050105-0j -0.00966842-0j -0.000353065-0j 0.00478678-0j -3.57778e-05-0j -0.00552368-0j 0.00121356-0j -5.91519e-05-0j 4.12856e-05-0j 0.000855135-0j -0.00140038-0j -3.31243e-06-0j 0.000143268-0j -0.000986779-0j 8.0228e-06-0j -0.000165323-0j -9.25788e-06-0j 
0.00417687-0j -0.0710419-0j 6.15311e-05-0j 0.00363187-0j 0.000605312-0j -0.0716992-0j -0.00727993-0j 4.45854e-06-0j 0.00228261-0j 0.00230626-0j 0.000368355-0j 0.000372172-0j -0.0289373-0j -0.0292372-0j 4.3411e-05-0j -0.00727193-0j 4.38609e-05-0j -0.00734729-0j -0.000426287-0j -0.000430705-0j 2.02229e-07-0j 2.04325e-07-0j 0.0016907-0j 0.00209214-0j 0.00122041-0j 0.000267323-0j 0.000330796-0j -0.0203336-0j 0.000192964-0j 0.000140892-0j 3.0504e-05-0j -0.0251616-0j 0.000174345-0j -0.00338894-0j -0.0146776-0j 3.77467e-05-0j -0.00361942-0j 0.000101701-0j 2.93524e-06-0j 2.20189e-05-0j -0.000602199-0j -0.0041936-0j -0.0044788-0j -0.00244627-0j 3.63218e-06-0j -2.49619e-05-0j -0.00261263-0j -0.000745183-0j 2.11877e-06-0j 9.66881e-09-0j -3.08888e-05-0j -0.00043469-0j 1.19645e-08-0j -1.80184e-05-0j 6.97932e-09-0j 
-0.00060288-0j 0.0101891-0j -0.121762-0j -0.000524215-0j 0.00835294-0j -5.35025e-05-0j -0.0488619-0j -0.0177694-0j -0.000329466-0j -0.000332881-0j 0.00508307-0j 0.00513575-0j -4.3411e-05-0j -4.38609e-05-0j -0.0280337-0j 0.000518789-0j -0.0283243-0j 0.000524165-0j -0.00876761-0j -0.00885846-0j -0.00134798-0j -0.00136195-0j -0.000244032-0j -0.000301974-0j -0.000176151-0j 0.0036889-0j 0.00456478-0j -3.0504e-05-0j 0.00266279-0j -2.0336e-05-0j -0.0196987-0j -3.77467e-05-0j -2.51645e-05-0j 0.000486055-0j -2.20189e-05-0j -0.0243759-0j -1.79746e-06-0j -1.46793e-05-0j -0.00580846-0j -0.0142193-0j -0.00201049-0j 0.000601463-0j -2.22425e-06-0j 0.000350853-0j -0.0071876-0j -0.001034-0j -1.29748e-06-0j -0.00248785-0j -0.00419277-0j -9.68743e-05-0j -0.00127951-0j -0.00145125-0j -0.000119876-0j -0.000746379-0j -6.99275e-05-0j 
-0.00487302-0j 0.0828822-0j -7.17863e-05-0j -6.03113e-05-0j -1.00519e-05-0j 0.00119065-0j 0.000120892-0j -7.40392e-08-0j -0.00266305-0j 0.00261405-0j -0.000429747-0j 0.00042184-0j 0.0337602-0j -0.0331391-0j -5.06462e-05-0j 0.00848392-0j 4.97143e-05-0j -0.00832782-0j 0.000497335-0j -0.000488184-0j -2.35934e-07-0j 2.31593e-07-0j 0.00393451-0j -3.47423e-05-0j 0.00278683-0j 0.0006221-0j -5.49324e-06-0j -0.0473193-0j 0.000440636-0j 0.000327875-0j 7.09871e-05-0j 0.000417837-0j -2.89519e-06-0j -0.00788655-0j -0.0335165-0j -6.26827e-07-0j -0.00842291-0j 0.000232236-0j 6.83074e-06-0j 5.02805e-05-0j -0.0014014-0j 6.96394e-05-0j 7.43756e-05-0j -0.00558608-0j -6.03165e-08-0j -5.80899e-05-0j -0.00596599-0j 1.23746e-05-0j 4.83825e-06-0j 2.25007e-08-0j 5.12943e-07-0j -0.000992621-0j -1.98685e-10-0j -4.11454e-05-0j 1.59374e-08-0j 
-0.0029841-0j 0.0507548-0j -4.396e-05-0j -0.00259473-0j -0.000432456-0j 0.0512244-0j 0.00520104-0j -3.18534e-06-0j 0.00484001-0j -0.00164768-0j 0.000781053-0j -0.000265892-0j -0.0613582-0j 0.0208881-0j 9.2048e-05-0j -0.0154193-0j -3.13357e-05-0j 0.00524916-0j -0.000903892-0j 0.00030771-0j 4.28803e-07-0j -1.45977e-07-0j -0.00120789-0j 0.00443613-0j -0.000871905-0j -0.000190985-0j 0.000701413-0j 0.014527-0j -0.00013786-0j -0.000100658-0j -2.17931e-05-0j -0.0533522-0j 0.000369677-0j 0.00242117-0j 0.0104862-0j 8.00375e-05-0j 0.00258584-0j -7.26587e-05-0j -2.09704e-06-0j -1.57311e-05-0j 0.000430231-0j -0.00889203-0j -0.00949677-0j 0.0017477-0j 7.70161e-06-0j 1.78336e-05-0j 0.00186656-0j -0.00158007-0j -1.51372e-06-0j -6.90773e-09-0j -6.5496e-05-0j 0.000310558-0j 2.53694e-08-0j 1.2873e-05-0j -4.98626e-09-0j 
0.000703359-0j -0.0118873-0j 0.142056-0j 8.70519e-06-0j -0.00013871-0j 8.8847e-07-0j 0.000811408-0j 0.000295082-0j 0.000384377-0j -0.000377305-0j -0.00593025-0j 0.00582114-0j 5.06462e-05-0j -4.97143e-05-0j 0.032706-0j -0.000605254-0j -0.0321043-0j 0.000594117-0j 0.0102289-0j -0.0100407-0j 0.00157264-0j -0.00154371-0j -0.000567897-0j 5.01462e-06-0j -0.000402244-0j 0.00858461-0j -7.58034e-05-0j -7.09871e-05-0j 0.00608052-0j -4.73247e-05-0j -0.0458417-0j 6.26827e-07-0j 4.17885e-07-0j 0.00113112-0j -5.02805e-05-0j 0.000404789-0j -4.18296e-06-0j -3.35204e-05-0j -0.0135171-0j -0.0324699-0j -0.0046787-0j -9.98797e-06-0j 3.69361e-08-0j 0.000801179-0j 0.000119358-0j -0.00240626-0j -2.96281e-06-0j 4.13136e-05-0j -0.00957425-0j -0.00022544-0j 2.12477e-05-0j -0.00331395-0j 1.99067e-06-0j -0.00170437-0j -0.000159681-0j 
0.00426389-0j -0.0725219-0j 6.2813e-05-0j -0.00360199-0j -0.000600332-0j 0.0711093-0j 0.00722004-0j -4.42186e-06-0j -0.00229279-0j -0.00235336-0j -0.000369997-0j -0.000379771-0j 0.0290663-0j 0.0298342-0j -4.36045e-05-0j 0.00730435-0j -4.47565e-05-0j 0.00749732-0j 0.000428188-0j 0.0004395-0j -2.03131e-07-0j -2.08497e-07-0j 0.00172592-0j 0.00204164-0j 0.00114095-0j 0.000272892-0j 0.000322811-0j -0.0207572-0j 0.000180401-0j 0.000143827-0j 3.11395e-05-0j -0.0245543-0j 0.000170137-0j -0.00345954-0j -0.013722-0j 3.68356e-05-0j -0.00369482-0j 9.50795e-05-0j 2.9964e-06-0j 2.05853e-05-0j -0.000614744-0j -0.00409238-0j -0.0043707-0j -0.00228699-0j 3.54451e-06-0j -2.54819e-05-0j -0.00244253-0j -0.000727197-0j 1.98082e-06-0j 9.87024e-09-0j -3.01432e-05-0j -0.000406388-0j 1.16758e-08-0j -1.68453e-05-0j 6.52491e-09-0j 
0.000430718-0j -0.00727946-0j 0.086991-0j 0.000374518-0j -0.00596763-0j 3.8224e-05-0j 0.0349086-0j 0.0126951-0j -0.000698595-0j 0.000237821-0j 0.0107781-0j -0.00366916-0j -9.2048e-05-0j 3.13357e-05-0j -0.0594423-0j 0.00110003-0j 0.0202358-0j -0.000374482-0j -0.0185907-0j 0.00632879-0j -0.00285823-0j 0.000973023-0j 0.000174345-0j -0.0006403-0j 0.000125849-0j -0.00263548-0j 0.00967909-0j 2.17931e-05-0j -0.00190239-0j 1.45287e-05-0j 0.0140734-0j -8.00375e-05-0j -5.33583e-05-0j -0.000347255-0j 1.57311e-05-0j -0.0516862-0j 1.28417e-06-0j 1.04874e-05-0j 0.00414976-0j 0.0101587-0j 0.00143636-0j 0.00127533-0j -4.71625e-06-0j -0.000250662-0j -0.0152405-0j 0.000738724-0j 9.26962e-07-0j -0.0052752-0j 0.00299546-0j 6.92103e-05-0j -0.00271305-0j 0.00103682-0j -0.000254183-0j 0.000533239-0j 4.99587e-05-0j 
-0.00061544-0j 0.0104014-0j -0.124299-0j 0.000519903-0j -0.00828422-0j 5.30623e-05-0j 0.0484599-0j 0.0176232-0j 0.000330935-0j 0.000339678-0j -0.00510573-0j -0.00524062-0j 4.36045e-05-0j 4.47565e-05-0j 0.0281587-0j -0.000521102-0j 0.0289026-0j -0.000534869-0j 0.00880669-0j 0.00903935-0j 0.00135399-0j 0.00138976-0j -0.000249116-0j -0.000294685-0j -0.000164682-0j 0.00376575-0j 0.0044546-0j -3.11395e-05-0j 0.00248942-0j -2.07596e-05-0j -0.0201091-0j -3.68356e-05-0j -2.45571e-05-0j 0.000496182-0j -2.05853e-05-0j -0.0237875-0j -1.83491e-06-0j -1.37235e-05-0j -0.00592947-0j -0.0132935-0j -0.00205237-0j 0.000586946-0j -2.17056e-06-0j 0.00032801-0j -0.00701412-0j -0.00105554-0j -1.213e-06-0j -0.00242781-0j -0.00391979-0j -9.88925e-05-0j -0.00124862-0j -0.00135676-0j -0.000116982-0j -0.000697784-0j -6.53747e-05-0j 
-0.00175877-0j 0.0299138-0j -2.59091e-05-0j 0.00450077-0j 0.000750129-0j -0.0888527-0j -0.00902161-0j 5.52522e-06-0j -0.000961144-0j -0.00463672-0j -0.000155104-0j -0.000748248-0j 0.0121847-0j 0.0587811-0j -1.82792e-05-0j 0.00306201-0j -8.81818e-05-0j 0.0147716-0j 0.000179498-0j 0.000865928-0j -8.51531e-08-0j -4.10793e-07-0j -0.000711907-0j 0.00259266-0j -0.000597943-0j -0.000112562-0j 0.000409936-0j 0.00856193-0j -9.45431e-05-0j -5.93256e-05-0j -1.28444e-05-0j -0.0311813-0j 0.000216055-0j 0.00142699-0j 0.00719131-0j 4.67773e-05-0j 0.00152404-0j -4.98286e-05-0j -1.23595e-06-0j -1.07882e-05-0j 0.000253569-0j -0.00519689-0j -0.00555032-0j 0.00119855-0j 4.50115e-06-0j 1.05108e-05-0j 0.00128007-0j -0.000923462-0j -1.0381e-06-0j -4.07127e-09-0j -3.82787e-05-0j 0.000212977-0j 1.4827e-08-0j 8.82817e-06-0j -3.41953e-09-0j 
0.000253856-0j -0.00429035-0j 0.0512706-0j -0.00064963-0j 0.0103513-0j -6.63026e-05-0j -0.0605518-0j -0.0220206-0j 0.000138729-0j 0.000669253-0j -0.00214034-0j -0.0103254-0j 1.82792e-05-0j 8.81818e-05-0j 0.0118042-0j -0.000218448-0j 0.0569456-0j -0.00105383-0j 0.0036918-0j 0.0178098-0j 0.000567597-0j 0.00273818-0j 0.000102755-0j -0.000374219-0j 8.63057e-05-0j -0.00155329-0j 0.00565688-0j 1.28444e-05-0j -0.00130464-0j 8.56291e-06-0j 0.00829457-0j -4.67773e-05-0j -3.11849e-05-0j -0.000204664-0j 1.07882e-05-0j -0.0302076-0j 7.56862e-07-0j 7.19214e-06-0j 0.00244578-0j 0.00696676-0j 0.000846561-0j 0.000745359-0j -2.75638e-06-0j -0.000171901-0j -0.00890719-0j 0.000435388-0j 6.35701e-07-0j -0.00308306-0j 0.00205425-0j 4.07911e-05-0j -0.00158562-0j 0.000711042-0j -0.000148555-0j 0.00036569-0j 3.42611e-05-0j 
