0.13789-0j 0.0638537-0j -0.0328138-0j -0.00599096-0j 0.0136921-0j -0.00709988-0j 0.12256-0j 0.0223762-0j 0.0535089-0j 0.0148214-0j -0.0301223-0j 0.00203515-0j 0.0187511-0j 0.0181557-0j -0.00446224-0j 0.0795543-0j 0.03363-0j 0.00613998-0j 0.0087824-0j 0.00186194-0j -0.00432054-0j 0.0770281-0j 0.0325621-0j 0.00594501-0j 0.00850352-0j 0.00180282-0j -0.000455425-0j -0.0199557-0j -0.00297482-0j 0.00018724-0j -0.019322-0j -0.00288036-0j -0.000470361-0j 0.000181294-0j 
0.00709988-0j -0.0466422-0j 0.0238137-0j -0.259817-0j 0.000167346-0j -0.00856666-0j 0.00035712-0j -0.00389633-0j 7.52876e-05-0j -0.000403836-0j 0.0012371-0j 1.12232e-06-0j 0.025155-0j -0.0274647-0j 0.0843723-0j -0.0036326-0j -0.000741501-0j 0.00809008-0j -0.000127637-0j 0.000592908-0j -0.0921194-0j 0.00396615-0j 0.000809586-0j -0.00883291-0j 0.000139356-0j -0.000647349-0j -0.0297917-0j -0.0128432-0j -0.00191455-0j -1.34541e-06-0j 0.0140224-0j 0.00209034-0j 0.0272863-0j 1.46894e-06-0j 
0.0535089-0j -0.162453-0j -0.00614868-0j -0.00112259-0j -0.112964-0j -7.52876e-05-0j 0.00269147-0j 0.000491393-0j -0.00770398-0j -0.00453398-0j -0.000319418-0j -0.00127706-0j -0.00645292-0j 0.00704543-0j 0.000741501-0j -0.0273774-0j 0.0758759-0j 0.013853-0j 0.0421009-0j 0.0136229-0j -0.000809586-0j 0.0298912-0j -0.0828429-0j -0.015125-0j -0.0459667-0j -0.0148737-0j -8.53379e-05-0j 0.0033161-0j 0.000494334-0j 0.00231191-0j -0.00362058-0j -0.000539724-0j 7.81611e-05-0j -0.00252419-0j 
-0.0187511-0j 0.255108-0j 0.00446224-0j -0.0486848-0j -0.00186194-0j 0.025155-0j 0.0147801-0j -0.161257-0j 0.00645292-0j -0.0525123-0j -0.0036326-0j 0.000245429-0j -0.0744346-0j 0.0725356-0j 0.0177133-0j 0.010749-0j 0.00454394-0j -0.0495762-0j 0.00118664-0j -0.00739119-0j -0.0172614-0j -0.0104748-0j -0.00442801-0j 0.0483114-0j -0.00115636-0j 0.00720262-0j -0.0055824-0j -0.00269633-0j -0.000401945-0j 2.5299e-05-0j 0.00262754-0j 0.00039169-0j 0.00572855-0j -2.46535e-05-0j 
0.0181557-0j -0.247007-0j -0.00432054-0j 0.0471388-0j 0.00180282-0j 0.0274647-0j 0.0161372-0j -0.176064-0j 0.00704543-0j -0.057334-0j -0.00396615-0j 0.000267965-0j -0.0725356-0j 0.0631185-0j 0.0172614-0j 0.0104748-0j 0.00442801-0j -0.0483114-0j 0.00115636-0j -0.00720262-0j -0.0150204-0j -0.00911486-0j -0.00385313-0j 0.0420392-0j -0.00100624-0j 0.00626752-0j -0.00485765-0j -0.00262754-0j -0.00039169-0j 2.46535e-05-0j 0.00228641-0j 0.000340838-0j 0.0055824-0j -2.14528e-05-0j 
0.0087824-0j -0.0566523-0j -0.000665191-0j -0.000121447-0j 0.348338-0j 0.000127637-0j -0.00692252-0j -0.00126387-0j 0.0421009-0j -0.100295-0j 0.000541516-0j -0.0947705-0j -0.00118664-0j 0.00115636-0j 8.98775e-05-0j -0.00503448-0j 0.0296461-0j 0.00541262-0j -0.0665851-0j -0.0470658-0j -8.75845e-05-0j 0.00490604-0j -0.0288898-0j -0.00527453-0j 0.0648864-0j 0.0458651-0j -9.23222e-06-0j 0.000401945-0j 5.99184e-05-0j -0.0165255-0j -0.00039169-0j -5.83897e-05-0j 9.47392e-06-0j 0.0161039-0j 
-0.18272-0j 0.00091085-0j 0.0136627-0j 0.00249447-0j 9.6012e-05-0j -0.132604-0j 0.00362058-0j 0.000661024-0j -0.0342381-0j 0.000139356-0j 0.0125421-0j 1.13784e-05-0j -0.0248474-0j 0.0216215-0j 0.00185795-0j 0.00235014-0j 0.00047972-0j 8.75845e-05-0j -0.00370403-0j 1.30563e-05-0j -0.00161674-0j -0.00204503-0j -0.00041744-0j -7.62137e-05-0j 0.00322315-0j -1.13613e-05-0j -0.000170419-0j 0.008309-0j -0.11236-0j 8.70422e-07-0j -0.00723026-0j 0.0977722-0j 0.000195845-0j -7.57418e-07-0j 
0.188712-0j -0.000940722-0j -0.0141108-0j -0.00257627-0j -9.91608e-05-0j -0.121452-0j 0.0033161-0j 0.000605433-0j -0.0313588-0j 0.000127637-0j 0.0114873-0j 1.04215e-05-0j -0.0254979-0j 0.0248474-0j 0.00190659-0j 0.00241167-0j 0.00049228-0j 8.98775e-05-0j -0.003801-0j 1.33982e-05-0j -0.00185795-0j -0.00235014-0j -0.00047972-0j -8.75845e-05-0j 0.00370403-0j -1.30563e-05-0j -0.000195845-0j 0.00852653-0j -0.115301-0j 8.9321e-07-0j -0.008309-0j 0.11236-0j 0.000200972-0j -8.70422e-07-0j 
-0.00850352-0j 0.0548533-0j 0.000644068-0j 0.00011759-0j -0.337277-0j 0.000139356-0j -0.00755814-0j -0.00137992-0j 0.0459667-0j -0.109504-0j 0.000591238-0j -0.103472-0j -0.00115636-0j 0.00100624-0j 8.75845e-05-0j -0.00490604-0j 0.0288898-0j 0.00527453-0j -0.0648864-0j -0.0458651-0j -7.62137e-05-0j 0.0042691-0j -0.0251391-0j -0.00458975-0j 0.0564623-0j 0.0399105-0j -8.03363e-06-0j 0.00039169-0j 5.83897e-05-0j -0.0161039-0j -0.000340838-0j -5.08091e-05-0j 9.23222e-06-0j 0.0140132-0j 
0.682458-0j -0.00704543-0j 0.00362058-0j 0.000661024-0j -0.00151075-0j -0.00198858-0j -0.000765273-0j -0.000139719-0j 0.0149871-0j -9.25458e-05-0j 0.000188086-0j -1.27076e-05-0j -0.0823012-0j -0.0807564-0j -0.000436625-0j 0.00778429-0j 0.00329066-0j 0.00060079-0j -0.0385471-0j 0.000182189-0j -0.000428429-0j 0.00763819-0j 0.0032289-0j 0.000589513-0j -0.0378236-0j 0.00017877-0j -4.51604e-05-0j -0.00195264-0j 0.0264049-0j 1.83212e-05-0j -0.00191599-0j 0.0259093-0j -4.60243e-05-0j 1.79773e-05-0j 
0.00704543-0j 0.628423-0j -0.000809586-0j 0.00883291-0j -0.0148737-0j 0.000291237-0j 0.000354381-0j -0.00386644-0j -0.00101437-0j 0.0175389-0j -4.20572e-05-0j -0.000168148-0j 0.024962-0j 0.0244935-0j -0.00286837-0j -0.00360474-0j 0.00999045-0j -0.109-0j 0.00554336-0j -0.0526979-0j -0.00281453-0j -0.00353708-0j 0.00980294-0j -0.106954-0j 0.00543931-0j -0.0517087-0j -0.00091023-0j 0.000436625-0j 6.50882e-05-0j 0.000304405-0j 0.000428429-0j 6.38665e-05-0j -0.000927642-0j 0.000298692-0j 
