-0.263578-0j -0.326161-0j -0.190261-0j -0.0329473-0j -0.0235387-0j -0.0384385-0j -0.0336337-0j -0.0138732-0j 
-0.471328-0j -0.28855-0j 0.175483-0j 0.0303883-0j -0.063359-0j -0.0687354-0j -0.0297552-0j 0.0127957-0j 
0.297743-0j 0.00751915-0j -0.416686-0j -0.108615-0j 0.0265897-0j 0.00088614-0j -0.0364425-0j -0.045735-0j 
-0.212718-0j 0.0156773-0j 0.297695-0j -0.0265897-0j -0.0159584-0j -0.000633089-0j -0.075982-0j 0.0326746-0j 
0.476213-0j 0.29154-0j -0.156034-0j -0.0307032-0j -0.0219354-0j -0.0666131-0j 0.0313167-0j -0.0604844-0j 
0.175483-0j 0.40382-0j 0.483423-0j 0.0219354-0j -0.045735-0j -0.0496158-0j -0.0189021-0j 0.0113618-0j 
-0.0560678-0j 0.270442-0j 0.506661-0j -0.00700847-0j -0.00500709-0j 0.0318719-0j -0.0743786-0j 0.0547243-0j 
