0.00375859-0.0139008j 0.00289557+0.0149258j -0.0406968+0.0418657j 0.0126256-0.011956j 0.0597692-0.0243249j 0.060609+0.0113131j -0.0346665-0.0309328j 0.0574239+0.0132666j 0.0143776+0.0300623j -0.0062913+0.00216853j 0.00812929+0.0125526j -0.0209331-0.0261158j 0.0187861+0.0331665j 0.0213505+0.0219093j -0.00496514+0.0133611j -0.0279769+0.0824995j 0.0174686-0.000777955j 0.0409936-0.00159698j 0.0141997+0.088643j 0.0142036-0.0155634j 0.00972305+0.0777817j 0.0316789+0.0347756j -0.0262488+0.0374787j -0.0135276-0.0899301j -0.021827-0.0302831j 0.0036759-0.0138126j -0.0344701+0.0576702j -0.0243693+0.0197481j 0.00363431+0.00818411j -0.0120814-0.0179108j -0.00614549-0.00073979j 0.00880546-0.0109775j 0.00374544+0.0124259j 0.00356108-0.00438386j 0.00224633-0.0100353j -0.00330898-0.00426678j -0.0113856-0.00629873j -0.00558314+0.0161142j -0.00601085+0.00385047j -0.00158297+0.0091414j -0.00167705-0.000729321j -0.00643172+0.00163021j 0.00267875-0.000216429j -0.00222684-0.00183057j 0.00049498+0.00463628j -0.00433648+0.00147977j -0.000637282+0.00097001j -0.0025752+0.00416537j -0.00351817+0.00156015j -0.000853156-0.00123646j 0.00078688-0.00438521j 0.000831559+0.00390787j -0.000138977-0.00271513j 0.000221212-0.00151754j -0.00391818+0.00402626j -0.00173663+0.00338323j 0.00278728-0.00447072j -0.00029294-0.000512521j -0.0045194-0.00208595j -0.0037898+0.00422926j 0.00212451+0.00149676j -0.00207186+0.00264429j 0.000248747-0.00032329j -0.00227564+0.00243042j -0.00202416-1.25306e-05j -0.00243724-0.00338218j -0.00230914+0.00241378j -0.00175351+0.00565161j 0.00396417-0.0068889j 0.00298965-0.00112568j -0.00253839-0.000298961j 0.00174632-0.00386484j -0.00612935+0.00054485j 0.00370405-0.00403774j -0.00194051-0.00407833j -0.00205229-0.00142092j 0.00104562-0.000539459j -0.000808963+0.000343161j -0.00313525-0.00104426j 0.00348973+0.00332477j 0.00225923+0.00480412j -0.000233826+0.00498347j 0.000689938+4.2613e-06j 0.000425016+0.00129774j -0.00175649-0.000213876j -0.00192421+0.00110917j 0.00382965+0.00384474j 0.00214901-0.00755209j -0.00219457+0.00180283j 0.000446601-1.15243e-05j 0.00177438+0.00140716j -0.000612829-0.0017647j 0.000449601-0.000299337j -0.00020803+0.000123951j 4.38305e-05+0.000633428j 
0.0555552+0.000205569j 6.1425e-05-0.00467144j 0.0955626-0.03527j 0.0164923+0.0443728j -0.0670049+0.0146307j 0.0434549-0.0142214j -0.052457-0.0553128j 0.114794-0.0238902j 0.0682663+0.0138962j -0.0398508+0.0158622j -0.0039177-0.0302095j 0.0202494+0.0224849j 0.00156333-0.0464515j -0.00908786+0.0150364j -0.0142348-0.00868059j 0.0164056+0.037637j -0.00880255-0.0403847j -0.00655203-0.0326327j 0.00133176-0.0524146j -0.0129144-0.0192497j -0.0181049+0.0314106j -0.00257809-0.0134918j 0.00536+0.0100839j -0.0286759+0.0373861j -0.00495709+0.00171358j 0.0045996+0.0187364j -0.026428+0.0630696j -0.0552384+0.0349278j 0.00231595-0.0351607j 0.00937468+0.0193616j -0.028332+0.0248456j -0.0274628-0.00863757j -0.00152931+0.00856746j -0.013712-0.00332111j 0.00872564+0.00776939j 0.0177871+0.0102656j 0.00445616+0.00121023j -0.0470934-0.00989363j 0.0233201-0.00143196j -0.016288-0.000659404j 0.00396571+0.00215821j 0.0164983-0.00983364j 0.00814894-0.00228022j -0.0122511-0.00256157j -0.0224731-0.00853733j -0.0217395+0.000841656j -0.021786-0.00214616j 0.00124826+0.000107367j -0.000935637-0.000845971j 0.0066058+0.000516235j -0.00556538+0.00258238j -0.00721782-0.00150917j 0.0106102+0.00379637j 0.000872627-0.000497605j -0.0035413-0.00479919j 0.000952658+0.00190498j -0.00480409-0.00226303j 0.000803836-0.000234619j 0.000378281-0.000486485j -0.0013468+0.00136368j 0.0021181+0.000658025j -0.003171-0.00278976j -0.00202489+0.0018365j -0.00290983+0.00292523j -0.00275617+0.00221882j 0.00235386+0.000884483j 0.00169477+0.00105879j -0.00246168+0.00123709j 0.00443178-0.00443979j -0.00440429+0.00284317j 0.00456733-0.00206658j 4.10205e-06-0.00318013j 0.00222272+0.00172571j 0.00221632-0.00177627j -0.00643086+0.00172621j -0.0125312+0.00262372j 0.00203016+0.000588032j 0.000296517+0.00671338j 0.00461886+0.00985646j -0.000850576-0.00243429j 0.00107055-0.00304209j -0.000559465+0.000246363j -0.000535282-0.00163893j 0.00381861+0.000500592j -0.00781814+0.000392689j -0.00964421+0.000936307j 0.000394447-0.00300273j -0.00547913-0.00327794j 0.00330415+0.00127507j -0.000758566-0.004939j 0.000471987-0.00868406j -0.00344324+0.00210594j 0.00045164-0.00191244j 3.80639e-05-0.00355555j -0.00107439+0.00195319j 
-0.0281741+0.0614225j -0.0576556+0.0057868j -0.0638779+0.154118j 0.0142169+0.0251154j -0.00949533+0.0123323j -0.0384582+0.0189193j 0.051897-0.0319379j -0.0289885+0.294379j -0.0498112+0.110189j -0.0797954-0.0799135j 0.00636326-0.0244401j -0.0176231+0.00703884j 0.0215327-0.0142333j -0.0149411-0.00666459j -0.0418883+0.0148686j -0.032095+0.0743059j -0.0136968-0.00222994j 0.0363196-0.0435259j -0.0388592+0.0277467j -0.0415061-0.0477849j -0.0420972+0.000523424j 0.0554121+0.00924067j -0.0594627-0.018486j 0.0470639-0.0171114j 0.0684724+0.0283043j 0.00594063-0.00245319j 0.00780888-0.0164547j 0.0688186-0.0129059j -0.0023037-0.00145305j -0.00641637+0.0038718j -0.0228742+0.00513565j 0.000364619-0.0194383j 0.00785137+0.00750502j 0.0106604-0.00823195j -0.00306455+0.00171258j 0.00229385-0.00144575j 0.012847+0.0138753j -0.0203431-0.00371255j 0.00536972-0.00090833j -0.0241999+0.00327022j 0.000969388+0.0141098j 0.0125153+0.00444979j 0.0230995-0.000528768j -0.00987965-0.00541305j -0.0298633-0.00724678j -0.00644042-0.000685909j 0.00728644+0.000496726j -0.0150813-0.00292139j 0.00731733+0.00109816j 0.00167366+0.000417j -0.00922226-0.00229079j -0.00186992-0.00145876j 0.00595688+0.00109645j 0.00496318+0.00297838j -3.21217e-05-0.0036976j -0.00252022-0.00419613j 0.00470989+0.00413266j 0.00105313-0.00331508j -0.000878776-0.00454531j 0.00402048-0.00453314j -0.00282026-0.00871227j -0.00197333-4.45917e-05j 0.00535754-0.00303312j 0.00390734-0.00212355j -0.0076311-0.0046204j -0.00285474-0.00600911j -0.00811288-0.0069132j 0.000109672-0.000697459j 0.00644565+0.00256266j 0.00365402+0.00237833j 0.00302978-0.00492475j -0.00167319+0.00530232j -0.00272353-0.0105886j 0.00370495+0.00462044j 0.00519509+0.00649804j 0.00720398+0.00688717j 0.000149454-0.00120073j 0.00467453+0.00193435j -0.00102561+0.00393579j 0.000909648+0.00277779j 0.00215967+0.0029856j -0.00311946+0.00175561j 0.00513965-0.000352769j 0.00364735+0.000291198j -0.00686666+2.4756e-05j -0.000158625+0.00161257j -0.00174304+0.00310942j 0.00266314+0.00410442j -0.00183368-0.00268937j 0.000883193-0.00168706j -0.00122458-0.00389612j 0.00155167+0.00380141j -0.00259298-0.00042346j 0.000854633-0.00142626j -0.00237385-0.000174995j 
-0.0643979+0.0137873j -0.0240939-0.0133482j -0.133433-0.0287323j -0.0877181+0.0297522j 0.0642327-0.0104929j -0.0448006-0.00659604j -0.0603477-0.0137268j -0.166749-0.0524681j -0.118763-0.0172862j 0.0945047+0.0324208j 0.0064384-0.00618411j 0.0351614-0.0173918j 0.00890187+0.0290886j 0.0195443-0.0196056j 0.0251169+0.0361445j -0.0140665+0.0213457j -0.0515505+0.000635305j 0.0621247+0.0352696j -0.0114496+0.00696497j 0.0508134+0.0239128j 0.0290924+0.000136664j -0.0238269+0.0123381j 0.0769143-0.0184652j 0.014922+0.0309879j -0.02481+0.0536048j -0.0013028-0.0211792j -0.00554114-0.0191631j -0.0351554-0.00464288j -0.0092509-0.00504605j 0.0242767-0.0117197j -0.0253821+0.0001686j -0.0199264-0.00257898j -0.0157761+0.000734289j -0.0117082+0.0106271j 0.0184222-0.00658927j 0.006335-0.0058758j 0.0414883+0.00245935j -0.0807102-0.00182822j 0.0184321+0.0083676j -0.0155015-0.00381507j 0.0190325-0.00192089j 0.00499754+0.0117726j 0.015443+0.00709576j -0.0249102+0.000672145j -0.0316438-0.00449819j -0.0226801-0.00196507j -0.0218249+0.0032678j -0.00753257-0.00980098j 0.0128894+0.0014689j 0.00774676+0.00185091j -0.0109922+0.00170796j -0.00988494+0.000765092j 0.0173745+0.00207206j 0.00292372-0.000331614j -0.00422707+0.00234188j 0.000353132+0.00316657j -0.000349666-0.00794316j 0.00302255+0.00230911j -0.00267511+0.00311695j -0.000324776+0.000748022j 0.00152+0.00225006j -0.00886421-0.000261297j -0.00202197+0.00407847j -0.00101944+0.00133482j -0.00510097-0.00103136j -0.00343122+0.00108156j -0.000952153+8.56597e-05j -0.000307572-0.00110984j -0.00332556+0.00165002j -0.00440236-0.00182632j 0.00828371+0.005077j 0.00628812+0.00335285j -0.00162535+0.000145856j 0.00147108+0.00396813j 0.00165282-0.00148093j 0.00388177-0.00176256j 0.000769469-9.41626e-05j 0.00188101+0.00145849j 0.00152437+0.000396482j 7.52052e-05+0.00481121j -0.000756181+0.00637496j 0.00370928+0.000724023j 0.000238149+0.00354754j -0.00394606+0.000337064j -0.00118947-0.00232742j -0.00845738+9.98931e-05j 0.00101914+0.00285502j 0.00186569+0.00673838j -0.00162647-0.00522827j -8.4009e-05+5.34644e-05j -0.00373861+0.000408029j 0.00595893+0.0006597j -0.000910957-0.00136554j 0.000264325-0.00224757j -0.00397751+0.000799374j 
-0.0620387-0.0578019j 0.0192115+0.0641542j -0.128553+0.0859319j -0.0749514+0.0725683j -0.0776116-0.0311761j 0.148304-0.0619291j -0.0116989-0.0234156j -0.168027-0.111663j -0.0671237-0.0619107j 0.0882414-0.12047j 0.0250372+0.0446428j 0.0459865-0.0020999j 0.0124393+0.0142228j 0.0132334-0.0255555j 0.0332941+0.00532104j -0.0291786-0.0171897j -0.0259114+0.0469079j 0.0115836-0.0342254j -0.0232539+0.0340433j 0.0766929-0.00252029j 0.0540571-0.067108j -0.0442204-0.0466362j 0.0258352+0.0434537j 0.0529497-0.0424796j -0.0523813+0.0213151j -0.0221265-0.0324358j -0.0240314-0.0270849j -0.0226746-0.0194727j 0.00162257+0.0124582j 0.0275433-0.00808846j -0.0136704-0.0128141j -0.00113438+0.00289173j -0.00710145-0.000438205j 0.00580015+0.00454797j 0.00804006-0.000907028j 0.00694052-0.00284687j 0.0238543-0.00041829j -0.0374838-0.00219023j -0.00228595-0.00345322j -0.0036003-0.00181342j 0.00770381-0.00196779j -0.000125936+0.00709385j 0.00381769+0.000384854j -0.00877761-0.00248709j -0.00600595-0.00528063j -0.00798504-0.00280813j -0.0139187+0.00590481j -0.000369389-0.00955533j 0.00474091-0.00234121j 0.00333436+0.00238466j -0.00645175+0.00238411j -0.00293458+0.00461323j 0.00861822-0.000388259j -0.00122423+0.00195577j -0.00151899+0.0125018j 0.00102903+0.00588259j -0.00461693-0.000971616j 0.00258758+0.00188929j -0.00482076+0.0102881j -0.00237486+0.00489583j 0.00437956+0.00839544j -0.000461721+0.000112406j 0.00188921+0.00239421j -0.00123926+0.00489378j -0.000741094-0.00353384j 0.00231895+0.00459971j -0.00065579+0.00437924j -0.00203244-0.0043392j -0.00747814-0.00780605j 0.00219496-0.000477854j -0.00212031+0.00546089j 0.00122573-0.00277906j 0.00122337+0.00686756j -0.00019442+0.000233069j -0.000497097-0.00237285j 0.00314261-0.00488878j -0.000267567+0.00117389j -0.000287236-0.00149388j 0.00234012-0.00293668j -0.000949041+0.00293733j -0.00249929+0.00420717j 0.00294966-0.00258129j -0.00274801-0.00912303j -0.00743984+0.00561327j 0.00192875+0.000405557j -0.00466222-0.00567257j 0.00117838-0.000286729j 0.00272593+0.0029568j -0.00204908-0.00259939j -0.00016761-0.000247479j -0.00261124+0.00179823j 0.0053492-0.00086148j 0.000725774+0.00071519j -0.000629426-0.00157415j -0.00179825+0.00074458j 
0.0470453-0.0559705j -0.0678268-0.0259933j -0.0363637-0.249311j 0.090624-0.101918j 0.00680802+0.0740625j 0.0326636+0.0712698j 0.0433292+0.0574699j -0.0484679-0.12232j -0.0688631-0.0586424j -0.00338603+0.0720517j -0.0369093+0.0165237j -0.0729589-0.00509997j -0.0147134+0.0339137j 0.000687635+0.0282189j -0.026741+0.00674667j -0.0447954-0.0145005j 0.0603676-0.0537909j -0.0350883+0.033747j -0.00599416-0.0330409j -0.0543519+0.0386639j -0.093516+0.0336346j 0.0200056-0.0325128j -0.00232535+0.0177116j 0.00665207+0.0546283j 0.0668332+0.0141116j 0.0519549-0.00730085j 0.0327083+0.0380206j 0.0404174+0.0549975j -0.0217747-0.0171557j -0.0201091-0.00562208j 0.00604585-0.000731961j -7.09088e-05+0.00537045j -0.002204-0.00360733j -0.000191068+0.00949148j 0.00115704-0.00783834j 0.0205721+0.00451673j 0.00331681-0.00196621j -0.00985722+0.00496937j 0.00410431+0.0110121j -0.000273939-0.0031758j 0.00651134-0.0163191j 0.000816505+0.0113733j 0.0042978-0.00400471j -0.00641687+0.00924479j -0.0119864-0.000640356j -0.00447218+0.0032681j 0.00360966-0.00154917j -0.00446974+0.0003067j 0.00651271+0.00102326j -0.000163351-0.00190141j -0.00457308-0.00955763j -0.00662724-0.000694879j 0.00304026+0.00163487j -0.00161529+0.00153457j -0.0126796-0.00982601j 0.00323692-0.00573584j -0.00208966+0.00543658j -0.00263083+0.00255392j 0.00655748-0.00501599j 0.00328354-0.00727036j -0.00183304+0.000194152j 0.000591889-0.00648008j -0.00742689+0.00160205j 0.000843999-0.00523627j -0.000235315+0.00314054j -0.0085695-0.00157392j -0.00343969-0.0053392j -0.00121153+0.00183572j 0.00330878+0.0125809j 0.00037315+0.00408746j 0.00335388-0.00373652j 0.00132988+0.00109561j -0.00251157-0.00492861j 0.00136089+0.00196633j 0.0025362+0.00350684j 0.00544493+0.00536645j 0.00016377-0.00166444j 0.00365347+0.00305455j -0.00339393+0.00104874j -0.000568513+0.000747884j 0.000821191+0.000426948j -0.00291171+0.00244784j -0.0052818+0.00398055j 0.00659787-0.00268061j 0.0019552+0.00275483j 0.00213091+0.00391675j -0.00273881+0.0041828j 6.7876e-05+0.00246884j 0.000498452-0.000904556j 0.00167636+0.00194873j 0.001369-0.000410889j -0.00119601+0.000588418j -0.00331412-0.00225785j 0.00185592+0.000878019j -0.00141578-0.000807703j 
-0.0473189+0.00550118j 0.0178369+0.00696492j -0.0115197+0.0269985j -0.0537234-0.0609641j -0.0350244+0.00706288j -0.0167286+0.0301277j -0.157814-0.00119079j -0.0117115+0.0251207j 0.106144+0.0316355j 0.109703-0.00958109j 0.0294169+0.0104911j -0.00880978-0.0594661j 0.0134552+0.0188737j -0.0153037+0.0182506j 0.00405421+0.0334906j 0.00828984+0.00116853j 0.027642+0.0140212j -0.00950828+0.0374647j 0.026442+0.0100778j 0.00292663+0.000789236j -0.0228549-0.00676238j -0.00263022+0.0150179j -0.0202012+0.0217221j -0.0157658+0.00569343j 0.0130667+0.0602726j -0.0131825-0.0118921j -0.0479397+0.0543828j -0.0345666+0.0299262j 0.0227287-0.0213866j -0.00614832-0.0263399j -0.0132062+0.000510264j -0.0119224+0.00990904j -0.00164197+0.00772553j -0.0163149+0.00917028j 0.0144712-0.0061224j 0.00715614-0.000571535j -0.000399301-0.00380461j -0.0229845+0.0128661j 0.0074499-0.00261499j 0.00160256+0.00211665j 0.0111164-0.00915561j -0.0126307+0.00314904j -0.00706525-0.00224416j -0.0051802+0.00336798j -0.00429144-0.00891912j -0.0109939+0.00618981j -0.0344815+0.0198413j 0.0264959-0.0073897j -0.0112671-0.0111515j 0.00448642-0.00314262j -0.00429826-0.0119525j -0.00317611+0.00364053j 0.00347815-0.00470241j 0.000135681-0.00117166j -0.00437782+0.00199317j 0.00205964-0.00113647j 0.000713087-0.000480212j -0.00212083+0.000987885j 0.00174225+0.000130518j -0.00812346-0.00484895j 0.0122815-0.000927969j 0.0013912-0.00244634j -0.000144913+0.0019387j -0.0029556+0.000822739j -0.0055426-0.00830407j -0.000117594-0.00223943j 0.0080501-0.00391728j 0.00692383-0.00156323j -0.00189768+0.00112574j -0.0047854-0.000114692j -0.00267104-0.00612928j -0.0117682+0.00789386j 0.012145-0.00995776j -0.00163825+0.00485599j -0.00051021+0.0144172j -0.00503674+0.0114899j -0.00135849+0.000174985j -0.00539068+0.00374635j 0.00652437+0.000227456j 0.00269329+0.00254872j 0.000353794+0.00232079j 0.000888884+0.00201323j 6.23916e-05-0.004097j 0.000879086-0.0016954j -0.00211944+0.00916298j -7.71232e-06+0.00816419j -0.0057089+0.00366686j -0.0029252+0.0102763j 0.00364243-0.00540963j -0.00636029-0.000771952j -0.0118978-0.0100515j 0.00620693+0.00866244j 0.00471723-0.000233878j -0.00672332-0.00335037j 0.00233549+0.0009984j 
0.0391992+0.0269896j 0.00426607-0.0109897j -0.0274707+0.00343663j 0.0268586-0.0843247j 0.148959+0.15194j -0.0716718-0.0495143j 0.0106962+0.0633685j -0.025822+0.00914701j -0.0304819-0.130304j 0.0986303-0.0252253j 0.00787191+0.016285j -0.0230859-0.0232337j -0.0011628+0.0544206j -0.0596492-0.00906162j -0.0257976+0.00722575j -0.034545-0.01922j 0.0155414-0.0106668j -0.059473+0.0247271j 0.000102927+0.0309263j -0.0252122+0.0192249j -0.0837883+0.00152301j -0.0817794-0.0153433j 0.0141185-0.000562255j 0.0218079-0.0101701j 0.057624+0.00493032j -0.0303344-0.0549039j -0.00620726-0.0204545j 0.0392002+0.0304057j 0.0204689+0.0296674j -0.0100979+0.00185008j 0.00930345-0.0388512j 0.0390212-0.00883345j -0.00791821+0.0069759j 0.0190877+0.00310521j -0.00975412-0.0041982j -0.021767-0.00568964j -0.0271527+0.0225192j 0.0594115-0.0323767j -0.0287215+0.0163375j 0.00526339-0.0131675j -0.00718293+0.00712549j -0.0197315+0.0209506j 0.00262433+0.00941845j 0.0288295-0.0169639j 0.0261423-0.0208165j 0.0356997-0.0201755j 0.0167876-0.016448j 0.0101517-0.00621651j -0.0023739+0.0121258j -0.0116295+0.00786862j 0.0189058-0.0120531j 0.00449193-0.00641329j -0.0132777+0.0120701j -0.00383669+0.00517116j 0.00142381-0.00606521j 0.000980382-0.00299044j 0.0117924+0.00322862j -0.00171881+0.00201705j 0.00694873-0.00187207j 0.00616498-0.00757971j 0.00316148+0.00709562j 0.00809953-0.00465852j 0.000436823+0.00244712j 0.00267209-0.00361035j 1.51465e-05-0.0027828j -0.000283747+0.000996914j 0.00447632+0.000513961j 0.00954447+0.0025164j 0.00937307-0.00154407j -0.00858713+0.00214853j 0.00737254-0.000784321j -0.00150814-0.00814738j -0.00282956+0.00845138j 0.000598806+0.001974j -0.00706852+0.0127165j -0.00364113+0.0215598j -0.000451801-0.00641484j -9.77876e-05+0.00118803j -0.00745369+0.0040892j 0.000455826+0.00250256j 2.45006e-05+0.00274234j -0.00282008+0.000550166j 0.0025115-0.00306861j 0.00156848+0.00375714j -0.00371267-0.00635717j -0.000370397-0.011476j -0.00279243-0.00125092j -0.00168717+0.00362165j -0.00085626-0.00305237j 0.000692164-0.00543037j 0.00441062-0.00704407j -0.00505836+0.0137127j 0.000210111+0.00110441j 0.002193-0.00141917j 0.00133544-0.00490738j 
-0.0598175+0.045233j -0.0302354+0.0301085j -0.115645+0.0089783j -0.0566399-0.0405681j -0.0761402-0.0139036j 0.067588+0.154214j 0.0420128-0.0245946j -0.0312516+0.0184095j 0.0533199+0.0481768j 0.00747956+0.0738865j 0.00964902+0.0155604j 0.0401712+0.0298198j 0.00635015+0.0454025j 0.00169149-0.0478054j -0.0318956-0.0250554j 0.0174467+0.0480203j -0.0389829-0.0635621j -0.0803679-0.0377594j 0.0236876+0.00145619j -0.0329851-0.0352524j 0.0204398+0.0220244j -0.0397987-0.00794943j 0.0600414-0.0722135j -0.00844715+0.0491955j -0.0265544+0.00459904j -0.0494884-0.0231863j 0.0442163-0.0401887j 0.00694732+0.0421697j 0.019972+0.0304483j 0.0281457+0.0080755j -0.0155857-0.00370443j -0.0240277+0.0127134j 0.0080993-0.000839125j -0.0125435+0.00446258j 0.00739524-0.0049055j 0.0157247-0.0148594j 0.0108753+0.00494133j -0.039469+0.0449892j 0.00230436-0.0259792j -0.00389739+0.0242639j 0.00913439+0.0134215j 0.0207061-0.00696759j -0.00741935-0.0149065j -0.0118237+0.0202303j -0.0212804+0.0243021j -0.0167938+0.0214262j -0.00617545+0.00535708j -0.00311192+0.01995j -0.00212552-0.00588741j 0.00700192-0.00671827j -0.0044371+0.0150012j -0.00444179+0.00233659j 0.0120186-0.00910137j 0.000519657-0.00379551j -0.00394008+0.000851419j 0.00159628-0.00392614j -0.00174774-0.00228678j 0.00259532-0.0005979j 0.00228765-0.00994132j 0.00890323-0.0144811j 0.00245177+0.00888769j -0.00404524+0.00723598j -0.000361013+0.00029764j 0.00613326-0.0027839j -0.00471445-0.000180954j -0.00322647-0.000320839j -0.00812518+0.00529776j -0.0050731+0.00873928j -0.00289881+0.00160177j 0.00987402-0.00536901j -0.000982118-0.00403134j -0.00104938-0.00198688j 0.00166556+0.00342015j -0.00184388-0.00205246j 0.0023978+0.00285887j 0.00147399+0.00327028j 0.0017562-0.00312815j -0.00172441-0.00575439j -0.000557662-0.00384555j 0.0017773-0.00242022j 0.00476028-0.00350758j 0.00035998-0.00399209j -0.00218837+0.00890846j 0.00217625-0.000184817j 0.00451874-0.00194257j 0.00284066+0.00816267j 0.00692626-0.00962648j -0.00652294-0.000234407j 0.00278027+0.00360133j 0.00294033+0.000523559j -0.00255507-6.62046e-05j 0.00170524+0.00109648j -0.000777145+0.00252276j -0.000990277-0.00391146j -0.00104139+0.00370918j 
-0.0316844+0.0246508j 0.117484-0.0110172j 0.113343+0.115594j 0.00210255-0.0346678j -0.0764982+0.00036953j 0.0187993-0.0604957j -0.017971-0.0677891j -0.132744+0.0171001j -0.0697426-0.0592551j -0.0448884-0.129018j 0.0280802-0.0170088j 0.0237777+0.0237234j -0.0148965-0.0147721j -0.0519804-0.0143402j 0.0465704+0.0279967j 0.0512232-0.00896404j 0.0381594-0.0476975j -0.0660438-0.00366187j -0.00645149-0.0281421j -0.0157054+0.0232094j -0.0812622+0.00981325j -0.0656504-0.0854929j 0.00854929+0.0579849j -5.14326e-05+0.0604171j 0.0730344+0.0214574j 0.0021823-0.0380472j -0.0244789+0.0547311j -0.00355726+0.0315494j -0.00367761-0.0304287j 0.0219308+0.0099758j 0.0049274+0.0177546j -0.0218277+0.0169171j -0.0147703-0.00137464j -0.00627382-0.000840087j -0.00194705+0.0100328j 0.0111696-0.00611636j -0.0134498-0.0098063j -0.00165222+0.0304831j 0.00369405-0.0151593j -0.000685229+0.0142064j 0.0126649-0.00842151j 0.00600794+0.00359155j -0.00681386-0.004015j 0.00755165+0.0261644j 0.00660022+0.00595919j 0.00900998+0.00950284j -0.00520776+0.00357563j 0.0083813+0.00115946j 0.00322998-0.0211213j -0.000532698-0.00267602j 0.000515044+0.0112942j -0.00421131+0.00528313j 0.000852213-0.00821955j 0.00231663-0.00227499j -0.000270549-0.000749422j -0.00310615-0.00338043j 0.00256366-0.000691351j -0.000906689+0.00292223j 0.00728201-0.00638009j -0.00858843+0.00299141j -0.000527932-0.00988116j 0.00106723-0.00903014j 0.00523931+0.00221841j -0.00588526+0.00441123j 0.000927285+0.00528589j 0.00973298+0.00681755j 0.00460052+0.00548717j 0.000266483+0.000716364j 0.00652136+0.00770362j -0.00538535-0.00809033j 0.00565622+0.00589848j 0.00299299-0.00205198j 0.000202254+0.0047396j 0.00151163+0.00336137j -0.00102062+0.00949793j -0.000866297+0.00299914j 0.00052937+0.00311945j 0.000129454-0.000365691j 0.00524885-0.00757978j 0.000855077-0.000171682j -0.0018426-0.00108057j -0.00132996+0.00398924j 0.00791323+0.00137932j -0.000649466-0.00573517j -0.00400021+0.00114439j 0.00196972+0.000774089j -0.00723961+0.00823729j 0.0123781+0.00334039j -0.00389059-0.00127031j -8.9673e-05-5.1572e-05j 0.00405376+0.00155778j -0.00108701-0.00414262j -0.00210536-0.00188641j -0.0021901-0.000179652j 0.00135267+0.00243619j 
-0.120258-0.0293332j 0.038848-0.0823244j -0.0946043-0.0873292j -0.190251+0.0520348j -0.0364874-0.0183783j 0.126218-0.09316j 0.187935+0.0415829j 0.157173+0.0832495j 0.100832+0.0876333j -0.0610108-0.0401573j 0.060425-0.0307763j 0.0470672+0.000949204j 0.0355934-0.0239205j 0.0249719+0.0151766j -0.0403872+0.0231072j -0.0487262-0.0760753j -0.0245478+0.051773j 0.00286153+0.00107821j 0.0482936+0.0385127j 0.0183034+0.054596j 0.0401011-0.0506569j 0.0170373-0.0494068j 0.0046192+0.0976752j -0.0564143-0.0553753j -0.0893129-0.0422913j -0.0333897-0.0144794j -0.046773-0.0228446j -0.0214097-0.0895336j 0.0469815+0.0157185j 0.00623618-0.0246535j -0.0143063+0.0257707j 0.000280927+0.0222844j -0.00370489-0.00450255j -0.00844625+0.0103567j 0.00351116-0.00632152j 0.0093172-0.0148913j 0.00288537-0.018429j 0.0050324+0.00942171j 0.00602533+0.000369456j 0.0157653+0.00801696j -0.00408815+0.000534024j -0.00868841-0.00460986j -0.00618938-0.0152709j -0.00434563+0.00111489j 0.0105035+0.0225879j -0.00822791-0.00111148j -0.00454926-0.00807072j -0.00261741-0.000419456j 0.000113004-0.0034836j 0.00245943+0.000749595j 0.00605999-0.00676406j 0.00369018+0.00665794j -0.00470439-0.00725939j 0.00285133-0.00359519j 0.00610217-0.00477305j -0.00132374+0.00439179j 0.00523866+0.0047028j -0.00694981+0.000622894j -0.00562495+0.0117097j 0.00611488-0.00135401j -0.00840594-0.000868645j 0.0264193-0.00260992j 0.00094655-0.0117037j 0.00454514-0.00206028j -0.00956252-0.00118117j 0.00236201-0.0105055j -0.00577829-0.00395194j -0.00707074+0.00069645j 0.00557832+0.00121567j 0.0041389-0.00309754j 0.00572265+0.00954653j -0.00461994+0.000145506j 0.00779288+0.00127626j -0.00219065-1.68041e-05j -0.00760748+0.00370327j -0.00861885-0.00307046j 0.00285438-0.000958962j -0.00629849-0.00198095j -0.00841417-0.0022356j -0.00210553-0.00234091j -0.00267918-0.0051172j -0.000405924+0.00920454j 0.00138751-0.00106458j 0.00052716-0.0132511j -0.00941591+0.00860818j -0.0146554+0.000199032j 0.00364626+0.00542292j -0.00641985+0.000497385j 0.00377998-0.00212543j -0.00858818+0.00276254j -0.00903478+0.00551108j 0.00465072-0.00525639j 0.00516008-0.000210818j -0.00716427+0.00132064j 0.00306402+0.00147212j 
