0.00994119-0.0126906j 0.027852+0.0172186j 0.0107426+0.00632271j 0.00430717+0.0297031j 0.0236972+0.00139691j -0.0200621+0.00435966j -0.00412617+0.0346504j 0.0153915+0.0036995j -0.02739+0.0295161j -0.0103524+0.0213301j 0.00668042+0.00764504j -0.00493944-0.00324348j -0.0012345-0.0046752j 0.00556184+0.00458581j -0.00439272+0.00515746j -0.00468157-0.00185464j -0.000822576+0.00180622j 0.00138347-0.00336939j -0.000677979-0.00346749j -0.0032662-0.0101744j -0.00115887-0.00186456j -9.7366e-05-0.00309729j -0.000219231-0.00211985j 0.00011206+0.00338831j 0.00888073-0.00204098j 0.000173817-0.000236025j -0.00505799-0.00709327j -0.00387765-0.000744283j 0.00517661+0.00562571j -0.00367577-0.000888706j 0.000136311-0.00317196j 0.00353865+0.0138684j -0.00513652-0.00348873j 0.00681673-0.0114456j -0.00796886+0.0116692j 0.00681182+0.00495233j -0.00452069-0.00163916j -0.00273332+0.00134923j 0.0158289-0.000373221j 0.00825331+0.00100285j -0.0161447+0.00292318j -0.00324907+0.00843405j -0.000105784-0.00579865j 0.00382844+0.00838735j 0.003793-0.00503172j -0.00724107-0.00495321j -0.0117361-0.00884489j 0.00509827-0.00876412j -5.23302e-06-0.0104443j 0.000398047+0.00184256j -0.000202946-0.00031765j -0.00147876+0.00314821j 0.001559-0.00195452j 0.00160317-0.00277161j 0.00286761+0.00222314j -0.00308181+0.00110276j -0.000802775-0.00203013j 0.000605111-0.00109551j -0.000669524-0.00246327j 0.00155109-0.000335983j -0.00159609+0.000445519j -0.000305646-0.00192006j -0.000232171+0.0010271j -0.000596584+0.000785285j -0.00089878-0.0018387j 0.000547492+8.8603e-05j -0.000550205-0.000106659j 0.000377342-3.44183e-05j 0.000705461+0.00195439j 0.00080612+0.00220764j -0.000803972+0.000188876j -0.00172911+8.67832e-06j 0.000146806+0.00342322j -0.0030731+0.00056247j 0.0023116-0.00291444j 0.00130213-0.00182863j 0.000386189-0.000575046j 3.9765e-05-0.00133478j -0.000168671-0.000780882j 0.000550157-0.000542641j -0.000327075+0.000303486j 1.63233e-05-0.000950122j 0.000125078+5.80723e-05j 0.00137042+0.000499932j -0.000503488-0.000338079j -0.000108258-0.000298649j 0.000253092-0.000255826j -0.0016061+0.00113103j 0.000423417+0.000669927j -4.13551e-05+0.000534584j 0.000414398+0.00167084j 0.000524038-0.00140388j 0.000117558+0.000569205j -0.000226481+0.000109631j -5.973e-05+0.000268511j 
0.0160597+0.00388433j 0.010624+0.00954247j 0.000907052-0.00308981j -0.00356399+0.00379629j -0.0449448-0.00814073j -0.00209331+0.0121136j -0.0266341+0.00553833j -1.925e-07-0.00910826j 0.0135642-0.00599188j 0.0647708+0.0146177j 0.000704509+0.0024958j -0.0169835-0.0138898j -9.80507e-05-0.00214953j -0.00438396-0.00623667j 0.001425-0.00150256j -0.00466565-0.00905239j -0.000395726-0.00658182j -0.00152434-0.00070003j 0.00458358+0.00253116j -0.00221062+0.00738692j -0.00331546+0.0031277j 0.00115588+0.0121244j 0.00172542+0.000756563j 0.00793466+0.0109669j 0.00202055+0.0051242j 0.00688866-0.00543108j 0.00596399+0.0205537j 0.0118873+0.0112637j -0.00970275+0.00651733j -0.0146401+0.00461546j 0.00158416+0.00254015j 0.0104512+0.000620826j 0.00744507-0.0114959j 0.0143622+0.00437059j 0.0021722-0.00596019j -0.00143677-0.0186295j -0.00138696-0.00306365j -0.00555674+0.00442396j 0.00688027+0.00774912j -0.000603608-0.00064827j -0.0091866-0.0106348j 0.00482067-0.00741152j -0.000949673+0.00334646j 0.0171587-0.00189901j 0.0018503-0.0110134j 0.00116263+0.000611917j 0.00204496+0.0165394j -0.000748444+0.00215314j 0.0102691-0.00608053j -0.00969965+0.00141337j -0.00592819+0.00832357j 0.00142812+2.62491e-05j 0.000607115-0.00211795j -0.00269574+0.000431369j 0.00086219-0.00122749j 0.00528197+0.00292183j 0.0017783-0.00311035j -0.00322545-0.00171202j 0.000777082-0.00488501j -0.0034241+0.000507896j 0.00681796+0.000512359j -0.00164921-0.00251982j -0.000351603-0.000256887j 0.00142656+0.000739112j 0.00467753-0.00119613j -0.00120467+0.00181002j -0.00138991-0.00423765j 0.000549479-0.000587912j 0.00347353-0.00303133j -0.000945789-0.00594182j -0.000684346-0.00217543j -0.00516403+0.001104j 0.00116263-0.000223605j -0.00115012-2.16683e-07j 0.000796461+0.00417279j -0.000296537-0.000605396j 0.000678057-0.00318108j 0.00183932+0.00689938j 0.0013951+0.00245568j -0.0015626-0.00271642j 0.00118082-0.000785863j -0.000463301-0.000511923j -0.0010407+0.0001948j 0.000182285+0.00159905j 0.000140507-0.000304734j -0.00213143+0.00105045j -0.000383831-0.00172899j 0.000165973+0.00158609j -0.00226514-0.00111358j -0.0016706+0.000479443j -0.00291525+0.00354223j -0.000126968-0.00513448j -0.00318512-0.0013342j 0.00134988+0.000811832j -8.56837e-05+0.00058676j 
-0.000536274+0.0010202j -0.000928758-0.00650311j -0.00176901-0.00674335j 0.000763073+0.0061044j 0.0286029-0.000698777j 0.0482426-0.00992389j 0.0118108+0.00895324j -0.00578616+0.00669436j -0.015626-0.00736599j -0.0133465-0.0158475j -0.016309+0.00178775j -0.0156585-0.0121341j -0.0112762-0.011255j -0.00507515-0.0116405j 0.00667822-0.0097225j 0.00279501+0.0120704j 0.0151529-0.0224487j 0.00595561+0.00573497j -0.00212953-0.00192774j -0.00382381-0.00278594j -0.0101378-0.0023258j 0.00933074+0.0152377j 0.00835562+0.00808487j -0.00333904+0.0143637j 0.0114822-0.00082369j 0.00998488-0.0179814j 0.00387459-0.00498995j 0.0305029-0.0273243j -0.00517034+0.00263406j -0.00394526+0.007793j 0.010002+0.0103441j 0.00671658+0.00351487j -0.000296996-7.87875e-05j 0.00105008+0.00383997j -0.0137263+0.00256962j 0.00278428+0.0107694j 0.00298208-0.000743562j 0.00111328-0.00167177j -0.00165893-0.00679188j -0.00225149+0.00263161j -0.00188862+0.00433277j -0.00203502-0.00299871j -0.00227488+0.013923j -0.00374262+0.00221127j 0.00710478-0.00454583j 0.011818+0.00704329j -0.00399723-0.00587505j -0.00425404+0.00921751j -0.00558883-0.00439879j 0.0034881+0.0097497j -0.0101565+0.00507571j 0.00852249-0.000865244j -0.000147534-0.0107931j 0.00289065+0.00542693j 0.00333389-0.00274797j -0.000275155-0.00543844j 0.00172291-0.000583906j 0.00079279-0.00692605j 0.00214994+0.000606656j -0.0107992-0.0029563j 0.0114383-0.00485196j -0.00708972+0.00468406j 0.000937849+0.0027974j 0.00231678+0.000606069j 0.00223337+0.00999822j -0.00203321-0.000678856j 0.00186124+0.00365923j -0.00237094-0.000217477j 0.00142527+0.0022121j -0.000698244-0.000233435j -0.00242416-0.00238184j -0.000862132-0.00257119j -0.00223032-0.000240334j -0.00100593-0.002301j 0.00640316-0.00364303j -0.0131514-0.0075451j -0.00197264-0.00184131j -0.00285645+0.010381j 0.00334075+0.00236681j 0.000359076-0.00172413j -0.000375773+5.5875e-05j -8.50634e-05-0.00067718j 0.00144067-0.000324878j 0.000997919+0.00010223j -0.000339873-0.00158555j 0.000630209-0.000756107j -0.000448756-0.000199003j -0.000591398-0.000210812j 0.000165359-0.00029944j 0.000829295-0.00188057j -0.00345184+0.00169991j -0.00336733-0.00181624j 0.00078282-0.00466061j 0.000923474+0.000977776j 0.000640955-0.000992161j 
0.0017068-0.00185191j -0.000604856+0.000518944j -0.00193227+0.00259237j -3.26385e-05+0.00120463j 0.00459333-0.00135837j 0.0018309-0.000761397j 0.000685119+0.000634919j 0.00280875-0.000655472j -0.00016022+4.20877e-05j 6.73967e-05-0.00229184j -0.000289953+0.00037565j 0.00120008-0.000691065j 0.000879573+0.000432909j -0.024586-0.00269577j -0.00619886+0.00149456j -0.00780477-0.0031865j -0.00144181+0.0131315j 0.00987457+0.0296101j -0.0151231-0.01128j -0.00520258-0.00499143j -0.00582964+0.0219746j -0.0202711+0.0325227j -0.0126848-0.0346141j 0.0134498-0.0166971j -0.00570199-0.000541236j 0.0267395-0.00411615j 0.0105085-0.000606352j -0.0103475+0.000930215j 0.00449809-0.00106621j 0.000720088+0.00146064j 0.00211882+0.00103476j 0.00171093+0.000722507j -0.000670296+0.000634484j -0.00343037+6.49309e-05j -0.00750706+0.00122949j 0.000861356+0.0013068j 0.00167546+0.000854321j 0.00207674-5.34219e-05j -0.000173576-1.86303e-05j -0.000881889-1.1936e-05j -0.000552579+0.000560071j -0.00229015-0.0010112j 0.000156501+8.99698e-05j -0.0047666-0.000683621j 0.0011152-0.00081228j 0.00361821+0.00127118j -0.00309356-0.00200898j -0.00200033-0.000767078j -0.00180771-0.00178414j 0.0013302-0.000682125j 0.000683903+0.00072485j 6.30062e-05+0.00227827j -0.000378439-0.00159043j 0.0012351+0.012061j 0.00234586+0.00166108j 0.00181539+0.0151515j 0.0141627-0.00534136j 0.00112553+0.00647086j -0.0147079-0.0011109j 0.000313309+0.00287203j 0.00219349+0.00336338j 0.0115504+0.00104965j -0.00150714-0.00565814j 0.0049303-0.000143464j -0.00735225-0.00294764j 0.000548028-0.00243462j 0.00549947-0.0109711j -0.0102505+0.00322833j 0.0105764-0.00298918j -0.0114184-0.00799853j 0.00818778-0.00108293j -0.000296032+0.00874231j -0.000759307-0.000438537j -0.000130914-0.0133666j -0.000959925-0.00120218j 0.000348662-0.00106048j -0.000135046+0.00141509j -0.000202214-0.00141197j 0.000252023-0.000273486j 3.9111e-05+0.000304455j -0.000206756+0.000143268j 0.000317407+3.89787e-05j -0.00389919-0.00236889j -0.00136767+0.00230686j -0.00226179+0.00417961j -0.00117643+0.00210512j -0.000343516+0.000305788j 0.000346765-0.000438119j 0.000112197+9.49188e-05j 0.000121643-0.000416848j -0.000181626-0.000381798j -0.000418915+0.00037447j 0.000194095-0.000258595j 6.6954e-05-6.81337e-06j 7.42813e-05-0.000132905j 
-0.0231189+0.00150832j 0.0177897-0.0126246j -0.00886287+0.010218j -0.0187124+0.00271554j -0.0241334-0.00222082j -0.0633845-0.00154857j -0.010125-0.00712313j 0.00399382+0.00261639j 0.010386+0.0026841j -0.00470185+0.00823147j -0.002653-0.0008582j 0.00143048-0.00686981j -0.0149942-0.00268292j -0.00741369-0.00267533j -0.00131731-0.00592222j 0.00431629+0.0205259j 0.00461445-0.0141713j 0.00177581+0.0074778j -0.00461475-0.00715548j -0.00395919-0.00897437j -0.011092-0.00192905j -0.00295401+0.00519896j 0.00611178+0.00361842j -0.00220133+0.00152172j 0.00339904-0.00528445j 0.00806581-0.00772981j 0.00224793-0.0154851j 0.00703285-0.0202134j -0.0123745-0.00330713j 0.00731862-0.000817837j 0.00414995+0.00578396j -0.00723969+0.00570329j -0.00180646+0.0141051j -0.00374138-0.015585j 0.0174257+0.00226002j -0.0039531-0.00198015j -0.00519933-0.00591515j -0.00529862-0.00521302j -0.000144275+0.00530929j 0.0033008+0.00557554j 0.00465212-0.0057161j 0.00445191+0.00359823j 0.00232041-0.0181422j 0.00841213-0.00241831j 0.00533258-0.00339011j -0.0118365+0.00271968j 0.0115923+0.00542643j 0.00989155+0.00419509j -0.00350517-0.00105302j 0.00761917+0.00699044j -0.00290317-0.000940965j 0.000115915-0.00176228j 0.000970653-0.00444756j 0.00108418+0.00514357j 0.00532667-0.00436176j 0.000977308+0.00247748j 0.00358176-0.00175919j 0.00273036+0.00272625j 0.00130465+0.000301903j -0.0054621-0.00126273j 0.00378623+0.000791384j -0.0057537+0.00469205j 0.00120075+0.00137925j 0.00171331+0.00125852j 0.0029556+0.00565159j -0.00111624-0.00318429j 0.00585523+0.00024863j -0.00297893+0.00104096j -0.00380771+0.0017936j -0.00579602-0.00265228j -0.0013242-7.43127e-05j -9.88244e-06+0.0041429j 0.00200427+0.00296863j -0.00178578-0.00389379j 0.00503936-0.000683345j -0.00543016+0.000888075j 0.00109779+0.000551735j -0.00400865+0.00682631j 0.00153052+0.00101205j 0.00141836+6.11332e-05j -0.00140451+0.000522336j 0.000438611-0.000597101j -0.000965682+0.00034403j 0.000112109+0.000162424j -0.00108357+0.000906589j 0.00181514-0.000374328j -7.59505e-05+0.000622148j -0.000634837-0.000901473j 0.00194726-3.7114e-05j 0.00239511-0.000738631j -0.00112568-0.000301602j -0.00100705+0.00125228j 0.00224741-0.003973j -0.000319395+0.000511446j -3.49043e-05-0.00130579j 
0.000210765-0.0103938j -0.0041032+0.0129669j 0.0045594+0.00441738j 0.00583153-0.00964594j 0.00651309+0.00980007j -0.00227749+0.0162212j -0.00394708-0.011155j 0.00769611-0.00504325j 0.00878449+0.0198378j -8.02491e-05+0.0250037j -0.00530627+0.0116455j 0.0182484-0.00141357j -0.00161517+0.0137686j 0.00387708+0.00246671j -0.00281439+0.00738724j -0.0156095+0.0122675j -0.0147205-0.00488267j -0.0160856+0.00531933j 0.0273633+0.012343j -0.00622723-0.00186661j 0.00869164-0.00266745j 0.0066301+0.00468444j -0.000470063-0.00647943j 0.0292721+0.0156245j -0.0249526-0.0154344j -0.000366343+0.00988806j -0.0317523-0.0214212j -0.0420408-0.00353941j -0.0190567-0.0207486j -0.0023851-0.000570621j 0.00837308-0.0120499j -0.000981582-0.00251361j 0.00205986-0.000559055j -0.00397438-0.000977777j -8.53436e-05+0.000333797j -0.00125042+0.00265154j -0.0019846+0.00664125j -0.00335821+0.0157654j -8.61471e-05+0.00539472j 0.00401758-0.00382914j -0.00200505-0.00423115j -0.00266058+0.00297357j 4.79917e-05+0.00102922j -0.00120168+0.0112721j 0.00150536+0.0110229j -0.0041244+0.0075935j 0.00577037+0.00906912j -0.0117632-0.00526849j 0.00391322-0.00688425j 0.0118309-0.0128716j -0.0102676-0.00952032j 0.0130274-0.00708164j -0.00281645-0.00308217j 0.00722952-0.005458j 0.00312855+0.00718886j 0.00489266-0.000457962j 0.00535397+0.00727794j -0.0124075+0.00560875j -0.00580706+9.93902e-05j -0.00460782+0.00987658j -0.00208227+0.00230144j -0.0106461-0.0140412j 0.000633189+0.000515726j -0.00824342+0.0011665j -0.00188056-0.00461856j 0.00205005-0.00326721j 0.00832545+0.00661071j -0.00221686+0.000259173j -0.00165603-0.00143462j -0.00600821+0.00135382j -0.00656005-0.00204959j 0.00195136+0.00786461j 0.00403613-0.00995132j 0.00383999+0.00114076j 0.00782287-0.00233174j 0.00767523+0.00947477j 0.00172764-0.00365892j -9.75544e-06-0.00164426j 0.00647531-0.00182166j -0.00449984-0.00133945j 0.00152058-0.00202187j -0.000820872-0.000719536j -0.000963455+0.000298886j 0.00151827+0.00104688j -0.00515873+0.00145352j 0.00781767-0.00329798j 0.00194912-0.00229925j -0.00094618+0.00336924j 0.00202557-0.00344261j 0.0070385+0.00774319j -3.94698e-05+5.10139e-05j 0.0108751+0.00408268j 0.0032956-0.00940194j -0.00546171+0.000427465j -0.00428429-0.00489771j 
-0.00101332+0.000202976j 0.000190596-0.00120306j 0.00103759+0.00806097j -0.00166366+0.00677196j 0.00111819-0.00409585j 0.00177204-0.000916732j 0.00348041+0.0111017j 0.0100754+0.0034104j 0.00336296+0.00588958j -0.00358929+0.00422832j 0.000100775-0.000948443j -0.00503092+0.00139599j 0.00187195-0.00485694j -0.00142151-0.00348063j -0.0100851+0.00701831j 0.0104498+0.00147322j 0.0060233+0.00631049j -0.00412937-0.00525523j 0.0125695-0.00583744j -0.0215027+0.0046121j 0.00974952+0.0054364j -0.030127-0.00251926j 0.0521563+0.0034886j 0.00895759+0.0011213j -0.0144397-0.01109j 0.0121515-0.00433718j 0.0236481+0.014178j 0.000436748+0.00564078j 0.000545172+0.00185227j 0.000551532-0.00171267j -0.00216241+0.0035731j -0.000625552+0.00289791j 0.00284192+1.90131e-05j 0.00101066-0.000634046j -0.0015721-0.000262362j -0.00157056-0.000368859j 0.00351717+0.000218938j 0.00313669-0.00585857j -0.00226827-0.00250428j 0.00257191-0.000302412j 0.00192716+0.000931013j 0.0014482-0.00298612j -0.00236267+0.000270628j 0.00117264+0.000551433j -0.00328731-0.00437597j 0.000619629-0.00315513j -0.000426443-0.00344649j -0.000204176+0.000785546j -0.00296758-0.00135366j -0.00484772+0.00439706j 0.0039197+0.00462539j -0.0040879+0.00298081j 0.000186446+0.000400218j -0.00548642+0.00402849j -0.00520928-0.00200675j 0.0117092-0.010369j -0.00418626-0.000360028j -0.00481727+0.000531384j -0.0112001-0.00848635j -0.00314215+0.0104566j -0.00163542+0.00817731j 0.000486505-0.00783549j -0.00182798+0.0050089j -0.0111601-0.00383417j 0.00286971+0.0100126j 0.00470863-0.00919341j 0.0170222+0.00195185j -0.00409518+0.0148665j 0.00206095+0.00296762j 0.0160029-0.00332061j 0.00374054+0.0163726j -0.000577255+0.000901699j 0.00261448-0.00533577j -0.0165729-0.00314084j 0.00302515+0.00653371j 0.00226185+0.00120971j -0.000270414+0.000795123j 8.73764e-05+0.0019095j -0.00187417+0.000642863j 0.000617161-0.00109022j -0.00294706-0.00203918j 0.00473042-0.000788583j 6.51509e-05-9.51897e-05j 0.000970847-0.00352158j 0.00126435+0.000937508j -0.00338833+0.00201827j 0.0049685+0.00281991j 0.000122854-0.00374876j -0.000381612-0.00503977j -0.0032723-0.000170164j -0.00183912+0.000632896j -0.00177636-0.00195552j -0.00142205+0.00220124j 0.00170914+5.49952e-05j 0.00108094+0.00152967j 
0.00202412+0.00223408j 0.00238914-0.000501586j -0.00975246-0.00440141j 0.00559055+0.0082326j 0.000960362+0.00159522j 0.00204973-0.003432j 0.00159601+0.00110445j -0.000648236+0.00484343j -0.00204737+0.00545033j -0.00151784-0.00140937j -5.02805e-05-0.00105805j -0.00536603+0.00061806j -0.00822353-0.000566252j 0.0131715+0.00244895j 0.00628595-0.00636254j 0.00651309-0.0042133j -0.0229258-0.00114919j -0.0324037+1.30553e-05j 0.000140145+0.000665801j 0.0224406-0.00219354j -0.0453002-0.00268336j -0.0227671-0.00205142j 0.00840506+0.00087279j 0.00722431-0.00525763j 0.0177388+0.0107743j -0.000450538+0.00115342j 0.0014113-0.00290729j -0.00435303-0.00287412j 0.00151101+0.00137996j 0.000382043+0.000898315j -0.000472182+0.00118715j 0.00157582-0.00112892j -0.00237881+0.000968782j 0.000140532+0.0012726j 7.01537e-05-0.000219289j 0.00273392+0.000370798j -0.00105905+0.000698338j -0.000505818-0.0013201j 0.00221004+0.000885034j -0.00316478+0.00231126j -0.000136055+0.00445247j -0.000393615-0.000692847j 0.00113362+0.000479248j -0.00291926-0.00169658j 0.000710543-0.000682798j 0.00113397+0.00165103j -0.00108315+5.43451e-05j 0.0023667-0.000109563j 0.00268832+0.00172151j -0.00146655-0.000384274j 0.000157386+0.00213773j -0.00810432+0.00487982j 0.00880087-0.00544434j 0.0112053-0.00351134j -0.00732804-0.00993605j 0.00393655+0.00177893j 0.0085292+0.00929279j -0.0159332+0.00971666j -0.000293339-0.0019675j 0.00427093-0.00486158j -0.00278138-0.0118747j -0.00484974-0.0171229j 0.0100591-0.000405125j 0.0155288+0.00606375j -0.00187972+0.00972216j -0.0111565+0.00868323j 0.000168771-0.0106896j -0.00716014-0.00307846j -0.0110255+0.010252j 0.0075531+0.00337233j 0.0075931+0.00547402j 0.00477399+0.00437659j 0.0084656+0.0044626j -0.00336915-0.00269518j 0.000579433+0.00155309j -0.000297983+0.00237747j 0.00115919+0.000539589j -0.00198374+0.000272866j -0.000715358+0.000107526j 0.00108923+0.00109716j 0.00144751+0.00232137j -0.00326066+0.000573463j 0.000189602-4.32569e-05j -0.00131214+0.00244185j 0.000827336-0.00103424j 0.000707388-0.000403964j -0.00412782-0.00130429j -4.14849e-05+0.00172876j 0.000133558+0.00389037j 0.00053923-0.00161604j 0.000995519-0.000414849j -0.00121377+0.000221522j 0.00014339+0.000509989j 0.000265675-6.51515e-05j 0.000301964+0.000198519j 
0.00637239-0.0192052j -0.00803815-0.0218761j -0.0156072-0.00497786j -0.00361004+0.00567813j -0.0206538+0.024158j -0.0148891-0.0571878j 0.0104319+0.0239315j -0.00796114+0.0233761j -0.0355423-0.00962492j -0.0236483-0.0863669j -0.00729053-0.00920129j -0.0175153+0.0256606j -0.0203701-0.0105093j -0.00735939+0.00593456j -0.0130689-0.01755j -0.0195108+0.0143028j 0.00414558-0.0147202j 0.0118983+0.00772656j -0.00533629-0.00396651j 0.0150601-0.0273647j 0.00100218-0.0136871j -0.0141466-0.00429215j 0.0116398-0.0019875j -0.0177912-0.0232383j 0.0104104+0.00699049j -0.00438652-0.00393161j 0.000674227-0.0713052j 0.0110868-0.0562053j 0.041141+0.0128919j 0.0120817+0.0156723j 0.00915792-0.00029787j -0.00296304-0.00662606j 0.00302002-0.000855102j 0.00565368-0.0038647j 0.00423458+0.0105537j -0.00357783-0.00157356j -0.00214996-0.00792386j -0.00401599-0.00561589j -0.000381772-0.0013688j -0.00331539-0.000698346j 0.00578958+0.00391776j 0.00284734-0.0047579j 0.0137752-0.0015683j 0.00696177-0.00711737j -0.0044329+0.00935001j -0.000920032+0.0137492j -0.0191761-0.00799684j 0.0154484-0.0180716j 0.00765075+0.0273884j 0.00309959-0.00200651j 0.00327928-0.00987749j 0.00646974-0.00251957j 0.000736835-0.00707908j 0.00362634+0.00761206j -0.00486913+0.00192006j 0.00356895+0.00313066j -0.00490488+0.00128045j 0.00272254-1.50547e-05j 0.00592133+0.00122424j 0.00515166+0.00138748j -0.00425235-0.00164969j 0.00147304+0.0103826j 0.011477+0.0027959j -0.0022782-0.00479118j -0.0107051+0.0130705j 0.00503579-0.00658283j 0.00222418+0.00243846j -0.00219899+0.00175652j -3.76043e-05+0.011415j -0.000551324+0.00879557j 0.0028997-0.00187431j 0.00338788+0.00275954j -0.00430654-0.00633486j -0.00213749-0.00464009j 0.0135065-0.00995393j 0.00287132-0.000101269j -0.000928399+0.00691683j -0.0021006-0.00577993j -0.00053843-0.00237172j -0.000396804+0.00319743j -6.9034e-05+0.000435726j -0.000302763+0.00343614j 0.00110036+0.000129637j 0.00279963-0.00392095j -0.00401151+0.00163139j 0.00395187-0.0017634j 0.00113309+0.00220733j -0.000804307-0.00186681j -0.00383182-0.000705882j 0.00395014-0.00241162j 0.00440196-0.0119072j 0.000677477+0.0132727j 0.00513972-0.00365871j -0.00278706-0.000472255j 0.000121485-0.003258j 
-0.00135589+0.0163328j 0.0131671-0.00915099j 0.00310227-0.0228969j -0.0113641+0.00469591j -0.00244255-0.0131116j 0.0193951-0.0261144j -0.0117184+0.0148669j -0.0264034-0.0152607j 0.00574056-0.0687772j 0.0287018-0.0567472j 0.0206734-0.0140914j 0.00278397-0.0155688j 0.0117524-0.0175278j -0.00614124-0.00603876j 0.00682708-0.00771331j -0.0126392-0.0300952j -0.00149602-0.0149132j -0.00922426-0.00440037j 0.0152336-0.00595852j 0.019511+0.0170989j 0.00792129-0.00815021j 0.012087+0.0171073j 0.00840787-0.00573574j 0.0343071+0.00177139j 0.0113372+0.0494014j -0.0029929-0.0202183j 0.00217778+0.0396073j 0.0475456+0.0243342j -0.0100029+0.033391j -0.00838165-0.00168448j -0.00182974+0.00439074j -0.00317205-0.000274161j -0.00967372-0.00264838j -0.00226829+0.00192825j -0.00386671+0.00248107j 0.00149493+0.00426481j 0.00123308-0.00486033j 0.00402961-0.000623611j -9.55917e-06+0.00226343j -0.00192892-0.00648788j -0.000420843-0.00164728j -0.00146656-0.0115811j 0.00914909-0.00901959j 0.00826368-0.0214094j 0.0135929-0.00786071j 0.00782863-0.0050103j -0.00482085-0.0140461j 8.27264e-05+0.0208207j -0.0127392-0.0109257j -0.00653845+0.0083625j -0.00708362+0.00100877j 7.65333e-05+0.003174j -0.0013277+0.00734616j 0.000786947-0.00456354j 0.00336031+0.00528976j 0.00464926+0.00203639j -0.000483496+0.00151081j -0.00131578-0.001755j 0.00177587-0.00532255j -0.00645379-0.000213696j -0.000348629-0.00167822j 0.00134538-0.00379245j 0.00173821-0.00684088j -0.00128993-0.0111484j 0.0085599-0.00282964j 0.0020678+0.00549534j -0.00657271-0.00509017j 0.00200118+0.00623627j 0.00527219+0.00578709j 0.00908677-0.00111066j 0.0135251-7.65312e-05j 0.00353748+0.000796043j -0.00545374+0.00628053j -0.000624771+0.0118252j 0.00708105-0.0166196j -0.00688335-0.00700365j 0.00176282-0.00108821j -0.0017108-0.00847592j -0.00135822-0.00271169j 0.00110799-0.00195424j 0.00130241-0.000158687j 0.00136456+0.00107419j 0.00097433-0.000640041j -0.00201289-0.00379066j 0.000290355+0.00174425j -0.00252656-0.00101268j 0.00224878+0.000523613j -0.00514899+0.00112924j -0.000903172+0.00886056j -0.0026582-0.00202581j -0.00374888+0.00543037j 0.000412751+0.00137903j -0.00172187+0.00899239j 0.000607652-0.00171284j 0.00163242+0.0011595j 
-0.00273551-0.00219792j -0.00952983-0.0122516j -0.0098368+0.00811732j -0.00163977+0.0219593j 0.00436981-0.00811744j -0.0125489-0.0307431j -0.00309895+0.0428427j -0.000603666+0.0227237j -0.00968149+0.00943923j -0.0237599-0.0379437j -0.00423834-0.00784748j -0.00421671+0.0107212j 0.00360535-0.0137735j 0.00600705-0.0152116j -0.0098259-0.0013099j -0.0126275+0.0115124j -0.0103587+0.00337039j 0.00103202-0.00022503j 0.0036322-0.00426821j 0.000825897+0.00264492j -0.0102633+0.0207872j 0.0172354+0.00116787j -0.0198727+0.0223399j 0.00359331+0.0128713j 0.0159341-0.0170822j 0.00868979-0.0157407j 0.0208988+0.00771935j -0.022019+0.00625375j -0.00993983+0.00557449j 0.00211341-0.00579614j 0.00172306+0.00431602j -0.00283234-0.00266336j 0.00369465+0.00455053j -0.00275545+0.00380988j -0.00357024+0.000478891j -0.00345172-0.000481232j -0.00172793+0.00322253j 0.00107659-0.000953437j 0.000316002-0.00126859j 0.00141532-0.00184181j 0.0058449-0.00114868j 0.00452274+0.000791602j 0.0191903+0.00353425j 0.0108693-0.0122207j 0.00971953-0.00485999j -0.00192658+0.00632469j -0.012833-0.0161286j -0.0048609-0.0054073j 0.00144201-0.0158567j -0.00120888+0.0028898j -0.00360312-0.00481787j 7.79065e-05+0.00410657j -0.0045545+0.00382409j -0.00064648-0.000944092j 0.00108475+0.00140365j -0.00357018-0.000985264j 0.00308771+0.0014426j 0.000523119-0.00406269j -0.00151751+0.0101386j 0.00607253-0.00205673j -0.00168847-0.000385053j 0.00222297+0.0015241j 3.37369e-05+0.00249611j 0.00766464+0.00753073j 0.000654931-0.00169582j -0.00546579+0.00659213j 0.00237113-0.00223266j -0.00428457+0.00725229j -0.00794621+0.00344187j 0.00534991+0.00390963j -0.00673486+0.0131702j -0.0131257+0.00555131j 0.0139766-0.000376684j -0.0125358-0.00511807j 0.00682057+0.00765586j 0.00733553+0.012981j 0.00292038-0.000500078j 0.000199723+0.00174958j -0.00111875-0.0016276j 0.000587566+0.000156051j -0.000209415+0.00289258j -0.00153525-0.000249312j 0.000753943-0.000407423j 0.00212606-0.00125013j -0.0012565-0.000343742j -0.000204679-0.0021754j 0.00327653+0.00366338j -0.0013718+0.000780678j 0.00195063-0.00427521j -0.000358055+0.00232993j -0.000719345+0.00300531j 0.00456683+0.00137091j -0.00246219+0.000174615j -0.000441833-7.15239e-05j -0.00147248-0.00040029j 
