0.238653-0.189451j -0.049361+0.216794j 0.117948-0.118276j 0.0829878-0.361648j -0.38126+0.241525j 0.0656817-0.17249j -0.326088-0.277893j 0.0425045+0.121136j -0.101118+0.0408224j -0.14613-0.08261j 0.00148353-0.193234j -0.238131-0.304967j 0.194478+0.243268j -0.614783+0.486505j -0.117326+0.441251j 0.50251+0.481395j 0.136774-0.311122j -0.105638+0.325855j -0.308209-0.274008j 0.07582-0.113652j -0.462788-0.297224j 0.141949-0.174098j -0.0321372+0.0636143j -0.149667-0.136569j -0.241803+0.200554j -0.388776+0.468097j 0.108993-0.0613936j -0.0363582-0.461666j -0.476845+0.278986j 0.191289+0.0347026j 0.289362+0.0281595j 0.0175913+0.141272j 0.349576-0.0681254j 0.160547-0.118761j -0.071858-0.31372j 0.0338865+0.0400398j -0.23929+0.167848j 0.0433592+0.178741j -0.133359+0.210728j 0.108655-0.106517j 0.24014+0.042022j -0.0682629-0.233179j -0.29193-0.16368j 0.0328545-0.0290655j 0.0446355+0.104678j -0.194572-0.150094j -0.0512852+0.173845j -0.149653+0.0739505j 0.237995-0.209669j 0.0733635-0.170377j -0.234052+0.116032j 0.0681232-0.04553j 
-0.39015+0.0338959j -0.348654-0.125251j -0.183806-0.282536j -0.223055-0.232315j -0.219695+0.186559j -0.244623-0.193186j 0.225541-0.0595245j 0.0445197-0.227623j 0.366976-0.0721309j -0.152035+0.202078j 0.456884-0.149328j 0.248676-0.088845j 0.342975+0.482217j -0.275912-0.0417902j -0.207034+0.269112j -0.306204-0.0173326j 0.166901+0.258717j -0.275926+0.0499118j 0.229806-0.105428j -0.512192-0.312914j -0.15793+0.35053j 0.134635-0.357537j 0.00785143-0.668186j 0.13089-0.153337j 0.0873899+0.270048j -0.176686+0.144191j 0.227677+0.103251j 0.0543606+0.119613j -0.0226377-0.0507008j -0.41326-0.231899j -0.0731685+0.354083j -0.099649-0.245637j 0.165194+0.0186225j 0.151864-0.311248j -0.232645-0.36207j 0.272727-0.236195j -0.207913+0.0650374j -0.0470436+0.106041j -0.0638073-0.0616335j 0.112602+0.0964164j -0.057992-0.301903j -0.416371+0.0356013j 0.0527765+0.0649824j 0.0965905+0.341924j 0.0995059-0.213912j -0.095485-0.140626j 0.152265+0.0659814j 0.105923-0.10688j -0.204466-0.0157063j -0.136451+0.112493j 0.135083-0.12529j 0.0353297+0.0876521j 
-0.308366-0.309566j -0.163748-0.377249j -0.353188+0.253822j 0.581243+0.173414j 0.306743+0.303488j 0.00576964-0.625068j 0.0805845-0.347343j 0.286318-0.0355347j -0.519184+0.0223423j -0.0684539+0.00221686j 0.0420968-0.280138j -0.625035-0.197831j 0.106541-0.527904j -0.295622+0.274212j -0.280131+0.0254656j 0.111829+0.304123j 0.0600957+0.343458j -0.014138-0.43672j 0.374277-0.543589j -0.186052-0.141678j 0.0711429-0.161596j 0.255138-0.118423j -0.408006-0.217807j -0.0318276-0.239184j -0.231094-0.00640162j 0.172144-0.0836086j -0.171504+0.0143024j 0.235434+0.347708j -0.143897-0.188032j -0.309481+0.177933j -0.365033+0.110398j 0.0848781-0.065007j -0.357779+0.17415j -0.0581234-0.0657591j -0.0398033-0.0885403j -0.0283962+0.103132j -0.0126219-0.201559j 0.228272+0.151351j 0.118324+0.161918j 0.00490548+0.177666j 0.0308958-0.269425j 0.0483361-0.0617941j -0.0265575+0.348028j 0.0586421-0.0498752j -0.0475994+0.0536894j -0.179016-0.209219j 0.0618492+0.0793222j -0.0222641+0.0727872j -0.105617-0.316988j -0.0416117-0.177757j 0.0617688+0.122746j -0.0463785-0.0337288j 
-0.538013-0.318478j -0.0606568+0.616069j 0.337576+0.510742j -0.370038+0.423266j -0.182756+0.0651054j -0.0228066+0.28812j -0.634461+0.240396j -0.236696-0.471682j 0.121728+0.0184332j 0.501602+0.312987j 0.106764-0.616805j -0.271884+0.349477j -0.40614+0.0291968j -0.183935+0.0433985j -0.496398+0.0142292j 0.430825-0.433867j -0.11372+0.0201554j 0.00158575-0.286504j -0.170396-0.661008j -0.0317366+0.00409073j 0.0155296+0.0681909j -0.438496-0.174707j 0.0244863+0.172588j -0.211124+0.148755j 0.00355958-0.0122739j 0.27591+0.249638j -0.235256+0.250318j -0.0619349+0.233778j 0.0744472+0.11218j -0.31665-0.0882398j 0.22498+0.118465j 0.025339+0.0269261j -0.178412-0.0719962j -0.219272-0.0578856j -0.0205622-0.0355128j 0.0435104-0.10411j -0.0712867+0.113191j -0.193866+0.182708j -0.0880349-0.0817053j -0.0702069+0.00714142j 0.114416-0.010403j 0.0158218+0.0146275j -0.179869-0.0564998j -0.0912447+0.00768695j 0.0367908-0.0170839j 0.0928978-0.0931666j -0.0582687+0.00897344j -0.0167243-0.0412678j 0.147323-0.027544j 0.0737002-0.103805j -0.10343+0.00283353j 0.0179906+0.0701641j 
0.00773082-0.0718554j -0.140451-0.0140943j 0.0867208+0.110079j -0.106437+0.0690915j -0.00932263-0.0532776j -0.0737978+0.040299j 0.0715444-0.0579844j -0.031838+0.0430763j -0.141214+0.125766j 0.127047-0.215384j -0.0926708+0.0560403j 0.112091-0.0534911j 0.0686663-0.0653604j 0.0191145-0.115386j -0.270474+0.0415014j 0.169212+0.0765901j -0.153294-0.0905055j -0.0144405-0.0222663j 0.172885-0.135935j 0.26615-0.175128j 0.0490079-0.0594864j 0.253352-0.22277j -0.165931+0.284373j 0.0441843-0.185331j 0.1468+0.158488j -0.260994+0.405653j -0.348766-0.256248j -0.0712093-0.0850164j -0.248137-0.0897049j 0.26464-0.388707j -0.434949+0.208436j -0.0119866-0.0593711j 0.145544+0.108896j 0.319768-0.51942j -0.0141594-0.228643j 0.312822-0.00930542j -0.588884-0.440455j -0.423583-0.294061j 0.210463-0.200246j 0.283943+0.0644772j 0.126249-0.508249j -0.136485-0.65304j -0.607892-0.241654j 0.0353546+0.0882573j 0.65616-0.346379j -0.042802-0.424015j 0.581219-0.141067j 0.100172+0.861791j -0.546514-0.0825983j -0.349537+0.443332j -1.90961+0.19589j -0.637866+1.60611j 
-0.158874+0.034563j 0.0309721-0.044735j 0.209835+0.183206j -0.165107-0.433902j 0.0137237+0.0179027j 0.0495103-0.0784485j -0.0115462+0.418415j 0.0748549-0.00683494j 0.202864+0.0308961j 0.138102+0.389913j 0.0555368+0.0352752j 0.275154+0.249055j 0.0584955+0.180381j -0.00551346+0.254247j 0.254804-0.341568j -0.108861-0.266059j 0.0815608+0.312117j 0.0195968-0.041428j 0.0964103+0.195393j 0.39959+0.0501268j 0.064841+0.0565466j -0.357898-0.0784363j -0.272472-0.470409j -0.155721+0.184219j -0.0853688+0.36209j 0.0376428-0.100372j -0.188868+0.0740603j 0.219002+0.0363765j -0.0124404+0.163886j -0.498572-0.128626j 0.224988+0.0478629j 0.0261087+0.0834339j 0.683345-0.248858j 0.0132086-0.745805j 0.238237-0.504182j 0.146801+0.307613j -0.357451+0.363586j -0.222487-0.162498j 0.10226+0.654222j 0.0268827-0.265002j -0.516982-0.543707j -0.402342-0.100386j -0.727531+0.133392j -0.239334-0.451204j -0.333934-0.709623j 0.30853-0.370412j -0.2406+0.166459j 0.192509-0.422996j 0.35187+0.626283j -1.59234+0.609878j 0.583389+0.190948j 0.194136+0.00890468j 
-0.0691808+0.146733j -0.278448-0.0189857j 0.324972+0.0872061j -0.368178-0.0198766j 0.175669+0.0469044j -0.0762255+0.116807j 0.016112-0.0154841j 0.188101+0.196718j 0.0778669+0.415943j 0.284399-0.103166j -0.44071+0.10031j 0.279785-0.224228j 0.0875484-0.0776295j 0.0107905+0.145417j 0.336345+0.164336j -0.014649-0.152955j -0.0730369+0.334345j -0.201525+0.275778j -0.193455+0.256512j 0.292654-0.107791j 0.0699795-0.315208j 0.356202+0.380331j 0.630734+0.181573j 0.0789941-0.180966j -0.0377171-0.15753j -0.288812-0.127936j 0.136925+0.157119j 0.244856-0.280056j -0.0337752-0.115844j 0.659432-0.332235j -0.0437689-0.47138j 0.185878+0.425172j -0.343382+0.209927j 0.348143+0.756647j 0.00286794+0.19909j -0.0741704-0.140833j -0.607251-0.0935807j 0.0661374+0.265009j -0.335061+0.409638j -0.0332334-0.315571j 0.816197-0.0512891j 0.402481-0.124325j -0.623482+0.378382j -0.0831815+0.626965j 0.303067-0.856338j -0.555248+0.682063j -0.931449-0.430346j -0.504838-0.547309j 0.140429+1.03163j -0.845111-0.19879j 0.368037-0.43018j 0.214278-0.847051j 
-0.00584945-0.0461967j -0.271394+0.130238j 0.22508+0.151751j -0.406889-0.155227j 0.155882+0.0385321j -0.122761-0.0751523j -0.141229+0.493149j -0.0103628+0.0686171j 0.116139-0.0064803j 0.332704-0.0934549j 0.117031-0.212214j 0.383194+0.132218j -0.177865+0.0661323j 0.286077+0.0870368j 0.263526-0.231728j 0.365166-0.0823527j -0.155722+0.020461j 0.0681007-0.563918j -0.151882-0.389914j -0.14372-0.283493j -0.121152-0.181551j 0.371112-0.0492832j -0.0997282+0.216978j -0.574115-0.244503j -0.00132673-0.318358j 0.160437+0.441795j -0.0878587-0.228882j 0.149551+0.295633j -0.000359813+0.14593j -0.437563+0.00178664j -0.168671+0.496498j -0.393946+0.232726j -0.286006+0.0835672j 0.227906+0.298081j -0.118606+0.840163j -0.446353-0.124998j -0.758389+0.496765j 0.421082+0.748526j -0.586528-0.0373184j -0.265336+0.460394j -0.568701-0.457855j 0.462525+0.467076j -0.122653-1.00787j -0.656067+0.0118517j 0.504301+0.459359j 0.132432+0.625103j 0.239913-0.133642j 0.603652-0.394276j -0.673417-0.543226j 0.653837+0.690221j -0.033009-0.0219953j 0.375356-0.409082j 
-0.0652704+0.0950612j 0.231531-0.214351j -0.00861833-0.12454j -0.239226-0.106844j -0.378336-0.0430003j -0.0926398-0.207212j 0.228362-0.229621j -0.0316322+0.130678j -0.189153+0.0251083j -0.463986+8.41046e-05j 0.0335954-0.0961167j 0.177003-0.301461j 0.0776689-0.229499j 0.0644295+0.538426j 0.0836683+0.201786j 0.0500581+0.161208j -0.186433+0.384393j -0.220468-0.426734j 0.424517+0.611483j 0.183261+0.0820395j 0.172674-0.0107744j 0.865503+0.151143j 0.311546+0.00919307j 0.147917-0.25821j -0.351093-0.544668j -0.19686+0.0105463j -0.348028-0.168969j 0.150789+0.0426767j 0.24846-0.39622j 0.090401-0.619144j 0.567472+0.25392j 0.343272-0.042634j -0.358758-0.200477j -0.14899-0.0971422j -0.125244-0.136767j -0.52382+0.406555j -0.489381-0.416194j 0.468848+0.148676j 0.544698+0.952943j -0.100726+0.438832j -0.802011+0.00295643j 0.271796+0.753375j 0.0767169-0.297941j 0.373922+0.916453j -0.103039-0.411933j -0.313063-0.0415456j 0.359906+1.05057j 0.821783+0.106318j 0.570959+0.199002j 0.323213-0.627924j 0.323034-0.594049j 0.492615-0.219939j 
0.0550444-0.121226j -0.257334+0.385283j 0.0661237-0.0115312j 0.246886+0.45704j 0.169896-0.11229j -0.292867+0.0857095j -0.297983+0.108581j 0.264216+0.118681j 0.222289+0.0705052j -0.281654+0.112424j -0.275572+0.124723j -0.316211+0.112884j 0.135864+0.138023j 0.335323+0.198589j -0.209135+0.0432466j -0.548902+0.205644j 0.462615-0.56169j -0.0558365-0.203462j 0.030159+0.317844j 0.0100657+0.130098j 0.486489-0.0374904j -0.206773-0.079685j -0.687774+0.0299169j 0.308841+0.0936489j -0.285399-0.330867j 0.211333-0.435659j -0.645903-0.743298j -0.0789979+0.00183959j -0.0136289-0.0742246j 0.116232+0.196048j 0.0147426-0.0992447j -0.941985-0.150077j -0.158132+0.915087j -0.65282+0.518014j 0.135988-0.614089j -0.34691-0.122081j 0.115307-0.262572j -0.297845+0.0613692j -0.0680399-0.243048j -0.375034-0.360898j 0.167436-1.08881j 0.634266+0.518963j -0.998358-0.410152j -0.414005-0.191425j -0.16658-0.540986j -0.390884+0.474921j -0.154739+0.780547j 0.185183-0.146359j 0.45996+0.900146j -0.370398+0.18653j 0.0602697+0.404265j -0.600523-0.199329j 
