0.0408963+0.0118986j -0.0511033-0.0764835j 0.0920636-0.124647j -0.150109-0.0113344j -0.0220058-0.0807088j 0.206458-0.240894j 0.117688-0.0319382j -0.237937-0.0730432j 0.221299-0.15615j -0.130404-0.00256733j 0.256903+0.0938148j 0.0294043-0.440345j 0.0597549+0.233437j 0.145689+0.0833119j -0.110183+0.0749302j -0.475837+0.302288j -0.0458257-0.255444j -0.481883+0.385193j -0.376653-0.495281j -0.031904+0.260971j 0.574672+0.0263129j 0.0754915-0.475318j -0.715563+0.315015j 0.0740925-0.0109434j -0.676419-0.214845j -0.0725114+0.626239j -0.0132336-0.544914j -0.466785-0.185426j 0.0586763+0.149074j 0.121108+0.551745j 0.151911+0.123445j -0.218238-0.0260362j 0.0971384+0.0787656j -0.353318-0.136857j 0.257906+0.00268743j -0.35368-0.0943317j 0.0146724+0.0381274j -0.0962115+0.363499j 0.406013+0.326078j 0.0272965-0.0167792j 0.50031-0.639419j -0.588451+0.104708j -0.702775-0.149305j -0.0751243+0.0671533j 0.569184+0.793701j -0.36913-0.366681j -0.129004-0.335731j -0.53059-0.502909j -0.0195744+0.0776587j -1.1296+0.413172j 0.353095+0.066204j -0.336728-1.03788j 0.426879-0.0189386j -0.0575423+1.02244j 0.737825+0.180694j 0.646825+0.520048j -0.770284+0.105809j 0.0677529-0.247484j -1.05053-0.151726j 0.349058+0.216288j -0.0681065+1.22462j 0.566423+0.476988j 0.988248-0.539256j 0.0630706-0.246941j 0.076868+0.193033j -0.396112-0.317668j 0.334503+0.280335j 0.379037-0.471017j -0.912162-0.133407j 
-0.089172-0.0544507j 0.129563+0.0498079j 0.190331+0.19326j -0.0314379-0.0141286j 0.18954-0.250987j 0.384423+0.184552j 0.214638+0.00453756j -0.00316732+0.279899j 0.220666+0.106753j -0.363655-0.0182672j 0.732632+0.134205j 0.0778815-0.286688j 0.185591-0.192968j -0.22524+0.400934j -0.0128527-0.195135j 0.0171675+0.189793j -0.138876+0.475106j 0.252361+0.239538j -0.202914+0.587633j -0.130398+0.0141513j 0.0303902-0.813477j 0.384539-0.214882j 0.150737-0.432673j -0.149686-0.255212j 0.480083-0.275052j 0.207031+0.0930775j -0.236809+0.27831j 0.0661692+0.556653j -0.138973+0.0714478j -0.0498547+0.537689j -0.285851+0.442435j 0.256127-0.325768j 0.279138+0.110493j -0.212473-0.806639j -0.249874+0.107713j 0.461334-0.424907j -0.0293482-0.0682972j 0.327512-0.491502j -0.114691+0.444667j -0.178251-0.644036j 0.085016-1.07376j 0.352155-0.0564084j -1.3872-0.333958j 0.0537598-0.546053j 0.191506+0.379806j 0.117827-0.297487j 0.192595-0.370279j -0.427055+0.0455768j 0.365397-0.731772j 0.678636-0.0118405j 0.440481-0.467219j -1.16586+0.128118j 0.321276+0.351192j -0.142732-0.678878j -0.717309-0.325347j -0.258584+0.125468j -0.262789+0.732241j -0.140186+0.482649j -0.189315-0.16557j 0.0684475+0.0808821j -0.356493+0.158362j -0.153333-1.30239j -0.442681+0.568941j 0.209005-0.146136j 0.0609495-0.317698j -0.173421+0.0511189j -0.397373-0.894526j -0.522413-0.0976686j -0.783721-0.438768j 
-0.177814+0.116843j -0.0847469-0.118537j -0.181394-0.132912j 0.616072+0.207952j -0.262568+0.250579j 0.234945+0.0595958j -0.0375513-0.183023j 0.222503-0.548272j -0.472687+0.0668902j 0.456892+0.117878j 0.237944+0.0777296j -0.0474576-0.36014j -0.168824-0.133411j -0.436637-0.612279j -0.298762-0.191349j -0.110488+0.291186j -0.0329495-0.158373j 0.0956382-0.0150231j -0.0585127+0.161928j -0.108494+0.244095j 0.188627-0.339687j 0.405888+0.266304j 0.16129-0.2613j -0.363181-0.767861j 0.067555-0.047491j -0.349819+0.71606j -0.00445375+0.247903j 0.216043-0.336863j 0.242221+0.166472j 0.226037-0.251671j 0.490536-0.265482j 0.000491643+0.271113j -0.19215-1.12584j 0.183669-0.591274j -0.459197+0.198801j -0.603438-0.108924j 0.0601752+0.111805j -0.963635-0.21106j -0.381206-0.909721j -0.229315+1.05604j 0.642624-0.113279j -0.0647771-0.318261j 0.164817-0.359638j -0.0501281-0.168701j 0.625761-0.951958j -0.52372-1.12994j 0.123986+0.351711j 0.0124827+0.442706j -0.466517-0.0825266j 0.218915+0.314814j 0.766813+0.320883j -0.084295-0.363946j 0.0782199-0.319408j 0.0497684-0.311363j -0.254549-0.562314j -0.200124-0.132844j -0.416986-0.283649j -0.0923755-0.085356j -0.101361-0.53522j -0.58791-0.109422j -0.68285+0.157914j 0.0964307-1.00451j 0.151652+0.253836j -0.702173-0.173035j 0.325342+1.07865j -0.654194-0.75745j -0.417712+0.0355691j 0.590807+0.277569j 0.130052+0.53664j 
-0.215801+0.146051j 0.0306699-0.227444j 0.319669-0.133797j -0.119131+0.0383314j -0.556609+0.322809j -0.228264-0.538572j 0.0619516+0.249187j 0.038649-0.161806j -0.227125+0.114101j -0.215983-0.461535j 0.01268+0.510909j 0.085485-0.0294054j 0.371037+0.00708936j -0.265474+0.309213j 0.785602+0.00636638j 0.250958+0.264509j 0.483486-0.0352154j -0.137538-0.0963291j -0.182623+0.384191j 0.22407+0.269063j -0.100772+0.404612j -0.126988-0.251356j 0.0336898+0.115458j 0.170233-0.529188j 0.679371+0.343159j 0.0922424-0.00329523j 0.472998-0.114024j -0.204245-0.124699j 0.161853+0.343146j 0.209142+0.112557j 0.619175+0.41359j -0.167026-0.561899j -0.663184-0.457704j 0.264136+0.692034j 0.852227-0.703009j -1.00323-0.0432936j 0.288338+0.126059j 0.115516+0.204387j 0.0737596-0.0161587j -0.0547109-0.392529j 0.381703-0.0456876j -0.242703-0.191627j -0.186639-0.514912j 1.38073-0.60479j -0.258223-0.211845j 0.472577+1.00457j -0.319212-0.721216j -0.096477+0.152987j -0.17776+0.0165482j 0.320472+0.0381454j -0.208953-0.0486891j 0.298396-0.900146j 0.184988-0.589134j -0.184843+0.267196j -1.47476-0.251899j 0.246831-0.415983j 0.0251158+0.479132j 0.518492+0.149214j 0.152586+0.293616j 0.100436+0.143652j 0.0292109-0.184713j 0.293671+0.0849354j -0.805448+0.108205j -0.729031-0.488381j 0.374899-0.566249j 0.611706-0.524629j -0.161532+0.609811j 0.490915-0.391064j -0.262491+0.230561j 
-0.25264-0.214738j -0.170841-0.318422j -0.169736-0.241299j 0.454229+0.663647j 0.169303-0.0434187j 0.354303-0.403984j 0.0759334+0.452008j -0.382693+0.300585j 0.197402+0.456411j 0.153316+0.121881j 0.0476718+0.0106547j 0.0534013+0.0938238j 0.0759843+0.249446j 0.131986+0.186107j -0.210407+0.313502j 0.351576-0.746018j -0.276236-0.0328178j -0.00395774-0.299414j 0.013108-0.0454861j 0.623768-0.197984j 0.0585369-0.258891j -0.369062-0.46377j 0.280715+0.213995j 0.0667182+0.378747j 0.346148+0.0638731j -0.75254+0.52756j -0.319448+0.177841j -0.0498954-0.0516247j -0.289839+0.538831j 0.117761+0.0968729j 0.692017-0.383692j -0.349776+0.200568j 0.64466-0.544329j 0.0471639-1.27656j 0.983645-0.509029j 0.0995706-0.288069j 0.108413+0.986157j 0.593951+0.113415j -0.690964+0.289359j 0.168984+0.683751j -0.242798+0.358855j -0.199961+0.525506j 0.028895-0.0238605j -0.153339-0.511873j -0.0253385+0.190531j -0.208234+0.619194j 0.061635-0.152765j 0.750469-0.322823j -0.214121+0.164799j -0.030912-0.205319j -0.141336-0.725948j -0.253767+0.537955j -0.297904+0.955108j 0.708976+0.763961j 0.194472-0.0147954j -0.32371-0.251451j -0.104251+0.462935j 0.527387-0.16275j -0.189117-0.891916j -0.0550917+0.95012j 0.87895-0.286291j -0.200253+0.0106149j -0.635099-0.105078j 0.458758+0.481545j 0.0151936+0.479769j 0.191452-1.05079j -0.044874-0.263674j 0.386564+0.288821j -0.288246+0.00820089j 
-0.298446-0.447346j 0.106871-0.419077j 0.322469+0.281588j 0.142859-0.0555147j 0.348537+0.404527j -0.180275-0.205095j -0.0170994-0.333969j 0.421187-0.00437815j -0.1491-0.33827j -0.0938199-0.635125j -0.0600091-0.496682j 0.213332-0.374278j 0.193661+0.152439j -0.186712-0.181818j -0.0630039-0.428515j -0.263346-0.22131j -0.413289-0.334438j 0.277259+0.203727j 0.793846-0.283639j 0.335564-0.22058j 0.239763-0.0889991j -0.0687278-0.480389j -0.483612+0.41743j 0.100981-0.284396j 0.291364+0.220973j 0.0742633-0.0575363j -0.057732+0.407958j 0.0911176-0.0204865j -0.821967+0.475877j -0.00292918-0.0707907j 0.547727+0.180534j 0.678782-1.06542j -0.391084-0.351717j 0.0855876-0.221875j 0.178376-0.151696j 0.20521+0.557214j -0.057011-1.46195j -0.520115-0.270873j -0.0597426+0.0665411j 0.193453-0.35481j 0.0989614+0.231692j 0.475674+0.66576j -0.338437-0.11013j -0.749102+0.687624j -0.165415-0.685752j 0.222792+0.412903j -1.06161+0.278148j -0.517746-0.213772j -0.497683-0.487626j -0.695628+0.195459j 0.415786+0.101371j 0.17973+0.140068j -0.101089-0.607137j -0.288918+0.35194j 0.14781+0.469199j -1.27073+0.395448j -0.211297-0.0643414j -0.126552-0.977231j 0.276604-0.426768j 0.213689+0.496488j 0.230962+0.532655j 0.0556533-0.125118j -0.40563-0.400481j -0.446306-0.373778j 0.207503-0.7575j 0.206138+0.00133014j -0.361221-0.387011j 0.156235+0.428954j -0.0739887-0.0882618j 
-0.221519+0.639443j 0.414202+0.0552394j 0.114527+0.29072j 0.0516403+0.438903j 0.340011-0.178481j -0.432611+0.0328461j -0.453769-0.129784j -0.257195-0.282676j 0.384907-0.0313132j 0.560584-0.315242j 0.204034-0.496381j 0.343888+0.233774j 0.323021+0.348324j 0.87001+0.0261429j -0.0891387+0.0134651j -0.0155656+0.34134j -0.235261-0.385123j -0.301906-0.655259j -0.388367+0.177197j -0.435145+0.0549698j 0.180285+0.0686613j 0.259966-0.268787j 0.483275+0.249047j -0.236274-0.208088j 0.0661751-0.0859291j 0.27461-0.0156603j 0.13024+0.105771j 0.274831+0.088091j 1.32504-0.0306517j -0.0604269-0.0804423j 0.043614+0.83042j 0.285196-0.0165143j 0.24789-0.302805j 0.255294-0.173998j 0.244472-0.140332j 1.13016+0.379054j 0.495635-0.752514j 0.414165+1.32939j 0.133936-0.0924377j -0.935626+0.552946j 0.151228+0.226834j -0.524502+0.0141735j -0.615853+0.58016j -0.817065+0.401463j -0.192509-0.885473j 0.198333+0.229695j 0.322916-1.01825j 0.306411-0.0865718j -0.0974841-0.176901j -1.08579-0.350406j -0.494926+0.537952j 0.0441386-0.109177j -0.545473+0.633809j 0.513964-0.846648j -0.0836173+0.244711j 0.554599-0.12203j -0.750801-0.198795j 0.415681+0.615569j 0.155991+0.0771875j 0.49188-0.428652j 0.0103463+0.420913j 0.0309535-0.0262868j -0.374976+0.0501706j -0.366601-0.023399j -0.282064+0.114689j -0.138934+0.0160917j -0.205577-0.0434543j 0.0667618-0.146569j -0.0201545+0.165094j 
-0.0214927+0.0747262j 0.150215-0.0482515j 0.0435152+0.200919j 0.201643-0.168766j 0.164782+0.0795784j -0.136971+0.447046j -0.131061+0.127298j 0.320462-0.0161301j -0.20941+0.315815j 0.101611-0.0208536j -0.171847-0.109143j -0.118462+0.621359j -0.144927-0.254808j -0.256112-0.000174132j 0.160552-0.0634588j 0.46779-0.363877j 0.0435866+0.480927j 0.625371+0.31418j -0.337066+0.298739j 0.018305-0.0273812j -0.509863-0.0772033j -0.341721+0.836759j 0.271721+0.876908j 0.705521-0.388102j -1.42519-0.382052j -0.472651+0.0945144j 0.628101-1.07721j 1.0729-1.77779j -0.237628+0.0627008j -1.10458-0.479417j -0.171719+0.0251806j 0.136095-0.192391j -0.0992942+0.0900219j 0.272253-0.101702j -0.210563+0.17386j 0.30849-0.110621j -0.00694462-0.0191093j -0.0267618-0.300616j -0.561337-0.0760498j 0.0128507+0.0657217j -0.401105+0.42742j 0.351256-0.292857j 0.452487-0.152857j 0.0103781-0.133085j -0.524703-0.672356j 0.375607+0.403649j 0.186943+0.140265j 0.538271+0.309352j 0.45457-0.824581j 0.658324+0.447939j 0.232578-0.36259j -0.022576+0.710467j 0.15151-0.117086j 1.46041-0.235679j -0.664667-0.234147j -0.00606706-0.236423j 0.38845+0.0210669j 0.279142-0.93768j 1.02902+1.28562j 0.713521-0.523711j 0.683213+0.575632j 0.218897-0.714655j 1.39567-0.323508j 0.510599-0.0328155j -0.487336+0.0513347j -0.316007-0.80636j -0.251001+0.908771j 0.659133+1.2068j 0.743952-0.935588j 
-0.0840559+0.0383371j 0.222814-0.0213514j 0.271617+0.266103j -0.001166+0.0343862j 0.16976-0.0722401j 0.454655+0.173822j 0.223337-0.0672859j -0.0884239+0.327653j 0.308048+0.0103033j -0.409127-0.00981951j 0.470236+0.520503j 0.510481-0.501997j 0.15183-0.330382j -0.400179-0.0891857j -0.218043-0.0301404j -0.511091+0.267671j -0.381429+0.320451j -0.0487191-0.0126899j 1.0761-0.851097j -0.040511-0.762052j 0.222235-0.399636j -0.53359+0.368857j -0.240274+0.230512j -0.00460549+1.06175j -1.03334-0.960932j 0.792425-1.16513j -0.311394+0.514896j 0.955193-0.370305j -0.0847729+0.172669j 0.635488+0.122617j 0.0848271+0.48739j 0.134709-0.400528j 0.109615-0.00910072j -0.206219-0.745389j -0.156982+0.240615j 0.213846-0.257822j -0.0226543-0.0543778j 0.213551-0.423386j 0.111946+0.427059j -0.353998-0.473464j 0.844634-0.248544j 0.376388-0.232227j -0.300353-0.721583j 0.173164-0.528081j -0.050483-0.23242j -0.415327-0.592311j 0.198009-0.0087654j -0.565621-0.578215j 1.01525+0.295936j -0.409164-0.482564j -0.135625+0.300486j -0.612757-0.70312j -0.994293+1.2101j -0.701889+0.0497292j -0.603351-0.711826j -0.893392+0.4157j -0.0173489-0.617055j 0.531682-0.385667j -1.02822+1.00938j -0.0778225+0.551884j 0.849147+0.48155j 1.32244-0.286879j 0.466253-0.239474j 0.308387+0.805764j -0.694053-0.698347j -0.843415+0.839597j -0.91373+0.155005j -0.260583+0.88927j -0.5445+0.800836j 
0.215163-0.246844j -0.0804408+0.187627j 0.173199+0.130277j -0.614819-0.182725j 0.599552-0.0925507j -0.113356+0.0881443j 0.290389+0.1279j -0.794205+0.52715j 0.26475+0.228322j -0.377889-0.202013j 0.25881+0.594209j -0.594965+0.144683j 0.155573-0.293944j -0.389012-0.441377j -0.00753521+0.770663j -0.536209+0.64199j -0.311082-0.126954j 0.560517-0.379047j -0.532719+0.291296j -1.13829-0.400742j -0.276279+0.60208j 0.458276+0.701609j -0.87557-0.331297j 0.252079+0.521028j 0.548156+0.132365j -0.834632-0.186751j 0.470557-0.483712j 0.573102+0.574199j -0.291527+0.0102339j 0.421357+0.776195j -0.465943+0.141795j 0.00329126-0.123984j 0.290059+1.04162j 0.0924034-0.185241j 0.100207-0.301896j 0.253346+0.1479j 0.064992-0.0531728j 1.11829+0.82488j -0.187974+0.471468j 0.556074-0.354984j 0.048465-0.890962j 0.413217+0.0814602j 0.185975-0.624391j -0.167082-0.244938j -0.0925088-0.421215j -0.916017+0.700431j -0.0704375+0.468794j -0.715438-0.880159j -0.00596523+0.274022j 0.565374+0.746122j 0.43869+0.668188j -0.411487-0.178221j 0.334307+0.816875j 0.196567-0.640382j -0.580446+1.31656j -0.175513+0.453716j -0.0384081+0.114494j -0.338831+0.661771j 0.199197+0.596186j 0.825155-0.337423j -0.453725-0.48111j -1.47408-0.553444j 0.464493-0.296211j 0.701195-0.701055j -0.64922-0.100111j 0.873212-0.626059j 0.0649961+0.13515j -0.734828+0.615369j -0.944052+0.0277308j 
0.172262-0.191245j -0.122127+0.177345j -0.33106+0.146123j 0.391796-0.00965879j 0.389983+0.0665498j 0.0988733+0.568762j -0.322508-0.240147j 0.0720157+0.0050537j 0.246991+0.099809j 0.168472+0.776698j -0.216119+1.04249j 0.542911+0.071136j -0.241791-0.450325j 0.329714+0.34207j -0.68327-0.00866397j -0.0733711+0.671332j 1.12118+0.268442j -0.327914+0.0817244j -1.00054-0.652567j 0.521008+1.13194j 0.836762-0.0630924j -0.0673324+0.349839j -0.0442472-0.444614j -0.177858-0.104017j -0.672533+0.606289j 0.304483+0.829472j -0.122644+0.629998j 0.008396-0.0433585j -0.224812-0.146878j -0.280127+0.543583j -0.514085-0.374102j 0.292838+0.302162j 0.0171442+0.0446599j 0.38896-0.382498j -0.542612+0.429003j 0.240261+0.497142j -0.345596+0.0830402j 0.492733-0.399087j 0.0906262+0.137361j -0.558552+0.873957j 0.996072+0.365747j 0.504124-0.26094j 0.240874-0.906467j -0.983152-0.210921j -0.358754+0.900326j -0.0385379-0.27645j -0.46514+0.021009j -0.0319989+0.672604j -0.400892-0.432709j -0.5433+0.311671j -0.158201-1.13558j -1.38408+0.0100878j 0.894604+0.194631j 0.374315-0.072123j 0.0210195+1.78347j 0.990617+0.785899j 0.897828+0.326756j -0.497178+0.67038j -0.068959+0.0757168j -0.489782-0.325124j 0.0626385-0.212265j 0.402205-0.552467j 0.293691-0.578417j 0.280439-0.315897j 0.881057+0.849942j 0.0556453+0.633138j -0.530263-0.297225j 0.331304+0.344894j -0.380627-0.396682j 
