-0.00828938+0.0119103j 0.00779058+0.0174291j -0.0076089-0.028166j 0.0214289+0.00639775j -0.0354691-0.0176904j -0.0224001+0.0136137j -0.023233-0.0235843j 0.0306756+0.00795839j -4.28527e-05+0.000354203j -0.00407134+0.00893352j -0.0130752+0.0279931j 0.00197272-0.0297715j 0.0030528-0.0151546j -0.0129346-0.000205068j -0.0060369-0.0118064j 0.00169322+0.00044147j 0.0230623-0.0005209j -0.0177619-0.0175564j -0.00835015-0.00292725j 0.0181025-0.0111533j -0.00788279-0.0111155j 0.00627483-0.00242969j 0.0111023+0.0012158j 0.00246751-0.0158472j 0.00260498-0.00759985j 0.00409701-0.00531123j 0.00492195-0.0046742j 0.00666775-0.00258621j 0.00773692-0.00103586j 0.0140088-0.00970528j 0.00150388+0.0203652j 0.0151266+0.00112842j -0.00533811-0.00745198j -0.00125647-0.0159931j -0.00709707+0.00990141j 0.0122546+0.00512456j 0.00167032+0.013568j -0.00555196+0.0233981j -0.0252816-0.0289365j -0.010645-0.00432671j 0.0180845-0.0140304j 0.0225498-0.00681267j 0.0181626-0.00308779j 0.0025824-0.0142517j 0.0264862-0.003846j -0.0277452-0.00658792j -0.0207375+0.00715358j -0.00934615-0.0313333j -0.00843084+7.6721e-05j -0.00117453-0.0287807j 0.0299208-0.00100573j -0.019043+0.0065396j -0.0198409-0.00839814j 0.00669003+0.0113244j 0.00446969+0.0008236j 0.00680656+0.043139j -0.00293781+0.00221459j -0.0195969-0.00904475j 0.00189941+0.00402319j -0.0151893-0.0248684j 0.0112214+0.00316363j 9.50551e-05-0.0144835j 0.0138563+0.0143778j 0.0173962-0.0150443j 0.012916-0.00695621j 0.0223436-0.0354925j -0.024829+0.0146337j -0.040495-0.0741284j -0.00279447-0.00734064j 0.0174799+0.0601808j 0.00731469-0.00407066j 0.00409656+0.0105459j 
0.00587535+0.0193907j 0.00891722-0.00460344j -0.00225214-0.0249366j 0.00449947-0.00616996j 0.0200898-0.043927j -0.00919646-0.00140514j -0.0151061-0.00992059j -0.00352865+0.000241528j 0.00149333-8.91043e-05j -0.0101444-0.0103616j -0.00511156-0.00359223j 0.015849-0.0122476j -0.00979725+0.00646164j -0.0107455-0.0209422j -0.00718258+0.0093508j 0.00935308-0.000546243j -0.0101091+0.013723j -0.00155546+0.00106342j 0.0104917+0.00437835j 0.0101064-0.00747439j 0.00240136-0.0113889j 0.0105362+0.0151467j 0.00462152-0.00422922j -0.00231138-0.00126505j 0.00522325-0.0022868j 0.00489398-0.0027369j -0.00786039-0.0037578j -0.00524523-0.00247921j 0.0102906+0.0082189j -0.00737674+0.0118148j 0.00228935+0.0102481j 0.0114449-0.010602j -0.00375171-0.00692353j 0.00378394-0.0033166j 0.00313476+0.0102889j 0.000576441-0.00649113j -0.0125698+0.00693787j -0.0130691+0.0142688j -0.0139435+0.0120322j 0.0150306+0.00653464j -0.0145631-0.00368106j -0.00651426-0.0229063j -0.0182088+0.00408874j -0.0102065-0.00508865j -0.00805112+0.00169217j -0.00751935-0.000859984j 0.0213026-0.00373885j -0.0155104-0.0150866j 0.0050922-0.0290507j -0.0183281+0.0192917j 0.00469013-0.0263713j 0.0197307-0.018125j -0.0160294+0.00260124j -0.0398321-0.0146167j 0.00531291+0.00647167j -0.00407104+0.0021689j 0.0170229+0.00576552j 0.035872+0.013769j -0.0238894+0.028993j 0.00892091+0.00142466j -0.00814302-0.00341551j 0.00600253-0.0362089j 0.00791451+0.0160856j 0.012904+0.00139396j -0.0123925+0.0364422j 0.0241156-0.00278318j -0.0321696-0.0118651j 0.0653797-0.0354926j 0.00192235+0.0261495j -0.0268254+0.0210931j -0.00144069-0.00415967j 0.00387326-0.000226945j 
0.00471491+0.0214524j 0.00690165-0.00483913j 0.0177695-0.048647j 0.0206794+0.000624849j 0.0361857-0.061741j -0.00445035-0.0144252j -0.0104045-0.0312406j 0.0185928-0.010169j -0.00716853-0.00995969j -0.00839366-0.00741638j 0.00387406+0.0138859j 0.0156933-0.0233379j -0.00997784+0.0116574j -0.00860036-0.0255237j -0.0131307-0.00634909j 0.00451706+0.0054062j -0.0189343+0.014801j -0.0231871+0.00700108j 0.00937614-3.9663e-05j 0.0122279-0.0135349j -0.00696645-0.035581j 0.0214679+0.0222283j 0.00130226+0.00247382j -0.0172279-0.00530969j 0.0177483+0.0128777j 0.0153092+0.00779109j -0.00623946-0.00571716j 0.00498247-0.0133437j 0.0124894-0.00801006j 0.0034616+0.00841155j 0.0205625+0.0262617j 0.0188446-0.0202731j -0.018503-0.00772353j 0.00247837-0.00585743j 0.0172536+0.00635158j -0.0109764-0.012242j -0.0148084+0.0172319j -0.0201385+0.027072j -0.0167194+0.00498132j 0.00425432-0.000533656j -0.0167505+0.00288052j -0.0129379+0.00196213j 0.0139565+0.00567645j -0.0325294+0.00409467j -0.012656-0.0145758j -0.0157449+0.00521524j 0.00317488+0.000516764j -0.000177313+0.0201795j 0.0118806-0.00850947j -0.00546495-0.0184215j -0.0126818-0.0235303j 0.00654565-0.0131895j 0.00189968+0.0138859j -0.00937285-0.00422705j -0.00509699+0.0233044j 0.0212458+0.0234893j 0.0264347-0.0172392j -0.00164309+0.0109609j -0.00795993+0.00136219j -0.0139087+0.0213119j -0.0263752-0.0392959j 0.0334574-0.0208798j 0.0136767+0.0823849j -0.0244375-0.0184769j -0.0566847-0.00383542j 0.0054748-0.0153718j 0.000145445-0.0297509j 0.0428547-0.0278207j -0.0281787+0.00204733j 0.00338456+0.0417929j 0.00506876+0.00469568j 0.00962012+0.00538156j 
0.0134958-0.0176964j -0.0085327-0.0214303j 0.00497771+0.0351002j -0.0180924-0.00545449j 0.0439353+0.0374332j 0.0407368-0.00773377j 0.0358496+0.0254621j -0.0284636-0.0228711j 0.000289987-0.0127255j 0.00989849-0.00969632j 0.0370035-0.0136941j -0.0144115+0.0180177j -0.00552154+0.026656j 0.0341603+0.0202634j -0.000979772+0.00430096j -0.0264687+0.0129796j -0.0338777+0.00330533j 0.022837+0.0384702j 0.00330101-0.00811192j -0.0259633+0.000439207j 0.00798101-0.0191108j -0.00200504+0.00643577j -0.0119475+0.0153892j -0.00900445+0.025756j -0.0001868+0.00868975j 0.00800621+0.0149402j -0.00678689+0.0164327j -0.00431159+0.00509959j -0.00387409-0.00741984j 0.00318089+0.000555526j 0.0120535-0.00848935j -0.0221767+0.0129272j 0.00312596+0.00164898j -0.000951307+0.0321164j 0.0166065-0.0363571j -0.0260159-0.00627912j -0.0027822-0.0194193j -0.00734131-0.0351463j 0.0529856+0.0252896j -0.00908855+0.00494668j -0.0224623+0.00545912j -0.0277358+0.0278586j 0.00441073+0.0176075j -0.00713538+0.0393636j -0.0295555+0.00940426j 0.0472658+0.0214215j 0.0118513-0.0116887j 0.014977+0.0443334j 0.010494+0.0267928j 0.00597068+0.0144702j -0.047203-0.00438203j 0.00658634-0.0118397j 0.0413485+0.00649494j 0.00234269+0.0139709j -0.00580662+0.011207j 0.00214708-0.0179256j -0.00221081-0.0104111j 0.0035337-0.00539647j 0.00804508-0.0244746j -0.00805477+0.0331298j 0.00442926-0.0232789j -0.00279721+0.0283202j -0.0269898+0.00453458j -0.032691-0.0245923j -0.0129856-0.0148496j -0.0330623+0.0224768j 0.034348-0.0213341j 0.0296195+0.087113j 0.0230582+0.0140642j -0.0285309-0.0340681j -0.0207102+0.0069518j -0.00958932+0.00182351j 
0.00283832+0.0132771j 0.0124812-0.0092078j -0.00500714+0.0119513j -0.00792201-0.0163817j 0.0408469-0.0170655j -0.00337435-0.00364691j -0.0137684+0.0101781j -0.0353003+0.00819168j 0.00756127+0.0212889j 0.00276639-0.0253202j 0.00171617-0.0324566j 0.0134817+0.025774j -0.00740359-0.000112618j -0.0183203-0.033665j -0.0188292+0.0354187j 0.0179383-0.0192239j -0.019662+0.0030229j 0.00707373+0.0207698j 0.0274572+0.00548974j 0.00211486+0.0104092j 0.00661331+0.00405884j 0.00066274+0.0142206j -0.00898867+0.00118935j -0.00206083+0.0105125j 0.00128669-0.000950732j 0.0140328+0.00669348j -0.00350713-0.00851739j 0.00592198+0.000613796j 0.028062+0.0180015j -0.0196776+0.0173859j 0.00351599-0.00372649j 0.00209922-0.029678j 0.00504857+0.00982502j 0.0189433-0.00542465j 0.00670108+0.025533j -0.00167219-0.00842194j -0.0131407+0.00677106j -0.000284022+0.00305555j -0.010986+0.0312665j 0.0388039-0.00315187j -0.0312435-0.00844792j -0.0197897-0.038758j -0.0217716-0.00751713j 0.0155599-0.025472j 0.014499-0.00511483j 0.02452-0.0144231j 0.048576-0.01494j -0.0320228-0.0197061j 0.00274076-0.0314612j -0.0452944+0.0590791j 0.00492012-0.0166109j 0.0521727-0.0333618j -0.0263269+0.0227739j -0.0449623-0.0514894j 0.00150357-0.0157807j -0.021455-0.0395397j 0.00505094-0.00278973j 0.0684633+0.0287524j -0.00715531+0.0310966j 0.0282236-0.018944j -0.011048+0.0210364j -0.00262189-0.0295849j 0.0161679-0.021245j 0.00448931+0.0216005j 0.017658+0.0386875j 0.029772+0.00663051j -0.0430647-0.00102142j 0.0778645-0.00834127j 0.0448813-0.00181778j -0.0138214+0.00715312j -0.017804+0.00496599j 0.0167592-0.00113642j 
-0.00868418+0.00160175j -0.00583627+0.00971332j 0.0172691-0.0238689j 0.018436-3.87771e-05j -0.0109701-0.0105931j -0.00675571-0.0101362j -0.00315535-0.011278j 0.0337072+0.00252416j -0.00546321-0.00468026j -0.004269+0.0196926j -0.0204991+0.0285299j 0.00456553-0.0282337j -0.00434367-0.0107375j 0.000227064+0.015838j 0.0213372-0.0267031j 0.0122243+0.0117188j 0.00144575-0.00491866j -0.0183035-0.0381118j -0.00776072-0.00107465j 0.00762319-0.0156712j -0.0103+0.00748271j -0.0082415-0.00728861j 0.00691622-0.0114581j 0.00155288-0.0236519j -0.00711916+0.000373463j -0.0175595-0.0125j -0.00268201+0.00166806j -0.00224987-0.00902475j -0.0197114-0.0159662j 0.00566003-0.00942501j 0.00359281-0.000357242j 0.00844218+0.00618823j 0.00251014+0.00120998j -0.0056861-0.00759471j -0.00760438+0.00947948j 0.00760559+0.0176794j 0.00864074+0.00108793j -0.0215955+0.0230822j -0.0222847-0.0308433j -0.0155794+0.0115843j 0.0174895+0.0165735j 0.0199408+0.0211347j -0.00300404-0.0164854j -0.011592-0.0105705j -0.0234234-0.0145403j -0.0216391-0.00280211j -0.0269625+0.0193696j 0.0163687-0.00503943j -0.0122517+0.00344853j 0.0174071-0.0270062j 0.000778202+0.0131752j -0.0330781+0.026251j -0.0209591-0.0160683j 0.0021605+0.033455j 0.00512017-0.00774893j -0.00517067+0.0212798j 0.0117312+0.023653j -0.0303166-0.0164932j -0.0115387+0.0124377j -0.00482045-0.0103876j 0.0196368-0.00525282j 0.00592036-0.000287738j -0.0293613-0.00624296j 0.0207681-0.0347712j 0.00499212-0.0224892j 0.00335723-0.0268105j 0.0185989+0.0201242j -0.042384-0.0221446j -0.0125519-0.0197018j 0.0288221+0.0179335j 0.00888465+0.0141439j 0.0149094+0.00945046j 
0.0060233-0.033375j -0.0172749-0.00240641j -0.0224681+0.0650892j -0.0361633-0.00579697j -0.0417068+0.0885935j 0.000427885+0.0195235j 0.0209741+0.0315963j -0.0179861+0.00316556j 0.00664232-0.00950575j -0.000595195+0.0153173j 0.00336357-0.00833358j -0.0233045+0.00364767j -0.00665352-0.00425916j 0.0402681+0.0592756j 0.0193268-0.00453075j -0.03501+0.020324j 0.0270972+0.00148379j 0.0513823-0.00167714j -0.0277957-0.00871228j -0.00940973+0.0128191j 0.0193857+0.0143838j -0.0295203-0.0259486j -0.00283354+0.0137302j 0.0346824+0.0241629j -0.0230915-0.0296252j -0.0220045-0.00272158j 0.00414944+0.0197224j -0.0203823+0.0298147j -0.0123425+0.00547124j 0.0189468-0.045322j -0.0385859-0.0334238j -0.0299296+0.0517433j 0.0291474-0.00197615j -0.00890765+0.0235625j -0.0131926-0.0160929j 0.0112192+0.0292019j 0.0354667-0.0214009j 0.0260236-0.0385947j 0.0527187-0.0161963j -0.0307552+0.00574894j 0.0301766-0.0237859j 0.0089937+0.00399844j -0.0174038+0.00739641j 0.0110917+0.0277268j 0.000425937+0.0302303j 0.0508554+0.0018461j -0.00952819-0.00732672j 0.000747664-0.00909316j -0.00934217+0.0362336j -0.00567816+0.00191879j 0.00839315+0.0305533j -0.0113262-0.008173j 0.0139426-0.0422086j 0.0238179+0.00577603j 0.0168776-0.0161012j -0.0254486+0.00377753j -0.0394344-0.00617071j -0.00733742-0.0294375j 0.00766387-0.0105809j 0.0253286-0.0332422j 0.0411691+0.0282092j -0.0445319+0.0318932j -0.0202705-0.0596191j 0.0185479-0.000890264j 0.0647547-0.0279074j -0.0382952-0.00608457j 0.0185597-0.00477228j -0.0456831+0.0514508j 0.0383957-0.022363j -0.0111205-0.0499043j -0.00754293+0.0249089j -0.00421848+0.00258901j 
-0.0175903-0.00505717j -0.00425272+0.0245295j -0.00758914-0.0184018j 0.0260775+0.0220868j -0.0909932-0.0328835j 0.0311933-0.00458955j -0.0332335+0.0156787j 0.0369187+0.0105932j 0.0270756-0.00417106j -0.00450234-2.59803e-05j -0.0428867+0.0141897j -0.0330114+0.000815591j -0.0341867-0.0305203j -0.0555274-0.025107j 0.0159238+0.0145928j 0.00635886-0.0184884j 0.0293873-0.0236419j -0.0149832-0.0393395j -0.016513+0.00790461j -0.0170477-0.0194961j -0.00292734+0.0509732j -0.0607025-0.0345117j 0.0356651+0.00221671j 0.0103623-0.0392669j -0.0203377+0.0047145j -0.0423135-0.00389254j 0.0194377-0.0160995j -0.0468474-0.00172093j 0.00828202+0.0618559j -0.00901064-0.00577244j -0.000878335+0.00237227j 0.0221876+0.0256413j -0.00911765+0.00855502j 0.0290757-0.0438972j 0.0128476-0.029875j 0.0117877-0.0204042j -0.00835032+0.0052887j 0.00923+0.043556j -0.0674948-0.0152337j -0.00826499+0.00672793j -0.0161679+0.00181923j 0.0478992-0.0177192j -0.0425803-3.89342e-05j 0.0440767-0.0505234j 0.0272705-0.00548222j -0.00485755-0.0239446j -0.0484914+0.0237266j -0.0146173-0.0594905j -0.00517451-0.00195105j -0.00495484-0.00531661j 0.0247065-0.0318703j -0.0162422+0.0119126j -0.0267323-0.0167752j -0.00194326+0.020525j -0.0229091-0.0614135j -0.0108856-0.0293565j -0.0448985+0.0543896j -0.0106005+0.0224097j -0.0343742+0.0154262j -0.0143088-0.0290494j -0.00982644+0.0604393j 0.0348411-0.0296505j -0.0432905-0.0334187j 0.0299096+0.0390121j 0.0401577+0.0133079j 0.0124819+0.00987517j 0.0526529+0.0436769j 0.0166199-0.11073j -0.0104653+0.0149493j 0.0072639+0.0501332j 0.00078653-0.0247509j 0.00974162+0.027316j 
0.00626034-0.0091628j -0.00715869-0.00673165j -0.0314331+0.0269639j -0.0301569-0.0302293j -0.00222436+0.0608436j -0.0370099+0.0301129j 0.0106884+0.00233039j -0.0355988-0.0112998j 0.00312995-0.0006479j -0.00710676+0.0161847j -0.00817128-0.0276372j 0.00857668+0.00101431j -0.0361574-0.00407055j 0.0567073+0.0285461j 0.0154377+0.0258279j -0.027892+0.0234839j 0.00149998+0.031466j 0.0620986+0.0145459j -0.0174297+0.0159933j 0.0110464+0.00914679j 0.00904715+0.0163011j -0.0345149-0.0238101j -0.0239933-0.0116082j 0.0639977+0.021551j -0.0283139-0.0536352j -0.0167301+0.00845829j 0.00331273+0.011227j -0.0295641+0.0546831j 0.00682417+0.0404051j -0.0130668-0.0594402j -0.0682426-0.0427273j -0.0147922+0.0176173j 0.0473376+0.00446785j 0.0158675+0.0171959j -0.0382143-0.000497968j 0.018029+0.0376695j 0.0650124+0.0156354j 0.016215+0.00562325j 0.0280536+0.0103262j -0.00192525-0.0258842j 0.0217919-0.0347267j 0.00216396-0.0398118j -0.0447534-0.0078413j -0.015544+0.00915316j -0.040427+0.0125182j 0.0408712+0.00849352j 0.0144541-0.0150114j -0.0103379-0.0313889j 0.0148265+0.0257951j -0.0832565+0.0465396j 0.0228914+0.00208618j -0.0129609-0.0255132j -0.0365082-0.0708352j -0.0390308-0.00872524j 0.0464029-0.00627836j -0.040979+0.00415205j -0.0255603+0.00302759j 0.0383741-0.00289251j -0.0513232+0.041945j 0.0521638-0.06202j 0.0674738+0.0140878j -0.0399975+0.0100445j -0.00290341-0.0614907j 0.0355079-0.0107427j 0.0493867+0.00305715j 0.000233497-0.0497608j -0.0403485+0.0019889j -0.0122419+0.0260783j 0.0505634-0.0134412j -0.0133423-0.0537813j 0.00106962+0.00197282j 0.000427844-0.00247268j 
0.00664205-0.0361667j -0.0197057-0.0047035j -0.0178697+0.0607731j -0.0508002+0.0110114j -0.0736751+0.059985j 0.00333206+0.00842467j 0.0216333+0.0314044j -0.0130228+0.0143177j -0.00252798-0.0244555j -0.0106881+0.00897291j 0.0144693-0.0218405j -0.0330344+0.0259416j 0.0141303+0.0129605j 0.0148576+0.0415147j 0.0142882-0.0120176j -0.0405526-0.00313205j 0.0600093+0.0069235j 0.0435711-0.00709564j -0.0397967+0.00413702j -0.0156286+0.0381473j 0.0309126+0.0246139j -0.00227195-0.0161885j 0.003391+0.0164772j 0.0105848+0.0452601j -0.000388128-0.0116278j -0.0287692-0.0124849j 0.00854758+0.00631545j -0.00701824-0.00553141j -0.0367829-0.0131014j 0.0195138-0.0291191j -0.0267763-0.0345646j -0.0250206+0.0529542j -0.0089623-0.0272544j -0.0513571+0.0269295j -0.0115985-0.0337419j 0.0050849-0.00850723j 0.00760488-0.0345156j 0.061371-0.0670046j 0.0709077-0.0140867j -0.047151+0.0234667j 0.0381532-0.0126015j -0.0128251+0.0299874j 0.00626361+0.0474009j -0.00815564+0.0451111j 0.0274294+0.061948j 0.00108559-0.00718669j -0.0338581-0.0157588j 0.0127463+0.0365389j 0.0053004+0.0372748j 0.0722799-0.0483892j 0.0145679+0.0255578j -0.00164211+0.0188828j 0.0541387+0.0183258j 0.083281-0.0103371j -0.0421083+0.00767308j 0.00135249+0.0052005j -0.0185785-0.0448857j -0.0422388-0.0187991j 0.058923-0.0439055j -0.0172545+0.0243699j -0.0256432+0.0141554j -0.0278526+0.0479727j -0.00592522-0.00685842j -0.0406755+0.0405022j 0.0199679-0.0121011j -0.051591+0.0494006j 0.062775-0.0228094j -0.0340054+0.0929114j -0.00244113-0.0272821j 0.00444083-0.0479354j -0.0194449+0.0430641j -0.00425631-0.00386569j 
0.0191533+0.00117709j 0.010165-0.0279131j -0.0239576+0.034392j -0.0270054-0.0119993j 0.0550203+0.0144783j 0.103359+0.0117716j 0.0271096+0.0845956j -0.0651659-0.0497697j 0.042121+0.00816415j 0.0333977-0.0755725j 0.0754939-0.0339479j -0.0456044+0.0396521j -0.0145604+0.0553472j 0.00944602-0.0162803j -0.0794763+0.0719866j -0.070859-0.0268508j -0.0624423+0.0133607j 0.0404899+0.12575j 0.0344454-0.0134604j -0.0391033+0.00545415j 0.0555085-0.0816443j 0.000866617+0.0333414j 0.00808966+0.0993846j -0.0641662+0.0619682j 0.00891114+0.0347027j 0.0579872+0.064004j -0.0032076+0.0310622j -0.0064689+0.0128532j 0.0902324+0.0397054j 0.0236349+0.0504516j 0.0642825+0.0487166j -0.0280783+0.0207981j -0.00539312+0.00108704j 0.0255634+0.0130335j 0.0816864-0.0969287j -0.0509481-0.0702656j -0.0625197-0.0217256j -0.020347-0.0728697j 0.0738884+0.0614534j 0.0118075-0.0226155j -0.100105-0.0153698j -0.0450677-0.0427192j 0.0353719+0.0529842j 0.0627801+0.0239736j 0.0525031+0.02902j 0.162126+0.0108315j 0.0655959-0.0473808j -0.0399953+0.0129612j 0.0207825-0.0162946j -0.0265382+0.0565822j -0.070436-0.0388467j 0.0742925-0.0506824j 0.0237408+0.021136j -0.0160027+0.0180009j -0.0116264-0.0420469j 0.0053303-0.0637312j -0.00583143+0.00147076j 0.0473159+0.0432836j -0.0251458-0.00110694j -0.0125944+0.035565j -0.0202146+0.0163372j 0.0472669-0.0132114j -0.00887141-0.00139927j -0.0334931-0.0185724j -0.0223215+0.028494j 0.000950522+0.0548189j 0.0138448-0.0187004j 0.15542+0.0260605j 0.0170921+0.0222047j -0.038072-0.0378215j -0.00662289+0.00519014j 0.0201833-0.0591217j 
