-0.00705191+0.000354331j -0.00363889-0.0100992j -0.00184624-0.00468647j 0.0119446+0.00340764j 0.019608-0.00917169j 0.000669225-0.015183j 0.0103073+0.00214237j -0.0177255-0.000625126j -0.00865674+0.00456732j 0.00265217+0.013794j -0.00163368+0.00207214j -0.0100531-0.0126326j 0.015572+0.0160787j -0.00636073-0.00747819j 0.00238436-0.00177208j 0.00729237+0.00336346j 0.00655648-0.0119773j -0.0105656+0.00437529j 0.00977659-0.0098556j -0.0186969+0.00540565j 0.012229+0.000232858j 0.00299936+0.00159366j -0.00954361+0.0107833j -0.00525204-0.000846877j -0.00211097+0.00692506j -0.0085677-0.0175414j -0.0167148-0.00994149j -0.0079798-0.00556282j 0.0146987-0.00694896j -0.0117718+2.39371e-05j -0.00511536+0.0223997j 0.00524661-0.00325248j 0.00159396-0.0136649j -0.0144691-0.00158486j -0.00406367+0.00020325j -0.0154428-0.0113247j -0.0207486-0.00356277j 0.00306918-0.00964573j -0.00231216-0.011723j -0.00805296+0.00730242j 0.000928493-0.0228254j 0.0067732+0.00825321j -0.00759344-0.0157827j 0.00063612-0.00322622j -0.00366502-0.00132847j 0.00833522+0.0105792j 0.00146328+0.00323111j -0.00988978+0.00540195j -0.0213487+0.00642419j 0.0110676-0.0213221j -0.0212154+0.0202225j -0.0261578-0.044344j 0.0123335-0.00238775j 0.00778735+0.0315258j -0.00646508-0.00321027j -0.00152501+0.00126823j 
0.00378526+0.0104661j -0.00753953-0.00109042j -0.0107398-0.00948118j 0.00184158-0.00149715j 0.00713456+0.0251747j 0.00935708-0.00750189j 0.0128767+0.000358872j 0.00342849-0.00412178j -0.00175266-0.00778266j -0.0131726+0.0101362j 0.00050083+0.0048031j -0.00226327-0.011803j -0.00136242+0.00281215j 0.00970375-0.00719112j -0.000701991+5.86892e-06j 0.00751088-0.00878649j -0.000784949-0.00478827j -0.000529609+0.00143894j 0.00601926+0.00326286j -0.00166147-0.0121521j -0.000795499+0.0158205j 0.0160318+0.00708456j -0.00796269+0.00360811j 0.00039509+0.00233293j -0.00672722+0.00718931j -0.0150547+0.00825166j 0.007863+0.0073058j 0.00127417-0.0056656j -0.00360937-0.0261226j 0.00716321-0.00670692j 0.0162709+0.00301134j -0.00175822-0.0123326j -0.0113041+0.0056622j 0.00162394+0.00515678j -0.0098119+0.0174311j -0.00363474-0.0113245j 0.0115429-0.00664586j 0.00750119+0.0145507j -0.0149619-0.00647009j 0.00993011+0.00599001j 0.0174691+0.00688824j 0.0039517-0.00495059j 0.0138362-0.00742766j -0.00830575+0.0115552j 0.00707824+0.0110283j -0.0100673+0.0146351j 0.005782+0.00339436j -0.0084874-0.00731622j 0.00309642-0.0294813j 0.0137075+0.00456707j -0.0248506-0.0145965j 0.0393214-0.0277869j 0.0024381+0.0206556j -0.0199808+0.00875271j -0.00131392+0.00288724j 0.00734316+0.00186297j 
-0.00705076-0.00823947j 0.0031186-0.00230306j 0.000843184+0.0209079j -0.00398149-0.00773289j -0.00747704-0.0462844j -0.0114287-0.00895489j -0.0135021-0.0182682j 0.00950697+0.00300549j 0.00800257+0.00303789j 0.0211689-0.0104462j -0.0139653-0.0144508j -0.00538172+0.0174878j -0.0125519-0.0168285j 0.00519124+0.0291889j 0.00675367-0.00683781j -0.0242073+0.00820662j 0.0138552+0.00188913j 0.00377192-0.00467038j -0.0128053+0.0224399j -0.00677921+0.0166094j -0.0134773-0.0146965j -0.00641526-0.00489982j -0.00202209-0.0166025j 0.00416242+0.0130985j -0.00274511-0.0141573j 0.0175595-0.00127215j 0.00749228-0.0047686j -0.00130442+0.0150454j 0.00748513+0.0210001j -0.0113207+0.0122083j -0.0184634+0.00137867j -0.000593702+0.0226291j -0.0156316+0.0107488j -0.00579292-0.0193635j 0.0099137+0.0113642j 0.00228216-0.00115815j 0.00711026+0.00214099j -0.00497454+0.00596697j -0.00213364+0.00216682j -0.010365-0.0178972j 0.023862+0.00671228j -0.00753764-0.0133966j 0.0099096+0.00352825j 0.00298025-0.0316898j 0.0132379-0.0296143j 0.0229669-0.00177796j -0.00957547-0.0601779j -0.0188022+0.0142301j -0.0328665+0.00328945j 0.0034541+0.00836787j -0.0122004+0.0270542j -0.0257629+0.0275983j 0.012451-0.00291292j 0.000423225-0.0185471j -0.00626709-0.00329421j 0.000663047+0.00858105j 
0.00333307-0.00721272j 0.00922065+0.00587995j 0.0106414-0.0120451j -0.000367763+0.000477272j -0.0228198+0.010897j -0.00908526+0.0257748j -0.0126591+0.0146952j -0.000452037+0.0143349j 0.00551245-0.00296051j 0.0113894-0.00993275j -0.00311834+0.0130699j -0.0016557+0.00613212j 0.00529512-0.00424027j 0.00010111-0.0100879j -0.00757311+0.00925678j 0.0140766-0.00575238j -0.0194582+0.00547036j 0.0145569+0.00317506j -0.00419005-0.011815j 0.0338115-0.00249365j -0.00403696-0.0129273j -0.00809278-0.0106047j 0.0225363+0.000605079j -0.015279-0.0126159j 0.0103932+0.000301007j 0.019112+0.00557985j 0.00867748-0.00639709j 0.00830374-0.00328084j -0.0092824+0.0216595j 0.00878354-0.00984402j -0.00915218-0.020035j 0.00743779+0.00296763j 0.0179426-0.00632563j 0.00490663+0.00414803j 0.0138882-0.00772674j 0.0268191+0.0181254j -0.00225668+0.011083j 0.00890037-0.0182811j 0.00620112+0.00325096j -0.000271944+0.0154968j -0.0133308-0.0116027j 0.00855351-0.00825952j -0.0206624-0.00829694j -0.0147137+0.022738j -0.0255621-0.0110277j -0.00404168-0.00729296j -0.03238+0.0148422j 0.0264002+0.0267878j 0.0212064+0.0254514j -0.00816662-0.00859391j 0.0405752+0.0035964j -0.00704058+0.0352638j -0.00676664-0.00407384j 9.00837e-05-0.00759753j 0.00108266-0.00623909j -0.00527781-0.00714351j 
0.0112561+0.00688866j -0.0033131+0.0196915j -0.00621892+0.0139908j -0.0142639-0.0123348j -0.0382083+0.0222711j 0.00141631+0.0207239j -0.00470743-0.00438547j 0.0439765-0.000358177j 0.024146-0.0148477j -0.0173507-0.0287394j 0.00929355-0.0059838j 0.0199412+0.0194941j -0.0333762-0.0407458j 0.0153282+0.0273539j -0.000715768-0.00281179j -0.0177074-0.0155537j -0.0108227+0.0232652j 0.0252161-0.00617509j -0.0229673+0.0275759j 0.0346175-0.0107758j -0.0303007+0.0166002j 0.00733343+0.00533411j 0.021842-0.0283205j 0.014835+0.0092282j -0.00236363-0.00560412j 0.00630124+0.053911j 0.0345273+0.0367208j 0.0238487+0.0160858j -0.047182+0.00125581j 0.0318796+0.00719364j 0.0289006-0.0473712j -0.0245996+0.00889886j -0.0215793+0.0479049j 0.0331159+0.019256j 0.00885047+0.00979471j 0.0268698+0.0190099j 0.0655162-0.00850517j -0.0188617+0.0193238j 0.00374948+0.00855317j 0.0225904-0.019392j 0.0221604+0.059254j -0.0176296-0.0109877j 0.018242+0.0409421j 0.00764045+0.0112265j 0.0138364+0.0189004j -0.00938392-0.0120163j 0.00924696+0.00383685j 0.0231419-0.00302801j 0.0314422-0.0342657j -0.0106601+0.0448256j 0.00902204-0.0508649j 0.0783534+0.075361j 0.0144701+0.0238549j -0.0311032-0.0282234j -0.00726731+0.00271301j 0.00866464-0.00750834j 
-0.00170445+0.0187238j -0.00960873-0.00873078j -0.0090519-0.0268804j 0.00962807-0.00718488j 0.013864+0.0426346j 0.0235598-0.0119928j 0.0316711+0.00242642j -0.00700668-0.00366531j -0.00919367-0.0132016j -0.023337+0.0257736j -0.00940243+0.00307853j -0.0122568-0.0321668j 0.01287+0.0106081j 0.0245878-0.011593j -0.00383452+0.00328693j 0.0242171-0.0147295j -0.00398936-0.0170662j -0.00262731+0.00464542j 0.0166827+0.00894308j -0.0108091-0.0205715j 0.00366439+0.032776j 0.0264369+0.0233166j -0.0139836+0.0125083j 0.00299022+0.00457999j -0.0174264+0.0111183j -0.041499+0.00559301j 0.0156583+0.00981485j -0.00797594+0.00080781j -0.000254686-0.0639455j 0.00455186-0.000716929j 0.0332078+0.0170309j -0.00174909-0.0227459j -0.0417914+0.00549791j -0.00964954-0.00323828j -0.0303337+0.0543548j -0.00240129-0.0314002j 0.0282493-0.0114124j 0.0311751+0.0210409j -0.0298762-0.0136921j 0.00943442+0.0132038j 0.0448131+0.024106j 0.0164521-0.0020584j 0.0246674-0.0346196j -0.0265686+0.0169564j 0.0106169+0.013498j -0.0287826+0.0379352j 0.0126442-0.00290067j -0.0108403-0.00781713j -0.00875231-0.0386564j 0.0432935-0.00831165j -0.0554083-0.00516886j 0.0562339-0.0683223j 0.0167953+0.00440654j -0.000272617+0.038763j -0.00807329+0.0108561j -0.00761665-0.0029232j 
0.00662317+0.00364448j -0.000758482+0.00479371j -0.00395603-0.00123702j -0.0100024+0.00506894j -0.00595944+0.00868604j 0.0320329-0.00603741j 0.00481625+0.0140371j 0.0105881-0.000535269j 0.0169865-0.00179034j -0.0304085-0.00355324j 0.010493-0.00890123j 0.0419677-0.00499937j -0.00497321+0.0105221j -0.028276-0.00193413j 0.0304469-0.0150181j -0.00401528+0.00536197j 0.0325271+0.00910948j -0.0165851-0.000981197j 0.0117839-0.013825j -0.00308173-0.00419711j -0.0161112+0.0197872j 0.0189989-0.0284547j -0.0117761+0.010982j -0.012267+0.00821457j -0.0128662-0.00374633j 0.00221027+0.000132665j -0.0306129+0.0162115j 0.0182442+0.0112709j 0.00174451+0.00684102j -0.00552768-0.000617685j 0.0152009+0.00947025j -0.0134623-0.00442254j 0.0253729+0.00957011j 0.0266063+0.0199732j -0.00801049-0.0503333j -0.0194883-0.0192146j -0.000386185-0.00259399j 0.00562099-0.00603776j 0.0141911-0.00343269j 0.0264575-0.0100469j -0.0120027-0.00329577j -0.0355532+0.00379619j -0.0250329+0.0224982j 0.0150519+0.0141824j 0.00447897+0.0230945j 0.0166391-0.00953286j 0.0366367+0.0486427j -0.00986704+0.000124218j 0.021705+0.00914492j -0.00522977+0.00724834j -0.0046841-0.0227509j -0.0176922+0.0286016j -0.00304258-0.0149896j 0.00172817-0.0150837j 0.00961471+0.0100337j 0.000881492+0.00258418j 
0.00105087-0.00252362j 0.00345169+0.00182082j -0.00187171-0.0120562j -0.00247214-0.0121685j -0.0448449-0.00649516j 0.0143039+0.00412298j -0.0165418+0.0230387j 0.01162+0.0215728j 0.041377-0.0182986j 0.00967957+0.00277828j -0.0292279-0.00836394j 0.0273083-0.0127755j 0.000509889-0.00245029j -0.00284817+0.0075288j 0.0286603+0.00891842j -0.00410345+0.00338152j 0.0220257+0.0178304j 0.0194805-0.0027454j 0.023566+0.0143703j 0.0342868+0.0151529j -0.045693-0.0139847j 0.0243861-0.0751277j 0.008161+0.0232576j -0.04699+0.0200816j -0.00708359+0.0215564j 0.0317988+0.0151986j -0.0156183+0.0110022j 0.0161183+0.0282109j -0.0159237+0.0303607j -0.0203481-0.0113476j -0.010203+0.00743312j -0.00672968+0.0292655j -0.0230101+0.0113701j 0.0342238+0.0209782j -0.00569175-0.00588509j 0.0233667-0.0144405j 0.0164592+0.00674737j 0.00390105-0.00253888j -0.000637248-0.0740962j 0.0118439-0.000654324j 0.039639-0.0201718j -0.0134365-0.00186193j -0.0101046-0.0401147j -0.0115698+0.0179233j -0.00109587-0.00940791j 0.0398841+0.00727644j 0.00695786-0.00707435j -0.0140171+0.0651696j -0.002415+0.0502502j 0.00378-0.0172282j -0.00792232-0.00460183j -0.0313115+0.0573981j 0.0115665-0.0168889j -0.000429618-0.0216439j 0.000488906+0.00715913j -0.00173017+0.00136729j 
-0.00137211-0.003838j 0.00577858+0.00131304j 0.00983249-0.00922437j -0.00129929-0.0127545j -0.0422928-0.0165916j -0.00266634+0.00907851j -0.00845059+0.00632404j -0.00410351+0.032874j 0.0287703+0.0144295j 0.0049218-0.00593297j -0.0217894+0.00564291j 0.0180778+0.0108758j -0.000354007-0.00628841j 0.00442377-0.0306255j 0.0198079+0.0266776j -0.0100415+0.0114321j 0.0241133-0.00597095j -0.00673757+0.019516j -0.0126982-0.0365365j 0.0425759+0.0110637j 0.0156408-0.00641573j 0.0184765-0.0131983j 0.0020009+0.0129851j -0.0254766+0.0292974j 0.0225811-0.0129674j 0.0104768+0.00307652j 0.0224374-0.0226371j 0.00264028+0.00369211j 0.0220022+0.0186606j -0.018726+0.00230668j 0.0129468+0.0141836j 0.0108648-0.0257542j 0.00887149-0.00361298j -0.0143604+0.000724138j -0.0104726-0.0155083j -0.000451969+0.0030033j 0.00674098+0.0279358j 0.0196751-0.00207757j -0.0202525-0.00117747j -0.000151783+0.00134432j 0.0202117-0.0341243j -0.00273339-0.0288637j 0.0087394-0.00211999j -0.0288523+0.0149941j -0.0316594-0.00833942j 0.0166323+0.025289j -0.0251811+0.0069426j -0.0332577+0.00802633j -0.0253536+0.0286685j -0.0190799-0.0252521j -0.0117709+0.022148j -0.0456372+0.00854414j 0.00959826-0.0132158j 0.0116014+0.00878676j -0.00271213+0.000638964j -0.0116484-0.0131946j 
0.00817988+0.0118874j 0.00021195+0.0046533j 0.0185468-0.0489498j 0.0146407+0.0161526j -0.00185184+0.100803j 0.0112296+0.0402782j 0.0207579+0.0433842j -0.0346212+0.00464892j -0.0337669-0.0180265j -0.0531012+0.00773566j 0.0405248+0.042476j -0.00247958-0.0240099j 0.0403965+0.0385966j -0.0155133-0.0620164j -0.0307577-0.00401573j 0.085682-0.0156124j -0.047821-0.0223118j 0.00155915+0.0106097j 0.0314707-0.0541968j 0.0206869-0.0319387j 0.0265733+0.0261558j 0.00414824+0.0133332j 0.0214999+0.0150782j -0.0254985-0.066709j 0.00281461+0.015788j -0.0117544-0.0158994j -0.0327256-0.0161287j 0.0173245-0.0437362j -0.0133561-0.0287415j 0.0362633-0.0183705j 0.0154459-0.0307438j 0.00474689-0.0397226j 0.0841656-0.0516642j -0.00276522+0.0410211j 0.00208581-0.0380572j 0.0157764+0.0162886j -0.0338072-0.0012753j 0.0166688-0.0513532j 0.0142245+0.0218156j 0.0300881+0.0605074j -0.0948539-0.0317217j 0.0307304+0.0117628j -0.0755564+0.00330629j -0.0145422+0.0646555j -0.0438356+0.0683421j -0.0516407-0.0145839j 0.00024373+0.132046j 0.0587822-0.00851368j 0.117962+0.0108868j -0.0108503+0.0120101j 0.041971-0.0262113j 0.016117-0.0394285j -0.0370256+0.00557362j 0.00832839+0.0424659j 0.00988124-0.0022328j -0.00240476-0.0113694j 
0.000445109-0.00190866j 0.00551077+0.00830847j -0.000977677-0.0234575j 0.0183464-0.00186573j -0.0327885+0.0292873j -0.0113782+0.0311364j 0.00980013+0.0101639j 0.0158705+0.0278226j 0.0206811-0.0209859j 0.00875057-0.0395491j -0.000277287+0.0374117j -0.0321846+0.00855622j -0.00328684-0.049065j 0.0289704+0.00851663j -0.00603655-0.0104809j 0.0363369-0.0324057j -0.0517782-0.00385691j 0.0538504+0.0165689j -0.00575581+0.0111031j 0.0584444-0.00405252j -0.00216696-0.0249005j -0.00163334+0.0204235j 0.0271824-0.0271316j -0.00851894-0.0133341j 0.0159093-0.0403194j 0.0164122+0.040894j 0.0735546+0.0319359j -0.0365394+0.00637478j 0.000929643-0.00658296j 0.01628-0.00741813j 0.0245979-0.013013j 0.00220279+0.0157679j -0.0716624+0.0158281j -0.00481267-0.0202123j 0.00761625+0.0972522j 0.0699376-0.00602464j 0.0778835+0.0381251j 0.0746018+0.0155718j -0.0794109+0.0409474j 0.00761927+0.0254549j 0.0617167+0.0409582j 0.0302898-0.0639886j -0.00780961-0.0739624j -0.0443624+0.0546017j -0.0453148-0.0275726j -0.0301836+0.0235657j -0.083632-0.0249208j 0.0340837+0.0438279j 0.0206226+0.00511767j 0.00710835-0.0030109j -0.00436101+0.0120322j 0.0596118+0.00934825j 0.0151045+0.03121j 0.00440826-0.0165798j 0.00575261-0.0147368j -0.0118772+0.00967253j 
