0.0305308-0.00543732j 
0.0884424-0.0152394j 
0.227243-0.0379241j 
0.493097-0.0797823j 
1.00398-0.157635j 
1.88746-0.287831j 
3.35076-0.496702j 
5.50292-0.793555j 
8.36467-1.17432j 
11.6389-1.59186j 
14.9508-1.99343j 
11.0877-1.44211j 
7.59075-0.963661j 
4.75655-0.589741j 
2.75828-0.334176j 
1.47938-0.175231j 
0.749075-0.0867892j 
0.350099-0.0396962j 
0.153479-0.0170381j 
0.0567982-0.0061761j 
0.0186344-0.00198557j 
