0.505898+0.303946j 0.321192-0.640802j 0.344988+0.120383j 0.0373149-0.00432268j 0.118224+0.046482j 0.0399241-0.0275436j 0.0617548+0.0462608j 0.0746151+0.0344986j -0.0176298+0.0154874j 0.00733683+0.00157813j -0.0368349-0.0253558j 0.0140194+0.0793524j -0.0274117-0.00206806j -0.0174686-0.0151258j -0.0193375+0.00394224j 
0.0518243+0.0640732j 0.0651035-0.0895685j 0.203106+0.100526j 0.201128-0.403123j -0.291593-0.139248j 0.213893+0.157589j -0.0408309+0.0639218j 0.0187678-0.029934j 4.21328e-06+0.177527j 0.00733426+0.0780806j 0.0934434+0.0684274j -0.0606261-0.178651j -0.0688535+0.00649229j -0.011389-0.109912j 0.0850611+0.0200833j 
0.150697-0.120647j -0.0512296-0.121582j -0.176928+0.1391j 0.35485+0.231332j 0.0838368-0.340443j -0.118931+0.177947j -0.114694-0.0791839j 0.142351+0.0281819j 0.153892-0.103547j 0.0273148-0.0615809j 0.00979961+0.0452815j -0.0665823+0.0483373j -0.118045-0.00826685j 0.0412278+0.0041285j 0.0773808+0.0153578j 
-0.000334481+0.0734044j 0.00203605+0.043835j 0.0191965-0.177212j -0.112361+0.0692885j 0.196873-0.0221541j -0.131051-0.142467j 0.135738-0.161824j -0.134463+0.28753j -0.0745082+0.280493j 0.0297658+0.0673411j 0.1659+0.171544j -0.103169-0.193372j -0.0930891-0.0481582j -0.0827746-0.14191j 0.0804084-0.00862703j 
-0.107763+0.035228j -0.0602664+0.000371471j 0.117673-0.0567765j 0.0371519-0.0283345j 0.0386658-0.0848138j -0.184883+0.089012j -0.101113-0.100674j 0.0703007+0.0222798j -0.314437+0.15254j 0.0574322-0.297053j -0.0876945-0.369613j 0.12532-0.0719108j 0.110111-0.0780931j -0.242624-0.178216j -0.0387978-0.0397757j 
0.0667326-0.0738058j 0.0757274-0.0540119j -0.206647+0.0392349j -0.0642498+0.109822j -0.0624765+0.0810975j 0.165655-0.0694103j -0.166082+0.181323j -0.212421-0.2228j 0.359438-0.0525505j 0.412626-0.356929j 0.0279229+0.0390768j 0.080882-0.17889j -0.289272-0.200936j 0.107828-0.112758j 0.0940044+0.0557538j 
-0.00573905+0.0192622j -0.042479-0.0433322j -0.104076+0.0558403j -0.0437404+0.103552j 0.0367882+0.119158j 0.132498-0.0171431j 0.116579-0.038323j 0.216037-0.214834j -0.0466172-0.205592j 0.00259916-0.0130902j -0.420676-0.414573j -0.292017+0.0135834j 0.213249-0.0936877j -0.0445168-0.241446j 0.263333+0.14059j 
0.015233-0.0259804j -0.0460775+0.0535145j -0.0794976+0.0449485j 0.124438-0.0538253j -0.0067451-0.105542j 0.147723-0.047501j 0.238736-0.0880237j 0.0341823+0.10017j 0.11328+0.0727309j -0.0708309+0.324609j -0.0481117+0.176579j -0.411843-0.183367j -0.00317827-0.0461425j 0.0636438-0.169708j 0.302512+0.150147j 
-0.0486357+0.021971j -0.0118985-0.01057j 0.0836782-0.0174126j 0.0666386-0.107087j -0.0250902-0.108127j -0.0433567-0.0149333j -0.0346262-0.0844995j -0.104161+0.04322j -0.111778+0.269191j 0.218547-0.215555j 0.0255506-0.121129j -0.0236054-0.287793j -0.065494-0.155981j -0.111268-0.283797j 0.0878187+0.0909778j 
