0.0780237-0.0873187j 0.0883762-0.105538j -0.045095-0.0196961j -0.0407002+0.0420409j -0.0763311-0.0112427j 0.0523354-0.0201629j 0.00088409+0.00839367j 0.0360442+0.0397285j 0.00722132-0.0125701j -0.0304265+0.0247598j 0.0136659-0.0275947j -0.00820181-0.0183239j 0.0198732+0.0191375j 0.000932299-0.0206702j -0.00164269-0.0046151j 0.0176617-0.00677134j 0.0267687-0.0203413j 0.00866998+0.0241605j 0.0294733-0.0263393j -0.0221776+0.10323j 0.0185585-0.0217299j -0.0995022+0.0130707j -0.0248216+0.0487637j 0.02259-0.0411413j 0.0261875+0.0616762j 0.0236556+0.00804693j 0.00430566+0.00944591j -0.0385075+0.0226265j 0.0785821-0.0400988j 0.0438905-0.00575069j -0.0111161-0.0441204j -0.0441288-0.0448994j -0.052644+0.0405023j -0.00146758+0.0149912j -0.0237883+0.0660317j 0.0202815-0.0410835j 0.0331028+0.0394985j -0.0457411-0.00355548j 0.017459+0.025818j -0.0685609-0.0203j 0.0177821+0.00535419j -0.00681485-0.015648j 0.00944109+0.00300876j 0.035802+0.0182476j -0.0254093+0.0205506j -0.0331682+0.00284048j 0.0135873-0.0270303j -0.00337269+0.0151264j -0.0301826+0.00617173j 0.00824171-0.0301444j -0.0175449+0.0281406j -0.000164862+0.0270966j -0.016348-0.00371261j -0.0269911+0.0419426j -0.020732+0.0115347j -0.0576313-0.0102028j -0.01354-0.00779796j 0.0152592-0.0190085j 0.0049912+0.0285006j 0.0266055-0.0543173j 0.0370524-0.0517538j -0.0136716-0.0249113j -0.0627591-0.016447j -0.0298352+0.0549551j 0.0123233+0.00661281j 0.0023274+0.024659j -0.0253157-0.0335516j -0.0324186+0.0352335j -0.0144713+0.00478897j -0.000908595-0.0411964j 0.00704267-0.0447236j 0.00666616+0.0283998j 0.00229861-0.0332507j 0.00898185-0.0510112j -0.00581961-0.0159418j -0.0219951-0.0241596j -0.014126+0.016632j -0.00468131-0.025874j 0.0206302+0.00540515j 0.029381-0.0248137j 0.0255147+0.0407025j 0.020687-0.058761j 0.00545019-0.012571j -0.0643817-0.0648697j 0.00476468-0.0818916j 0.0853253-0.109529j 0.108445+0.0353288j -0.0243312+0.051717j -0.0126273+0.0419189j 0.061046-0.212071j 0.0912874-0.149664j -0.188838+0.169451j 0.190869+0.028459j -0.00337455+0.0543695j 0.115374+0.169442j 
0.0682456-0.0964236j -0.0645277+0.101462j -0.0168619+0.0399168j 0.0145222+0.0610076j -0.0481405-0.0162642j -0.072193-0.0199539j -0.0284683-0.0326765j -0.0572506-0.0394675j 0.00870467+0.00868285j 0.0306066+0.013035j -0.0356915+0.00217321j 0.0045816-0.00202791j 0.0309674-0.013004j 0.0113606-0.0104577j 0.0144828+0.0159498j 0.0167209+0.0123313j 0.0134548-0.0150107j -0.000415094-0.0221486j -0.0350353-0.0329414j 0.0312784+0.0340922j -0.0681299+0.0407324j 0.0224123-0.011214j -0.00734109+0.0292187j -0.0056791-0.0389871j 0.0764283-0.0339218j 0.0247577+0.0113417j -0.0554053+0.0569666j -0.0213638+0.0645947j -0.0870263-0.0369421j -0.00646295-0.00747904j -0.00985448-0.00714296j -0.0494085+0.0535319j 0.0660862-0.0338566j -0.0205667+0.047033j 0.0497007-0.0351631j -0.0478242+0.0235577j -0.00407677+0.00610283j -4.69944e-05+0.0792011j 0.025779-0.00286748j -0.0569644-0.0498707j -0.00392708-0.0705554j 0.00315551+0.0175368j -0.00392702+0.00113189j -0.0358492-0.0369229j 0.00277781-0.0104548j -0.0305836-0.0140736j -0.000185355-0.0357644j 0.0125059+0.00524993j -0.0171834-0.00981181j -0.0133663-0.0279237j -0.00825865-0.0459104j 0.00408747+0.00802818j -0.00496605+0.0267606j -0.0254764+0.0133039j -0.0466427+0.00314423j -0.0419435-0.00732196j -0.00853313+0.00497194j -0.0186448-0.0341348j 0.0237935-0.0437217j -0.00679543-0.00364181j -0.0105751+0.0265302j -0.0279363+0.00758588j -0.000873477-0.00256814j 4.85317e-05-0.0306384j 0.0138325-0.0317202j 0.0324717-0.0253686j -0.0501155+0.0372773j -0.0037628+0.00293146j 0.00228283+0.00528849j -0.0200369+0.0438242j -0.0368989+0.0180349j 0.0125584-0.0242769j 0.0120962+0.00278812j -0.0145878-0.0102555j 0.0114492-0.00470457j 0.0112066+0.00198535j 0.0105666-0.0114254j -0.0125309+0.0113622j -0.00581821-0.00334072j -0.00317964+0.00477613j -0.00339035-0.0255137j -0.0001245+0.0235231j 0.0482477-0.0344139j -0.115102+0.0461771j 0.0597284-0.0198175j -0.0789784-0.0738939j 0.106028-0.178824j 0.0463432+0.000125481j 0.0613645-0.0170677j -0.158043+0.0496489j -0.11158-0.00575382j 0.0530121+0.156669j 0.181638-0.286355j -0.134855-0.142237j 0.020702+0.0593292j 
-0.0342244-0.0837879j 0.0149918+0.090791j -0.0411082+0.0853267j 0.0519707+0.0478057j 0.00579686+0.00247705j 0.014505-0.0433705j 0.0418471-0.0621481j 0.0110034+0.0604883j -0.0177236-0.0712304j -0.0320078+0.00853638j -0.0106993+0.00121187j -0.0183223-0.0107956j 0.0383796+0.0147644j -0.0482268+0.0933452j 0.0221351-0.122453j -0.127369+0.0627388j 0.00276781+0.193231j -0.00891503-0.020606j -0.0790532+0.0663345j 0.145991-0.0328098j -0.0101075-0.0040245j -0.00701215+0.0242521j -0.0372128+0.0676716j -0.0249595+0.100581j 0.0505372-0.0559385j 0.00866458-0.00724005j 0.0382795+0.0239523j -0.0579699-0.00239297j -0.0272848+0.0680289j -0.00302031+0.0908772j 0.00653417-0.106327j -0.0651599+0.0731708j 0.048599-0.0781698j -0.00472566+0.0604791j 0.118973-0.0431517j -0.0157768-0.0267426j 0.00734375+0.0760427j -0.0249818-0.0564956j 0.000391816+0.0463681j 0.0197773+0.0572506j 0.0614688+0.0143805j -0.0280994-0.0150741j 0.0253135+0.0198899j 0.0229922+0.0110457j 0.0343369-0.0192915j 0.00727937-0.0407414j -0.0216113+0.0153652j 0.0218645-0.0187073j 0.0390529-0.0380154j -0.0207943+0.0692411j 0.0452894-0.02848j 0.0347434-0.0453431j -0.0126422+0.02158j 0.0339643-0.0130039j -0.00318509+0.0226843j -0.0171902-0.0995719j -0.0055619-0.0307535j -0.0313638+0.0312316j -0.00390386+0.0457635j -0.036494-0.0485325j -0.0351559-0.00905854j -0.0424522-0.0181347j -0.00613507-0.0112926j 0.0117264+0.0267071j -0.00878697+0.00915903j 0.0199239-0.0223853j -0.0421389+0.0543197j 0.0181373-0.00902402j 0.00839676-0.00379178j -0.0238682-0.0239751j -0.0191554-0.00630594j 0.0035193+0.00243373j -0.0526572+0.0657774j -0.00382387+0.000742535j -0.0151602+0.0666448j -0.0524929+0.0360871j 0.0369608+0.0105616j -0.0919407-0.004102j 0.0858534-0.0271527j -0.0206626+0.0317671j -0.0226141+0.00625735j -0.0921605+0.0711891j -0.0120737+0.0127572j -0.0190208+0.0488148j -0.0846159-0.207026j -0.0190808+0.0373352j 0.0374854-0.0151308j -0.0168196+0.0247891j -0.0277404-0.0250476j -0.0293879-0.0428318j -0.0113115+0.0297667j 0.0175274-0.00292962j 0.0141765+0.118662j 0.0866625+0.0876178j 0.142668+0.0634966j 
0.0338162+0.0480113j 0.0567291+0.0928383j 0.00541932+0.00802973j 0.073649-0.08501j -0.0477982+0.0152636j -0.0280149+0.045473j -0.00939996+0.070358j -0.0160816-0.0324998j -0.0639508-0.0730629j 0.0266667-0.0350162j 0.0385889+0.012811j 0.0045111+0.02261j -0.019823+0.0568955j 0.0191268+0.0281592j -0.0508897+0.0806764j 0.01793+0.087725j 0.0439679+0.0903347j -0.00559774+0.0491298j -0.0036483+0.0484202j 0.0546204-0.0208928j 0.0141221-0.00636648j -0.0641573-0.0245745j 0.128395-0.0508705j 0.0412445-0.00607384j 0.0390434-0.0909569j 0.00901233-0.0699869j -0.0615753+0.0253048j 0.0191631-0.0380046j 0.0186022-0.0052132j 0.0362474-0.0682995j -0.078806+0.032714j 0.0695618-0.132936j -0.0714052+0.0166609j 0.0510828+0.00151205j -0.0958822-0.0527911j -0.0330611+0.0156434j 0.0730849-0.00579966j 0.016074+0.000141058j 0.106334+0.0302106j -0.0200668-0.00142j 0.0289301+0.00610469j -0.0256784-0.00872123j -0.00178194-0.000987089j -0.0184986+0.0202479j 0.0343271+0.0018474j 0.0177328-0.0321111j -0.034204-0.0107891j 0.00238439+0.0402268j -0.00138928-0.0137957j -0.000798155-0.0325305j -0.0529725-0.0151727j -0.00228418-0.0598909j 0.0401245-0.0158625j 0.101829-0.0646143j 0.0486509-0.0209794j -0.075894+0.00172685j -0.020549-0.00354797j -0.0258164+0.0135263j 0.0103204+0.00318068j -0.0437447+0.0518955j 0.0348804+0.00321146j 0.0223388-0.0643267j 0.0126617-0.0653981j 0.0282439-0.0107934j -0.0147382-0.0220244j -0.00340306-0.0285318j 0.0596627-0.0427321j 0.012982-0.0248413j -0.00496686-0.0449357j 0.0159138+0.00626698j -0.0180562+0.01364j -0.0116346+0.0144835j 0.00277715+0.0041731j -0.0492418+0.0389117j -0.0225794+0.0225166j -0.0303132+0.106402j -0.00327503-0.000733993j -0.0232501+0.055552j 0.0404442-0.0603972j 0.023639+0.0567744j 0.00570162+0.00511217j 0.04118+0.0648707j 0.0840977-0.0437208j 0.00528708-0.130233j -0.172254+0.00765584j -0.0474809+0.0127877j -0.126454+0.0314132j 0.006867+0.0311154j -0.0710877+0.0996937j -0.0018321+0.0142707j -0.0215414+0.0172292j 0.0347985+0.00483901j 0.0608928+0.00279944j -0.076471-0.00684087j 0.154511+0.0421291j 
0.0494054+0.0155689j 0.0732436-0.00761308j 0.0412108+0.0349306j 0.0878302-0.015403j 0.0284484-0.090904j 0.112618-0.124732j -0.128749+0.0559704j -0.0291368+0.117222j -0.12213-0.0653524j 0.107563-0.0388886j -0.00694721+0.0399678j -0.165259+0.0133626j -0.159737+0.01878j 0.143943+0.027612j -0.0573672-0.0592039j -0.106006+0.0216587j 0.0745289+0.203506j -0.158237-0.00465861j -0.0744975-0.0328658j 0.0993531+0.0379373j 0.0212358+0.06286j -0.00211125+0.0251463j -0.0120431-0.0324311j -0.0457713-0.0309282j -0.0206377-0.0273795j 0.0207183+0.00086833j 0.00481243+0.0811972j 0.0677091+0.00303426j 0.108408-0.072436j 0.0647616-0.0681057j 0.0346524+0.00324385j 0.0682298+0.0579809j -0.0212612+0.0443261j 0.0623411+0.0107823j -0.00852236+0.0338957j 0.000236644-0.0214445j 0.0398101-0.0134328j 0.00661732-0.0221078j -0.0168376-0.00910099j -0.0188237-0.0144498j -0.0300684-0.0299258j -0.0333499-0.000159906j 0.0103452-0.0124569j 0.00707265-0.0154772j -0.00560824+0.0254976j 0.00451012+0.0319517j 0.00551986-0.0443074j -0.0226845+0.0402108j 0.0118859+0.0123328j 0.000452019-0.0169064j 0.00663102-0.0106485j 0.0264936-0.0248513j -0.0141106-0.00232906j 0.0527075-0.0136752j 0.0193681-0.0204663j -0.00984481-0.00203606j 0.000643492+0.00440092j -0.00308104-0.00109692j -0.0229721+0.0327944j 0.012146+0.00752889j -0.000648582-0.00432405j -0.00497692+0.02847j -0.0258231+0.00713834j 0.00488242+0.0120915j 0.0304608+0.013609j -0.00300638+0.0158728j 0.0124682-0.00730709j -0.000726373+0.000655365j 0.017658-0.00900414j -0.0068845-0.015812j 0.0202594-0.029786j -0.0190274+0.00584796j 0.0182058-0.0168183j -0.00656736-0.00495021j -0.00522937+0.00520692j -0.0213671-0.000282008j -0.0206115+0.0203846j 0.00651904-0.0156821j -0.0240819+0.0205755j -0.0268757+0.0173967j -0.0314864+0.0265315j 0.0197527-0.00277832j -0.0544931-0.0141755j 0.023166+0.0205656j 0.00985022+0.0419049j 0.0161671-0.0698007j 0.0288073+0.0113881j 0.0109936+0.0107364j -0.0243661+0.00771045j 0.0158371-0.0449996j 0.0482621-0.0767972j -0.0216807+0.0369774j -0.0270996-0.0679524j -0.0168681-0.00514376j 0.0229937+0.0282623j 
-0.0125314+0.0432085j -0.0190938-0.0572922j -0.136325-0.0725065j 0.0458985-0.165255j 0.0649071-0.0180731j -0.089036+0.0878147j 0.0735774+0.0562626j -0.0197491+0.0429687j -0.00316855-0.0888123j -0.134258+0.0247818j 0.0048695-0.0851569j 0.159666-0.0343149j 0.0268276-0.0323037j -0.156643+0.0875419j 0.0797982+0.0256705j -0.179086+0.176551j -0.110853+0.155874j 0.0848262+0.0516473j 0.0577418+0.13913j 0.0793252-0.0907438j 0.0101771-0.00542869j 0.0363802+0.00999025j -0.0159841-0.0141417j -0.00603905-0.0313583j 0.0219137-0.0785611j 0.00239191-0.00466585j -3.28881e-05-0.0459139j -0.0938841+0.0482916j -0.0359052+0.00764101j -0.0305397-0.0316237j 0.0363877+0.0535748j -0.0256577+0.0291727j 0.00472569+0.0457084j -0.0369927-0.00997032j 0.00786309-0.0347259j 0.0268628+0.0096141j -0.0357221-0.0365288j -0.0143397-0.0444265j -8.40734e-06-0.00231329j 0.0119841-0.0231422j -0.00600094-0.0221233j -0.00911165-0.00349352j 0.000386223+0.000485874j 0.000602444-0.00895737j 0.0222647-0.0314257j 0.0257375+0.0209876j -0.0165261+0.0150766j 0.00318155+0.00586874j -0.0116099-0.0206146j 0.0155422-0.00868279j -0.00762402+0.00430369j -0.0173113+0.00588795j -0.0190807+0.0168038j -0.0319854+0.0270959j -0.0100956+0.00552642j 0.0104297+0.0415207j -0.0028272-0.0164536j -0.00665133+0.0278761j -0.0306988+0.0207482j 0.00989134+0.0315928j 0.0025113+0.00990253j 0.0152661+0.000657167j 0.00629675+0.00159819j -0.0314995+0.0225116j 0.0166294+0.00546323j -0.000640392+0.00787828j -0.00877534-0.0243713j 0.00772468-0.00464037j -0.0127358-0.0142119j -0.00973056-0.00442702j -0.0119824+0.00375711j 0.00525286-0.0026632j 2.21016e-06-0.0256821j 0.0158444-0.0209069j -0.0153802-0.0034629j 0.0349964-0.0471656j 0.0200171-0.0396774j 0.00350436-0.00122473j -0.0170931+0.00600524j -0.037366-0.0191049j -0.0576446+0.0264222j 0.0213754+0.0065354j -0.00444686-0.00233791j -0.00133151-0.00368979j 0.0405973+0.0575185j 0.0462074-0.0446471j 0.000219504+0.0384957j -0.00672036+0.0269414j 0.0247334+0.00393441j 0.0138607-0.00430961j 0.0112369-0.056909j -0.0295301+0.00439857j 0.0338656-0.0135165j -0.00238094+0.0132597j -0.0347434-0.00773398j 
0.0665889+0.0405605j -0.027337-0.000900098j 0.0631426+0.135112j -0.0527839+0.0568914j -0.0375197+0.0379372j 0.0432631+0.0210163j 0.0173658+0.121942j 0.0139891+0.0106224j -0.0686102-0.100749j -0.112498+0.0328735j 0.0654748-0.0536082j 0.142634+0.138388j -0.0727919-0.020562j -0.0681512+0.0964509j 0.0092589-0.0451194j 0.000198382+0.0695391j -0.0647819+0.00422577j -0.00267119+0.158459j 0.0873037-0.0280759j 0.0510908-0.0903272j 0.0155784+0.039876j -0.00278026-0.0151873j 0.0196308-0.067847j 0.0222504+0.0208934j -0.0444546-0.0334732j -0.0136486-0.038446j 0.000497835+0.0250986j 0.0722229-0.00841937j 0.0379009-0.0795686j -0.0466794+0.0271728j 0.00457795+0.00369363j 0.0218952+0.0550781j 0.0590629+0.0410414j 0.0235459+0.0169479j -0.0272673+0.0103767j 0.00966944-0.031978j 0.0119646-0.0268428j -0.0438633-0.0597575j -0.0127695-0.0209417j -0.00509173-0.043092j -0.0171561-0.0256049j -0.0177719+0.0254857j -0.0314884+0.00882917j -0.00140779-0.0269804j -0.0139613-0.0142867j -0.0454142+0.004269j -0.00260924+0.00332868j 0.0139164-0.0224585j -0.0307051-0.006178j 0.00818437+0.00136096j 0.0198466-0.0102254j -0.00573681-0.00250082j -0.0267185+0.0370073j -0.00454659+0.0137798j -0.0159808-0.0141526j 0.026761-0.0173621j -0.0287082-0.00745231j -0.00872933+0.0332479j -0.00279138+0.00316686j 0.0244601-0.00523689j -0.0157212+0.0149403j 0.0135231+0.00052333j -0.00980807+0.019047j -0.0181231+0.0147155j -0.00602864+0.0203177j 0.0354467+0.000862166j -0.0116066+0.00194323j 0.0102812-0.0252775j 0.0163218-0.00981542j 0.00641426+0.00617048j -0.00189376+0.0113544j 0.000630431+0.00775245j -0.00567269-0.0226226j 0.0134059+0.00179651j 0.017996-0.0368469j 0.0240752-0.0125399j -0.0180989-0.00797773j 0.0117836-0.00396451j -0.0063243-0.00944073j -0.00413795-0.00330378j -0.0289116+0.0238219j 0.0889347-0.0244034j -0.0498948+0.0284287j -0.00321976+0.0286857j 0.0468638+0.0171498j -0.00630798-0.0232703j 0.0483815-0.0180049j 0.0167196+0.00241886j 0.0314115-0.02744j -0.00949132+0.000127026j -0.0167814-0.0628625j -0.0506383+0.0307713j 0.0327762-0.0623796j 0.0053044-0.0256406j -0.0318451-0.0168513j 
0.024115-0.0814088j 0.0106386-0.0619954j 0.0385742-0.0817347j 0.0762165-0.142978j -0.0163305-0.0055275j 0.0716821+0.0165951j -0.0747859+0.0478508j 0.0351393-0.17131j 0.0374323-0.0545367j 0.097329+0.0716218j 0.129507+0.0269183j 0.0357843-0.0174153j -0.126936+0.112886j -0.0244719-0.016271j -0.109377+0.217325j 0.174103+0.0110618j -0.031682-0.0947122j 0.00192388+0.0852416j 0.0942176+0.0707725j 0.00505849-0.0810917j -0.00466288-0.0507878j -0.0117141-0.0274075j -0.0273621+0.0374674j -0.0271042+0.0451971j 0.0170352-0.0499374j 0.0111909-0.00905222j -0.0313416+0.0437566j 0.101814-0.111304j 0.0566429-0.0381852j 0.000307362+0.0270655j -0.00245594-0.0569859j 0.0146484+0.0340949j 0.0531044-0.0203644j 3.45513e-05-0.0231736j 0.070497+0.0537205j 0.00359027-0.0114005j 0.0240832+0.0428645j -0.0117516-0.0451357j -0.0317084-0.0053673j 0.00316876+0.0286734j 0.0118705-0.0191452j -0.0236499-0.017884j 0.00538629-0.00456712j 0.0290172-0.00119452j 0.0043267-0.0102306j 0.00801398-0.0184542j -0.0053209+0.020742j 0.00563469-0.0404619j 0.00220189-0.00365578j 0.000909312+0.0358642j 0.0241395-0.0317833j 0.021032-0.0174309j -0.0359646-0.00261337j -0.0192795+0.0162616j -0.011948+0.0198054j 0.0245127-0.0560793j -0.00148922-0.00928347j 0.0247272+0.00886965j -0.000760132+0.0385514j 0.0146366-0.0429862j -0.0393947+0.0194538j -0.0240976+0.0252791j -0.0448357+0.0398752j 0.0249487+0.0041085j 0.0108355+0.00741177j 0.0386995-0.0282079j -0.00658304+0.0513571j 0.00794575-0.0427532j -0.00638538+0.00344367j -0.00651607-0.00735668j -0.0194634+0.00397514j 0.00734081-0.0353394j 0.0204984+0.00469912j 0.00771075+0.0140977j 0.00230359+0.01192j -0.0268576+0.010251j -0.00885636+0.00949483j -0.00347389-0.00826865j 0.0460186+0.00822358j 0.0205458+0.00516354j 0.0053106+0.0360446j -0.00288404-0.0618173j -0.0591921+0.0811322j -0.00800501+0.0700227j 0.0679621-0.0841936j -0.0100142+0.0371126j 0.0985702-0.042678j 0.0158892-0.012804j 0.0278151-0.0686524j -0.0414265-0.0142974j -0.019758-0.0176938j -0.0221862-0.00389972j -0.010786+0.032066j 0.0719452+0.020491j -0.00231556-0.013197j 
0.0366847-0.0737835j -0.0100899+0.0123972j 0.0613762-0.0803405j -0.117406-0.162363j 0.0126383+0.0985113j 0.128183-0.170215j 0.0264548+0.0375519j -0.0277165+0.0933116j -0.131442-0.0449128j -0.0709695-0.245466j -0.198322-0.113256j -0.0176737+0.100813j -0.000165524+0.0382433j 0.0142103+0.00440792j 0.143644-0.0802223j 0.0330161-0.142169j -0.0766989+0.195117j -0.0274697+0.0997333j 0.0314419+0.0790073j 0.0579759+0.0671562j -0.0693781+0.0679313j -0.0197307+0.102209j 0.0155053-0.0263944j 0.0014375+0.0470273j -0.0244924+0.00670627j -0.0131545+0.0384909j -0.00113204-0.0723417j 0.0291391-0.00437463j -0.00839753-0.0294115j -0.0233423+0.0466199j -0.0221044-0.0236232j -0.0136154+0.00526049j 0.0406775-0.0149229j -0.0257092+0.0258395j 0.0412014+0.00141392j 0.0451288-0.0105463j 0.0304026-0.0130132j -0.0228816-0.0410003j 0.00277328+0.010668j -0.0263465+0.0505607j 0.0111774+0.0175173j 0.00277276+0.00288306j -0.0245949+0.00927038j 0.00868102-0.00521968j -0.0253013-0.00169177j -0.024901-0.0320471j -0.024637+0.0395388j 0.008437-0.00701097j -0.00288366+0.00445677j -0.00265058+0.0417659j 0.00551108+0.00931066j -0.0184393-0.0486503j -0.030971+0.0227296j -0.0371549+0.0278867j -0.00254427-0.00296085j 0.0316546-0.0696617j -0.0159573+0.00999213j -0.00113038+0.0217505j 0.0212203+0.0152538j -0.00263824+0.00741779j -0.0124584+0.00261492j -0.00929519-0.017942j -0.0128058+0.0304096j 0.0168019-0.020774j 0.0494277+0.0181025j -0.0203892-0.018584j -0.0215106+0.00199034j 0.00208351-0.0118428j -0.0194702-0.00502299j -0.00366165+0.00773734j -0.0207202+0.0227171j -0.00753916+0.0133998j -0.0132143+0.00323367j -0.00443792+0.0223781j 0.00413195+0.0237124j 0.000382488+0.00833129j 0.0272082+0.0166572j -8.05672e-05+0.0124986j 0.0014577-0.0266487j 0.0193021-0.0265949j 0.00998816-0.0127162j 0.0293463-0.0211109j 0.00606216+0.061532j -0.005686-0.0018934j 0.00498129-0.0738411j -0.0246122+0.0685643j 0.0284546-0.032947j 0.0115623+0.00833311j 0.00752927-0.0150391j -0.0425325-0.0153523j -0.00697395-0.000156052j -0.00943789-0.0194586j 0.0131356+0.0487089j 0.0450242+0.0472017j 0.0483317-0.0390371j 
0.0285813+0.0323579j -0.0321794-0.0743623j -0.0762341-0.0779458j 0.135497-0.0249328j -0.03429-0.00707707j -0.053274+0.111635j 0.0226096+0.033349j 0.0470294+0.0566546j -0.114815+0.0290813j 0.0946715+0.0377582j 0.0907951+0.0749305j -0.165188-0.0895211j -0.0451389+0.030877j 0.153109+0.00385936j -0.0554952-0.0257804j 0.0105017-0.088209j 0.070486+0.126061j -0.0932975-0.0869817j -0.0991202-0.00566634j 0.0299171-0.0301502j -0.0399332+0.0242564j -0.0174648+0.0634542j 0.0515657-0.0409865j 0.0269962-0.00980741j 0.033185+0.00186963j -0.0515134-0.00782266j -0.0351879-0.0490713j -0.0042286-0.0595722j 0.00707385-0.00855767j -0.0917902+0.0889305j 0.04328+0.063488j -0.0940116-0.0107908j 0.0383795+0.0114501j -0.0077482-0.0480933j -0.0418329-0.0222356j 0.0546205-0.0169717j -0.114501-0.0191325j -0.0150418-0.034925j 0.0300447-0.0107955j 0.0111006-0.00727356j -0.00205314+0.0278275j -0.0153648-0.0268171j 0.00300622+0.012461j 0.0128518+0.028681j -0.0101867-0.00929394j -0.0618322+0.00870316j 0.00883255+0.0962131j 0.0205516-0.0528177j -0.0257638-0.0168945j -0.0349311+0.0762111j -0.0198039+0.037431j -0.0487518+0.0169518j -0.0315026+0.009609j -0.0849648+0.0662404j -0.0327+0.0342809j 0.0420433+0.0100866j 0.00850567-0.0120515j -0.0231755+0.028685j 0.00313164-0.00192203j 0.0141651+0.0251544j 0.00397408+0.0342231j 0.0249777-0.0608591j -0.0265142+0.0424364j 0.0156556-0.00658499j -0.019651-0.0216523j 0.0125722+0.00215336j -0.0418687-0.00196582j 0.0311283-0.00975802j -0.00974701+0.00773736j -0.00299742+0.0157519j 0.00425143+0.0196102j 0.0345769-0.00915164j 0.0046578-0.0337271j 0.0157669-0.0120616j 0.0192655-0.0570206j 0.0719326-0.0433535j 0.0329068-0.0763214j 0.0150171+0.013965j -0.0209408-0.0313424j 0.0168256-0.0660562j -0.0339167+0.00904207j 0.0661171-0.0285553j 0.00186447+0.0652194j -0.0540022-0.000271581j 0.0348399-0.0594108j -0.022582+0.0627364j 0.0279798-0.00807763j 0.0411097-0.0297273j 0.0877602-0.0725175j -0.0084226+0.0408958j -0.0265318+0.0502009j -0.0188156-0.044979j 0.107928+0.0487228j -0.00547573+0.0106024j -0.077116-0.0328371j 
0.013505-0.00691325j -0.0099602+0.0748766j 0.0282926-0.00737245j -0.0324757+0.151616j -0.021391+0.0555645j 0.0196843+0.07257j 0.0322229-0.0431871j -0.0330689+0.0188673j -0.0382304-0.00259662j 0.0825148+0.0955622j 0.116436+0.110795j -0.00751607+0.0552097j -0.118642-0.0235104j -0.00506606+0.0905917j -0.0674025+0.0280155j 0.0015137-0.0523013j -0.0447773-0.0787426j 0.00388388+0.0989079j 0.0804869-0.154289j 0.0455574-0.0133218j -0.00589944+0.0845757j -0.0135705+0.00944739j -0.0462693+0.0569154j -0.0633369+0.00587324j -0.0218422-0.0693356j 0.0892769-0.0591729j 0.00499383-0.063145j -0.108177+0.00114541j -0.0280061+0.0327835j 0.0393567-0.0843262j 0.0165701+0.0247394j 0.00833586+0.0566857j -0.0194347-0.000298959j -0.0227746+0.0138131j 0.119014-0.0373279j 0.036938+0.0167931j 0.0372821-0.00867134j -0.0726627-0.084658j -0.029588+0.0345106j -0.0185926+0.080259j 0.0359023+0.0247354j -0.00796621-0.00398135j -0.00502617+0.00762025j 0.051421-0.00638297j 0.0115919-0.0184126j 0.0335394-0.0272305j -0.0105+0.0382694j -0.00630214-0.016474j 0.0357098-0.00388869j 0.00475532+0.0171292j 0.032265-0.00336671j -0.00211353-0.0568804j -0.0294375+0.00920564j 0.0144398+0.0537119j 0.0621652+0.0144239j 0.0418034+0.00537222j -0.0110712-0.0103878j 0.017469+0.0110458j 0.0018436-0.0360029j -0.0122248+0.0129597j -0.0311804-0.050981j 0.0225604-0.0230911j 0.0304627+0.00332984j -0.0203175+0.0319901j -0.00990465+0.0120266j -0.00295791+0.0476247j -0.00935461-0.0197259j -0.0277267+0.0478027j -0.0130726+0.0303466j -0.00468731+0.00233065j -0.0165906+0.0056088j 0.00107855-0.0187497j -0.0440186+0.0310953j -0.0461395+0.0054963j -0.00353983-0.0119293j -0.00675853-0.0522724j 0.0286465+0.00491037j 0.0166151+0.00214301j -0.00478023+0.0316854j -0.0327337-0.0107453j -0.00255434-0.0412011j -0.0679385+0.0645629j 0.0373228+0.0106159j 0.0194869+0.00705409j -0.00271325-0.0448278j 0.087781-0.0255795j -0.0235506+0.0126694j -0.0347668+0.0415801j -0.0191794+0.0342074j -0.00563666-0.00130001j 0.0286014-0.0208498j 0.00555712+0.0284534j -0.0335588+0.092461j 0.135031+0.112185j 0.0940291-0.0524911j 
