-0.130661-0.197511j -0.316749+0.321724j -0.24539-0.234045j -0.140889-0.136609j 0.0169059+0.0140697j 0.0519588+0.161107j 0.0891276+0.156844j -0.0943599-0.00480432j 
0.303831-0.170433j -0.292717-0.393163j 0.227454-0.252637j 0.0486202-0.104015j 0.114438+0.0146338j 0.0944754-0.118273j 0.0179146+0.00891408j -0.0830771-0.0186489j 
-0.032221-0.212254j -0.203632+0.0886155j -0.122508-0.097345j -0.0747859-0.00180713j 0.142383-0.236166j -0.0693573-0.179813j -0.138373-0.269413j 0.106811+0.0161312j 
-0.165528+0.0634738j -0.100509+0.0426901j 0.0704808-0.132066j 0.393452-0.13253j -0.0641839+0.404442j -0.470213+0.208147j 0.127053-0.047721j 0.248737+0.155236j 
0.0401469-0.0462927j -0.106705+0.00716727j -0.0127991-0.107323j -0.0786233+0.0508671j -0.175025+0.120527j 0.295859+0.278443j 0.129586+0.413242j -0.256231-0.082093j 
0.0072937+0.00206448j 0.00194303+0.00105626j -0.024818+0.0322146j 0.0145209-0.167991j 0.210737-0.185166j -0.0892953-0.252832j -0.156589-0.254732j 0.144223+0.013206j 
0.0521129-0.00697001j -0.0318604-0.0595402j -0.0224161+0.0254923j -0.0752058-0.00653532j 0.0237355-0.13244j 0.181994-0.0361964j -0.0930622+0.0459991j -0.079787-0.0480135j 
-0.0795868+0.0143402j -0.0164637+0.0322443j -0.0326065-0.0647461j 0.0264031-0.0553097j -0.0369267+0.179736j -0.174699+0.0861291j 0.137847+0.0304026j 0.048292+0.0491005j 
-0.0134588-0.00234961j -0.012661+0.0479826j -0.00680429+0.011948j -0.015976+0.0459612j -0.0795337+0.0429644j 0.00347957+0.0234521j 0.0213397+0.0393353j 0.037298-0.0359025j 
-0.0508474-0.028836j 0.0569957+0.0390431j -0.0460089+0.00120434j 0.0080228+0.0129062j -0.0139531-0.0835764j 0.0769158-0.00169067j -0.0866622+0.00613555j -0.0326043-0.0259001j 
-0.0408792+0.0321731j -0.0143793+0.0200034j -0.0470939+0.0261123j -0.0098142+0.011168j 0.0544409+0.0102398j -0.0210267+0.0282747j 0.00738429-0.0062659j -0.0652015+0.0106952j 
0.00603242+0.0211812j 0.0335148+0.0449819j 0.00107138+0.0129223j -0.0270403-0.0384907j 0.0117907+0.00131224j -0.0440317-0.0245644j 0.0508254-0.0133671j 0.0390352+0.0436312j 
-0.00359481-0.0162802j -0.000843501-0.0600802j -0.00721764-0.0104998j -0.00261016-0.0266778j 0.00166792-0.00980707j -0.00503368-0.0714883j -0.0460933-0.0547966j 0.0655382-0.0470119j 
-0.043541+0.0343313j -0.00830354+0.00834132j -0.0126188+0.028682j 0.0448007-0.0152515j -0.0754839+0.00237987j -0.0528422-0.0555848j 0.00918176-0.0323642j 0.154326+0.0908952j 
0.0274579-0.0253545j 0.00184459-0.043581j -0.00200713-0.0125119j -0.0274828-0.00442931j 0.0566307-0.113138j 0.0335811-0.033651j 0.025148-0.0660736j -0.00459432+0.153204j 
