-0.0340165-0j 0.456169-0j -0.0134999-0j -0.00640355-0j -0.0123236-0j -0.00715939-0j -0.00477293-0j -0.00196068-0j -0.00413348-0j -0.00277282-0j -0.00138641-0j -0.000536954-0j -0.000657632-0j -0.000139505-0j -1.44401e-05-0j 
0.0176755-0j -0.0313195-0j -0.151336-0j 0.568313-0j 0.00640355-0j -0.0128658-0j -0.0085772-0j -0.0126079-0j 0.00214782-0j -0.0114066-0j -0.00249145-0j -0.00469677-0j -0.00422883-0j -0.00154344-0j -0.000226667-0j 
0.0139737-0j 0.00715939-0j -0.0440596-0j 0.00263053-0j -0.0860748-0j 0.397285-0j 0.00196068-0j -0.0136944-0j -0.0286789-0j -0.00904967-0j -0.0147136-0j 0.000220576-0j -0.00456279-0j -0.000455303-0j 5.93188e-06-0j 
0.0093158-0j 0.00477293-0j 0.00369709-0j 0.00175369-0j -0.0874764-0j 0.00196068-0j 0.404531-0j 0.000536954-0j -0.0293405-0j -0.0196822-0j 0.000379684-0j -0.00381144-0j 0.0001801-0j 3.8205e-05-0j 3.95459e-06-0j 
-0.00662831-0j 0.0268856-0j -0.00263053-0j -0.0286007-0j 0.0408289-0j -0.187783-0j 0.00736293-0j 0.607458-0j -0.000805431-0j -0.0123845-0j 0.00213874-0j -0.02133-0j -0.0119833-0j -0.00962201-0j -0.00217626-0j 
-0.00765371-0j 0.0135617-0j 0.0241325-0j 0.0114066-0j 0.0345482-0j -0.0442616-0j -0.0962648-0j 0.00545939-0j -0.195716-0j 0.488934-0j -0.0278713-0j -0.0253398-0j -0.0309276-0j -0.00530983-0j 9.81499e-05-0j 
-0.00270599-0j -0.00138641-0j 0.0277441-0j -0.000509399-0j -0.00098034-0j 0.0147136-0j -0.000379684-0j -0.000155971-0j -0.140536-0j 0.00569854-0j 0.323528-0j -4.27144e-05-0j -0.0223591-0j 0.000286702-0j -1.1487e-06-0j 
0.00209605-0j -0.0132899-0j 0.000831846-0j 0.0368991-0j -0.00946141-0j -0.00545939-0j 0.0943353-0j -0.0257415-0j -0.00317345-0j -0.199076-0j -0.00105721-0j 0.603465-0j -0.00863397-0j -0.0360228-0j -0.0144134-0j 
0.0022232-0j -0.00901771-0j -0.014902-0j 0.00959296-0j 0.000805431-0j 0.0625667-0j -0.0024696-0j 0.0119833-0j 0.0338345-0j -0.0701582-0j -0.306597-0j 0.00715429-0j 0.503394-0j -0.0545089-0j 0.00072994-0j 
-0.000608849-0j 0.00525115-0j 0.00191972-0j -0.0233658-0j -0.000220576-0j -0.0171382-0j 0.00143809-0j 0.0513718-0j 0.00124957-0j 0.0803842-0j -0.0107918-0j -0.0224498-0j -0.291022-0j 0.564231-0j -0.0678044-0j 
7.45684e-05-0j -0.0009838-0j 2.95934e-05-0j 0.00763391-0j 2.7015e-05-0j -0.000404137-0j -0.000269425-0j -0.0383602-0j 9.0611e-06-0j 0.00330558-0j -7.82608e-05-0j 0.121445-0j -0.0128664-0j -0.201121-0j 0.556085-0j 
-1.07031-0j 0.0178026-0j 0.0137899-0j 0.00654111-0j 0.0125884-0j 0.00731318-0j 0.00487545-0j 0.0020028-0j 0.00422227-0j 0.00283238-0j 0.00141619-0j 0.000548488-0j 0.000671758-0j 0.000142501-0j 1.47503e-05-0j 
-0.0178026-0j -0.825657-0j -0.0070652-0j 0.0265319-0j -0.00644962-0j 0.0129584-0j 0.0086389-0j 0.0126986-0j -0.00216327-0j 0.0114887-0j 0.00250937-0j 0.00473056-0j 0.00425925-0j 0.00155455-0j 0.000228298-0j 
-0.0137899-0j -0.0070652-0j -0.938039-0j 0.0560045-0j -0.00499585-0j 0.0230588-0j -0.00193489-0j -0.000794835-0j 0.0283016-0j 0.00893062-0j 0.01452-0j -0.000217675-0j 0.00450276-0j 0.000449313-0j -5.85385e-06-0j 
