-0.0215739+0.717316j -0.0120564-0.0144371j 0.00216075-0.00464585j 0.00210526+0.00703675j 0.0116089+0.289547j 0.024081+0.567213j 0.00861034+0.00910183j 0.0045594-0.00262208j 0.00279553+0.0194674j -0.00107042-0.0134733j -0.00420826-0.00437892j -0.000379782+0.00507048j 
0.0117311+0.111579j -0.0143145+0.532075j 0.00574047-0.0455636j 0.00784742-0.166404j 0.000221435-0.125545j -0.00737326-0.11533j 0.0106072+0.76781j 0.00211194+0.0186062j -0.00156425+0.000419867j 0.00185282-0.0147559j -0.00276996-0.0354631j -0.00328769-0.0095531j 
-0.00974213+0.0129034j 0.0109048+0.118183j 0.00194034-0.230439j -0.00540343+0.0128672j 0.00568747-0.108698j 0.00765711+0.0348413j -0.00408513-0.148889j 0.000336843+0.92605j 0.00187714-0.0535108j -0.000966046-0.0242753j -0.000212341-0.00711319j -0.00079602-0.0147739j 
0.0113395-0.0153435j 0.00151806+0.0335791j 0.00385901+0.0670959j 0.0103429-0.129525j 0.00556698-0.103748j -0.0108791+0.0996381j 0.000749384-0.0796261j 0.00111406-0.0517058j -0.00299105-0.96422j 0.00128493+0.0348288j 0.000986605-0.00578938j -0.00289718-0.0205323j 
-0.00126321-0.00899068j -0.00663733+0.0298189j -0.00408287-0.0752539j 0.00224881-0.0899404j -0.0132914+0.0568181j 0.00963359-0.0125003j 0.00361591-0.0390405j -0.0017119-0.00962998j 0.0014331+0.0222056j -5.91869e-05+0.971218j -0.00218975+0.0200366j -4.3189e-06+0.00221563j 
-0.00990849+0.0123111j -0.012476+0.00488093j 0.00237882+0.0204916j 0.002462+0.084108j -0.0124977+0.0565147j 0.0126829-0.0525522j 0.00508735+0.00606048j 0.00104757+0.0226609j 0.00302588-0.0428451j -0.00089476+0.041189j -0.000260615-0.963185j 0.00363436-0.0198447j 
-0.00158907-0.00415559j -0.0141967+0.00123944j 0.00864451+0.00121591j 0.0160359+0.00945775j 0.0237559+0.0618874j -0.0111636-0.0272924j 0.0116974-0.00362675j 0.00696159+0.00498238j -0.00433588+0.00336414j 0.00199616+0.00566685j -0.00296154+0.0498091j 0.00381103-0.955949j 
