-0.00430829-0.0901194j -0.00501481-0.0322141j -0.00211155+0.0111973j -0.00250972-0.139504j -0.00518881+0.0638282j -0.00233484+0.0533179j 0.00918431+0.0155135j 0.00159837-0.0150494j 0.00444546+0.025557j 0.00105941-0.0464935j -0.000308531-0.0322933j 7.56232e-05+0.0017305j -0.00190103+0.0236024j -0.00177135-0.0180683j -0.0043524-0.0419559j 0.00554592-0.00843685j -0.00544102-0.0290313j 0.0112106+0.0674768j -0.0116201-0.112989j -0.00902865+0.177477j 0.013319+0.0122257j 0.00240873+0.0092341j 0.00741512-0.0215943j -0.00203271+0.0450835j 0.00299309-0.0270063j 0.00391968-0.00257728j 0.000350255-0.0238139j 0.00221289+0.00248399j 0.00240152-0.0459589j 0.000641117-0.00610598j -0.000659603-0.00563397j 0.00290298+0.0090557j -0.000262347+0.0231296j 0.00378515+0.0283903j 0.00174147+0.0653692j -0.0137722+0.0660064j 0.000789781+0.106748j -0.0169767+0.0395807j 0.00374513-0.0323261j 0.0139685+0.0113573j -0.00406764-0.0298223j -0.0243657+0.0557923j 0.00359714-0.00306737j 0.00629019-0.0690995j 0.0010456-0.0197433j -0.00109496-0.00682474j -0.00484847+0.0267353j -0.0100768+0.0356356j -0.0071669-0.0167392j -0.00895559+0.00946233j 0.0102313-0.0292029j -0.0263149+0.0131197j 0.0278521-0.00543955j -0.0202816+0.0143212j -0.00717354+0.0510439j -0.0219003-0.0124432j -0.0364961-0.0233005j 0.00928256+0.0379659j -0.0059404-0.0136742j -0.00960779+0.0109486j -0.010777+0.0217334j -0.00540378+0.0101259j -0.000886505-0.000101858j -0.0140701+0.023492j -0.00758312-0.0135167j -0.00690942+0.0136613j -0.0140765-0.0391653j 0.00471749+0.0261905j -0.000901842-0.00254856j 0.0129456-0.00724597j -0.0183951-0.000389286j 0.000616531+0.0111305j -0.00436342+0.00760153j 0.00745727+0.00323394j 0.0075256-0.0256765j -0.000225218-0.00456669j -0.00184981-0.00310303j 0.00389438-0.0141378j -0.00317328-0.00950888j -0.00607774-0.0246864j -0.00100558+0.0151481j -0.0211602+0.0207461j -0.006214-0.0211856j 0.0289413+0.0240049j -0.00122036-0.0265229j 0.0664783-0.0116521j 0.0432459-0.031434j -0.0253917+0.00723667j -0.0119107+0.00351712j 0.0462167-0.127693j -0.190974-0.0896051j -0.0461791+0.00816187j 0.00105553-0.120383j 0.211696-0.099643j -0.0978283-0.202565j 
-0.00140596+0.0333044j -0.0072438-0.0527956j 0.00438212+0.0799499j -0.00281066+0.0463369j 0.00236579-0.0101282j -0.00727889+0.0238566j -0.00168504+0.000287491j -0.00270621-0.0849183j -0.00880218+0.0313219j -0.000142739-0.0140242j 0.00611608+0.0018916j 0.00102093+0.00444091j -0.00784567+0.00617097j 0.00807124+0.00118831j 0.0029164+0.0284769j -0.00742823+0.0396008j 0.00772252+0.00366602j -0.0035353-0.178423j -0.000930204-0.141482j 0.0200076+0.0379501j 0.00506757-0.0414654j -0.00120445+0.045668j 0.0064154-0.0152331j 0.0140281-0.0132073j 0.00807008+0.0250702j -0.00371361-0.0282913j -0.00832751+0.00456571j 0.0078752-0.00348325j 0.00421239+0.0211405j 0.00400723+0.00724744j -0.004161-0.0303063j 0.00386652+0.0219679j -0.000796655-0.0193339j -0.000196796-0.00308223j 0.00468314+0.0112497j 0.0121503+0.0137128j 0.0214298-0.0913723j 4.9045e-05+0.127613j -0.00632881+0.0173512j 0.0198318-0.100982j 0.00138746+0.00467526j 0.0169556+0.0271219j -0.00386441+0.00491672j -0.00999444+0.0108788j -0.00438335-0.00480782j -0.00320962+0.0149625j 0.0131575-0.0103448j 0.00784568+0.019441j 0.00186054+0.0102949j -0.00746163+0.0310003j -0.00604878-0.0125491j 0.0023955+0.0382884j 0.00735815-0.0264266j -0.0103859+0.0286629j 0.0102945-0.00278003j 0.0011638+0.00499131j -0.00310472+0.00234681j 0.0326982-0.0340658j -0.0328629-0.00389163j 0.0142571-0.00499569j 0.0103004+0.0476023j 0.00522012+0.0292349j -0.00308129-0.0392791j 0.00290599-0.00507882j -0.00596307+0.00213635j -0.00725066-0.00361636j -0.00425345+0.014042j 0.0167992+0.010476j -0.00716755-0.00403828j 0.00069916-0.0171459j -0.0107328-0.00881524j 0.00235726+0.00567719j 0.0128525+0.0043891j -0.00441719-0.00457032j 0.00272897-0.0199311j -0.00817356-0.000568408j -0.00229742-0.0100875j 0.0124217+0.00917076j -0.0010768+0.0118546j -0.0103828-0.0162737j 0.014597-0.0124967j 0.0225575+0.00537592j -0.0160452+0.00855764j 0.0145802+0.00888482j 0.0243475+0.0384879j -4.8155e-05-0.0525549j -0.0552066-0.0264542j 0.00969456+0.0304671j -0.000679977+0.0183416j -0.155292-0.10051j -0.0757165+0.17369j 0.0673004+0.0237773j -0.113778+0.00444545j -0.105578-0.209245j -0.210849+0.0981143j 
0.010477+0.029803j -0.00676265+0.0506373j 0.00879261+0.0730911j -0.000141381+0.234343j 0.0466693+0.00749849j -0.000344317-0.0452041j -0.0255204-0.0124363j -0.00392035+0.0162048j -0.022239+0.0517627j 0.0353388+0.0257122j 0.035783+0.0104077j -0.00614676-0.00894056j 0.0478389-0.0474353j -0.0393514+0.00415888j -0.00729667-0.0212975j -0.016228-0.0524495j 0.00318912-0.0541966j -0.0359987-0.0184992j 0.0450992-0.0388054j 0.0510728-0.0273633j -0.0172192-0.00810497j 0.0200274+0.00230198j -0.0209518+0.0100493j 0.0462634-0.0028088j 0.00106042-0.0192782j -0.0201684+0.0206228j 0.000443299+0.0169449j 0.011462-0.0502543j 0.0202671+0.00250356j 0.0139392-0.00337932j -0.00184839+0.0175578j -0.0143256-0.0451004j -0.0160024+0.0134513j -0.000504936-0.0323039j 0.0211776+0.0268644j 0.0105196+0.00864503j -0.0144125+0.00114771j -0.00108218-0.00132848j -0.0101364+0.00807453j -0.00926732+0.0327765j -0.0124101-0.0329123j -0.0245934+0.020981j -0.0134227+0.00617741j 0.00651659+0.000669381j -0.0242489+0.00905676j 0.00333452+0.00354361j -0.0136651-0.0109085j 0.00842446+0.00656422j 0.000366169+0.0129181j -0.000621299-0.00992486j 0.00209942-0.00458462j -0.0138136+0.0202867j -0.0446948+0.00122173j 0.0220404-0.00916697j 0.00669882+0.00074562j -0.0145106-0.0322182j 0.00941869+0.0232886j 0.0337142-0.00439454j -0.025869+0.0230325j 0.0142155-0.0148135j 0.0244284+0.0135873j 0.0138488+0.0149743j -0.0102721+0.0273006j 0.000871145+0.00548926j -0.00376328+0.00475559j -0.00975093-0.00130097j 0.0158596+0.035256j 0.0131321-0.017951j -0.00512985+0.0114361j -0.00593534-0.00614298j 0.00646737+0.0153953j 0.00132008-0.011671j 0.00992919+0.00503791j -0.00788916+0.00572995j 0.000667576-0.0192876j 0.0150809-0.0104934j -0.0174911+0.000737633j -0.00261971-0.00288659j -0.00381991+0.00576822j -0.00825171-0.00503389j 0.014221-0.0170081j -0.029953-0.0187809j -0.00339298+0.0234543j -0.0168548-0.0289197j -0.00808841+0.0165971j 0.0232989-0.0113712j 0.000981091+0.0433593j 0.00161129+0.00536864j 0.0134519+0.0235516j -0.0308394-0.0286516j 0.00652727-0.0130657j -0.0668079+0.00237964j -0.00582221+0.0305738j 0.0203052+0.00180976j -7.65312e-06-0.0210486j 
0.00131789+0.0295909j 0.0046213+0.11714j -0.0046927-0.0262834j 0.00243146+0.504206j -0.0225961+0.111238j 0.00764934-0.0465009j -0.00451358-0.0131215j 0.00314875-0.0156994j 0.00740252+0.0826054j -0.00788337+0.0486888j -0.0115172+0.00696838j -0.000835909-0.040397j -0.0145556-0.098203j 0.00945444-0.0297533j 0.00186187-0.0451872j -0.00809292-0.122559j -0.00263347-0.172571j 0.00440893-0.0236999j -0.000463114-0.116815j 0.00649909-0.151515j -0.00330737-0.0385647j 0.0111306+0.0127115j 0.00326341-0.0109689j -0.0080544-0.0499146j -0.00893088-0.09178j 0.00045991+0.0480331j 0.00699923+0.0722674j 0.00631456-0.0985417j 0.0199516-0.0564072j -0.00356925-0.047915j -0.0046343+0.0488176j -0.00249196-0.0668987j -0.0161673+0.0189065j 0.000205932-0.0724951j 0.0145703-0.0159219j -0.00965214+0.0118389j -0.0132516+0.0282517j -0.0280714-0.00742571j -0.000208717-0.00488161j 0.0107466+0.0180621j 0.0473506-0.0259794j 0.0142161+0.0121246j 0.0119139+0.0092996j 0.000868614-0.0475823j -0.00357287+0.0469818j 0.000407425-0.016239j 0.0275169-0.0296273j -0.00304643+0.00172006j 0.00306887+0.0113055j -0.00905687+0.0328007j -0.00529661-0.00489104j -0.00507781+0.0578238j 0.0109917-0.0200856j 0.00359176-0.0341743j -0.0224408-0.00848029j 0.00403405+0.0312131j 0.011125+0.024561j -0.0116335-0.0223998j -0.00996692+0.0560721j -0.00531846-0.0267549j 0.0300629-0.0105403j 0.0293376+0.011995j 0.00387118+0.0203094j 0.00276943+0.00989651j 0.0104288+0.00137811j -0.00484504+0.0243947j 0.0267859+0.0125563j -0.00213277-0.0475707j 0.00363033+0.0138736j -0.0240812-0.00786512j 0.0117255+0.0162554j -0.00970668-0.00135989j -0.00412875-0.0182274j -0.00863293+0.00998994j 0.00254048-0.030826j 0.0109333-0.0143119j -0.0252383+0.0213313j 0.0172115+0.00704279j 0.0342511+0.00540842j 0.0104827+0.0093177j 0.00479061-0.0569116j -0.0525446-0.00302186j 0.00798478+0.0551696j -0.0695544-0.0449176j 0.0263486+0.0245084j 0.012097-0.0367227j 0.0275906+0.0881052j 0.0188227+0.00315028j 0.0401951+0.0207886j -0.0869193-0.0476298j 0.0231913-0.0713376j -0.10524+0.0369561j 0.0217512+0.0803182j 0.0550427+0.0163178j 0.0126-0.0376397j 
-0.000452799-0.118009j 0.0110542+0.0179348j -0.00158261-0.32728j 0.0126536+0.0777239j -0.00269179+0.0931815j 0.0154566+0.129351j -0.00244764+0.0420881j -0.0046565-0.0108093j -0.00434638-0.0968088j 0.0162137-0.0164938j 0.00812727-0.0312838j -0.00569877+0.0450154j 0.0138977+0.0725276j -0.0215543+0.0315929j -0.00233914-0.0598706j 0.00666172-0.181142j -0.0177222+0.0632918j -0.00287029+0.144883j -0.00263487-0.0270587j -0.0190142-0.130673j 0.0196936+0.0516766j -0.0137658-0.0846868j 0.0078542-0.0015751j -0.0484981-0.0163744j -0.014482+0.089258j 0.00775292-0.0188907j 0.0243394-0.0371081j -0.0283905+0.0472135j -0.0244445-0.074906j -0.029166+0.00158581j 0.027092+0.00371015j -0.0187845+0.0518627j -0.0475487+0.0234351j -0.0162661+0.00884533j -0.0050097-0.127925j -0.0336375+0.0367573j -0.0310024+0.0446832j 0.0177969+0.0336703j 0.00819957+0.00532764j -0.00545418+0.0069521j -0.0352407-0.0107252j -0.00517831-0.0133921j -0.0135745+0.0436688j -0.00875702-0.000431887j -0.0116243+0.0259922j -0.00800129+0.00811804j -0.0316083-0.00511415j -0.0359555-0.0012039j 0.0032487+0.00685131j 0.0267436-0.0104263j -0.0122905+0.0186604j -0.0287474-0.0129521j -0.0324586-0.0122976j 0.000509088-0.0305174j -0.0308661+0.0113453j 0.0190438-0.0408585j -0.00277709-0.0503673j -0.0429453-0.0244722j 0.0401833-0.0138998j -0.0243276-0.0248887j 0.00590613-0.00985635j 0.0247568-0.0181561j 0.000878247-0.00147747j 0.000211318-0.0187798j 0.0166511-0.00620078j 0.0114124+0.0154232j 0.00613014-0.0540668j -0.0301104-0.00807973j 0.0112951+0.00352184j -0.0118728+0.0183609j 0.00444089-0.022314j -0.00826499+0.0186156j -0.00765411-0.0165395j 0.0101089+0.0175572j -0.00284922-0.00184639j 0.00576511-0.0121723j 0.0183244+0.0287304j -0.0172793+0.0326787j -0.000657021-0.00503785j 0.00849276+0.0341773j -0.0534675-0.0298646j -0.038024+0.0663125j 0.0144631-0.0226263j -0.02689+0.0555966j 0.0370516+0.0183139j -0.0367857+0.00565752j 0.0776953-0.00970629j -0.00122072-0.009685j 0.00148432-0.0218692j -0.0701976+0.0656519j -0.0188341-0.0448287j 0.104143+0.0774327j 0.085051-0.00781685j -0.00808062-0.0246187j -0.010264+0.0236467j 
0.0248523+0.0394048j 0.00366584-0.0103299j -0.00254083+0.101722j 0.00358628-0.103964j -0.00753445-0.0397904j 0.0148885-0.0806086j -0.00682172-0.0272022j -0.00968777+0.0506813j 0.019423+0.027231j -0.0122098+0.0269767j -0.0189517+0.00388579j -0.00239468-0.0454924j 0.00417692-0.0762378j -0.00697987-0.0176453j 0.0128576+0.0337164j 0.0158813+0.0386505j -0.0211247+0.0356504j -0.0191747-0.0485735j 0.016636+0.248722j -0.00723549-0.0223016j -0.0600638-0.0171257j 0.000738081-0.0248995j -0.0560341+0.0479615j -0.0372394+0.0437377j -0.00956469-0.0297307j -0.00529603+0.0022756j 0.0121691+0.00350859j -0.00758533-0.00675001j 0.00869905+0.0333196j -0.00207563+0.00825227j 0.0286597-0.00430487j -0.00666134-0.0475331j -0.00683363+0.0322831j -0.0297825-0.0223424j -0.0208823+0.00774788j 0.0229945-0.00714224j -0.0406688-0.0139939j 0.0382113+0.0299708j 0.00294814-0.00908433j -0.0788924-0.0103487j -0.000586126-0.0134528j 0.0166265-0.0174716j 0.00978632-0.0252601j 0.0227025-0.0175702j 0.00502839-0.00250439j -0.0127767-0.00956421j -0.0137832-0.0101189j 0.00528544+0.00181139j 0.00353282-0.0244414j 0.0243359-0.00101048j 0.000277394-0.0154382j 0.0260664+0.0172019j 0.00406845+0.00993423j -0.00485906-0.00178671j 0.0101777+0.00231411j 0.0152947+1.88632e-05j 0.000218011+0.031147j 0.000870397+0.00753738j -0.0211247+0.018824j 0.0168519+0.0238948j 0.0308629+0.0165745j 0.0138358+0.00565332j -0.0184514-0.0144479j 0.00629726+0.0036984j 0.00403211-0.0013583j -0.017832-0.00262869j 0.00428687+0.0201666j 0.0197922-0.00715161j -0.0152813-0.00251556j -0.000151873+0.0159842j -0.0152955+0.0151311j 0.0182144-0.00977374j -0.00102664-0.00563188j -0.00505619-0.0162711j -0.00339185+0.0184374j 0.00260592-0.02034j -0.00940731-0.00114576j 0.0400725-0.00768096j 0.0259793+0.00250089j -0.0235296+0.00118508j 0.00352955-0.0130502j 0.0175206-0.0210375j 0.0255783+0.0357799j 0.0166709-0.0517994j 0.0054971-0.0295265j 0.0105001+0.0342438j -0.0240978+0.0162073j 0.0120675+0.000729052j 0.00733959+0.00716277j -0.0670015+0.0174923j -0.00549999+0.0120602j -0.0362885-0.0547171j 0.00346639+0.0410105j -0.0500828+0.000477805j 0.035284+0.0312262j 
-5.80741e-05-0.0269544j -0.0119721+0.0132995j 0.00234605-0.15394j -0.0067683+0.0490527j -0.0104347+9.70559e-05j 0.00113399+0.0251686j -0.0100143+0.0147295j -0.00314064+0.0276028j -0.00763211-0.119846j -0.015755+0.00319026j -0.0140997+0.0111319j -0.00511191+0.0328249j -0.0440875+0.0206345j 0.0262471+0.0301116j 0.0102741-0.0185209j -0.0329979-0.0856506j 0.0109757+0.199433j -0.00693123-0.162232j 0.0157653-0.103293j 0.0583496-0.106765j -0.0122129+0.000185899j -0.00739449-0.0335539j 0.000130114+0.0250837j 0.00497806-0.0191923j 0.00620524+0.0243499j -0.0114514+0.0126119j -0.0223026-0.0137419j 0.0136275+0.0135811j 0.0006669+0.052429j -0.00421013+0.0174526j -0.00262214+0.001679j 0.0049544+0.0224064j 0.00279285+0.000410654j -0.00379637+0.00277082j 0.0428258+0.00486864j 0.0180567-0.00314342j 0.0119768-0.0090376j 0.04056+0.0148575j -0.00505522+0.0158052j -0.0315241+0.0244349j -0.0224636+0.000398985j 0.00768173-0.0358992j -0.012543+0.0261287j -0.00610938-0.0224765j 0.0130218+0.00520152j -0.00608246+0.00584841j 0.0165504+0.0114584j -0.011606-0.00507934j -0.0196906-0.0154766j 0.00459836-0.0121864j -0.00977247-0.00213549j -0.021946-0.016716j 0.00135938-0.00169391j 0.00293239-0.0303559j 0.00987266+0.00799284j 0.00291172-0.0228776j -0.00978621-0.0298158j -0.0192396+0.000422143j 0.0126799-0.0137128j 0.00734176+0.0194132j 0.0246428-0.024316j 0.015003-0.0326576j -0.0182172+0.00711019j -0.00785294-0.0175982j 0.00254405-0.00584432j 0.00229356-0.00932542j -0.00491011+0.00110529j 0.00393351+0.00719007j -7.28161e-05+0.00798567j -0.00231455-0.00788483j 0.0123636-0.00794695j -0.018822+0.0027204j -0.00847266-0.00341623j 0.00497747-0.00125293j 0.00264272+2.86431e-05j -0.016889+0.00220065j 0.0114544-0.0273166j -0.047222+0.00330084j -0.0216784-0.013836j -0.021998+0.00342707j 0.0051074-0.0181032j -0.0101763-0.00234589j -0.0285966+0.00441536j 0.0263669+0.0345647j -0.0317484+0.0559943j 0.00650841-0.0236545j 0.0315625+0.00631912j 0.00248659-0.00222508j -0.000302994+0.00310996j -0.0130644+0.0226718j -0.0224676+0.0429068j -0.0205064-0.00575718j -0.00564699-0.0120459j -0.0284001-0.0285219j -0.029087+0.00466595j 
0.00561198-0.0709085j -0.00464704-0.0190252j 0.0030242-0.256578j -0.00264268-0.0251363j 0.00679639+0.0886997j 0.000379531-0.0100191j 0.00410108+0.01186j -0.00187812-0.0894146j 0.0147876-0.0587989j -0.0222047-0.0200077j -0.0061518-0.0202288j 0.00955891-0.0421892j -0.00318981-0.0363028j 0.0116154-1.33613e-05j 0.00181504+0.0753152j 0.00500799-0.00717784j 0.0116765-0.0748984j 0.00769043-0.00107311j -0.00327069+0.0145444j -0.0155042-0.00543524j -0.00150489+0.0400853j -0.00675921+0.0142682j -0.0299748+0.0139519j 0.0451069+0.00243689j -0.0357639+0.0277797j -0.0689757+0.00250251j -0.00758965-0.0109503j 0.0338368+0.0280896j 0.0393816-0.0158997j -0.0358026-0.0113467j -0.0473343-0.012056j -0.0499827+0.024352j -0.0156007-0.0114666j -0.00823768+0.0445997j 0.00758889-0.0173197j 0.0136071-0.00303282j 0.00888062+0.0201853j 0.00717109+0.003808j 0.00561054+0.00311138j -0.0051684-0.00915212j -0.00187172+0.00501419j 0.00999461-0.00956993j 0.0084717-0.00739731j -0.00215602-0.016963j 0.00680516-0.0127796j -0.0103013-0.00769061j -0.0078063+0.0304557j 0.0258587+0.00313342j -0.0353812+0.0213554j -0.0463734-0.018779j -0.00190593+0.0083691j 0.0142876+0.00468846j -0.00419966-0.00376925j -0.00592297+0.00570405j -0.0121148-0.0203669j -0.00791509+0.0115605j -0.00911556+0.00409533j 0.023554-0.00570575j -0.0011571+0.00576495j 0.00170873-0.00601658j -0.000427995+0.00954656j -0.00330652-0.00149871j -0.00273431-0.0105945j 0.00276143-0.00553507j 0.00716856-0.00281118j 0.00194005+0.00318672j -0.00733089+0.00240062j 0.00419575-0.003638j -0.000495739-0.00891271j -0.00762918-0.00546824j -0.015344+0.00558338j 0.00494037+0.00225331j 0.00940622-0.0110076j 0.012623-0.00872978j -0.00337234-0.00454513j -0.00578633-0.0141325j 0.000572189+0.00621037j 0.00812549+0.00828862j -0.0107454+0.00631833j -0.00376363+0.00977309j -0.00305136+0.0131596j 0.000102934+0.019054j -0.00232654-0.0246745j -0.0190274-0.00989474j 0.00451553-0.0055723j 0.00674034+0.00228615j 0.00250188-0.00854769j -0.00132089+0.00298861j 0.00130264-0.00162127j 0.00427927+0.0101995j -0.00320143+0.0102249j 0.0168106+0.00918008j -0.000487782-0.0104339j -0.0131497-0.00943967j -0.0134957+0.00590418j 
-0.00602108+0.0893247j 0.0165919-0.0120141j -0.00453142+0.454274j 0.00386307-0.167621j -0.0212472-0.119662j 0.023669-0.00432263j -0.00566701-0.032671j 0.00431669+0.120597j -0.013969+0.107994j 0.00714655-0.00230222j 0.00587646-0.0351759j -0.00230428+0.0202378j -0.00392129+0.0261294j -0.0115724-0.0260589j -0.00124394-0.0867261j -0.00868315-0.0411308j -0.0147664+0.0274154j -0.00361457-0.0241203j 0.0096916-0.00385529j 0.0180112+0.0116823j 0.022485-0.0452013j -0.0101094+0.0183781j 0.020701-0.0219781j -0.0286529+0.00637806j -0.0220655-0.029053j -0.00449372-0.0243204j 0.02267+0.0192391j -0.00332453-0.0235828j 0.00280632+0.00417874j -0.0326846+0.00638037j -0.0198674+0.0136983j -0.0231305-0.00981278j -0.0402728-0.00434885j -0.00102129-0.0432607j 0.0128055+0.0248419j -0.0359923-0.011662j -0.00803254-0.00638125j -0.0128628-0.0219776j 0.0616622-0.0179595j 0.0130307-0.0309812j 0.00119117+0.00664741j 0.0184308+0.0281026j 0.00516345-0.0201271j 0.0111572-0.00368927j -0.0209553-0.00754186j -0.0209328+0.00529311j -0.00215755-0.0224965j -0.0248688+0.0306203j -0.00957105+0.00121788j 0.001211-0.00147213j 0.00241302-0.0081186j -0.0157998+0.000466982j -0.0140336+0.00387594j -0.0117436-0.0142997j 0.00890859+0.0118559j -0.0165776-0.0136169j 0.0109361-0.00474078j 0.000610752+0.0112181j -0.0171441-0.00694798j 0.00264631-0.0133766j -0.019865+0.0012893j -0.00667642+4.01727e-05j 0.00752963+0.0207996j -0.00882882+0.0104137j -0.00888807+0.0111272j 0.00830224-0.010456j 0.0278838+0.00888227j 0.00164927+0.00950881j 0.00188074+0.00635887j 0.00904836+0.00185681j 0.0079693-0.00650711j -0.00350278-0.00192371j 0.0126342+0.00170758j -0.00276566+0.0194901j 0.0027645+0.00620885j -0.00306604-0.00287688j -0.00179063-0.00311479j 0.00575956-0.00434997j 0.0100059+0.00125248j -0.0127355-0.00922925j 0.0121535+0.000353183j -0.0187253-0.00900464j 0.00408953+0.0142344j 0.00696848-0.00663418j 0.00923067+0.00872286j -0.0193275+0.00592076j -0.00889374+0.0154515j -0.0044176+0.000976724j 0.000360194+0.00749343j 0.0147384-0.0195933j 0.0238944-0.0228072j -0.00229471+0.00159826j 0.000615296+0.0162068j 0.0278676+0.0249568j 0.0247954-0.00570724j 
-0.00498225+0.100644j -0.0105684+0.0177699j -0.00591275+0.191762j 1.54328e-05+0.137366j 0.00338349-0.0924669j -0.0298641-0.00449894j -0.00926798+0.0198456j -0.00348847+0.0257732j -0.00595586+0.00531273j 0.0146269+0.0701825j 0.0191675+0.0672103j -0.00828877+0.0631866j -0.00130874+0.0460972j -0.0120855+0.057018j 0.000423701+0.0387749j 0.00370966+0.0649691j 0.00573652+0.0765542j 0.002526+0.051269j -0.0203468-0.0195271j -0.00549714+0.0488732j 0.0430269-0.0615675j -0.0411086-0.00156531j -0.0114161-0.00641064j -0.036058-0.00531585j 0.000389391-0.0396436j -0.00873344+0.0290001j -0.0280046+0.00144807j 0.00592008-0.0123806j -0.0242725+0.0434399j -0.0284014+0.00849787j 0.00359932-0.00010002j -0.00996571-0.0267161j -0.00698159+0.0348375j -0.00608645-0.0425362j 0.00128952+0.0479397j -0.00601934-0.0100612j 0.00162801-0.0381686j 0.00855277+0.00413107j 0.0214259+0.0173391j -0.0389444-0.00306658j -0.0140455-0.0397879j 0.0124877-0.0133776j -0.0164861+0.00595385j 0.0157595-0.00908627j -0.014447+0.022871j -0.013639-0.00143616j -0.0147584+0.00437507j 0.00309931-0.00819696j -0.00855703-0.00580939j 0.00655294-0.0127253j 0.0227558+0.0078274j 0.0255589-0.0319577j 0.00406874-0.00164635j 0.0157514-0.00343966j -0.00853781-0.00609632j 0.0197927+0.00329074j 0.00584931+0.0120532j -0.0252999-0.00576877j 0.00531399+0.00731961j 0.00609493+0.0137907j 0.0139541+0.00128307j 0.0173786-0.0184087j -0.0138869+0.00797106j 0.00247478-0.0083711j -0.00224915+0.0103422j 0.0107847-0.0045424j 0.00853996+0.0056835j -0.000634502-0.00458504j -0.00639904+0.00114963j 0.00589256-0.00654056j 0.0154304+0.00798781j -0.00158695-0.00520419j -0.00230948-0.000471845j -0.00741261+0.00390429j -0.00275131-0.0136298j -0.00889414+0.0144834j 0.0113434-0.013897j -0.00932042-0.0118453j -0.00011801+0.000623303j 0.0133526-0.0177053j 0.0206041-0.015663j 0.00490931-0.0342637j -0.0204674+0.00755185j 0.0105636+0.0109317j -0.0236739-0.00262045j 0.00660629-0.0221129j 0.000732471+0.0230152j 0.00645445-0.00189979j 0.00306922+0.00724643j -0.0201707-0.00476448j -0.00686905+0.0139349j -0.0440656-0.0338327j -0.00973866+0.0151634j -0.0141157+0.000394j 0.0125102+0.000622235j 
0.0198572+0.0219981j 0.00210485+0.0236584j 0.0162602+0.109233j -0.00189994-0.0888836j 0.0326699-0.0183644j 0.00553136-0.0630998j -0.0219681-0.0356274j -0.00859738+0.0230579j 0.0116487-0.061378j -0.00699421-0.102922j -0.00670868-0.0730892j 0.00192668-0.00329616j -0.00774988+0.0342302j 0.02602-0.0310992j 0.00613608-0.0360416j -0.00211352+0.00301461j 0.0312852-0.0203799j 0.0211967-0.0239392j -0.00217427+0.0045757j -0.020367+0.0048438j 0.0246837+0.00205795j 0.0403429+0.0131102j -0.00981455-0.0175829j -0.0112677+0.00936763j -0.0119805-0.0143768j 0.0120546+0.00727217j 0.00865295+0.00922707j -0.01061-0.0342504j -0.00870425+0.0315573j -0.00272063-0.000219403j 0.0129214+0.0444411j 0.0160919-0.0341411j -0.0294611+0.00420797j -0.0061741-0.041713j -0.0045341-0.00514048j -0.0168696+0.00621268j -0.0116905+0.00244097j -0.00343874-0.0058921j 0.0167129+0.0209415j 0.00114407-0.00327604j -0.00821984+0.000833072j -0.00658064+0.0079984j -0.0431173-0.00516804j 0.0055468-0.0182608j -0.00219031-0.0202283j -0.00247918+0.0128173j -0.00515695-0.0153987j -0.0334726+0.0095759j -0.00816467-0.00333187j 0.00447106-0.000662922j -0.00620894-0.0136498j -0.0108949+0.00417327j 0.00846611-0.00547005j 0.000285924-0.00858282j -0.00555249+0.00157903j -0.001062+0.0047456j -0.00316812-0.00506105j -0.0131007+0.00750772j -0.0124734+0.0135749j -0.00515943-0.0053544j -0.0107862+0.000730931j -0.00244491-0.0029566j 0.0149164-0.0228825j 0.00168163+0.0119301j 0.00127724+0.00425043j -0.00141224-0.00520911j 0.00106808-0.00548583j 0.0157979+0.0066779j -0.0165577+0.000462708j -0.000500695+0.0041206j 0.000933203+0.000769369j 0.00104872-0.00810069j -0.00413587-0.0028786j -0.00607177-0.00393775j -0.000426969+0.0150254j 0.00612894-0.00441239j -0.00567294-0.00588353j 0.0111753-0.00676618j 0.0188323+0.00168081j -0.0148354-0.0089455j -0.000890548-0.00726106j -0.0105915-0.0134768j 0.00922033+0.0249157j 0.00486505-0.0128665j 0.00547663+0.00601877j -0.013035+0.0103561j -0.011813+0.0158527j 0.00271086-0.00114532j 0.00272515+0.00251874j -0.0141828-0.00994628j 0.0179483-0.02161j -0.0116795-0.00602095j 0.00430827+0.0222663j 0.0122908+0.0169517j 0.0257574+0.00030093j 
