-0.0327825-0.0852753j -0.149923+0.0586622j 0.0250942-0.0307837j -0.0455567+0.0984475j 0.0719642+0.063321j 0.128386+0.0832223j 0.0143046+0.0019081j 0.00653724-0.0166381j -0.0185738+0.0388344j 0.0217882+0.0800874j 0.00454094+0.0767212j 0.0871764+0.0450351j -0.165383+0.0164328j 0.0959324-0.0489362j 0.0419007+0.12343j -0.00975433-0.000949218j -0.0103438+0.00466307j 0.018066-0.0192158j 0.00202911+0.00595407j -0.00391214+0.0311705j 0.00328934+0.0311948j -0.00964695-0.0322472j -0.0193732-0.0496664j -0.0257474-0.0120356j -0.0239504-0.0133935j 0.148834+0.082787j -0.13047-0.0927502j -0.0336861-0.00878748j 0.0440905-0.0081536j -0.00383155-0.00395905j -0.0263656-0.00331787j -0.0259055-0.00425194j 0.114594-0.194592j -0.0322929+0.135516j -0.0795753+0.132025j -0.0238846+0.150157j -0.0453463-0.0368715j -0.244831-0.0779972j 0.1113-0.0346812j 0.00191428+0.136316j 
-0.11739-0.0576952j -0.0115931+0.0762698j -0.00677017+0.108838j -0.0339811+0.0109681j 0.0424004-0.112851j 0.00237966-0.0617256j 0.0165693+0.0527705j 0.0130467+0.0878113j -0.0573018-0.0851579j -0.106849+0.0784501j 0.0900213-0.0756231j -0.0123803-0.0806735j 0.0237305+0.00185522j -0.162155-0.07269j 0.00396181-0.116815j -0.00474974-0.0190689j -0.0293789-0.0256343j 0.0653627+0.0466858j -0.0155586+0.0360222j -0.0853212-0.0199502j -0.0725404+0.0166217j 0.120192+0.0132162j 0.166975-0.000504787j 0.0270822-0.0356913j 0.010163-0.0485847j -0.0834202+0.0755228j 0.0669328+0.0216701j -0.0464035-0.229522j -0.0147007+0.141571j -0.0152571-0.0545848j -0.0115352-0.0882418j -0.00978954-0.0422197j 0.0835164+0.115505j 0.00608203-0.103742j -0.129731-0.0603351j 0.0333757-0.111618j 0.1832-0.140191j 0.133941-0.0780084j -0.184533+0.00995968j -0.0964471-0.161858j 
0.0510733-0.0041669j -0.0395233+0.131526j -0.0959083-0.145245j 0.111047-0.0739557j 0.00979942+0.110663j 0.00521184-0.0243064j 0.0168775+0.00802014j -0.00896782+0.0895557j 0.0484472-0.0390654j -0.118866-0.0933345j 0.0085555-0.0587891j -0.0804733+0.0571696j 0.122357-0.13237j -0.0460337+0.0443198j -0.0866321-0.0887595j -0.046739+0.0217566j -0.0864177+0.00324101j 0.0935082-0.0387848j 0.0963245+0.0801842j -0.15705+0.00969244j -0.066812+0.0363503j 0.0480029+0.0150911j 0.0160168+0.00561401j -0.0497805-0.180351j -0.0661166-0.148635j 0.0564354+0.0113024j -0.0931241-0.0114219j -0.0349779-0.15437j 0.0317965+0.0881077j 0.0390875-0.0347463j -0.108574+0.0514974j 0.0601172-0.149036j 0.0716011-0.0796464j 0.0825813+0.0765113j -0.0320924+0.125783j 0.00396797+0.0205699j 0.176663-0.153994j -0.160406+0.00175279j -0.147828-0.0972693j -0.0210562-0.0608176j 
0.118609-0.000859372j 0.0409621+0.000285835j -0.0289948+0.0649418j -0.0948296+0.000884362j 0.0686663+0.0132807j 0.0298879+0.0627135j 0.12436+0.0687678j -0.0768632+0.179672j 0.0280557+0.10416j 0.00682994+0.00287977j 0.220256+0.000637289j -0.00247114-0.00446189j -0.0325919+0.106963j -0.0960356-0.17295j 0.125997-0.0676053j -0.0753116+0.00564188j -0.0583855-0.0455172j 0.0384975-0.0613916j 0.00721773+0.128412j 0.0147168+0.0217169j 0.123499+0.0459757j 0.131535-0.063131j 0.0376908-0.0754812j 0.0805611+0.0669529j 0.0163668+0.118851j 0.0474342+0.0031125j 0.00652012-0.0383124j -0.173392-0.00369673j 4.79241e-05+0.198811j -0.0858334-0.00164412j 0.0199056-0.119984j -0.0921081+0.0503801j -0.0302037-0.0747876j -0.130204-0.0657841j -0.128242+0.0403091j 0.0140257-0.0223411j 0.012035-0.130095j -0.0361673-0.0644971j -0.0610375+0.0428754j -0.0757603-0.00882618j 
0.0512708+0.00336283j -0.0407522-0.129177j -0.00538298-0.0244004j 0.112656+0.0746049j 0.0560448-0.0966786j 0.0968599-0.147377j -0.088296+0.0861203j -0.0482411-0.0404886j -0.119343-0.136484j -0.121449+0.0906311j 0.0050431+0.0566236j 0.0290917-0.0946121j -0.0462451-0.0407579j -0.0176562-0.0864528j 0.0159849-0.00822686j -0.0193541+0.0555283j -0.146742+0.0955008j 0.165653+0.0050893j 0.17217+0.15214j 0.000668012-0.0242941j 0.0272846+0.129349j -0.0827936+0.0779642j -0.0681225-0.0828389j -0.0353876-0.15941j -0.108622-0.0577996j 0.0596646-0.00859849j 0.093746+0.0135829j -0.0354493+0.14586j -0.0284011+0.0862599j 0.0400663+0.0342426j -0.0701513+0.146897j 0.0805513-0.171248j -0.0115206+0.00475794j -0.0448467+0.0181476j 0.0638297+0.039516j -0.154757-0.00578984j 0.100248-0.0822838j -0.0944738-0.0405114j -0.0884353-0.00724215j -0.0467626-0.0245968j 
-0.115441+0.0599307j -0.0152969-0.079459j -0.00628664-0.0610216j -0.0340557-0.0129244j -0.005781+0.120035j 0.00784674+0.107722j 0.004665+0.116547j -0.154258+0.0909468j -0.0204643+0.000561666j -0.109009-0.0814009j 0.0933152+0.0744386j -0.0782534+0.0148544j 0.0585576-0.0841447j 0.00363993-0.0920514j 0.0187383-0.0543007j -0.100547+0.155529j -0.183178-0.0127423j -0.121448-0.0838789j 0.181535+0.148167j 0.0354016+0.106659j 0.136834-0.0512715j -0.00422705-0.0992837j -0.0881802+0.102921j 0.0170507-0.0411956j -0.016161+0.0892358j -0.0730983-0.079645j -0.0650587+0.000685468j -0.0545774+0.232071j 0.0151163+0.145639j -0.0166109+0.0551246j 0.00723873+0.0495228j -0.0209033-0.0436166j -0.168476-0.0077946j -0.122492+0.0129473j 0.0694987+0.0216241j -0.0875211+0.0222572j -0.0138506-0.040292j -0.0712737+0.0441415j -0.0324052+0.0240475j -0.00656443+0.018987j 
-0.0289576+0.0841759j -0.14991-0.0557377j -0.128747+0.0852391j -0.045126-0.0993516j 0.0932526-0.0295088j -0.0257647-0.0332188j 0.0427401-0.126578j 0.105107+0.0382309j 0.167319+0.0186214j 0.0263637-0.0787824j 0.00473392-0.0792435j 0.0730574+0.0685573j 0.0170721+0.0427891j 0.00750293+0.018108j 0.0146818-0.000961245j 0.00619563-0.139305j 0.114666+0.036377j 0.247892-0.0720574j -0.0516275+0.0301697j -0.0298508-0.152521j 0.0744229+0.137604j 0.0336202+0.137136j -0.106225-0.197422j 0.0258973+0.000626209j -0.0263284+0.000574876j 0.153576-0.0767122j 0.151921-0.0544059j -0.0336738-0.00134332j -0.044278-0.0108759j -0.00398094+0.00151456j -0.0238683+0.00984392j 0.0275736-0.00589606j 0.0264283-0.0514807j 0.013049-0.0326366j -0.00754464+0.0310576j -0.00100531-0.0316757j 0.00276016-0.00652302j -0.0167861-0.0210717j -0.00982306-0.0056534j -0.00988492+0.000313721j 
-0.0751672+0.000294059j 0.00552803+0.0259904j 0.0145663-0.0327511j -0.0294985+0.0655294j 0.0764158+0.0347346j -0.0840878-0.0646836j 0.0131834+0.0062509j -0.00649977-0.0315543j 0.00476652+0.0266238j 0.0112269+0.0288888j 0.0346576+0.0631962j 0.093019+0.0153961j -0.00284179-0.00194217j 0.0300848+0.0404427j -0.0172387-0.139795j -0.0129789-0.00727965j -0.0193105+0.00123959j 0.0208352-0.00261319j -0.00844546+0.00658371j -0.000241694+0.0199518j -0.00460473+0.0110362j -0.00981857-0.0153115j -0.0107283-0.020547j -0.0131069-0.00625024j 0.00985636-0.00819737j 0.0802419+0.0397545j -0.0807438-0.0539696j 0.0245997+0.00439901j 0.0075562+0.00632149j -0.00058493+0.0139337j 0.0125953-0.0247108j 0.00366196-0.023853j -0.00203136-0.0165126j -0.00923653-0.00128983j -0.0350124+0.0368793j -0.0675256+0.0491453j -0.0420627+0.0703767j 0.0784564+0.0641608j -0.0623498+0.0622416j 0.0564638-0.102843j 
0.0725794-0.0910999j -0.0165706-0.00731654j 0.0249387-0.0557756j -0.0658537-0.042996j 0.0122882-0.00748126j 0.0219319-0.0351696j -0.0193056-0.0519725j -0.0418416-0.0689935j 0.0312719+0.0702826j -0.00198118+0.0385789j -0.046176+0.00457996j 0.00574035+0.0356376j -0.0201085-0.0781715j -0.0395373-0.0605145j 0.0464729-0.0774824j -0.00684938+0.0176447j 0.0280021+0.0286606j -0.0375999-0.0465586j -0.000445756-0.006353j 0.0606044+0.0296934j 0.0263398+0.0156174j -0.0659949-0.0407247j -0.0754375-0.0382138j -0.00867632+0.0298211j -0.0135101-0.0110799j 0.00711772+0.0480068j -0.0100275-0.0543221j -0.0226276+0.0302318j 0.0218772-0.0334365j 0.00745507+0.0113134j -0.0530812+0.033376j -0.0681451+0.0503754j 0.0384373+0.0165555j 0.0247733+0.00375982j -0.087808-0.0127546j -0.0398319+0.0325231j 0.0227684-0.00931227j 0.047827+0.00431894j -0.0513848-0.0894272j 0.112737-0.119299j 
-0.0229547+0.0797193j -0.0122629-0.00646534j 0.0359848+0.111279j 0.0748259+0.00931851j -0.0226706+0.0954388j 0.0251676-0.0145957j -0.00482071-0.008381j 0.071461-0.0166742j -0.053163+0.0198422j -0.00458362+0.0149407j 0.0642926+0.0346437j 0.00962759+0.0146273j 0.0465865+0.00717422j 0.066214+0.0207704j 0.022449-0.045283j 0.0540365+0.0079414j 0.0542271+0.0362727j -0.0671957-0.0336766j -0.0104503-0.0671496j 0.0464962+0.0564316j 0.0588796+0.00854844j -0.00606115-0.0595943j -0.0214983-0.0624109j -0.00604667-0.00220527j -0.0285342+0.0505229j 0.0909638-0.0190656j -0.0549608-0.00550585j -0.0236673+0.015325j 0.027903+0.00502377j 0.0461204-0.0430495j -0.0936262-0.005185j -0.0550495-0.03644j -0.00866171-0.00440355j -0.00404494+0.0130702j -0.0235331+0.0595901j -0.0772014+0.0155148j 0.0835263+0.0997584j 0.103104-0.056058j 0.00467786-0.0386155j 0.0718876-0.151884j 
-0.0187563+0.103622j 0.00309821+0.0101658j 0.0360063-0.0469283j -0.00592611-0.040817j 0.0472561-0.0304192j -0.0137362+0.009394j -0.107734-0.103682j 0.0222335+0.00603755j 0.0002289+0.033113j 0.0146691+0.0204285j 0.0369801-0.00310445j -0.126194-0.0223778j -0.00221554-0.0553577j -0.0150105-0.086068j -0.0108807+0.0561775j 0.0629199+0.0236616j 0.0322962+0.0157092j -0.0426869-0.00937685j 0.0509264-0.0668023j -0.090636+0.00431573j -0.0506482-0.0170089j -0.0314783-0.0433615j -0.010382-0.0472229j 0.0709365-0.0686828j -0.0292159+0.00867335j -0.0258174+0.0810429j 0.0881489-0.0632189j -0.0360881+0.0242593j -0.015429+0.00702491j -0.0657597+0.0488584j 0.00821689-0.00261097j -0.0456228-0.000567958j 0.0181175-0.0660253j 0.00676795-0.0896963j -0.0513543-0.103794j -0.0526869-0.0625506j -0.030795-0.0321645j -0.0473736+0.0473669j -0.0188082-0.12292j 0.153567+0.0611954j 
-0.00401446-0.00674553j 0.0114592-0.000181789j -0.0121044-0.0238106j -0.0873894-0.0359904j -0.0598522+0.00844398j 0.0734195-0.0451238j 0.0591403-0.00787106j 0.0651539+0.0260886j -0.0630278-0.0220593j -0.001434-0.0079373j 0.0983631+0.0291502j 0.0400924-0.0776564j 0.0692293+0.0515803j 0.125216+0.0446795j -0.0731309-0.0112888j -0.00488706+0.00796252j 0.00100423+0.0160948j -0.00860044-0.0179188j 0.00624074-0.00785841j -0.0309288+0.0544265j -0.0696561+0.05648j -0.141853+0.0488676j -0.131521+0.0353106j -0.0224904-0.0484478j -0.0202712-0.0638091j -0.0598364+0.0133247j 0.0536366-0.0372235j -0.0191597+0.0161473j -0.0070207-0.0403166j -0.0194953+0.166606j 0.00651896+0.0178452j -0.0856215+0.156131j -0.0140359-0.0171548j -0.0406423-0.0653605j -0.139706-0.106933j 0.0875559+0.0732818j -0.00195136-0.112529j -0.0169449+0.000418617j -0.0324288-0.0886014j 0.0414427-0.0341231j 
0.0190713-0.000699118j -0.0252189-0.000238985j -0.0096015+0.00713699j 0.00330594+0.000523644j -0.0147687-0.00412206j 0.00925223+0.00837573j -0.146077+0.0240427j 0.0670051-0.00248981j -0.0019928+0.0140481j 0.0675339-6.20605e-05j 0.209218+0.000302582j -0.0249407-0.0175929j 0.000684436+0.0140687j 0.0677299-0.0051637j -0.145523-0.0233265j -0.0502279-0.0129315j -0.0793542-0.0941206j 0.0428951+0.0820102j -0.0648209+0.0365555j -0.0302652-0.0531116j -0.0323448-0.00102583j 0.00112957+0.0126264j 0.0055199+0.00863932j -0.0332353-0.00999306j 0.0804326-0.0149186j 0.0297881-0.000159224j 0.00474997-0.0361204j 0.0638034+0.000121157j 0.000265939+0.00467399j -0.0532418-0.000254446j 0.0812828+0.0147641j 0.0360123-0.0056016j -0.00503017+0.00784606j -0.000859806+0.012427j 0.0336179+0.000166765j -0.0276583+0.053016j -0.0656809-0.0357254j -0.0433166+0.0821411j -0.0795529+0.0939769j -0.0523419+0.0141507j 
0.00409526-0.00598596j -0.011628+0.000176735j 0.0731778+0.0441388j 0.0872646-0.0372034j 0.0500315+0.0317338j -0.0112701+0.0247947j 0.0728574-0.0110394j -0.118545+0.055233j 0.069117-0.0508945j 0.00203159-0.00752542j -0.0974353+0.0284674j 0.0610486-0.0636931j -0.0615399+0.0215749j -0.0609091+0.0324164j -0.0596968-0.00867161j -0.0428167-0.0316684j 0.034606-0.0898961j -0.018707-0.000158497j 0.00401878-0.114419j -0.0860103+0.0742757j -0.140961+0.107443j -0.0427582+0.0651779j -0.0164031+0.0198503j -0.0585893-0.169244j -0.00608887+0.0173663j 0.0599655+0.015894j 0.0447942+0.0501224j 0.0191031+0.0163502j -0.00707015+0.041202j 0.0189825+0.168311j 0.0225155-0.0636652j -0.0309333+0.0454417j -0.129498-0.0359056j -0.141718-0.0492346j -0.0733268-0.0592606j 0.0347565+0.0538205j -0.00845214-0.00893518j -0.0102672+0.0188072j -0.00204103+0.0151694j 0.00480996+0.00934682j 
0.0200817+0.10326j -0.00272287+0.010004j -0.0149325-0.0108484j 0.00355191-0.0398613j -0.0321891-0.0469032j 0.0364786+0.0453558j 0.0098239+0.0575592j 0.00601634-0.0873484j -0.00248971+0.0539355j -0.0151603+0.0205561j -0.0372392-0.00230503j 0.0632641+0.112196j 0.000716384-0.0328042j -0.0211238+0.00972155j 0.108002-0.104169j -0.154977+0.0598628j 0.0190679-0.12038j -0.0455313-0.0475856j 0.0293886-0.0280516j 0.0527166-0.0649296j -0.050029+0.100696j 0.00588365+0.089216j 0.0152715+0.0691053j -0.0461016-0.00371686j -0.00685989-0.00571434j 0.0220765+0.0794275j 0.0664726+0.0840007j 0.0367767+0.0243605j -0.0147579-0.00771386j 0.0657296+0.0479692j 0.0295076+0.0102615j 0.0586661+0.0804529j -0.00791095+0.0496392j -0.0296633+0.0445691j -0.0500441+0.0174276j 0.0925389+0.00284361j -0.0499992-0.068258j -0.0422291+0.00898096j -0.0332217+0.0161963j -0.0642671+0.0216326j 
-0.0244047-0.0795117j -0.0119749+0.00637416j -0.0251076-0.0153429j 0.0758726-0.0106108j 0.0199636-0.0971759j -0.0345038+0.111577j 0.0223411+0.0457817j 0.0649754-0.0287564j -0.0490169+0.008696j -0.00605325-0.0131082j 0.0651382-0.0349812j 0.0163916+0.00603984j 0.0539682+0.0184919j 0.0729764+0.00790431j -0.00235017+0.00736678j 0.067933+0.151299j 0.00456141+0.0382252j -0.102873-0.0579962j 0.0848077-0.0988974j -0.075547-0.01287j 0.0219122+0.0602768j 0.00459106+0.0127227j 0.00871668-0.00317367j 0.0598004-0.0280378j -0.0945019+0.00496067j 0.089602+0.022073j 0.0550285+0.0107094j -0.0240032-0.0144788j -0.0276739+0.00636935j 0.0470501+0.042878j -0.0289918-0.0497148j 0.0059422-0.00172813j 0.022714-0.0620366j 0.00524708-0.0587889j -0.0595266+0.00689971j 0.0442083-0.0583449j -0.00939116+0.0656308j 0.0660346-0.0341008j 0.0546056-0.0365486j 0.0547403-0.00675255j 
