-0.0516512-0j -0.0590299-0j -0.021305-0j -0.00432163-0j -0.0361483-0j -0.00523861-0j -0.00604903-0j -0.00598698-0j -0.0505971-0j -0.00733253-0j -0.00138078-0j 0.408959-0j -0.000613509-0j -0.00649114-0j 0.253031-0j 0.147601-0j 0.238559-0j -0.00035788-0j -0.000221427-0j -0.000379589-0j 0.354169-0j -0.000531314-0j 0.350536-0j -0.000525865-0j 0.443397-0j -0.000665172-0j 0.233691-0j -0.000350577-0j 0.0385054-0j -0.000216908-0j -5.77647e-05-0j 0.144589-0j 0.400613-0j -0.000600989-0j 
0.00745521-0j 0.00852024-0j 0.00307512-0j -0.059636-0j 0.00521756-0j -0.0722897-0j -0.083473-0j -0.0826168-0j 0.00730306-0j -0.101184-0j -0.019054-0j 0.000613509-0j 0.396189-0j -0.0895739-0j 0.000379589-0j 0.000221427-0j 0.00035788-0j 0.23111-0j 0.142992-0j 0.245129-0j 0.000531314-0j 0.34311-0j 0.000525865-0j 0.33959-0j 0.000665172-0j 0.429552-0j 0.000350577-0j 0.226394-0j 5.77647e-05-0j 0.140074-0j 0.037303-0j 0.000216908-0j 0.000600989-0j 0.388103-0j 
0.0072722-0j -0.000121765-0j 0.00908678-0j -0.0579852-0j -0.00523861-0j 0.000511152-0j -0.0402861-0j 0.0410412-0j -0.00733253-0j 0.000715464-0j -0.0371879-0j 0.000843587-0j 0.000120991-0j 0.0444973-0j -0.0356253-0j -0.0629532-0j -0.0676678-0j -0.00970519-0j -0.009029-0j -0.00510952-0j -0.049865-0j -0.00715184-0j 0.0507997-0j 0.0072859-0j 0.000914625-0j 0.000131179-0j 0.0338665-0j 0.00485727-0j -0.0274244-0j 0.00300528-0j -0.00393332-0j 0.0209538-0j 0.0580568-0j 0.00832674-0j 
-0.0411378-0j 0.000688806-0j -0.0514026-0j -0.00693438-0j 0.0296341-0j 6.11281e-05-0j -0.00481777-0j 0.00490807-0j 0.041479-0j 8.55615e-05-0j -0.00444725-0j 4.95983e-05-0j 7.15889e-06-0j 0.00532138-0j -0.00209457-0j -0.0037013-0j -0.00397849-0j -0.000574246-0j -0.000534237-0j -0.000302325-0j -0.00293179-0j -0.000423167-0j 0.00298674-0j 0.000431099-0j 5.37749e-05-0j 7.76174e-06-0j 0.00199116-0j 0.0002874-0j -0.00161241-0j 0.000177819-0j -0.000232731-0j 0.00123197-0j 0.00341342-0j 0.000492685-0j 
-0.000606017-0j 1.01471e-05-0j -0.000757232-0j 0.0147006-0j 0.000436551-0j -0.000129589-0j 0.0102135-0j -0.0104049-0j 0.000611044-0j -0.000181387-0j 0.00942799-0j 7.30651e-07-0j 0.00144586-0j -0.0112811-0j -3.08559e-05-0j -5.45253e-05-0j -5.86087e-05-0j -0.115979-0j -0.107898-0j -0.0610598-0j -4.31893e-05-0j -0.0854659-0j 4.39989e-05-0j 0.087068-0j 7.92179e-07-0j 0.00156762-0j 2.93326e-05-0j 0.0580453-0j -2.3753e-05-0j 0.0359137-0j -0.047004-0j 1.81486e-05-0j 5.02844e-05-0j 0.0995063-0j 
-0.00433731-0j -0.00481777-0j 0.00854562-0j -0.0157273-0j 0.00303672-0j 0.0202243-0j 0.0240276-0j -0.0237908-0j 0.00425052-0j 0.0283081-0j -0.058035-0j -0.000346909-0j 0.00478713-0j -0.0257942-0j -0.000220838-0j 0.000615337-0j 0.000190757-0j -0.00263234-0j -0.00849128-0j 0.00304744-0j -0.000309109-0j 0.00426553-0j 0.000306063-0j -0.00422349-0j -0.000376122-0j 0.00519025-0j 0.000204042-0j -0.00281566-0j 0.000616017-0j -0.0017421-0j -0.00850066-0j 0.000126245-0j 0.000349786-0j -0.00482684-0j 
0.000542164-0j 0.000602221-0j -0.0010682-0j 0.00397339-0j -0.000379589-0j -0.00510952-0j -0.00607039-0j 0.00601056-0j -0.000531314-0j -0.00715184-0j 0.0146621-0j -0.00417218-0j 0.0280031-0j 0.00651671-0j -0.00265597-0j 0.0074005-0j 0.00229419-0j -0.0153983-0j -0.0496711-0j 0.0178265-0j -0.00371758-0j 0.0249519-0j 0.00368094-0j -0.024706-0j -0.00452352-0j 0.0303612-0j 0.00245396-0j -0.0164707-0j 0.00740868-0j -0.0101907-0j -0.049726-0j 0.00151831-0j 0.00420679-0j -0.0282354-0j 
0.00422567-0j -0.00490807-0j -0.00177142-0j -0.0167243-0j 0.00892028-0j -0.0611492-0j 0.0237908-0j -0.023169-0j -0.00420692-0j 0.0288388-0j 0.00543061-0j 0.000347742-0j -0.00479863-0j 0.0255296-0j 0.000648971-0j 0.000125507-0j -0.000206157-0j 0.00284484-0j -0.00173192-0j -0.00895541-0j -0.000306063-0j 0.00422349-0j 0.000298065-0j -0.00411311-0j -0.000383172-0j 0.00528754-0j -0.000201949-0j 0.00278678-0j -3.32753e-05-0j -0.00853818-0j 0.000459179-0j 0.000618736-0j -0.000346199-0j 0.00477734-0j 
-0.000528209-0j 0.000613509-0j 0.000221427-0j 0.00422527-0j -0.00111504-0j 0.0154489-0j -0.00601056-0j 0.00585349-0j 0.000525865-0j -0.0072859-0j -0.001372-0j 0.00418221-0j -0.0280704-0j -0.00644987-0j 0.00780501-0j 0.00150944-0j -0.00247939-0j 0.0166413-0j -0.0101311-0j -0.0523862-0j -0.00368094-0j 0.024706-0j 0.00358475-0j -0.0240603-0j -0.00460831-0j 0.0309303-0j -0.00242879-0j 0.0163017-0j -0.000400194-0j -0.0499455-0j 0.00268604-0j 0.00744138-0j -0.00416364-0j 0.0279458-0j 
-3.19473e-05-0j -3.54862e-05-0j 6.29444e-05-0j -0.000470718-0j 2.23675e-05-0j 0.000605312-0j 0.000719144-0j -0.000712056-0j 3.1308e-05-0j 0.000847261-0j -0.00173698-0j -2.55522e-06-0j -0.0101838-0j -0.000772018-0j -1.62663e-06-0j 4.53238e-06-0j 1.40506e-06-0j 0.00559984-0j 0.0180637-0j -0.0064829-0j -2.27681e-06-0j -0.00907416-0j 2.25437e-06-0j 0.00898473-0j -2.7704e-06-0j -0.0110414-0j 1.50291e-06-0j 0.00598982-0j 4.53739e-06-0j 0.00370601-0j 0.0180837-0j 9.29879e-07-0j 2.57642e-06-0j 0.0102683-0j 
-0.025354-0j 0.0294484-0j 0.0106285-0j -0.00212136-0j -0.0535217-0j -0.00775636-0j 0.00301769-0j -0.00293883-0j 0.0252415-0j 0.003658-0j 0.000688835-0j -0.00208645-0j -0.000301153-0j 0.00323826-0j -0.00389383-0j -0.000753041-0j 0.00123694-0j 0.000178537-0j -0.000108692-0j -0.000562025-0j 0.00183638-0j 0.000265058-0j -0.00178839-0j -0.000258132-0j 0.00229903-0j 0.000331836-0j 0.0012117-0j 0.000174893-0j 0.000199652-0j -0.000535841-0j 2.88173e-05-0j -0.00371241-0j 0.00207719-0j 0.000299817-0j 
