-0.00376693+6.15316e-05j -0.000362359-0.00194254j -0.00188486+0.00254133j 0.00205857+0.00127626j 0.000198254-0.00120129j -0.0020703+0.00199924j -0.00415562-0.00208052j 0.00265464+0.00241357j -0.00640847-0.002026j 0.00229172-0.000563868j 0.00402731-0.00116861j 0.00156834-0.0016676j 0.000642591+0.000271179j 0.000474951+0.00151312j -0.00154111+6.30723e-05j -0.000353065+0.0043824j -0.000262487-0.00052995j -0.00420774-0.000254038j 0.00448647-0.000450787j -0.00130701-6.16879e-05j 0.00253331-0.00208247j -0.00324182+0.00196607j 0.00119961+0.000891039j -0.000136498-0.00124853j 4.74654e-07-0.00110197j 0.00367336-0.00156143j -0.00102245-0.00110723j -0.000718215-0.0011817j 0.000573434+0.00245406j -0.000251344-0.0030427j -0.000824754+4.38691e-05j -0.00304951+0.002399j 0.00216652-0.00187819j 0.00189863+0.00336693j 0.000284529+0.00235365j 0.00204909+0.00222156j 0.000166609+1.82143e-05j -0.000606898-0.000457577j -0.00327395+0.00280879j -0.000391797-0.000748411j 0.00183291+0.000458028j -0.00496671+0.0014603j 0.00425167-0.0013597j -0.00369806+0.00117018j 0.00335504-0.000333249j 0.00372225+0.00139724j 0.00021364-0.00230749j -0.00121335-0.00028754j 0.00280851-6.01883e-05j -0.00264102+0.00293192j -0.00351926-0.000575668j -0.00101112+0.000808026j -0.00406052+0.00042598j 0.000329696+0.00140274j 0.00244907+0.00064852j 0.00287046-0.000322661j 0.00443291+0.010228j 0.0050574+0.00581785j -0.00116882+0.00208432j 0.00249698+0.00560832j -0.00169983-0.000198112j -0.00235133+0.000836422j -0.000115732-0.000599103j 0.00591049-0.00259952j 0.0040366-0.000143519j -0.00032776+0.00181407j -0.000746872-0.000738737j 0.000898873-0.00237074j 0.00108586+0.00219617j -0.000515151-3.24352e-05j -0.00198885+0.00340689j 0.00284224+0.00229616j 0.00416859+0.00433594j -0.000583673+0.000220944j 0.00306536+0.00110585j -0.00137013-0.000843118j 0.000353024+0.00267955j -0.000547438+6.1614e-05j -0.00328227-0.00172377j 0.00352586+0.000284281j 0.000813852+0.00106301j -0.00172805-0.00607587j 0.00167652+0.00139815j -0.00352565-0.00916364j 7.84102e-05-0.000784506j 0.0039251-0.00633855j -0.00191346+0.00427748j -0.00289166+0.0047765j 0.00484631+0.00600855j -0.00472755-0.00221584j 0.00808184-0.0104932j 6.90349e-06+0.00243771j -0.0023459-0.00187344j 0.0070351-0.00935579j 0.00810037+0.00374636j -0.00399575-0.0252491j -0.0274069+0.00449176j 
-0.00512696+0.000660084j 0.000544641-0.00498085j -0.00679106+0.0018782j -0.00285553+0.00737222j -9.60136e-05+0.00095805j 0.00107219+0.00333825j -0.0041172+0.00102737j -0.00430701+0.00176598j 0.000454523-0.0029652j 0.00059136+0.00596468j 0.00217085-0.000677881j 0.00106256-0.0017993j 0.00140296+0.00293086j 0.000973374+0.00332056j 0.00291035-0.00111227j -0.000434181+0.000580886j 0.000301909-0.00110692j -0.00491167-0.00307154j 0.00142247+0.0052524j 0.00019844+0.0011462j 0.00620482+0.00289811j -0.00322647-0.000389059j 0.00208934+0.00225587j -0.00299063-0.00286883j 0.00185225+0.000758382j -0.00190089-0.00323303j 0.00363559+0.00119612j 0.00139729+0.00274391j 4.33478e-05+0.00109995j 0.000217188-0.000163248j -0.00271175+0.00412498j 0.000877129-0.000614461j 0.000796641+0.00444989j -0.00519028-0.00221332j 0.00036657+0.00101119j 0.000248222+0.00530528j 0.00224395-0.00218426j -0.00334588+0.00498212j -0.00402173+0.00607639j -0.00107794-0.00115301j 0.00228581+0.00145831j 0.00168347+0.000997361j -0.00190237+0.00296864j 0.00436385-0.0030388j -0.00109992+0.00191682j -0.00299395-0.000863093j -3.20428e-05+0.00317277j -0.000413097+0.000846339j 0.00557082-0.000342004j -0.00808961-0.00199305j -9.55084e-05-0.00416677j -0.00126856+0.0028228j 0.00427277+0.00483453j 0.000310431-0.000647889j -0.00282848+0.00180709j 0.00140818+0.00219391j 0.00484056-0.00272922j 0.00454643-0.00110642j -0.000515378-0.00135564j 0.000411852-0.00179605j 0.000586709+0.00100764j -0.000790137+0.00277483j 0.00103031+0.000619041j 0.00161644-0.00213633j 0.00124167-0.00111142j 0.00129377-0.00119655j 0.00297103-0.000582268j 0.000300172-0.00116978j -0.00107298-0.00163034j -0.00273122-0.00220883j 0.00140098-2.10033e-05j -0.000494032-0.0013661j -0.000742002-0.00245494j -0.00266741-0.0012571j -0.00169353-1.22235e-05j -0.000315531-0.00124272j -0.000172565+0.00352423j 0.000935808-0.00296623j 0.00282373+0.00149041j 0.00122506-0.00295455j 0.00574101+0.00225707j -0.00267944+0.00296812j -0.00504206-0.00263132j -0.00513533+0.00060815j 0.00223404-0.00447353j -0.00454579+0.000201319j -0.000812245-0.000146345j 0.00216189+0.000595099j -0.00644204-0.00691428j -0.0015663-0.00928299j -0.00156972-0.0107277j 0.00337785-0.000121045j 0.000171402+0.00182912j 0.0103323+0.000925103j -0.0017415+0.0138031j 0.0223603-0.00298079j -0.00240863-0.0220081j 
0.00912404+0.00699382j -0.00727481+0.0109547j 0.00333359+0.00449872j 0.00383005-0.00361353j 0.00395386-0.00201962j -0.00357311-0.00292568j 0.00376565-0.00261943j 0.00301555+0.00279468j -0.0065984-0.000333715j -0.00218488-0.00123347j 0.00272398+0.0036604j 0.00244607+0.00122269j 0.00378577-0.00122972j 0.000930394-0.000820988j 0.00145427+0.00241016j -0.000804508+0.00443219j 0.00175496-0.00213842j -0.00410811-0.00474581j 0.00537942-0.0023757j -0.00187725-0.00297016j 0.00184451-0.00453298j -0.00253714+0.00227277j 0.000903927+0.00302645j 0.00204677-3.46133e-05j -0.00592669+0.0017108j 0.00864935+0.00133836j 0.00168242-0.00276068j -0.00273433+0.000854418j -0.00365479+0.00521843j -0.00145952-0.00074465j 0.00178437+0.000341697j -0.00306652+0.00523904j -0.00168685-0.00288563j 0.00266582+0.00206996j -0.000467049+0.00261449j 0.000676189+0.00090226j -0.00120947-0.00249306j 4.39076e-05-0.000579003j -0.00264471+0.000217527j -0.0016628+0.00521249j -0.00498988-0.00125829j -0.00479828+0.00190773j 0.00459447-0.00342211j -0.000594857-0.000865167j 0.00103885-0.00433715j -0.000996319-0.00388953j -0.00147348-0.00113283j 0.00245426-0.000615064j -0.00117597+0.00224863j 0.00107863-0.00148553j 0.00165906-0.00092271j -0.000234678-0.00389049j -0.00486864-0.00144737j 0.000754694-0.0011918j 0.000236772-0.00103409j -0.00191005+0.00306125j 0.00233185+0.00400025j -0.00239423+0.00284323j -0.00165069+0.00273293j -0.00140954-0.001756j 0.00247663+0.00194377j -0.000149977+0.00198182j 0.0031913-0.00162993j 0.0027503-1.5642e-05j 0.00160488+0.00284184j 0.000286078+0.00262211j 0.00361746+0.000393424j -0.00105496+0.00203083j 0.00274085+0.00257814j -0.00567893-0.0038393j 0.000241064+0.00198607j 0.000455159+0.00224325j -0.000631116-0.00022074j 0.00223114-0.00135773j 0.00271805-0.00116266j 0.00446118-0.000671254j 0.000843967-0.00441085j 0.00302548+0.00126868j -0.00266333-0.00214556j 0.00498492-0.0015814j -0.000885469+0.00793285j 0.000450257-0.00694314j 0.00496737-0.000771622j -0.00415716-0.00388553j 0.00699828+0.0042627j 0.00933436-0.00509496j 0.0018507-0.000998693j -0.00607717-0.00389986j 0.00719102+0.00842971j -0.00135404+0.00184224j 0.000180916+0.0035392j -0.00256729-0.00887876j 0.0092332-0.00219678j 0.00646508-0.00625659j 0.00539754+0.00911412j -0.00757677-0.00490329j -0.00615538+0.00682232j 
0.018793-0.000276759j -0.000794053+0.0197382j 0.0154054+0.00610903j 0.00837319-0.0139286j 0.00472361+0.00724243j 0.00793739-0.00865185j 0.0104502+0.0029774j 0.00069133+0.00256715j -0.00194709+0.00376165j 0.00488702-0.00516964j -0.00331612-0.00805896j -0.001358+0.00596658j 0.000586252-0.0049382j -0.000904874-0.00530569j -0.00671843+0.00200982j 0.00053994+0.000317096j 0.00400055-0.0013062j 0.00132587+0.000707573j -0.0019328-0.00283687j -0.00158436-0.000144812j -0.000752329+4.84168e-05j 0.00505871-0.00673878j -0.00267532-0.00179077j 0.000394918-0.000313414j -0.00208493-0.00409704j -0.00662686+0.00426823j -0.00257722-0.00511316j 0.00219863+0.0013787j -0.00174857-0.00185791j -0.00524093-0.00226302j 0.00322203-0.00241048j -0.00308723+0.00219309j -0.000151955-0.0020704j -0.00115104+0.00329922j -0.00419116-0.00678782j -0.00482494-0.00730718j 2.75088e-05-0.00135944j 0.00377437-0.00401167j 0.00399104-0.0109496j -0.00220188+0.00278039j -0.00494657-0.00227304j -0.000634948-0.000476565j -0.00252171+0.00184941j -0.00452172+0.00077614j -0.000422108-0.0019975j 0.000599777-0.00259946j 0.000452281-0.00163424j 0.00113837+0.00374549j -0.0134502+0.00244425j 0.0114987+0.00178092j 0.00206058+0.00334635j 0.00599819-0.00146649j 0.00415058-0.0071909j 0.00661441+0.00263249j 0.00593573-0.00346364j 0.000117148-0.00391516j -0.00496111-0.0080724j -0.00878796-0.00723777j 0.00111269+0.00218257j 0.00123437-0.00200244j 0.00499168+0.000397645j 0.000495453-0.00507865j -0.000697757+0.00161418j -0.00468449+0.00533902j -0.00122162+0.000414865j -0.0053095-0.00368112j -0.00771124-0.00185509j 0.0018529+0.00404955j 0.00237093-0.00215592j 0.00643563-0.00297172j -0.000591519+0.00115446j -0.00458659+0.006277j -0.0082424-0.000814366j 0.0063976+0.0041923j 0.00416264-0.00445011j 0.00526454-0.000840924j 0.00237965-0.004221j 0.00217833+0.00443506j 0.000952148-0.0013248j -0.00473234+0.000363883j -0.01163-0.0039167j 0.00302708+0.00913383j 0.0060076-0.00299834j 0.00627593+0.00488986j 0.000187962-0.00369244j 0.00305593+0.0119984j -0.00763561+0.00322451j 0.00515793+0.00206744j 0.0073842+0.00891454j 0.00450968+0.00899237j -0.00435915+0.013658j -0.00128208-0.00957164j 0.00809191-9.34445e-05j -0.012119-0.0300349j 0.0355993-0.0127125j 0.014895+0.0339152j 0.031378-0.0155104j 
0.00772679+0.0031411j -0.00381834+0.00786168j 0.00269196+0.00444641j 0.00122895-0.00389669j 0.000935753-0.000523229j -0.00228176-0.00272747j 0.00743032-0.000702911j -0.00378546+0.00249362j 0.000889589+0.00216599j -0.00288964+0.000122061j -0.00104071+0.00255812j 0.000891048+0.00248634j 0.0028269-0.00178679j 0.000235033-0.00220807j -0.000608792+0.00233804j -0.00245732-0.00263384j 0.00215597-0.00493399j 0.00123643-0.0053738j -0.000913014-0.00113391j 0.000422032-0.000353798j -0.000686652+9.67608e-05j 0.00106681-0.0016127j -0.00197275+8.99817e-05j 0.00357742-0.00318788j -0.00669254-0.00322775j -0.000189005+0.00612634j 0.000862461-0.00194367j 0.00306471+0.000832887j -0.00384528+0.00406742j -0.00323957+0.00214977j 0.0059828-0.00198107j -0.000821407+0.00353546j -0.0032418+0.00234352j -0.00101286+0.0019666j -0.00218659+0.00177903j -0.00265688+0.000155348j -0.0042331-0.00490826j -0.000208257+0.000229714j 0.00169071-0.00361044j -0.00314764+0.00790773j -0.00589851+0.000547583j 0.00268722-0.00118037j -0.00120745+0.00167961j 0.00131306-0.00314385j -0.00178036-0.00194012j -0.00371514-0.00438103j 0.00128217-0.000165385j 0.0053212-0.00273595j -0.00882073+0.00699571j 0.00395668-0.00325847j 0.00129017-0.00106837j 0.000225614-0.00171592j -0.00184282+0.00013244j 0.00133417-0.00415868j -0.00116153-0.00238758j -0.00284297-0.000522534j -0.00816687-0.0111916j -0.00644167-0.00565899j -0.000249476-0.00077097j -0.00300092-0.00694632j 0.00116379-0.00039091j -0.00201599-0.00110673j 0.000976058-0.00145724j 0.00273201+0.00220748j 0.000344448+0.00379698j -0.00153296+0.00470614j 0.0002285+0.00356529j 0.000527095-0.0030709j -0.00177286+0.000974345j -0.000380701-0.000689779j -0.000905175+0.000619965j 0.000181606-0.000655729j -0.00103749+0.00286709j 0.00617355-0.00199863j -0.00278817+0.000975682j 0.00187219-0.00103357j 0.00296911-0.00204868j -0.00412414+0.0010472j -0.000360661-0.00122637j 0.00447586+0.000633668j -0.0026467+0.000969308j 0.00912277-0.0014648j 0.0025271+0.0034029j -0.00151185-3.529e-05j 0.000628257+0.00145053j 0.0143793+0.00935294j -0.000470844+0.00703352j 0.00297566-0.0101247j 0.000956686+0.00713175j 0.000942806+0.00356431j -0.00132719+0.0150926j -0.0126231+0.0201138j -0.0204266-0.0103667j 0.00703973+0.000315046j -0.00244558+0.0137397j -0.014864+0.00540695j 0.00633411+0.0133715j 
0.00464197+0.00492402j -0.00550123+0.00422925j -0.00136148+0.00203253j 0.00526095+0.000477665j -4.98944e-05-0.00366656j -0.00337231-0.000830466j 0.000410452+0.00273901j 0.000633179-0.00258477j -9.07759e-05+0.000633091j -0.00329149-0.00146646j 0.00130793+0.00502928j -0.000208657+0.000897977j -0.00196642-0.000693936j -0.000314345-0.00270549j -0.000180994+4.20581e-05j -0.00167596-0.00216031j -0.00233775+0.00184437j -0.00112606+0.00124723j 0.00143461-0.00417534j 0.00145107-0.00392507j -0.00219425-0.00282928j 0.00118804+0.0053112j -0.00106677+0.000380541j 0.00510516+0.00110936j -0.00596373-0.000623497j 0.00828206+0.00727985j -9.44163e-05-0.00438813j -0.00766738-0.00736009j -0.00158666+0.00445139j -0.00170044-0.000439293j 0.00258803-0.00308811j -0.000795209+0.00300154j -0.00120779-0.00105486j 0.00586197-0.00072649j -0.000991584+0.00553758j -0.0021079-0.000551408j -0.000694779-0.00152565j -0.00113044-0.00238615j -0.000100844-0.00146173j 0.00200244+0.00334971j -2.67476e-05+0.00284606j -0.00295437-0.000328173j 0.0051159-0.00257321j 0.0044065-0.00493694j 0.00435192-0.00170739j -0.00379821-0.000142281j 0.00614997-0.00188612j 0.00338382-0.00297905j -0.00105391+0.00104146j 0.00322081-0.00371929j -0.00313887+2.29423e-06j -0.00231022-0.00264566j -0.011507-0.00465791j -0.00326849-0.00290353j 0.00362383+0.000209072j -0.001845+0.00162452j -0.00447831+0.00354907j -0.00622516+0.00591009j -0.00221549-0.00163531j -0.00206448-0.000160127j -0.00476934-0.00480511j -0.00461986-0.00114196j -9.30917e-05-0.000628509j 0.00731662+0.00291866j 0.0070248+0.00386307j 0.000249857+0.0039745j 0.00197279+0.0055723j 0.00320616-0.0016694j 0.00265621+0.00409575j -0.00221656+0.00141045j -0.00263442-0.00113278j 0.00561816+0.00359521j 0.00352328+0.0165589j 0.000227503-0.0061049j -0.00304632+0.00441524j 0.0015452-0.00124392j -0.00312555-0.00278194j -0.00465843+0.000945425j 0.00111285-0.00118612j 0.00583016+0.00908222j -0.000422572-0.000275567j 0.00830936-0.0144082j 0.000748608+0.00322308j 0.00334571-0.00557806j -0.00504293+0.00680459j 0.0102939-0.00739559j 0.00760002-0.00367847j -0.00924219-0.00697949j -0.00323522+0.00580077j -0.00221014-0.00238112j 0.00582537+0.00177668j -0.0229628+0.00848606j -0.00787206-0.0225372j 0.00482265+0.00425982j -0.0053453+0.000959668j -0.0223285-0.0027435j -0.00235204+0.022098j 
-0.044767-0.0348176j 0.0348392-0.046365j -0.0279229-0.0266573j -0.0271901+0.0303274j -0.0221334+0.0162812j 0.0116194+0.031026j -0.0276434-0.0109658j 0.000469315-0.00734453j 0.0123355-0.00990922j 0.0126614+0.00684706j 0.0164131-0.00386j -0.000774336-0.0202478j -0.0182053+0.000385748j -0.0072613+0.0089325j -0.00462765-0.0130567j 0.00600412-0.00282845j -0.00883105+0.0109087j -0.00678894+0.0186599j -0.00693342+2.96606e-05j 0.000641892+0.00874685j -0.000935386+0.0116711j 0.00163833-1.25485e-05j -0.000217182+0.00127323j -0.00719797-0.00413563j 0.0168643-0.00816474j -0.00985786-0.0114418j -0.00179168+0.00555993j 0.00247414-0.00863089j 0.00799414-0.00251513j 0.0167006-0.00162687j -0.0117863+0.00300045j 0.000337817-0.0118813j 0.00565594+0.0104205j 0.00241818-0.0115245j 0.00857877-0.00761949j 0.0118732+0.00288516j 0.0131934+0.00560329j -0.00435122+0.00745984j -0.00375562+0.0124454j 0.00763563-0.0135101j 0.0145443+0.000801973j 0.00602783+0.00887479j -0.00270322+0.00300612j -0.00115385+0.00721031j 0.00143268+0.0153009j 0.00125496+0.0110203j 0.0113846+0.00553842j -0.0114225-0.00243272j 0.0132362-0.011399j -0.0169989+0.00262526j -0.00237003+0.000864964j -0.0105521+0.00684021j 0.0023664+0.000878141j -0.0130667+0.0113919j 0.000999082+0.00483484j 0.0104212-0.00376791j 0.00778511+0.0155348j 0.0136096+0.00645707j -0.0025591+0.00268203j -0.00233726+0.0137106j -0.00768251-0.00285018j 0.00116379-0.0028987j -0.00899138+0.00162711j -0.00695745-0.00516963j -0.0038193-0.00633061j 0.00427545+0.00385595j -0.0051476+0.00216932j 0.0024161-0.00608362j -0.0020548-0.00415206j 0.00732342+0.0121137j 0.0105499+0.000522232j 0.00811181-0.00849587j 0.014622+0.00182307j -0.00732946+0.00247838j 0.000396449+0.00332459j -0.00954979+0.00330756j 0.0122546+0.00656703j -0.0135557-0.00210809j 0.0104217+0.00819045j -0.00969976+0.00600652j 0.00509389-0.0164869j -0.0103475-0.00177684j -0.0103213-0.00304401j 0.000527937-0.009073j -0.0151555-0.0128906j -0.0253916-0.0232504j 0.00119762+0.00597844j -0.00751088+0.0334119j -0.0008433-0.0139106j -0.00190036-0.0103111j 0.0352912-0.0161019j 0.0161042+0.0216907j -0.0157336+0.013343j 0.0154446+0.0347366j -0.0282463+0.0112023j -0.0183809-0.0446524j -0.0443419+0.0181671j 
0.0185425-0.0106217j 0.0103196+0.0188845j 0.0177035-0.0069332j -0.00923267-0.0213758j -0.00839802+0.0318227j 0.0302185+0.0024957j 0.0181597+0.00443642j -0.00492672+0.0022484j 0.012303+0.0070673j 0.0141657+0.0146795j 0.0123483-0.0307895j -0.00309144-0.00618078j -0.0135576+0.000116293j 0.00307526-0.00481984j -0.0254465-0.00113461j 0.00641645-0.0126394j 0.00455298-0.00417766j 0.0163434+0.00176977j -0.00271857+0.00493651j 0.00739675+0.010615j 0.0162778+0.0160666j 0.00911934-0.00239015j 0.00779121-0.000277123j -0.000580442-0.0050124j 0.00444571-0.0328387j -0.0258014+0.0153604j 0.000111448-0.00828641j 0.0109086+0.00808251j -0.0101741-0.00841235j -0.012976-0.00374783j 0.015474+0.0061481j -0.00814898+0.00603305j -0.00259236-0.0110767j -0.00384662+0.00825876j -0.00255617-0.0101571j 0.00174437-0.00795837j 0.00526906-0.00573697j 0.00482793+0.00356713j 0.00685449-0.007532j -0.0076551+0.00453461j -0.00491237-0.0037188j 0.00249432-0.0030663j -0.00200142+0.00543393j 0.000223235+0.00303933j 0.00239504-7.1107e-05j 0.00989837-0.006298j 0.00079095+0.00277748j -0.00356908+0.00539837j -0.0139469-0.00104333j 0.0018988+0.00387355j 0.00441926-0.00185076j 0.00400352+0.00102206j 0.0172283-0.00865241j 0.00744106+0.00436677j 0.00503209-1.57302e-05j 0.00272367-0.00627566j -0.00277509-0.0102113j -0.00324572-0.00832763j 0.00109464+0.000242582j 0.00211606-0.000926j 0.00455027+0.00149682j 0.00141276+0.0027883j -0.00382216+0.00419879j -0.00262373-0.00239549j -0.00532534-0.00434582j -0.00559286-0.00666807j -0.0132589-0.00251063j 0.00404293+0.00262921j -0.00651751-0.00408211j 0.010142-0.000691859j -0.00138169-0.00313466j -0.00996619-0.00181925j -0.0129034-0.00889811j 0.00640442+0.00455844j 0.00256863-0.0016694j 0.00324824-0.000214431j 0.00445217+0.00521394j -0.00608488-0.00636083j 0.000743703+0.0018211j 0.00124467-0.00564259j -0.0123763-0.0109111j 0.00245319+0.0214077j 0.00265314+0.00294044j -0.000316253+0.00846619j 0.0101182-0.00587244j -0.00722909+0.020431j -0.0208327-0.00960598j 0.000811405+0.00774199j 0.00915569+0.0125305j -0.00392929+0.0128785j -0.0203306+0.0143617j 0.0228012-0.0203613j 0.0170907+0.0255593j -0.021493-0.010966j 0.00847121-0.0187515j 0.0208293+0.0232575j 0.0236936-0.0208198j 
0.020044+0.00163243j -0.00209243+0.0201571j 0.0116246-0.001974j -0.00426095-0.0130791j 0.00438807+0.0237452j 0.0234486-0.0088761j 0.0124463+0.00774732j -0.00563788+0.00734251j -0.00465239-0.00262149j 0.00717651-0.00709637j -0.0113985-0.002724j 0.00307002+0.0104525j 0.0160175-0.00517794j 0.00260417-0.0164073j 0.00141464-0.00355762j 0.00439321+0.00297062j 0.0093815+0.000150006j -0.00873057+0.000666535j -0.00448317-0.0146841j -0.0142224-0.00580015j -0.0188768-0.00306808j 0.0136068-0.0104852j -0.00508156-8.80901e-05j -0.00798832-0.013995j 0.000852779+0.00469288j -0.0107844-0.0178408j 0.0053015+0.0145795j -0.00781934-0.00335413j 0.00111706-0.0135714j 0.0037943-0.0248124j -0.0184104+0.00139619j -0.00256191-0.0029798j 0.00259049+0.0108819j -0.0139586+0.0177381j 0.00195951-0.0159876j 0.0116427-0.00111587j 0.00188203-0.000255168j 0.0092467+0.0183482j 0.0104606-0.0137213j -0.00648325-0.00206005j 0.000714535-0.0061281j 0.00934696+0.00463447j -0.0148021+0.00712863j -0.0151817+0.0105012j 0.000881467+0.00236228j 0.0155385-0.00811247j 0.00233273-0.00542477j -0.0104869+0.00569256j -0.00977369+0.00270863j -0.00169131+0.00287874j 0.00676612-0.00510133j 0.00168395+0.00748883j 0.0245564-0.00544569j 0.00552239+0.0116719j 0.00656395-0.00231898j 0.00690258-0.00732012j 2.24382e-05-0.0065417j -0.00133797-0.00929093j 0.00534645+0.00624264j 0.00683092+0.00347001j -0.0012638+0.00547894j 0.00165878+0.00416271j -0.00673542+0.00904804j -0.0106889-0.00774178j -0.0115381-0.00820887j -0.00438564-0.0144709j -0.0162433-0.00318079j 0.000978362+0.00278869j -0.00822704-0.00154141j 0.0189521-0.00531137j 0.00383361+0.000576266j -0.0187925-0.000533918j -0.0152954-0.0164661j 0.00703523+0.00244752j 0.00588051-0.00718343j 0.00771346-0.00104435j 0.00649557+0.00715883j -0.00497354-0.00298071j 0.00757751+0.00722699j 0.00072908-0.0116099j -0.0185289-0.0167001j -9.83545e-05+0.0242051j 0.00742057-0.00643746j 0.000478235+0.0130209j 0.0149591-0.0125189j -0.0129533+0.0218927j -0.0335572-0.00891731j -0.000897296+0.0228062j 0.0162038+0.0104826j -0.0011767+0.0119964j -0.0132505+0.0216096j 0.0273224-0.0244868j 0.0221501+0.0315028j -0.0297194-0.00952081j 0.00831981-0.0243499j 0.0202629+0.0192034j 0.0194945-0.0203258j 
-0.0208292-0.0151346j 0.0155285-0.019897j -0.0164929-0.0249313j -0.0343642+0.0179344j -0.0184636+0.0260779j 0.0168591+0.0276903j -0.0153101-0.0193594j -0.00242139+0.00388274j 0.00954181-0.0137963j 0.0178986+0.0175669j 0.0192528-0.0108549j 0.00840822-0.0248802j -0.0189282+0.0027429j -0.00569287+0.00769221j -0.009333-0.00666141j 0.00748531-0.00290341j -0.00661299+0.00208195j -0.00764516+0.00876063j -0.00200429+0.0038826j 0.0037836+0.0115532j 0.0162295+0.0118907j -0.00608134-0.000961445j 0.0105843+0.00733523j -0.00564986-0.00319739j 0.0135201-0.0116169j -0.00805598-0.00426567j -0.00178587-0.00135764j 0.00692253+0.00827785j 0.00225241-0.0011398j 0.00486783-0.000469108j -0.010313+0.0074733j -0.00410316-0.00847773j 0.00700817+0.00487527j 0.00107752-0.0042998j 0.0111059-0.00313398j 0.0118303+0.00568101j 0.0069769+0.00653682j -0.00134423+0.00786489j -0.00802199+0.0112306j 0.00128048-0.00746533j 0.00545291-0.00401863j 0.00177661+0.0108999j -0.00234266+0.000923217j -0.00657975+0.00942922j -0.00135992+0.00281566j 0.00357274+0.00470877j -0.000937245+0.00082777j -0.0120787-0.000373167j 0.015235-0.00671508j -0.0181408+0.00267795j 0.0045126-0.0040303j -0.00739852+0.00349285j 0.00436241+0.00444087j -0.00614949+0.00879728j -0.00204613+0.00408434j 0.00502656+0.000903067j 0.0148084+0.0155996j 0.0120716+0.00409824j 0.000532272+0.00501183j 0.00157298+0.00562212j -0.00364573+0.00373439j 0.00495602+0.00559694j -0.00381646+0.00129603j -0.00825467-0.0101218j -0.00817857-0.00508569j 0.00323808-0.000562808j -0.00193783-0.00110542j -0.00055201-0.00192745j -0.00499579-0.000656162j -2.51545e-05+0.00147382j 0.0103695+0.00436569j 0.000979314-0.00921338j 0.00697848-0.0134137j -0.00305074-5.29759e-05j 0.00233972-0.00157842j -0.00573599-0.00138706j 0.0122579+0.0100771j -0.00321845-0.00521804j 0.00595642+0.00832464j -0.0023708-0.0129576j 0.00392012-0.00517683j -0.0150892+0.00280074j -0.00426717-0.0083627j -0.010401-0.00785563j 0.00265812-0.0120013j -0.0132286-0.0118062j -0.0120962+0.00927567j -0.00285722+0.0268611j 0.00644748-0.00599249j -0.00437736-0.0103129j 0.022475-0.00953076j 0.0287741-0.00324659j 0.0072374+0.0278998j 0.00560461+0.0252775j -0.0223451+0.010552j -0.0185714-0.0344357j -0.0345659+0.0182136j 
0.0312728+0.0237931j -0.0235655+0.0313603j 0.0223821+0.0069247j 0.00614205-0.0275994j -0.00377178+0.0159162j 0.0186578-0.00471052j 0.0192424+0.0159197j -0.00835077+0.00754723j -0.00419029+0.00696061j 0.00264766+0.00663347j -0.00423881-0.0119205j 0.00639829+0.0097964j 0.00350609-0.000727353j 0.00140075-0.0173596j -0.0120063+0.00481874j -0.000799003-0.00674444j 0.00574744-0.00374501j 0.00350382-0.00269222j -0.000760353-0.00616836j 0.00239253-0.00448836j 0.00690515-0.003872j 0.0073978-0.0057842j 0.00183768-0.00181065j 0.00808698-0.000546029j -0.0118191-0.00644526j -0.00166719+0.018925j -0.0028512-0.00968564j -0.00160178+0.0066655j -0.00675646-0.000920396j -0.0189881-0.00189757j 0.00411359+0.0025889j -0.00766836+0.00731107j 0.000993807-0.00270345j 0.00227832+0.010742j -0.00979086+0.00775931j -0.00208322-8.69255e-05j -0.00718399+0.000160711j 0.0112725-0.00454013j 0.00527312-0.00774102j -0.00717603+0.00282856j -0.00229423-0.00348837j 0.00130355+0.00490037j 0.000207839+0.00183612j 0.00258908+0.00555655j 0.00016787-0.00396925j -0.000338046-0.00940348j 0.000280782-0.00923867j 0.00876674+0.00843166j 0.000230692-0.000297063j 0.0145043+0.00589814j -0.000231283-0.0111339j 0.00613801+0.00250791j -0.00101167-0.01093j 0.0016594+0.00170563j 0.00262917-0.00203583j -0.000235627+0.000562726j 0.00708055-0.00311642j 0.00206883-0.00586658j 0.00518433+0.000332059j 0.0082056-0.00343893j -0.00501678+0.00450017j -0.00317485-0.00183524j 0.000541894+0.0072191j -0.00331168+0.00115893j -0.00350464+0.0078916j -0.00035134-0.00729165j 0.000329652+0.00341056j -0.00115602+0.0015081j -0.00270205+0.00862476j 0.0128904-0.009703j -0.0033689+0.00534853j -0.0204742+0.0071245j -0.0170292-0.00236572j 0.0081694-0.00366645j -0.00099122-0.00537596j 0.0158978+0.00699696j -0.00110926-0.00818968j 0.00218697+0.00815405j 0.00841952+0.00304967j 0.00550715+0.00220832j -0.0134757-0.00635852j 0.0121304+0.00798268j 0.0122803-0.00820245j 7.90667e-05+0.0154267j 0.00894158-0.00183527j -0.00207904+0.0205193j -0.0132817-0.0109006j 0.0050472+0.00308169j 0.00427763+0.00335687j 0.00653857+0.00311293j -0.0164359+0.0107662j -0.0121205-0.00731309j 0.00264037-0.00996739j -0.0211414-0.0379839j 0.0339054-0.0227918j 0.0283596+0.0235303j 0.0230113-0.0268565j 
