-0.118359-0.0305307j 0.0685561-0.000656824j 0.0787199+0.105557j 0.0156463+0.0578584j -0.0279574-0.0392193j 0.00675265-0.0509445j 0.0346476-0.0186877j 0.0079787-0.100989j 0.00518714-0.00548809j 0.00618601-0.0153306j -0.0531719+0.00610585j 0.102664-0.0330658j 0.0156912-0.0251258j -0.0086994-0.00194698j 0.0197545-0.0180657j -0.0364481+0.0293626j 0.0390745+0.0366842j 0.0413991+0.00268444j -0.0129875+0.0513018j -0.0402109+0.077978j 0.0193807-0.0124961j -0.0409887-0.0373068j 0.0857262-0.0145578j -0.0215682+0.0365327j 0.106741-0.112825j 0.0245732+0.00803912j 0.0072747-0.0689356j -0.0446482-0.00595366j 0.0519116-0.00221447j 0.19887-0.081206j 0.0252556+0.175167j -0.0751705-0.00490881j 0.109118-0.097571j 0.0361961+0.0417109j 0.0606264+0.0816259j -0.0367408-0.0204894j 0.0728995-0.0428286j -0.102835-0.0509641j 0.0438749-0.0152649j -0.0508279-0.161101j -0.075541-0.236445j -0.200187-0.0545267j -0.0318094-0.00581544j 0.0547676+0.00320513j 0.0125+0.00316869j 0.0291475-0.0211907j -0.0547112+0.0493459j -0.0041948+0.00276947j -0.0389853+0.024138j -0.00912473+0.0224378j 0.0326127-0.0132879j -0.0288336+0.00970463j 0.0208928-0.0301485j -0.0549952+0.00151077j 0.0125955-0.00528173j -0.0255449+0.0296636j 0.016829-0.00834282j -0.00645857-0.00580529j -0.00928148-0.00222121j 0.0339957-0.0177983j 0.0413234+0.0196562j 0.0311861-0.00101903j -0.046047+0.00606255j -0.0317533+0.0184261j 0.00373122-0.0145833j -0.00765766+0.00589068j 0.0164443+0.00512075j -0.0176986-0.000126209j 0.0167019+0.0221822j 0.0460333-0.0116661j 0.0310966+0.0320617j 0.0458717+0.0265472j -0.027938+0.0177025j -0.0286792-0.0773171j 0.0111623+0.0222413j -0.047751-0.0515756j -0.000576726+0.0229845j 0.0646693-0.0320122j -0.0337806-0.0229872j 0.0513492+0.0237268j -0.104087+0.041087j -0.0558475+0.099014j 0.0907409+0.0735321j 0.0507161-0.120034j 0.0155618-0.0734049j -0.03923+0.0409855j -0.0632049+0.0625771j 0.0685499-0.0477801j -0.0802492-0.0369362j 0.126905-0.12397j -0.218638-0.149445j 0.0818577+0.197445j 
-0.0727032+0.0113214j -0.125245-0.0129739j -0.0215637-0.0285101j 0.0694401+0.0995873j -0.00830868+0.00979965j 0.0209398-0.0120396j -0.00780882+0.133435j -0.00723082-0.0286431j -0.0548181+0.0517805j 0.0421475+0.0174534j 0.00939631-0.0782921j -0.0306034+0.0827615j -0.0229562-0.0105708j -0.00836625+0.0557429j 0.0479054-0.0505142j -0.00528284-0.0467234j 0.015172+0.00447775j 0.00350285+0.0644238j -0.00745286+0.0507622j 0.0254013-0.0860389j 0.0237841+0.0325432j -0.0271544-0.0255216j 0.00224534+0.0672107j -0.0471152-0.0419371j 0.0693363+0.029122j 0.0384055+0.0253944j 0.0860377-0.00571587j 0.0750605-0.105786j -0.0527347+0.0814139j 0.0782486+0.100094j -0.205878-0.00727685j -0.0291885-0.117024j 0.127559+0.041532j -0.118841-0.0241298j -0.0181597+0.029759j -0.0222231-0.00291381j 0.13219+0.0320008j 0.0837566+0.0105787j 0.0976467+0.216613j 0.0529753-0.00365762j -0.211512-0.0346762j 0.058962+0.218407j 0.0493841+0.0153084j 0.0202246+0.0150396j -0.00621938-0.00192144j -0.0287064+0.00889784j -0.00401667+0.00409986j 0.0461207-0.032422j -0.00480708+0.0295422j 0.00822944-0.00440125j -0.0241571+0.0122864j -0.0569841+0.0247463j -0.0226284+0.00418086j 0.0240111+0.0195069j -0.0324829+0.009243j 0.0222463+0.00733004j -0.0296118-0.0229769j 0.0539253+0.00672944j 0.000718958-0.00114738j 0.0176863+0.000820277j 0.00531391-0.0198427j 0.0217472-0.00461105j 0.0269867+0.00421791j 0.0267721-0.00252012j 0.0270166-0.00936172j -0.000568396-0.0108761j 0.0555708-0.016261j 0.00806683+0.00717182j -0.00161699-0.00456956j -0.00380234-0.0280014j -0.0102417+0.0151169j 0.0670339+0.0597604j 0.0161879-0.00195922j 0.0258352-0.00164736j -0.00615799+0.00818236j 0.0710528-0.0399504j -0.0395978-0.0379941j 0.0161781+0.0499866j -0.0243276-0.00800079j 0.0338776+0.0742918j 0.0214368-0.141327j -0.0999599+0.0160213j -0.068808+0.0760549j 0.116606+0.0882942j 0.0420862-0.0319293j 0.0209076-0.0703399j -0.0844674+0.00787407j -0.0384327+0.0383039j -0.115253+0.108426j -0.0546629-0.0230209j 0.0842356+0.178024j 0.228523+0.137645j 
-0.0697426+0.0286818j -0.0561741+0.0343331j -0.0225435+0.0159541j -0.00481706+0.01194j -0.047865-0.0801796j -0.0682028-0.0337731j 0.0180313+0.0829451j 0.0746377+0.0229684j 0.00826012+0.0203965j -0.0190023+0.064834j -0.0164232-0.226995j -0.0679198-0.0155091j -0.0488994-0.0634759j 0.0897569+0.0555943j -0.0665446+0.121117j 0.0217136-0.15793j 0.0222626+0.0880868j -0.00153422+0.052401j -0.0925572-0.00311922j 0.0359987+0.0265398j -0.0661606+0.0141783j 0.0885918+0.115039j -0.0882337+0.104795j 0.0648564-0.0779953j -0.19815+0.135988j 0.0208966+0.000514122j -0.0225834+0.0135442j -0.0724657+0.0590512j -0.0886933+0.104868j 0.0772295-0.0705803j 0.249492+0.122111j -0.247876-0.00135532j -0.0780189+0.126237j 0.109586+0.0799673j -0.0947948+0.0436761j -0.15587-0.102134j -0.0609485+0.158706j -0.0142661-0.0649092j -0.0351182+0.0381849j -0.0905385-0.110585j -0.161554-0.147996j -0.115403-0.013153j 0.00413631+0.0115944j 0.0214152+0.0467829j 0.0091142+0.0098981j 0.0132898+0.034756j -0.0161284-0.0361554j -0.0129134+0.0147443j -0.00842947-0.0174807j 0.0126791-0.0271813j -0.0184777+0.0158931j -0.00965905-0.00200047j 0.00467588+0.0231593j -0.0148338+0.0174369j -0.0165949+0.00260141j -0.0222861-0.00331533j -0.0112627-0.0149612j -0.0143045+0.0311354j -0.0167363+0.023454j 0.00560242-0.0163052j 0.0299372-0.0159967j -0.0382053+0.00248039j -0.00525101-0.0166403j 0.0396037-0.00254931j 0.0215316+0.0254573j 0.00389915-0.026007j -0.0292609+0.0111791j -0.00595279+0.0102167j 0.000960489-0.0291984j 0.0204036-0.0161439j -0.0513685-0.0158838j -0.0144213-0.0332751j -0.014574-0.029794j -0.00725202+0.00665678j -0.00100349+0.0727488j 0.0106782-0.0118762j 0.0116967+0.00403343j 0.0502531-0.0294095j 0.00459707-0.0603851j 0.00475097+0.0433163j 0.0132809-0.039494j 0.00678078+0.000733933j 0.0708408-0.0164749j -0.0160684+0.00724616j -0.055096-0.00433036j 0.0220712-0.0636325j 0.0665801-0.0280971j 0.0475092+0.0161782j -0.0528092-0.0404277j -0.0447202+0.015573j -0.0900438-0.00943427j 0.0380341+0.0805193j 
0.0571038-0.0495445j -0.0735743-0.0055947j -0.0327755-0.0551086j 0.0561837-0.00522927j 0.0176866+0.0107862j 0.172081+0.0838454j 0.0226747-0.0677753j -0.0358081-0.0602087j -0.0464919-0.117197j 0.0503912-0.0664093j 0.00831061+0.0023418j 0.0370542-0.0772767j 0.00299327+0.00539352j -0.00367555-0.020117j -0.0583242-0.00890237j 0.00479259+0.0118749j 0.0058495-0.00908042j 0.0095465-0.0606321j 0.00264909-0.159106j 0.154061-0.00977514j -0.0504289-0.0588518j -0.0437627+0.0434365j -0.133322-0.0352145j 0.142418+0.0339152j -0.0164893+0.0353845j -0.0443376+0.0226954j 0.0115531-0.0146294j -0.0519113-0.10221j -0.0990254-0.0192246j 0.184237-0.0166508j -0.0620314+0.18019j 0.111741-0.296439j -0.227023-0.163561j -0.00576878+0.0236643j -0.055742+0.0976287j -0.0133394-0.124364j -0.110053+0.00202694j 0.0140253+0.133448j 0.107358+0.149262j -0.0582405-0.036923j -0.120614-0.0554607j 0.142922+0.144147j 0.0571859+0.0430765j -0.0124041-0.0454006j -0.00108657+0.0119794j -0.0483239-0.0409901j 0.00369308+0.0113948j 0.0201418+0.0114697j 0.0153121+0.0202204j -0.00546133+0.0236839j -0.0193939+0.0198609j -0.0053141-0.0119385j 0.0235208-0.00502622j 0.000394731+0.00808205j 0.0193033-0.0107234j 0.0133619-0.00419211j -0.00296401-0.00589012j -0.0143229+0.0228706j 0.00845074+0.0281562j 0.00980591+0.00476927j -0.00911962-0.0140944j -0.015785-0.00979038j 0.0173118+0.0063445j -0.00601558-0.000218847j -0.036682+0.0164128j 0.0139824+0.0035637j -0.02611+0.0110487j -0.0214905+0.00683971j 0.00611045+0.0188879j -0.023635+0.0304059j 0.00214932-0.0397353j 0.0304833+0.000436846j 0.0343669-0.0225068j -0.0276285-0.0466433j -0.0123744+0.0103206j 0.0532767+0.0232147j -0.00472365+0.054145j 0.0111823+0.0279638j 0.014681+0.00453866j -0.0331213-0.0305273j 0.0143911+0.00855655j 0.00938238+0.00796199j 0.0212495+0.0629582j -0.0116313+0.0038762j -0.0520016+0.0220215j -0.0281756+0.0181917j -0.0413551-0.014724j 0.00129278-0.0151517j 0.0348373+0.0202674j -0.0521615-0.0526524j 0.0389325+0.0512866j 0.0518021+0.00299432j 
0.0509596+0.0176514j 0.0296691-0.00244045j -0.0434079+0.0528344j -0.0432022+0.00970278j 0.056946+0.0127311j -0.229313-0.0320657j -0.0139707+0.111323j 0.0564467+0.0900207j 0.0443198+0.0458779j -0.0178743+0.119506j -0.0471239+0.0276951j -0.0251403+0.0932236j -0.0470316+0.00903494j -0.00866394-0.0398849j 0.0496465+0.0865783j -0.00270619+0.0234398j 0.109399+0.0211872j -0.0548596+0.0902278j 0.0671495+0.0322881j -0.0467545-0.0346107j 0.130324+0.0605646j -0.0531538+0.0906059j 0.122697-0.111735j 0.0537873+0.139709j -0.10113+0.0168857j -0.216467-0.0317154j -0.0546234+0.146626j 0.136505-0.234211j 0.170322-0.0608622j 0.118171-0.0566438j -0.0102247-0.136644j 0.0306885-0.122291j -0.163144-0.0817473j 0.0923363+0.271319j -0.274126+0.172843j -0.297241-0.116595j -0.0151839+0.00795724j -0.159817+0.0192532j 0.0154001+0.1232j -0.0392007+0.0381691j 0.0698645+0.0674918j 0.0506979+0.0543549j -0.0152921-0.0113854j -0.0404557+0.0285424j -0.0171034-0.0236127j 0.0564319+0.0106015j 0.0141913-0.0159413j -0.00818928+0.0202269j -0.00518622-0.00846194j -0.00869459-0.0177658j 0.0123672-0.0256163j 0.0164857-0.00221401j -0.00854389-0.000400622j 0.00749516+0.00641974j -0.00914242+0.013211j -0.0377703+0.0208495j 0.00303532-0.00498715j 0.000384429+0.0166333j -0.00573264-0.00891836j -0.0328517-0.0151745j -0.0132022+0.0176891j -0.0143099+0.0270868j 0.00487932+0.013193j 0.0174343+0.00289212j 0.0167875-0.00193272j -0.0119499-0.0106969j -0.00232321+0.029262j 0.0294769-0.0348779j 0.00515461-0.00848925j -0.00633815+0.0102272j 0.0370187+0.0177893j -0.0126817+0.00448807j 0.0153178+0.0150386j -0.00639107+0.00851157j 0.00455197+0.0100604j -0.015064+0.0324707j -0.0247969+0.0368563j 0.0270492+0.0147715j -0.0373255+0.0121042j -0.00926375-0.00166342j -0.0211536+0.0155472j -0.0275502-0.00305666j 0.0215526-0.018243j 0.01778+0.0274472j -0.00165862-0.0294626j -0.00194354-0.0382631j 0.0642085+0.0102655j 0.0406691+0.0276477j 0.0155228+0.0201154j -0.00378668+0.0272305j -0.00707213-0.0162479j -0.0334969+0.00531461j 
0.0191133-0.0157156j 0.0642484-0.0301728j 0.0404897+0.000183743j -0.0779578-0.00775389j -0.081398-0.0219681j -0.0221694+0.0342386j 0.0392149+0.0153936j -0.0165344+0.0214196j -0.0126566+0.00316503j 0.0427995+0.112771j -0.0530628-0.123309j -0.0537637+0.0105371j -0.0564499+0.0192958j 0.0479782-0.0475231j -0.198597+0.101314j 0.0440506-0.0337342j 0.0980407+0.0612495j 0.0614006-0.237125j -0.139505-0.0201558j -0.11373-0.0988099j -0.175121-0.145336j -0.0828214-0.0166098j 0.114569-0.00515833j 0.00669523+0.127663j 0.105347-0.031208j 0.0192569+0.0918151j 0.00817208+0.120727j 0.0711308+0.0732765j -0.174362+0.212397j 0.0612931-0.123147j -0.182761-0.132088j 0.017708+0.0614061j -0.0848836+0.0284438j -0.0297555+0.137415j 0.00736642+0.057942j -0.0935115-0.0654088j -0.0369706+0.0525899j 0.0734768+0.165299j 0.0393374-0.0510227j -0.0424223+0.0646513j 0.0861463+0.0744752j 0.0106899+0.00168906j -0.0518908-0.0137149j -0.00525716-0.0170126j 0.0213366+0.00742867j 0.0179932+0.00249548j -0.0149355+0.00441291j -0.0183428+0.0192479j 0.000847352+0.0176573j 0.00623254-0.00538109j 0.0155274+0.000164526j 0.0078229+0.00329415j 0.0131049+0.0105298j -0.00722679+0.00916829j 0.0106896-0.0108256j -0.0220234-0.00323708j -0.000398102-0.010038j 0.0092897-0.000577179j 0.0180021-0.00231438j 0.0189168-0.0100507j 0.0146644+0.0322975j -0.00741204-0.0117004j -0.0242746-0.0184885j 0.0259136+0.0168659j -0.0102136-0.00172432j -0.004513+0.0135205j -0.0100122+0.0474645j -0.0051209+0.00843339j -0.00717014+0.00613059j 0.0121788-0.0439766j 0.00633155+0.00634451j 0.00997431-0.0261342j 0.00569843+0.0277114j -0.00784435+0.00341379j 0.0437307-0.0422233j -0.0105723-0.0158867j 0.0018033+0.0132042j 0.0276215+0.0288572j 0.00136833-0.0261523j -0.0270886+0.011879j 0.0278336+0.0014089j -0.00927506+0.0357752j -0.0174915+0.0102922j -0.00205884-0.00201124j -0.0119379-0.00957863j -0.00722048-0.0338145j -0.0109417-0.0205688j 0.0276388+0.0190865j 0.0114193-0.00954537j -0.00027848+0.00477073j -0.0276754-0.00171937j -0.0120266+0.00451127j 
-0.0536428+0.0678268j 0.0177239-0.0206029j 0.00697835+0.0620203j 0.0460665-0.0178366j 0.0612039-0.0326712j -0.00827592-0.0274433j -0.05315-0.0181084j -0.0355282-0.0776861j 0.0978059+0.0108378j -0.0483595-0.032226j 0.0489964-0.0238707j -0.0295863+0.0772149j 0.028661+0.00795608j 0.0304646+0.098804j 0.135468+0.0758385j 0.0961843-0.103523j -0.114395+0.0440248j 0.130226+0.0420084j 0.0746329-0.0898904j -0.0110277-0.168515j 0.00764676-0.169069j 0.0055959-0.168641j -0.045842+0.125525j 0.0779305+0.0435033j -0.0179309+0.0563374j -0.224397-0.18242j 0.0288997-0.153922j -0.0912818+0.14593j -0.158111-0.141594j 0.0843768-0.156266j -0.161818-0.152767j 0.0620362+0.181943j -0.0400195-0.000157109j 0.0208191+0.0551797j -0.098214+0.191737j 0.0174683+0.069637j -0.04836-0.0839692j -0.0905312+0.0588018j 0.0454493-0.0380584j 0.0268713-0.0330821j 0.0198577+0.0234635j -0.0790459-0.0199502j -0.000989561-0.0385177j 0.0303208+0.0319839j -0.0136638-0.00648197j 0.00240896+0.0101493j -0.00905815-0.000344622j -0.00501753-0.0314582j -0.0114456-0.0111581j -0.00726028-0.0235295j -0.00249341-0.00116885j -0.0102655+0.00994674j 0.00634326-0.00400783j -0.00784286-0.00848771j -0.0232368+0.0169682j 0.00466515+0.00926824j 0.00168344-0.00569678j -0.0170301-0.0226806j 0.00227703-0.0256706j -0.0107354+0.00490066j -0.00931108-0.00997209j -0.00513568+0.00706158j 0.0141054-0.00493577j -0.00821685+0.0372878j -0.0152838+0.000207863j -0.0122142-0.0202743j 0.0033552+0.0121985j -0.0364495+0.0143765j -0.0364627-0.0116469j 0.00955864-0.0138542j 0.014096+0.0287373j 0.0416209+0.0115605j 0.0123188-0.0259589j 0.027585-0.000139902j 0.00800685+0.0179902j -0.0141105+0.000860104j 0.0103874+0.00289662j -0.0308459-0.000573192j -0.00781756+0.00324844j -0.0274338-0.00701447j 0.00408186-0.0238726j 0.0232806-0.00756421j 0.0323438+0.0159979j -0.0102686+0.0248024j 0.0142933+0.014081j 0.0138936-0.00818109j 0.00198416-0.0198777j -0.00426426+0.000582036j 0.00605064+0.00320221j 0.0215959-0.00176223j -0.0172375+0.00516259j 0.0146331+0.0123975j 
-0.0212406+0.0338006j 0.0255554-0.00514415j -0.0299483-0.0357737j -0.0722061-0.0128972j -0.0521426+0.0035514j 0.0254482-0.0835544j 0.00853155-0.0400019j 0.0490066+0.014873j 0.106479+0.108689j 0.0243684-0.0254307j 0.183561-0.102035j -0.0747792+0.039661j -0.0128492+0.0109335j -0.118687-0.0400499j -0.0336173-0.0766696j -0.145152-0.0685946j -0.103092+0.015156j -0.0312527-0.0593379j 0.0545613+0.100259j 0.0568016-0.157897j 0.0196716-0.088016j 0.00622077-0.166819j 0.0575812-0.174282j 0.118562+0.0655982j 0.0676523-0.0845403j -0.0254342+0.0146661j -0.189574-0.0345504j 0.140579+0.0248407j 0.219496+0.176123j 0.0479186+0.220021j 0.222527+0.0302873j 0.112297-0.190288j -0.145159+0.140961j 0.0512746+0.0176092j 0.276511+0.114388j -0.0682483-0.00195806j 0.0689655-0.0154678j -0.112389-0.00392578j 0.017798+0.054322j 0.0312456+0.0373376j 0.0185528+0.0134164j -0.072393+0.0144098j -0.0260492+0.0022923j -0.0100192-0.0186706j 0.0220608-0.00241745j -0.00970727+0.0278245j 0.00088781+0.00581682j 0.0042142-0.0169805j -0.00836715-0.0123177j -0.00193351-0.0168694j -0.00473543-0.0108388j 0.0172362-0.010554j -0.0195576-0.0048295j 0.00788212+0.00673574j -0.0053001-0.024722j 0.0150186-0.0223069j 0.00405643+0.018171j 0.007013-0.0319497j 0.00144187-0.00961418j -0.0042386+0.0198024j -0.0180218-0.0244808j 0.00782778-0.0068619j -0.0123771+0.0068281j 0.00198387+0.00445387j 0.0184156-0.0186304j 0.0316247-0.00919632j 0.0148814+0.0101289j 0.000536052-0.0129624j -0.0221072+0.0526994j -0.0018248-0.0227708j -0.0144903+0.0327671j -0.0128196+0.00623039j 0.00186387+0.00259753j -0.00438721-0.00520713j -0.00127846+0.0247311j 0.0163257-0.00340216j -0.0202056+0.0213152j -0.0221811+0.000850576j 0.000439139+0.0117782j -0.0309558-0.0133683j 0.0093754-0.00900303j 0.00369374+0.00936831j 0.00546585+0.0212619j -0.039572+0.00322228j -0.0122652+0.00556112j -0.00349089+0.00524727j -0.0166852-0.0161581j 0.00557501+0.00370041j -0.00189866-0.00926234j 0.0197306+0.00707535j -0.0103805+0.00959633j -0.000145049+0.0109718j 
0.0137561-0.000669288j 0.0187092+0.00979674j -0.03271-0.0358524j -0.0765772-0.00913875j -0.0310425+0.0101995j 0.00114116-0.0105283j -0.0428514+0.0140957j 0.0560404+0.0573382j 0.0908945+0.115481j -0.107433-0.0314712j 0.0604407-0.0247643j -0.0898287+0.0016227j 0.0324208-0.0265415j 0.0309068+0.10356j 0.0396696-0.0607052j -0.0284268-0.0689515j 0.0795824-0.0553403j -0.0329676-0.231365j 0.0290735+0.0927435j 0.0625473+0.0153221j 0.170236-0.0862672j 0.0870464+7.87579e-05j -0.0344552+0.0970425j -0.167036+0.163871j 0.149281-0.0619521j -0.163802+0.0233185j -0.0673066-0.188323j -0.00277203-0.0295593j -0.156043-0.148305j 0.033999+0.12552j 0.0918985+0.044476j -0.0878493-0.0883867j -0.00413336+0.0539678j -0.0292239-0.0635068j 0.160983+0.0918264j -0.0430527+0.0285448j 0.0734771+0.0151762j -0.0772189+0.000403765j -0.00373302+0.0732255j 0.0142155+0.0620099j 0.00557391+0.0216416j -0.0192601+0.0316804j -0.0161171+0.0120075j -0.0282723-0.0252609j 0.0120037-0.00433221j -3.85616e-05+0.00970728j 0.0236884+0.00291818j -0.00477385+0.012827j -0.00918482-0.0217685j 0.0095197-0.0168876j 0.0123629-0.00759285j 0.0211688-0.000204627j -0.0177886+0.00505887j 0.00224088-0.00473921j -0.00845878-0.00802499j 0.0307525-0.0199551j 0.0163668+0.000948103j 0.007121+0.00123695j 0.0101776-0.00645301j 0.000820301-0.00448548j 0.00554506-0.00354951j 0.00659828-0.0130199j -0.0132898+0.0125829j 0.00152206-0.011379j -0.0458107-0.031801j 0.00529619+0.00527207j 0.00328431+0.0137478j 0.0334862+0.0388176j -0.044698-0.0183871j 0.00482699+0.0361387j -0.000989512-0.00293655j -0.0282071+0.0353039j 0.00525589+0.00806168j -0.0182865+0.0171233j -0.0120124+0.0110137j -0.00400425-0.00846899j 0.00441147+0.00669247j 0.0185894+0.00939657j -0.0195706-0.0129583j 0.00572177+0.000559159j -0.00892317-0.0106595j -0.00147126+0.0109743j 0.0132363+0.0188728j -0.00946068+0.0123525j -0.00842575+0.00132089j 0.000921327+0.00899217j -0.00197971-0.00891745j 0.00392254-0.00232448j -0.00166202-0.00674909j 0.00660027+0.00474488j -0.00449053+0.00313503j -0.012619-0.000258969j 
-0.048095+0.0120539j 0.0374599-0.0348005j 0.0299635-0.0390911j -0.0266041-0.0151371j -0.036281+0.00827923j 0.137123+0.0560598j 0.00392316-0.129645j 0.0299631-0.0838255j -0.00299018-0.0505132j -0.150364-0.150713j -0.0210343+0.0600115j 0.0878438+0.0496568j 0.0176539-0.0132853j 0.0903271-0.0405776j 0.0269087-0.0500834j -0.0596908+0.0380268j 0.0142638+0.168031j 0.0111774+0.306573j -0.0726394-0.127556j 0.0722707-0.154079j 0.143971+0.0802742j 0.0127818+0.0891917j 0.210479+0.184916j 0.0516754+0.0280364j -0.0310953-0.118438j -0.0369192+0.0663509j -0.127259+0.202016j 0.00816124+0.0813804j -0.125095-0.0461584j 0.0264402+0.0448251j 0.0052087-0.123727j -0.0636116-0.0743576j -0.0839254+0.0560323j -0.0695255-0.0312375j 0.0550742-0.146856j 0.011542+0.0291989j 0.0222011-0.0929145j 0.0248154+0.0727252j 0.0450848-0.0982003j 0.033686-0.000988783j 0.0277928+0.0298229j -0.0518286-0.0388109j -0.0306357-0.013199j 0.0121932-0.0264121j 0.0177978+0.00353195j -0.0161863-0.0124954j -0.00358202+0.0346667j 0.000195404-0.0288932j -0.0208518-0.0160969j 0.0111776+0.0175101j 0.0130725+0.00586797j -0.00227279+0.00462437j 0.0067712-0.0184457j -0.0143875-0.00323905j -0.00126828+0.000619226j 0.0107792+0.00749797j -0.0173436-0.00934041j 0.0230294-0.0264483j -0.0302246+0.00842393j -0.000426488+0.0193224j -0.0164129-0.000199683j 0.00456803-0.00437095j -0.024488+0.00445966j -0.00263846+0.0042417j 0.0114812-0.0110647j 0.0408975-0.00187434j -0.00193284+0.0129002j -0.012787+0.00605684j 0.00352605-0.0412488j -0.0060553-0.0106282j 0.00712419-0.0276591j 0.0165206+0.00593236j -0.00409068-0.00558303j -0.0164536+0.0156799j -0.00908619+0.00867991j 0.0155168+0.0151563j -0.020931+0.0100362j 0.0187702-0.00597628j -0.00115834+0.00870211j -0.00755891-0.0150193j -0.00921052-0.00412823j -0.00650614-0.0121635j 0.00903746+0.010913j 0.0170282+0.00986981j 0.00262398+0.0075643j -0.00538227+0.0138035j -0.028987+0.00114023j 0.00287787-0.00874216j -0.0039742-0.00306817j 0.0150397-0.0188272j -0.0115789+0.00481534j 0.0190349+0.00754321j 
0.0491413-0.00773314j 0.00708711-0.0225648j 0.0162432+0.0701331j -0.00780729-0.0504195j 0.0676867-0.0495696j -0.112144-0.0508971j -0.0706913+0.134086j -0.0180871+0.0354129j 0.0350818+0.0229304j -0.0969839-0.0526388j -0.0396277-0.0950148j -0.0166155+0.128652j -0.0154368+0.0365653j -0.0328101-0.00646848j -0.0779288-0.0811466j -0.0151404-0.156722j -0.0175488-0.160077j 0.0898132+0.0354209j 0.147905-0.0373356j 0.113639+0.166006j 0.047532+0.00417232j 0.248338-0.0391624j 0.105192-0.13022j 0.160965+0.133142j 0.0134586+0.077255j 0.17188+0.260875j 0.0792877-0.0109843j -0.14764-0.0261899j -0.167479+0.127064j -0.0608612+0.154778j 0.0514417-0.0431036j -0.0730699+0.0190911j 0.0121545-0.136629j -0.029115-0.0909841j -0.0926317-0.0373986j 0.0208866-0.0365344j 0.00951953+0.0723935j -0.0811281+0.000990065j -0.0105727+0.0426728j -0.0551452+0.0268234j 0.0242809+0.0253426j 0.0513808+0.0689978j -0.00836777-0.0373576j -0.00303548+0.00878545j -0.0287819+0.000341644j 0.0272723-0.000565412j 0.0208835-0.0280893j -0.0174065+0.0166561j -0.0011218-0.0139129j 0.00103081-0.000316453j 0.00302794-0.00321022j 0.0145532-0.0144421j 0.00523587+0.00749454j 0.00251315-0.0052694j -0.0248008-0.000616946j -0.0159434-0.0305434j -0.00692015-0.00369376j -0.00268532+0.00913954j -0.0094103+0.00885727j -0.0256099-0.00648988j -0.00170126+0.00435398j 0.00552762+0.0265733j -0.0226697+0.00525057j -0.0329102+0.0222217j -0.0118412-0.00779045j 0.0302484+0.0335781j -0.00337519-0.00242609j -5.28156e-05+0.0108304j 0.022646-0.000669294j -0.000935292-0.0123008j -0.00624478-0.020793j -0.00527558+0.019926j -0.00310868-0.0176015j 0.00424857-0.0122459j -0.00448623-0.00643208j 0.00398737+0.00622712j 0.00781031-0.0186097j -0.0029894-0.0118379j 0.00207635+0.0168652j 0.00637954-0.00126715j -0.0133035-0.011253j 0.00911995-0.00590117j 0.0172851-0.00740752j -0.00296555+0.0110932j 0.000852057-0.0117463j 0.00255196-0.00955268j 0.025357+0.00045383j -0.000542674+0.00557421j 0.0108267-0.00122253j 0.00111631+0.0114825j -0.0119108-0.0142557j -0.0216724+0.00138021j 
