-0.0189314-0.0299349j -0.0319254-0.0827428j 0.0300229-0.0864091j -0.040762-0.0435456j 0.0528136-0.00089286j 0.103857-0.0418006j 0.0178965-0.025338j -0.0897004+0.0719985j -0.0245353+0.00796058j 0.0413688-0.0172593j 0.0640138-0.0441119j 0.00424039-0.0185034j -0.0408618+0.0276533j -0.0470804+0.0347625j 0.0135822+0.00756438j -0.0440573+0.0533788j 0.0170083+0.0201854j 0.0120972+0.00466861j 0.0394183-0.00862757j -0.0672066+0.0473901j -0.00881317+0.0258193j -0.00276348+0.0102926j 0.0504179-0.0215055j 0.114631-0.0856582j -0.0262758+0.0242402j 0.0265967+0.0306124j 0.0456917+0.00690092j 0.0150535+0.0244483j -0.00736677+0.0735493j -0.112585+0.184506j 0.290854-0.119428j -0.0301361-0.137183j 0.102963-0.222512j -0.184669+0.0466199j -0.0417297+0.0173156j 0.0235221-0.0106109j 0.031725+0.0562221j -0.0977795+0.0925615j 0.00193934+0.0135484j -0.0150558-0.00525865j -0.0692921+0.057471j -0.029967-0.0191489j 0.0416523-0.0291021j 0.00667898-0.0235862j -0.0300729+0.00804661j -0.0347083+0.0144077j -0.0191494+0.0180976j 0.0064815+0.0219252j 0.00276242+0.00208593j -0.043581+0.0288509j 0.0117064+0.00294489j -0.0090461-0.00918813j -0.0109101-0.00820992j 0.0291152-0.0167752j 0.013433-0.00975744j 0.00978974+0.0105048j 0.000709384-0.000237037j -0.00991573+0.00881671j -0.00756695+0.0206888j 0.0113794+0.00177869j -0.0122775-0.00400882j -0.0387819+0.0343595j 0.0107269-0.00755291j -0.00941182+0.00334456j -0.0123718+0.0315295j -0.0311014+0.0254627j 0.0280416-0.034542j -0.0270298+0.00330039j 0.0648313-0.11978j -0.0948973-0.0104238j 0.0778902-0.112287j -0.076675+0.0307991j 
0.0312044+0.0808264j -0.0192904-0.0304098j -0.032514-0.0381524j -0.0633009+0.102482j 0.0533972-0.0379566j 0.0143578-0.062145j -0.000565998-0.0127362j 0.0493325-0.0134357j 0.0509132-0.0365646j -0.0435918+0.025523j -0.000892055+0.0111116j 0.0442152-0.0327795j 0.0613192-0.0251307j 0.0233159-0.00737102j -0.0371874+0.0293894j -0.053204+0.0232465j 0.0306356-0.00834542j -0.0699283+0.0624063j 0.0271577+0.000427237j 0.0120327-0.0314935j 0.0259644-0.00745678j 0.0350277-0.0172677j -0.0540195+0.0644753j 0.0310662+0.0339756j -0.0662734+0.0233553j -0.120063+0.0848793j -0.0419175-0.0127688j 0.100279-0.0439829j -0.0821044+0.130063j -0.128598-0.0229403j -0.0213291+0.193007j 0.25189-0.147446j 0.184875-0.0349789j 0.0905811-0.204526j 0.0439783-0.0474371j -0.0343864+0.0500551j -0.115966+0.100773j -0.0691739-0.0244556j -0.0235415+0.0144334j 0.0036409-0.00498139j -0.033014-0.0144171j 0.0481979-0.0485454j 0.00322486+0.0240045j 0.0325482-0.00904916j 0.00829323-0.0139049j -0.0164406-0.014853j -0.0128263-0.0108574j -0.0461354+0.0259604j -0.00512854+0.000109227j 0.00532686-0.0312573j -0.0280869+0.00530859j 0.0334339-0.0210585j 0.0159679-0.0222802j 0.0165627-0.00317032j 0.00532443-0.00395279j -0.023346+0.00606009j -0.00389581+0.00671542j -0.00165991-0.00463775j -0.0067651-0.00294587j -0.00800649+0.0169823j 0.0295879-0.0369289j -0.0206097+0.00432543j -0.0212259+0.0146755j 0.00956972+0.000193568j -0.0177924+0.00787694j -0.0159555+0.0082188j -0.0175826+0.020801j 0.0306759-0.0594064j 0.095793+0.00538608j 0.0652714-0.116378j 0.0790845-0.0297763j 0.0765648-0.110097j 
0.0232005+0.00222147j -0.0969655-0.0352813j -0.0575217-0.0463363j -0.0201521-0.0325887j 0.021625+0.0799476j -0.026977+0.0333616j -0.0519255-0.057964j 0.0693131-0.0302837j 0.0789423-0.011655j -0.00795042+0.0370267j 0.00188189-0.0132131j 0.0372881-0.0169245j -0.0281852-0.00725321j -0.0483227+0.0199671j -0.0145374+0.000369328j 0.0220806+0.0175682j -0.0412523+0.0014208j -0.00514889-0.00213172j -0.0488479+0.00424674j -0.00609355+0.039539j -0.0666224+0.0644847j -0.0722741+0.0628054j -0.0390107+0.0144874j 0.012065-0.00236374j -0.0176612-0.0180222j 0.0279029-0.0672997j -0.0836751-0.0535987j 0.0335442+0.0406096j 0.0293111-0.0353975j -0.00253669+0.043105j -0.0518734+0.0414051j -0.0105823-0.0619965j -0.028001-0.0727827j -0.00348675-0.0451214j -0.0277508+0.00953698j 0.0397682-0.0229548j 0.0182184+0.0457664j 0.0460976+0.0109813j 0.0103012-0.012999j 0.0107964-0.0183902j 0.0130465+0.0096928j 0.00553013-0.0148717j -0.00442839-0.00376419j -0.00459315-0.0053791j -0.000219418-0.00989284j -0.000565962-0.0100849j 0.00168364+0.00657402j 0.00115294+0.0192107j -0.00205951-0.00119831j -0.0055362+0.0089254j -0.00296955-0.000230415j -0.00996719-0.00841477j 0.00140304-0.00557727j -0.00511067-0.00610552j 0.00121274-0.00351882j 0.00134191+0.0238795j -0.000909046+0.0163593j 0.0114239+0.00682739j -0.00235555-0.000404476j 0.000916637-0.00475993j -0.00522983-0.00877889j 0.0239614+0.00927731j -0.00565439+0.00127804j -0.00371405+0.00511588j -0.0322798+0.0549435j 0.000258657+0.0458086j 0.0276975-0.00624488j -0.0654421-0.018796j 0.013088+0.0055283j 0.010134+0.0245367j -0.0416052-0.0289631j -0.0312652-0.0466146j 
0.106023+0.0282627j 0.0198871+0.00180689j -0.0269139+0.00727955j 0.0253413+0.00877065j 0.0587847-0.0103595j -0.010356-0.0752179j -0.0345417+0.0390339j -0.0683781+0.00757679j -0.0159664-0.045144j 0.030637-0.0239576j -0.010677-0.0464111j -0.0448174-0.0266995j -0.0337241+0.0380518j -0.00811817+0.0527837j 0.0227113+0.00106573j 0.070166-0.000597716j -0.0375286+0.0272505j 0.0378192+0.0231108j -0.0388707+0.0128702j 0.0387625+0.0208451j -0.00414166+0.0188664j -0.0221845+0.0371161j -0.00255765-0.0233422j -0.100768+0.019533j 0.0444661-0.0117181j -0.0701173-0.0371634j -0.0669344-0.00378335j -0.0681395-0.0479247j -0.0452452+0.0458174j 0.0098453+0.0431014j 0.047681+0.0892577j -0.0263782+0.061393j -0.00859968+0.0472948j -0.0314996-0.0510825j -0.00291824+0.00627021j -0.00695926+0.0257401j 0.00687149+0.021933j 0.00205802-0.0366797j -0.0340289-0.000210432j -0.00943757+0.00326019j -0.0181303-0.0252635j 0.0175103-0.023909j 0.00943009+0.0212572j 0.00623525-0.00533439j -0.0420539-0.0139642j -0.00531053+0.00181866j 0.0127475-0.00863139j 0.0143059+0.0137994j 0.005433-0.00161221j -0.0107995-0.0197324j 0.00949002+0.00887994j -0.0144658-0.00603761j 0.0024058-0.00874756j 0.0165073-0.00615471j 0.00565823-0.00567629j 0.019814-0.0149069j 0.00697284-0.00695368j -0.00171153-0.0201892j 0.0055602-0.0116682j -0.00344024+0.0125626j 0.00778246-0.0250906j -0.0157698+0.00303454j 0.0170661-0.0107801j -0.0375336+0.02566j -0.044085+0.0227511j -0.0013132-0.0215226j 0.0392118+0.0521841j 0.0342222-0.039368j 0.0158192-0.0187774j 0.00479036+0.0291109j 0.0266648+0.0479986j -0.0440973-0.0361091j 
0.0589797-0.00268994j 0.0229256-0.0184779j -0.0391372-0.014071j 0.0112003-0.0765864j -0.0185364+0.0252756j -0.101252-0.037371j 0.0232251+0.0713297j 0.0238483+0.0327486j -0.0327006+0.0130435j -0.0457359-0.0424988j -0.0784923-0.0184903j -0.0245402+0.0262474j 0.0666078+0.0364268j 0.0789001+0.0205292j -0.00463564+0.00565184j -0.00329535-0.0359758j 0.0163339+0.0358319j -0.0175968+0.0313724j 0.0190561+0.0257393j 0.0421374-0.0137778j 0.0354832+0.00600332j 0.0565995+0.0268366j 0.00133707-0.0472069j -0.046932-0.033797j 0.0332109-0.0224846j -0.0392299-0.0228475j -0.0130298+0.0588794j -0.0722228+0.0815176j 0.0675081+0.0515773j 0.0595654-0.0594842j -0.0762065+0.0593973j 0.0519832+0.0724526j 0.00763492+0.0429241j 0.0279713+0.0238369j 0.0111703+0.025677j 0.0023952+0.0389321j 0.00044167-0.0102549j 0.00753326-0.0151875j 0.00278607+0.0140727j 0.0152507+0.0139406j 0.0129199+0.00321834j -0.00546363-0.00675129j 0.00236861-0.00135286j -0.0055501+0.00396926j 0.0153972+0.000989181j 0.022132+0.00156128j 0.0023637-0.0130101j 0.00818974-0.0124871j -0.00193801-0.00318106j 0.0119644-0.00632589j -0.00414017-0.00475487j 0.00470575+0.0145114j -0.00213833-0.00104609j -0.022139+0.00937227j -0.0154796+0.00650515j -0.0231539-0.0131457j -0.00263344-0.0137493j -0.0155195-0.00677091j 0.000502678-0.00193626j 0.00180669+0.012132j -0.00126583-0.0232047j -0.00591509+0.0152071j 0.00749568+0.00638216j 0.00629488+0.0189041j 0.00943409-0.0272223j 0.00722016-0.0233873j -0.000392802-0.0129359j 0.0293134+0.0215898j -0.0286855+0.0172924j 0.00122665-0.061536j 0.00764056+0.00784417j 0.0254887-0.00170296j 
-0.045186-0.00476253j -0.0177165+0.0129551j 0.0809852+0.00777265j -0.0286323-0.0347994j -0.0547409+0.0417157j -0.0600077-0.0613442j -0.0176178+0.0317498j 0.0703572-0.0314734j -0.0106804-0.0805827j -0.0805072+0.0202996j 0.0228223-0.115068j -0.0180175-0.0222879j 0.0531835+0.0148398j 0.0485965+0.0152572j 0.00466922+0.0438515j 0.0213254-0.0348639j -0.00725392+0.04054j 0.0260057-0.0108768j 0.00120766+0.0792864j 0.0470354+0.0273987j 0.0417571+0.0562356j 0.0807127+0.067802j 0.0205943+0.00880058j 0.0811645-0.0730894j -0.0085552+0.0305784j -0.0655922-0.0403907j -0.158408+0.149619j 0.0529865+0.0613136j -0.0848523+0.0218633j 0.010721+0.00893917j 0.0363582+0.0927441j 0.100115-0.129652j 0.0430855-0.0460224j 0.0182138-0.0162378j -0.0283916+0.0411489j 0.0321052-0.00697821j -0.00214247+0.0567603j 0.0294157-0.00801518j -0.0382286+0.0239584j 0.0128769-0.0081658j -0.0173975+0.0148636j 0.0260941-0.0390456j 0.0204296-0.00736345j 0.00330844-0.00373562j -0.00145126-0.00133553j -0.00271423-0.00841334j 0.0020767-0.00657941j 0.016142+0.00519045j -0.0151373-0.00179595j -0.00286227+0.00849511j -0.0181038+0.00362427j -0.0119405+0.0144699j 0.00821034-0.00712929j -0.0234111+0.0215884j -0.0166806+0.0116967j -0.039862+0.0477708j -0.00319974+0.00903114j -0.00760684-0.000227042j -0.0167759+0.00877414j 0.0104863-0.0136671j -0.0211293-0.00782113j 0.0262113+0.00951691j -0.0224939+0.0170591j 0.0252484+0.0166133j 0.0286206+0.0143311j 0.0473979-0.00959187j -0.000774328+0.0074335j 0.00881079+0.00149187j 0.0207997-0.0391688j 0.0291872-0.0551375j -0.0152561-0.0508862j 0.0205928-0.0319049j 
-0.0427831+0.00738407j -0.0639328+0.0214285j -0.0455168-0.00888753j -0.0290378+0.0668252j -0.0134233-0.179212j 0.0949501-0.156488j 0.0533171+0.175296j 0.0293874+0.100614j -0.0198806-0.0530992j 0.0558296-0.0528448j 0.0461867-0.0088998j 0.0722796-0.0338931j -0.0145598+0.0656157j -0.0374546+0.0813602j -0.0309767+0.0442348j -0.030939+0.107107j -0.090992+0.0840041j 0.0339874+0.109084j -0.0648197-0.000695699j -0.0357574+0.00763486j -0.155879+0.145993j -0.11943+0.14109j 0.00318059-0.0782339j 0.144536+0.0177322j -0.0191515-0.145849j 0.032884+0.0446823j -0.0190424-0.0845992j -0.155359+0.0187996j 0.0371843-0.0474247j 0.088826-0.0158709j -0.10271+0.101238j 0.0533191+0.0461258j -0.00972578-0.0361567j -0.0130907-0.0401386j -0.0487365-0.0553139j -0.00444101+0.0963601j -0.00724093+0.000370532j 0.0382264-0.00290925j 0.00907028-0.00664715j 0.0183906-0.0138467j -0.0125493-0.0425444j 0.00636716+0.00720023j 0.010277+0.00948246j -0.0199621-0.0109893j 0.0065022-0.0478589j 0.0310046-0.0127435j 0.0164314-0.0117818j 0.00259896+0.0212814j 0.0149087-0.00964717j 0.00216046-0.0209688j 0.0225898+0.010871j -0.00926052-0.0142706j -0.000421531+0.0032036j -0.0299354-0.0140495j -0.0127038+0.0114114j -0.0184866-0.00111566j -0.01605-0.0111158j -0.0265649+0.00329156j -0.0144443-0.0129116j -0.0094163+0.0133476j 0.00296288-0.0158062j 0.0113986+0.00750254j 0.0202363-0.013676j 0.00771275-0.00270562j -0.00528692+0.0366436j -0.00798808+0.00525963j 0.0527783-0.0106449j -0.0399718-0.026275j -0.0208328+0.0681084j 0.0255387+0.00135686j -0.0459484+0.0292527j -0.037529-0.0691178j 
0.0343889-0.0202474j -0.093529+0.0471276j 0.00781257-0.00642346j -0.0693992+0.0116536j 0.185004+0.0802491j 0.112792+0.0557692j -0.104976-0.0402512j -0.064769-0.0446258j 0.0850703+0.0216924j 0.0818258+0.0267464j -0.0794143+0.0934212j 0.0460378+0.0213136j -0.0764972-0.0201876j -0.0954313-0.0768673j -0.0521075-0.0299435j -0.058463-0.0627606j -0.0614892-0.0135382j -0.169497+0.0939224j -0.00790997+0.00677123j -0.0596553-0.0913435j -0.101432-0.08046j -0.137534-0.0908892j -0.0446133+0.0774391j 0.0322529+0.12094j -0.0069811+0.0851304j -0.0746242+0.043288j 0.0343528+0.0416836j -0.0334922-0.114436j -0.0724785+0.0221059j 0.0558016+0.0965962j 0.0662599+0.0600389j -0.0513839+0.0822441j 0.0308186+0.0666199j -0.0241691-0.0966084j 0.0113884-0.0153907j -0.0298924-0.0162409j 0.00116038+0.0222426j -0.00386733-0.0278053j 0.0153573-0.00864036j -0.0151686-0.0062652j -0.0137627-0.0154274j -0.0138309-0.0207704j 0.00381556+0.0139332j -0.0202693+0.00159235j -0.0155073-0.0124427j 0.0104443+0.00596442j 0.00525747+0.0145799j 0.0173646+0.00306404j 0.0108897+0.00385218j 0.00841726+2.23567e-05j 0.0153652-0.0208277j -0.00534779+0.00747282j -0.0047268-0.0119451j -0.00527205+0.0201167j -0.00501635-0.0147544j 0.00319467-0.00956247j -0.00422593+0.00273835j -0.0148857-0.0214292j 0.00853771+0.0208803j 0.00695108+0.011602j -0.00723289-0.00418252j -0.00513693-0.00722876j 0.00522933-0.0305242j -0.0215466+0.0188846j -0.0358492+0.000160988j -0.0116563-0.0206888j 0.0279439+0.0249098j 0.0348673-0.0041836j -0.0119906-0.0104411j -0.0128845+0.0313606j 0.0229951+0.0463338j -0.0462109-0.00472287j 
0.00300255+0.00942706j -0.00161189-0.00316446j -0.0196428-0.00483058j 0.0590506+0.0333175j -0.0478154-0.0545255j 0.0112031-0.00318731j 0.0120571+0.0154987j 0.0320973+0.017655j 0.000866358-0.000983836j 0.0173415-0.02718j 0.00874935+0.00430072j -0.0144201-0.0276793j 0.0443219+0.0265327j 0.0181741+0.0511211j -0.0033655-0.0322084j 0.0465405+0.0437909j 0.0332487+0.0377848j 0.00829295-0.0491014j -0.0156575-0.0107294j 0.018091+0.00747444j 0.000767017+0.0467602j -0.0551369+0.0171362j -0.0547399-0.00931975j -0.0528907+0.141446j -0.0308073-0.0691726j -0.0303055+0.0498741j 0.046719-0.0793237j 0.040967-0.14016j -0.0129023+0.0222449j -0.0301713+0.124774j -0.0382301-0.0278538j 0.0225821+0.0880649j 0.0273079-0.00306649j -0.0180972-0.0187975j -0.0145699-0.0284657j -0.0125+0.00706417j -0.00621351-0.0203109j -0.00105014-0.00462345j 0.0210533-0.0131711j 0.00177537-0.0017526j 0.00684315-0.0151212j -0.00322077+0.00580932j -0.00339104+0.00866108j 0.000591656-0.0106705j 0.0135956+0.00142175j 0.0128953+0.000670976j -0.000893139+0.00220083j -0.0145058+0.0125531j 0.0124402-0.00442573j -0.019486+0.0105679j 0.00820937-0.0066248j -0.00687991-0.00674294j -0.0129811+0.000477009j -0.0109212-0.0226088j -0.00497249-0.0165738j -0.00369187-0.0271987j -0.00171957-0.000321837j -0.00614919-0.00521748j 0.00303328-0.0072463j 0.00772621-0.000911038j -0.0184704+0.0306468j 0.0335404-0.0266525j -0.0050562-0.0375871j 0.0185484-0.0200387j 0.0352127+0.00613192j 0.00469773-0.0245549j -0.0288873+0.045792j 0.0425013-0.0738628j 0.0188475-0.0344423j 0.0258263+0.0462003j 0.0189877+0.0272608j -0.0117716+0.00418432j 
0.0462502-0.0208538j -0.0223323+0.0228587j 0.00752454+0.00121783j 0.0790264+0.0755838j 0.00517687-0.0962439j 0.0433136-0.044172j -0.0260162+0.0316872j 0.0128333+0.0850406j 0.0258966-0.0623317j 0.0415031-0.151934j -0.0156458+0.0269971j -0.0413881-0.0795183j 0.0189622+0.148042j -0.0159499+0.115181j -0.00023184-0.0793058j 0.011606+0.0212274j -0.0051888+0.117969j -0.0567125+0.0713827j -0.0117767+0.0337816j -0.0852058+0.017753j -0.0462029-0.0109771j -0.118793-0.120178j 0.00714337-0.0363921j -0.172788+0.07677j 0.0767126+0.106163j 0.0380829-0.00866913j 0.00851441+0.103361j 0.0707799+0.0368777j 0.0311475+0.111978j -0.0189549+0.00511157j -0.0666344+0.0182297j -0.0750211+0.0616067j 0.0443751+0.0591589j -0.033771-0.0596737j -0.021142-0.0144464j -0.0141021-0.0134795j 0.0133895-0.027257j 0.0174331-0.0115506j 0.0514489+0.0245365j -0.00910687+0.0376659j 0.0386245+0.00397429j -0.00636424-0.0145288j -0.00990699+0.0203091j 0.00121101+0.0020492j 0.0365541+0.0210398j 0.0245019-0.00612666j -0.00941377+0.0181432j -0.00968688-0.0201808j 0.0136718+0.0109065j -0.0201955-0.0292479j 0.000681784-0.00394196j -0.00918683-0.0119096j -0.0125285+0.000731956j -0.0238167+0.0296303j -0.00334356-0.0118978j -0.0165588-0.017055j -0.00453992+0.0115195j 0.000521851-0.00685106j 0.0144214+0.000907616j 0.022693+0.0126162j -0.0249043-0.0361268j -0.00395872+0.00585684j 0.00573861+0.00153074j -0.00245076+0.0160553j 0.000382748-0.0499304j -0.0106111-0.00320514j -0.0176981+0.0130132j 0.0146466+0.00736894j -0.0384934+0.00951473j -0.0330256-0.0335216j 0.0249022+0.0151587j 0.00219806+0.0121013j 
-0.0583542+0.0272077j 0.0219435-0.0140873j 0.00349506-0.00935828j -0.0263389-0.0017694j -0.00750753-0.0424928j 0.171301+0.0190745j 0.106395-0.080025j -0.0271606+0.010127j -0.214328-0.0621372j 0.073527-0.074507j 0.0947206-0.0184342j -0.0313014-0.0402794j -0.0811084+0.0478601j 0.0156741-0.0498077j 0.0647534-0.0279039j -0.0241755-0.0103739j -0.129665-0.00386946j 0.109041-0.00315183j -0.0471715+0.0314695j -0.0566071+0.0401524j -0.0656432-0.0781657j 0.0273317-0.137015j 0.138672-0.0279206j 0.0624732-0.0155071j 0.0586067+0.120428j 0.167118-0.10896j -0.0996294+0.0356888j -0.20825+0.067428j 0.0204447-0.032863j 0.101349-0.112825j -0.02466+0.0815913j -0.0827713+0.0115049j -0.122108+0.0372429j -0.0359878-0.0587654j -0.0303553-0.0214231j 0.0162778-0.0431852j 0.0221282+0.0056913j 0.0392226-0.00719615j 0.0130157+0.0281676j -0.0212115+0.0304437j -0.00928566-0.0116687j 0.0134783-0.0120721j 0.00369578+0.0187406j -0.01436+0.00768344j 0.00844809+0.00172026j 0.00422349+0.00993848j -0.0106389+0.0212353j 0.0204984-0.012615j -0.00719113+0.0164364j -0.000653756-0.032135j 0.0179986+0.00596973j -0.0179345-0.0164349j 0.0164578-0.00233067j -0.0135578+0.0125951j 0.0144152-0.0111104j 0.00284399+0.0175389j -0.0143836+0.0181909j 0.0194726-0.00620115j -0.0278288+0.0375357j -0.00114526-0.0100712j -0.0103894+0.0135741j -0.0258247-0.00122003j 0.0125861-0.00203008j -0.00979002+0.0051999j 0.00785319-0.0213115j 0.0212086-0.0111491j 0.0115591+0.00880467j -0.0624188+0.0283666j -0.00478369+0.0482121j -0.00320997+0.00147021j -0.0471016+0.0102125j -0.00238485-0.0280821j 
