-0.193253-0j -0.211698-0j 0.532047-0j -0.111575-0j 0.532047-0j -0.193253-0j -0.0683252-0j -0.111575-0j -0.118343-0j -0.0683252-0j -0.0176415-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.223149-0j -0.00269036-0j 0.193253-0j -0.669981-0j -0.197507-0j 0.00515786-0j 0.0788952-0j 0.55008-0j -0.139658-0j -0.240159-0j -0.103198-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.13665-0j 0.149693-0j -0.365505-0j 0.0788952-0j 0.118343-0j -0.422049-0j 0.667135-0j 0.0788952-0j 0.0988257-0j -0.149217-0j 0.0124744-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.193253-0j 0.216358-0j 0.17477-0j -0.111575-0j 0.167321-0j -0.20625-0j 0.350699-0j -0.119024-0j -0.365417-0j 0.369416-0j -0.344572-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.0788952-0j -0.263081-0j 0.0683252-0j 0.0455501-0j 0.353757-0j -0.240159-0j 0.0278937-0j 0.0393342-0j 0.250144-0j -0.438296-0j 0.293906-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.158287-0j -0.170969-0j 0.566977-0j 0.566977-0j -0.120893-0j -0.148063-0j -0.098709-0j -0.0854845-0j -0.0854845-0j -0.120893-0j -0.0604467-0j -0.0493545-0j -0.0604467-0j -0.0270326-0j -0.00589899-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.17697-0j -0.00210376-0j 0.148063-0j -0.151323-0j -0.429686-0j 0.0057919-0j -0.00121461-0j 0.617699-0j 0.0955746-0j -0.138138-0j -0.000743792-0j -0.167969-0j -0.137394-0j -0.122556-0j -0.0400797-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.144495-0j 0.156073-0j -0.126245-0j 0.120893-0j -0.231772-0j -0.141146-0j -0.468591-0j 0.0780363-0j 0.506172-0j 0.242032-0j -0.283228-0j -0.0946206-0j -0.170425-0j -0.0257696-0j 0.00538502-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.144495-0j 0.159508-0j -0.120893-0j 0.120864-0j 0.231772-0j 0.138138-0j -0.478906-0j -0.0832462-0j 0.163888-0j -0.231716-0j 0.0563946-0j 0.489903-0j -0.0588639-0j -0.279657-0j -0.160342-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.125136-0j 0.00148758-0j 0.323359-0j 0.107001-0j -0.0955746-0j -0.00397891-0j 0.000858857-0j 0.137394-0j -0.0798124-0j -0.301683-0j 0.00726247-0j 0.118772-0j 0.114735-0j -0.267654-0j 0.0283407-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.102174-0j -0.224364-0j -0.0892685-0j 0.0911916-0j 0.0780363-0j 0.202906-0j -0.129537-0j 0.226185-0j -0.170425-0j -0.0869311-0j 0.407157-0j 0.0275107-0j -0.493971-0j 0.270413-0j -0.412964-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0323101-0j 0.141516-0j -0.0270326-0j -0.306349-0j -0.0246772-0j 0.122556-0j 0.0817043-0j 0.258951-0j -0.0174494-0j -0.279657-0j 0.0500335-0j 0.193482-0j 0.183106-0j -0.332321-0j 0.0589769-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
