0.0915105+0.0450084j 0.156448-0.000429535j 0.126771+0.140528j 0.0244778-0.00175637j 0.0657442+0.0732847j 0.0242032+0.050786j 0.0503432-0.0836907j -0.00200783-0.0481182j -0.0362063+0.0761208j -0.0708297+0.087634j -0.106137+0.0319916j 0.0405269+0.0120322j 0.0308558-0.0754589j -0.0151102+0.00564867j -0.049364-0.00224536j 0.0503534-0.0925613j 0.199014-0.216586j 0.0785198+0.0186294j -0.266546-0.0122447j 0.0991976-0.087761j 0.00543623+0.13157j -0.114864+0.235978j -0.100793+0.0538593j 0.0454599+0.16241j -0.0481702-0.0462006j 0.149941+0.0376657j -0.0422109-0.13604j 0.0953558-0.117219j 0.284995+0.39697j -0.0154088-0.0841558j -0.155173+0.0037775j 0.0498214-0.00249218j -0.00486426+0.0239314j -0.0139678-0.0110256j 0.0456264-0.0275585j -0.033015+0.0171937j -0.0173642+0.037508j 0.0144595+0.010472j 0.0230515-0.00563033j 0.0431427-0.00218109j -0.0176441+0.00823444j -0.00903623+0.0222442j -0.00700597-0.00626695j 0.0232912-0.0240122j -0.0341281+0.00768996j -0.0248852-0.00802764j 0.00610488+0.00500909j -0.00402805-0.0210277j 0.00128831-0.00385926j -0.0269493-0.038231j 0.0578948+0.037468j -0.0211371-0.0411724j -0.0222203+0.00847392j 0.0156953+0.00328641j -0.0249528-0.0149179j 0.0363074-0.0195815j 0.0292099+0.0116001j 0.0509233+0.010682j -0.0873645+0.05103j 0.0352639+0.0223498j 0.00702537-0.104212j -0.0305495+0.063879j 0.00626891-0.0190888j 0.0485702-0.0274708j -0.0300225+0.0219442j 0.084934-0.00147929j -0.0523935+0.0814569j 0.132241+0.0787647j 0.072114+0.15887j 
-0.153237+0.0212193j 0.09408+0.0276101j -0.0130145-0.0160676j 0.0846085+0.125535j -0.00384202+0.0378681j 0.0145824-0.0427141j -0.00536834-0.13667j -0.0557253+0.158791j 0.0357058+0.119411j -6.03004e-05-0.014681j -0.00195896+0.149996j -0.0212351+0.0416219j 0.0268407-0.105104j -0.00189552-0.0332529j 0.0393099+0.0805264j -0.125707-0.0266343j -0.154037+0.00736735j 0.0442314-0.0124292j -0.154459+0.169289j -0.176268-0.134623j 0.0300341-0.115065j 0.214548+0.0752885j 0.246138+0.12838j 0.0826594+0.0141691j 0.0802792-0.0231048j -0.0499029-0.0408616j -0.150415-0.0520348j 0.306104+0.40404j -0.0995997+0.145741j 0.147062-0.0194066j -0.0125275-0.0864312j 0.0121602-0.0170679j 0.0234589+0.00864615j -0.0032524-0.0039031j 0.0246811-0.00206357j 0.0300085-0.0220911j -0.0461617+0.0150528j -0.00663765+0.00921891j -0.00266706+0.0133492j 0.00298126+0.00442926j -0.0595617+0.000970806j -0.0342027+0.00214644j -0.0223191+0.000702887j -0.0278133+0.00717843j 0.0285158-0.0100099j -0.011078-0.0311292j 0.00640962-0.00673014j 0.0334883+0.0205731j -0.0211792-0.0116178j 0.0408378-0.0259927j 0.00289377-0.0210094j -0.0378921+0.00826244j 0.052058+0.0104183j 0.0101843+0.01745j 0.0163201+0.0324515j -0.0170382-0.0188266j -0.00238567+0.0228908j 0.0215209-0.104594j 0.0148722+0.0416531j 0.00885239-0.057349j -0.109039-0.0396588j 0.0157748-0.0123546j 0.036124-0.0410349j -0.0297852-0.00150031j -0.0196116+0.0121089j -0.0516998+0.0727456j -0.0737681+0.003007j 0.0751328+0.154018j -0.148342-0.0676071j 
-0.0892857+0.047872j 0.0710091-0.0215949j 0.0312051-0.0107922j 0.0354297-0.00380599j 0.00972588-0.0541348j -0.0456907-0.0835272j -0.0344949-0.061705j -0.0624531-0.0598197j -0.036753+0.121244j 0.0648361+0.209049j -0.0786158+0.038385j -0.0732818+0.0154186j -0.0692633-0.174444j 0.0538166-0.049057j -0.147258+0.049779j 0.031906-0.0199404j 0.193937-0.0725773j -0.163821+0.212333j 0.0786791+0.0384912j -0.0829695+0.0946297j -0.212899-0.0986535j -0.0805176-0.0905113j -0.126447-0.0558888j 0.267806-0.120135j 0.0905721+0.285761j 0.0674098-0.0703793j 0.0703583-0.0755925j 0.046856+0.125373j -0.180877-0.125021j 0.0888753-0.0091855j 0.000271469-0.0139174j 0.00398293-0.0161265j 0.00643358+0.0053628j -1.22429e-05-0.00358892j 0.00262081-0.0338552j 0.00106288-5.1154e-06j 0.00459838-0.0053464j -0.00839241-0.0100513j 0.0215181-0.0249533j 0.00661392+0.0227792j -0.000903605-0.00498382j -0.0176355+0.00203076j -0.0342973-0.0065524j 0.0228198-0.0182931j -0.0161638+0.0123559j -0.00685319+0.0139668j -0.00502366-0.0144226j -0.00639396-0.0151285j 0.00776507-0.0159418j 0.0249042-0.00370158j 0.0112515+0.0347588j -0.0165073+0.00142043j -0.00768717+0.00134016j 0.013226-0.0583341j -0.0059077-0.0236453j -0.0403135+0.00132639j -0.00862627-0.0269518j 0.0025953-0.0474763j 0.0164349+0.00481908j -0.0259145-0.0129851j 0.0299061-0.0123747j -0.0354724+0.000598624j -0.0250902-0.0315362j 0.0375688-0.0315081j 0.0351617+0.00162728j -0.00250562-0.0158872j -0.0411415-0.00848001j -0.0169428+0.020496j -0.0361033-0.0364307j 
0.0831748-0.0653931j 0.0741011-0.0249497j 0.0270647+0.0710667j 0.0247578+0.0054335j -0.0205707+0.0107978j 0.216273+0.118635j 0.0334139+0.0882984j 0.0414252+0.0213949j 0.142841-0.151825j -0.140348-0.102625j 0.0231745+0.0587546j -0.0677351+0.108543j 0.054636+0.00324275j 0.0318209+0.0869948j -0.0827879-0.105507j 0.0677184+0.0355847j -0.0253202+0.0695757j -0.103341+0.135921j -0.0227737+0.0133584j -0.174589-0.24797j 0.267755-0.147813j -0.179686-0.120676j 0.00438735-0.148326j 0.237042+0.0120592j -0.163516+0.0887198j 0.0322258+0.137014j 0.107877-0.0188592j 0.102686+0.115336j 0.0582387+0.0406051j -0.0152849+0.00409117j -0.0878177-0.00279488j 0.0175864+0.0300253j 0.00111121+0.00185683j 0.00532933+0.0195534j 0.0207508+0.0316157j 0.000734535+0.00769738j -0.014738-0.00313605j 0.0105226+0.0150743j -0.00458172+0.0128435j 0.0300433-0.0288622j -0.0093696-0.00717334j 0.00735743-0.00137323j 0.034904+0.000832787j -0.0135207-0.00207651j -0.0132072+0.0180575j -0.0152875-0.00350478j 0.00989928+0.0196213j 0.0163658-0.0301719j 0.0282927+0.00499622j 0.0280646-0.005792j -0.0143402-0.0333009j -0.00304978-0.0131243j -0.00640744-0.0339252j 0.0216698-0.0103476j -0.0380285-0.0387959j -0.0110074-0.0345656j 0.0388328-0.00171501j 0.00791707+0.00586907j 0.00594271+0.00397916j 0.0329987-0.0423008j 0.0161018+0.019832j -0.0146042-0.00372799j -0.0162973+0.0380299j -0.0430034+0.00708446j -0.0290753-0.0195547j 0.0375908+0.0221086j -0.00769879-0.0180164j 0.039231+0.0085183j 0.00406033+0.0247459j 
0.0179591-0.0254897j -0.0428164-0.000968102j -0.0316685+0.0211337j -0.0745192-0.0293956j -0.132271-0.0385266j 0.0186674+0.0229245j -0.0238292+0.0245385j -0.0164027-0.0984199j -0.022537+0.102995j -0.0289824+0.154856j 0.00603546-0.00963544j 0.0352903+0.0870364j -0.208895-0.0430218j 0.178493+0.207784j 0.0571607+0.07441j -0.109837+0.139034j 0.038862-0.0471507j 0.0283707-0.00987213j 0.0817822-0.293394j -0.297495-0.0586813j -0.131122+0.195603j 0.190758+0.0817826j 0.0833821+0.0555569j -0.106326+0.0612293j -0.0228243+0.0336893j 0.0664087+0.0463832j -0.0637225-0.11304j -0.00898454-0.0642873j -0.00926204+0.0239223j -0.0265277+0.0149943j 0.0225675+0.0129269j -0.01751+0.010638j -0.0183068-0.0159415j 0.019046+0.0140912j -0.00958943-0.00943006j 0.000241562-0.00389108j 0.016504-0.0269268j -0.0130116-7.44388e-05j 0.01149-0.000381316j -0.00786291+0.00456448j 0.00750506+0.0067847j -0.000987157+0.0140871j 0.0111033-0.0264695j 0.0301053+0.00586816j 0.015914+0.0216672j -0.013098+0.00908331j -0.017964+0.032777j -0.00486137+0.0141655j 0.0347559-0.00406416j 0.00450842-0.00551603j -0.0191571+0.000184025j -0.011766+0.0181581j -0.0151481-0.020204j -0.0347264+0.045586j -0.010602+0.0193187j -0.0250159+0.0172275j 0.0155125-0.0360064j 0.0321961-0.0310705j -0.0261279-0.00942407j 0.0156816-0.00494661j 0.016373+0.0221648j -0.0111595-0.00104367j -0.00429806-0.0147568j -0.019807-0.0160914j -0.00076453-0.00338212j 0.00333429-0.00522941j 0.00193767-0.00533329j -0.0138607-0.00226483j 0.00218656-0.00324743j 
-0.111267+0.0512917j 0.0166139+0.00323413j -0.0320195+0.0409122j 0.0281094-0.0134592j -0.0936654-0.00397658j 0.210433-0.0456126j 0.0012923+0.142577j 0.0507166+0.11617j 0.0543865-0.104222j -0.0381162+0.0596954j -0.172885-0.0426427j 0.0398153-0.0414284j 0.089406-0.032579j -0.111066+0.0291773j -0.077516+0.224171j -0.0922543+0.157577j 0.0735423-0.110833j 0.0322898-0.167988j 0.0530169+0.0528624j 0.101845+0.0452018j -0.0952348-0.14093j 0.0280299+0.0149175j 0.129462+0.192407j -0.222012+0.127563j -0.184377-0.0954739j -0.0160624-0.0465353j -0.0432399+0.0825983j 0.00905474-0.0147454j -0.0447988-0.0501312j 0.0876136-0.00521181j 0.0406382-0.0160216j -0.0138513+0.00564421j 0.0113555-0.0141959j 0.0199496+0.0108034j 0.0238891+0.000584138j 0.0297812-0.0222804j -0.00726824+0.00643445j -0.000114247+0.00485672j 0.0130887-0.0104026j 0.00105477+0.0132481j -0.00630123+0.00435054j -0.000254768+0.00519412j 0.0182179-0.0151977j -0.0271319+0.0104486j -0.0137753-0.0391199j -0.0259501-0.0276248j -0.00215482+0.00997072j 0.0127974-0.0366307j 0.020237-0.00104418j 0.0115352-0.00385726j 0.000908316-0.0182032j -0.0382491+0.0435004j 0.00071131+0.0307831j -0.0114614-0.0155507j 0.000597542-0.0027686j 0.0315882+0.0179213j 0.0292141-0.0021134j -0.00198141-0.0151004j -0.0132772+0.0253179j -0.0134056-0.0106717j 0.036482+0.00111386j -0.00877659+0.0138223j 0.00577823+0.0271078j -0.02124-0.00485777j -0.0213802-0.0111496j -0.00887312+0.00112241j -0.00097205-0.0126308j 0.00855754+0.019729j -0.0277799-0.00264422j 
0.0044449-0.0289625j 0.0411352-0.0830735j 0.0281689+0.0859264j -0.0288218+0.045639j -0.124487+0.069594j 0.0149621+0.0499536j -0.0989438+0.107083j -0.0272596-0.0202653j -0.0192144-0.0103728j -0.0257252-0.0216599j -0.0337583-0.170345j -0.10299+0.00234577j -0.0775131-0.066777j 0.0578686-0.0794101j 0.220083+0.0682513j 0.210414-0.113739j -0.00260901-0.0198019j -0.00669449+0.0321166j -0.0853945+0.284123j 0.186179+0.124518j -0.0944211-0.39632j -0.151276+0.0282537j 0.0642324+0.0857092j -0.22593+0.169371j -0.0872075+0.0441483j 0.0386704-0.0622337j -0.03546+0.0134945j 0.0138788-0.0160558j 0.0115541+0.000302782j 0.0294754+0.00571252j -0.0395826+0.0373364j 0.0168039+0.0308652j -0.0106999+0.00632144j 0.018592+0.00423205j -0.0076081-0.00727543j 0.009619-0.0111034j -0.00510939-0.00826244j -0.0109872-0.00894087j -0.0119936-0.00254266j -0.0023341+0.012261j -0.00222409+0.00390148j 0.003418-0.00164033j 0.0334119+0.0112418j 0.0250931+0.026286j -0.0116405+0.0237611j -0.00158926-0.0116146j 0.0394672+0.045196j -0.0197831-0.0307516j -0.0321838-0.0154404j -0.00278539+0.00910316j 0.0199628+0.00318749j -0.00528403-0.0163868j -0.0131608-0.0174283j -0.00165997-0.00241305j 0.025101+0.026864j -0.0123879+0.00798737j -0.0319279-0.0303031j -0.00997715-0.0127576j -0.000244236-0.0110839j 0.0189451+0.00174559j -0.0136466+0.0188147j -0.0085763-0.00320488j -0.00946777+0.00932261j -0.0166443+0.00476777j -0.0047945-0.00831499j 0.00498572+0.00431607j -0.00920519-0.00429563j 0.0125318-0.00112088j 0.00595016+0.012928j 
-0.0465403-0.0120442j -0.0126077-0.0444883j -0.0962192+0.0421832j -0.000949868-0.037471j -0.137943-0.0401768j 0.121902+0.15987j -0.0293987+0.130333j -0.0669856-0.0705927j 0.0247893-0.057442j 0.0313806-0.0194471j 0.134889+0.0476659j -0.0413955-0.234617j -0.158942-0.12208j 0.0218386-0.269759j -0.109946-0.0107314j -0.242704-0.242246j 0.329152-0.0190657j -0.0390546+0.127721j -0.164505-0.109337j -0.134854+0.151769j -0.047447-0.0680433j 0.234308-0.0722029j 0.0841685+0.0140671j 0.0258933+0.2067j -0.153798-0.00835886j 0.106999+0.0285501j -0.0930725-0.00151191j 0.0196317-0.115639j -0.024184-0.0323393j 0.0479464+0.00668874j 0.0191937+0.0244662j -0.0277188+0.00830423j 0.00186956-0.0235088j 0.0222167+0.0259348j -0.00598067+0.0190442j 0.010865-0.0153048j 0.000729557-0.0274789j 0.00564538-0.0196906j -0.00679021-0.0112089j 0.000394845-0.0113441j 0.0167883-0.0146183j 0.0124371-0.0092042j -0.0201023+0.0228549j 9.06785e-05+0.017973j 0.0131118+0.0225705j -0.0254772-0.0177462j -0.0212713-0.02901j -0.00513951-0.0260428j 0.0151866-0.0235153j -0.00200161-0.0148012j -0.0290704+0.0448518j -0.00201446+0.00297557j 0.0192656+0.010568j -0.0213193+0.0206186j 0.00615259-0.0131233j -0.00260133+0.0160974j 0.011893+0.00702135j -0.00238188+0.0165754j -0.00316621-0.000422303j 0.00071374+0.0170454j -0.0184332-0.00521852j 0.0100868+0.00925156j -0.00553815+0.00491165j -0.0117266+0.0133121j -0.00870751-0.0140761j 0.00290215+0.00721857j -0.00737003-0.0119696j 0.0044724-0.00160645j -0.00918058+0.0042918j 
-0.039388+0.0170971j 0.0222594+0.00171851j -0.0293483-0.00128041j 0.020527+0.01189j 0.00756326+0.0459092j -0.0646496-0.00772614j -0.0878525-0.00284464j -0.269314-0.0517659j 0.117558+0.159453j -0.232172-0.068242j 0.122544-0.249299j -0.0128428+0.11741j -0.144315+0.035035j 0.334133+0.0563181j 0.331792-0.0678786j 0.175884-0.101553j -0.0477235+0.00397659j 0.0600162+0.072599j 0.0146365+0.172241j 0.0610583-0.0159309j 0.0485551-0.0242688j -0.0131335+0.00767764j -0.0371025-0.019245j -0.0844759-0.0466383j 0.0451169+0.0973346j 0.0563926-0.0706955j -0.0555131+0.0102305j 0.00909757+0.014961j -0.00883308-0.0378469j 0.0295277-0.0021012j -6.87735e-05-0.00379781j -0.00896578-0.00691299j 0.00467865+0.00323625j 0.00356147-0.0110783j -0.011625-0.00682163j 0.0082396-0.00547293j -0.0110654-0.0150178j -0.00849183+0.0158808j 0.0393773+0.0276841j -0.000901258+0.0277102j -0.00760229-0.0143918j -0.0258495+0.0284455j -0.0329415+0.000983743j -0.0140597+0.0183988j 0.0368956+0.00607889j -0.0279022+0.0257684j 0.00721152-0.0125241j -0.0366145-0.0178085j -0.0262443+0.00783992j -0.00102832-0.00576156j 0.0074593-0.00115892j -0.0331626+0.0323964j 0.0144594-0.00622158j -0.00819395-0.0180279j -0.0183301+0.00411627j 0.0314775-0.00653032j -0.00431538-0.00175795j 0.0119992+0.00843464j -0.012548-0.0121984j 0.00815195+0.000354233j 0.000137966+0.00707994j 0.00553806-0.00265599j -9.79386e-05-0.00654561j 0.00504631-0.00131385j 0.000240875+0.00150277j -0.00448199+0.000882065j -0.00344762-0.000543215j 0.00487784+0.00920981j -0.0106605-0.00433815j 
-0.0792252+0.000967116j -0.0635316+0.0878662j -0.00671201-0.022734j 0.0106952-0.00905995j -0.118162-0.00812563j 0.136398+0.0478744j -0.0784639+0.255165j 0.111009-0.0286039j 0.100401-0.200351j 0.176093-0.0116715j 0.0849576+0.290396j 0.0342989-0.0295921j -0.082574-0.128994j 0.0350445+0.0534207j 0.107508+0.190622j 0.256784-0.120618j -0.119573-0.143275j -0.0625912+0.123968j 0.102295-0.00442066j 0.029399-0.0714218j -0.0516002+0.0122078j -0.137005+0.181604j 0.067649+0.0205807j -0.0911684+0.0351176j -0.0938323-0.0379522j -0.00931568+0.107568j -0.0317172-0.00695172j 0.0168412-0.0747469j -0.0427317-0.0454523j 0.00931342+0.0245243j 0.0751578-0.0321564j -0.0170633+0.000804077j 0.0013669-0.0117368j 0.0269346+0.0057225j -0.0106164+0.0279449j 0.0350673-0.023366j -0.000937609-0.00599865j -0.00447733-0.00456374j -0.00227734+0.0251887j -0.0289051-0.010436j -0.0261846+0.00883119j -0.00387262-0.00988775j -0.0188166+0.00809926j -0.00175276+0.000266962j 0.0206189-0.00882869j -0.0048809+0.0174705j -0.0196428-0.0219599j 0.00072604+0.0144437j -0.00656734-0.00852057j 0.00710155-0.011874j 0.0046514+0.0262904j 0.0224186-0.0152382j 0.0142857-0.0223999j 0.0313738-0.0141536j -0.0145742-0.0112568j -0.0132537-0.00487191j 0.00322397-0.00128278j -0.000414345-0.00255325j 0.0032799+0.0177735j -0.00850722-0.0186265j 0.00672183+0.00963788j 0.00299311+0.00698871j -0.00220023+0.0119091j -0.0176842-0.0031575j -0.000675487-0.00699177j -0.0112664-0.00710757j 0.0115255-0.0103392j -0.0134555+0.00711912j -0.025243-0.0183076j 
0.0106164-0.00902515j -0.0555174+0.0291017j 0.0242101-0.0400814j -0.0187909+0.0542968j 0.0644319-0.00341404j -0.202233+0.0512869j -0.0313503-0.082073j 0.118645-0.0510217j -0.149408-0.104564j 0.227354-0.0630927j 0.105942+0.24104j -0.0762015-0.182802j 0.0471842-0.0188699j -0.18344-0.238265j -0.0151868-0.110965j 0.0891021-0.25087j -0.123442+0.0577149j -0.0562771+0.0648238j -0.138887+0.0946893j 0.0989085+0.117564j 0.00496594-0.0639113j -0.0425883+0.0365365j -0.0198938-0.0866526j 0.0800042-0.0270528j 0.131397-0.0516696j -0.0698251+0.0356582j 0.00554483+0.00640935j -0.00990045-0.000322493j -0.00178494+0.0285404j -0.0310961+0.00581377j 0.0291896-0.00492541j 0.00908608-0.00396102j -0.00862573+0.0194514j -0.00839085-0.0100534j -0.0299181-0.00510637j -0.0086656+0.0187167j 0.0272188-0.00366233j -0.0423209-0.0208021j -0.042711+0.0332686j -0.0433461-0.00636381j -0.0297372-0.0409753j 0.0031519+0.00929623j -0.00245104-0.00655992j 0.00471399+0.00129416j -0.0338286-0.0410313j -0.0144817+0.00793524j 0.0156416+0.0318871j 0.00799847-0.0138125j 0.0263192+0.00884331j 0.00579616+0.000912501j -0.00146106+0.00535469j 0.0179776+0.0173402j -0.000374087-0.00423403j 0.0022474-0.0110774j -0.00899794+0.0065445j 0.0203033+0.0173557j -0.00281354-0.0107628j -0.00322588+0.00536868j 0.00504675-0.00390173j 0.00425672-0.000863557j -0.00811407+0.00206165j -0.00688251-0.00443452j 0.0022921-0.000999119j -0.00368091-0.00564393j 0.00407932+0.00480088j -0.00503992-0.0063425j 0.00685761+0.00190593j -0.0137267-0.00259183j -0.000972417-0.00895083j 
