-0.158287-0j -0.170969-0j 0.566977-0j 0.566977-0j -0.120893-0j -0.148063-0j -0.098709-0j -0.0854845-0j -0.0854845-0j -0.120893-0j -0.0604467-0j -0.0493545-0j -0.0604467-0j -0.0270326-0j -0.00589899-0j 
0.17697-0j -0.00210376-0j 0.148063-0j -0.151323-0j -0.429686-0j 0.0057919-0j -0.00121461-0j 0.617699-0j 0.0955746-0j -0.138138-0j -0.000743792-0j -0.167969-0j -0.137394-0j -0.122556-0j -0.0400797-0j 
0.144495-0j 0.156073-0j -0.126245-0j 0.120893-0j -0.231772-0j -0.141146-0j -0.468591-0j 0.0780363-0j 0.506172-0j 0.242032-0j -0.283228-0j -0.0946206-0j -0.170425-0j -0.0257696-0j 0.00538502-0j 
-0.144495-0j 0.159508-0j -0.120893-0j 0.120864-0j 0.231772-0j 0.138138-0j -0.478906-0j -0.0832462-0j 0.163888-0j -0.231716-0j 0.0563946-0j 0.489903-0j -0.0588639-0j -0.279657-0j -0.160342-0j 
-0.125136-0j 0.00148758-0j 0.323359-0j 0.107001-0j -0.0955746-0j -0.00397891-0j 0.000858857-0j 0.137394-0j -0.0798124-0j -0.301683-0j 0.00726247-0j 0.118772-0j 0.114735-0j -0.267654-0j 0.0283407-0j 
0.102174-0j -0.224364-0j -0.0892685-0j 0.0911916-0j 0.0780363-0j 0.202906-0j -0.129537-0j 0.226185-0j -0.170425-0j -0.0869311-0j 0.407157-0j 0.0275107-0j -0.493971-0j 0.270413-0j -0.412964-0j 
-0.0323101-0j 0.141516-0j -0.0270326-0j -0.306349-0j -0.0246772-0j 0.122556-0j 0.0817043-0j 0.258951-0j -0.0174494-0j -0.279657-0j 0.0500335-0j 0.193482-0j 0.183106-0j -0.332321-0j 0.0589769-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
