0.0247519-0j 0.138789-0j -0.00117257-0j -0.00703027-0j -0.00508419-0j -1.96247e-05-0j -1.12278e-06-0j -0.00237632-0j -0.0165685-0j 1.44377e-06-0j -2.85025e-05-0j 0.000120794-0j -0.000208719-0j 1.33968e-05-0j 0.000920987-0j 9.74967e-05-0j 0.000679779-0j 0.000437578-0j 4.24786e-10-0j 1.00921e-05-0j -4.32658e-06-0j -5.99509e-05-0j 
-0.0227864-0j -2.85025e-05-0j 0.00249443-0j 1.44377e-06-0j -0.00015217-0j -0.00258339-0j 0.0545769-0j -1.72839e-05-0j 4.17254e-07-0j -0.00663883-0j 0.131062-0j 8.89728e-07-0j 0.000444013-0j 0.00179742-0j -4.65466e-08-0j -0.000207407-0j 5.00704e-06-0j 1.30967e-05-0j -7.3017e-05-0j 7.43357e-08-0j -3.18683e-08-0j -4.4158e-07-0j 
-0.00287514-0j -0.0162829-0j -0.00975068-0j -8.61757e-06-0j 0.00182597-0j 2.28529e-06-0j -4.79519e-05-0j 3.36066e-05-0j -1.00661e-05-0j 1.83324e-05-0j 0.0346391-0j 0.00102189-0j 0.166704-0j 0.000112811-0j 5.58559e-07-0j 0.000403279-0j -0.000120794-0j -7.81712e-05-0j 1.26528e-08-0j 0.000259037-0j 3.8242e-07-0j 5.29896e-06-0j 
0.09454-0j 0.000181909-0j 0.000145638-0j 0.00178234-0j -1.33968e-05-0j 0.0450305-0j -4.48309e-05-0j -0.0283975-0j -1.43504e-05-0j -0.00164081-0j -0.000167464-0j 5.20407e-08-0j 8.58181e-06-0j -0.0049232-0j -7.67489e-05-0j 0.0011651-0j 5.88773e-07-0j -0.000110936-0j -3.4419e-06-0j 2.16836e-09-0j 3.60549e-07-0j 4.99591e-06-0j 
-0.241643-0j 0.0287452-0j 0.00562305-0j -0.00145607-0j -0.00105301-0j 0.000386135-0j 2.7653e-05-0j 0.0113956-0j -0.00169784-0j -2.12538e-05-0j 0.000419585-0j 1.23782e-05-0j 0.00100091-0j -0.000130788-0j 9.43771e-05-0j -0.000467545-0j 6.96595e-05-0j 9.06286e-05-0j -1.46691e-08-0j 1.03418e-06-0j -4.43362e-07-0j -6.1434e-06-0j 
-0.000145638-0j 8.61757e-06-0j 0.0967511-0j -0.0165396-0j 9.24935e-05-0j -2.23912e-05-0j -2.42897e-06-0j -0.000329276-0j -5.09893e-07-0j 0.0351851-0j -1.83324e-05-0j 0.00010594-0j -2.91042e-05-0j -0.00110532-0j -5.47274e-06-0j -0.00395131-0j -6.11871e-06-0j 0.000765919-0j -1.23971e-07-0j -2.25343e-08-0j 0.00147169-0j -5.1919e-05-0j 
-7.08103e-06-0j -0.000120794-0j 0.0144149-0j -0.00119857-0j -0.000644895-0j 3.35921e-09-0j -2.33252e-08-0j 5.09893e-07-0j -0.000339889-0j -8.82833e-06-0j -8.89728e-07-0j 0.141971-0j -1.30988e-05-0j 5.58559e-07-0j 3.79163e-05-0j 6.11871e-06-0j -0.00407867-0j 5.55037e-05-0j 6.61283e-12-0j -6.05529e-05-0j -0.0101962-0j 0.000359705-0j 
0.000147675-0j 0.000828049-0j -0.19972-0j 0.00821632-0j 0.00442081-0j -1.17086e-07-0j 9.76278e-07-0j -7.0646e-06-0j -4.92567e-05-0j 0.000245914-0j 2.47835e-05-0j 0.0205744-0j 0.000181485-0j -1.16488e-05-0j 5.49482e-06-0j -8.47752e-05-0j -0.000591081-0j -0.000380483-0j -3.6936e-10-0j -8.77532e-06-0j -0.00147763-0j 5.21285e-05-0j 
-1.33968e-05-0j -3.73653e-05-0j -9.24935e-05-0j -0.000366104-0j 0.098922-0j -1.02196e-06-0j -8.8566e-08-0j -6.16623e-05-0j 4.46848e-06-0j -1.09575e-05-0j -1.11834e-06-0j 4.73953e-06-0j -5.45023e-06-0j 0.025079-0j -0.01183-0j -0.000739948-0j 5.36217e-05-0j -0.00332098-0j -3.2239e-09-0j 1.97481e-07-0j 3.28365e-05-0j 0.000454995-0j 
0.0282956-0j 1.76054e-05-0j 2.12538e-05-0j 0.000172497-0j -1.29656e-06-0j -0.308654-0j 0.000465022-0j -0.00414421-0j -1.03983e-06-0j 0.00544245-0j 0.000555468-0j 3.77087e-09-0j 1.25239e-06-0j -0.0014735-0j -5.56122e-06-0j 0.00017003-0j 4.26625e-08-0j -1.07365e-05-0j 5.98586e-05-0j 1.57119e-10-0j 2.61253e-08-0j 3.62003e-07-0j 
-4.48309e-05-0j -8.25165e-09-0j 2.42897e-06-0j -8.08493e-08-0j -8.8566e-08-0j -0.0276097-0j 0.0891474-0j 1.61931e-06-0j 1.6162e-10-0j 0.00392999-0j 0.000401103-0j 1.71424e-10-0j 1.43129e-07-0j -0.000340243-0j 1.73469e-09-0j 1.94318e-05-0j 1.93944e-09-0j -7.33396e-07-0j 0.0742968-0j 7.14267e-12-0j 1.18766e-09-0j 1.64567e-08-0j 
