0.00682819-0j -0.201164-0j -0.206139-0j 0.437094-0j 0.255456-0j -0.0478736-0j -0.000425216-0j 0.000901622-0j -0.0477589-0j -0.0339091-0j -0.0264458-0j 0.0221016-0j -6.98282e-05-0j -0.000483784-0j 0.00210807-0j -3.85736e-05-0j 0.00210302-0j -0.00445921-0j -0.00569254-0j -0.00261242-0j 0.0146052-0j -0.000267246-0j 0.0145702-0j -0.0308943-0j -0.0394391-0j -0.0180994-0j 0.030318-0j -0.0024485-0j 0.00712632-0j 0.00115661-0j -0.0169637-0j 0.0493726-0j 0.00437603-0j 0.0080132-0j 
0.206139-0j -0.177478-0j -0.533269-0j -0.374652-0j 0.0743995-0j -0.0205718-0j -0.0772813-0j -0.0542945-0j 0.0211239-0j -0.0148495-0j 0.0226678-0j 0.00482184-0j -0.00210807-0j -0.0146052-0j 0.00545346-0j 0.00232286-0j -0.0055998-0j -0.00393418-0j 0.00124976-0j -0.000760844-0j 0.0377827-0j 0.0160932-0j -0.0387965-0j -0.0272568-0j 0.00865857-0j -0.00527128-0j -0.0259869-0j 0.00209872-0j 0.00122425-0j 0.000201721-0j 0.0145403-0j 0.00848187-0j -0.00375089-0j 0.00139756-0j 
0.00371144-0j -0.221659-0j 0.223498-0j 0.159675-0j -0.276968-0j 0.0264458-0j 0.000461024-0j 0.000329371-0j -0.0259592-0j -0.037364-0j -0.116247-0j -0.0239627-0j 3.85736e-05-0j 0.000267246-0j 0.00232286-0j -0.000169558-0j -0.00228012-0j -0.00162899-0j -0.00309416-0j -0.00287858-0j 0.0160932-0j -0.00117473-0j -0.0157971-0j -0.011286-0j -0.021437-0j -0.0199434-0j 0.00663811-0j 0.00265469-0j 0.00154857-0j -0.001254-0j 0.0183922-0j 0.0107288-0j 0.000958129-0j -0.00868799-0j 
0.202346-0j 0.182167-0j 0.538795-0j -0.127542-0j -0.358916-0j -0.0211239-0j -0.0758593-0j 0.0179572-0j 0.0213341-0j -0.0139643-0j -0.0229027-0j -0.0515293-0j 0.00210302-0j 0.0145702-0j 0.0055998-0j 0.00228012-0j -0.00565554-0j 0.00133876-0j -0.0011564-0j -0.00373028-0j 0.0387965-0j 0.0157971-0j -0.0391827-0j 0.00927522-0j -0.00801181-0j -0.0258441-0j -0.00530227-0j -0.00212047-0j -0.00123694-0j -0.0037344-0j -0.014691-0j -0.00856977-0j -0.000765317-0j -0.0258727-0j 
-0.144563-0j 0.386264-0j 0.127542-0j 0.0853206-0j 0.256422-0j -0.0447907-0j -0.0179572-0j -0.0120127-0j -0.0152418-0j -0.0296097-0j 0.0163625-0j 0.0368143-0j 0.00445921-0j 0.0308943-0j -0.00393418-0j -0.00162899-0j -0.00133876-0j -0.000895579-0j 0.000826175-0j -0.00790962-0j -0.0272568-0j -0.011286-0j -0.00927522-0j -0.00620476-0j 0.00572391-0j -0.0547995-0j 0.0481577-0j 0.00151493-0j 0.000883712-0j 0.00266799-0j 0.0104958-0j 0.00612254-0j 0.00695097-0j 0.0184844-0j 
0.547719-0j 0.112419-0j 0.120248-0j 0.0859092-0j 0.0589156-0j -0.0283816-0j -0.0341085-0j -0.0243683-0j -0.0262615-0j 0.0397672-0j 0.0154267-0j -0.0425175-0j 0.00569254-0j 0.0394391-0j 0.00124976-0j -0.00309416-0j 0.0011564-0j 0.000826175-0j -0.00656888-0j 0.000612321-0j 0.00865857-0j -0.021437-0j 0.00801181-0j 0.00572391-0j -0.0455106-0j 0.00424228-0j 0.00357148-0j 0.00142829-0j -0.00415702-0j -0.00607282-0j 0.00989551-0j -0.0288007-0j 0.000515499-0j -0.0420738-0j 
0.255456-0j 0.356818-0j -0.0743995-0j 0.157755-0j 0.441832-0j 0.00866223-0j 0.031732-0j -0.0672841-0j -0.0424693-0j 0.00727556-0j -0.00954478-0j 0.0379506-0j -0.00261242-0j -0.0180994-0j 0.000760844-0j 0.00287858-0j -0.00373028-0j 0.00790962-0j -0.000612321-0j -0.00451838-0j 0.00527128-0j 0.0199434-0j -0.0258441-0j 0.0547995-0j -0.00424228-0j -0.0313043-0j 0.0109424-0j -0.000883712-0j -0.000515499-0j -0.00275177-0j -0.00612254-0j -0.00357148-0j 0.00157939-0j -0.0190648-0j 
0.000425216-0j 0.0249879-0j -0.0772813-0j -0.0542945-0j -0.031732-0j 0.141022-0j 0.00754065-0j 0.00529773-0j 0.140683-0j -0.199243-0j -0.155389-0j 0.129864-0j 0.000415735-0j -3.0127e-05-0j -0.0755581-0j -0.000458092-0j -0.075377-0j -0.0529566-0j 0.0338916-0j -0.0310245-0j 0.00547546-0j 3.31965e-05-0j 0.00546234-0j 0.0038376-0j -0.00245602-0j 0.00224825-0j -0.00376602-0j -0.0290779-0j -0.0169621-0j 0.0137356-0j 0.00210719-0j 0.00122919-0j 0.0519688-0j -0.000995376-0j 
-0.0477589-0j -0.0212094-0j -0.0211239-0j 0.0447907-0j -0.0424693-0j 0.232057-0j -0.140683-0j 0.298303-0j 0.238187-0j -0.0769066-0j 0.12819-0j 0.288417-0j -0.046694-0j 0.00338377-0j -0.0206528-0j -0.0257941-0j -0.0211985-0j 0.0449489-0j -0.0260946-0j -0.0415223-0j 0.00149665-0j 0.00186922-0j 0.00153619-0j -0.0032573-0j 0.00189099-0j 0.00300899-0j 0.00310681-0j 0.0239881-0j -0.0698167-0j 0.0422459-0j -0.00173834-0j 0.0050594-0j -0.0428721-0j -0.00306143-0j 
-0.085028-0j 0.368417-0j -0.0728812-0j -0.661941-0j -0.0306882-0j 0.0427039-0j -0.0105619-0j -0.0959284-0j -0.00871315-0j 0.0308253-0j -0.00934999-0j -0.00198891-0j 0.00437603-0j 0.030318-0j 0.00375089-0j -0.000958129-0j -0.000765317-0j -0.00695097-0j -0.000515499-0j 0.00157939-0j 0.0259869-0j -0.00663811-0j -0.00530227-0j -0.0481577-0j -0.00357148-0j 0.0109424-0j -0.015455-0j -0.000865677-0j -0.000504978-0j -8.32056e-05-0j -0.00599759-0j -0.00349859-0j -0.00223074-0j -0.000576465-0j 
-0.111285-0j 0.363036-0j 0.0194089-0j 0.0138664-0j 0.264767-0j 0.00229659-0j -0.0138235-0j -0.00987598-0j 0.0425162-0j -0.0733332-0j 0.00248999-0j 0.0757161-0j -0.00115661-0j -0.0080132-0j 0.000201721-0j -0.001254-0j 0.0037344-0j 0.00266799-0j -0.00607282-0j 0.00275177-0j 0.00139756-0j -0.00868799-0j 0.0258727-0j 0.0184844-0j -0.0420738-0j 0.0190648-0j 0.000576465-0j 0.000230538-0j 0.000134481-0j -0.00349316-0j 0.00159721-0j 0.000931708-0j 8.32056e-05-0j -0.0242013-0j 
