-0.0199415-0j 0.00177611-0j 0.133925-0j 0.00031615-0j -0.00233508-0j -1.43254e-05-0j -1.23067e-05-0j -0.00678386-0j 0.0448731-0j 7.25642e-07-0j 0.001573-0j -7.64806e-05-0j -0.00014768-0j -5.18459e-05-0j 6.58241e-06-0j 
-0.00237218-0j -0.00995904-0j 0.024664-0j 0.170266-0j 1.45287e-06-0j -0.0116342-0j 3.43247e-05-0j 1.30532e-05-0j -2.78002e-05-0j -6.15728e-06-0j 9.30764e-05-0j 0.00130466-0j 0.000411897-0j 6.34516e-09-0j -5.58536e-05-0j 
0.0965824-0j 0.000120161-0j -0.000146556-0j 7.08056e-06-0j 0.0351237-0j 0.000105755-0j -0.0234298-0j -0.00143595-0j -3.18655e-05-0j 0.00103618-0j -0.00502956-0j -7.78841e-06-0j 0.000961289-0j -2.11503e-06-0j -6.44942e-05-0j 
0.0143898-0j -0.000837803-0j -1.43254e-05-0j -0.00014913-0j -8.81293e-06-0j 0.141723-0j -0.00169789-0j 7.25642e-07-0j -4.59959e-07-0j -0.0071789-0j 7.78841e-06-0j -0.00519168-0j 6.96617e-05-0j 1.50574e-10-0j 0.000446829-0j 
-0.199372-0j 0.00574321-0j 0.000298757-0j 0.0010223-0j 0.000245485-0j 0.0205385-0j 0.0116392-0j -1.51333e-05-0j 1.60319e-05-0j -0.00104037-0j -0.000107909-0j -0.000752377-0j -0.000477536-0j -7.35632e-09-0j 6.47544e-05-0j 
-0.000120161-0j 0.0988186-0j -1.30532e-05-0j -2.97261e-05-0j -1.42352e-05-0j 6.15728e-06-0j -0.000336312-0j 0.0250528-0j -1.4082e-06-0j -0.0118176-0j -0.000911959-0j 6.60868e-05-0j -0.00403575-0j -6.21696e-08-0j 0.000547251-0j 
-3.18655e-05-0j 1.4082e-06-0j 0.000329787-0j 8.29791e-08-0j -0.0254715-0j -3.38039e-09-0j 9.38801e-07-0j 0.00323124-0j 0.09114-0j -3.31209e-08-0j -0.000241842-0j -3.62821e-08-0j 1.12656e-05-0j 0.064794-0j -3.00444e-07-0j 
0.0247629-0j 1.51333e-05-0j 0.000567603-0j 8.9174e-07-0j -0.278987-0j 8.84849e-06-0j -0.0029508-0j 0.00556135-0j 0.000382341-0j 8.66971e-05-0j -0.00128953-0j -6.51653e-07-0j 0.000121067-0j 4.25028e-05-0j -5.3962e-06-0j 
-0.00291017-0j 0.000171894-0j 0.0400834-0j 3.05974e-05-0j 0.00774531-0j -1.03802e-06-0j -1.19105e-06-0j -0.0020304-0j -0.307575-0j 5.258e-08-0j 0.000229558-0j -5.54178e-06-0j -1.42926e-05-0j 0.000719819-0j 4.76961e-07-0j 
0.0113758-0j -0.00206266-0j -0.240785-0j 0.0352645-0j -2.13878e-05-0j -0.0011922-0j 7.10913e-06-0j -0.000127433-0j 0.000546996-0j -6.3096e-07-0j -0.000446348-0j 0.000133694-0j 8.53096e-05-0j -1.87698e-07-0j -5.72353e-06-0j 
0.000576233-0j 0.0204667-0j 0.000127433-0j -6.15669e-06-0j 0.000209556-0j 6.3096e-07-0j -6.9655e-05-0j -0.244581-0j 2.77077e-05-0j -0.00121099-0j 0.0043733-0j 6.77217e-06-0j -0.00083586-0j 1.83906e-06-0j 5.60789e-05-0j 
8.58529e-05-0j -0.142701-0j 1.24562e-05-0j 0.000129672-0j -5.258e-08-0j 0.000845555-0j -5.04768e-06-0j 0.000123597-0j 3.99944e-07-0j 0.00839002-0j -6.77217e-06-0j 0.00451426-0j -6.05722e-05-0j -1.30927e-10-0j -0.000388526-0j 
-7.78841e-06-0j -6.60868e-05-0j -5.6208e-07-0j -3.8942e-06-0j -4.58936e-07-0j -3.81553e-05-0j -4.40579e-05-0j -5.50724e-06-0j -3.62821e-08-0j -0.000373844-0j 0.01458-0j 0.101013-0j -0.000528695-0j -1.14278e-09-0j -0.00339119-0j 
0.000107909-0j 0.000453031-0j 1.17222e-05-0j 2.66951e-05-0j 1.27837e-05-0j -5.52946e-06-0j 0.00030202-0j 0.000114854-0j 1.26462e-06-0j -5.41774e-05-0j -0.202007-0j 0.0146388-0j 0.00362424-0j 5.58306e-08-0j -0.000491451-0j 
0.000173989-0j -5.04768e-06-0j -4.29314e-08-0j -2.97437e-07-0j 1.02524e-05-0j 0.000852369-0j -0.142948-0j -4.2064e-07-0j -2.77121e-09-0j 0.00835148-0j -4.51478e-06-0j -3.12793e-05-0j -4.03814e-05-0j -8.72849e-11-0j -0.000259017-0j 
-1.5282e-05-0j -0.000129672-0j 0.000212959-0j -0.140471-0j 3.09831e-09-0j 0.0144561-0j 2.97437e-07-0j 3.71797e-08-0j -7.11906e-08-0j 2.52384e-06-0j 3.99054e-07-0j -0.000803546-0j 3.56925e-06-0j 7.71497e-12-0j 2.28941e-05-0j 
-2.8338e-06-0j 1.00046e-07-0j 3.92271e-05-0j 5.89526e-09-0j -0.00458499-0j -1.99995e-10-0j 6.66973e-08-0j 0.000384345-0j 0.0341652-0j -1.95954e-09-0j -2.1507e-05-0j -2.14657e-09-0j 8.00368e-07-0j -0.360016-0j -1.77753e-08-0j 
7.1385e-06-0j 6.05722e-05-0j 5.15177e-07-0j 3.56925e-06-0j 4.2064e-07-0j 3.49714e-05-0j 4.03814e-05-0j 5.04768e-06-0j 3.32545e-08-0j 0.000342648-0j 5.41774e-05-0j 0.000375352-0j -0.144435-0j 1.04742e-09-0j 0.00310821-0j 
