0.719012-0j -0.0787166-0j -0.0965414-0j -0.0626857-0j -0.394713-0j 0.343748-0j -0.101315-0j -0.13513-0j -0.151973-0j 0.372695-0j -0.173683-0j 
-0.139585-0j 0.307078-0j 0.526419-0j -0.524147-0j -0.343748-0j -0.0059498-0j 0.173683-0j -0.252481-0j -0.249891-0j 0.00672533-0j 0.297743-0j 
-0.0231268-0j -0.0886509-0j -0.151973-0j -0.0868417-0j 0.277791-0j 0.476213-0j 0.6846-0j -0.212718-0j -0.210536-0j -0.266309-0j -0.240613-0j 
0.0532164-0j -0.0507637-0j 0.056547-0j -0.0540499-0j 0.0160902-0j 0.0288365-0j 0.0179102-0j -0.0271211-0j -0.0257687-0j -0.0325952-0j 0.0307032-0j 
-0.00206532-0j 0.0231045-0j -0.0114013-0j -0.0951991-0j -0.0127957-0j 0.0640156-0j -0.0125345-0j -0.0189966-0j 0.0548705-0j -0.0237826-0j -0.0214878-0j 
-0.037138-0j 0.0640363-0j -0.0374228-0j -0.00457083-0j -0.00927684-0j 0.0377294-0j -0.00738758-0j -0.0523811-0j -0.0110814-0j 0.0409066-0j -0.0126644-0j 
0.0164503-0j 0.0377294-0j 0.0212581-0j -0.0126644-0j -0.078542-0j 0.0014173-0j 0.0998376-0j 0.0297552-0j -0.0307032-0j -0.000792588-0j -0.0350894-0j 
0.00289085-0j 0.0110814-0j 0.0189966-0j 0.0108552-0j 0.0179102-0j 0.0307032-0j 0.0175447-0j -0.0775986-0j -0.0768027-0j 0.0332887-0j 0.0300766-0j 
