0.0292838-0.038269j 0.158644-0.07731j -0.406361+0.103787j -0.236175-0.0711541j 0.268932-0.0677902j -0.378611+0.211582j 0.489388-0.146715j -0.297775-0.356391j -0.113263-0.183201j -0.531157-0.0403355j 0.253435-0.173455j -0.255832-0.61221j -0.658708+0.7405j -0.63219+0.293344j -0.378951-0.21023j -0.955582-0.298249j -0.613242-0.325116j -0.128866-0.102145j 0.744946+0.345475j 0.814242-0.732695j -0.454908+0.496544j -0.270202+0.275014j -0.688996-0.840494j 0.00051302-0.544171j 0.456939+0.78033j -0.984106-0.20448j 0.447178+0.461266j 0.401064+0.084941j 0.0309446-0.604322j -0.622009-0.0563463j 0.411971-0.110536j 0.215162-1.46322j 0.636065+0.433434j 2.05524-0.939242j 0.0492843-0.704104j 0.259439+0.15859j 0.397157-0.704076j 0.653568+0.710508j -0.407334-0.492799j 1.04341+1.19499j -2.14103+0.0155886j -0.501068+0.114129j -0.00760127-0.664534j 0.627161+2.38268j 0.31118-0.477033j 0.0557972+0.378651j -0.18396+0.836588j -0.223297+0.284397j 0.661524-0.760615j -0.818554-0.242844j -0.00805999+0.281159j -0.161129+0.276074j 0.321955-0.140053j 1.00759+0.450449j 0.625625+2.00302j 0.408664-0.836088j 0.583867-0.837487j -0.204522-0.093397j -0.214615+0.469508j 1.05733-0.443213j -1.04136+0.410288j 1.81048+0.640082j -0.746273-1.61199j -0.52597+0.185035j -0.64719+1.29779j -0.452712+0.586396j 0.559677-1.1731j 0.684371-0.692178j 0.884149+1.63695j -0.0893359+0.40559j 0.335785+0.109084j -0.814646-0.0809103j -1.07363-1.4188j 0.290226+0.278231j 0.71279+0.44031j -1.08933+0.217191j -0.0668864-1.24926j 0.230523-0.525465j 1.16266-1.32068j -0.93897-1.66126j 0.369674+0.9149j 1.88608+0.360606j 0.579777+0.00975948j -0.346661+1.61628j -0.226137-0.926159j 0.633498-1.40495j 0.412996+0.106694j 0.385293+0.166022j -0.403333+0.301114j 1.64859+0.156321j -1.34568+2.2893j -2.61584-0.904377j 
-0.0268389-0.223407j 0.129759+0.462913j -0.339313-0.682451j -0.314065+0.0028594j 0.629489+0.14331j -0.264019-0.52374j 0.57306+1.12529j 0.136168+0.0695774j -0.0598363-0.128464j -0.371418-0.826779j -0.476126-0.269252j -0.748251-0.805679j 0.0237737-0.0931401j -1.26791+0.168366j -0.120924+0.557721j -0.602834-0.578628j -0.00394175-0.470915j -0.126068-0.294199j 0.347868-0.318176j -0.677204+0.280529j 0.695485+0.600103j -0.204838+0.804632j -1.35121+0.378555j -0.316053+0.0186208j 0.240978-1.45624j 0.45027+0.919096j -0.341605-0.49256j 0.470966-1.00324j 0.0735971+1.03872j -0.0769094-0.915447j -0.0912437+0.0253551j 0.77217-0.561535j -0.118036-1.55528j -1.21211+0.624692j -0.168839-0.456436j -0.321613+0.165132j -0.713472+0.929964j 0.875234+0.78803j -1.09625+0.838225j 0.203632-1.20218j 0.892568-0.0998957j -0.391996+0.2158j 0.0399136+0.235747j -0.944239+1.9047j 0.0543847+0.110669j -0.63122+0.835072j -2.00519+0.846835j -0.112877-0.180571j -0.211116+0.439687j 0.0692754+0.749689j -0.0692761+1.74859j -1.03599+0.727641j 0.495714-0.922362j -0.450179-0.404956j -0.129496+1.6611j -1.16113+0.168697j 1.10962-0.552164j -1.01555+0.493782j 0.612478+0.972595j 0.982406-0.930785j -0.721198+0.0557124j -0.374272+0.0789635j -0.78175-0.594435j 0.832188-0.26935j 0.366154+1.85672j 1.08089+0.0361405j -2.00182+0.281055j -0.324223+0.380021j -0.259016-0.676462j 0.998404-0.229878j 0.770878-0.931705j 1.80039+0.118468j 0.73575+0.353288j 0.0860909+0.994188j 0.5282-0.64845j -0.408692+0.175359j -0.593928-0.177597j 1.73811+0.807675j 0.202432-0.918425j -0.89589+1.60738j -0.684532-0.933334j -0.980192-0.115783j 0.951447+0.544961j 0.0694604-0.84725j -1.1504-1.11276j -0.553629+1.35763j -0.214776+0.598543j -0.414644-0.475258j -1.72335-0.229373j -1.12069-2.43343j 0.229104-0.799809j -1.32091-0.930281j 
-0.447125+0.241049j 0.0530783-0.613868j -0.171185+0.592837j 1.03522+0.489564j 0.678266+0.356988j 0.0302924-0.774303j 0.330024-0.913794j 0.801795-0.163791j 0.383315+0.131902j 0.975594+0.841105j 0.0703248+0.770388j 0.825206-0.660077j -0.427504-0.482641j -0.014062-0.219745j 0.163719+0.280951j -0.370184+1.67536j -0.866842-0.303548j 0.779031+0.292115j -0.0187504-0.388115j -0.443817-0.271442j 0.835584-0.305105j -1.31885+0.0962017j -0.702401-0.826448j 0.245026-0.58931j -0.123129-0.420645j -0.155454+0.573771j -0.2927+0.432404j 0.6669+0.372544j 0.821004-0.297452j 0.90955-0.559296j -0.731338-1.0814j 1.4643+0.118301j 0.380104-1.25574j -0.376955+0.0417545j -0.35788-1.04712j -0.0523083+0.469626j 1.17009-1.13394j 0.387661+1.25335j 0.745028+0.299296j -0.432167-0.686027j -0.24123-0.920558j 0.0300404+0.214361j -0.967751+0.330635j 0.274693-0.363422j -0.338433+2.53019j 2.07509-0.0812216j 0.929591-0.716643j 0.248257-0.448569j 0.957127+1.31224j -0.836643+0.223005j 0.610142-1.61156j -0.324734-0.147657j 0.544068+0.886877j -0.373987+0.835349j 1.60956+1.34462j 0.118608+0.600918j -1.28677+2.55628j -0.0831122+1.00755j -0.599513-0.276823j -0.730263-1.46077j 0.0543234-0.125734j -0.0547997-0.215525j 0.187855-0.149021j -0.00478103+0.35379j -1.48874+0.457973j 1.11099+1.26428j 0.180676+0.778344j 0.680075-0.256938j 0.559539-0.514613j 1.31176-0.95635j 0.749346+0.580969j -0.0798921+0.353831j -0.0810714+0.363133j -1.34997-0.330223j -0.0762732-0.0985732j -0.751965-0.708145j 0.0684822-0.334788j -0.40991+0.0250367j 1.63517-0.0393758j -1.25616+0.698076j -0.867933-0.239799j -0.72542+0.749036j -1.6338-0.123905j -0.800187-0.267188j -0.0742144-2.45013j -0.702418-0.30829j 0.0607708+0.575296j 1.67152+2.49884j -1.2354-0.11999j -0.345372+0.276144j -0.485996-0.128439j 0.379641+1.09682j 
-0.420006+0.143303j 0.447717-0.594926j -1.15707+0.279563j 0.496105-0.459257j -0.709685-0.265001j -0.425758+1.21759j 0.530497-0.677225j -0.589512+0.30928j 0.193375+0.053731j -0.201887+0.364569j 0.139407-0.240509j 0.989135-0.549645j -0.156966-0.394306j -1.02565-0.990468j -1.34574+0.375759j 0.614385-0.250126j 0.829709+1.15723j -0.54608-1.07574j 0.376471-0.158479j -0.328002+0.0152852j 0.985933+0.0285007j 0.450151+0.376179j 0.039956-0.757803j 0.708413-1.17239j 0.12111+0.2272j 1.37162+0.102594j 1.26534-1.26159j -0.0531083-0.151153j 0.971844+0.559005j 0.265653-0.0420456j 0.312415+0.678264j -0.0717611+0.377785j 0.416534-0.0246144j -0.901133-0.890339j -0.497793-0.635466j -0.238802+0.574558j -0.586515+0.775031j -1.15991-0.575334j 1.7065+0.828727j -0.541926+0.869378j -1.13044-0.866373j 0.483336+1.21372j -0.338584-0.904167j 0.695949-0.358999j 1.01288-0.0994202j -0.381879+0.326626j 2.74171+0.452649j 0.749324+1.15094j 0.493407-0.679499j -0.560785-1.19441j -1.1966+0.376188j -0.249638-0.936683j -0.243024+0.124409j 1.11609+0.14105j -0.244216+0.621095j -1.51321-0.118156j 1.52072+0.446025j 0.539765-0.238453j 0.089565+2.45922j 1.4003+0.15286j 0.31245-1.19398j -0.742622-0.574154j 0.714585+1.42854j -0.678744+0.819896j -0.328809+0.269311j -0.721936+0.064061j 0.347268-0.209087j -0.598098-0.276859j -1.31679-0.521045j 0.312653-1.00086j 0.196932-0.95111j 1.29654+0.974286j -0.646146+0.759271j -0.281206-2.15992j 0.421071-0.636018j -1.40805+1.01649j -1.07321+0.563956j -0.114904+1.31806j 0.238094-0.211707j 0.608437-0.457638j -0.0343339+0.725722j -0.964502-0.301222j 0.826589-1.18633j 0.631635-0.15291j 0.83802-0.544365j -2.37153+0.817801j 0.365022+0.224698j -0.919781-0.503838j 0.567288-0.569835j -0.681912+1.53862j -0.698936+0.996085j 0.0442685+0.627689j 
-0.728523-0.519057j 0.0671269-0.612146j -0.418735+0.601701j -0.120093+1.20998j 1.53058+1.21193j -0.286797+0.519062j 0.253402+0.13032j -1.46071-0.331769j 0.0759852+0.656898j 0.777472-1.29579j 0.4981+0.412758j 0.579818+0.47268j -0.4041+0.782499j 0.180691+0.292485j 0.624427+0.347134j 0.161597-0.512933j 0.814492+0.538373j 0.106928-0.670096j -1.17327+0.395225j -0.0253971+0.119286j 0.525647+0.308499j 0.287946+0.106107j -0.308776+1.02912j -1.03103+0.863136j 0.676108+1.52095j -0.503165-0.284129j -0.577049-0.405241j 0.37048-0.496868j 0.647074+0.318997j -0.238687-0.906694j -0.970135+0.744379j -0.773298+0.362865j -0.138874+0.29528j -0.42917-0.923855j 1.35421+0.764606j -0.470309+1.56324j 0.701097-0.512135j -0.86605+1.18542j 0.454095-0.145844j 0.534099-0.686685j -0.375095-0.754221j 0.141482-0.193853j -0.271978+1.19904j 0.199901+1.5227j -1.97562+2.24j -0.36933+0.781093j 0.388051-0.714402j -0.313038+2.54352j -0.82986-0.70135j 2.20039-0.434467j -0.766908-0.978876j -0.0716988+0.689835j 1.72577+0.636108j 1.10029-0.351551j 0.633606-0.331476j 0.474344+0.833841j 0.71684-0.917751j 0.0277223-0.0808998j -1.42412-0.0251778j -0.0920342+0.396436j -0.689244-0.214046j 0.038014+0.710412j 1.18407+0.636855j 0.876046+0.32579j 0.871121+0.260455j 0.952197-1.37479j 0.619731-0.685501j -1.41975-0.25049j 0.197829+0.00665074j -0.0552906+0.601799j 0.337554-0.0110644j -0.185122+0.492782j 0.760454-1.14289j -0.32225+0.724714j -0.596403-0.860929j 2.01913+1.7098j -0.045192-0.524225j -1.23163+1.3985j -0.470879-0.929969j -0.314703+0.465936j -0.188327+0.23401j 0.934401+1.32363j 0.887947+0.0712431j 0.124504-1.05872j -0.30077+1.23749j -0.998756-0.493334j -2.05003-0.602449j 0.287753+1.59425j 0.288741-1.26953j -0.0606061+0.426113j -0.398667-0.0609405j -0.249418+0.0743968j 
-0.788268-1.04284j 0.531743-0.132968j -1.04113-1.21026j 0.82995-0.953405j 0.529449+0.734185j -0.00923777-0.0305332j -1.11087-0.651426j 1.0353+1.05619j 0.272885-1.03802j -0.320348-0.315549j 0.395203-0.384797j 0.0182296+0.797725j 0.459141+0.592269j -0.553643+0.711087j 0.229664-0.436154j 0.421492+1.48387j 0.0256957-0.427677j -1.54717+0.114026j 0.722187+0.441795j 0.352798-0.0471762j -0.56362+0.636275j -0.321311-0.171662j -0.0863354+0.3673j -0.505214-0.841534j -0.853716+0.52259j -0.265325-0.792694j -1.22582+0.0305537j 0.312344+0.135535j 0.44752-1.01723j 0.432527-0.893183j 0.273102+0.943912j 0.0163247-0.279148j -0.0150476-0.0773453j 0.416076-1.69087j -0.0456839-0.509546j -1.50414+1.15148j -1.00767+0.941325j -0.255439-0.374508j 0.348505+1.30207j 0.155807-0.272902j 0.491049-1.5212j -0.917969+2.74482j -1.5652-0.165679j -0.824795+0.295404j 1.25843+0.499519j -0.254324-0.194215j -0.446445-1.29132j 1.00299-2.03314j -0.631965-0.340052j 0.573351-0.498844j 0.367043-0.152715j -0.0501499-1.36646j -1.55939-0.921671j -0.4392-0.950955j 1.8356-1.237j 0.598944-0.5083j -0.507077+0.0227858j -0.51131-0.875928j 0.426808+0.658633j -0.113+0.0402522j -1.72042+0.772289j 1.11553+0.309044j -1.10808-0.25306j 0.00709347-0.802066j 0.0574029+0.171586j -0.994168+0.613223j 2.45995-0.144437j 0.681402+1.62877j -0.6358+0.135056j 0.543422-0.761061j -0.137561+0.45963j 0.195642-0.366286j 1.30556+0.88582j -0.574241+0.657801j 0.921395+0.591241j 1.1295+0.362847j 0.875062+0.180514j -0.325736-1.53974j 0.31415-0.654841j -0.243766-0.151599j 1.24441+0.906357j 0.310894+1.62613j 0.0198063-0.530306j -0.107798+0.160364j 0.0766652-0.558227j -2.14753-0.755489j -0.35086-0.470049j -0.543513-1.08626j -0.475285-0.396377j -0.878393-0.233657j -0.650645-0.188136j -0.202617-0.000736777j 
-0.403104+2.03478j 1.8142+0.0419425j 0.454859-0.811199j -0.183844+0.492644j 0.310347+0.519749j 0.43414+0.345466j -1.52965-0.264893j -0.755862-0.69601j 0.199078-1.15797j -0.35156+0.337657j -0.725631+0.0799999j -0.0202719+0.382924j -0.44428+0.584057j -0.0624196+0.594156j 1.02361-0.494505j -0.533035+0.353978j 0.189601+0.484896j 0.331657-1.28583j -0.0440166-0.128268j 1.4323+0.10231j -0.358117-0.56417j 0.602836-1.11855j 0.226881-0.66396j -0.338223+0.549804j 0.903158-0.899139j -0.373308-0.398587j 1.28888+0.240484j 1.40681+0.331948j 0.17443+0.95132j 0.380692-0.0277556j 0.565204-0.8381j -0.109005-0.856143j 0.0829129-0.0382266j -1.48899-0.109661j -1.09637-0.0428419j 3.07279-1.29913j 0.796344-0.0261622j 9.3045e-05+0.31359j 1.27838+2.75906j 0.167908+0.917502j 0.334498+0.0933414j -2.02456+0.089927j -0.00730078+0.471011j -0.244893+0.11014j -0.692773+0.0115125j -0.620198+0.0704865j -0.887719-1.3244j -0.288877+0.0459628j -0.7851-2.29157j -0.30378+0.00614214j 2.43182-1.07369j 0.277671-1.87027j 0.445356-0.772408j 1.18614+0.999609j -0.130451-1.11952j 0.346873+1.17085j 1.12477+0.163739j 0.202752-0.605599j 0.253354-0.541285j 0.0725669-0.998926j -1.07787+0.961107j 0.1337+0.216166j -0.192147-0.417955j 0.673822-1.72886j 0.463374+0.408263j -0.670557-0.726223j 0.790017+1.18243j -0.759781-1.10589j -0.317048-0.250585j -0.351739+1.40096j -1.82944+0.989024j -0.648383+0.0559489j -1.1416-0.795242j -0.260631-0.384622j -0.149075+0.347114j -0.571693-0.747701j 0.532044+1.11142j -0.483822+1.82102j 1.08885-0.39084j -0.1603+0.0459139j 0.167253-0.586099j -0.191986-0.5533j 0.731168-0.349552j 0.533063+0.943362j -0.458056-0.656149j -0.0011888+0.915015j 0.127769+0.465406j -0.462878+0.487351j -0.100915+0.639998j -0.0383466+0.0066912j -0.00897305+0.256362j -0.0724807+0.308965j 
0.0403147+0.141552j -0.0384862+0.164081j 0.31341-0.467908j 0.258142-0.172284j -0.266905+0.23834j 0.369642-0.380062j -0.491267+0.287869j 0.31507+0.350538j 0.123755+0.18691j 0.631805-0.160719j -0.243104+0.237724j -0.082945+0.496077j 0.334915-0.730663j 0.234783-0.172213j 0.365475+0.199517j 0.769112+0.368707j 0.829164+0.25196j 0.0355523-0.157897j -0.798157-0.07178j -0.855723+1.06402j 0.858802+0.461785j 0.125177+0.399649j 0.709535+0.918214j -0.0795355+0.235419j 1.18846-1.16832j 1.11794+0.325513j -0.868808-0.857366j -0.64078+0.108294j 0.177693-0.7127j 0.91844+1.56745j 0.387105-0.346744j -1.23226+0.271662j 0.156629-0.809291j 1.1885+0.468543j 0.890328+0.642211j 0.144523-0.109823j 1.11938+1.08562j 0.228763+1.18508j 1.06069-1.06118j -1.99478+1.74656j 1.24766-3.52485j 0.291952-0.884241j 1.58272+0.268996j -3.09982-0.916964j 0.346634+0.382964j -0.164205-0.197367j -0.152086-0.717862j 0.124804-0.280081j -0.270353+0.456431j 0.646206+0.242437j -0.0513659+0.0436772j 0.0799201+0.126332j -0.216904-0.0929434j -0.622684-0.14035j -0.279084-1.08081j -0.134105+0.58892j -0.153097+0.534585j 0.116257+0.140625j -0.145198+0.0729281j 0.0226573+0.0176855j 0.105679+0.012339j -1.31586-0.289509j -0.30252+0.730337j 0.422193-0.319298j 0.311734-0.695637j 0.269468-0.690293j -1.05454-0.408371j -0.281348-0.0763179j -0.556897-1.03114j 0.445096+0.340632j -0.831513+0.0219092j 0.18754+0.388103j -0.519145+1.47484j -0.713648-0.568022j -0.588118-0.725245j 1.04103-0.207056j 0.14928+1.05224j -0.0779811-1.33392j -0.338352-0.132863j -0.656476+0.859894j 0.431712+0.369745j 0.370279+0.12748j 0.348534-0.100384j -0.646712+0.536743j 0.763957-0.140919j 1.36698+0.114611j 0.16196+0.0365845j -0.0881735+0.340235j -0.586961-0.291653j -0.0122587+1.46804j -1.79129-1.7014j 1.37462-1.94002j 
-0.141384-0.206654j 0.369439+0.571797j -0.370731-0.551744j -0.321247+0.249963j 0.582233+0.465419j -0.361385-0.284065j 0.755033+0.348577j -0.250286+0.162323j -0.232284+0.0143461j -0.750463-0.70955j -0.313517-0.106808j 0.283831-1.41125j -0.620756-0.428075j -2.0132-0.518772j -0.0403606+0.558493j -0.580793-0.549993j -0.49094-0.949774j 0.370122-0.312335j 0.498261+0.336924j -0.634364+0.0500148j -0.94014+0.189621j 0.0110981-0.0331824j -1.00301-0.896095j -0.949132+0.758975j -0.382572+0.32057j 0.624789+1.0455j -1.18619+0.314437j 0.231443+0.276975j 1.31578-0.656946j -1.68699+0.539295j -0.18608+0.827239j -0.700116-1.50538j 1.5612-0.224227j 0.654109+1.01628j -0.981612+1.77948j 0.227218+0.248238j 0.911575+1.67181j 2.78614-0.955275j -0.130842+1.05848j -1.02241-0.878892j 0.415246-1.37508j -0.615558-0.205575j -0.820112-0.397582j 0.345144+1.90197j 0.0618365+0.119016j -0.298873+0.459206j -0.627179+0.373313j 0.0094235-0.0876418j -0.0444071-0.0843153j -0.450234-0.384764j -0.0911399+1.18845j -0.597264-0.0428468j 0.318648+0.0565619j -0.159043-0.0858555j -0.449901+1.49939j -0.435478+0.2546j 0.443206+0.162135j -0.555141-0.134807j -0.512753+0.0454224j 0.256347-0.322931j -0.216645+0.0609414j -0.303796-0.0479552j -0.220555-1.65596j 0.457557-0.0690537j -0.606934+1.21765j 0.387834+0.229132j 0.520671+0.509462j -0.317286+0.736556j -0.096571-0.546443j -1.1573-0.0414019j -0.334875+0.0607688j 0.650371+0.705246j 0.531166-1.16857j 0.0549447+0.147474j 0.529449-0.0201739j 0.399933+0.135413j -0.730763-0.130716j 1.23118-0.8586j -0.105563-0.560502j -1.28622-0.405345j -0.0914894+1.4217j 0.827013-0.311668j 0.590735-0.364761j 0.562905-0.2613j -0.720232+0.157325j 1.26305+0.514735j -0.336478-0.529941j -0.410242-0.291974j -0.875235+1.6404j -1.79537+0.132881j -0.81074-0.411736j -1.16563+0.512578j 
0.503911-0.385633j -0.233257+0.657902j 0.0603469-0.7271j -1.16783-0.739634j 0.262324+0.323664j 0.529266+0.371026j -0.621666+0.939812j -1.53462+0.0963366j -0.778219-0.354353j -0.176784-1.19042j -0.129355-1.10959j -0.956468-0.801895j 0.53086+0.385846j -0.479602-0.360407j -0.0145692+0.524232j 0.027072-0.220388j -0.513156+0.719203j -0.256171+0.23367j 0.888583+0.544595j -0.630938-1.36475j 0.885634+0.671433j -0.296135-1.12809j -0.642505-0.488401j 0.0693638+1.50754j 0.438076-1.79238j 1.00328-1.3612j -0.750213+0.946414j 0.872421+0.0549714j -0.75803+2.15123j -0.429012+1.17148j 1.84908+0.658945j 0.998555+1.35894j -1.81052-1.03755j 0.78961+0.0251486j 1.5413+0.382723j 0.0969899-0.342135j -0.611223+1.58287j -1.92031+0.429976j -0.53679-0.47666j 0.879305-0.288j 1.62362+0.970881j 0.073309+0.0212935j -0.349516-0.481144j 0.246315+1.45572j -0.021642-1.2032j -0.853632+0.0717525j -1.09392+0.286922j 0.157637+0.214726j -0.71911-1.17882j 0.0891817+0.633175j -1.27125+0.858042j -0.355654-0.0218623j 0.483167-0.284618j 0.252809-0.736569j -0.455933-0.113194j -0.389201-0.15975j 0.00972732-0.00160926j 0.255347-0.674289j -0.489478+0.938332j -0.593672+0.112741j 0.210902+1.05311j 0.225443-0.773931j -0.726998-0.523386j 0.349503+0.581428j 0.187374+0.503459j 0.10963+0.697949j -1.16379+0.256757j -0.131157+0.874526j -1.04222+0.217853j 0.692747+0.866362j 0.879687+0.314331j 0.456785-0.430316j 0.214858-0.714596j 0.260283+0.0897794j 0.313694-0.139948j -0.0562006-0.446839j 0.314897+1.16644j 0.638558-0.227931j -0.285074+0.0655204j 0.651261+0.516902j 0.227019-1.31362j -0.478545-0.795118j 1.39098-0.434613j -1.64329+0.00895321j 0.0190649+0.0700538j 0.549957-0.322538j -0.216039+0.231795j -1.76227-0.232461j 0.163997-1.39645j 3.99778e-05-0.394298j 0.505855-0.663265j -1.27224-0.0251489j 
0.385955-0.0128109j -0.367478+0.180454j 0.711566-0.51026j 0.0432174-0.119183j 0.808388+0.848448j 0.667417-1.45396j -1.16828+0.506007j 0.576359+0.114142j -0.267589+0.57094j -0.0214483-0.070128j -0.462868+1.1577j 0.743118-0.244856j 0.276345-0.593578j -0.0754017-0.359486j 1.51241-0.081677j -0.582671-1.41498j -0.711496-0.739902j -0.416367+0.344579j -0.0887829-0.702499j 0.878214-0.294163j -0.610173+1.49113j -0.428741+1.43972j -1.72552-0.679442j 0.6535+0.409219j 1.66268+0.0386524j -0.194477-2.14291j 1.21382+1.71575j -1.93254-1.17316j -1.3007+0.579324j 0.466118+0.325203j -1.51374-0.527736j -0.528633+0.131316j 0.493869-0.783064j 1.04854+0.000812764j -0.318356-0.262955j 0.00210802-0.310365j -0.745776-1.83572j 1.85201-0.587635j -0.6309+0.335366j 0.0680237-2.15439j 1.01024-0.0821955j 0.00203957-0.160546j -0.599833+0.0248646j -0.73316+0.470407j -0.128056+0.0769936j 0.162247-0.540736j -0.828755-0.682541j -0.282273-0.502377j -0.504149+0.623219j -0.189444-0.314407j 0.576933-0.168672j -0.638468+0.256953j 0.703698+0.754903j -0.526284-0.510518j -1.33804+1.00142j 1.02697+0.581463j -0.587528+0.116676j -0.636173+0.450568j -0.0846984-0.0726784j -0.0254461+0.605814j -0.814697-0.388548j 0.22391+0.404673j -0.808183+0.0759972j -0.517389-0.353078j 0.181052+1.05509j 0.401684-0.594289j -0.497048-0.943399j 0.159196-0.727954j -0.0881853+1.48081j 1.12151+0.510921j -0.600855-0.139102j 0.574996-1.22738j -0.0632777+0.180079j 1.0128+1.4223j -0.749164-0.454853j -0.834523-0.0550947j -0.198835+0.063429j -0.627876+0.336823j -0.789061+0.441422j -1.25344-0.677998j -0.332236-0.412555j 0.399535-0.452615j 0.0309712+1.22444j -0.123546-0.15809j -0.115027+0.0292972j -0.0784574-1.35501j 0.0262193+0.247093j 1.15275-0.483043j 0.299057+0.721282j -0.93739-1.00857j -0.142345-0.820467j -0.44974-0.0303302j 
