0.135573-0.0529033j 0.00666024-0.0314378j 0.073298+0.186949j 0.0175148-0.00696198j 0.000835197-0.0024088j -0.0012367-0.0454801j 0.0651022+0.0511332j -0.155802-0.0650074j 0.100352-0.166071j -0.00934901+0.00224064j -0.00442284+0.00938546j -0.0036608+0.0268835j -0.00693858-0.00407613j 0.0186813+0.0353144j -0.00778232-0.0126531j -0.0559288-0.0486337j -0.0282384+0.0115694j 0.0495658+0.0122961j 0.23767-0.149074j 0.0192862-0.0378689j 0.0485437-0.021659j 0.135868+0.286177j -0.123573-0.116415j 0.182519-0.116144j 
-0.010687+0.0687777j -0.0861813-0.118545j -0.0623237+0.0550658j -0.0406421-0.0260824j 0.0147195+0.0119939j -0.171834-0.0170247j 0.0290101-0.131241j -0.0416857-0.152608j 0.13297-0.0690994j 0.00682141+0.0164624j 0.0399433-0.00191176j 0.0741718-0.00349155j -0.0122559-0.0261639j 0.0532897-0.0723994j -0.029853+0.0313328j -0.14727+0.20998j -0.00662524+0.0322632j -0.0578974-0.0618874j -0.00975624-0.203767j 0.159167+0.0651425j -0.205847-0.0828457j 0.229612+0.00781334j -0.106394-0.201903j 0.109877-0.193392j 
-0.0358225+0.118848j 0.217054+0.0841143j -0.000208871+0.0256827j -0.0111677+0.0342089j 0.0632608+0.036024j -0.0413326-0.112215j 0.15034-0.0209793j -0.130064+0.0282311j 0.00240181-0.178348j 0.00995078-0.0351681j 0.0333738-0.0576271j -0.0125943-0.0961546j -0.0823576+0.12125j 0.0488421-0.178365j 0.0136399+0.00753511j -0.057133+0.129067j 0.254365+0.0243388j -0.045905-0.0574835j -0.10435+0.0932121j 0.122686-0.0362935j -0.242228-0.144725j -0.059908-0.171742j 0.0675949-0.202655j 0.03343+0.010103j 
0.037007+0.000337254j -0.0163181-0.103495j 0.0124761-0.101163j -0.179983+0.100507j 0.0982041+0.180739j -0.0248102-0.0438477j 0.0191823-0.0467329j 0.100249-0.184086j 0.181434+0.103157j 0.0403182-0.0677763j 0.0791061-0.0429363j -0.0240212-0.116013j -0.127262-0.102047j -0.107498+0.0677982j 0.110915-0.0531616j 0.0259374+0.179186j -0.190483-0.00190289j -0.0332028+0.175046j -0.108092-0.060134j 0.11059+0.0726026j -0.130695+0.0985081j 0.0321455-0.117093j -0.0788672-0.0461978j -0.0391834-0.0708177j 
0.0367127+0.116701j -2.79517e-05-0.0263868j 0.219223-0.0862145j -0.00213007+0.177425j 0.130283+0.0327612j 0.14998+0.0229049j -0.04239+0.111861j -0.0606442+0.0356236j -0.0108624-0.0314342j 0.0301924-0.0175789j 0.0705734+0.196913j -0.0672585+0.175736j 0.237586-0.144853j 0.113177+0.0383629j -0.109165-0.0994413j -0.0436007+0.0539272j -0.259337+0.0212492j -0.0539426-0.122143j 0.0183424-0.0022484j 0.0429446+0.177519j 0.086491+0.124892j -0.0145545+0.098787j 0.0309797+0.0626634j 0.00889854+0.0366813j 
-0.0136038-0.0719235j 0.0663632+0.0498324j 0.0835684-0.118765j -0.132593-0.0656063j -0.0373554+0.152069j -0.0295651-0.136342j 0.174875-0.0177281j 0.017853-0.0156668j 0.0445233-0.0246768j -0.101652-0.189193j 0.106192-0.202068j -0.221761-0.0117092j -0.214359+0.0813199j -0.162945+0.0588511j 0.0304404-0.199583j 0.0623015-0.0563643j -0.00271877-0.0336364j 0.144429+0.219564j 0.0225274+0.02956j -0.0515424-0.0770813j -0.0171576+0.0249262j -0.0757788-0.0110295j -0.0413061-0.00461323j -0.00877268+0.0161594j 
-0.135335-0.0504541j 0.0719841-0.189292j 0.00463683+0.0349909j 0.103542+0.169302j 0.159633-0.0685594j 0.0658037-0.0463547j -0.00719013+0.0469119j -0.000885557-0.00288336j 0.0176729+0.0079676j 0.18406+0.120834j -0.126605+0.126397j 0.143555-0.282156j -0.039285-0.0247248j 0.0314071+0.0394964j 0.235437+0.156708j 0.0442377-0.00824646j 0.0270817+0.0128975j -0.063338+0.041042j -0.0100272+0.0102194j 0.0226922-0.0313636j 0.00584549-0.00409801j -0.00149105-0.028522j -0.00307449-0.0104861j -0.00947533-0.00286782j 
0.0290298+0.127973j 0.00721438-0.00183127j -0.0321098+0.0061369j -0.0132592-0.00252105j 0.00614698-0.0161221j 0.0176113+0.0128414j -0.0218895+0.0102613j 0.136442+0.0123082j 0.0432354-0.106107j 0.00907228+0.00385414j 0.0173837-0.020124j 0.0125213-0.0185483j 0.00819882+0.0110097j 0.000547688-0.018487j -0.000622659-0.00223484j 0.0175155+0.0172698j -0.0025744+0.00366333j 0.00357501+0.0109154j -0.102303+0.088365j -0.0524773+0.0505252j 0.0252473-0.0335767j -0.0356718+0.0169665j -0.0447664+0.0650632j 0.157032-0.068079j 
0.0813843+0.0348187j -0.0178663+0.00670733j 0.00139442+0.0132686j -0.0213386-0.0172839j 0.0411919+0.00632871j -0.103576-0.026017j -0.0477766+0.104826j -0.0358016-0.0386507j -0.0629729+0.0188519j -0.00908686+0.0181239j 0.0387832+0.0122808j 0.0420031+0.00163759j -0.0306663+0.036339j 0.0391889-0.0144734j 0.00769386-0.00102121j -0.112566+0.090197j 0.00269899-0.00467997j -0.000676591+0.0377738j 0.0977069-0.00499271j 0.033532-0.00805074j 0.0103948-0.0482828j -0.0864737+0.0421582j -0.0781467+0.0272416j -0.175356-0.00503354j 
-0.0610116-0.0316975j -0.0196803+0.0305998j -0.00102419-0.0061424j 0.0182721-0.00335658j 0.0176097+0.0185124j -0.0431398+0.079421j 0.0342354+0.0675818j 0.0619541+0.0193649j 0.0230934-0.0289112j -0.0312167+0.0220945j -0.0429167+0.0512284j -0.0559123+0.0442626j 0.0605709-0.0155506j -0.0685511+0.0606542j 0.030169-0.0118123j 0.134133+0.0212155j 0.0118294-0.0205972j -0.00917772+0.0408131j -0.0637454+0.110618j 0.0487003-0.0158032j 0.00310039-0.076262j 0.0972235+0.0170198j 0.115012+0.0629897j 0.150326-0.0897236j 
-0.0144173-0.0497387j -0.0187151+0.000487008j -0.00161533-0.00609078j -0.11539-0.0222975j 0.0641286-0.107937j -0.0208452-0.0502429j -0.0691105+0.0452198j 0.0602678+0.0399408j 0.0343122-0.0455907j 0.0572435-0.00923324j 0.0463844-0.0691578j 0.0446876-0.0470196j 0.0503198-0.0781264j -0.0453313+0.0561647j -0.00322076-0.04149j -0.0726205-0.0115935j 0.0359175-0.0233144j 0.12168-0.0589003j 0.0664429+0.138411j 0.086555+0.0290789j 0.0137917-0.0455683j -0.0517287+0.0166583j -0.00233678+0.0279074j -0.0824961-0.201465j 
