0.0111677+0.0302952j 0.0514552+0.0044894j -0.122719+0.0389252j -0.0825446-0.0654868j -0.0190857+0.0515781j 0.0491021+0.124739j 0.0556128-0.00615852j 0.00179187+0.0672394j -0.043794-0.056149j -0.0776326-0.00767645j -0.000669916-0.00828894j -0.114374+0.0856071j -0.00419077-0.0915177j -0.102467+0.0293969j -0.0386741+0.114027j 0.0397781+0.1054j -0.0291318-0.0300812j -0.0157029+0.0912798j 0.0593227-0.038979j -0.128256-0.0350246j -0.0394533-0.00689873j 0.101028+0.0340427j -0.0359403-0.275853j -0.0932143-0.107206j 0.144996-0.20818j -0.172313-0.0607342j -0.0447605-0.0933264j -0.0874656+0.0353427j -0.117675+0.0109899j -0.0426634+0.0615903j 0.14627+0.1546j 0.078641-0.0244102j 0.117272-0.0428136j 0.0720313-0.022465j -0.0795978-0.0288796j 0.0460693-0.191272j 0.21425-0.106609j -0.00349343+0.184521j -0.0902465-0.0362604j 0.0119009-0.0780019j -0.0276439-0.0389011j 0.0152082+0.0227417j 0.00469611-0.0359691j -0.0534062-0.0285895j -0.0502346+0.0107826j -0.010221-0.0451854j -0.0248292+0.00989588j -0.0463405-0.00917875j -0.00228095-0.00454946j -0.00330329+0.029357j 0.0226756-0.00127891j 0.0215733+0.0491267j 0.00980046+0.0489489j -0.0094325-0.0324829j 0.0181841+0.0305484j -0.0503497-0.0107459j 0.0164834+0.0243131j 0.0350287-0.0513443j 0.00591299-0.0156572j -0.0223408-0.00478145j 0.00542495-0.0188591j -0.0135213+0.00198717j -0.00443732-0.0402091j 0.00333557-0.0525199j 0.00819051-0.00133563j 0.054736-0.0387489j 0.0422674+0.0130059j -0.0111305-0.00724496j 0.0359316-0.00858466j 0.00639427+0.081079j 0.0151361-0.0135259j 0.0348915-0.0112487j -0.0461582+0.0246218j 0.0562639+0.0175775j 0.0286731-0.0128598j 0.0342511+0.0304626j -0.000708366+0.00585686j 0.000490799-0.0112076j 0.0111082-0.0472406j -0.0339164+0.0171039j -0.0150617+0.0226869j 0.00434202-0.0114725j 0.0111713+0.0307291j -0.0626653-0.0351442j 0.0357031+0.0119156j -0.020964+0.00706996j 0.0327883+0.000676783j 0.0331632+0.00703012j -0.112374-0.0567574j 0.0376968-0.123784j 0.0352425+0.0237285j -0.0331295-0.00185789j 
-0.0575612-0.0122376j -0.00148537+0.0458764j 0.0874061+0.0437174j -0.108783+0.0846795j 0.0853247+0.0513666j 0.0278041-0.052536j -0.0778978-0.0599095j 0.0293067+0.0480197j 0.0111863+0.0664601j -0.0179734+0.128054j 0.0451338+0.0396567j 0.0327399+0.0835067j -0.0287879+0.0294638j -0.0373423-0.0846017j -0.057966+0.0743398j 0.0296759-0.00782992j -0.0156959+0.1366j -0.0670274+0.0207982j -0.0876177+0.0233677j -0.0766585+0.0745505j -0.169282+0.0385955j 0.115218+0.0920602j 0.179844-0.0466678j 0.0971402-0.107869j 0.0302133+0.17232j 0.113239-0.128092j -0.0391929-0.135832j 0.0710463-0.0178282j -0.157007-0.180648j 0.1396+0.0177218j 0.0633083+0.000259411j 0.0129877-0.0840071j 0.0426802-0.157319j -0.0542028-0.0747919j 0.0741158+0.105319j -0.20001+0.0183729j -0.0649938-0.259842j 0.198767-0.0660267j -0.0566845+0.0844936j -0.0868883-0.00714648j 0.0223413+0.0491326j 0.00317819+0.0414644j -0.0557297-0.0119424j -0.00193935+0.0538772j 0.0140293+0.051893j -0.0298902+0.0344221j -0.0214146+0.00452583j 0.0122302+0.02127j -0.0158361-0.0210805j 0.0302745-0.0264605j 0.00824169-0.00111731j -0.0190945-0.0124573j 0.00563264+0.00816281j -0.031425-0.0126952j -0.00992541-0.00374369j -0.0207317+0.00579216j 0.00228416+0.0150786j -0.000811448-0.0153645j -0.0150163+0.0220326j 0.0424402-0.00988643j 0.0206281+0.0629858j -0.00421458+0.00932944j 0.0320125-0.0470608j 0.0354039-0.0176958j -0.00189913+0.0334288j 0.0347081+0.0397442j 0.0322377+0.0182462j -0.0352855+0.0114458j -0.0167192+0.051099j -0.0549798+0.00988199j 0.0323393+0.00198594j -0.0396419+0.0528043j -0.0389389-0.0135051j -0.0351832-0.0176277j 0.0164122+0.0534902j -0.00852434+0.0381675j -0.0408124-0.0257615j -0.0127396-0.0428787j 0.00191073+0.00474392j 0.0243996-0.00414401j 0.00615048+0.01111j -0.0436486+0.0248501j 0.0177796+0.0144648j -0.00744098+0.0148838j 0.00983132-0.0407639j -0.0271962+0.0330818j -0.0363368-0.00851348j -0.0139304-0.00775738j -0.0443762+0.117479j -0.117549-0.0490655j -0.045961-0.00432251j -0.0363188-0.0307275j 
-0.0278965+0.0205736j 0.0174486+0.00494563j 0.0544547+0.0884686j -0.00774709+0.0789007j 0.110429+0.0171859j 0.0256907-0.0912013j -0.0111529+0.0284465j -0.00286423-0.0402005j 0.00883089+0.136276j 0.0393821+0.0706134j 0.0231794+0.0818935j 0.0672649+0.126724j -0.0026338+0.0114888j 0.184076-0.17608j 0.0869131-0.0579311j -0.137678-0.109427j 0.118692+0.000893149j -0.116631-0.0338274j -0.0388484-0.0287077j -0.0380148-0.121908j 0.0660354-0.00856004j -0.0101693-0.030642j 0.104895+0.00580529j -0.0864982-0.242914j -0.0250709+0.0472562j 0.0881955-0.0774846j -0.0771357+0.293161j -0.329555-0.0449278j -0.182497+0.129815j -0.0918788-0.00596533j -0.0231499+0.0830596j 0.0502084+0.350625j 0.107835+0.142102j 0.258356-0.129439j -0.0957313+0.206873j -0.132191+0.0932258j 0.115009+0.0602875j 0.0863536+0.0431908j -0.0353441-0.0376349j -0.0199366+0.0249601j 0.0155034+0.00368374j 0.0270223+0.0102158j -0.0233965-0.0112695j 0.00291494+0.0705608j 0.0216026+0.0323891j -0.00839119+0.0215981j -0.00243766-0.0244922j 0.021135+0.0134364j 0.00437527-0.0237544j 0.021229-0.0354976j 0.0167321-0.0119284j 0.00161967-0.0114162j -0.0295301-0.0260979j 0.01014+0.0202065j -0.0268589-0.0156339j 0.00335179+0.00689946j -0.00761734+0.00976043j -0.00481051+0.0303363j -0.0122746-0.00228433j -0.0173231-0.00149565j -0.0013954+0.0132346j -0.000792567+0.0180292j -0.00855354+0.0118486j 0.0174397+0.00541586j -0.00251397-0.0108785j -0.0199877+0.00696814j 0.0180351-0.0370539j 0.0198725-0.0327793j 0.0394205+0.00845161j 0.0212929+0.00736433j -0.0194169-0.00862544j -0.0160234-0.0369763j 0.0239617-0.00251366j 0.0283174+0.0141526j -0.00468809-0.00460009j -0.0264684-0.00107601j 0.00221234-0.030625j 0.00200781-0.012296j 0.0240557-0.0267108j 0.0139073+0.0199734j 0.00796206+0.00120265j -0.0249316+0.0128368j 0.0125602-0.00953393j 0.00491691+0.00122581j -0.037645+0.00662753j -0.0400206-0.0313563j 0.0102118-0.0447133j -0.036084+0.00298752j 0.00591091+0.0209704j -0.00377973-0.0092556j 0.00607563+0.0098234j -0.0139209+2.55239e-05j 
-0.0121223-0.0170221j -0.0303365+0.0102699j -0.0143064-0.116984j -0.00121426+0.00154354j -0.0964536-0.0485632j -0.0157086+0.0581683j -0.0389311-0.0530117j 0.0542558+0.0572766j -0.00386597-0.0156758j 0.0163422-0.0549674j 0.185784-0.145542j 0.0545809+0.0116832j -0.0398344-0.121019j -0.0920794+0.227978j 0.0889565-0.222425j 0.191122-0.00387319j 0.0210324-0.0708571j 0.0292579-0.0690462j -0.0338794+0.118501j 0.0638103+0.0161856j 0.0219439+0.0373878j 0.0876438+0.109704j 0.0258923+0.210716j 0.219543-0.149474j 0.0314554+0.00734068j 0.328518-0.0864148j -0.157869+0.0540281j -0.146549-0.0960819j 0.130728-0.223875j 0.0840977+0.16468j -0.0486872+0.0527747j 0.211657+0.0916265j 0.00595935-0.147368j -0.10156-0.22694j 0.116089+0.0212131j 0.0877947-0.0504632j 0.0079426-0.0227664j -0.0192172-0.0313582j -0.00277051-0.0438536j -0.0303808-0.0097014j 0.00554643+0.0308045j -0.0504476-0.0187042j -0.0130547+0.0449674j 0.0247324-0.0504925j -0.00359417-0.0343199j -0.00937071+0.00164837j 0.0105813+0.0331938j -0.00685995-0.00975648j -0.0121538+0.0043734j -0.0138971+0.0237772j -0.0478515-0.00854662j 0.0349286-0.032404j 0.0202251+0.0142535j 0.0126142-0.0103877j 0.0315061-0.0165105j 0.0475927-0.000216283j -0.0208782-0.0181694j -0.00166607+0.00723275j 0.00824789+0.000562987j 0.0154413+0.00454314j 0.0138234+0.00746088j 0.00247009-0.0132919j -0.00111667-0.0220867j 0.0191658+0.00637496j -0.0101435-0.0103248j 0.0269323-0.00345816j 0.00506571-0.00379996j 0.00952752+0.00736399j 0.0141903+0.01557j 0.0179765+0.00755828j -0.0432278-0.000449805j 0.00542988-0.0275023j -0.000913756+0.0244231j 0.0164047-0.0201858j 0.00798986-0.0150319j -0.00368015-0.00177715j 0.00352268+0.0103811j -8.54415e-05-0.00621732j -0.0161322-0.0258771j 0.00611574-0.00209639j 0.00882503-0.0243718j 0.0181146-0.00621145j 0.0141887-0.00470013j -0.00799516+0.00750824j 0.0219811+0.0196507j -0.00155483+0.0199361j -0.0232463+0.0132207j 0.00774242+0.0119532j 0.00673176-0.00400364j 0.013548+0.0170087j -0.00662581-0.00393623j 0.00357412-0.00342059j 
0.00735706-0.00537482j -0.000834721+0.00190505j -0.0426921-0.0522345j 0.0603847-0.042601j -0.0116656-0.0200654j -0.0392535+0.115293j -0.00791888+0.00669432j -0.0171411+0.026947j 0.0336139-0.110365j -0.0236992-0.106904j 0.0549964+0.129607j -0.0392126+0.0553637j 0.0243583-0.0332025j 0.0396097+0.0959349j -0.00113352-0.0396315j -0.325875-0.116865j 0.0101964-0.183272j -0.188427+0.0969494j -0.248284-0.06741j 0.0106408+0.279153j -0.213041+0.0761417j -0.152137-0.00977583j 0.0788652-0.200505j -0.078675+0.0915096j -0.089137-0.0681794j -0.028858-0.00477325j -0.00233661-0.106612j -0.0307788-0.307426j -0.0916118-0.298478j -0.119577-0.00372946j 0.105029+0.107686j -0.0126889+0.0849599j -0.045094-0.256333j 0.0886567+0.0464783j 0.127247+0.0340567j -0.0450776+0.0535799j 0.002346+0.028756j 0.0665196-0.0734329j 0.0288572+0.0169012j 0.00514069-0.0250638j 0.0110713-0.0293943j 0.0220376-0.0163344j 0.0312856+0.0155079j -0.0032304-0.0303069j 0.00212868-0.0101157j 0.0296917-0.0289294j 0.0119147+0.0203318j -0.00462708+0.0025032j 0.010207-0.00894596j -0.0194193+0.0123668j 0.0153244-0.0301108j 0.0191682+0.0407333j 0.00855818+0.00207318j 0.0192601+0.0061482j -0.00138769-0.0180167j -0.0108646-0.0401855j -0.0238236+0.00793018j 0.0438019+0.00780579j -0.0399485+0.0265385j 0.00886038+0.011635j 0.0217601+0.00681274j -0.00730261+0.0321076j -0.0229917+0.0231422j 0.0101954+0.00847266j 0.0231019+0.0129634j -0.0193914-0.00729286j -0.00963015-0.0303267j 0.00596198+0.00774392j -0.00226647+0.0329748j 0.00573255+0.0156975j -0.00070495+0.0247942j -0.0120854-0.00909887j -0.019781+0.0161121j -0.00760629+0.00444057j -0.00501761+0.0101415j 0.0215305-0.0306602j 0.000663348+0.00149931j 0.0186655+0.00717702j -0.0147846-0.00383562j 0.0187224-0.000660834j 0.0128923-0.00354604j 0.00102171+0.0285032j -0.0271326+0.01814j -0.00207939+0.0028937j 0.0124867+0.00568281j 0.0104634-0.00208817j 0.00208849-0.0004858j 0.00119824+0.00238549j 0.00232994-0.00863647j 0.0105992-0.00744306j 0.00438219-0.00076356j 0.00469503+0.00243894j 
3.15533e-05+0.00397938j 0.00872997-0.00798424j 0.0302342+0.0868852j -0.0177167+0.00834124j 0.0236857+0.00451957j 0.0467428-0.0859998j 0.0571545-0.0157837j -0.0459924-0.0589289j -0.035854+0.0598442j 0.0127143+0.189394j 0.145203-0.0571984j -0.0145469+0.0524977j 0.0477684+0.110385j -0.16992+0.358489j -0.159798-0.155877j -0.0130765-0.150271j -0.0622079+0.0485377j -0.246754+0.160468j -0.022436+0.17392j 0.034852-0.24304j -0.102169-0.252018j -0.0932065-0.182481j -0.0638641-0.124585j 0.040719-0.11636j 0.0379788+0.0368794j -0.115584+0.0448707j 0.0334563-0.0451086j 0.129692-0.00418858j 0.0746522+0.0155715j -0.00900744+0.0512533j 0.197061-0.263027j 0.0611541+0.34221j -0.105134+0.075122j 0.00837462+0.0556085j 0.148476+0.000684184j 0.105091-0.0860883j -0.0432727+0.0134603j -0.00485173+0.0646295j -0.00302-0.00150822j 0.00307709+0.0111201j 0.00135096+0.0120106j 0.00171674+0.0162298j -0.00605525-0.0329345j -0.000196219+0.0388565j 0.00188012+0.00882452j -0.031675+0.0174876j -0.0252572-0.0285439j 0.016579-0.0128376j -0.0207851+0.0118086j 0.000226141-0.0188894j -0.0227593-0.0138775j 0.0237165-0.0193906j 0.0274096-0.0080622j -0.0311507+0.0250991j 0.0463587-0.0116582j -0.00612795-0.0512139j -0.0141861+0.0108681j 0.0281721-0.000567378j -0.010784-0.0269033j -0.0428201-0.0121798j 0.00852677+0.01673j 0.0277674-0.0370043j 0.0212568+0.0225433j 0.00444151+0.0057761j 0.0195804-0.0119053j 0.000531069-0.0171113j 0.000976889+0.00650206j -0.00894341+0.00980302j -0.00596705+0.00468983j -0.0152654-0.0121j 0.0036738-0.0112762j -0.0104408+0.00447468j 0.00768613-0.0113054j -0.0228368-0.0149527j -0.000256514-0.0103858j 0.0107156+0.00320181j 0.0171175+0.0056196j 0.0185157+0.0068825j 0.0270197-0.0201383j 0.00576035-5.38886e-05j -0.00643557+0.002005j 0.00811138+0.00186171j 0.0205246+0.0188099j 0.0164914+0.00797741j -0.00687254-0.000944805j -0.00614668-0.000604924j 0.006682-0.00747818j -0.00139496+0.00420217j -0.00369016+0.00982442j -0.0101148-0.000465888j -0.00221279+0.00148121j -0.00416989-0.000357474j 
-0.00500465+0.0170354j 0.0385203+0.00309944j -0.0468082+0.0200127j -0.053769-0.0336589j -0.138314-0.0444671j 0.0930738+0.0095313j 0.122706-0.104252j -0.134668+0.0128823j -0.0396388+0.155922j -0.172026-0.017403j 0.161254-0.0831464j -0.0309334-0.115688j -0.150925+0.00419749j -0.0570293-0.233542j -0.028634-0.0194397j 0.0212582-0.0166126j 0.393088+0.134356j 0.0832223+0.247391j -0.00116504-0.0748236j -0.0998993-0.103271j -0.0717436+0.0239209j 0.157211-0.172974j -0.0266564-0.102998j -0.0807606+0.0633726j 0.159708+0.0554055j 0.196645-0.145863j -0.174627-0.278217j 0.0854001+0.00739993j -0.0405387-0.00446967j 0.0740514+0.118627j -0.120062-0.0463635j -0.0776226+0.0476989j -0.0366795+0.0228437j 0.0287873-0.046874j -0.0883501-0.0172215j 0.110136+0.0496362j -0.0293296+0.040364j 0.0235456-0.0189781j 0.027923+0.0148321j -0.00642336+0.00377546j 0.0295718-0.0486468j 0.0536204+0.0242283j -0.0186461-0.0107042j -0.0312147-0.0105425j -0.0368331-0.0257189j -0.0623467-0.00440502j -0.0374752+0.00319922j -0.0137352-0.0246232j -0.0400797-0.0322349j 0.03613+0.0011464j -0.0112459+0.0188737j 0.0194448+0.015772j 0.0071029+0.0123733j 0.0128543-0.0198766j -0.0115124+0.0025085j 0.00665543+0.0427227j -0.00913097+0.0236159j 0.0155947+0.0364972j -0.0185025+0.00234054j 0.0373251+0.0195968j 0.00628888-0.000852535j 0.013386-0.0141389j -0.0160439+0.00752884j -0.0113475+0.000237204j -0.0269881+0.00223764j 0.00257967-0.00278531j -0.00546743+0.0124482j 0.0197959-0.019182j -0.00477351+0.0330533j -0.0166774-0.0192083j -0.00401907-0.0264703j -0.00462903-0.00228365j 0.0106568-0.0174421j -0.0120007+0.00220031j -0.00740411-0.00661761j 0.0130906-0.0151771j -0.00991023+0.00840059j 0.0229706-0.0110779j 0.00715593+0.00356962j -0.0117174+0.00933751j 0.0056212+0.00649838j 0.0294951-0.0126804j 0.00468104-0.00652979j -0.0039543+0.0020282j 0.00905177+0.0033932j -0.00728504-0.00205276j 0.000958439-0.00218633j -0.000851747+0.00393683j -0.0013433+0.00210578j -0.00135105-0.00769415j 0.00767287+0.000621523j -0.00377082+0.00377993j 
-0.002993-0.00376357j 0.00137773-0.00198124j 0.0159088+0.0720275j -0.00375244+0.00391917j 0.0593315+0.0800162j -0.0812013-0.00734999j 0.00905032-0.0826297j 0.0585876-0.0303522j -0.313759-0.0465737j 0.0647946-0.205033j 0.0817408+0.0166659j 0.023651+0.168917j 0.0738244+0.205292j -0.116245-0.16711j -0.177715-0.0978265j 0.0786075-0.0952751j 0.0250879+0.0243292j -0.0324432+0.155481j 0.0740437-0.186052j 0.0105153+0.0453508j -0.159881+0.171276j 0.124083+0.0583255j -0.2474-0.0346428j 0.201467+0.0265745j 0.213049-0.00980593j -0.00884413-0.0656683j 0.159651+0.506972j 0.12981-0.0581086j 0.0406169-0.131751j -0.12712+0.0504343j -0.0225587-0.0212837j -0.0222634-0.0929625j -0.069323-0.0137449j 0.0600819-0.02168j -0.0186895-0.0253382j 0.0596625+0.000303419j -0.0366291+0.0143042j 0.00701139+0.0475714j 0.00397193+0.00563097j 0.00378593-0.000645049j 0.0119828+0.00232472j 0.00378612+0.0216709j 0.00116885-0.0229647j -0.00199843+0.0319148j -0.00550687+0.0394888j 0.0294839+0.0202383j -0.0243815+0.0111211j 0.0155577-0.017489j 0.0510864-0.023812j 0.0154395+0.0553236j -0.0305635-0.0169457j 0.0091052-0.0114463j 0.0401514+0.0264869j -0.0163328+0.0167469j -0.0171078+0.0192205j 0.00840814-0.00376385j 0.00735446+0.0110915j -0.000396178+0.0161222j -0.00731068+0.0184634j -0.00709064-0.00219665j -0.00256314+0.0101376j 0.00908574+0.00514114j 0.0022861+0.003659j -0.00922747-0.00031919j -0.00794322-0.0188199j -0.00251437+0.0164326j 0.0187037+0.00329433j 0.0234883-0.0203848j -0.00884216-0.00361818j 0.00158109-0.0222502j -0.00068263+0.0177645j 0.0112207+0.00224935j -0.0343979+0.00209546j -0.0115198+0.00803239j -0.0250401-0.0048139j -0.0228568+0.000354446j -0.00223514+0.044668j -0.0267049-0.00377778j 0.00718141-0.00557373j 0.0139171+0.00302584j -0.0130798+0.00237545j -0.00400225+0.0107435j 0.0117302-0.00180685j -0.00694-0.0039624j 0.00264457-0.00262822j 0.00301462-0.00804553j 0.000255799-0.0082581j -0.0037208-0.000961002j -0.00300074+0.00612376j -0.00448224-0.00540425j -0.000878769+0.00221708j -0.00495875+0.000177781j 
0.00353345+0.0177604j 0.00739788+0.0105236j -0.00612708-0.154427j 0.0932155+0.0548355j -0.0285894-0.180227j -0.0888111+0.0643488j 0.118475-0.0142371j 0.0762361-0.0708577j 0.068276+0.0519034j -0.0167774-0.179894j 0.0784153+0.12154j -0.0583965+0.0116809j -0.0925727+0.325763j 0.059954+0.215956j 0.263879+0.0731721j 0.00344907+0.0573112j -0.183421-0.0137024j 0.19017-0.0717633j 0.0767956-0.0382555j 0.0371688-0.120351j -0.135624-0.0954568j 0.306585+0.0262843j -0.055399-0.0637141j -0.134432-0.245083j 0.109016-0.18324j 0.068607+0.0226226j -0.0930242+0.0273941j 0.0417609-0.0579207j -0.0989456+0.0605801j -0.149891+0.110712j 0.0287119+0.00996327j 0.00416029+0.0432977j 0.189836-0.0523944j -0.023195+0.020808j 0.0133877+0.0237293j -0.0328849-0.0192458j -0.00666275-0.0496872j -0.0145393+0.00830452j 0.00101019-0.0190612j -0.0272444-0.00199307j -0.0163856+0.0151816j 0.00275442-0.0237531j 0.0148137+0.0873163j 0.0139467-0.0458133j 0.0215376-0.0575796j 0.0183606-0.0205242j -0.00795825+0.00865489j 0.0448228-0.02036j 0.0010054-0.0367372j -0.00848068+0.00206724j 0.00262995-0.00402404j 0.0140821+0.0137519j -0.0112904+0.00529662j -0.0172468+0.0496996j -0.00469684+0.0127048j 0.0112592+0.00325771j 0.018971+0.0259138j -0.00445945-0.0226123j 0.0247315-0.0188405j 0.0102189+0.0100602j -0.0034496+0.0301249j -0.0347342-0.0107738j -0.00680396+0.0119234j -0.0112457-0.034869j 0.0123979+0.00210348j -0.0211972-0.0195988j -0.00444188+0.00509248j 0.0147269-0.00692519j 0.0201143-0.0067744j -0.00243039-0.0189419j -0.00394532-0.0171601j 0.0121499-0.0154188j 0.00717793-0.00639894j -0.0189184-0.0199606j -0.000519875+0.0245393j -0.0147906-0.00256292j 0.0173269+0.00110529j 0.00786319-0.0229809j 0.00332043+0.00564906j 0.00306591+0.00779207j 0.00487294+0.00148812j 0.00372696+0.0145332j -0.0129895-0.00187945j 0.000818407+0.00326728j 0.00597254+0.00872458j 0.00245667+0.00993336j -0.0076321+0.00172927j 0.010417+0.00498216j 0.0162343-0.0101078j 0.0103451+0.00994797j -0.00364134-0.00450633j 0.00885702-0.002268j 
-0.0288307+0.0281357j 0.0190117-0.00333553j 0.175963-0.0676233j 0.109891+0.206738j 0.128251-0.0386207j 0.124944+0.00337992j 0.00471398-0.131024j 0.082122+0.315095j 0.0915865-0.193291j -0.0892415-0.0759969j 0.115634-0.0743417j -0.00133909-0.0397508j 0.240651-0.222963j -0.0179858+0.0157261j -0.11514-0.047819j 0.175871+0.0185272j -0.0129004+0.259325j -0.201759-0.0862906j 0.206358-0.0305376j 0.0540414+0.0824987j 0.173964+0.0720582j -0.0146013+0.0482595j 0.0260636-0.108221j -0.0115606-0.0949572j 0.111188-0.075706j -0.123786-0.000698307j -0.0369135-0.0361999j -0.00384692-0.169251j 0.0144385+0.130157j 0.0679172-0.105318j 0.0563935+0.0770352j 0.0336332+0.00569377j 0.0745314-0.0514316j 0.142377-0.0675674j -0.0507841-0.0742077j 0.0212024-0.0681651j -0.0348619+0.00395667j -0.0394784+0.0809336j -0.0107463-0.00981871j -0.0117874+0.00115071j 0.0380541+0.0259376j 0.0167651+0.0112378j -0.0233159+0.101075j 0.0819301+0.0318414j 0.080297-0.00739716j -0.0282318+0.0280952j 0.0118133+0.0742364j 0.026503+0.0424955j -0.0164994+0.0400061j -0.000321471+0.0383041j -0.000903254+0.016409j 0.0322495-0.00241858j 0.0205356+0.00981291j 0.026662-0.0208762j 0.0131302+0.00958972j 0.00706056+0.0102456j -0.0078403-0.0191087j -0.00227756-0.0121969j -0.00745743+0.00021086j 0.0123572+0.0230094j -0.0209489-0.000354396j -0.00633652-0.00502265j 0.0156501+0.0228015j -0.011283+0.0194088j 0.000339327-0.00884069j -0.0269388-0.000737897j -0.00612139-4.28047e-05j -0.00541398+0.0205697j -0.0182846+0.0073114j 0.00712791-0.0236016j 0.0154447+0.000715527j -0.00839432-0.000734794j -0.00767544-0.00944407j 0.00637784-0.00294673j 0.0040872+0.0123743j -0.0112626+0.00602715j 0.0145776-0.0145227j -0.000122335+0.00254282j 0.00044731+6.36165e-05j 0.0139495+0.00479627j 0.00804446-0.00446155j -0.0188294-0.0126337j -0.00495721+0.00571128j -0.00614358-0.00653202j 0.00317066-0.000706067j -0.00287066+0.00559887j -0.0179277+0.00356603j -0.00298662+0.00635366j 0.0162157+0.0140527j -0.00391118+0.00896459j -0.00662281+0.00454202j -0.00345-0.0022928j 
-0.000619059+0.000223948j 0.0248145-0.0144432j 0.0683234+0.138236j -0.153094+0.127364j 0.0407132+0.0107084j 0.120443+0.156593j 0.204248+0.0896592j -0.213421+0.108381j -0.0266112+0.0715092j 0.136261-0.325207j 0.0331932+0.0533127j 0.141337-0.0955321j -0.289827-0.182824j 0.0552054+0.134133j 0.0661132-0.19127j 0.00562679-0.206318j 0.0783659-0.133733j -0.0358372+0.0949664j 0.102107+0.0289742j 0.0101748+0.247569j 0.158756+0.0160275j -0.018232-0.095535j -0.0686114+0.0273021j -0.159649-0.0264851j -0.0689636-0.111873j 0.058409+0.0419378j -0.0196457+0.0494069j 0.00445097+0.119896j 0.0495935-0.048839j -0.012532+0.00479125j 0.0097405+0.0531609j 0.00528592+0.0174677j -0.070784+0.0208213j 0.0424702-0.0302281j -0.0315974-0.053563j 0.0656467-0.00990344j -0.0314157+0.0545502j 0.0116678+0.0335907j -0.00382514+0.0407111j 0.0110238-0.0123034j 3.12629e-05-0.00558391j 0.0243554+0.0220308j -0.0823195+0.0109494j -0.018209+0.0705988j 0.0259539+0.0390118j -0.0627109-0.0449882j -0.0585158+0.0027084j -0.0160233+0.0392031j -0.00422796-0.042047j -0.0302457+0.0414148j -0.0390252+0.0188483j -0.00910581+0.0277952j -0.0256875+0.0131203j 0.0123469+0.0109345j -0.0195767-0.0253939j 0.0190101-0.0220067j -0.0325123-0.00706629j -0.00889437-0.00287285j 0.0247722-0.00421352j 0.00826776-0.0100087j 0.0145633+0.0277297j -0.0203273+0.0123359j 0.0052681-0.0219496j 0.0302752+0.0100014j 0.00776789+0.0111379j 0.00206894-0.00160179j -0.000126127+0.00970123j 0.00130849+0.0136521j 0.00129132+0.0138441j 0.000546493-0.00422576j 0.00567066-0.00483713j -0.00935763+0.00210621j -0.0156686-0.00252071j 0.00728435+0.00819058j 0.0102496+0.00031353j 0.0014959+0.00780325j 0.0135773-0.0070591j -0.00373995-0.00745063j 0.00694051-0.00275514j -0.00643452+0.0195099j -0.0155504-0.00815338j 0.00374722-0.000650009j -0.00103937-0.00308859j 0.00214383-0.00726826j 0.000572659-0.00964604j -0.0136326-0.00285638j 0.00226917-0.00608447j -0.00809428+0.00404002j -0.00319353+0.00745103j -0.0097294-0.0121131j 0.0041525+0.00478513j -0.00459396+0.00434044j 
