0.308022-0.484225j 0.364704+0.220655j 0.319763+0.345881j -0.254093-0.00181104j 0.323398-0.338859j 0.3735-0.211828j 0.297405+0.491935j 0.237851+0.0652988j 0.0359266-0.212585j 0.040529-0.133266j 0.0474548+0.146988j -0.107678-0.0110687j 0.197368+0.000398182j 0.107359-0.00713083j -0.0502632+0.145315j 0.0386548+0.130945j 0.0309559+0.213049j 0.237141-0.0605204j 
0.0855371-0.071396j -0.0395249-0.129447j -0.240766+0.292181j -0.137353-0.181271j -0.0292681+0.0466047j -0.122072-0.0613145j 0.246552-0.0955286j -0.069552-0.0606768j 0.117762-0.107124j -0.537617-0.13939j 0.222835-0.351539j 0.0538087+0.162478j 0.0161438-0.00799075j 0.11343-0.305227j 0.0688987+0.0406499j -0.126796+0.0808114j -0.258034+0.0745619j 0.0272406+0.395022j 
-0.24502-0.0982019j 0.126281-0.0589367j 0.0318143+0.0408743j 0.139961-0.176787j 0.23823+0.294915j 0.0433655-0.128851j -0.0877905-0.0691487j -0.0336846+0.394015j 0.253969+0.0823734j 0.133027+0.0799127j 0.0689709-0.0321996j 0.110721+0.304478j -0.0141344-0.00998546j 0.0593824-0.156544j 0.216801+0.355068j 0.543026-0.132423j -0.110934-0.110289j 0.0671995-0.0639456j 
0.00109931-0.0303486j -0.048026-0.0577694j 0.00363424+0.0712074j 0.0593974-0.0670694j -0.0682845-0.0865605j 0.0240554-0.0554187j -0.0828599-0.034625j -0.0327481-0.0234343j 0.104889-0.00925659j -0.121851-0.0672468j 0.0671688+0.167394j 0.0935678+0.0510023j -0.360365+0.0290961j 0.193115+0.0447248j -0.0777171-0.217158j 0.110301-0.0772141j 0.0851574+0.0613165j 0.211575+0.0662479j 
0.0140363+0.00923667j 0.0932175+0.00894396j -0.0927876-0.0447028j 0.0364977+0.122132j 0.148049-0.0155387j 0.0305912+0.05484j 0.0887079-0.0506768j -0.0385889+0.0397933j 0.0150171-0.0499451j -0.114692+0.0616019j 0.0704296+0.0591709j -0.00301999+0.0523174j -0.153477+0.137485j 0.175063+0.0216623j -0.0930312-0.0858011j 0.00575054-0.134199j 0.0280787+0.00869089j 0.118756-0.079806j 
0.121313-0.0298185j -0.0274312-0.084048j -0.0136699-0.0476119j -0.00840766+0.0513066j 0.058928-0.0091223j 0.115076+0.00571691j -0.00989459-0.120413j 0.0702031-0.0971755j 0.0916411+0.0388056j 0.110772-0.114386j 0.0681723+0.0121468j 0.209645-0.115672j -0.0716872+0.00466438j -0.120414-0.215712j -0.0726089-0.00128623j 0.0215846+0.160272j 0.108727+0.00351702j 0.00903965+0.105302j 
0.00477671-0.120655j -0.11522+0.00916116j -0.0612854-0.00489919j 0.00755006+0.0520105j 0.0109117-0.0476262j 0.0230579-0.0850527j -0.123105-0.026291j -0.00693278+0.103605j -0.107604+0.00223779j -0.0204508+0.159027j -0.0756232+1.65549e-05j -0.122033+0.217731j 0.0714809+0.00114143j 0.207965+0.116226j 0.0681768-0.0103767j -0.111669-0.1139j -0.0926115+0.038397j -0.0721165-0.0952258j 
0.0906941+0.0486293j 0.0250526-0.0560318j 0.147956+0.0131254j 0.0342024-0.121701j -0.0917911+0.0457733j 0.0947804-0.0106045j 0.0111205-0.0111214j 0.119461+0.0803478j 0.0299196-0.00835279j 0.00705469+0.133006j 0.0896953-0.0865534j -0.175028+0.0237631j -0.153103-0.138894j 0.000971429+0.0503879j -0.071215+0.0597865j -0.115432-0.0605227j 0.0146194+0.0501529j -0.0397681-0.0384106j 
0.0839176-0.0368921j -0.0272298-0.0530624j 0.0664548-0.0885488j -0.0609589-0.0652239j -0.00432219+0.0701848j 0.0476762-0.0590316j -0.00314787-0.0301176j -0.210608+0.0644223j -0.0884307+0.0636697j -0.111414-0.0728011j -0.0742215+0.216853j 0.192682-0.0449827j 0.361123+0.0302662j 0.0994101-0.0510012j 0.0673659-0.169743j 0.118916-0.0684481j -0.104756-0.00903264j 0.030571-0.0244576j 
0.00307183+0.00514017j 0.0185126-0.00464152j -0.030009+0.00283024j -0.0318201+0.0293308j 0.0250939+0.0140365j -0.0530624-0.00618531j 0.0225839-0.00253767j 0.0150707+0.0111053j -0.0172698+0.0342104j 0.0352263-0.0624493j -0.00905715-0.096186j -0.0429707+0.000705923j 0.0862557-0.0357067j -0.0802131+0.00182761j -0.0897117+0.0607305j -0.0135006-0.1029j 0.038845-0.0750161j 0.0225721+0.0829864j 
-0.00260337+0.0238279j 0.0311955+0.00605463j -0.034291+0.0600296j -0.00744988+0.104653j 0.0310871-0.0334912j -0.0347548+0.0877255j 0.0194619-0.0595769j 0.0133068+0.0397376j -0.053709-0.0275281j -0.033455-0.0107209j -0.0496073-0.0571703j -0.0345013+0.062607j -0.00214747-0.0212709j 0.0385512+0.14282j 0.076306+0.0171284j -0.0212497-0.00346183j -0.00147932+0.0679371j -0.0176737+0.0528258j 
