0.0544186-0.290129j 0.394402+0.00476248j -0.0478808-0.290894j 0.380917-0.107739j -0.283786-0.468614j -0.122698-0.000249023j -0.291515+0.464334j 0.379172+0.11462j -0.193195-0.179348j 0.138427-0.329346j -0.0139171+0.0232508j -0.226495+0.0600274j -0.0641772-0.00738608j 0.117434+0.0340335j -0.166118+0.0925852j -0.165106-0.0935112j 0.118908-0.033681j 0.0594337-0.00773668j -0.226871-0.0646919j -0.0142588-0.0218006j -0.132944-0.32974j 0.194509-0.174912j 
0.0585344-0.199844j -0.0272813+0.0598047j -0.117549+0.171915j 0.109791+0.268605j 0.150551-0.0219532j 0.230987+0.0629238j 0.117008+0.0962402j 0.232218-0.174876j -0.0526502+0.135865j -0.131238+0.110566j -0.180632+0.324882j 0.222721+0.134848j -0.0993811-0.0592037j 0.264857+0.249566j 0.0691553+0.112383j 0.125508+0.00404938j -0.173018+0.124347j 0.126781-0.145578j -0.199223+0.200504j 0.25462+0.163086j 0.150862-0.232438j 0.184422+0.250737j 
-0.117625-0.171373j 0.0290643+0.0589828j 0.0585388+0.199466j -0.229473-0.17949j -0.120949+0.094061j -0.233346+0.0611557j -0.150634-0.0242945j -0.113604+0.268841j 0.189279-0.2477j 0.143312+0.234536j -0.257476+0.155179j 0.19117+0.20043j 0.132155+0.152853j 0.168641+0.125492j -0.127423+0.0035661j -0.0700837+0.110835j -0.26517+0.244977j -0.108275+0.0631889j -0.222769+0.126924j 0.174413+0.32818j -0.130651-0.108984j -0.0510593-0.13844j 
-0.017311-0.0748425j -0.0753626-0.00334334j 0.0505667-0.0275902j 0.074138+0.0904375j -0.104781+0.0785026j 0.132267+0.0491378j -0.0749353+0.0730243j -0.161936-0.0150796j -0.0791683-0.0210657j -0.0449707+0.0584992j -0.109195-0.00709508j 0.0229537-0.103586j 0.0882502+0.0393151j -0.225387+0.155094j -0.130242+0.106063j 0.132747+0.137769j -0.0186174-0.0565963j -0.0542535-0.0386019j 0.0985962+0.0249587j 0.0645339-0.0546139j -0.141101-0.0484114j 0.219848+0.023842j 
0.0244904-0.0328287j 0.0174717-0.0834091j 0.0709815+0.0142586j -0.0288904+0.115091j -0.00793821+0.0397506j -0.129069-0.188824j -0.0358234+0.0739172j 0.00550996-0.0609651j -0.0108518-0.104028j -0.0232408-0.0691436j -0.115879-0.106585j -0.134387+0.0792644j -0.0442796+0.0343923j 0.0775318-0.100317j 0.0272169-0.0455268j 0.11582-0.131362j 0.033895+0.123329j -0.0490464-0.277781j 0.0334978+0.0858699j 0.0150038+0.076495j -0.0298476+0.0614431j -0.0840581+0.0840455j 
0.0887684+0.0382791j 0.0698892-0.107121j 0.0112275+0.0654082j -0.00246959+0.0678426j -0.049453-0.0128827j -0.0285403+0.0530679j -0.0392963+0.00545502j -0.0414226-0.0714328j -0.0938047+0.056092j 0.0439837+0.117618j -0.0532437-0.0461705j 0.0648246-0.147979j 0.22603-0.23337j -0.0925741+0.0783585j 0.0608642+0.238079j 0.148462+0.0704014j -0.0433537-0.00167696j -0.0505581-0.0234031j -0.0237192-0.0550264j -0.140428+0.00477503j -0.089429-0.0354738j 0.243085-0.104855j 
0.00996714-0.0675519j -0.0726866-0.10541j 0.0874027-0.0406075j 0.0408665-0.0727063j 0.0390541+0.00377058j 0.0317533+0.05151j 0.0498256-0.0138575j 0.00375942+0.0687268j 0.239694+0.106375j -0.0893962+0.0338869j 0.141763+0.00792409j 0.0277969-0.0534628j -0.0528952+0.0269134j 0.0431193-2.95143e-05j -0.147855+0.0649953j -0.0661149+0.237065j 0.0893518+0.0747521j 0.223955+0.235284j -0.0689618-0.151904j 0.0558294-0.046629j 0.0472268-0.116329j -0.0943931-0.0546534j 
-0.0695836+0.0156371j 0.0188768+0.0818692j -0.0233826-0.0315422j 0.00702512+0.0614056j -0.0354632-0.0733864j -0.129498+0.190905j -0.00806947-0.0391879j -0.0294923-0.115318j 0.0854891+0.0859649j 0.0271349+0.0631264j 0.0161422-0.0778566j 0.0325647-0.0809295j 0.0525162-0.279298j 0.0340813-0.121336j 0.115321+0.135367j 0.0286756+0.050257j 0.0774501+0.102844j 0.0438455+0.0351021j -0.134695-0.0833j -0.117848+0.105997j 0.0236301-0.0702547j 0.012169-0.104231j 
0.05247+0.0274738j 0.0743702-0.00572151j -0.0156554+0.0746654j 0.163227-0.0159215j 0.0772135+0.0720739j -0.131086+0.048425j 0.107411+0.0785538j -0.0734562+0.0910821j 0.219065-0.0210882j -0.143096+0.0479755j -0.0615163-0.0555965j -0.0975989+0.023659j -0.0578756+0.0421832j 0.0197412-0.0557316j -0.13314+0.137616j 0.128873+0.109424j 0.226467+0.155767j 0.0915324-0.0389597j -0.0237309-0.104702j 0.110776-0.00860836j -0.043313-0.0582832j -0.0793842+0.0215212j 
0.0103167+0.0144934j 0.0653358-0.0228836j 0.0404619+0.0705054j -0.0389638-0.0130923j 0.0372005-0.0967636j -0.0284932+0.0518329j 0.0472727-0.0177865j -0.00847593-0.0441039j 0.0405845+0.00151231j 0.0127697-0.0673896j 0.0386308+0.00657249j 0.0266824+0.104107j -0.0218906-0.0130538j -0.0034996-0.0623291j 0.0202555-0.0361473j 0.0661078-0.0382753j -0.0400303+0.0217306j 0.0482282+0.0940078j 0.00396626-0.0572325j -0.00239849+0.046731j -0.086563+0.016777j 0.0551166+0.102954j 
-0.00753909-0.0354358j -0.056968+0.0756622j -0.0887254-0.00736314j 0.0250264+0.0410714j 0.0299076+0.0319287j -0.0649835-0.0652844j 0.0987047+0.0435161j 0.0248879+0.0487169j -0.017891-0.0491931j -0.0501802-0.048821j -0.0381763-0.000614839j -0.018761+0.00422177j -0.013454+0.0488124j 0.0333457-0.0268858j 0.0696427-0.057617j 0.0703111+0.0219663j -0.0022135+0.0472047j -0.0104806+0.0843419j -0.0355361-0.0298723j -0.015847-0.00609446j 0.0196865+0.0778351j 0.0709091+0.0205417j 
-0.0109007+0.0643263j -0.0105043+0.00402985j -0.0628831-0.0832541j -0.0261113-0.0608025j 0.0110717+0.0338662j 0.0740113+0.00416586j -0.130275+0.0363926j -0.0122559-0.0347396j 0.0402805+0.014247j 0.026074-0.0449604j 0.0606922+0.0499155j -0.0321568+0.0566955j 0.00718521+0.0191944j -0.0208845+0.0307208j 0.0384691-0.0274772j 0.0325206+0.0446642j 0.0277738+0.0469915j -0.0179297+0.0397845j 0.018678+0.018349j -0.0806317+0.000533058j -0.056389-0.0357774j -0.0129548+0.0840392j 
-0.0490854-0.0491581j -0.0195625+0.10052j -0.0539633+0.0252422j 0.0229544-0.0041253j 0.00707837-0.0416836j -0.0327836+0.0584969j 0.0300204-0.0696929j 0.00896568-0.0165901j 0.0814034+0.0278318j -0.0253779-0.0454423j 0.0179808+0.0696193j -0.0507714-0.0088681j 0.0849941-0.00483181j 0.0297504+0.0737481j -0.0203956-0.0245832j -0.0113387+0.0394433j 0.0857372-0.0212578j -0.0720346-0.0152358j -0.0285805+0.0573895j -0.089783-0.0424283j -0.00636871-0.0579238j -0.0536388+0.0561238j 
-0.0634842-0.0634075j -0.00408754+0.0340182j 0.0546445+0.0118251j -0.00389945-0.0390861j 0.0651112+0.00239222j 0.00563619-0.00163858j -0.0265808+0.0581488j -0.00835061-0.00821419j 0.0640926+0.00612838j 0.0206882-0.042657j -0.0587084-0.00960099j 0.056433-0.010142j -0.0576635-0.0547308j -0.0262828-0.0654498j -0.00607527+0.0874264j -0.089546-0.0541727j -0.114833-0.00556403j 0.000792451-0.0258297j -0.0597171-0.060373j 0.0940869-0.053828j -0.0440203+0.0284479j -0.00098266+0.0428804j 
-0.0963837-0.0144156j -0.00418602+0.00788089j 0.0326027-0.0611865j -0.012715-0.0157438j 0.0430898-0.115115j -0.00682275+0.0782376j 0.0354778-0.00362j -0.0485191-0.0194166j -0.0199913-0.0405933j -0.0162844-0.0195298j 0.0232429-0.0695794j 0.0278548-0.0132421j 0.00136685+0.00447333j 0.101162+0.110935j 0.0462857-0.0205833j -0.0327817+0.0804546j 0.101723-0.0401706j -0.069718+0.00168722j 0.0454364+0.0190147j -0.000521814+0.0613629j 0.0258122+0.0163415j 0.0199215+0.0097087j 
-0.000248477+0.0533374j -0.0158015+0.0425857j -0.124011-0.0375912j -0.0173486+0.00431859j 0.0178689-0.006531j -0.00547973-0.0232749j 0.0203159+0.0411617j -0.00481247+0.00540583j -0.0184696+0.0249478j -0.0240205+0.0440318j -0.0268805-0.0256121j 0.0743689-0.0215983j 0.0151781-0.0326995j -0.0439982-0.0455796j -0.106588+0.00979008j -0.0499962-0.125692j -0.016633-0.0357081j 0.100088-0.0700149j -0.0368379-0.01327j 0.091273+0.00662308j 0.0427745+0.0133914j 0.0159481-0.0896902j 
-0.0112378+0.000262311j 0.00865745-0.000494186j 0.0122515+0.000559895j -0.0815957+0.0057444j -0.056511-0.0675046j 0.103784+0.000270958j -0.0549293+0.0658004j -0.0824174-0.00442184j 0.0181768-0.029557j -0.0807323+0.0177175j -0.0769954+0.117j -0.111993-0.0550662j 0.0441091+0.0163246j -0.0291489-0.0450861j 0.00737263+0.00589333j 0.00949393-0.00519196j -0.0277563+0.047124j -0.047799+0.0181097j -0.107134+0.057628j -0.0823819-0.115112j 0.0802991+0.0158457j -0.0194155-0.0287117j 
-0.123026+0.0398078j 0.0183912+0.0424568j -0.000855688-0.0520928j 0.00559454+0.00520394j -0.0206349+0.0428281j 0.00526901-0.0238059j -0.0202942-0.0062331j 0.0172764+0.00353475j 0.0179893+0.0895333j 0.0400394-0.0142877j -0.0916845+0.010499j 0.0312168-0.0140077j 0.102141+0.0674909j 0.0135974-0.0378448j 0.0485065-0.124618j 0.10667+0.00780711j 0.0405394-0.0423631j 0.0138431+0.0317042j -0.0764027-0.0210045j 0.0241232-0.0283019j -0.0238055-0.0441572j -0.0195607-0.0234783j 
0.035489+0.0597664j 0.00553548+0.00729777j -0.096658+0.0180167j 0.0497924-0.0209773j -0.0323356-0.0013303j 0.00611119+0.0792226j -0.0455864-0.115242j 0.0128678-0.0188376j 0.0192464-0.0136796j 0.0242154-0.0161015j 0.00100196+0.0601648j -0.0430428+0.0186184j -0.0738727-0.00074337j -0.100281-0.0386946j 0.035739+0.0819398j -0.0458844-0.0169208j -0.100277+0.111424j -0.00236375-0.00214563j -0.0283336-0.0124188j -0.0240805-0.0684687j -0.016757+0.0210812j -0.0167785+0.0413218j 
0.0539193-0.0134768j 0.00405274+0.0325148j -0.0598561+0.0629625j 0.00561054-0.00847002j 0.0275124+0.0567743j -0.00443731-0.00391571j -0.0642078+0.00746174j 0.00177383-0.0385198j -0.00220565-0.0422042j -0.0464213-0.0275986j -0.0962785-0.054247j 0.0574748-0.0624583j 0.00633058+0.0248061j 0.117987-0.00658107j 0.0891042-0.058513j 0.00773122+0.0876716j 0.0279145-0.0687729j -0.0590343+0.0551305j -0.0567186-0.010353j 0.0584918-0.00996536j 0.0233864+0.0418858j 0.0634405-0.00841834j 
0.053975+0.0243436j -0.0212993-0.100338j 0.048298-0.050795j 0.00970016+0.0154795j 0.030375+0.0697182j -0.0335865-0.0568493j 0.00659444+0.0417087j 0.0225075+0.00416627j 0.0545155+0.0541741j 0.00467768-0.0568367j -0.088458+0.0443189j -0.0328112-0.0567509j 0.0721909-0.0192301j 0.0838876+0.0214658j -0.0118801-0.0381599j -0.0203263+0.0244807j 0.0284407-0.0717267j -0.087085-0.00354542j -0.0490412+0.00997578j 0.0146424-0.0702653j 0.0243748-0.0451641j -0.0808598+0.0288785j 
-0.0607486+0.0823305j 0.0109911+0.00307655j -0.0107143-0.0634924j 0.0104996-0.0363913j 0.133014+0.0344114j -0.0746071+0.00472319j -0.00947493+0.0364379j 0.0255317-0.0604817j -0.0154201-0.0835342j -0.0552054+0.0389247j 0.081827-0.00157819j -0.0174342+0.020016j -0.0207708-0.0358531j -0.0263277+0.0471129j -0.0314512+0.0460436j -0.0383862-0.0253796j 0.0225213+0.0307987j 0.00926238-0.0165521j 0.0333052+0.0554582j -0.0598307+0.0515515j 0.0270059+0.0438555j 0.040991-0.0158833j 
-0.0883865+0.0104775j 0.0589415+0.074715j -0.00738586+0.0360843j -0.0228977+0.0484604j -0.0960299+0.045218j 0.0636941-0.0644523j -0.0297688+0.0323952j -0.0245632+0.0400417j 0.0718454-0.0216086j 0.0176944-0.0760713j 0.0167096-0.00626829j 0.0360864-0.0287864j -0.0119862-0.0858146j 0.00208101+0.0473978j -0.0689582+0.0242464j -0.0707356-0.0562434j -0.0327638-0.0248018j -0.0125785-0.0484291j 0.0183922+0.00461804j 0.0382359-0.000592309j -0.0492407+0.0490939j -0.017236+0.0487354j 
0.0383408-0.0698973j -0.0653507-0.0208005j 0.00900204-0.0149553j 0.0101656-0.0442796j -0.0455737-0.0160873j 0.0281027+0.0517747j -0.0375946-0.0957123j 0.0384216-0.0141547j 0.0555792-0.104014j -0.0889277-0.014414j 0.00430192+0.0457775j -0.00614142-0.0546752j 0.0463174-0.0965027j 0.0396572+0.0220058j -0.0679154-0.0367615j -0.0202525-0.036607j 0.00523188-0.0613569j -0.0214706+0.0143643j -0.0247808+0.104097j -0.038939+0.00707995j 0.0129131+0.0671187j 0.0403586-0.00167661j 
