-0.137115-0.493004j 0.607-0.363274j 0.00154036-0.158316j 0.596746+0.379001j -0.149765+0.487709j 0.163683-0.140923j 0.252176+0.16242j 0.0358185-0.127837j -0.0013403+0.239259j 0.0345599+0.126145j -0.253583+0.158221j -0.160432-0.141983j 0.0449432+0.0455041j 0.040178-0.0553249j 0.0908186-0.132622j 0.0589901+0.0542498j -0.180203-0.0627923j 0.027433-0.0693292j -0.0849253-0.0676523j 0.011135-0.0499768j 0.0161535+0.0941094j -0.00794698+0.0452252j -0.04197+0.0751424j -0.0387515-0.07922j 0.00663301+0.0451787j 0.0197751-0.0911385j 0.00871055+0.0515518j 0.0876907-0.065602j -0.0255717-0.0682272j 0.183102-0.0576083j -0.0546313+0.0513043j 0.0860053+0.134455j -0.0395925-0.055288j -0.0447179+0.0447187j 
0.252315-0.19102j 0.065149+0.152936j -0.000982276+0.261599j 0.0681184-0.150809j 0.250115+0.194946j -0.375614-0.236879j 0.169349-0.283801j 0.266222-0.247719j 0.00136605-0.196937j 0.26445+0.250732j -0.165834-0.28832j 0.38094-0.232339j 0.0629054-0.304644j -0.280553-0.0193386j 0.0284503-0.0222839j -0.0701298+0.0291288j -0.145772-0.0505037j 0.00268666+0.151836j 0.158269-0.0239904j -0.0195362-0.0889597j 0.0589176-0.0212964j 0.0757461-0.0439154j 0.0801883+0.160492j 0.0794116-0.159581j -0.0750857-0.0445348j 0.0568957+0.0239208j -0.0189269+0.0879525j -0.157287-0.0221887j -0.00220431+0.151213j 0.144175-0.0503884j 0.0687504+0.0262547j 0.0261472+0.0240658j 0.279127-0.0150338j -0.0587518-0.302394j 
-0.0400714+0.0887345j 0.0893866+0.0693015j 0.0314789-0.151151j -0.071088-0.0417235j 0.0391899+0.142489j 0.035816+0.117047j 0.131836-0.0247472j -0.229431-0.296315j -0.193088+0.112771j 0.00567738+0.0496853j 0.0749884-0.113409j 0.0322542+0.265658j 0.0455653-0.0337524j 0.0265255+0.0411349j 0.0869661-0.0782286j -0.0624717-0.159438j 0.0693607-0.0304608j -0.124242+0.423708j 0.0126026+0.213386j -0.0301273+0.125924j 0.244705+0.161476j 0.224974+0.0498145j 0.0840852+0.02691j -0.0403085+0.0174657j -0.0897689-0.0239605j -0.0437546-0.0294513j -0.219013-0.0453296j -0.0292998-0.0663895j -0.1276-0.103282j -0.0131-0.0128595j -0.162246-0.177307j -0.197086+0.0981434j -0.130496-0.16759j -0.266124+0.0466818j 
0.150445+0.0129811j 0.0300362-0.024826j -0.000420787-0.251142j 0.0320126+0.0258707j 0.149212-0.014699j 0.0446689-0.124437j -0.0503065+0.116266j 0.161362+0.0634026j 0.00332193-0.203988j 0.16076-0.0596242j 0.0486752+0.117604j -0.044362-0.126244j -0.0936779+0.043803j 0.00876012-0.00733653j -0.260587-0.0616717j -0.0389913+0.0113888j -0.0485079+0.384735j 0.0758786+0.181303j -0.191231-0.0682566j -0.133678+0.0952943j 0.0351562+0.19808j 0.333043-0.0224414j 0.0414286+0.0439508j 0.0450088-0.0452947j -0.336276-0.0258785j 0.0384772-0.19709j -0.131672-0.100456j 0.187052-0.0596068j -0.0817436+0.185703j 0.0388161+0.385457j 0.0420507+0.0229902j -0.261382+0.0540616j -0.00800422-0.00485999j 0.0935701+0.0438386j 
-0.0640202-0.0777592j -0.0240648+0.125723j 0.0387704-0.17002j 0.0299654-0.124481j -0.0916377+0.0440034j -0.058084-0.177598j 0.0600599-0.0795248j -0.143608+0.229836j -0.0395113+0.173777j -0.0300031-0.271354j -0.0185564-0.0977376j 0.128143-0.135956j -0.0300458+0.0798196j 0.127487-0.0754192j -0.0353284+0.238872j -0.227028-0.21695j -0.137886-0.0327349j -0.302608-0.0402354j 0.0877949-0.20611j -0.106278-0.159327j -0.0278096+0.122277j -0.0648405-0.122018j -0.0236121+0.0581417j 0.00627469-0.0671348j 0.109975-0.0830779j 0.026728-0.121055j -0.168338+0.100204j 0.0121223-0.221887j 0.287366+0.0985499j 0.130415+0.0325577j 0.304501-0.0944821j 0.0688337-0.231235j -0.0800743-0.124866j -0.0101613+0.0842563j 
-0.0387419+0.14366j 0.0705672-0.0439398j 0.0310071+0.148821j -0.0899253+0.071033j 0.0414645+0.0886858j 0.0366524-0.26375j 0.0741842+0.11744j -0.00302819+0.0521672j -0.190468-0.115993j 0.23246-0.294958j 0.133545+0.0265484j 0.0342381-0.117285j -0.265177-0.0502255j -0.133449+0.162562j 0.196198+0.0996392j -0.161994+0.175472j -0.0135605+0.0213883j -0.126164+0.105454j -0.0282518+0.0647423j 0.22017-0.0452059j 0.0472412-0.025731j -0.0860819+0.0231642j 0.0389888+0.0160449j -0.0897674+0.0264871j 0.223774-0.0457069j -0.24305+0.158527j 0.0279037+0.132961j 0.0159758-0.219969j -0.121043-0.421281j 0.0708833+0.0326926j -0.0643288+0.158728j -0.0893977-0.0782634j 0.0257593-0.0391351j 0.0451253+0.0338304j 
0.00851556+0.023486j 0.0712893+0.013108j -0.0303049-0.027435j -0.0173288-0.0558739j 0.0193353-0.00746453j 0.0314693+0.0280972j 0.0987233-0.0459822j -0.0845209-0.0072904j -0.0684144-0.0844329j -0.121463+0.0613495j 0.0544717+0.0582197j 0.0795259-0.0893648j 0.0313616-0.000503181j -0.0215929+0.0739788j 0.0321637-0.00463634j 0.0393302-0.0930155j 0.0390006+0.0372013j -0.0545458+0.0946318j -0.107549+0.0587199j 0.023176-0.0170477j -0.115274+0.0565737j -0.0342129-0.056237j -0.0578551+0.0614773j 0.00110599-0.330625j -0.0147542-0.0275589j -0.0226168+0.107411j 0.00755999-0.13023j -0.189438+0.0736141j 0.0918017-0.0152302j 0.0384237+0.0460427j -0.00310882+0.137297j -0.00790478+0.0399817j -0.0706142+0.104779j -0.103007+0.15919j 
-0.0102315+0.0393215j 0.0857933-0.0378864j -0.0757871+0.0421824j -0.0513228+0.0345446j 0.045252-0.0402767j -0.021711+0.0744896j 0.0375213-0.0213261j 0.0332413+0.0531887j -0.00717637+0.0530736j 0.0503373+0.01367j -0.0269825+0.0474119j 0.0341138+0.0114109j 0.0234098+0.0797284j -0.0645517-0.0466938j 0.0548598+0.0475815j 0.0163582+0.0609194j -0.0356675+0.125502j -0.101385-0.0982614j 0.0592952-0.103011j -0.0675724-0.00306438j 0.0895797+0.110699j -0.0750615-0.073295j -0.0455933-0.196265j 0.0438277+0.102053j 0.0302291-0.0680862j -0.0930509+0.00025139j -0.109209+0.194223j 0.0954066-0.0149349j -0.103135+0.126279j -0.131003-0.0600061j -0.164527+0.00235549j -0.0431591+0.0551507j -0.00629493+0.0081384j -0.0624295-0.179044j 
0.0613892-0.0497171j 0.0292049-0.0222717j -0.0162542-0.0944979j -0.0905419-0.140865j -0.0311423+0.0352423j 0.0137591-0.0920343j -0.0722646-0.0240797j -0.0221692+0.0129816j -0.0432873+0.0147619j 0.0164121+0.0582831j 0.0376887-0.0927065j -0.100314-0.0313457j -0.0177938-0.0235421j 0.00944494-0.0615478j -0.0490356-0.0700095j -0.0136525+0.0636976j -0.00155301+0.00968313j -0.00272516+0.0417348j 0.108168-0.0641601j -0.0205752+0.130108j -0.0351654-0.0491341j 0.0722735+0.0854636j -0.0646673-0.187029j 0.0466323+0.118112j 0.096784-0.168456j -0.100143-0.081514j 0.119223-0.010949j 0.0841061-0.101811j 0.101759+0.0537142j 0.0492031+0.0085268j 0.00837975-0.00880969j 0.0146403+0.104611j 0.0329673-0.0842229j 0.0352369-0.0930123j 
0.0010279+0.103918j 0.109196-0.0363488j -0.000188328+0.111134j 0.106301+0.0332836j -0.00195105-0.104048j 0.0480991-0.0474396j -0.0462353-0.0498463j 0.00746837-0.0154313j 0.000135248+0.0255253j 0.00985893+0.0161459j 0.046098-0.0509878j -0.0489637-0.047031j -0.106026-0.0445288j 0.0222136-0.10436j -0.0311118-0.0621462j -0.101445-0.0228625j -0.0997958-0.0669309j -0.0163277-0.0155606j 0.0417593-0.0756603j 0.153554+0.205165j -0.0923311-0.0309129j 0.103636+0.00152463j -0.00683028-0.0597532j -0.00572613+0.0592218j -0.0999005-0.00213855j -0.094056+0.0281067j 0.155045-0.202283j -0.037638-0.0796069j 0.0182909-0.017011j 0.098293-0.0663477j 0.104279-0.0250052j -0.032497+0.0642978j -0.0209477-0.10536j 0.105679-0.0453833j 
-0.0180579-0.00356783j 0.0471942+0.0732055j 0.000245499-0.0411965j 0.0454584-0.0754447j -0.0196483+0.00480387j 0.0173677-0.00690934j -0.00774025-0.0500186j 0.0542081-7.20471e-05j 0.000153365+0.103272j 0.0536547-0.000219062j 0.00707378-0.0522903j -0.0183127-0.00558659j 0.109571+0.000768468j -0.0342623+0.0508099j 0.0370724-0.0652354j 0.0964231+0.0816388j 0.0803891+0.081421j -0.0802919+0.0729417j 0.00265278-0.0230979j -0.0884453-0.0584791j -0.0431817+0.0497164j -0.0624317-0.143139j -0.109063-0.0448236j -0.109447+0.0437464j 0.0635549-0.144735j -0.0413947-0.0523297j -0.0874815+0.0585505j -0.000940317-0.0228101j 0.0822253+0.0735337j -0.0781183+0.0804614j -0.0981149+0.0826315j 0.0389851+0.0646459j 0.0346043+0.0517156j -0.108568+0.00123947j 
