-0.032638+0.035573j -0.0456156-0.0191682j -0.0930316+0.0337145j 0.0500302-0.0527004j -0.0667173-0.00272239j -0.0357419-0.0128578j -0.0828731-0.0333528j 0.0448818+0.0235693j 0.0427156+0.0264585j -0.0197782-0.0269611j 0.0458975+0.0177846j -0.0190365+0.0190904j 0.017743+0.0618986j -0.0150497-0.0740443j 0.0169731-0.0314242j 0.0521658+0.0350471j -0.00358487+0.0069731j -0.0542552-0.00424602j -0.0275094+0.00706436j -0.00500759+0.0524482j -0.0534505-0.0366693j -0.0333991+0.0952232j 0.00866852-0.0485697j 0.0155151+0.06506j 0.0244432-0.0222864j 0.0335171+0.0197489j 0.00243125+0.0200963j -0.0228977+0.0324717j -0.0271209-0.056877j 0.0310407-0.0148682j -0.00154246-0.027818j -0.0278973+0.0329885j -0.0451984-0.0010952j -0.00589295+0.0524363j -0.115522-0.00272196j -0.00370756+0.0523084j -0.00208644-0.0367399j -0.0596609+0.0194432j -0.00103957+0.0744265j 0.00407084+0.094791j -0.0132537+0.00795571j -0.0470838+0.0457194j 0.134155+0.0120779j -0.0353981+0.0104013j -0.151886+0.0664808j -0.0214555+0.033343j -0.000650981-0.116556j 0.0321457-0.0625098j -0.109829+0.0798765j -0.0447022-0.0489857j -0.00326542-0.0405879j -0.0570249-0.0652912j 0.000688167+0.00787921j 0.0488834+0.0753833j 0.0520405+0.0505972j 0.00494137+0.0257604j -0.0546071+0.0513855j -0.0476962-0.013253j 0.0560919-0.0908895j -0.0548548-0.0410411j -0.00101889-0.0750557j -0.123709-0.120212j 0.0850243-0.00298862j -0.035544+0.0603812j 0.0749056-0.0157323j -0.00787961+0.00335986j 0.108224+0.273803j 0.230188-0.0868313j 0.0648776+0.0719079j 0.115313+0.0341302j 
-0.0439819-0.0210127j 0.0345514-0.044006j -0.0378547+0.0497124j -0.110902+0.0397838j 0.021572+0.0198097j 0.0672134+0.0093664j -0.0890918-0.0122788j -0.068665+0.00445474j -0.00543287+0.0184809j -0.0440605+0.00290642j -0.0372953-0.00661063j -0.0862219-0.0727253j -0.0537759+0.0183709j 0.015728-0.0123053j 0.0421469+0.0223996j -0.0136025-0.0461273j -0.00477974+0.0290408j 0.0171519-0.0426875j -0.0673893+0.0271033j -0.0133268+0.000296868j -0.00500392-0.0661194j -0.0395848+0.0143179j 0.0358705-0.0223297j -0.0200549-0.0638726j 0.0477147+0.0153962j -0.0511011+0.0543873j -0.00479011+0.0351767j -0.0572556-0.0528518j 0.014316-0.0371602j 0.00774275+0.0447694j 0.0229289-0.0156537j -0.059648+0.0385477j -0.0319885-0.0150791j 0.00263775-0.0714079j -0.00389984-0.0726335j 0.0308798+0.0253608j 0.0358469-0.0986019j 0.000609556+0.0315525j -0.028154-0.0118737j -0.124937+0.0185745j -0.0435139+0.0121267j -0.063744-0.0478977j -0.111933+0.107015j -0.0157614+0.0277564j -0.0961716-0.135997j -0.0462564-0.0136762j 0.0800574-0.0539857j 0.0553498+0.0388818j -0.0257129-0.104571j 0.118722-0.0338422j 0.0246757-0.0135672j 0.00543546-0.0196349j 0.0451601-0.00229624j -0.0555781-0.0351427j -0.00659289+0.0903086j 0.00315031+0.11195j 0.0277091+0.0107497j -0.00531905+0.0843422j -0.0165668-0.0191795j 0.0838286-0.0274655j -0.108358-0.0461917j -0.0513916+0.0511987j 0.00875948-0.135863j -0.00214577+0.0230519j -0.0609536-0.0114792j 0.0659907-0.0207691j 0.262191-0.0835424j -0.120519-0.266973j -0.133504-0.038107j 0.0680968+0.075906j 
0.0591299-0.0056979j 0.0153604+0.0530792j 0.0016585-0.0694591j 0.0455255-0.00153514j 0.0344423-0.0187918j -0.0568363+0.0511327j 0.0138609-0.0413189j -0.0241325-0.0228393j 0.0567072+0.0251555j 0.108269+0.00285291j -0.00518119+0.00326348j 0.0681169-0.028497j 0.0132302+0.0389722j 0.0540138-0.000892626j -0.0302051-0.0420315j 0.000850263-0.0949541j -0.0457457+0.0294812j -0.0682424-0.0476994j 0.0534838+0.0881627j -0.0380763+0.00837543j 0.0589306+0.0701182j -0.0670992-0.0604961j 0.0341652+0.0592602j 0.0762726-0.0711549j -0.0218842-0.0551936j -0.0366485+0.00133309j 0.0132309+0.103973j 0.0027899+0.113609j -0.0304998-0.0235651j 0.0249078+0.0439183j -0.0506687-0.00185638j -0.0966184-0.0477459j -0.0220565-0.0203621j 0.00166588+0.00777729j -0.106502-0.0390033j 0.0159648-0.0195164j -0.0312912-0.067038j 0.066722-0.171139j -0.0710197+0.150949j -0.124935-0.0965724j -0.0674767+0.00146972j -0.0414818-0.0131524j -0.15233+0.0209104j -0.132645-0.0158963j 0.0189554-0.0300062j -0.0431741+0.0816616j -0.0263593+0.0481187j 0.11826+0.0894696j 0.0678162+0.111712j -0.0796625+0.0165645j -0.117694+0.095116j -0.00311559+0.0139699j -0.110449-0.00732678j 0.0241766-0.0167274j -0.00201223-0.101268j -0.0219488+0.109737j 0.0372788-0.150207j -0.158644-0.0723436j -0.00682115-0.0755491j -0.0333703-0.0755202j 0.0202362-0.160004j -0.0378449+0.137555j 0.132054-0.105018j 0.201724+0.121002j -0.110419+0.253704j -0.183527-0.0352964j 0.0289485-0.037322j -0.0691867+0.0911746j -0.0354551-0.0806189j -0.0736931-0.0186285j 
-0.000507451+0.0396272j -0.0418097-0.00876161j -0.0242423+0.00258153j -0.0258511-0.0485349j -0.0713374+0.0745948j -0.00599296-0.00312086j -0.0016637+0.0151253j -0.0411081+0.0311005j 0.000129995+0.0130216j -0.0821013+0.00996255j 0.0736899-0.00443012j 0.00637179+0.0345307j -0.016159-0.0400846j 0.00791701+0.00936723j 0.0868121+0.0484013j 0.065473+0.0507683j 0.0520694+0.0238051j -0.0319843-0.0391402j 0.0588495-0.0294746j -0.0109426+0.0561858j 0.0392054+0.0205258j 0.0219151+0.0609066j -0.0316099-0.0579783j -0.00465569-0.0226597j -0.0137633-0.0620455j 0.0307837-0.00278429j 0.00533658-0.0502951j -0.0618017-0.0302033j -0.0220267-0.00723358j 0.0223895-0.017191j -0.0195524-0.0469797j 0.038477-0.0392744j -0.0509794-0.0748706j -0.0210708+0.159537j 0.0367816-0.0560029j -0.0884715+0.0660543j -0.0391618+0.0532702j 0.185928-0.0238694j -0.00374411-0.00877609j 0.0728456-0.129482j -0.0249788-0.03989j 0.0605013-0.134713j -0.122472-0.088264j 0.0144495+0.0323059j 0.0720363+0.120838j -0.146238-0.0983096j 0.107373-0.0790259j -0.13951+0.118093j -0.0578999+0.0631113j -0.0297628-0.139166j -0.0654091-0.0286611j -0.0105073-0.0844912j 0.151069+0.0995005j 0.181333-0.0900143j -0.0842804-0.104081j 0.109984+0.021398j 0.00488967-0.0873722j -0.0822504+0.203434j -0.0553927-0.110633j -0.0272003+0.0422932j -0.0113626+0.0880815j 0.167303+0.0539777j -0.112982-0.137872j 0.0983444-0.18j 0.2528+0.0297658j -0.0632413+0.139527j -0.0139819+0.0808812j -0.0335839+0.0743908j 0.0371078+0.0218832j -0.0234407-0.0456711j 
0.0158483+0.0169076j -0.0196183+0.0121573j 0.0019355-0.0409358j -0.00656335-0.0125879j -0.0389492+0.0629546j -0.0243885+0.00201641j 0.0536921+0.0273801j -0.0508202+0.0302112j -0.0075646+0.00484683j -0.0123211+0.0217636j 0.0627751-0.000123582j 0.0146585-0.00904581j 0.00719288-0.0390742j 0.0310167+0.0350178j 0.0841665+0.0744297j 0.0905549+0.0844507j 0.0500023-0.0157637j 0.0151381-0.0813293j 0.0745825-0.0414657j 0.00583224+0.0246832j 0.0873406+0.0950845j 0.0571767-0.0239767j -0.00638697-0.0144122j 0.0575154-0.137806j -0.054807-0.0256717j 0.000249711-0.0282397j -0.0425397-0.0562331j -0.0366411-0.0458937j 0.0737136+0.05157j 0.00979947-0.0587882j 0.00211507-0.0706951j -0.0577405-0.0373867j -0.0329428-0.0503809j -0.117599+0.092553j 0.110715-0.0219364j 0.108557+0.0300076j -0.0110986-0.170779j -0.0807682-0.166326j 0.10161+0.015039j -0.00192559-0.0244535j -0.103853-0.035199j -0.236712+0.0142127j -0.0199996+0.0219314j 0.0673784-0.0966574j 0.0507495+0.101953j 0.0378401+0.115064j -0.0516523-0.123168j -0.0476062+0.00977965j -0.0682257-0.183922j -0.104571+0.114853j -0.0672025+0.107017j 0.0260822-0.0260558j 0.187721-0.140998j -0.227501+0.0683658j 0.103129+0.0973575j -0.102554-0.0653217j 0.0245271-0.0912324j -0.1954-0.0972602j 0.0364656-0.0888679j 0.0581889-0.06268j -0.0462238-0.00261484j 0.0348418+0.0608886j 0.0261056-0.0839847j 0.0465684-0.0265539j 0.0369357+0.013772j 0.0228912-0.0536038j 0.0570267+0.0320824j -0.0317041+0.0374052j 0.022956-0.0295407j -0.0187651-0.0154526j 
-0.0261677-0.00269868j 0.0124341-0.00429899j -0.012765+0.00385781j -0.0427452+0.063805j 0.044381+0.0140564j -0.00688867+0.0353216j -0.0359251+0.027766j -0.0282931+0.0283812j 0.0149818+0.0015745j -0.00367885-0.000407399j -0.0295475-0.0155542j 0.00629447-0.0254076j 0.0273211+0.0509184j 0.0283334+0.0181971j 0.0394785+0.00450246j -0.0278478-0.0591101j 0.0131036+0.0452428j 0.0319599+0.0901342j 0.00413927+0.0220513j -0.0103763-0.0239462j -0.057573-0.00983472j -0.0199659+0.0413707j -0.0126003-0.0424857j 0.00207272-0.00451904j -0.0466382-0.0580409j -0.00477105-0.0909371j 0.0723755+0.00545704j -0.0510896+0.0612129j -0.166342+0.0937121j -0.0688647+0.041063j -0.0927848-0.0212742j -0.13925+0.230009j -0.137796+0.0746522j -0.0899994+0.0443811j 0.0954794-0.0853795j -0.0877065-0.100992j 0.0298183-0.0463469j -0.139005-0.088826j -0.0488491-0.0292419j 0.0023498+0.0684881j -0.0462456-0.000616712j -0.0744093-0.0107701j -0.0401281+0.0140676j 0.133189-0.0588847j 0.0376777+0.042134j -0.0967145-0.0784334j 0.0113481+0.0242522j -0.25212+0.195648j -0.213863-0.183357j -0.174111+0.0326257j -0.0433496-0.165108j -0.113189-0.0773655j -0.0318166+0.0816481j -0.0817076+0.0428477j -0.113676+0.0138289j 0.131497-0.00220325j 0.131828+0.0501364j -0.0451916-0.171364j 0.175339-0.104179j 0.0773505+0.11142j -0.0790137+0.0996859j 0.0718168-0.0164051j 0.0804992+0.00138158j -0.0231393+0.0806984j 0.0259374+0.0126938j 0.0421507+0.062232j 0.0408686+0.0405674j 0.0249979+0.0133232j -0.0153373-0.0049023j 0.0130623+0.0320237j 
0.0185347-0.0425312j 0.0423835+0.0142575j 0.0464128-0.0610339j 0.0142664+0.0286853j 0.0389211-0.0365954j -0.0129822-0.0630136j 0.0266179-0.0509982j 0.0117856-0.041434j -0.044753+0.0393091j 0.0765303-0.000220694j 0.00143975+0.053664j -0.0110534-0.0521873j 0.00552644-0.0206063j 0.0525668+0.0526276j -0.0598252-0.0495037j -0.0316014-0.000953765j -0.0449535-0.0127541j 0.0161659-0.126642j -0.120976+0.0509851j 0.0107628+0.101987j -0.00430249-0.0630831j -0.0337038-0.115003j 0.0548118+0.104984j 0.0355755+0.0256314j 0.0997921+0.0846066j 0.0377816-0.0449572j 0.0822804+0.0257211j -0.138055-0.0381157j 0.00785809+0.0142513j 0.0613623-0.0439538j -0.0746854-0.215065j 0.0407816+0.00764623j 0.0547225-0.010001j 0.046412+0.0303734j 0.0282852+0.15918j -0.00701958-0.00719675j -0.0381969+0.022051j -0.0141544-0.0609671j 0.068333-0.00644182j 0.0640801-0.131837j 0.222758-0.144222j -0.0519055-0.0462165j 0.0655544+0.0237477j 0.0532213+0.170858j 0.0220652+0.0617008j 0.0569338+0.0240603j 0.20859-0.108289j -0.0403462-0.213091j -0.120397-0.0389463j 0.184813+0.000629264j -0.0358036-0.236258j 0.00499466+0.0340641j 0.172406+0.0578603j 0.0786142+7.89141e-05j -0.0434359+0.112665j -0.00745138+0.120087j 0.131647-0.181386j -0.077628+0.170458j -0.088762-0.0698609j 0.153926-0.0943887j 0.137897+0.0272567j 0.0122867-0.12446j 0.0087801-0.0449268j 0.0419683+0.0306579j -0.0308415-0.0396766j 0.0664041-0.0458561j 0.000541143-0.0439593j -0.00716796-0.0440122j -0.0328782-0.037882j -0.011289+0.0257943j 
0.00384586-0.0311717j 0.0341156-0.00533721j -0.0311106-0.00725714j 0.0312541+0.0564142j 0.0225128-0.0315945j -0.00468256+0.00204342j -0.00856059-0.00129845j 0.0247493+0.00112386j -0.0167626+0.0163455j 0.0786653-0.0280627j -0.0285833+0.068691j -0.0481975-0.046272j 0.0219441+0.0618312j 0.0334354+0.00965458j 0.027904+0.0266924j 0.0555579+0.000622039j -0.0115624-0.0201888j 0.0583297-0.0636907j -0.11738+0.0382828j 0.0912735-0.0185842j -0.0338652-0.01493j 0.020556-0.0939707j 0.0820295+0.0649948j -0.00499919+0.0857005j 0.0552494+0.0433942j -0.0260238-0.0451646j -0.0232665+0.0846687j 0.109367-0.0290163j -0.0618193-0.0307561j 0.0771824-0.11032j 0.0776221+0.120509j 0.0503779-0.0675023j -0.0823221+0.0901603j -0.204319+0.208096j 0.244586-0.0684992j 0.104689+0.0607589j -0.0480274-0.0228166j -0.0800793+0.0116495j 0.024788+0.0609792j 0.0940256+0.0424923j 0.0192111+0.137592j 0.233188+0.142195j -0.0430677-0.0824154j -0.118888+0.205522j -0.0319539+0.013986j -0.157538+0.0461866j -0.0194249-0.00246351j -0.00663173+0.105339j 0.0988074+0.172598j -0.0772125+0.0365654j -0.101377+0.164565j 0.0355548-0.0967783j 0.0965225+0.0651238j 0.0173126-0.263519j -0.0166539+0.0702625j 0.0510759+0.00332432j 0.14031+0.0376095j 0.0601071-0.0761905j -0.0529304+0.0177336j 0.0677077-0.050702j 0.00690599-0.0461003j 0.038143-0.0376918j 0.0326088+0.0440956j 0.0601476-0.012089j -0.0161883+0.048112j 0.057836+0.0282909j -0.0257312-0.0574299j 0.040921-0.0284628j -0.0229315+0.023303j 0.017615+0.0135311j 
-0.00971635-0.0131937j 0.00602434-0.0131865j -0.0379656+0.0299196j 0.0146906+0.0433685j -0.0109583-0.0345691j 0.00286362+0.0160228j -0.0470897+0.0279866j 0.013041+0.0385651j 0.0205324-0.039985j 0.057616-0.0368871j -0.041802-0.0123791j -0.00438094-0.0268603j 0.0020079+0.0442039j -0.000390463-0.0116923j 0.0330675+0.0212888j 0.0412158+0.022757j -0.0299714-0.0712052j -0.039565-0.023178j -0.0231584-0.0328005j 0.00603511-0.0905823j 0.0220764+0.0626277j 0.0289305+0.0147464j 0.0430199-0.0379533j 0.0413667+0.069891j -0.00444428+0.110239j -0.0764174-0.06812j 0.0531065-0.0743924j 0.0329142-0.107132j -0.0621+0.00733748j -0.0592532-0.143013j -0.0457115+0.0165957j -0.0180885-0.000368432j -0.0946799-0.240264j 0.12977-0.105432j -0.109762+0.160042j -0.233617-0.0132428j -0.320377-0.145354j -0.0945772+0.192604j -0.259747-0.0846344j 0.0937271+0.0683276j -0.0948199+0.00989155j 0.0388246-0.155515j 0.011623-0.0937802j 0.073086+0.0565906j -0.0318898+0.0965121j -0.176401-0.00526761j -0.0738465+0.0355588j 0.138562-0.0699093j 0.0618604+0.0137516j -0.102986+0.0608279j -0.0828355-0.0746692j -0.0918722+0.0677793j 0.00339865+0.0630473j -0.214093+0.0468679j 0.0566879+0.0430914j 0.160782+0.0711295j -0.0862897-0.103427j -0.00645564-0.0719271j -0.0640368-0.00216973j -0.0161269+0.0654173j 0.0322975+0.0135885j -0.0370947-0.0773456j 0.0144477+0.0250131j 0.00521077-0.0207838j -0.00669742+0.0418214j 0.0074834+0.0493172j -0.0382309-0.0379438j 0.0306029-0.0129484j -0.00448861+0.0453217j 0.0258768+0.0101075j 
0.00844194-0.0199181j 0.051161+0.00371297j 0.00146385-0.0345228j -0.0158638+0.0587748j 0.00594874-0.00260232j 0.0682688-0.0164598j 0.0168581+0.00977041j -0.0234181+0.010945j -0.0135292-0.0423712j 0.0159969+0.00523903j 0.0118308+0.0527316j -0.0580467-0.0488944j 0.0312958+0.0349444j -0.0698678-0.0161471j -0.00688128-0.0416232j -0.0360599+0.122884j 0.0241637-0.076815j 0.115475+0.00656666j 0.181123+0.0257122j 0.0876944+0.0783961j -0.0349335-0.0574587j 0.123242-0.027705j 0.0162219+0.0925032j -0.160883-0.0354802j 0.130834-0.0323715j -0.0696388+0.0374588j 0.127234-0.0144742j 0.0236869+0.00573917j 0.155874+0.0431789j 0.0232728+0.119593j -0.0978602-0.0404101j -0.25443+0.0769335j -0.033993-0.0129202j 0.16728+0.0466461j 0.104704-0.10066j 0.156003-0.154394j 0.0288148+0.103395j -0.0409982+0.0930366j -0.267773+0.109784j 0.073371+0.0198262j 0.00282986-0.166162j 0.0825269+0.0590212j 0.0536544+0.00850955j 0.115783-0.00910201j -0.0490445-0.142647j 0.0143402-0.191664j 0.0232626+0.0148361j -0.0919122-0.0754577j 0.0130433+0.0491406j -0.0133025+0.0768876j -0.0691507+0.218079j 0.0279005+0.148544j -0.0242796+0.207175j -0.0585025+0.0393758j -0.0701716+0.116472j 0.0387626-0.137384j -0.0573563+0.0454908j 0.0240656+0.0291362j -0.00604894-0.0785386j -0.00497505-0.0357925j 0.00688719-0.0100719j -0.0877697-0.00023463j 0.0265251-0.0279561j 0.0699274+0.0421165j -0.00737012-0.0253947j 0.0449981+0.0358066j 0.006841+0.0121016j 0.0305918-0.0427831j -0.0479743-0.0222938j -0.011706+0.0343156j 
-0.0447325+0.00510443j 0.00916901-0.031993j 0.00650123+0.0105565j -0.0130298+0.00584393j 0.0006727+0.00346295j -0.00924252-0.0584771j -0.047362-0.0216485j 0.0283978-0.00778269j 0.00196991+0.0266253j -0.0334395+0.0499449j 0.0405316-0.0102487j -0.0089033+0.0600522j -0.0111382-0.0057661j 0.0122964+0.00144187j -0.00144871-0.187583j 0.0728445-0.0789948j -0.0474435-0.00617796j -0.0176127+0.16238j 0.0735012+0.098273j 0.0117168-0.0422036j -0.0163254+0.0559216j -0.0921131+0.00937161j 0.101008+0.0411892j 0.0475305+0.0315366j 0.177138+0.195035j -0.00418876+0.0136784j 0.0162158+0.108144j -0.203769-0.0328913j -0.0019411-0.010633j 0.148233+0.0167205j 0.127778+0.182989j 0.100162+0.0568914j -0.00155913+0.018373j -0.00639281-0.0209989j 0.197623+0.144243j -0.199852-0.0938841j 0.0942562-0.09271j -0.0196086-0.0151904j 0.164612+0.0428451j -0.0651196+0.206251j -0.0584235-0.209634j 0.223668+0.00723726j -0.150774-0.00961409j 0.179969+0.143902j 0.0584067-0.0234391j -0.0218959+0.13346j -0.141563+0.0528152j -0.0461074-0.0190593j -0.238322-0.0422072j -0.0177999+0.146107j -0.0198667+0.0991906j -0.0623554+0.0196698j -0.0178762-0.0876626j 0.0580388+0.095534j -0.0814294-0.155149j -0.0440955-0.0184997j 0.0419735-0.00979922j -0.00690165+0.0414581j -0.030885-0.0239707j -0.0255884-0.00504857j -0.00323933-0.00851096j 0.0372831-0.0448129j 0.0405984+0.00087486j -0.0470657+0.00715608j 0.0283868+0.0117485j 0.00422774-0.00494813j -0.0438596+0.0208003j 0.0119022-0.00935993j -0.0117704+0.0327339j 0.0322917+0.00268025j 
