-0.100212+0.0734481j 0.105691+0.177148j -0.0350941-0.0347146j 0.154621+0.0328395j -0.0428423+0.112879j 0.0623488-0.196064j -0.00849616-0.0162701j 0.0415327+0.00121635j 0.063251+0.00825925j 0.118572-0.115752j 0.0988909-0.0795103j 0.0438419+0.173249j 0.200556+0.227878j 0.165568+0.0733525j 0.132072-0.183392j 0.00291753+0.00479135j -0.00425532-0.0093806j -0.00635951-0.015984j 0.0189294-0.00891509j 0.0101724-0.0216803j 0.00415725+0.00934525j -0.0296362+0.0132059j 0.0333262-0.013728j 0.00407496-0.00863843j -0.0174019+0.0241606j -0.254014-0.0492394j -0.287011-0.0748197j -0.0879639+0.0589159j 0.003211-0.0209636j -0.0250576+0.0109968j 0.0158232+0.0373552j -0.00484088+0.015854j -0.068074+0.327224j 0.0543669+0.275937j 0.0841358-0.1998j 0.101744+0.288283j -0.0160471-0.0633393j 0.418761-0.0241634j 0.170826-0.235538j -0.154899-0.169566j 
0.0381823-0.156624j -0.0551786+0.0261048j -0.179697+0.0385242j 0.0047632-0.0376381j -0.206759+0.0239851j 0.111922-0.0795499j -0.0645772+0.0621907j 0.076085-0.117246j 0.0549632-0.20725j -0.244722-0.139879j 0.129-0.0778221j 0.0473122+0.118402j 0.232158-0.0507257j 0.18326+0.144528j 0.0324692-0.25314j 0.00934998-0.00196025j -0.00514941+0.00641226j -0.00577835-0.0106048j -0.0071953-0.0634957j 0.0969724-0.0530157j -0.0542133-0.0291333j -0.177894+0.0640251j 0.196601+0.0207341j 0.0387117-0.0166735j 0.0155717-0.00996531j 0.0880679+0.138837j 0.200123+0.0516622j -0.0511728-0.334122j -0.106896-0.145351j -0.0350087-0.0956865j 0.0151291-0.155289j 0.144112-0.00336484j 0.163006-0.158702j -0.0440619-0.0901347j -0.230521+0.114978j -0.149243-0.12777j 0.0893887-0.224649j -0.178833-0.0333214j 0.0801926+0.0523637j -0.048474-0.00196099j 
0.0133672+3.81385e-06j -0.19105+0.000407696j 0.102348-0.164602j 0.249745+0.000930761j 0.2113+0.0480384j -0.100712-0.165953j 0.0387318+0.0328819j 0.0059322-0.189519j 0.078877-0.105881j -0.258547-0.0021323j 0.153989-0.000879396j -0.0981508-0.0693224j -0.0754652-0.104623j 0.0257654+0.187136j 0.0391335-0.0356795j -0.015654-0.0167535j -0.000274274+0.00895969j 0.0350506-0.0292677j 0.018386-0.0312537j 0.177788-0.0665555j -0.200976+0.0631589j 0.163716-0.0356523j -0.142749+0.0102397j 0.173571+0.248237j -0.167251-0.301655j -0.0336953-0.000903496j -0.00314352+0.0134146j 0.00562393-0.000198842j -0.000412077+0.270711j 0.114214+0.00197516j -0.174795+0.298298j -0.21489+0.212468j 0.139877+0.0136611j -0.161209-0.0388448j 0.200631+0.0673528j 0.178806+0.0638215j 0.019817+0.0297112j -0.0341885-0.0305928j 0.000468837-0.0085814j -0.0160228+0.0152182j 
-0.0405087-0.15572j 0.0588769+0.02364j 0.11357+0.0764612j -0.00189469-0.0383388j 0.179938+0.107919j -0.181059-0.0391911j -0.0268728-0.249513j -0.166098+0.162027j 0.225317+0.0621959j 0.255251-0.133055j -0.127661-0.074048j -0.123544-0.0081322j 0.0491622+0.21136j -0.0889909-0.112996j 0.0641287+0.0663026j 0.0468964+0.00576827j -0.0771058+0.0542734j -0.190878+0.0306192j -0.0839236-0.22348j 0.146575-0.136989j -0.230962-0.127588j -0.0409207+0.0960104j 0.155194+0.169597j 0.139462+0.0272795j -0.0109166-0.155531j -0.102099+0.134316j 0.208029+0.00305724j 0.0558335-0.326175j -0.104094+0.148625j 0.0362303-0.0927062j -0.0156674-0.00782752j 0.0318807+0.0206124j 0.191743-0.0115692j -0.175886-0.0610732j -0.0466857+0.0232645j -0.0948107-0.0445822j 0.00506921-0.0584605j 0.00173683+0.0117797j 0.00400839+0.00322567j -0.00946066-0.00230762j 
-0.0999481-0.0701499j 0.105017-0.178124j -0.0627765-0.199096j 0.156429-0.0309012j 0.00807514-0.122803j 0.0378176-0.0347842j 0.12974+0.189195j 0.161641-0.0907826j -0.208144+0.223957j 0.112048+0.121163j 0.0990697+0.0835676j 0.180318-0.0143939j -0.0667466+0.00269222j 0.0426713-0.00314691j -0.00999739+0.016258j -0.160907+0.166857j 0.166744+0.238806j -0.414149-0.0323491j -0.0144081+0.0723637j 0.0902564-0.289646j -0.0767844-0.202397j -0.0516194+0.27294j 0.056076+0.321568j 1.84535e-05+0.0156102j 0.0162069-0.0348774j -0.254357+0.0409352j 0.290702+0.00409759j -0.0889687-0.047349j -0.000332533-0.0235249j -0.0253159-0.00754798j -0.0180333-0.0204378j -0.00508373-0.00825464j -0.0396696-0.011758j 0.0339687+0.0152922j -0.000329105+0.00744439j 0.0156443+0.0230618j 0.0195717+0.0113833j 0.00685549-0.0167505j -0.00476539+0.00941567j 0.00348506-0.00481375j 
-0.0352069-0.0941227j -0.0307334+0.0115771j 0.0280613+0.0189206j -0.0864971-0.00900608j 0.0393105-0.101653j 0.0623301-0.115379j -0.00297222+0.0189527j -0.0377987-0.00085554j -0.0329283+0.000258482j -0.0327523+0.023536j -0.0712759+0.0850465j -0.0148305-0.121348j -0.00438339+0.00934609j 0.0449178-0.0719578j 0.171262-0.0705577j 0.00183721-0.0137519j 0.0205388+0.0119951j 0.0260265+0.012729j 0.0036895-0.0086754j 0.0390208-0.0185314j -0.0191345+0.00423344j -0.0250997+0.0325739j 0.0335969-0.0392746j -0.0107733+0.0246396j 0.0070153+0.00488114j 0.0439125+0.178095j 0.0218185+0.179083j 0.017771+0.0371317j 0.00661865-0.0229096j -0.0160038+0.0129259j 0.052424-0.0241279j -0.0518193+0.0377524j 0.028062-0.0341839j 0.00396704+0.0220537j -0.0936999-0.00198912j 0.151652+0.0599929j -0.165548+0.042349j 0.00951435+0.195619j 0.153216+0.0132696j 0.230224-0.0265789j 
-0.129266-0.06467j -0.00243935+0.0160525j -0.0954899-0.014942j -0.0251613+0.105213j 0.0193874+0.0318144j -0.0572829+0.00194491j -0.0676548+0.0276133j 0.0819503-0.0935559j 0.0873843-0.0735787j 0.0613332-0.0174556j 0.0479791+0.0461026j -0.030017+0.0627322j -0.0942295+0.0564216j 0.0519251-0.0578735j -0.172241-0.00724526j 0.0314682-0.00656439j -0.0231946+0.0608235j -0.0179874+0.0860439j 0.0228271+0.00542463j 0.0429476+0.118223j -0.0157488-0.0503421j -0.064794-0.147359j 0.0831381+0.158851j -0.0620396+0.0166648j -0.0212438+0.0330192j -0.0722871-0.0405599j -0.059988-0.0929777j 0.0255929-0.00577159j 0.0801254-0.0142352j 0.0177721-0.027277j 0.101084+0.0382319j -0.164559-0.0458473j -0.0123515-0.0428625j 0.0177673+0.0297526j 0.0926421+0.0598168j -0.146487+0.102425j -0.052444-0.105063j -0.164778-0.0757215j -0.00555737-0.0654349j -0.262578+0.173582j 
-0.0572222+0.00411328j 0.00809513-0.0266112j -0.131679+0.0714641j -0.00629808+0.113474j 0.120448-0.0104257j 0.0145546+0.00706212j 0.01351-0.0316688j -0.0890859-0.0173227j -0.07856+0.00351761j -0.0260739+0.0412782j 0.0196548+0.148564j -0.041584-0.0599564j 0.0441971+0.0308867j -0.0513266-0.100427j 0.114059-0.125918j 0.0342487+0.0706904j -0.0573054-0.0848298j -0.0938415-0.119919j 0.0137783-0.0937332j -0.0736606-0.135414j 0.0836286+0.116114j 0.00386156+0.0303401j -0.035651-0.050516j 0.0712755-0.02053j -0.0873262+0.0222403j -0.0264697-0.0606431j -0.0870169-0.0538772j -0.0901444-0.00851482j -0.0475596+0.00932531j 0.146275+0.0189272j -0.184383-0.029071j 0.106837-0.0384148j -0.0257237+0.0792651j 0.0296298-0.0604648j -0.0896521-0.0236436j -0.0734736+0.0553062j 0.148719+0.0285409j 0.0675808-0.134164j -0.156946+0.185855j 0.10735-0.0226854j 
-0.13128+0.000193014j -0.00832669+0.000399245j 0.0509607+0.0315865j 0.0894721-0.00202799j -0.0658743-0.0139984j -0.048523+0.0317866j 0.107161-0.180701j -0.0398165-0.0666295j -0.0867631-0.0200694j -0.079337-0.00105629j -0.117086-0.00248859j 0.149822+0.106182j 0.0889723-0.0216803j -0.0327337+0.0736179j 0.107092+0.183155j 0.0040108+0.124833j -0.00685043-0.0456104j -0.0744045-0.0655072j 0.0817551+0.0165802j 0.00655741+0.116876j -0.00318494-0.0685738j 0.134867+0.0889897j -0.122692-0.064002j -0.127228-0.0523899j -0.0140097-0.0605969j 0.0460114+0.000443509j 0.00707811-0.0351095j -0.0156519-0.000162089j 0.000710836+0.0720785j -0.140323+1.17001e-05j -0.0143335+0.0602312j 0.133458-0.0296846j 0.123127-0.0613911j -0.136309+0.0894742j 0.00520675-0.0684235j 0.00509091-0.119484j 0.0822927-0.0152952j 0.0783733-0.0637647j -0.00767251+0.0450429j 0.00715167-0.125649j 
-0.0560665-0.00422315j 0.00822471+0.0263857j -0.0158783+0.00615661j -0.00642327-0.11457j 0.105666+0.061269j 0.133163+0.0707277j 0.111997+0.127813j -0.0421+0.103926j -0.0442873+0.0314664j -0.0254906-0.0400762j 0.0226799-0.149051j -0.0715632-0.0224642j 0.0777594+0.00422009j -0.0857764+0.025455j 0.0137305+0.0295437j 0.101553+0.0189488j -0.154349-0.189123j -0.0655817-0.136261j 0.147338-0.0272025j -0.0777097-0.0556691j 0.0872251-0.0226433j -0.0324035-0.0604781j 0.026268+0.0791314j -0.094916-0.0528624j -0.184472+0.0288343j -0.0283777+0.0616934j 0.0990078-0.0306489j -0.0899817+0.00873624j 0.0464779+0.00860976j 0.149125-0.0187521j -0.0895316-0.0229324j -0.065891-0.0313933j 0.0345128-0.0491223j -0.00135181+0.0283677j -0.0845363+0.114724j -0.0684718+0.137971j 0.0152701+0.093367j 0.0951834-0.119801j -0.0606974+0.0837658j 0.0366435-0.0700809j 
0.128452-0.0655343j 0.00302119+0.0156201j -0.0578752+4.10097e-05j 0.0280451+0.105374j -0.0313898+0.0189403j -0.0944045+0.0155526j 0.172505-0.00757877j -0.0589356-0.0547984j -0.097238-0.056436j -0.0637607-0.016229j -0.0466943+0.0472493j -0.0460084+0.0486377j 0.0888588+0.0731788j -0.0916428-0.0846895j 0.0691439+0.0296284j 0.255099+0.176063j 0.00327404-0.0675863j -0.165998+0.0690415j 0.0575129-0.10359j 0.144489+0.0990353j 0.0923461-0.061334j 0.0180117-0.0298289j -0.0126331+0.0433548j -0.173689+0.0175865j -0.105677+0.0380578j 0.0705801-0.0364848j -0.0809782+0.0688611j -0.0263184-0.00452735j 0.0806534+0.0126118j -0.015971-0.0273806j 0.0194194+0.0342987j -0.05801-0.0271169j 0.0870123-0.159488j -0.0656161+0.149043j -0.016039+0.0483825j -0.0411364+0.119737j -0.0208245+0.00554994j -0.015025-0.089596j 0.019848+0.0630134j -0.0310233-0.00782283j 
