0.0635437-0j 0.0102543-0j 0.00837262-0j 0.00120848-0j 0.00104658-0j 0.00012334-0j 5.62969e-06-0j 0.0582412-0j 0.00920875-0j 0.00728015-0j 0.00485344-0j 0.0010508-0j 0.00121336-0j 0.000428987-0j 0.000101113-0j 0.000107247-0j 8.93723e-06-0j 3.33071e-07-0j 0.037889-0j 0.0382817-0j 0.00590699-0j 0.0059682-0j 0.00457553-0j 0.000660421-0j 0.00462295-0j 0.00417687-0j 0.000667265-0j 0.00422016-0j 0.000738374-0j 0.000492249-0j 6.15311e-05-0j 0.000746025-0j 0.0004263-0j 0.00049735-0j 6.21688e-05-0j 0.000430718-0j 8.70182e-05-0j 4.35091e-05-0j 8.79199e-05-0j 5.12759e-06-0j 4.396e-05-0j 6.28e-06-0j 5.18073e-06-0j 4.05372e-07-0j 6.34507e-06-0j 4.09573e-07-0j 1.2768e-08-0j 1.29003e-08-0j 
0.00920875-0j -0.0702942-0j 0.00121336-0j -0.0167436-0j -0.00717437-0j -0.00257227-0j -0.000196223-0j 0.000120138-0j -0.000898535-0j 1.50172e-05-0j 1.00115e-05-0j -0.000207229-0j -0.000118392-0j 8.849e-07-0j -3.00152e-05-0j -2.11502e-05-0j -3.54347e-06-0j -1.9843e-07-0j 0.00549087-0j -0.00538984-0j -0.0404929-0j 0.0397478-0j 0.000663086-0j -0.00915019-0j -0.000650885-0j 0.000605312-0j 0.00898183-0j -0.000594174-0j -0.00506161-0j -0.00337441-0j -0.00128324-0j 0.00496848-0j 6.17794e-05-0j 0.00331232-0j 0.00125963-0j -6.06427e-05-0j -0.00120564-0j -0.000298258-0j 0.00118346-0j -0.00014283-0j 0.00029277-0j -0.00013097-0j 0.000140202-0j -1.41293e-05-0j 0.00012856-0j 1.38693e-05-0j -6.23782e-07-0j 6.12305e-07-0j 
0.00457553-0j 0.000738374-0j -0.0580054-0j 8.70182e-05-0j -0.0145767-0j -0.000854501-0j 4.05372e-07-0j 0.00419372-0j 0.000663086-0j -0.0504369-0j 0.000349477-0j 7.5664e-05-0j -0.00840614-0j -0.00897784-0j 7.28077e-06-0j -0.00149373-0j -6.19171e-05-0j 2.39831e-08-0j -0.00268448-0j 0.00275651-0j -0.000418516-0j 0.000429747-0j 0.0311908-0j -4.67915e-05-0j -0.0320278-0j -0.000295936-0j 4.80472e-05-0j 0.000303877-0j 0.00503339-0j -3.48764e-05-0j -4.35955e-06-0j -0.00516846-0j 0.00584226-0j 3.58123e-05-0j 4.47653e-06-0j -0.00599904-0j 0.000593191-0j 0.000895951-0j -0.000609109-0j -3.63295e-07-0j -0.000919994-0j 8.60647e-05-0j 3.73044e-07-0j 2.76336e-06-0j -8.83742e-05-0j -2.83752e-06-0j -9.04627e-10-0j 9.28903e-10-0j 
-0.000660421-0j 0.0101891-0j -8.70182e-05-0j -0.0561942-0j 0.00103992-0j -0.0175748-0j -0.00270205-0j -0.000605312-0j 0.00915019-0j -7.5664e-05-0j -5.04427e-05-0j -0.0488619-0j 0.00120564-0j -4.45854e-06-0j -0.0144077-0j -0.00498695-0j -0.0025648-0j -0.000240293-0j 0.000387471-0j -0.000397868-0j -0.00577528-0j 0.00593025-0j 4.67915e-05-0j 0.0302168-0j -4.80472e-05-0j 4.27146e-05-0j -0.0310277-0j -4.38609e-05-0j -0.00072191-0j -0.000481273-0j 0.00862696-0j 0.000741282-0j 4.35955e-06-0j 0.000494188-0j -0.00885846-0j -4.47653e-06-0j 0.00398142-0j -4.25389e-05-0j -0.00408825-0j 0.00144791-0j 4.36804e-05-0j 0.000880486-0j -0.00148676-0j 0.000191443-0j -0.000904113-0j -0.00019658-0j 1.27068e-05-0j -1.30478e-05-0j 
-0.00462295-0j -0.000746025-0j 0.0586066-0j -8.79199e-05-0j 0.0147278-0j 0.000863356-0j -4.09573e-07-0j 0.00411656-0j 0.000650885-0j -0.0495088-0j 0.000343047-0j 7.42718e-05-0j -0.00825147-0j -0.00881265-0j 7.14681e-06-0j -0.00146625-0j -6.07778e-05-0j 2.35419e-08-0j -0.00275651-0j 0.00278395-0j -0.000429747-0j 0.000434025-0j 0.0320278-0j -4.80472e-05-0j -0.0323466-0j -0.000303877-0j 4.85254e-05-0j 0.000306902-0j 0.00516846-0j -3.58123e-05-0j -4.47653e-06-0j -0.0052199-0j 0.00599904-0j 3.61687e-05-0j 4.52109e-06-0j -0.00605875-0j 0.000609109-0j 0.000919994-0j -0.000615172-0j -3.73044e-07-0j -0.000929151-0j 8.83742e-05-0j 3.76757e-07-0j 2.83752e-06-0j -8.92538e-05-0j -2.86576e-06-0j -9.28903e-10-0j 9.38148e-10-0j 
0.000667265-0j -0.0102947-0j 8.79199e-05-0j 0.0567765-0j -0.0010507-0j 0.017757-0j 0.00273005-0j -0.000594174-0j 0.00898183-0j -7.42718e-05-0j -4.95145e-05-0j -0.0479629-0j 0.00118346-0j -4.37651e-06-0j -0.0141426-0j -0.00489519-0j -0.0025176-0j -0.000235872-0j 0.000397868-0j -0.000401829-0j -0.00593025-0j 0.00598928-0j 4.80472e-05-0j 0.0310277-0j -4.85254e-05-0j 4.38609e-05-0j -0.0313365-0j -4.42974e-05-0j -0.000741282-0j -0.000494188-0j 0.00885846-0j 0.00074866-0j 4.47653e-06-0j 0.000499107-0j -0.00894664-0j -4.52109e-06-0j 0.00408825-0j -4.36804e-05-0j -0.00412895-0j 0.00148676-0j 4.41152e-05-0j 0.000904113-0j -0.00150156-0j 0.00019658-0j -0.000913112-0j -0.000198537-0j 1.30478e-05-0j -1.31776e-05-0j 
0.00303125-0j 0.000489166-0j -0.0582089-0j -0.00840173-0j 4.99253e-05-0j 5.88375e-06-0j 2.68555e-07-0j 0.0027783-0j 0.000439289-0j 0.000347288-0j -0.0677166-0j 5.01267e-05-0j -0.00843563-0j 2.04641e-05-0j -0.000702969-0j 5.11604e-06-0j 4.26336e-07-0j 1.58886e-08-0j 0.00180743-0j 0.00182617-0j 0.000281783-0j 0.000284704-0j 0.000218269-0j 3.15043e-05-0j 0.00022053-0j -0.0290389-0j 3.18308e-05-0j -0.0293398-0j 3.52229e-05-0j -0.00686801-0j 2.93524e-06-0j 3.55879e-05-0j -0.00296377-0j -0.00693918-0j 2.96566e-06-0j -0.00299448-0j -0.000604976-0j 2.07553e-06-0j -0.000611245-0j -3.56486e-05-0j 2.09704e-06-0j 2.99577e-07-0j -3.6018e-05-0j 1.93376e-08-0j 3.02682e-07-0j 1.9538e-08-0j 6.09078e-10-0j 6.1539e-10-0j 
-0.000535854-0j 0.0040904-0j 0.00679319-0j 0.000974307-0j -0.0807513-0j -0.0144013-0j 1.14182e-05-0j -0.000491139-0j 0.00367332-0j 0.00590681-0j -4.09283e-05-0j 0.000847179-0j -0.0465679-0j 0.00105142-0j 0.000122706-0j -0.0167247-0j -0.00139377-0j 8.11206e-07-0j -0.000319512-0j -0.000322823-0j 0.00235627-0j 0.00238069-0j 0.0037124-0j 0.000532447-0j 0.00375087-0j -3.52229e-05-0j 0.000537965-0j -3.55879e-05-0j -0.0283383-0j 0.000196356-0j 7.46712e-05-0j -0.0286319-0j 0.000695359-0j 0.000198391-0j 7.5445e-05-0j 0.000702565-0j -0.00674999-0j -0.00504425-0j -0.00681994-0j 8.31121e-06-0j -0.00509653-0j -0.00147413-0j 8.39734e-06-0j -7.91051e-05-0j -0.00148941-0j -7.99248e-05-0j 3.62977e-08-0j 3.66739e-08-0j 
-0.00375098-0j -0.000605312-0j 0.0720299-0j 0.0103966-0j -6.17794e-05-0j -7.28077e-06-0j -3.3232e-07-0j -4.89356e-05-0j -7.73739e-06-0j -6.11695e-06-0j 0.00119272-0j -8.82905e-07-0j 0.000148581-0j -3.60445e-07-0j 1.23817e-05-0j -9.01111e-08-0j -7.50926e-09-0j -2.79854e-10-0j 0.00220071-0j 0.00219543-0j 0.000343096-0j 0.000342273-0j 0.000265761-0j 3.83593e-05-0j 0.000265124-0j -0.0353573-0j 3.82673e-05-0j -0.0352726-0j 4.2887e-05-0j -0.00836239-0j 3.57391e-06-0j 4.27842e-05-0j -0.00360864-0j -0.00834235-0j 3.56535e-06-0j -0.00359999-0j -0.000736611-0j 2.52714e-06-0j -0.000734845-0j -4.34052e-05-0j 2.52108e-06-0j 3.64761e-07-0j -4.33012e-05-0j 2.35452e-08-0j 3.63887e-07-0j 2.34888e-08-0j 7.41605e-10-0j 7.39827e-10-0j 
4.46545e-05-0j -0.00103701-0j 5.88375e-06-0j 0.0116432-0j -0.00010584-0j -0.0550058-0j -0.0262-0j 4.09283e-05-0j -0.000931274-0j 5.11604e-06-0j 3.41069e-06-0j 0.010124-0j -0.000122706-0j 3.01465e-07-0j -0.0450933-0j 0.00103327-0j -0.0164631-0j -0.0031164-0j 2.6626e-05-0j 2.6902e-05-0j -0.000597369-0j -0.00060356-0j 3.2154e-06-0j 0.00636285-0j 3.24872e-06-0j 2.93524e-06-0j 0.00642879-0j 2.96566e-06-0j -7.46712e-05-0j -4.97808e-05-0j -0.0274409-0j -7.5445e-05-0j 2.99577e-07-0j -5.02967e-05-0j -0.0277253-0j 3.02682e-07-0j 0.000838379-0j -4.40004e-06-0j 0.000847067-0j -0.00944546-0j -4.44564e-06-0j -0.00280068-0j -0.00954335-0j -0.00188656-0j -0.0028297-0j -0.00190611-0j -0.000209718-0j -0.000211892-0j 
0.00218807-0j 0.000353099-0j -0.0420174-0j -0.00606469-0j 3.6038e-05-0j 4.24712e-06-0j 1.93853e-07-0j -0.00392534-0j -0.00062065-0j -0.000490667-0j 0.0956736-0j -7.08217e-05-0j 0.0119183-0j -2.89128e-05-0j 0.000993192-0j -7.22821e-06-0j -6.02351e-07-0j -2.24483e-08-0j 0.00130468-0j 0.00120722-0j 0.000203402-0j 0.000188209-0j 0.000157555-0j 2.2741e-05-0j 0.000145786-0j -0.0209614-0j 2.10424e-05-0j -0.0193956-0j 2.54253e-05-0j -0.00495759-0j 2.11877e-06-0j 2.35261e-05-0j -0.00213936-0j -0.00458727-0j 1.96051e-06-0j -0.00197956-0j -0.000436695-0j 1.4982e-06-0j -0.000404075-0j -2.57325e-05-0j 1.38629e-06-0j 2.16246e-07-0j -2.38104e-05-0j 1.39586e-08-0j 2.00093e-07-0j 1.2916e-08-0j 4.39656e-10-0j 4.06815e-10-0j 
