0.00760558-0.0116946j 0.0148672-0.00116308j -0.0172079+0.00185329j -0.0053731+0.010921j 0.00114081+0.00508276j 0.00739438-0.00403598j 0.00739993+0.00136089j -0.00303272-0.00689696j 0.00625452+0.000259357j -0.00128236-0.0001755j 0.00401142+0.000125348j -0.00077589-0.00378356j -0.00261674+0.00189241j -0.000889088+0.00233163j -0.012435+0.00365758j 0.000987043-0.000501042j -0.00458874+0.00376618j -0.00504784+0.00495188j 0.00460869+0.000225894j -0.00414175-0.00717939j -0.00300732+0.00266653j -0.00495572+0.0011625j -0.00201837-0.000623674j 0.0111913-0.00259728j -0.00169065+0.00610588j 0.00034026+0.00399744j -0.00651973+7.3331e-05j -0.00853149+0.00973392j -0.0172336+0.0079581j 0.00116593+0.00125682j 0.00483671-0.00213802j 0.00185131+0.00282242j -0.00129387-0.00348046j 0.0083981-0.0015708j -0.00474513-0.000791423j 0.00385502+0.00218956j -0.00410873-0.000614211j 0.00200446-0.00253937j 0.00133737-0.00844066j -0.0121875+0.00208311j 0.00270024-0.0044127j -0.0100131-0.00647014j 0.00433288-0.00143186j -0.00308041+0.00477497j -6.23247e-06+0.0038783j -0.00171787+0.00245067j 0.00336622-0.0014345j -0.000921082-0.00534346j 0.00402428+0.00157211j 0.00323735-0.00415941j 0.00606042+0.00113432j -0.00721082-0.00216418j -0.00622288-0.00273441j 0.00205787+0.00117277j -0.003556+0.00202974j -0.0035695+0.0011894j -0.00180624-0.0102879j 0.00669675+0.00644258j -0.00562326-0.00105985j -0.00263149-0.000182502j 0.00335302+0.00299122j 0.00253219+0.00190637j -0.00580466-0.00754857j 0.00581283+0.00268708j -0.0087689-0.00180802j -0.00330531+0.0106789j -0.00370959+0.00280196j -0.00365397+0.00602343j 0.00520927+0.00679406j 0.00175399+0.00326099j -0.00379555-6.72354e-05j 0.0017752-0.00471953j -0.00445127-0.00490513j 0.0136131+0.00429649j -0.000979382+0.0139259j -0.00169599+0.0173195j 0.0174661+0.00968831j 
-0.0103642-0.0015661j 0.00960844-0.0109521j 0.00117968+0.00360275j 0.00865384-0.000985891j 0.00160437-0.00712096j -0.0152641+0.00168802j -0.00214741-0.00411092j -0.00530667+0.00426472j -0.0086315+0.00612057j -0.00852355+0.00519551j 0.0118812-0.00414329j -0.00742865-0.00147761j -0.000638886+0.00759895j -0.00516831-0.00641759j -0.009612+0.00245416j 0.00243702+0.00217584j 4.72979e-05+0.00522597j 0.000516971+0.000120793j -0.000870613+0.00060607j 0.00545431-0.00669453j -0.00296056+0.00801849j -0.00272118-0.000894838j 0.00924113-0.00371192j -0.0063479+0.00450979j -0.00933875+0.00200464j 0.00531955+0.00362988j 0.00159479+0.000302724j -0.00225858-0.000109147j -0.00191188-0.00101016j 0.00044406-0.00481587j 0.00519408+0.000698182j 0.00336205+0.00206384j 0.00534397+0.00116607j 0.00268359+0.00159951j -0.000331007+0.00311378j 0.00974363-0.0117638j 0.0174879-0.00166929j 0.00510889-0.00239846j -0.0103392-0.00147366j 0.00227109-0.00424582j -0.0100102+0.000689038j -0.00976389+1.98074e-05j -0.00159924+0.00525256j -0.00446529-0.000982364j 0.000814275-0.00027522j -0.00429345-0.00404606j 0.01116+0.000682582j 0.00516864+0.000178032j -0.00386785-0.00110233j 0.000454555-0.00387165j -0.00183902+0.00708502j -0.00417531-0.00223143j 0.000226212-0.00442997j 0.00537346-0.00184162j 0.00038694-0.00707233j 0.00300484+0.000714451j 0.00851089+0.00316925j 0.00447325+0.00718715j 0.00283375+0.00156127j 0.00934142+0.0045528j -0.00364109+0.0013504j -0.00212799-0.00258166j 0.00156277-0.000439016j 0.00263633+0.0087185j -0.00499661-0.00010482j 0.00739103-0.00130211j 0.00229622+0.0113785j -0.00922145+0.00036177j -0.00335469-0.00206862j -0.000913085+0.0122406j -0.00201543+0.00675807j -0.011239+0.00220332j -0.00757405-0.0111002j -0.00756559-0.0095193j 0.00226466-0.00670653j 0.0152722+0.0102203j 0.0049138-0.0133104j 
-1.38934e-05-0.00484684j 0.0104604-0.00457023j -0.00555043-0.000126249j -0.00287363+0.00439735j -0.00479773+0.00130591j -0.00436957+0.00268054j -0.000931512+0.0023748j 0.00299799-0.00315105j 0.0136461-0.00120019j 0.00302567+0.00279105j -0.00214181-0.00211675j -0.00128262+0.000965424j 0.00362698-0.000846825j -0.00135413+3.331e-05j -0.00394737+0.00187825j -0.00795303+0.00274802j 0.0068433-0.00156541j -0.00409682+0.00187927j -0.0163489+0.00444297j 0.00721881+0.000328097j -0.0151596+0.00583357j 0.00920826+0.00023233j 0.00984391-5.11124e-05j -0.015158+0.0013053j 0.0186223-0.00622963j 0.00501736+0.00443696j 0.0140547-0.00585425j -0.00229253+0.002444j 0.0178944+0.00344704j 0.00440093+6.85992e-05j 0.00374166+0.000242457j -0.00100881+0.0020774j 0.0115171+0.00131857j -0.000913943-0.000682579j 0.00645772+0.00144052j -0.0174744-0.00067657j 0.00379394+0.0025797j -0.00201987+0.000375942j 0.0141206-0.00231439j 0.00696832+0.000379553j -0.00288979-0.00298432j 0.00760914+0.00101957j 0.0036996+0.00123433j -0.0100082-0.00365489j 0.00211656+0.0026549j 0.0014824+0.00267583j -0.00108653-0.00118813j -0.00130489-0.00367377j 0.00685901+0.00387637j -0.00987133-0.0052099j 0.0012096-0.00213411j 0.00262132+0.00107184j -0.00168796-0.00597729j 0.00110144+0.0039895j -0.00543914-0.00855149j -0.00491809+0.00138704j 0.00483742+0.00123365j -0.000693271-0.00130478j -0.000676222-0.00263635j -0.0016493+0.00322267j -0.00048548-0.00290578j 0.00584069+0.00367706j -0.000244626-0.00130472j -0.00850797-0.00630701j 0.00106158+0.00400845j -0.00286357-0.00167654j -0.0012419-0.00087384j -0.000773947-0.000340078j 0.000337619+0.00814735j 0.00202735-0.000554935j 0.00327445+0.00280394j 0.00268916-0.000904815j 0.00126509+0.000434713j 0.00504054+0.00533529j -0.00595814+0.00274342j 0.00436776+0.00843739j 0.006664+0.000568423j 
0.000825159-0.00126271j 0.00120964+8.35413e-05j -0.00161123+0.00258288j 0.0057408-0.00161713j 0.00733267-0.00188474j 0.00246934-0.00391929j -0.00407442+0.00340806j 0.0100047-0.00291249j -0.0108849+0.00485683j 0.00362384-0.00237053j -0.0119444+0.00470445j 0.00257231+0.000441414j 0.00147757-0.00458396j -0.00640977+0.00302173j -0.00888678+0.0021766j -0.0091643+0.00429695j 0.00909029+0.000470589j 0.00172608-0.00349622j -0.012673+0.00368417j -0.00841358+0.00450074j -0.0110742+0.00378149j 0.00895634-0.00206433j 0.00150728+0.00139741j -0.00962687-0.000621533j -0.0117247+0.00506712j 0.00014961-0.000264996j -0.0200403-0.000506799j -0.00119184+0.00173371j 0.00854347-0.000289231j -0.0143732+0.00559886j 0.0141942-0.000755948j -0.00657112-0.00144572j -0.00374862+0.00230939j 0.0110808+0.00411855j -0.00186224+0.00172576j -0.00149335-0.00481518j -0.0117827-0.00324502j 0.00939843+0.000237012j -0.00516366+0.00207409j -0.000815661-0.000973052j -0.00764644-0.00087487j 0.00889167-0.00157927j 0.00500059-0.00111575j 0.0032211+5.57142e-05j -0.000550041+0.000646384j 0.00574678+0.00332989j 9.76371e-05+0.000122937j -0.00690043-0.000891585j -0.00422692-0.00427165j 0.0109527+0.00388021j -0.0128599-0.00564759j 0.00281143+0.00387347j -0.007635+0.00033383j -0.00129094-0.000279477j -0.00630015-0.00584335j 0.000186413+0.00140478j -0.00360052-0.00256674j 0.000971035+0.000637386j 0.00340146-0.000951977j -0.00769985-0.00739822j -0.00282921+0.000945079j -0.0063324-0.003426j 0.001537-0.00135903j -0.00011998-0.000630186j -0.00746795-0.00767756j -0.00831865-0.00109343j 0.00279478-0.0029115j 0.00105134+0.001619j -0.00373827-0.00303486j 0.00213823+0.00611415j -0.01101-0.00545894j 0.0035096-0.00266234j 0.000760229+0.00123744j -0.00196043-0.00379974j 0.00390053+0.000944544j -0.00074075+0.00108196j 0.00121075+0.000852304j 
-0.00811746-0.000256703j 0.00996381-0.00881201j 0.00131425-0.00388725j -0.00750633+0.00492705j -0.0131824+0.00276984j -0.0040798+0.00356067j -0.000118289+3.48128e-05j -0.00489503+0.00420415j -0.00685148+0.00375197j 0.00361285-0.00252177j -0.00495342+0.00114504j 0.00864266-0.00300885j 0.000158394+7.21993e-05j 0.0115358-0.00685957j 0.00511121-0.000556729j -0.00387333+0.000367743j 0.000570803-0.00283739j 0.00306641-0.00156944j 0.00330067+0.00014747j -0.0199113+0.00337467j 0.0030358+0.00719652j -0.0095977+0.0054522j -0.00377282-0.00161013j -0.00493632-0.00240483j -0.00988811+0.00217376j -0.0254647-0.000267822j 0.00143434-0.00273691j -0.00146094+0.000973877j -0.00239374+0.000549797j 0.00122036-0.00464223j 0.00162754-0.00538217j -0.0174528-0.00298512j -0.00715467+0.000109077j -0.0104521-0.00304974j 0.00596878+0.00256991j -0.00644721+0.00215093j -0.00131+0.00234719j -0.000208541-6.43667e-05j 0.00369329-0.00340524j -0.000781928-0.00385278j 0.005263+0.000439495j -0.00450233-0.00159171j 0.0117811+0.00616939j -0.00245669-0.00201332j -0.0105044-0.00668408j -0.00110556-0.00122712j 0.00611252+0.00240803j -0.00058092-0.000464053j -0.00452159-0.00205674j -0.00329322-0.00314658j -0.00123283-0.000987746j 0.00266268-0.00136779j 0.00258733-0.00269829j 0.000406784+0.00242865j 0.00322396-0.00355479j 0.00064206+0.00128242j -0.0103446-0.0053408j -0.00656481-0.00140923j 0.00105745+0.0036121j -0.00759545-0.0039252j -0.00481017-0.00400792j 0.000241704+0.00138882j 0.00207589-0.00114415j -0.000339805-0.00325892j -0.000165756+0.000603206j -0.00646332-0.00213724j -0.00230623-0.000748188j -0.00245177-0.00303317j -0.00259064+0.00238949j -0.00694653-0.00194346j 0.00477277+0.00385596j -0.00237862-0.000539021j 0.00192717-0.00293819j 0.00501333+0.00526298j -0.00849879-0.000423884j 0.00909981+0.0067776j 0.00260109-0.00528802j 
-0.00554795+0.00135939j 0.00369113-0.00441016j 0.00576721-0.00262203j -0.00100298-0.0007294j 0.00576696-0.00287155j 0.00521135-0.00542715j 0.00702932+0.00103269j 0.0156549-0.00647731j -0.00356435+0.00167968j 0.00445764-0.00043566j 0.00248702-0.0045901j -0.00741265+0.000818151j 0.011766-0.00620962j 0.0140946-0.00603451j -0.00849451+0.00602524j 0.000795286-0.00237294j -0.0100818+0.0035164j 0.00587622-0.00318927j 0.0044393+0.00297609j -1.99957e-05-0.00431785j 0.00639421-0.000443895j -0.0143974+0.00311025j 0.00661554+0.00199117j 0.00112175-0.00068608j 0.014064-0.00168136j -0.0100856+0.003078j -0.00188821-0.00195174j -0.00801441-0.00117386j 0.00295046-0.00471696j -0.0156319+0.00294807j -0.0189624-0.00458978j -0.000222493-0.00322273j -0.00469953-0.00268812j 0.00309853-0.000781749j -0.0115065-0.00257505j -0.00238943-0.00419165j 0.00852944+0.00452526j -0.00200869+0.00164077j 0.00463926+0.00135312j -0.00173982-0.00176374j -0.011031-0.00139954j 0.00796531-3.81304e-05j -0.00361148-0.00298219j 0.0136653+0.00332678j 0.00248718+0.00141745j -0.00858936-0.00296639j 0.00282529+0.00363369j 0.00102123+0.00255035j 0.00430808+0.000947007j -0.000680262+8.00633e-05j 0.00349311-0.00287164j -0.00252984+0.00190463j -0.00433504+7.75032e-05j 0.00385284-0.0011382j 0.00437998-0.0019186j -0.00843617-0.00252183j 0.00516341+0.000356718j 0.00406325+0.00501758j -0.00424672-0.00385653j -0.00346923+0.00110977j -0.00254976-0.00144733j -0.00212808-0.00210843j 0.00107986+0.000332951j -0.0121429-0.00675593j -0.0064375-0.00177756j -0.000271422-0.00421051j 0.00506687+0.00218381j 0.00102471+0.00446403j 0.00541402+0.00550657j 0.00331808+0.00486791j -0.0108444-0.00289281j 0.0029978-0.00445993j 0.00616673+0.00352891j -0.000830207-0.000135012j -0.00269551-0.00195861j 0.00481204+0.0025585j 0.000157608-0.00330483j 
-0.00816325+0.0050779j 0.00013999-0.00321762j -0.000463934-0.00356398j -0.0155255+0.00887798j 0.0106617-0.00839883j -0.0036336-0.000301996j -0.00276114+0.00490443j -0.00536817+0.00552566j 0.00153925-0.00326663j 0.00516862+0.00519161j -0.00792682+0.00684091j -0.00791304+0.00206654j 0.00267968-0.00182091j 0.00108196-0.00136674j -0.00538922+0.00499659j 0.0133043-0.00578917j 0.00367965-0.000709913j 0.0111836-0.00224712j -0.00575144+0.000902963j 0.0101375-0.000395029j -0.0105584+0.000283371j 0.000192535+0.000888475j -0.00986477-0.0014032j 0.0115585+0.00153615j 0.00323607+0.000283536j 0.0063125+0.00615231j -0.00996045-0.00149859j 0.0164787-0.000900856j -0.010137+0.000888172j -0.00199669-0.00164499j 0.0069442+0.000197699j -0.0150752-0.00808298j 0.0133887+0.00304983j -0.00842505-0.00523466j 0.00905635-0.0022968j -0.00104158-0.000124592j -0.000327273+0.000201994j 0.00672211+0.00138501j 0.00185735-0.00290226j 0.00194369-0.00106152j 0.000542545+0.000220369j 0.0039926+5.95141e-05j -0.0135957-0.00235482j 0.00339893-0.000524081j 0.00124697-0.000175563j -0.00504976-0.00685211j 0.0016113-0.00234634j -0.00441783+0.00256211j -0.000852055-0.00419266j -0.0054764-0.00228687j 0.00274557+0.00118822j -0.00628611-0.00435464j -0.00211303-0.000538736j 0.00649677+0.00636667j -0.00335592-0.00184752j -0.000560413+0.00121427j -0.00200201-0.000797622j -0.00042572-0.000906j 0.00321203-0.000575008j -0.00503136-0.00275485j 0.00599062-0.000718832j -0.0058296-0.00321636j -0.00246249-0.000558644j 0.00508193-0.00279027j -0.00412154+0.000412217j 0.00529121-0.00236564j 0.0090887+0.00551862j 0.00414192+0.00272169j 0.000316435-0.00103553j -0.00949999-0.00176311j -0.00433906+0.000655307j -0.00675309-0.00466024j 0.00423675-0.00135728j 0.0070043+0.00564136j -0.00775935-0.000758478j 0.00515855+0.000391518j -0.00337865-0.00446804j 
-0.00228933-0.00127724j 0.00701096+0.00777554j 0.000705429-0.00849938j 0.000239609+0.00743035j 0.00666122+0.00683718j -0.000364867-0.000237762j 0.00448666+0.00479264j -0.000470022-0.00854183j -0.00410761-0.00302073j 0.000274092-0.000815987j -0.00173554+0.0028669j 0.00462836-0.00257007j -0.00935139-0.00086875j 0.00865074+0.00296071j 0.00258058-0.000483389j 0.00059635-0.00431921j -0.00472143-0.00433517j 0.00426715-0.000882867j 0.000111364-0.00407149j 0.0028456+0.00196299j -0.00385209-0.00556473j 0.00191115+0.00271199j 0.00278714-0.00299633j -0.012692+0.00730925j -0.00429008+0.00290643j -0.00638469-0.00659915j 0.00745973-0.000331405j 0.0034656-0.00286808j 0.00636045+0.00379361j -0.00349472+0.00449623j -0.000203995-0.0059459j -0.000785965-0.00290782j 0.00334678-0.001735j -0.00376888-0.00594904j 0.00231688+0.00184682j 0.00174266+0.00396419j 0.0110976-0.00120906j -0.000363011+0.000723545j -0.0105712+0.000377438j 0.00195125+0.00456882j -0.0119283-0.00270552j -0.0126-0.00233682j 9.80602e-05-0.00115861j 0.00644837+0.00498959j 0.000112448-0.000863735j -0.00158857+0.00204867j 0.00580046-0.00502182j -0.00225705-0.00211853j 0.000466776+0.00175882j -0.0056519-0.00463334j -0.00781803-0.0114229j -0.00326887+0.0020557j -0.00194198+0.00164738j 0.00792388+0.00342523j -0.00593469-0.000187254j 0.00799805+0.000665499j 0.00636188-0.00204175j -0.00718381+0.00288314j -0.00256193+0.00713147j 0.00479974+0.00290594j 0.00225169+0.00294795j -0.00737771-0.00252754j 2.48329e-05-0.00562595j 0.0065321-0.00289874j 0.0017343+0.000562863j -0.0144818+0.00354516j -0.00753852-0.00837371j -0.0127887-0.00369603j -0.00158549-0.00443238j 0.00441803+0.000654694j -0.00295631-0.00426017j 0.00646089-0.0014702j 0.00237861+0.00759405j 0.001077+0.00722621j -0.0200039+0.00267486j -0.018245-0.00231965j -0.0115625+0.0126704j 
0.00835418+0.00891996j 0.0054819-0.000184515j -0.000159926-0.00444001j -0.00786795-0.00728774j -0.0056946+0.00363586j -0.00110229+0.00432219j -0.0037232+0.00643801j 0.00522825+0.00389073j -0.00243443-0.000812693j 0.000183815-0.000193681j -0.000349942-0.00294544j 0.00388704+0.00127373j 0.00108344-0.00944764j -0.00179229+0.00248211j -0.00307153+0.00380884j -0.00264649-0.0038206j -0.00169488-0.00593783j -0.00496271+0.00303928j -0.000762002+0.000277821j 0.00798301+0.00581176j -0.00288481+0.00169279j -0.0029368+0.00354538j 0.00770511+0.00197534j -0.0066639+0.000545122j -0.00464759-0.00916459j -3.04662e-05-0.0044733j 0.00512893+0.00342261j -0.00707795-0.00474799j -0.0121326+0.0021341j -0.00305591-0.00445787j 0.0111727+6.62115e-06j -0.00121553-0.00145469j 0.00168347+0.00410549j 0.00224254-0.00137831j -0.0117164+0.00267642j 0.00925686-0.00239392j 6.35388e-05+0.00698231j -0.00427125+0.00131579j 0.00394532+0.00157908j -0.00602586-0.000735929j -8.03503e-05-0.000163748j -0.00459316+0.00383077j -0.00038648+0.000237357j -0.0100942-0.00775099j 0.00501353-0.000871288j 0.00540383+0.0037535j 0.00859245+0.00605256j -0.00367139+0.00101571j 0.00501398+0.00267348j 0.00324672+0.00426883j -0.000895686-0.00881365j -0.00175072-0.000890507j -0.00838579+0.00101754j 0.00585837+0.00493303j -0.00827321+0.00846636j -0.000538914+0.000328262j -0.000183587-0.00263933j 0.00919531+0.000349228j 0.00627979+0.00319324j 0.00212863-0.0021659j 0.00614243-0.00841623j 0.00617725+0.00312155j -0.00825601+0.00181879j -0.00537294-0.010195j -0.000812336-0.00244368j -0.00760636-0.00341157j 0.0109553-0.0020973j 0.00800249+0.00247635j -0.0103819-0.00904547j 0.00753874-0.00686711j 0.0133636+0.00471536j 0.00855718+0.00333347j -0.00337042+0.010538j -0.00800662+0.00192794j -0.00392801-0.00354711j 0.0157655-0.0121407j -0.0170398-0.00153573j 
0.00500809+0.00861178j 0.000633251+0.00374608j 0.0057425+0.003594j -0.00201916-0.00549956j 0.000441811+0.00109204j -0.00298124-0.00793567j -0.00331398+0.000203566j 0.001004+0.00728629j -0.00825765-0.00489207j -0.00326947-0.00545987j 0.00450893+0.0103253j 0.000423128-0.00673488j -0.000250796-0.00414885j -0.000760052-0.00968916j -0.0017186-0.0079525j -0.000463786+0.00611565j -0.00100993+0.00504465j -0.00171589+0.00287843j 0.000324657+0.00185547j 0.00238154-0.01241j -0.00567753-0.000480443j 0.00165194+0.00588627j 0.00142844+0.0003044j -0.00103458+0.000622438j 0.00312765+0.0103524j -0.00701372-0.00485152j 0.0064023+0.00728358j -0.0033232-0.00726528j 0.00107147+0.00106441j 0.000575675-0.0013291j 0.00154879+0.00521836j -0.00052927-0.0118697j 0.00281531+0.00586871j 0.00498913-0.00832873j 0.00202201-0.00572932j -0.00887532+0.0065412j -0.00378914-0.0151087j -0.0020036-0.00789439j 0.00681052+0.0139595j -0.00106022+0.00847041j -0.000128078-0.0147452j -0.00491745-0.0169457j 0.00150145-0.00272378j 0.00314584+0.0111874j -0.000459132+0.00275476j -0.00342457+0.000517064j 0.00418024-0.0137519j 0.000895282+0.000269664j -0.00203434-0.00752941j -0.000663546-0.00569807j 0.00678444+0.0106701j -0.0026114+0.0165438j -0.00470913+0.0076262j 0.00512558-0.00353002j -0.00911594+0.00834798j 0.00691433-0.0129136j 0.000549927-0.0064535j -0.000432236+0.0021921j -0.00471072+0.00677681j -0.00176891-0.00350337j -0.00947599+0.00345857j 0.00734544-0.00319807j -0.00145274-0.00205842j -0.00687638+0.00468627j 0.00230701-0.00716507j -0.011277+0.00373829j -0.00229643+0.00540554j -0.00158595+0.000896119j 0.0160281-0.00806622j -0.015491-0.00366745j 0.00365451-0.00302266j -0.000952127-0.00571602j 0.00382769-0.00654717j 0.00909496-0.013516j 0.0091904+0.00289956j 0.00531334-0.0060222j -0.00853748+0.00242708j 
0.00470652+0.00217793j 0.00431295+0.00915368j 0.00636464+0.00651073j -0.00281065-0.00251276j 0.00536694+0.00159261j -0.00396275-0.0152418j 6.19463e-05+0.00203583j 0.000359612+0.00450231j -0.00174757+0.00588256j -0.00299925+0.000104462j 0.001165+0.00160006j 0.00118158-0.00294851j -0.00384344-0.00307095j 0.00333955+0.00221167j 0.00194163+0.00284799j 0.0001073-0.00737975j 0.00371879-0.00670247j 0.000848226-0.00265357j 0.00020551-0.00970141j -0.00292539+0.00775169j -0.00204046-0.00215899j -0.0078269-0.0295422j -0.00594701-0.0154935j -0.0050379-0.013445j 0.00551525-0.00343078j -0.00461672+0.0026414j 0.00331656-0.00128267j -0.00093431+0.0276272j -0.00439678-0.0122357j 0.00309323+0.00529887j 0.00121515+0.00403954j -0.00291465+0.0155685j 0.000113617-0.0114505j -0.00301331+0.02278j -0.00106912+0.00836899j 0.000413817-0.020719j 0.00387983+0.0100912j 0.0011566+0.00773665j 0.00705232-0.00503333j 0.000788979-0.0122095j -0.00167325+0.0244465j -0.00301884+0.00505616j 0.000845393-0.00412541j 0.00153962+0.0108137j -0.00110958+0.00289972j -0.00453389+0.00404874j 0.00503015-0.00148992j 0.00279023-0.0104504j -0.00431443+0.00471049j -0.00585167+0.00632757j 0.00601874+0.00706273j 0.00302681-0.00498212j 0.000261999+0.0031805j 0.007535-0.00923631j 0.00696223-0.0167709j 0.0006351-0.000553533j -0.00859967+0.00154303j 4.22554e-05+0.00462632j 0.00260909-0.00263888j -0.00145977-0.00111797j 0.0055279-0.00556393j 0.00197496+0.000184282j -0.00771461-0.000759927j 0.00434177+0.00189563j -0.0044998+0.00267539j -0.00262708-0.00298227j 0.00321884-0.00256755j 0.00234974+0.000467375j 0.000274459-0.00171382j -0.00797144+0.00429076j 9.32549e-05-0.000473384j 0.00432284-0.0014216j -0.00388072+0.00665832j 0.00645968-0.0148427j 0.00969547-0.00244735j -0.00323911-0.00314063j -0.00735336+0.00658639j 
