-0.103023-0j -0.01487-0j -0.00168109-0j -0.000297178-0j -2.47648e-05-0j -0.0519797-0j 0.0504395-0j -0.00866329-0j -0.00530516-0j 0.00840658-0j 0.00514796-0j -0.00108291-0j 0.00105082-0j -6.38112e-05-0j 6.19203e-05-0j -0.0379368-0j -0.000929146-0j 0.0531425-0j -0.00612202-0j -0.00499861-0j -0.00014994-0j -0.000721487-0j 0.00857583-0j -0.000122426-0j -0.000624826-0j -1.76706e-05-0j 0.00700213-0j -7.36365e-05-0j -1.53032e-05-0j -3.36103e-06-0j 0.00101067-0j -1.8035e-06-0j 0.000875267-0j 0.000103151-0j -8.23182e-08-0j 4.70818e-06-0j 
0.0105081-0j -0.144179-0j 0.00866329-0j -0.0720252-0j -0.0182615-0j -0.00509849-0j 0.00535677-0j 0.0399638-0j -0.000520362-0j -0.0419883-0j 0.000546723-0j 0.0100972-0j -0.0106087-0j 0.00119622-0j -0.00125682-0j 0.00386948-0j -0.00460459-0j 0.00279314-0j -0.0293672-0j 0.000509848-0j 0.0349464-0j -0.00699551-0j -0.0211984-0j -0.000606708-0j -0.00299728-0j 0.00832451-0j 0.000368028-0j -0.00107472-0j 0.0035667-0j -8.19853e-05-0j -0.00504963-0j 0.00127889-0j -0.00216355-0j -0.000775774-0j 9.75607e-05-0j -5.91801e-05-0j 
-0.010617-0j 0.145673-0j 0.00840658-0j -0.0698909-0j -0.0177204-0j -0.00535677-0j 0.00540804-0j 0.0419883-0j -0.000546723-0j -0.0423902-0j 0.000551956-0j 0.0106087-0j -0.0107102-0j 0.00125682-0j -0.00126885-0j -0.00390958-0j 0.00464635-0j -0.00249358-0j 0.0296716-0j -0.000515132-0j -0.0352633-0j 0.00706801-0j 0.0189249-0j 0.00061221-0j 0.00302834-0j -0.0084-0j -0.000328558-0j 0.00108586-0j -0.00359904-0j 8.28349e-05-0j 0.00450807-0j -0.00129049-0j 0.00193152-0j 0.000692574-0j -9.84454e-05-0j 5.28332e-05-0j 
-0.576721-0j 0.000875125-0j 0.00499861-0j -0.0840523-0j 7.36365e-05-0j 0.00305909-0j 0.00309079-0j 0.000509848-0j -0.0597088-0j 0.000515132-0j -0.0603276-0j -0.00606214-0j -0.00612496-0j 3.75539e-06-0j 3.7943e-06-0j -0.00434097-0j 0.00276275-0j 0.0016116-0j -0.00070052-0j 0.0544064-0j 0.000445837-0j -8.25571e-05-0j 0.000260072-0j -0.0346263-0j 0.0136731-0j 5.25424e-05-0j -0.0201987-0j 0.000801483-0j -0.00870207-0j -3.8459e-07-0j 3.06497e-05-0j -0.000510093-0j -0.00507621-0j -0.000297554-0j 2.44767e-07-0j 1.42781e-07-0j 
-0.000875125-0j -0.558643-0j -0.000721487-0j 0.0121242-0j -0.144061-0j -0.000441542-0j -0.000446117-0j 0.00699551-0j -4.50646e-05-0j 0.00706801-0j -4.55316e-05-0j -0.0406832-0j -0.0411048-0j -0.0147975-0j -0.0149509-0j 0.000626565-0j -0.000398769-0j -0.000232615-0j -0.00961169-0j 8.25571e-05-0j 0.00611723-0j 0.052701-0j 0.00356838-0j -5.25424e-05-0j -0.000980989-0j -0.0335409-0j -3.06497e-05-0j 0.0164844-0j 0.000624337-0j 0.00253455-0j -0.0195655-0j -0.0104913-0j 0.000364197-0j -0.0061199-0j -0.00161308-0j -0.000940963-0j 
0.713656-0j -0.00108291-0j -0.000122426-0j 0.0020586-0j -1.8035e-06-0j 0.00364025-0j 0.00367326-0j 0.000606708-0j -0.0710522-0j 0.00061221-0j -0.0716965-0j -0.00721381-0j -0.00727923-0j 4.46883e-06-0j 4.50935e-06-0j -0.00276275-0j 6.507e-05-0j 0.0038701-0j -0.000445837-0j 0.0346263-0j 1.05006e-05-0j -5.25424e-05-0j 0.000624535-0j -0.000815539-0j 0.00870207-0j 1.23751e-06-0j -0.048505-0j 0.000510093-0j -0.000204956-0j -2.44767e-07-0j 7.36022e-05-0j -1.2014e-05-0j -0.01219-0j -0.000714546-0j 5.76491e-09-0j 3.42874e-07-0j 
0.00108291-0j 0.691285-0j 1.76706e-05-0j -0.000296945-0j 0.00352833-0j -0.000525425-0j -0.000530189-0j 0.00832451-0j -5.36259e-05-0j 0.0084-0j -5.41122e-05-0j -0.0484121-0j -0.0488511-0j -0.0176087-0j -0.0177684-0j 0.000398769-0j -9.39204e-06-0j -0.000558601-0j -0.00611723-0j 5.25424e-05-0j 0.000144077-0j 0.0335409-0j 0.00856911-0j -1.23751e-06-0j -0.000624337-0j -0.000789974-0j -7.36022e-05-0j 0.0104913-0j 1.47048e-05-0j 0.00161308-0j -0.0469845-0j -0.000247096-0j 0.000874581-0j -0.0146963-0j -3.79922e-05-0j -0.00225963-0j 
-0.416299-0j 0.000631698-0j -0.00700213-0j 0.117742-0j -0.000103151-0j 0.00220817-0j 0.00197135-0j 0.000368028-0j -0.0431001-0j 0.000328558-0j -0.0384777-0j -0.00437588-0j -0.00390658-0j 2.71078e-06-0j 2.42006e-06-0j 0.0016116-0j -0.0038701-0j 0.0044461-0j 0.000260072-0j -0.0201987-0j -0.000624535-0j 3.06497e-05-0j 0.000717486-0j 0.048505-0j -0.00507621-0j -7.36022e-05-0j -0.0557241-0j -0.000297554-0j 0.01219-0j 1.42781e-07-0j 8.45566e-05-0j 0.000714546-0j -0.0140043-0j -0.000820894-0j -3.42874e-07-0j 3.93905e-07-0j 
-0.000631698-0j -0.40325-0j 0.00101067-0j -0.0169838-0j 0.201803-0j -0.000318722-0j -0.000284539-0j 0.00504963-0j -3.25294e-05-0j 0.00450807-0j -2.90407e-05-0j -0.0293667-0j -0.0262172-0j -0.0106814-0j -0.00953586-0j -0.000232615-0j 0.000558601-0j -0.000641739-0j 0.00356838-0j -3.06497e-05-0j -0.00856911-0j -0.0195655-0j 0.00984447-0j 7.36022e-05-0j 0.000364197-0j 0.0469845-0j -8.45566e-05-0j -0.0061199-0j -0.000874581-0j -0.000940963-0j -0.0539774-0j 0.0146963-0j 0.00100475-0j -0.0168836-0j 0.00225963-0j -0.00259593-0j 
0.00428452-0j 0.000618418-0j -0.506083-0j 0.000624434-0j 5.20362e-05-0j 0.00216174-0j 0.00218415-0j -0.0516195-0j 0.000220632-0j -0.0521544-0j 0.000222918-0j 4.50363e-05-0j 4.5503e-05-0j 2.65379e-06-0j 2.68129e-06-0j 0.00157772-0j 0.00195233-0j 0.00113886-0j 0.000254604-0j -0.0297838-0j 0.000315056-0j -0.00429892-0j 0.000183783-0j -0.0368556-0j 2.59854e-05-0j -0.00531964-0j -0.0214991-0j 3.06241e-06-0j 3.21553e-05-0j 1.39779e-07-0j -0.00310312-0j 3.78954e-06-0j 1.87573e-05-0j 2.21056e-06-0j 1.72968e-07-0j 1.00898e-07-0j 
0.0720448-0j 0.0103922-0j -0.000624434-0j -0.493814-0j 0.00131626-0j -0.000382146-0j -0.000386106-0j 0.0029954-0j 0.00745892-0j 0.00302644-0j 0.00753621-0j -0.0719884-0j -0.0727344-0j 8.96602e-05-0j 9.05893e-05-0j -0.000278905-0j -0.000345127-0j -0.000201324-0j 0.00211674-0j 0.00349558-0j 0.00261933-0j 0.000504224-0j 0.00152794-0j 0.00432556-0j -0.0413155-0j 0.000623945-0j 0.00252325-0j -0.00736842-0j -0.0511253-0j 5.90935e-06-0j 0.000363968-0j -0.00911795-0j -0.0298231-0j -0.00531881-0j 7.31245e-06-0j 4.26559e-06-0j 
