-0.00657361-0j -0.00106081-0j 0.0823887-0j -0.000125018-0j 0.0207054-0j 0.0012137-0j -5.82392e-07-0j -0.00605923-0j -0.000958049-0j 0.0720448-0j -0.000504936-0j -0.000109322-0j 0.0120075-0j 0.0128251-0j -1.05195e-05-0j 0.0021338-0j 8.84434e-05-0j -3.46516e-08-0j 
0.000948818-0j -0.0145552-0j 0.000125018-0j 0.0798061-0j -0.00148553-0j 0.0249626-0j 0.00383811-0j 0.000874575-0j -0.0131452-0j 0.000109322-0j 7.28812e-05-0j 0.0697865-0j -0.00173203-0j 6.44185e-06-0j 0.0205801-0j 0.00712255-0j 0.00366374-0j 0.000343263-0j 
0.00541954-0j 0.000874575-0j -0.102309-0j -0.014767-0j 8.92609e-05-0j 1.05195e-05-0j 4.80147e-07-0j 9.88728e-05-0j 1.56332e-05-0j 1.23591e-05-0j -0.00236918-0j 1.78388e-06-0j -0.000295118-0j 7.28267e-07-0j -2.45932e-05-0j 1.82067e-07-0j 1.51722e-08-0j 5.65435e-10-0j 
-0.000958049-0j 0.00727107-0j 0.0120075-0j 0.00173203-0j -0.14192-0j -0.0253108-0j 2.02989e-05-0j -1.74784e-05-0j 0.000129972-0j 0.00020782-0j -1.45653e-06-0j 2.99772e-05-0j -0.00162897-0j 3.69952e-05-0j 4.342e-06-0j -0.000585109-0j -4.87592e-05-0j 2.87054e-08-0j 
7.98374e-05-0j -0.00184354-0j 1.05195e-05-0j 0.0205801-0j -0.000188155-0j -0.0966546-0j -0.0460492-0j 1.45653e-06-0j -3.29535e-05-0j 1.82067e-07-0j 1.21378e-07-0j 0.000356192-0j -4.342e-06-0j 1.07284e-08-0j -0.00157718-0j 3.63537e-05-0j -0.000575922-0j -0.000109029-0j 
0.00331669-0j -0.102487-0j 0.000437013-0j 6.30774e-05-0j 5.46266e-05-0j 6.43781e-06-0j 2.93844e-07-0j 0.00305717-0j 0.000483381-0j -0.0731745-0j 0.000254764-0j -0.0105618-0j 6.3691e-05-0j 2.25182e-05-0j 5.30758e-06-0j 5.62954e-06-0j 4.69129e-07-0j 1.74834e-08-0j 
-0.00335106-0j 0.103549-0j -0.000441542-0j -6.3731e-05-0j -5.51927e-05-0j -6.50452e-06-0j -2.96889e-07-0j 0.00296658-0j 0.000469057-0j -0.0710062-0j 0.000247215-0j -0.0102489-0j 6.18037e-05-0j 2.18509e-05-0j 5.15031e-06-0j 5.46273e-06-0j 4.55227e-07-0j 1.69653e-08-0j 
-0.000552782-0j 0.00419532-0j 0.0104353-0j -0.14318-0j 0.000428183-0j 0.000153531-0j 1.17122e-05-0j -0.000509528-0j 0.00378891-0j -6.3691e-05-0j 0.0122093-0j 0.00087389-0j -0.071526-0j -3.75303e-06-0j -0.018135-0j 8.9191e-05-0j 1.49434e-05-0j 8.36816e-07-0j 
-0.000338509-0j -5.46266e-05-0j 0.00852983-0j -6.43781e-06-0j -0.100885-0j 0.000125656-0j -2.99904e-08-0j -0.000312021-0j -4.93348e-05-0j 0.00745892-0j -2.60017e-05-0j -5.62954e-06-0j 0.00124315-0j -0.126081-0j -5.41703e-07-0j -0.0103967-0j 9.15668e-06-0j -1.78439e-09-0j 
0.000558511-0j -0.0042388-0j -0.0105434-0j 0.144664-0j -0.00043262-0j -0.000155123-0j -1.18336e-05-0j -0.00049443-0j 0.00367664-0j -6.18037e-05-0j 0.0118475-0j 0.000847995-0j -0.0694065-0j -3.64182e-06-0j -0.0175976-0j 8.65481e-05-0j 1.45006e-05-0j 8.12019e-07-0j 
0.000342017-0j 5.51927e-05-0j -0.00861823-0j 6.50452e-06-0j 0.10193-0j -0.000126958-0j 3.03011e-08-0j -0.000302775-0j -4.78729e-05-0j 0.00723789-0j -2.52313e-05-0j -5.46273e-06-0j 0.00120632-0j -0.122345-0j -5.25651e-07-0j -0.0100886-0j 8.88535e-06-0j -1.73152e-09-0j 
6.90978e-05-0j -0.00105998-0j -0.00086602-0j 0.00581189-0j 0.0206892-0j -0.17292-0j 0.000279511-0j 6.3691e-05-0j -0.000957299-0j -0.000757292-0j 5.30758e-06-0j 0.00508221-0j 0.0119981-0j -0.00013481-0j 0.00149875-0j -0.099197-0j -0.0253794-0j 2.49982e-05-0j 
-6.98138e-05-0j 0.00107097-0j 0.000874995-0j -0.00587212-0j -0.0209036-0j 0.174712-0j -0.000282408-0j 6.18037e-05-0j -0.000928932-0j -0.000734851-0j 5.15031e-06-0j 0.00493161-0j 0.0116425-0j -0.000130815-0j 0.00145434-0j -0.0962576-0j -0.0246273-0j 2.42574e-05-0j 
-4.07163e-06-0j 0.000125577-0j -5.36484e-07-0j -0.00211393-0j 1.28166e-05-0j 0.0203644-0j -0.220873-0j -3.75303e-06-0j 0.000113412-0j -4.69129e-07-0j -3.12752e-07-0j -0.00184853-0j 1.49434e-05-0j -2.76437e-08-0j 0.0167892-0j -0.000188665-0j -0.067526-0j -0.0399868-0j 
