-0.0586083-0j -0.00845938-0j -0.0480466-0j -0.00849351-0j -0.000707793-0j -0.0292381-0j -0.0295411-0j -0.00487302-0j -0.0029841-0j -0.00492352-0j -0.000609127-0j -0.00301503-0j -0.00061544-0j -3.58932e-05-0j -3.62651e-05-0j 0.0423249-0j -0.0262569-0j -0.0153165-0j 0.00683016-0j 0.0055768-0j -0.00423718-0j 0.000804942-0j -0.00247169-0j 0.0006971-0j -0.00345965-0j 8.2154e-05-0j -0.000499357-0j -0.00201813-0j -0.000432456-0j 3.7498e-06-0j -0.000291291-0j -0.000252266-0j -5.09654e-05-0j -2.32624e-06-0j -2.97298e-05-0j -1.35697e-06-0j -0.0166698-0j 0.0387931-0j -0.0119095-0j -0.00263573-0j -0.0170171-0j -0.0070192-0j -0.00208373-0j 0.00613373-0j -0.00138915-0j -0.00030076-0j -0.00188306-0j -0.00269064-0j 0.00484914-0j -0.000347288-0j -0.00110983-0j 0.00323276-0j -0.000122785-0j -0.00148869-0j 0.000699913-0j -2.89407e-05-0j -0.000992458-0j -0.000214874-0j -0.00212714-0j -3.06962e-05-0j -0.00141809-0j 0.00080819-0j -0.000307026-0j -0.0008774-0j -2.55802e-06-0j -0.000248115-0j 0.000285738-0j -0.000584933-0j 6.73491e-05-0j -0.000126642-0j -9.53317e-08-0j -8.77217e-05-0j -2.06762e-05-0j 7.14345e-05-0j -0.000354523-0j -2.19304e-05-0j -0.000125343-0j 5.95288e-06-0j -0.000146233-0j -2.95436e-05-0j -3.13357e-05-0j -1.82754e-06-0j -5.17013e-05-0j 2.21851e-07-0j -1.21861e-05-0j -2.61131e-06-0j -6.81083e-08-0j -1.29253e-05-0j -9.73178e-08-0j -1.07711e-06-0j -4.01415e-08-0j 
0.0725241-0j 0.010468-0j 0.000846266-0j 0.0001496-0j 1.24667e-05-0j -0.0355999-0j -0.0355146-0j -0.00593332-0j -0.0036334-0j -0.0059191-0j -0.000741665-0j -0.00362469-0j -0.000739888-0j -4.3703e-05-0j -4.35983e-05-0j 0.0262569-0j -0.000455056-0j -0.0370971-0j 0.00423718-0j 0.00345965-0j -7.34343e-05-0j 0.000499357-0j -0.00598652-0j 0.000432456-0j -5.99589e-05-0j 5.09654e-05-0j -8.65432e-06-0j -0.00488797-0j -7.49486e-06-0j 2.32624e-06-0j -0.000705518-0j -0.000610996-0j -8.83277e-07-0j -4.03159e-08-0j -7.20066e-05-0j -3.28664e-06-0j 0.0206279-0j 0.000342549-0j -0.043739-0j 0.00326155-0j 0.02013-0j -0.0255629-0j 0.00257848-0j 5.41617e-05-0j 0.00171899-0j 0.000372172-0j -0.00691574-0j 0.00318283-0j 4.28186e-05-0j 0.000429747-0j -0.00404185-0j 2.85457e-05-0j 0.000151939-0j -0.00546737-0j 6.18034e-06-0j 3.58123e-05-0j -0.00364491-0j -0.000789147-0j 0.00251625-0j 3.79846e-05-0j 0.0016775-0j 7.13644e-06-0j 0.000363189-0j -0.00319537-0j 3.16539e-06-0j -0.000911228-0j 2.52311e-06-0j -0.00213024-0j 5.94703e-07-0j -0.000461211-0j 1.17967e-07-0j -0.000322168-0j -7.59357e-05-0j 6.30778e-07-0j 0.000419374-0j -8.0542e-05-0j 0.000148271-0j 5.25648e-08-0j -0.000532561-0j 3.49479e-05-0j 3.70678e-05-0j -6.71183e-06-0j -0.000188289-0j 1.95898e-09-0j -4.43801e-05-0j 3.08898e-06-0j -2.50135e-07-0j -4.70722e-05-0j 1.1512e-07-0j -3.92268e-06-0j -1.4619e-07-0j 
-0.0423057-0j -0.00610631-0j 0.0678827-0j 0.0120001-0j 0.00100001-0j -0.0211052-0j -0.0195287-0j -0.00351753-0j -0.00215404-0j -0.00325478-0j -0.000439691-0j -0.00199314-0j -0.000406848-0j -2.59091e-05-0j -2.39737e-05-0j -0.0153165-0j 0.0370971-0j -0.042808-0j -0.00247169-0j -0.00201813-0j 0.00598652-0j -0.000291291-0j -0.00690811-0j -0.000252266-0j 0.00488797-0j -2.97298e-05-0j 0.000705518-0j -0.00564045-0j 0.000610996-0j -1.35697e-06-0j -0.000814129-0j -0.000705056-0j 7.20066e-05-0j 3.28664e-06-0j -8.30917e-05-0j -3.7926e-06-0j -0.0120329-0j 0.0274773-0j -0.00859673-0j -0.00190257-0j -0.0112495-0j -0.00589555-0j -0.00150411-0j 0.00434455-0j -0.00100274-0j -0.0002171-0j -0.00135926-0j -0.0017787-0j 0.00343467-0j -0.000250686-0j -0.000932168-0j 0.00228978-0j -8.86308e-05-0j -0.00107459-0j 0.000495752-0j -2.08905e-05-0j -0.000716394-0j -0.000155104-0j -0.00140618-0j -2.21577e-05-0j -0.000937457-0j 0.000572445-0j -0.000202965-0j -0.000736944-0j -1.84648e-06-0j -0.000179099-0j 0.00020239-0j -0.000491296-0j 4.77037e-05-0j -0.000106369-0j -6.88141e-08-0j -6.33209e-05-0j -1.49249e-05-0j 5.05974e-05-0j -0.000234364-0j -1.58302e-05-0j -8.28602e-05-0j 4.21645e-06-0j -0.000122824-0j -1.95303e-05-0j -2.07151e-05-0j -1.31919e-06-0j -4.34248e-05-0j 1.57138e-07-0j -1.02353e-05-0j -1.72625e-06-0j -4.91631e-08-0j -1.08562e-05-0j -6.43337e-08-0j -9.04684e-07-0j -3.37156e-08-0j 
0.00728015-0j -0.100462-0j 0.0059682-0j -0.049906-0j -0.0126523-0j 0.00363187-0j 0.00366951-0j -0.0286328-0j 0.000370676-0j -0.0289295-0j -0.00723386-0j 0.000374518-0j -0.00730883-0j -0.000856977-0j -0.000865858-0j 0.00263573-0j 0.00326155-0j 0.00190257-0j -0.0201196-0j 0.000347288-0j -0.0248968-0j -0.00479237-0j -0.0145231-0j -0.00205345-0j 0.000429747-0j -0.000736237-0j -0.00593025-0j 0.000250686-0j -0.00254102-0j -5.61631e-05-0j -0.00345931-0j -0.00148226-0j -0.000911046-0j -6.94983e-05-0j -0.000531444-0j -4.05407e-05-0j -0.0062495-0j 0.00241579-0j 0.00147936-0j 0.0467412-0j 0.00211382-0j 0.000871905-0j -0.000781187-0j -0.0180681-0j -0.000520792-0j 0.0107799-0j -0.0110644-0j -0.0158096-0j 0.000301974-0j 0.00615869-0j -0.00652114-0j 0.000201316-0j -4.60319e-05-0j 0.00018492-0j -0.00416706-0j 0.00156137-0j 0.00012328-0j -0.00255179-0j 0.000264227-0j 0.00110022-0j 0.000176151-0j -0.00238069-0j -0.00364618-0j 0.000108988-0j 0.000184329-0j -0.00145787-0j 1.7794e-05-0j 7.26587e-05-0j -0.00060356-0j -0.00150397-0j 1.03222e-05-0j 1.08965e-05-0j -0.000369604-0j -0.000425299-0j -0.0020831-0j -0.000260441-0j 1.55697e-05-0j -7.12538e-05-0j -0.000859236-0j -0.000528115-0j -0.000372136-0j -4.36339e-05-0j 6.42218e-06-0j -3.99012e-06-0j -0.000217836-0j -6.23471e-05-0j -2.44344e-06-0j -0.000153498-0j -3.49135e-06-0j -2.57169e-05-0j -1.44011e-06-0j 
-0.00849351-0j 0.117205-0j -9.91088e-05-0j 0.000828746-0j 0.000210107-0j -0.00423718-0j 0.00415922-0j 0.0334049-0j -0.000432456-0j -0.0327903-0j 0.00843951-0j 0.000424499-0j -0.00828422-0j 0.000999807-0j -0.000981411-0j 0.00613373-0j -5.41617e-05-0j 0.00434455-0j -0.0468213-0j 0.00080819-0j 0.000413439-0j -0.0111525-0j -0.0331638-0j -0.00477868-0j -7.13644e-06-0j -0.00171333-0j 9.84786e-05-0j 0.000572445-0j 4.21965e-05-0j -0.0001307-0j -0.0078994-0j -0.00338476-0j 1.5129e-05-0j 1.1541e-06-0j -0.00121356-0j -9.25752e-05-0j -0.00241579-0j 8.00211e-05-0j -0.00172592-0j 0.0180681-0j 0.00239591-0j 0.00299375-0j -0.000301974-0j -0.000598493-0j -0.000201316-0j 0.00416706-0j 0.0129085-0j -0.0179195-0j 1.00026e-05-0j 0.00238069-0j -0.0223908-0j 6.66842e-06-0j -1.7794e-05-0j -0.00021574-0j -0.00013803-0j 0.00060356-0j -0.000143827-0j 0.00297709-0j 0.000299489-0j 0.000425299-0j 0.00019966-0j -7.88583e-05-0j -0.00413277-0j 0.000374219-0j 7.12538e-05-0j 0.00170085-0j 5.89411e-07-0j 0.000249479-0j -1.99924e-05-0j -0.005164-0j 3.99012e-06-0j -1.27126e-05-0j 0.000431204-0j -1.40877e-05-0j -0.0023611-0j 0.000303848-0j 1.76476e-05-0j -2.36022e-06-0j -0.00295025-0j -0.000598594-0j -0.000421799-0j 5.09062e-05-0j 2.20511e-05-0j -1.32169e-07-0j -0.000747957-0j -7.06676e-05-0j 2.85068e-06-0j -0.000527048-0j -3.95729e-06-0j -8.83008e-05-0j -4.94472e-06-0j 
-0.00520119-0j 0.0717734-0j -0.00426389-0j 0.0356546-0j 0.00903927-0j 0.00770096-0j -0.00262162-0j -0.0607125-0j 0.000785976-0j 0.0206682-0j -0.0153386-0j -0.000267568-0j 0.00522168-0j -0.00181712-0j 0.000618599-0j -0.00188306-0j 0.00691574-0j -0.00135926-0j 0.0143742-0j -0.000248115-0j -0.0527907-0j 0.00342383-0j 0.0103758-0j 0.00146706-0j 0.000911228-0j 0.000525993-0j -0.0125744-0j -0.000179099-0j -0.00538793-0j 4.01249e-05-0j 0.00247145-0j 0.00105898-0j -0.00193177-0j -0.000147363-0j 0.000379682-0j 2.89637e-05-0j -0.00147936-0j -0.00172592-0j -0.000989636-0j 0.0110644-0j 0.0044821-0j -0.000622919-0j -0.00018492-0j 0.0129085-0j -0.00012328-0j 0.00255179-0j 0.00740167-0j -0.0335225-0j -0.00021574-0j 0.00145787-0j 0.00465893-0j -0.000143827-0j -1.08965e-05-0j -0.000123704-0j 0.00297709-0j 0.000369604-0j -8.24697e-05-0j 0.00170705-0j 0.000560262-0j 0.000260441-0j 0.000373508-0j 0.00170085-0j -0.00773129-0j -7.78648e-05-0j 4.36339e-05-0j 0.000975256-0j -1.27126e-05-0j -5.19099e-05-0j 0.000431204-0j 0.00107449-0j 2.44344e-06-0j -7.28936e-06-0j 0.00024725-0j 0.000303848-0j -0.00441697-0j 0.000174225-0j 3.30138e-05-0j 5.09062e-05-0j 0.000613868-0j -0.00111981-0j -0.000789071-0j 2.91893e-05-0j -4.58823e-06-0j 2.85068e-06-0j 0.00015563-0j -0.0001322-0j 1.63456e-06-0j 0.000109665-0j -7.403e-06-0j 1.8373e-05-0j 1.02886e-06-0j 
0.00743182-0j -0.102555-0j -0.0059191-0j 0.0494954-0j 0.0125483-0j -0.00364806-0j -0.00374444-0j 0.0287604-0j -0.000372329-0j 0.0295202-0j 0.00726611-0j -0.000382165-0j 0.00745807-0j 0.000860798-0j 0.000883539-0j 0.00269064-0j 0.00318283-0j 0.0017787-0j -0.0205388-0j 0.000354523-0j -0.0242958-0j -0.00489221-0j -0.0135775-0j -0.00209623-0j 0.000419374-0j -0.000751575-0j -0.00578712-0j 0.000234364-0j -0.00247968-0j -5.73332e-05-0j -0.00323409-0j -0.00138575-0j -0.000889057-0j -6.78208e-05-0j -0.000496843-0j -3.79011e-05-0j 0.00211382-0j -0.00239591-0j -0.0044821-0j -0.0158096-0j 0.00212238-0j 0.0042498-0j 0.000264227-0j 0.0179195-0j 0.000176151-0j -0.00364618-0j 0.0335225-0j -0.0158737-0j -0.000299489-0j -0.0020831-0j -0.0317851-0j -0.00019966-0j 1.55697e-05-0j -0.000560262-0j 0.00413277-0j -0.000528115-0j -0.000373508-0j 0.00773129-0j 0.000265297-0j -0.000372136-0j 0.000176865-0j 0.0023611-0j -0.00366095-0j 0.000531226-0j -6.23471e-05-0j 0.00441697-0j -1.76476e-05-0j 0.00035415-0j 0.000598594-0j -0.0073306-0j -3.49135e-06-0j -3.30138e-05-0j 0.00111981-0j 0.000421799-0j -0.00209154-0j 0.000789071-0j 1.56328e-05-0j 7.06676e-05-0j -0.00418805-0j -0.000530254-0j -0.000373644-0j 0.0001322-0j 3.13028e-05-0j 3.95729e-06-0j -0.00106177-0j -6.25996e-05-0j 7.403e-06-0j -0.000748176-0j -3.5055e-06-0j -0.000125348-0j -7.01933e-06-0j 
-0.00306547-0j 0.0423017-0j 0.00739605-0j -0.0618457-0j -0.0156793-0j -0.00152928-0j -0.00737751-0j 0.0120565-0j -0.000156082-0j 0.0581625-0j 0.00304598-0j -0.000752964-0j 0.0146943-0j 0.000360849-0j 0.0017408-0j -0.00110983-0j 0.00404185-0j -0.000932168-0j 0.00847182-0j -0.000146233-0j -0.0308531-0j 0.00201793-0j 0.00711563-0j 0.000864651-0j 0.000532561-0j 0.000310009-0j -0.00734902-0j -0.000122824-0j -0.00314894-0j 2.36487e-05-0j 0.0016949-0j 0.000726236-0j -0.00112901-0j -8.61253e-05-0j 0.000260382-0j 1.9863e-05-0j -0.000871905-0j 0.00299375-0j -0.000622919-0j 0.00652114-0j -0.0042498-0j 0.00517793-0j -0.000108988-0j -0.0223908-0j -7.26587e-05-0j 0.00150397-0j 0.00465893-0j 0.0317851-0j 0.000374219-0j 0.000859236-0j -0.0387267-0j 0.000249479-0j -6.42218e-06-0j -7.78648e-05-0j -0.005164-0j 0.000217836-0j -5.19099e-05-0j 0.00107449-0j -0.000531226-0j 0.000153498-0j -0.00035415-0j -0.00295025-0j 0.0073306-0j 0.000647241-0j 2.57169e-05-0j 0.000613868-0j 2.20511e-05-0j 0.000431494-0j -0.000747957-0j -0.00893155-0j 1.44011e-06-0j -4.58823e-06-0j 0.00015563-0j -0.000527048-0j 0.00418805-0j 0.000109665-0j -3.13028e-05-0j -8.83008e-05-0j -0.00510269-0j 0.00106177-0j 0.000748176-0j 1.8373e-05-0j 3.81391e-05-0j -4.94472e-06-0j -0.00129365-0j 0.000125348-0j 1.02886e-06-0j -0.000911572-0j 7.01933e-06-0j -0.000152723-0j -8.55229e-06-0j 
-0.44023-0j 0.000660421-0j 0.00375098-0j -0.0637981-0j 5.52572e-05-0j 0.00228261-0j 0.00230626-0j 0.000380435-0j -0.0450625-0j 0.000384377-0j -0.0045754-0j -0.0455295-0j -0.00462281-0j 2.80217e-06-0j 2.83121e-06-0j 0.00165654-0j 0.00204987-0j 0.00119575-0j 0.000267323-0j -0.0210005-0j 0.000330796-0j 3.15043e-05-0j 0.000192964-0j -0.0052774-0j -0.0259868-0j -0.000309366-0j 3.89846e-05-0j -0.015159-0j -0.00653045-0j 1.46762e-07-0j 2.2741e-05-0j -0.00380943-0j -0.000382821-0j 1.81609e-07-0j -0.000223312-0j 1.05939e-07-0j 0.00130141-0j 0.00151831-0j 0.000929771-0j 0.000205771-0j 0.00132852-0j 0.000547987-0j -0.0156517-0j 0.000240066-0j 0.000108451-0j 2.34803e-05-0j 0.00014701-0j 0.000210058-0j -0.0182603-0j -0.00260862-0j 8.66443e-05-0j 0.000126526-0j -0.00278603-0j -0.0111821-0j 2.73936e-05-0j 2.25939e-06-0j 7.74809e-05-0j 1.67751e-05-0j -0.0159778-0j -0.000463539-0j 0.00011071-0j -0.00304339-0j 2.39694e-05-0j -0.0065905-0j -1.92143e-05-0j -0.00186369-0j -0.00325037-0j 4.56656e-05-0j 2.63595e-06-0j 9.88689e-06-0j 7.44252e-09-0j -0.00199044-0j 1.61419e-06-0j -0.000540796-0j -0.00266296-0j -0.000331169-0j -0.00284407-0j -2.24167e-05-0j -0.00109842-0j 2.30646e-06-0j -0.000473196-0j -1.37274e-05-0j -0.00117312-0j 8.68294e-09-0j 9.51366e-07-0j -1.96146e-05-0j 5.31719e-09-0j -0.000195184-0j 7.59757e-09-0j -8.0906e-06-0j 3.13384e-09-0j 
-0.000660421-0j -0.426484-0j -0.000541407-0j 0.00915019-0j -0.109347-0j -0.000329466-0j -0.000332881-0j 0.00524978-0j -3.3626e-05-0j 0.00530418-0j -0.0307094-0j -3.39745e-05-0j -0.0310277-0j -0.011168-0j -0.0112837-0j -0.000239101-0j -0.000295873-0j -0.000172592-0j 0.0036889-0j -3.15043e-05-0j 0.00456478-0j -0.0203447-0j 0.00266279-0j 0.000376497-0j -3.89846e-05-0j -0.00636285-0j -0.0251753-0j -2.2741e-05-0j 0.000465891-0j -0.000978259-0j -0.0146856-0j 0.00027177-0j -0.00787362-0j -0.00121053-0j -0.00459295-0j -0.000706145-0j -0.000187842-0j -0.000219149-0j -0.000134201-0j 0.00283951-0j -0.000191755-0j -7.90951e-05-0j -2.34803e-05-0j 0.00331277-0j -1.56535e-05-0j -0.015163-0j 0.00202865-0j 0.00289867-0j -2.73936e-05-0j 0.000374139-0j 0.00119564-0j -1.82624e-05-0j -1.38359e-06-0j -1.67751e-05-0j -0.0176901-0j -0.00447103-0j -1.11834e-05-0j -0.0108329-0j -2.39694e-05-0j -0.00154756-0j -1.59796e-05-0j 0.000436495-0j -0.0154789-0j -9.88689e-06-0j -0.000795915-0j 0.000267298-0j -1.61419e-06-0j -6.59126e-06-0j -0.00521621-0j -0.00638471-0j -7.45685e-05-0j -9.88483e-07-0j -0.00319426-0j -0.00180549-0j 0.000381933-0j -0.00110563-0j -1.41241e-06-0j -0.000928567-0j 0.000157539-0j -0.00456418-0j -0.00157981-0j -0.000568629-0j -5.8259e-07-0j -8.69966e-05-0j -0.00188263-0j -0.000812496-0j -5.32743e-05-0j -0.000651636-0j -7.6122e-05-0j -0.000335138-0j -3.13987e-05-0j 
0.497293-0j -0.000746025-0j -6.03113e-05-0j 0.0010258-0j -8.8847e-07-0j -0.00257848-0j 0.00253104-0j -0.000429747-0j 0.0509035-0j 0.00042184-0j 0.00516846-0j -0.0499669-0j -0.00507336-0j -3.16539e-06-0j 3.10714e-06-0j -0.00187126-0j -3.29594e-05-0j 0.00264382-0j -0.000301974-0j 0.0237226-0j -5.3188e-06-0j -3.55879e-05-0j 0.000426644-0j 0.00596146-0j 0.000417837-0j 0.000349466-0j -6.26827e-07-0j -0.0335165-0j 0.000105002-0j -1.65786e-07-0j 5.02805e-05-0j -0.00842267-0j 6.15531e-06-0j -2.92006e-09-0j -0.000493745-0j 2.34231e-07-0j 0.00443689-0j -2.44126e-05-0j -0.00105029-0j 0.000701534-0j 0.001458-0j 0.00182181-0j -0.0533614-0j -3.85998e-06-0j 0.000369741-0j 8.00513e-05-0j -0.000166065-0j 0.00023053-0j 0.000293605-0j -0.00889356-0j 0.000288053-0j -2.03439e-06-0j -0.00949841-0j 0.0126316-0j -4.40457e-07-0j 7.70294e-06-0j -8.7524e-05-0j -1.89495e-05-0j -0.017535-0j -0.00158035-0j 0.0001215-0j 4.89341e-05-0j 2.63056e-05-0j -0.0219104-0j -6.55073e-05-0j 0.00210526-0j 5.22621e-05-0j 0.000151817-0j -4.2383e-08-0j 3.28694e-05-0j 2.53738e-08-0j 0.00224844-0j -1.82342e-06-0j 8.69536e-06-0j -0.0029225-0j 0.000374095-0j -0.00312126-0j 3.60434e-07-0j -0.00365174-0j 2.53125e-06-0j -0.000519315-0j 1.55067e-05-0j -0.00390009-0j -1.39611e-10-0j 3.16286e-06-0j -2.15263e-05-0j -6.00641e-09-0j -0.000648897-0j 8.33805e-09-0j -2.68976e-05-0j 1.04186e-08-0j 
