0.0305973-0j -0.000720645-0j -0.0428611-0j 0.526382-0j -0.00415091-0j 0.375432-0j -0.169483-0j 0.221085-0j 0.00241589-0j -0.0331479-0j -0.000158166-0j 0.00217017-0j -0.00214279-0j 0.0294007-0j -0.00216222-0j -0.000112809-0j 0.0296674-0j 0.00154783-0j 0.00300165-0j -0.041185-0j -0.00200475-0j 0.0275068-0j 
-0.0997194-0j 0.000499591-0j -0.0285741-0j -0.119841-0j 0.0135282-0j -0.0856185-0j 0.117495-0j 0.14739-0j 0.00161059-0j -0.0220986-0j 3.60096e-05-0j -0.00049408-0j -0.00726207-0j 0.0996413-0j 0.00704688-0j 2.57265e-05-0j -0.0966887-0j -0.000352987-0j -0.00208091-0j 0.0285517-0j -0.0013365-0j 0.0183379-0j 
-0.0178484-0j 0.0428611-0j -0.0492402-0j -0.307056-0j -0.237411-0j 0.0749162-0j 0.0945848-0j 0.0540265-0j -0.00140927-0j 0.0193363-0j -0.00904632-0j 0.124123-0j -0.00129981-0j 0.0178344-0j -0.00116041-0j 0.00220714-0j 0.0159217-0j -0.0302837-0j -0.00358593-0j 0.0492017-0j 0.00376583-0j -0.0516701-0j 
-0.0343471-0j -0.0639025-0j 0.0127515-0j -0.103785-0j 0.235424-0j -0.0629908-0j 0.309716-0j -0.0437011-0j 0.00139481-0j -0.0191379-0j 0.00157561-0j -0.0216186-0j 0.00731212-0j -0.100328-0j -0.00252725-0j 0.000956291-0j 0.0346758-0j -0.0131211-0j -0.00271466-0j 0.0372472-0j 0.000296702-0j -0.00407098-0j 
0.0490775-0j -0.0288478-0j -0.0160993-0j 0.148296-0j 0.323074-0j -0.309716-0j 0.145465-0j 0.292735-0j -0.00199301-0j 0.0273456-0j 0.00216222-0j -0.0296674-0j -0.003437-0j 0.0471583-0j -0.00360828-0j -0.0045158-0j 0.0495084-0j 0.0619603-0j 0.00112747-0j -0.0154698-0j -0.00441502-0j 0.0605775-0j 
-0.0126207-0j 0.00150997-0j 0.0176793-0j 0.0741478-0j 0.00171216-0j 0.652556-0j 0.355117-0j -0.0911929-0j -0.000996503-0j 0.0136728-0j -2.22798e-05-0j 0.000305696-0j 0.00448978-0j -0.0616032-0j 0.000891871-0j -0.000196079-0j -0.0122372-0j 0.00269035-0j -0.00628935-0j 0.0862948-0j 0.000826919-0j -0.011346-0j 
-0.0202434-0j -0.037631-0j 0.00919588-0j -0.0611688-0j -0.405276-0j -0.0437011-0j -0.292735-0j 0.354447-0j 0.000822073-0j -0.0112795-0j -0.00271237-0j 0.0372158-0j -0.00147423-0j 0.0202276-0j -0.00698284-0j -0.00193781-0j 0.09581-0j 0.0265883-0j 0.00066969-0j -0.00918867-0j -0.0032454-0j 0.0445295-0j 
0.0127515-0j 0.0895156-0j 0.0351789-0j -0.0749162-0j 0.169615-0j -0.0454692-0j 0.197541-0j -0.0385984-0j 0.00100683-0j -0.0138145-0j -0.00220714-0j 0.0302837-0j -0.00271466-0j 0.0372472-0j 0.000829037-0j -0.00133959-0j -0.011375-0j 0.0183802-0j -0.00748921-0j 0.102758-0j -0.00269044-0j 0.0369149-0j 
-0.00576175-0j -0.0267469-0j 0.0522464-0j 0.0338507-0j -0.154062-0j -0.0706973-0j -0.346066-0j -0.264532-0j -0.000454934-0j 0.00624205-0j 0.00200475-0j -0.0275068-0j 0.000403507-0j -0.00553643-0j -0.00441502-0j -0.00418693-0j 0.0605775-0j 0.057448-0j -0.00365892-0j 0.0502033-0j -0.00473088-0j 0.0649114-0j 
0.00127035-0j -0.00921405-0j -0.0883043-0j -0.00746338-0j 0.0510373-0j -0.0053321-0j -0.210517-0j -0.628586-0j 0.000100304-0j -0.00137624-0j -0.000664131-0j 0.0091124-0j 9.25131e-05-0j -0.00126935-0j 0.00258272-0j -0.000474478-0j -0.0354369-0j 0.00651021-0j -0.00643077-0j 0.0882352-0j -0.000225996-0j 0.00310084-0j 
